[00:00.000] 在接待李女士
[77:14.390] 公司的知道吧，复印件可以让他拿回来。
[77:18.000] 然后
[77:21.460] 明天怎么做？
[77:23.020] 好这样。
[77:25.520] 今天需要这些手续办完了才能那就明后天
[77:29.880] 我今天订了车，然后后续我给您操作。
[77:37.230] 要大火，对，刚才保存了，打印了。
[77:46.540] 广电、
[78:21.750] 交给
[78:25.430] 打在哪？
[78:26.880] 网站在那多住网页。
[78:30.050] 他什么
[78:31.340] 门店什么用户名什么的，
[78:35.640] 你知道吗？
[78:42.040] 那天自己刷第一遍。
[78:44.780] 一点。
[78:46.740] 他们说就直接有优酷。
[78:51.100] 密码好像是
[78:53.880] 一到大写的E到底小写的E到底我说了
[78:57.730] 自己说得对，不用这打印。
[79:02.280] 租户是什么？
[79:04.080] 速度连续。
[79:07.280] 就TMD对大哥对。
[79:10.710] 账号。
[79:12.020] 账号是
[79:15.910] 50。
[79:18.050] 有邮箱。
[79:19.670] 刘晓明。
[79:21.130] 邮箱名不叫我名字？
[79:23.260] 密码。
[79:25.540] 密码。
[79:28.150] 我真不知道，你看一下问一下他们。
[79:30.780] 我都改了，我真不知道了。
[79:33.130] 出事没完就完了，不是没完不记得。
[79:39.010] 因为我第一次做，
[79:44.310] 那之前我还没用。
[79:46.550] 不用了，我交完了都
[80:01.620] 自己拿出来用吗？
[80:03.250] 在这边。
[80:21.190] 为
[80:23.840] 理由
[80:28.670] 妈
[80:30.280] 现在
[80:33.720] 我回去得40多分钟。
[80:48.030] 从大厦那边过去。
[80:50.150] 就是坐的地方在哪？
[81:00.140] 对能去的话让公司人都去做。
[81:05.170] 公司像放心
[81:07.800] 的，
[81:10.130] 他做了就做过了。
[81:12.390] 状态一下，好像万一
[81:15.010] 在出差什么的都免费做的挺好的。
[81:22.670] 好，送货的给。
[81:28.550] 请问一下。
[81:48.630] 我先给您把
[81:50.150] 路走回来。
[81:53.440] 公司那边要懂得出来。
[81:55.750] 对。
[82:06.750] 我给您发的信息你看一下之后
[82:11.010] 这边还得信息要不要跟这边登记一下，还有公司那边
[82:16.080] 本来说做不了，现在又控制了可以做，
[82:20.040] 我们都要去做创业创新这些。
[82:42.630] 行，那就是今天把这些车费什么的，今天你
[82:47.280] 住吗还是？
[82:49.090] 谁知？
[82:51.770] 被还。
[83:16.320] 那就等你消息我就回去了，因为那边要去做的话，
[83:21.590] 可以。
[83:33.270] 行行好的。
[83:47.600] 就给您登记一下，然后
[83:49.450] 您就把营业执照
[83:52.930] 营业执照的赵小苗。
[83:55.190] 给我发一份。
[83:56.370] 您的身份证您给我一个，我把这信息就都存好了，到时候我直接就录信息了。
[84:02.370] 联系人什么的办手续都是您给。
[84:04.630] 然后到时候您拿这张来，然后
[84:07.160] 那边打款的公司一会儿确定好了，前述给她编发过去，
[84:11.570] 然后那边也打款，
[84:13.460] 我就是没有什么手写的，我就别回去，我就给您发过来了。
[84:18.300] 好吧熟悉，它到时候好多都是盖章得拿着公章来就行了。
[84:23.030] 提前您把这东西都
[84:24.840] 还有工商营业执照原件，这得为了办临牌用。
[84:28.630] 原件还得带原件，接待到时候办临牌，人家警察那块要
[84:33.110] 行，甭管是正本副本都可以。
[84:37.960] 这无所谓给你拿着就行。
[84:41.880] 他们本来上午
[84:43.160] 工资。
[84:43.800] 说下3点主要就是安全回去，完了又说做不了，那再来电话了可以做吗？
[84:50.030] 公司所有人都要去做核算或核算结算去，我是跟您联系还是跟杨总联系，跟谁联系一会？
[84:58.010] 把营业执照号什么。
[84:59.820] 发给您之后，您可以给我登记一下，之后他那边应该是跟你联系，行好吧？
[85:24.890] 辅导员
[85:26.080] 为
[85:28.070] 有可能
[85:30.830] 在弄明天还得过来。
[85:33.500] 是吧？
[85:35.110] 不叫问完了，然后我。
[85:38.650] 要不然码你扫一下。
[85:42.190] 帮我们做一个。
[85:43.470] 然后您做完了，考完了以后我一会给您。
[85:46.610] 发个短信，明天还得给您按照正常流程给您打个回访电话。
[85:50.190] 行行，然后咱们到时候咱就微信沟通，就是他那边
[85:54.740] 款打完之后，
[85:56.660] 我这边再过来拿着营业执照假公章弄完是吧？对。
[86:32.080] 您是开车来的是吧？
[86:33.940] 您扫一下二维码，出院车牌号什么，要么停车费。
[86:37.700] 对。
[86:52.280] 舒适拍摄。
[86:53.670] 单休。
[86:54.930] 可以。
[86:56.080] 就高一高了。
[87:00.510] 我也不知道你上传点出去就行了。
[87:44.810] 我给他们去买新车，我就跟着来最后提，
[87:49.000] 最后去什么车管所这些我都没用。
[87:52.310] 你错在哪？
[87:55.540] 电话
[87:58.440] 不用出来了。
[88:01.960] 这边
[88:06.120] 这可以吧？
[88:07.620] 输完了是吧？
[88:10.360] 好玩行可以了就可以了。对。
[88:21.720] 慢点。
[88:34.900] 慢点从这出去。
[88:36.850] 他跟你。
[88:39.590] 行好。
[89:02.520] 拿麻将。
[89:07.630] 花。
[90:03.770] 的。
[90:04.730] 就这样事儿
[90:07.290] 的
[90:08.920] 的
[90:14.550] 的
[90:18.310] 全是白的。
[90:20.480] 都有圈了。
[90:22.530] 好，我想不起来特别有那种
[90:27.030] 什么的，您为什么不知道最多的13个的？
[90:32.910] 我不我不懂。
[90:34.120] 不要。
[90:36.310] 我有个小片就是的话再看看了解有一个床上才
[90:41.950] 两在那边上是13个。
[90:46.960] 对。
[90:58.690] 天
[91:00.630] 泡一天，
[91:19.840] 安徽
[91:27.880] 怎么着？
[91:28.610] 安徽省
[91:30.570] 安徽省省会
[91:38.150] 合肥
[91:39.610] 走
[92:16.790] 最近
[92:18.730] 上台之后去。
[92:21.940] 今天来几小时不是。
[92:35.510] 你用多长时间，
[92:37.340] 你要能帮我找出发票申请了我就走。
[92:41.790] 换票申请。
[92:43.600] 为什么？
[92:44.970] 你换成票马上
[92:52.390] 等等。
[92:54.700] 等
[92:56.930] 等等
[92:59.320] 等
[93:03.430] 等等不是
[93:06.310] 哪个方面的你
[93:07.950] 你打开我看看。
[93:13.140] 走吧。
[93:14.460] 当时
[93:18.020] 就这么着我打车就走。
[94:12.430] 没事不着急。
[94:19.200] 没有他。
[94:20.760] 咱们三循环不管。
[94:36.310] 找谁？
[94:39.720] 这客户都不用签字了，
[94:42.150] 都在什么上千大哥
[94:45.380] 之前有。
[94:46.800] 有了不用了就
[94:49.930] 订车的时候签过字，这就不用签了，对你报告包括信息表在哪打的？
[94:56.070] 信息表示这样，你得
[94:59.360] 手续上已经你
[95:01.690] 点完结算了，
[95:03.240] 写完结算了以后再你那网站上有一个在你打印这个地方点开下面下拉有一个信息表，我得先交钱是吧？
[95:11.310] 不对，你手续点
[95:13.500] 点怎么点，是手机上还是电脑手机。
[95:20.560] 魔比
[95:26.760] 真的很好。
[95:28.440] 待结算，然后
[95:31.050] 确定弄完了也完成。
[95:35.800] 签署合同你没签哪在哪。
[95:39.950] 重新签署让客户签字，对。
[95:45.280] 签字这个怎么就有了，这是之前的合同，你这改完了重新再签。
[95:52.880] 6月25号这个没用，被说
[95:58.400] 签完以后再重新在网上打印，签完了以后点和结算，
[96:03.100] 结算完了保存审核结算，
[96:05.600] 整晚就别动。
[96:07.120] 行我不到，我打弄点收购水喝就喝了。
[96:26.110] 好了。
[96:28.760] 还有
[98:06.170] 咱接下来怎么操作？
[98:08.050] 查看进班。
[98:15.840] 忙完事了吗？
[98:17.080] 就见完了是吗？
[98:23.520] 上电脑版的等会等他。
[98:26.600] 跳完了。
[98:27.800] 你这就跳完了上那张打印就能所有都能打这个事弄错，这个到时候用sp说。
[98:36.650] 什么意思这个是？
[98:39.930] 没明白。
[98:46.290] 等
[98:47.380] sp同步结束，
[98:52.240] 总同步结束以后，
[98:53.940] 你那个打开不就有一栏，
[98:56.960] 最后我们点开不就一列，最后你就这三个全都打印就行。
[99:02.120] 打印几张？
[99:03.820] 原来打印几张就打印几张，
[99:08.040] 再交首付就行了是吧？
[99:10.600] 对。
[99:53.720] 万。
[99:56.250] 没有半年交多少钱？
[99:59.950] 955。
[100:02.770] 就三张。
[100:05.660] 93什么版本的？
[100:08.730] 什么版本什么呢？
[100:11.020] 时光铭刻版和普通版，
[100:14.120] 普通版加70，
[100:15.980] 普通版加70，时光，
[100:18.620] 时光铭刻板加100，
[100:23.120] 能不能在科技了，
[100:25.830] 像这种不管说就算都是最佳岁的，对。
[100:30.770] 差不多再见。
[100:33.130] 没事打电话走流量贵。
[100:37.030] 但是我看你的发型跟我的反应一样，
[100:40.130] 我这不是陪着你，怕你孤单。
[100:48.450] 你二
[100:49.570] 35
[102:13.240] 无限。
[102:14.710] 每天电池
[102:19.660] 得要到到山西看身陷传销，
[102:26.480] 看着指头的
[102:32.710] 教学
[102:33.960] 有现金和每天严肃整洁标准，
[102:39.180] 格言一定要到
[102:42.030] 崂山区雨雪，
[102:44.600] 西药开始现场
[102:47.420] 看着石头来了等等。
[102:50.450] 到刚刚
[102:53.470] 6000元。
[102:54.380] 三路线，江河对天空、变速箱、机票不可言，
[103:01.210] 定要到底。
[103:02.780] 老山举行
[103:07.350] 昨天。
[104:46.990] 你好
[104:58.150] 300 4658的优惠优惠期。
[105:12.190] 这事我做不了主。
[105:17.880] 信息的签字对。
[105:25.360] 李阳阳。
[105:27.460] 找张小张又在
[105:30.220] 要不您在哪都能签字。
[105:44.720] 您拨打的电话
[105:59.990] 介绍说。
[106:01.320] 打错了。
[106:11.470] 张经理我有一个盖备案表盖章的公章审批，你给我OA一下，着急，谢谢。
[106:19.080] 夜
[106:21.590] 夜
[106:22.950] 让我知道了。
[106:24.750] 类别白。
[107:43.960] 我这有一个临牌备案的盖公章你给我批一下。
[107:48.750] 给公章的
[107:51.450] 人口开始
[107:57.060] 服装之前怎么还跑我这儿？
[107:58.740] 我哪知道我这一看点开是你违章苗，跟张瑶说半天上面没批，后来我点了一开始。
[108:05.390] 行行，接着恐怕好勒行，谢谢。
[108:36.000] 玛丽
[108:38.810] 玛丽T吴经理给我批公章，
[108:42.570] 自己我都着急，
[108:47.040] 给他打电话他自己。
[108:48.820] 好的，拜拜吗？李五到二。
[109:18.080] 18课全部完了，160左右。
[109:23.270] 450。
[109:29.780] 560。
[109:32.450] 300。
[109:35.800] 有前程。
[109:36.920] 哪个有现车？
[109:39.780] 三。
[109:40.500] 450有现车。
[109:43.840] 现在我给你算完了优惠，大概是现在店里头送35,000保险。
[110:25.130] 吴姐我总是我有一个用工商一个OA你给批一下。
[110:31.070] 好吴姐拜拜。
[112:37.750] 好了。
[112:40.120] 弄好了。
[112:44.380] 丢问题
[112:49.980] 就到他这了。
[112:53.890] 你们可以提。
[112:55.310] 不了我
[113:00.520] 归。
[113:08.420] 张岱。
[113:20.070] 真够简单
[113:22.080] 的
[113:30.720] 给我
[113:34.730] 走
[113:36.310] 的。
[113:39.410] 你好
[113:45.700] 对银行。
[114:07.960] 那钱已经给他打。
[114:09.740] 流程已经开始给她退了，
[114:17.530] 然后我看现在有
[114:20.870] 一个百一个一个的到就成了，
[114:24.850] 他就能解决了，照片也是要不行，
[114:30.510] 我才去起码的
[114:32.590] 履行完毕可以落地了。
[114:34.560] 这是昨天没上班，所以下午要不然采访在场，为什么说希望
[114:40.350] 这几排
[114:41.980] 他对正常的主要是再度的话地方在故事
[114:46.290] 这几排都在哭。
[114:48.890] 这是一个。还有
[114:51.980] 我现在正在给他办的手续，
[114:54.840] 周五估计悬，下周下周肯定能收到。
[114:58.090] 您说一下，好拜拜。
[115:02.470] 什么意思？我找一个工作措施，其他比较强。
[115:06.320] 两天的。
[115:07.660] 订货信息标签。
[115:09.990] 这什么意思？
[115:12.180] 我找一个月的订单较顺利，
[115:16.630] 新车不能进二车娜。
[115:18.850] 吗。
[115:19.260] 作业类型。
[115:20.730] 这没挪到后面去吧。
[115:22.670] 他摸
[115:28.850] 客户想见面波，
[115:36.360] 薪酬
[115:37.250] 通过
[115:44.320] 新车订货，
[115:46.630] 为什么要走内部干嘛？
[115:49.580] 新车订货为什么要走内部不能怪他自己个人吗？
[115:54.990] 不管。
[115:56.440] 客户挂他自己的话就花钱了是吗？14号。
[116:00.360] 不是管咱们说咱们也承担了这钱是吧？
[116:05.690] 然后好好看看。
[116:07.720] 喂日报帮我保存一下，谢谢。
[116:10.730] 好的，拜拜了，我就把
[116:14.520] 第九
[116:16.360] 把照片给我也
[116:23.170] 索赔的这几个名字。
[116:28.090] 索赔的这4单是敏基写的。
[116:40.030] 不是我看所谓的就写超市发店的那种
[116:43.530] 那些订货到货一一些客户一直的味道电更换，
[116:47.890] 遴选真实的上个月
[116:50.600] 核验车了吗？
[116:52.670] 回和成本的数量，因为那9台车2片快乐，它有成本，他有除了成本对验收成本，
[117:00.830] 从他们那表上看200，然后231,133 38送到就是主要表上市，
[117:09.440] 234905.75，
[117:12.860] 然后这么的数它是237台车，二百四十几。
[117:17.520] 300多。
[117:19.530] 我看一下。
[117:21.540] 这么着他是245台，就咱们这儿百49台车，
[117:28.870] 你说哪个表哪个咱们的表给谁的标志跟业务的表，
[117:34.310] 你说成本是骂，
[117:38.300] 你那块说你说的业务那块成本是231133是吧？
[117:43.910] 业务表谁给你的？不是。
[117:46.780] 多少？
[117:50.000] 93有8%了，那就是不是08年到08年的。
[117:56.170] 但是上个月那为啥
[117:58.400] 这个也不算了，就在sd1230。
[118:03.870] 不知道。
[118:05.250] 你不看这个是吧？
[124:22.830] 了
[124:24.790] 晚上
[124:27.000] 也没电。
[124:46.040] 说话
[124:51.250] 了。
[124:57.010] 了，
[125:01.560] 那不就完了。
[125:04.440] 半年了。
[125:07.230] 把。
[125:08.490] 的。
[125:09.800] 了
[125:11.950] 买。
[125:14.440] 好了，今天没有。
[125:15.760] 不是难找了。
[125:18.770] 这不是今天怎么用，又买一些谁给你看看一个心痒痒，
[125:24.540] 本来是要买小小点的，你看结果。
[125:27.620] 因为营养不就未来的大本my的谁知。
[125:33.000] 未来的梅赛德斯
[125:43.760] 马克是用ACP的。
[125:46.600] 我现在一个都用xp，我的
[126:21.720] 基本上
[126:25.400] 你要对
[127:40.230] 你前两天给我交了一个gl，1350，
[127:43.060] 周佳帮我办的。
[127:44.990] 你
[127:46.260] 三包生产日期写错了，
[127:51.570] 生产日期是2019年生产的，你写2010年3月。
[127:57.790] 对。
[128:03.480] 关键是周家人家都已经给交到哪了？
[128:10.820] 了拿出来了。
[128:18.710] 好行我
[128:19.800] 你赶紧的。
[128:22.410] RMB。
[128:27.450] 好勒。
[128:55.430] 那是够的。
[129:26.520] 车上有个刺客，
[129:28.090] 这是副驾驶气囊没打开是不是？没做这人，如果没做的人他就自动关闭，
[129:34.640] 如果做的人了他就自动打开了。
[130:09.350] 赵先生，
[130:10.420] 我已经上班了，我一会下班以后我还是上箫声桥，等您去，我把身份证拿来给您办临牌，
[130:17.230] 然后车应该很快就能验车了。
[130:20.930] 好，咱们一会我头下班，我给你打电话，咱们见。
[130:25.650] 我这边头走，我走之前我走了，我走时候给你打电话，
[130:30.000] 弄不着也耽误你好几天，真是不好意思。
[130:33.320] 好。
[131:46.230] 后边手机什么？
[131:47.320] 不给我，总之你上开票吗？
[131:53.370] 把AMD就是滑冰发。
[131:55.930] 不是卸妆吧？
[131:58.190] 对。
[131:59.270] 国家滨湖上发了一个批评，然后
[132:05.210] 张经理去沟通去了，不是关键。
[132:08.660] 最后还在用，
[132:09.760] 不知道如何还，现在刷了多少个。
[132:13.030] 现在
[132:16.350] 了。
[132:35.270] 总之你说您手
[132:36.630] 什么给我了？
[132:37.570] 一会就给你，我这都弄了。
[132:55.520] 6
[133:50.600] 小时身心嘉禾，费天电池整机
[133:56.760] 可言
[133:58.380] 定要
[133:59.940] 老三气血西柚看谁先转，
[134:05.300] 看着吃头呆了噔，教学顺心佳和倍天电视整洁飘忽。
[134:19.400] 这个宝宝你刚才问我的车，
[134:23.350] 他之前底数定过，但是退了叫吴松，还有吗？
[134:28.490] 然后后来王朝裁定。
[134:30.840] 行，我知道有没有有的。
[134:35.310] 现金。
[134:52.350] 我还不知道。
[135:04.280] 明天有没有人
[135:05.240] 吃，莫要面包。
[135:10.080] 我想吃。
[135:11.020] 哪有你给我找了一个，同样还有你要自己做吗？不是。
[135:15.490] 省对吧？
[135:17.230] 没有说
[135:18.360] 这么
[135:21.120] 来吧，一起来吃好吗？
[135:25.210] 什么的。
[135:26.290] 苹果这样的。
[135:28.490] 我这样。
[135:29.620] 我那边
[135:31.300] 就是人做的中间，
[135:35.290] 我把吃的
[135:45.430] 好。
[135:46.160] 我不知道好像是我记得应该是有。
[135:51.430] 人家说谁知
[136:40.240] 各种的关键
[136:42.470] 太瘦了。
[136:45.000] 你们俩。
[136:52.040] 什么的蚊帐的。
[136:54.210] 屁包皮过长。
[136:57.510] 你们这是开的。
[137:00.120] 你要的是你看这是拍照，
[137:02.670] 不是扫描。
[137:04.360] 还对那两个手那边跑去看完了不会看来
[137:10.310] 你把第六三的说好的以后也回来。
[137:22.600] 我拿过来我给人退了，这车卖了就忘。
[137:27.320] 还有吗？没有人。
[137:31.330] 拿的是吕子霞吗？
[137:33.120] 没有这么做。
[137:34.400] 你还记得有一天晚上我拿着你这两首就唱完了，后来我给你拿过来，
[137:41.130] 你放手一扫描了，
[137:43.440] 我行了。
[137:45.030] 第一卷
[137:50.760] 小狗
[137:57.200] 我为你打扫。
[137:59.840] 找我完了。
[138:02.680] 拿走。
[138:11.170] 好了，我看到你为了
[138:13.560] 刚才过来，
[138:18.240] 不要理我。
[138:49.880] 心疼
[138:51.280] 了。
[138:52.320] 一下子我的心都跟着你这么一下跳跳
[138:59.110] 来看看
[139:06.830] 弟子
[139:07.720] 可以不行的话
[139:10.870] 还带回跟的。
[141:35.960] 飙车018296
[141:40.330] 02296。
[141:42.100] 没有，你给搁哪里头，我那记录真的涨了，在天际那代理找了。
[141:47.350] 交B就在IP搁订单手机里头找到记录删了，我知道cd的
[141:55.470] 谁？
[141:56.580] 等会我正在那个表应该man018296是吧？
[142:02.540] 大一点的手机。
[142:04.300] 还有吗？
[142:05.060] Bye bye。
[142:06.430] 他又指着身体了，我就把这俩地不能做了，没继续的没做。
[142:15.680] 坐这儿完了有人就不错了
[142:19.280] 了。
[142:20.960] 没去。
[142:22.350] 面皮了还要装到哪？
[142:25.200] 这就拍全不过。
[142:27.300] 2点多了。
[142:55.040] 再说了。
[142:57.040] 不是说了吗？
[142:58.850] 油田已经超过了，现在人着急要把手也给我之后了。
[143:04.770] 稍微之后在着装上。
[143:12.350] 一张是吧？
[143:22.060] 你这句那一点你剧照
[143:24.080] 是吗？
[143:25.290] 我把手机拿过来一楼号谁知
[143:28.970] 楼下
[144:14.920] 真不容易，还得背着正本
[144:20.220] 给你拿过来。
[144:21.390] 你把那叫什么？
[144:23.980] 李志强的后面给我。
[144:28.170] 我就要
[144:29.950] 要我不会给。
[144:48.090] 已经退完了也已经了，早就点了。
[144:51.910] 你把
[145:02.520] 我这抓着您心里的忧。
[145:15.770] 非常白。
[145:16.850] 对。
[145:29.160] 该要的拿走。
[145:30.510] 这不要咱们了。
[145:35.290] 这点不一样。
[145:37.770] 玩了一把。
[145:49.240] 调查吗？
[145:51.430] 排查
[145:53.830] 观察，
[145:55.070] 你们留着喝。
[145:57.910] 谢谢妙不。
[146:04.010] 这方面。
[146:05.180] 二多少？
[146:06.840] 20多张，2左右就走了。
[146:10.280] 20多。
[146:12.200] 妈
[146:13.280] 这么多。
[146:15.150] 差不多要花费的吗？
[146:16.720] 好，现在。
[146:19.030] 行我知道了，好。
[146:21.390] 是不是上个月开会，然后今天就是这样。
[146:25.360] 走前走。
[146:26.490] 你都解决。
[147:09.310] 是不是其他的我
[147:10.200] 这还有好多名贵的药睡的也在这里，到时也忙着找。
[147:13.810] 万万没告诉咱们模式没有了，一歌厅了。
[147:18.280] 走。
[147:19.530] 好了。
[147:46.330] 二点有一个
[148:04.380] 就是22了。
[148:09.720] 好的。
[148:11.110] 电风扇的规划。
[148:16.200] 后勤
[148:17.370] 这里面
[148:26.930] 我只要把这个跟女生聊绑一块去了，
[149:08.850] 大妹子你也注意过去了是吧？
[149:12.510] 好了。
[150:38.910] 是什么？
[150:40.240] 排查出来分
[150:45.010] 的疼痛
[150:46.680] 应声断开了，
[150:51.160] 他是小包的。
[150:59.100] 大包的。
[151:11.750] 明天可以谈一谈，一会。
[151:13.850] 不会吧？啥带到这。
[151:17.610] 看起来
[151:24.530] 好，
[151:31.250] 后来
[151:32.720] 我们也接受了那什么。
[151:35.240] 另外的
[156:10.040] 刚给一个客户算完了，
[156:13.060] 大概全下来落地160 160万左右。
[157:15.940] 好了，您稍等，我一会给您打开心写个报价单。
[157:58.210] 加上了修
[158:00.110] 家里
[158:02.040] 拿前面我们
[158:07.400] 只要正常
[158:11.480] 这样，
[158:13.150] 但每个月道理
[158:14.710] 想做一些记号，报警之后当天又叫宝宝参加一个纺织品，
[158:20.360] 然后一直到下午踩点的时候是让你完了保护。
[158:24.590] 我准备开，然后我们
[158:26.100] 就在
[158:27.680] 他们对方只要作出小麦
[158:40.080] 来
[158:41.240] 所以
[158:43.390] 都没用了。
[158:48.270] 你怎么看？
[158:53.210] 同样你看怎么样？
[158:55.020] 数据
[158:59.810] 的
[159:02.440] 场。
[159:03.470] 场
[159:05.310] 数据
[159:06.300] 数据
[159:09.400] 吗？
[159:20.080] 数据
[159:21.530] 号。
[159:26.070] 开始
[159:27.960] 谁知
[159:30.130] 你不知道吗？
[159:34.890] 谁知
[159:44.530] 的
[159:54.320] 反正就是了。
[160:26.280] 您这边是上个人的。
[160:29.340] 开始上个人牌上公司牌。
[160:42.440] 三者20瓦，
[160:43.970] 然后我们这边一般三者都是上一百几，
[162:08.460] 原来我花了800块钱，
[162:12.740] 中
[162:16.350] 的。
[162:18.760] 我再说一下你看对不对？客户刚刚于2020年6月1号
[162:23.520] 在我店购买mg gt53车一辆，当时刷卡了，客户
[162:27.550] 招行卡后直接签上了自己的名字，
[162:30.640] 直到给客户退押金时才知道此厂是其母亲的。
[162:35.620] 阿茨卡一直由张涛先生在用，现在申请按照当时
[162:43.130] 姜怎么说先将这个押金按照当退回到原卡中就完了。
[163:01.360] 我怎么写我他妈不会写这个。
[163:05.440] 是我编的，不是我写的，是我编的。
[163:15.930] 先生。
[163:18.030] 丁懂老师稍等。
[163:21.510] 押金。
[163:24.580] 一会
[163:35.040] 号
[163:38.030] 说话。
[163:38.920] 好
[163:41.230] 多少，然后
[163:46.240] 然后这个叫什么生产的，
[163:50.390] 还有什么？还有卡主的个人，
[164:00.210] 我知道你先听我说我这卡号是多少，然后这个叫什么？
[164:04.020] 卡主还叫持卡人，
[164:07.660] 卡主谁就完了。
[164:09.880] 好勒。
[164:14.400] 我的救我的命的天。
[164:56.060] 6
[164:56.770] 56320。
[165:00.920] 好几页。
[165:01.780] 为
[165:03.370] 二
[165:07.330] 您好，刘先生。
[165:17.590] 没什么太大的区别，你我不想在店。
[165:24.070] 次。
[165:26.560] 他只要能在这弄，他只要能走直赔的就都行，你上哪保险上保险。
[165:37.050] 你问一下你上哪保险公司的？
[165:40.150] 你只要不是电话车险，
[165:43.200] 只要不是
[165:46.050] 我就这样说吗？
[165:47.770] 应该是从理论上是，除非你上保险的时候，你找着就是上保险，那肯定是自己哥们或者朋友，如果是哥们和朋友你跟他说一下，你说你一定
[165:58.010] 让我能上4S店定损去，他肯定不会坑你的，除非你不认识他，他就是特意什么打电话那种便宜的，你尽量弄个还是别相信。
[166:30.610] 这不是你这么着是这样，你听我说你上保险肯定是电话车险还是你找的朋友？
[166:47.330] 看着保险，
[166:48.620] 你一定要让我上店里能直赔去就行了，你跟他一说他不会坑你的，对你要是自己哥们他就能给你弄，那不是自己哥们，就是说贪图电话车险的里头，那你就别占着点也就完了。
[167:08.930] 你跟他说他就行了，他因为有的约定有的他条条框框里面有好多咱们不知道，不懂得条条约定，他你加上
[167:17.870] 你跟他说让他
[167:19.000] 曲调不要这些东西就行了。
[167:25.670] 对。
[167:30.840] 保险公司。
[167:35.960] 好的，拜拜没事。
[167:43.930] 一
[167:48.460] 看
[167:49.840] 的。
[167:55.440] 的
[168:10.160] 参与
[168:17.220] 等等。
[168:18.240] 继续举证。
[168:19.350] 谁知
[169:29.270] 姑娘
[169:30.320] 的情况。
[169:36.070] 一点说
[169:44.090] 自己排列之前
[169:45.230] 要接受的。
[170:38.720] 然后
[170:39.540] 点的不行，我不做，我做你的地点就走了。
[170:49.410] 我坐在座位上最后感觉
[170:54.200] 过来
[171:05.530] 都方便。
[171:06.640] 每周的。
[171:16.290] 那个行了吗？
[171:18.240] 先把
[171:58.910] 因为
[171:59.780] 怕时间长了这也。
[172:02.230] 对，所以成本中心
[172:09.000] 号。
[172:14.200] 还关键。
[172:22.320] 白色最好的泪水。
[172:24.130] 而且我
[172:31.720] 要分也是的最好。
[172:33.490] 标准。
[172:36.630] 后来厕所。
[172:39.130] 白色的现车吗？
[172:46.360] 他预计在一个礼堂，
[173:10.080] 上午在上面
[173:11.760] 还是赶紧开始。
[173:13.990] 要刚才那个数据
[173:16.890] 产权
[173:17.840] 两天放到
[173:19.290] 这样教学的刚刚到
[173:22.150] 我们的差
[173:23.860] 我今天之前就我18号多少钱，那车16号。
[173:27.520] 大
[173:28.680] 的。
[173:36.600] 白色。
[173:39.840] 有一边都没有。
[173:46.230] 但杭州没出过吗？
[174:05.640] C2的标准，被告7的
[174:11.490] 红
[174:12.600] 绿色。
[174:13.550] 是这样子吗？
[174:14.510] 肯定。
[174:16.630] 哪怕这套
[174:18.350] 是的，怎么弄是吧？
[174:22.410] 快不快乐？
[174:25.090] 有吗？国家的来电。
[174:27.710] 没有，是包括低调点的。
[174:31.440] 他有一辆白色的
[174:34.350] 百万。
[174:36.280] 咱们这颜色什么书？
[174:39.600] 照片。
[174:42.870] 后来
[174:46.940] 但是这个中标准的没有价格的。
[174:50.460] 小米900
[174:53.120] 配置，
[175:02.080] 把这个家伙
[175:03.510] 谁知
[175:04.950] 但这个奖励的31，
[175:10.640] 看看
[175:13.970] 白色的。
[175:22.120] 她比你差小200。
[175:25.140] 老百姓
[175:28.200] 100多毫米
[175:30.030] 的
[175:36.250] 这多少送670。
[175:38.590] 大概。
[175:40.570] 85的
[175:41.810] 包括
[175:45.960] 他爸是很小，
[175:52.360] 出来坐一下。
[175:54.190] 这几天人家配合
[175:55.980] 我已经出来对。
[175:59.020] 第二节您
[176:01.640] 谁知
[176:06.100] 大了
[176:08.680] 昨前定的
[176:11.040] 还有10左右没有谁知
[176:16.200] 定了都已经卖了，你就踏踏实实的
[176:19.060] 卖你的就行了。
[176:20.960] 我没车我也没了。
[176:23.490] 三号没招了，谢谢你，谢谢太谢谢，还想着我。
[176:28.850] 你多少钱，我们那个是时光铭刻。
[176:33.410] +100。
[176:35.550] 明天的标准吗？
[176:37.360] 标准早卖了，
[176:39.640] 上个月就卖了，上面的车子都踢走了。
[176:45.230] 三。
[176:46.440] 车队没有了。
[176:49.920] 你们说吗？
[176:51.700] 还行，这不你们家钱两天后老师分车分了几个车，也是6个车。
[177:00.850] 分的什么你讲。
[177:03.090] 三。
[177:04.190] 几个，我们家分了三。
[177:07.140] 咱三我也分了3135还分了17214三股费，只要1535倍，
[177:14.170] 都是这些车都不全国可能都是一样，
[177:18.390] 真是这么高。
[177:20.480] 谁知
[177:21.630] 就这样吗？
[177:22.840] 月
[177:23.830] 原计划月多了又下了六七，
[177:26.360] 怎么那么多？
[177:30.270] 电话四五系列都车。
[177:33.040] 对了。
[177:34.820] 电话
[177:40.710] 看看靠什么完成任务还不知道。
[177:47.790] 看看。
[177:52.570] 小三车多吗？
[177:55.310] 就一台。
[177:56.530] 还有什么？
[177:58.640] 会的。
[178:00.070] 你家有啥说？
[178:02.370] 你看的的。
[178:04.830] 那都挺好的，这卡其实
[178:07.500] 三
[178:08.320] 多少钱？
