[00:00.000] 7月27，上午10:33接待处
[38:41.520] 按其他的贷年化利率就高了，就3.6了，他都按5年去申请提前还款，没有违约金还本金就行，你管他按几年代对这
[38:50.590] 方案就是区别于前面奔驰金融对就是两种客户自主选择一个补充而已。
[38:56.440] 比如说你就想待到3000，我不想带了您的利息一共是花了26,048，
[39:00.950] 这都能自己算出来利息723，再一个月一个月的。
[39:04.680] 三年是等于7231什么，对你就成36，就是您的实际花多少钱利息，2324就两年对吧？
[39:14.030] 就是这意思对都给了。
[39:17.560] 我了都是不是人人都看到了就。
[39:23.510] 利率是多少？年化3.1。
[39:26.740] 1390话。
[39:30.440] 谢谢你没事了。
[39:32.350] 21是吧？
[39:33.410] 到300%。
[39:35.080] 这个就没有年化这说的对，因为他是计算公式直接出的。
[39:42.690] 现在是买卖车就没有那么好互相之间的
[39:47.160] 这种年化的话，两年的和4.49。
[39:50.600] 年化利率的事。
[39:52.100] 4.49，对，我给您算算。
[39:55.060] 反正给您大概的没法那么。
[39:58.060] 苹果有大概的一个三年的话是5.4脚。
[40:03.110] 对。
[40:04.570] 然后您的首付要提高一点了，
[40:06.720] 你后面利息就一点。
[40:08.810] 就这种事。
[40:15.260] 对，现在咱最近周末两天我卖刹车都是工行贷款，
[40:21.240] 人家都已经批完了，所以我想问
[40:24.240] 真的没意思。
[40:25.400] 我就好多年没买车。
[40:27.560] 很正常，来5年了。
[40:29.410] 这种待不了5年，分值金融最高就3年，对，具体所以才出中华5年对。
[40:35.970] 对。
[40:37.190] 要多多5年就没有意义了，对也不用了。
[40:40.610] 纯金融5年利息太高了，您1年5.49那和5年得多少？
[40:45.350] 钱了还给他。
[40:46.520] 给了25%，您这贷100万，这25万的利息5。
[40:50.120] 年那太多了。
[40:55.480] 其实还是这对。
[40:57.020] 你不怎么办？
[40:58.410] 谁知合适。
[41:00.960] 对提前还给你，这就是他优势，根据您自己我想待到什么时候带到，什么时候没有任何违约金。
[41:06.590] 我就还本金就OK了，一个月就还百多块钱，对利息就是723固定的。
[41:12.390] 顾客的收入关系不好确定，对，而且我不知道您注意到一点，他都是按5年去申请，您的月还少。
[41:20.310] 这种的话月还1万多块钱，这两年的这是8000多。
[41:25.180] 这一下子少3000块钱，而且您同样再到三年利息。
[41:28.890] 这三年的话利息算下来比这三年就多花了1200块钱。
[41:34.080] 这26,000零点，这是24,400多。
[41:37.390] 您再跟我说一下三年是多少钱还？
[41:40.170] 您自己刚才不都成功了，对就。
[41:42.890] 我这主要是根据顾客。
[41:45.680] 得看您自己的需求结构和收入结构，它收入结构里头，
[41:49.590] 比如说像前面那种跟金融，他怎么说，他的固定收入特别明确，我特别明确，所以我就会这样。
[41:56.650] 而像这个工行就什么，我说不定我今天收这么多过年，我啪一笔钱就进来了，我就怕了。
[42:04.060] 我灵活我灵魂就像我们卖大车的时候，他做工程那种，他的工程款不定什么时候结回来，他就按这申请，有时候还几个月三四个月的钱回来直接就给了，对。
[42:14.440] 因为它按照正常这种去die的话，它局限性太大了，对。
[42:17.720] 剩余本金的3%的违约金提前还款那就不合适了。
[42:22.410] 他跟你的收入结构关系，他来选择它的金融方案，也就这样。
[42:27.150] 你就慢慢的就了，对。
[42:30.680] 因为咱们每个客户他的这种经济状况是不一样的，还有他的这种经济来源。
[42:36.850] 主要经济人员就说，但是固定工资的其实还是这个不对。
[42:40.900] 是吧？也分怎么说供应公司，
[42:43.770] 要不我也想下班了，为什么？
[42:46.290] 没有局限性，万一我自己这种我后边我不想带了，因为每个月都想着我这是后边的话，假如你想买房，
[42:54.610] 您现在名下有贷款，每个人的贷款额度是有限的，就固定多少，比如说能批500万，我这房需要带到440万，
[43:01.870] 我这车假如说他现在我带着70万，我的额度不够，我这房贷我批不了那么多，
[43:07.830] 我只能说一次性把这车钱堆满了，我能。
[43:09.730] 在网上贷房子。
[43:11.260] 每个人名下能贷款的额度是有限的，它会占您的贷款额度的。
[43:16.120] 是这样。
[43:16.850] 这还有一个贷款额度的概念，就是另外一个概念，包括这家公司它也在选择这个问题，
[43:22.960] 所有银行工商银行费他也要贷款额度，
[43:26.470] 不吗？他一个盘子那么大，就是汽车行业最高贷到150万，但是非常有各种面前非常难，正常是贷到100万。
[43:33.830] 因为车的话最高150万。
[43:36.640] 对。
[43:39.110] 但是这基本上10%的批复率就征信没问题的，也很难批到155。
[43:45.090] 提出律师吗？对，咱分买什么车了？豪车。
[43:48.270] 的好像不必要带着点什么，
[43:49.990] 不去买这车就愿意带。
[43:51.740] 卖花卉8月买这车，元代不是
[43:54.320] 要买豪车，你150万不是存贷款额吗？
[43:57.420] 人家对车这车是超150，这块200多公里有耳麦卖马巴赫多少钱都有，迈巴赫你想多少钱都有。
[44:09.680] 我这脑子想就那天乐跟签约或者对咱那边
[44:13.840] 为啥呢？
[44:15.950] 像那样的他都不会在乎的，人都是抢跑了。
[44:19.050] 待咱们这楼前两天刚提出来是去年。
[44:22.200] 他对
[44:23.460] 他对骨刺的媒体库里还不知道。
[44:33.080] 也就这样，你叫我的想法是
[44:34.800] 全面了。
[44:37.130] 公司的情况，你们公司要想买得就特别复杂繁琐，对。
[44:42.940] 也就别散分这种模式了，直接全满足了，对。
[44:46.300] 因为公司买的话就得是因为他要用很多次公章，营业执照提车办手续的话的来很多次这名字。
[44:53.350] 还反映的问题是吧？对。
[44:55.800] 而且还得公司的话，这边公对公转账还行，要是个人的话，这种来回的委托非常垫付。
[45:01.950] 你应该让给了，不能对。
[45:04.940] 而且得有委托公户必须有委托人。
[45:08.410] 对。
[45:11.440] 有针对性的，我没想到就是公司贷款的话，委托这个人还得审核这个人，因为他是用公司名义去贷款还款的，萎缩到个人，因为公司没法直接还款。
[45:21.250] 对，反正
[45:24.200] 分数它就非常繁琐。
[45:26.600] 240点。
[45:28.910] 这3点多对的，回来。
[45:33.430] 年化3.1，而且刚才
[45:35.040] 就是说什么灵犀的咱们这儿没有是吗？
[45:38.660] 打个车款拿来吗？奔驰没有灵犀。
[45:43.070] 但是宝马是什么贷款额的4个点手续费，您贷100万就是4万，
[45:47.910] 利息什么车能到那么高？
[45:50.660] 多少？
[45:51.570] 4%是吧？对，手续费是4%正常对。
[45:55.700] 说白了你得让人家帮你拿钱去找钱去了，你要不得给人钱，
[46:00.690] 那就不应该吗？让分子我们去理解。
[46:05.580] 收手续费4S店就是纯利。
[46:08.880] 收利息的话就是银行的。
[46:10.980] 前几天杭州女孩那个女的奔驰它本身那是去年这不叫手续费吗？对那事怎么着，因为那是他因为有办法。
[46:19.290] 不是，因为这个是他在他之前他就不收了，只不过外地那边收这手续费，不是店里收拾销售自己挣客户的钱。
[46:25.870] 转的是个人。
[46:26.910] 信对。
[46:28.720] 好几千他找到了维持一方面利星行的吗？银行在中国整个全都是连锁的。
[46:34.810] 厂家之间我把这电影就给他关了，后来咱这女的没烙好车，没收了贪污500多万，直接现在监狱待着。
[46:41.640] 也没弄好。
[46:42.780] 挪用公款案当事人那女的对，为什么他挪用公款了自己？
[46:47.730] 被没有拨款跟奔驰有点事。
[46:50.690] 恩奔驰没关系，反正他也没老好，都是这怎么他这闹的鱼的压力太。
[46:54.350] 大了已经明了以后就出事了。
[46:56.270] 对过。
[46:57.220] 他也是在机关单位这种上班的，反正还是机关单位就不个人，不是因为她怎么说，她这么一弄接着做，她影响市容的那种，因为已经闹得整个全中国都。
[47:06.950] 沸沸扬扬的了。
[47:07.930] 政府一旦介入一查，我得抵掉全出来了，
[47:11.500] 挪用公款什么那些全出来，直接就给拘了一下，跑还车也给没收了。
[47:17.840] 肯定是车就是那首歌当宝的。
[47:23.490] 行吧，你吃饭。
[47:24.980] 这到哪儿全都知道，这是你们圈里的事儿了，相当于谁知道，谁知们说一下这是吧？
[47:33.650] 也不用说这很快就能分开了。
[47:36.240] 我有的不知道，我也挺关注，这是我经常的，原来在这，后来后期这样的，我这么
[47:41.640] 咱问一下您置换是我把。
[47:45.870] 您就车假如说开过来之后，师傅给您评估，评估5万也好，10万也好，价格您认可，咱们提当新车当天您把旧车交到着，然后这边二手车部门把款打到您账户，咱们新车没办完手续。
[47:56.610] 您的钱就到了，新车该交新车的同时进行都可以，新车这边到咱们分期的话，当天是开不走车的，第二天过了凌晨24点您就可以开走，
[48:05.640] 因为他要等一个银行放款，4S店收到的永远都是全款，您贷款是跟银行贷的，
[48:12.670] 您首付是交店里的，我
[48:14.380] 我也可以不卖给你可以对不？卖的话没有这补贴，那就没有补贴，卖的就是拖累6000块钱。
[48:21.950] 是这意思。
[48:23.020] 您要是外边自个去问的话，能超过这6000比价格高了，是不是？超过7000是电力评估的价格，再加上补贴，你外边卖的价格比高，你就去外边卖去，这种的话在4S店置换，
[48:35.330] 车灯这什么过户，然后最后的费用包括更新指标您都不用花钱也不用管，这都有师傅给弄，你就把身份证到时候是不是会通知您把身份证送过来就行。
[48:46.350] 了身份证送。
[48:47.660] 对，要不您就是开票当天就留着，因为他们师傅过户需要身份证。
[48:51.280] 这手续就是比如我要办跟。
[48:54.270] 办手续都是叫代什么东西。
[48:57.120] 是贷款需要带什么东西，我都要准备什么或者怎么样，这边的话指标您的身份证。
[49:03.160] 然后蒸一下。
[49:04.610] 这个等会不用您记，咱们比如说今天假如说您订车，银行从事现场就在这儿，然后它会直接就给您银行这边会给您打电话，跟您约，一般都在4S店里，
[49:16.540] 需要带什么东西他会提前告知您。
[49:18.740] 对。
[49:19.500] 一般都有什么身份证，然后社保卡主要是这些，然后社保卡，
[49:26.150] 北京市社保。
[49:27.620] 对，因为您正常贷款的话，他会查您在北京市有没有社保。
[49:31.920] 没记住，因为社保是牵连，没反应会不会没有社保的基本就贷不下来。
[49:37.530] 因为在属于在北京是没有固定工作，对，没有公司给缴纳社保就属于没有固定工作，你的收入来源就无法确定。
[49:45.910] 然后个体的这种他肯定的经营户这种他有公司自己是法人也好，或者是合作商
[49:51.720] 合作法人这种就是股东他也有经济来源也可以证明，这就是二选一这种，就说如果没有社保卡，
[49:58.410] 我至少得有一个个体经营这种公司的。
[50:03.370] 我一般都是我把北京的社保对那就没完了。
[50:07.490] 没事，完了老了之后怎么办？
[50:09.200] 按没事我跑到买奔驰干嘛？
[50:11.710] 一买一个
[50:14.030] 对吧？0就妈妈和的，比如说我没有社保卡，我自己有房产吗？
[50:19.390] 我自己有房产证，
[50:21.390] 房产名下有房也可以，那就成另外一个概念了，去拿房产抵押去银行贷款，
[50:27.330] 是不是？他是证明这您名下有房，然后
[50:33.060] 但是您每个月的收入来源要覆盖着还款额。
[50:37.340] 明白我有一个银行的流水或者是上税的证明。
[50:44.900] 对，主要就是这些东西证明您的名下资产它有进出帐。
[50:48.630] 账这些。
[50:49.540] 对，或者是因为它覆盖有多少，就是存款这种。
[50:52.930] 非常简单，主要是去银行身份证他一出您所有征信记录全都出来了，对。
[50:58.920] 然后名下有多少财产也都出来了，打流水的情况。
[51:02.360] 对，就知道是你没有社保卡没关系，但只要你财力够，你说可以对就能证明您名下这些财产能覆盖这些车险就可以，还有有房款都有。
[51:15.570] 就没事。
[51:16.700] 对，那就审核的快一点就不用了。
[51:19.920] 审核大概多长时间？1~3个工作日。
[51:22.420] 款1~3个工作日，你身份证、社保卡或者个体经营，然后或者财力都可以对。
[51:29.510] 一般的教授跟你这么说，
[51:31.570] 不用信用卡的逾期，不是老外都能批下来。
[51:34.540] 那天我订他怎么说，他这是外边自个租指标，找到指标人，他说换指标人了，
[51:40.530] 那个人20次逾期，每次逾期在9个月以上就故意的，完全就是恶意不还款，银行已经拉入黑户了，
[51:47.010] 第一步就去了，
[51:48.160] 提上去就去了。
[51:50.580] 他都有联网的，对。
[51:52.440] 已经抓住黑户了。
[51:54.100] 对，你必须得，然后你还需要别的吗？
[51:56.900] 没有不需要，很简单，对。
[51:59.760] 然后这边的话贷款批了之后，他会第一时间通知到4S店，然后这边他们会银行给4S店发布批贷函了，
[52:05.440] 这边我就可以通知您过来带走，可以。
[52:08.890] 银行发给谁知有关系没有批贷函，你提不了车到门口去，就是说对于我个人来讲也不用管。
[52:19.120] 您什么都不用管，它是对我们来对接这些，不过。
[52:21.630] 好像这个手机一样简单，要比这房子整的。
[52:25.340] 对，您就把身份证那些信息发到群里就行，到时候见一群，然后奔驰金融这边咱们有店内有驻店同事，
[52:31.980] 它会直接就告诉你需要什么东西，然后他就给您。
[52:35.560] 对。
[52:36.360] 直接编辑好链接，然后你点链接一步一步往下填就可以了，在手机里就可以操作。
[52:41.780] 可以了，对。
[52:42.950] 在手机就可以操作，需要提供一个房产证怎么着V。
[52:47.330] 一般的不用他。
[52:50.440] 个人信息还有配偶什么信息，就是工作年限在这，然后居住现北京现居住地址居住多长时间，主要就是这些东西。
[52:57.390] 基本资料对。
[52:59.770] 这种是厂家的审核的稍微更简单一些，社保，但没有正常工作。
[53:06.090] 那就看您个人名下的那种存款什么的，那就批不了。
[53:10.710] 基本上对你都没有偿还能力这种问题，比如说
[53:14.060] 有社保卡也有身份证就行，不是。
[53:17.660] 得因为我说了不算，您说也不算，您光有社保还有身份证名下没有任何存款，没有经济来源，他肯定不辟谣。
[53:23.430] 不是不好意思，比如说像他工商银行，像您说的是这样，如果我要在这块我就完全不影响是吧？
[53:30.820] 那就不影响他一样，对。
[53:33.650] 等你分不同影响这样。
[53:38.150] 我们这里都特简单，这个放大很快还是也一样，
[53:43.270] 都差不多多少，你看你北京人就放，
[53:46.220] 谁知带D
[53:52.740] 我不是北京深圳吗？
[53:54.220] 你可以在北京，有的是人这边北京有房产的那些，
[53:58.360] 就说在北京有工作都可以干。
[54:01.080] 梅州市对吗？就这么着就睡着了，这房产不用非得是房产有居住证就行了。
[54:08.790] 居住证有正常工作来源有收入就可以。
[54:12.630] 然后之前不是给了订金条，加了一个订机票，
[54:15.990] 然后没有对您看对着报销单还有什么疑问吗？再给您解答一下，不能发生变化
[54:21.740] 吗？对，背面是对是我有电话的支付宝什么微信有什么顾虑方面的吗？
[54:30.000] 型号对，下边二维码有一个服务公约，然后交警送的就公司再动员。
[54:36.260] 你来的话最好在二从这然后给你激活梅赛德斯密，就是以实际的使用人激活它以后使用没有问题。
[54:46.250] 我就知道一个80%都是贷款，
[54:48.600] 不用太车辆护理，他们离婚了。
[54:53.080] 这都是贷款对。
[54:57.560] 在香港也越来越少。
[54:59.670] 完了对，因为怎么说，不是这些低，是因为钱是贬值的现在
[55:05.570] 他钱越来不值钱了。
[55:07.130] 您把这钱拿出去理财，干别的能挣回钱了，买了车之后他就是每天往下掉价了，车的销号费了，收到了，对，他只要开了票之后就每天都往下掉假。
[55:16.870] 维修过你加油，这些都需要消费。
[55:20.970] 没那个
[55:23.210] 因为正常保养的C宝1158保1660 1000或1万公里。
[55:28.750] 挨着小小宝对300多少？
[55:31.750] 1158。
[55:33.040] 医保
[55:34.010] 1600万。
[55:35.240] 1600多。
[55:37.400] 没有便宜。
[55:39.830] 你还没到60万的时候，68,000。
[55:42.680] 根据看不是说必须6万公里，您看您自己实际能明白，假如就到了6万，你看您需要换什么东西，这边就说后头了算了，那得。
[55:52.970] 我前天到的七八天。
[55:54.960] 看着陌生，完了不一样，当天就靠马路。
[55:58.710] 我都不知道，但是买车那就买这买都买车了还买保险，那是现在出来听吗？开车了吗？对，您拿手机扫描一下码手机车牌号码。
[56:11.230] 拿在微信可以了别说了，好，然后不是看看人
[56:17.370] 侯杰。
[56:18.530] 你要看的话保直接去考也可以，出去时候在出租车上得确定。
[56:23.020] 不是，他是三个小时之内免费停车，你看完之后15分钟之内不出去，再加上车费。
[56:28.470] 对谢谢，没事您放心，明天值班战功一两分钟给您打回访电话，您看上午下午几点关门？
[56:35.940] 你说明天还没睡觉，
[56:38.580] 上午上跳了，其他装修也开始。
[56:41.480] 9点以后的时候。
[56:43.040] 好勒。
[56:46.370] 包经理。
[56:47.680] 这是纯进口的后卫介绍咱这个地方的。
[56:51.150] 这个地方在欧洲过来的你们生活对。
[56:54.920] 这配置不高咱就被吓过。
[56:57.050] 20万。
[56:59.430] 还是这样。
[57:00.950] 这对咱们这有现车没事。
[57:05.370] 你不吃药了。
[57:07.520] 感谢您光临，再见，慢点去。
[57:33.760] 接待完毕。
[57:38.940] 我不用讲车不睡觉，
[57:41.740] 刚开始看一下是
[57:54.840] 主要是了解了分期
[58:44.930] 接待完毕。
