[00:03.320] 好，听说了吗？后边候鸟。
[62:32.020] 没钱住就是一分钱，别少多少钱就是多少钱，我觉得不会想说什么时候对那么多一份少有的话的给您退过去。
[62:41.560] 回头到时候因为明天来了可以全都您好好照顾，今天没法接受说。
[62:47.250] 完了我还给你发信息，你给我明天给他。
[62:50.990] 我来请您来举个来说，会有一个梅赛德斯me的开头，
[62:56.260] 然后要不然您带着您的身份证，
[62:59.080] 然后拍照片，
[63:00.560] 然后我们这回去明天中没在这生意没事的，春节是干什么的？就是说您可以通过手机的软件，然后看一下
[63:07.630] 的状况，就是有的房屋什么，如果您二位多使用，你们都可以把您给开了，我们使用让
[63:14.650] 您就把您身份证回头什么格式你帮我拍照，咱们我就给你。
[63:19.940] 明白，我给您拍一下。
[63:22.130] 拍完以后到时候用，明天我给您拍就行，我没拿手机。
[63:26.970] 你拍一下，然后这样手持身份证我给你拍点什么，或者您拍了，
[63:31.930] 您就这样把搜索这种报纸拿着身份证，然后把你拿我手机拍，
[63:38.030] 然后我发给他的。
[63:39.700] 行。
[63:40.890] 因为怎么都行，我也知道。
[63:42.880] 什么意思？他没在公司面开通，有一个设计师做完之后。
[63:50.950] 往前推，
[63:53.570] 放心。
[64:04.360] 我发给他，他发给你对。
[64:06.180] 好的，然后身份证你放我这，到时候回头您可以用您的手机号给您开通一个煤炭和思路一下。
[64:11.440] 上海私密它是手机上的下载一个用电器，然后咱们通过这个手机您可以看量，
[64:18.030] 车辆的状态，比如油耗，然后后面操纵关好所有一些车辆的状态，
[64:24.160] 而应该监管车还有个远程发动机启动，谁知三天
[64:28.020] 通过手机的系统打架工商户
[64:32.010] 那不需要是吧？
[64:33.780] 不行的话韩愈到时我给你看那照片上画一下就行了，但是明天您来，姐您拿点
[64:40.210] 什么时候我好吧，因为他们有一个什么小车几点来。
[64:45.460] 您等我消息您几点上午8。
[64:48.370] 那下午您几点钟？
[64:50.580] 我几点钟？
[64:51.790] 下午两三点吗？
[64:53.020] 就差不多今天那个点来，行，您来了我给您安排来好吧？然后我来了就争取让我说情况又怎么样。
[64:59.660] 行，但是也得讲讲拖，然后有个买充电房，当年差不多半小时4分钟时间您来，之前我上午把所有的
[65:08.020] 办理搬走的东西发去，您讲完之后这边说完全面一句话他才能走联通。
[65:12.600] 然后就车那一块可能得耽误一点时间。
[65:15.340] 您来了就是得评估，然后出了多少钱你得签一合同，那钱会打到账户上，就这样。
[65:21.410] 打到他账户，他本人车主是谁？
[65:24.480] 自主逻辑没事把他把部队打得她丈夫那就行。
[65:28.440] 能现在大概几公里车站吗？
[65:31.500] 可以看一下您说话能够预估的话，你不能再这么一大概。
[65:36.350] 我发给你请您发给我就行了，我是原则是简单的
[65:41.260] 的，您身份证不让我了，明天您过来的时候把证咱们也拿走。
[65:46.720] 被打倒的联想到。
[65:47.940] 我知道。
[65:49.240] 他来的时候还拿着过来麻烦你拿了我您拿着这个过来。
[65:53.780] 到时候给你扣好章，然后明天开车的手续有可能给你。
[65:59.290] 保险你明天再说吗？
[66:01.290] 明天看，就是说今天如果说您今天开完票，今天要3:30给我转账，我开完票以后，我今天就把保险给您出了，做保险的时候留的是您的电话，
[66:11.440] 您注意接听下电话给他确认投保就可以了，盛其它就没有了。
[66:14.960] 如果今年要出不了的话，我就明天一早给你，就是保险公司给我打电话，保险公司给您打电话，他们电话号码因为都是
[66:22.500] 是那种我跟你说开头的，您怕打没事，你今天
[66:27.840] 电话没电了。
[66:29.220] 行。
[66:30.750] 没事等。什么叫落落？
[66:34.640] 那两者要不然您放歌没事出去好了。
[66:41.690] 刚才说过了，
[66:44.630] 咱们嫂嫂为什么
[66:46.920] 这样的，咱们会有两个钥匙链跟原厂不一样，我们交车时候会送，
[66:55.800] 咱们楼下要写。
[66:57.400] 楼下也有。
[67:02.650] 转完帐以后您微信跟我说一声，我这边就给您办理授权。
[67:09.460] 节主队到时您发给我。
[67:18.120] 然后这边是卫生间。
[67:41.970] 先
[67:42.720] 待会就行，待会要抽烟。
[67:45.340] 一会儿码让他扫驿马。
[67:47.700] 一会我也跟您说。
[67:52.370] 找个凉快点的。
[67:58.280] 这波这不是原来保时捷保险。
[68:02.670] 对咱们现在所有的品牌出发点都在这处。
[68:08.460] 8米的是那样的。
[68:10.820] 跑起来。
[68:11.630] 来过这里来过这就是。
[68:13.600] 咱们现在餐厅也都在这二层。
[68:17.830] 原来就是一个
[68:20.160] 那是很多品牌。
[68:22.600] 沃尔沃
[68:23.720] 不是那比那什么打。
[68:25.890] 不是车吧，那不是错。
[68:29.230] 那个时候。
[68:31.050] 星巴克咖啡、
[68:33.130] A是那个吗？你说小熊小鹿那个是吗？
[68:36.900] 不是。
[68:38.000] 您说就插的。
[68:40.640] 那是老板有一个就类似于餐具。
[68:43.600] 品牌的那种，
[68:56.870] 你又新增加沃尔沃了。
[69:00.610] 这是去年开的。
[69:03.750] 去年开。
[69:05.800] 没到11年北京一年多点，
[69:10.230] 开了有Volvo，
[69:11.670] 还有其实不少。
[69:13.570] 奥迪也没有，奥迪也没有，这边电影应该最早那会是保时捷。
[69:17.900] 感觉保持要保持，
[69:20.680] 然后增加奔驰，慢慢地保持一些什么的。
[69:24.720] 奥迪
[69:28.470] 要怎么进去？
[69:29.760] 抱歉先生，咱们这边现在只有
[69:32.240] 没开，您从对面那个门从那进就行。
[69:35.780] 没事。
[69:36.850] 知道。
[69:43.250] 你看看。
[69:46.040] 到哪？
[69:48.050] 然后您得输个全。
[69:51.470] 我跟您说您车牌号多少？
[69:53.930] 现在开始还是基金ET27轻易第26二十七。
[70:00.630] 后听候，听收到吗？庭后听。
[70:05.880] 你帮我输个全面背后。
[70:09.850] 京et2627。
[70:13.180] 那个是京ET2627，谢谢。
[70:20.640] 差不多可以。
[70:21.880] 了。
[70:23.210] 行，说完了您走就行了，直接离场就行了。
[70:31.840] 然后咱们第二楼去玩，从出口出去行。
[70:35.030] 好勒，您慢点也行，慢慢地发给您，好勒好勒好man点去。
[70:40.200] 现在都还行，好了。
[70:55.550] 庭后听。
[71:02.070] 先生咱们这边进不了，您从那边去对。
[71:05.680] 他对能进。
[71:08.330] 这个就已经可以中间隔了头儿了。
[71:51.560] 了。
[71:54.270] 说完了吗？
[71:57.470] 明天大概差不多20多台，估计差不多在地
[72:04.370] 经历帮我说精益第二六二几乎这个时间
[72:11.140] 在继承这批了二对经义T2627，
[72:16.950] 晚一会给你打电话，我就打个电话。
[72:21.160] 你那什么呢？
[72:24.290] 我就说了。
[72:26.640] 告诉电量
[72:28.090] 了。
[72:28.940] OK，好，谢谢。
[73:17.800] 怎么样了？
[73:21.680] 录完了。
[73:23.720] 明白了。
[73:25.390] 完了。
[73:31.250] 不知道吗？
[73:33.450] 我们也不知道怎么弄，
[73:37.230] 这个是不是肯定是不了，
[73:41.950] 没有什么
[74:02.170] 元模块服务合约模块是不是就是校行政的？
[74:04.820] 有事吗？
[74:05.800] 我感觉好像最后他们是不是
[74:11.870] 申报就应该找厂家报销的。
[74:20.080] 还没有
[74:21.600] 这种欧元系统申报的高收入者，
[74:32.080] 二
[74:33.760] 又不接电话了。
[74:42.310] 然后
[74:43.020] 上装了找到了
[75:26.090] 李先生。
[75:35.850] 那个是金融的，金融的需要您确认。
[75:41.050] 吴经理你要O df中
[75:43.510] 做完了还能组成，比如说现在可能想送保养，
[75:49.280] 现在厂家同时发一个什么需要在OTA中什么还得心勾选提交售后增值礼包，那车都掉那就行了。
[75:58.040] 对就可以了，您就不用管了。
[76:00.950] 咱们销售什么看能退吗？能退的情况对交流一下，找我开会建设成功就可以。
[76:05.670] 你修改一下好了，炎症那些man感受好好，你交出日期就对不上了。
[76:15.500] 乱七八糟问题。
[76:17.180] 对OTR中都找不着他，
[76:21.010] 他只有成交的能选到清河小，但是他们选择到哪风险
[76:27.020] 来。
[76:29.130] 等这个月的
[76:32.530] 把
[76:33.760] 实验你要是选到你就选修是选，然后你再去选礼包了，你看行不行？
[76:41.350] 我再选8选。
[76:43.500] 对，他没有你高了不看了。
[76:47.600] 他家里包你先把分期给他选上。
[76:50.800] 没事是吧？
[76:55.400] 你就说再选一个厂家，两个现在显示。
[76:58.520] 这个是分期是吧？对。
[77:01.060] 你看监控产品都不选了吗？这个没毛病。
[77:04.880] 待选项的时候，
[77:09.740] 你养猪里边只能他们去维护，
[77:12.570] 这个不对，就应该是有什么自动带出来。
[77:20.890] 然后下边还有选养护礼包的地儿吗？
[77:23.970] 就只有这是没有拿。
[77:27.350] 付款方式这已经变成贷款
[77:29.550] 了，这也没毛病了，这是没问题，要不然还有一种方式，这个人他就是什么，还有一个
[77:36.440] 除非是这个位置，
[77:41.160] 除非能带出礼去之前在咱们店里买的车的车牌号，
[77:45.360] 就这个位置。
[77:52.570] 这个位置我不知道能不能修改了。
[77:55.800] 我觉得还不错。
[78:01.740] 我这简称租赁的。
[78:03.680] 然后
[78:04.680] 选择租赁的房维修想没有问题。
[78:08.730] 我走了。
[78:10.010] 什么肯定是不得了，我这样。
[78:14.950] 你OPI已经结算完了以后，包括财务都讲完了，
[78:17.880] 你就让他给修改了，
[78:19.590] 财务马上返D了，
[78:23.930] 只能注定的不知道吗？
[78:26.840] 谁知包括排队
[78:34.770] 给什么？
[78:38.120] 而且妈妈也跟卖差不多。
[78:40.440] 我觉得你爸亲妈都不买合适，
[78:43.020] 对吧？让它不送保险合适，
[78:46.870] 送你就正常买衣服。
[78:49.260] 你要是一批送了保险也发现12个问题，
[78:55.190] 你还不传达那么多送的，我
[78:58.820] 比如说我卖13,800精品，然后展厅经理全县有5000，他必须得按你经理权限。
[79:06.050] 对5000，对可以，你没因为他们销售流程怎么区分，
[79:12.070] 13,800我送了5000万，不让看你有没有一架。
[79:15.410] 我直接用衣架去，没有议价的话就从你这里边扣扣着，这就不成立了。
[79:20.630] 我的认为是这样的，因为确实有人说过说送完保险就没有这一批，
[79:27.270] 我们最后其实让我觉得你卖1P也行，
[79:32.170] 万一他要不那么算了，他要给你算12，
[79:36.850] 什么我说你要卖一批13,800卖一笔大单也行，
[79:40.440] 理论上是应该有个12分，比你任何的题讲的都合适，
[79:45.940] 对吧？他要是说送的保险没给你往那块剪，还是按一批走，
[79:51.440] 他即使剪了也差不多，
[79:53.120] 也是8800，你可以把一批套餐里边的
[79:57.520] 膜给它换了，换成一本的那种
[79:59.890] 能量能吗？不行，价格她没法跟我没没关系，那你这就
[80:05.270] 尴尬了。
[80:09.590] 是不是刚刚？
[80:20.280] 没有，这是谁？
[80:24.040] 照意思这是谁的？
[80:25.640] 王杰。
[80:26.660] 跟冲叶主任说那固废吃饭，
[80:31.630] 还本来就应该不分
[80:36.340] 先后过。
[80:38.600] 上网资格减5分。
[80:40.910] 嘴硬吗？
[80:42.640] 都这样子ing的把客户惹毛了，客户毛了就不跟谁说去。
[81:02.390] 去坝上。
[81:05.640] 你跟我说了不着急，
[81:08.170] 流程课你们都帮我多看看，
[81:10.500] 不着急，
[81:11.620] 反正就找动摇。
[81:13.260] 目前可知道卧槽不行，我给你放你门口弄什么，这才什么意思呢？
[81:23.960] 实际上咱咋整今天又没定呢。
[81:36.160] 咋又没定上呢？
[81:38.450] 别人放弃。
[81:40.470] 你也放弃了，我就明天喝风了，
[81:44.610] 没办法了，想卖也卖不了。
[81:46.790] 为啥呢？
[81:49.960] 叫不动了。
[81:54.730] 这起伏也太大了。
[81:58.230] 我感觉这可能说还是得另外他们这操作
[82:04.110] 陆川进不了。
[82:06.890] 对。
[82:07.640] 韵脚。
[82:09.970] 两个面包喝，
[82:36.440] 我这是没办法，
[82:38.040] 我调了半天这里边也没有。
[82:48.640] 这样。
[82:50.160] 我跟他过去
[82:52.650] 怎么说的？
[82:55.400] 我去给他打电话，他还估计
[82:58.890] 老师多少张。
[83:03.490] 这样不管汇了，你查一下，
[83:10.720] 这一个A早卖到5万平米。
[83:13.420] 我问我这事，
[83:16.270] 你们都来
[83:20.880] 聊一聊，我请教你一下，你这个算特别
[83:25.030] 就说怎么办说
[83:27.270] 不是我这10,300给他送，我天想不到咱们这儿。
[83:34.120] 谁知
[83:36.020] 13,858。
[83:38.220] 没错。
[83:39.470] 的，药店14个。
[83:44.350] 给
[83:45.720] 特别的
[83:48.360] 我怎么疯了，百八十块钱能卖，我卖6块钱，其他的会优惠。
[83:56.360] 但是如果穿戴不用分的，
[83:58.420] 保单梁羽生
[84:03.460] 什么地方？
[84:05.620] 1~3吗？
[84:08.050] 13,800在盈利你完成荧屏视距基础之上才能给你12分。
[84:13.620] 怎么你们也
[84:15.680] 不卖一瓶，
[84:17.360] 知道吗？所以说这种的话你就拿一个什么？
[84:20.710] 你就拿一个基础分就行。
[84:22.280] 给你一个分。
[84:23.360] 买8克智能推荐给3块钱，保险收费13,000还是
[84:28.770] 这事算完成了。
[84:30.600] 是。
[84:31.860] 是得先两个开票才能打开交割单。
[84:35.360] 应该算是吗？
[84:36.980] 不是吗？就算完成给你送礼完成买不用不超过交单，我现在。
[84:42.950] 我现在就能打的可以吗？
[84:44.980] 差点了。
[84:46.850] 才哪了？绿的。
[84:49.210] 反正亏了就亏了。
[84:50.790] 亏你亏我这么man亏不负利润肯定负利润了，不是我们万一发现装饰咱亏研究有保险，
[84:58.400] 有东西吗？没有可以，多少钱几千钱还有。
[85:04.680] 验车1500，这2000 3500 3500没了，3500你一中是你成本
[85:11.400] 三两千多。
[85:12.960] 明白你6000 6000成本，
[85:15.690] 对吧？
[85:16.250] 9000多年评估是1万12,000 2900。
[85:19.620] 对这4500吗？
[85:21.160] 我这起码卖完亏4000。
[85:25.530] 我这不给他都给我留3000块钱一价行不行？
[85:28.720] 你一样我这里收音机的安装是这样吗？这种怎么样呢？一样吗？
[85:38.550] 老板
[85:41.110] 不可能坐车不
[85:42.910] 都肯定有数的，明白，他只是说负责多姿势而已。
[85:46.580] 那么牛津要有一个家S波
[85:50.080] 付4万，
[85:51.530] 怎么做的？咱先经济学家130，
[85:54.950] 外边评价
[85:56.360] 加8分钟是你不能聊，不要总是存款，
[86:00.590] 不是评价，
[86:02.170] 你中奖把这个了
[86:04.830] 大了，
[86:05.720] 你没有突破，
[86:09.710] 突破
[86:15.230] 没错吧？
[86:27.560] 卖不了吗？
[86:28.720] 又有。
[86:30.180] 不是-4万就别回来。
[86:32.230] 我月有没出处吗？
[86:37.320] 我也了这种。
[86:38.840] 1号
[86:40.050] 变革。
[86:42.260] 我没那个码都没了，我看到。
[86:44.820] 只要你让他去千，显然我就叫他弄了，
[86:47.820] 她不去了我也忘掉了。
[86:51.200] 刚才来电话行，我说高档房
[86:56.170] 的。
[87:01.660] 赵姐。
[87:06.690] 先生这样可以
[87:12.830] 在手头有点别的事，你是到了是不是这样？
[87:25.330] 行。
[87:26.860] 不是你找我你我找完全一下，毕竟身份证。
[87:30.640] 好勒医生。
[87:40.800] 0点左右都不分了。
[87:43.670] 接着
[87:45.040] 明白我有一家。
[87:47.880] 明天找个问题，
[87:49.830] 完了我这边不同意，
[87:52.920] 到时候这样子怎么办？
[87:55.760] 买卖。
[87:56.710] 没办法约这么
[87:58.900] 你能越过三四万，
[88:01.630] 要求咱们这车平常是要求600万，
[88:04.970] 我的附件3
[88:06.780] 有4万多，不算保险算验车那才怎么样多少呢？
[88:11.120] 对，那4万你们的意思就是评价的
[88:14.440] 服装是
[88:17.190] 400在哪里？
[88:19.050] 这是个富家年月的四上的问题，整个北京市也没有这件的。
[88:24.280] 原定是8000多，
[88:26.600] 年支出1000，
[88:27.840] 你也能做超市这么43，
[88:33.120] 我8年不来。
[88:35.710] 他以前也是这样的。
[88:37.450] 百年不会
[88:40.780] 咱们有什么样？
[88:43.630] 600。
[88:45.330] 在公司4万。
[88:48.390] 是不是多？
[88:51.970] 就少一点。
[88:53.450] 快乐。
[88:54.870] 万八千块钱，现在我们时候
[88:58.090] 要付出的太多了，没有成不了。
[89:14.750] 我方
[90:35.850] 反正那块
[90:37.160] 是吧？
[90:38.150] 是吧？
[91:08.530] 刚才韩斌接了，
[91:11.990] 那么我再给打一个
[91:13.600] 来
[91:38.000] 他说
[91:38.740] 将来今天卖了一车
[91:41.650] 外地车，然后他
[91:44.460] 有一个朋友咱们电梯的时候，
[91:47.320] 然后
[91:49.020] 是SOHO那边就是给介绍过来的，
[91:51.980] 然后现在要给这个人做一个
[91:54.620] 做一个保养，
[91:56.160] 麻烦你把给经常会
[92:01.300] 做很多人用了。
[92:10.540] 没意见。
[92:13.390] 说明
[92:15.180] 没有客户编码。
[92:20.220] 来了，
[92:23.200] 现在帮怎么弄？
[92:26.490] 宋朝等等人。
[92:28.350] 行，就不用非常明显，好，王怎么写？
[92:31.860] 说明。
[92:33.010] 说谁知
[92:34.480] 一小时网糖了不行，教堂是吗？人家方便不甭管人在谁名下，
[92:42.280] 直接做小你操作呢？
[92:46.370] 应该说你们看到什么？
[92:48.580] 过程应该是什么？
[92:59.560] 干活了吗？
[93:02.200] 还得保障反正。
[93:03.320] 感受。
[93:06.310] 老师没有人帮咱们看什么，
[93:09.000] 还说你颜色看过度查，你联系反映出来
[93:12.930] 是小报那谁
[93:15.530] 怎么他们现在不答应了，咱们都没法换了。
[93:19.020] 后来怎么沟通？
[93:21.270] 等我就麻烦了，我找他们政委。
[93:31.040] 这不说话。
[93:33.120] 那叫什么力明白吗？留D
[93:38.050] 您包括奖励来着，刘丽怎么样？
[93:40.890] 宽带。
[93:44.200] 大家叫不叫朱爱萌萌？
[93:46.560] 然后就来了。
[93:48.480] 塞这么厉害。
[93:50.970] 7月份户外毛利率
[93:52.790] 外蒙要结婚，
[93:54.490] 一上一。
[93:57.710] 了。
[93:59.100] 来我这袋子还没打，它又梦游来了。
[94:03.600] 转眼之间
[94:11.290] 五传承李吉劳那快来了。
[94:14.820] 听懂吗？
[94:16.440] 我估计是打
[94:21.030] 刘发哥这卡了。
[94:22.530] 进入办公室。
[94:31.030] 投资买回来。
[94:50.940] 这的钱
[94:54.360] 为什么他们
[95:02.950] 是包括吗？我俩也看过，等到你看看行不行，我不会在我等会。
[95:09.180] 这就问问亚伟，他说让我妈给他点水果，然后什么在只要上了之后，
[95:14.910] 我的
[95:17.530] 差不多完之后一样。
[95:19.400] 今天去了。
[95:33.910] 晚上。
[95:36.630] 我一下。
[95:37.800] 都不一样。
[95:39.430] 不一样。
[95:40.480] 你俩都喝一点。
[95:54.650] 和都比较，但是木有。
[95:56.000] 和
[96:00.590] 黑
[96:14.840] 全是
[96:15.960] 男人
[96:16.860] 创作年代，
[96:18.050] 庚子年
[96:19.600] 2.15
[96:21.180] =2.7。
[96:22.530] 松江河盖章，吴中区香山街道幽香和教工作者
[96:34.680] 参与何晏焕。
[96:38.590] 你那边散了。
[96:40.160] 先弄了。
[96:43.470] 麻烦。
[96:44.800] 怎么弄？
[96:45.930] 不要3D的。
[96:47.550] 舅舅你喊什么？财务打电话说一下。
[96:50.760] 您拜年了。
[96:53.950] 你觉得怎么样？
[96:55.500] 接下来的话还比如如果到前面好多了，
[96:59.610] 着眼拉手，
[97:02.550] 觉得你比他那
[97:04.940] 开也还是，但是我觉得这啥都行还行。
[97:10.480] 防晒太阳光或者光线不是。
[97:13.640] 因为你做事你说过，
[97:15.840] 你别他不敢弄了你就走了，然后我称呼在哪里？
[97:18.780] 在里头缅甸。
[97:21.600] 这个可以到了G
[97:27.740] 基本上。
[97:28.540] 这4000多是吧？
[97:29.930] 2000。
[97:30.730] 三天。
[97:37.160] 然后。
[97:40.280] 高过来了，然后李老师
[97:43.750] 来了，我看到星辰到时有什么不一样来。
[97:46.730] 发微信了吗？也拿手的话看到基本上不一样。
[97:51.030] 渠道来看看。
[97:53.160] 特别
[97:55.870] 行有点红皮的。
[97:57.790] 这是两个叫什么？
[97:59.680] 水晶和什么学校？
[98:02.630] 滨河。
[98:04.630] 两两天半
[98:08.440] 我都不记。
[98:10.160] 这介绍了有什么用，首先搞明白了，
[98:13.880] 你看前不一样。
[98:16.130] 你也换了。
[98:16.990] 8买垃圾，因为我们跟我这眼泪的钱的那种
[98:25.360] 还可以。
[98:26.940] 吃完了玩完了玩完了没？
[98:30.810] 刘老师前面发到位，
[98:33.790] 一大手就那种，
[98:40.440] 这是我的小钢豆可以退居二线了。
[98:44.870] 三
[98:46.160] 呵呵。
[98:51.530] 就上游他上好了以后才能左手
[98:55.000] 这上游刷了
[98:59.670] 就算了。
[99:00.560] 我跟你说真的不一般
[99:05.400] 不是同一个人掉的。
[99:07.810] 这绝对不会他，然后就工人的人
[99:12.610] 土地上给掉一大片，
[99:15.240] 然后他再给弄一下他
[99:19.710] 你要多少他亲自
[99:22.890] 这应该是别的别人给开好了，剩一点还得再修一下，如果说有别的礼包的话，
[99:29.730] 如果你平常就在OTA中被选，没有选后天从来都是用房间，只不过就是说其他情况，比如说这车现在
[99:38.000] 虽然满意，他就送厂家就给一点让咱们两边这样
[99:43.500] 这样。
[99:46.670] 真正的他的发现没有？
[99:49.840] 了都没有都是的。
[99:52.170] 其实我知道现在没有在家，然后厂家送的不就相当于对，只不过咱比他出门时间交车早了，在这种情况下只能报废了，先锋
[100:03.310] 就不能了。
[100:05.160] 等于这其实就是正常的流程，只不过就是两个东西，
[100:09.650] 也是需要在一条中去做这个的。
[100:12.720] 也算厂家的吗？对，有的厂家也是需要做打印出交车单就有的。
[100:19.500] 这玩意能因为咱这边能纯做不是
[100:22.340] 这么多。
[100:24.760] 农村断了不行，
[100:26.960] 没有零点结算这种零件只要当天报给厂家，
[100:32.230] 一点右边走了，不让他进什么车，你要不在我这公布那就没有，客户就没有这个，所以怎么也不用没法竞争了，他把自己承担，那你不给你说。
[100:42.210] 我开放当天我就跟他们反映了，我没法3月3P没有在哪路，
[100:46.500] 我说OTR跟蘑菇都录不了，没有像选择那时候你就直接打灯猎手，
[100:51.400] 把他手机搁那，
[100:52.560] 直接给做什么，谁知卖盐的那种让我写好了给我摆。
[100:59.550] 没事儿，刘悦，咱们都知道吗？
[101:02.420] 知道吗？这看行。
[101:04.630] 你这样你打一个打的电话，你问一下，我一会跟他沟通一下，你说哪个我花几百块钱买大化，当时我得看看去当中更好的。
[101:14.130] 我问他我就跟着这个药那么一点。
[101:17.450] 对，因为你能看见的东西你才能可以多少钱，你说你花小3000块钱。
[101:23.060] 2000。
[101:24.160] 买热了，
[101:26.090] 对吧？
[101:27.080] 还等着吃几天还鸦片的。
[101:30.840] 你看。
[101:31.770] 对象牙我是那种
[101:36.020] 不能残害动物。
[101:37.360] 太惨。
[101:38.950] 在上个月300个陆上，
[101:41.210] 你整个
[101:42.930] 这不能沾水是吧？
[101:44.740] 山水都裂了，客户没毕业，意识上
[101:49.350] 客户去走了，对必须想
[101:53.290] 你只能上这没别的了也
[101:56.920] 能把客户走走的车来我问题，
[102:08.930] 导致
[102:10.330] 客厅客户看看拿下，昨天回来了，今天
[102:18.080] 董事金牌拉客的，总之
[102:29.870] 布置了都知道，
[102:33.550] 都是在打电话，
[102:36.370] 你跟他摆摆手让他进来，
[102:46.000] 爆香两位后排对情况朝关系回来之后，
[102:50.920] 可以
[102:52.410] 排队。
[102:58.850] 其实me跟小脚丫的可好。
[103:02.210] 真的。
[103:05.150] 他me跟那钱都掉
[103:21.630] 了东西。
[103:24.030] 今年吗？
[103:26.800] 好看小时候过年精彩也可活泼，听两类客户排队
[103:32.430] 通常都能了，
[103:34.680] 马上打开也很大，我马上下去刚进来安全。
[103:40.570] 你说
[103:44.770] 这个指定要拿油刷带的。
[103:48.560] 杨哥
[103:53.520] 管这块
[103:57.010] 不仅赶紧的。
[103:58.470] 不招了吗？没销售。
[104:01.640] 后来发现
[104:18.440] 找东西，
[104:26.720] 妈咪供电，
[104:30.410] 稍微带点油闷着，
[104:35.150] 不过去福建还好一点，
[104:43.160] 后来搞两杯，
[104:45.660] 你们发才能搞活，有的
[104:49.790] 你看我这
[104:51.470] 我这没有。
[104:53.120] 北京磨点吗？
[104:54.500] 我不要你你看我这
[104:57.020] 我用过平板，
[104:58.710] 可能玩时间长，
[105:00.760] 等我完几年我把这玩意都那样，
[105:05.290] 你估计到我这岁数了，
[105:07.970] 喝
[105:09.280] 那种销售产品，
[105:15.230] 都不让他
[105:16.460] 这是我花大价钱了以前。
[105:19.440] 我从300块钱一段都送到这去就打。
[105:23.240] 你在哪呢？
[105:27.870] 让他去了一圈，发现姐给忘了，
[105:30.490] 300块钱，谁知
[105:32.890] 找到了等我再去找你，我一会客户号在和客户排队，
[105:40.930] 看了看看如果他
[105:51.040] 我说他怎么到的那么亮，
[105:53.080] 它上游掌握
[105:59.570] 不过分了。
[106:03.330] 电车后面
[106:10.650] 这已经是往前看了。
[106:16.760] 现在不是是吗？
[106:17.780] 重要是怎么样？
[106:20.510] 对。
[106:30.510] 完了。
[106:31.990] 行吗？弄点。
[106:38.430] 但是他知道。
[106:41.500] 装置的
[106:43.090] 装饰你道歉。
[106:45.930] 利润。
[106:47.710] 这样可以
[107:10.110] 很多部门做一个报道，
[107:12.000] 给你8000块钱，
[107:13.750] 还有我说能不能看得见都疯了，
[107:17.840] 农业也做
[107:21.590] 住在可能
[107:27.240] 他知道了最近
[107:29.250] 最后可能
[107:33.800] 就是活着。
[107:35.030] 这什么呢？
[107:36.200] 其实就不见了，你这体验活动
[107:38.840] 能跟你说，
[108:34.800] 虽然顾问两语能说的吗？梁宇。
[108:40.920] 位置哪呢？
[108:43.930] 是吧？
[108:45.650] 你找个信号好点的，
[108:48.570] 说话根本都听不。
[108:52.360] 打电话了。
[109:03.720] 等一会儿现在找你呢。
[109:21.270] 刘帅曾经拦截客户，不是后庭，
[109:25.030] 你刚才到了我这个电话打过去，
[109:30.630] 后天还有几个客户，
[109:34.110] 元元了。
[109:36.580] 总之打完电话了，
[109:38.880] 全程
[109:42.120] 成绩，总之同志们
[109:45.430] 还没打完，
[109:57.170] 谁知
[109:58.720] 副经理他那要返回来对咱有什么影响吗？有影响了，教师G不对了，那怎么办？
[110:04.350] 只能批bb没用，因为有效系统当中是这样的，
[110:08.160] 只能得返回来改了，客户明年3月3B了，
[110:12.590] 但是这些还不行，你要改完以后的话，一旦牵扯到审计查出来的话，这扣分了，
[110:18.660] 时间不改，包括谁的都告诉你了，
[110:22.400] 怎么样？
[110:23.250] 33列管得着想的。
[110:27.520] 之前他们也没说明白，
[110:30.220] 跟客户说那肯定知道，
[110:34.740] 实在太麻烦了。
[110:38.090] 改完以后你们
[110:40.930] 中华的提手
[110:42.030] 让你走。
[110:43.520] 强调非常
[110:44.780] 反正就死。
[110:51.950] 今天不听他说了，他马上给你惊喜，他就给自己这么喜欢，给自己惊喜。
[110:58.510] 难点负责展厅吗？
[111:01.190] 好。
[111:03.080] 他的
[113:42.880] 他是北京的。
[113:48.760] 您稍等。
[113:53.730] 稍等我师傅看一下。
[113:56.250] 我有照片，但是
[113:59.360] 这怎么了？在方便的话你都到了人家给你我自己
[114:04.680] 发给好吧，没问题，我现在就打开了，因为我有照片好。
[114:09.790] 好好，我跟您说您方便记录吗？
[114:13.620] 我换掉你说。
[114:15.550] 6217
[114:17.990] 028
[114:19.610] 92061
[114:22.320] 000。
[114:23.580] 80232
[114:26.040] 021
[114:27.480] 2316。
[114:30.030] 2316号，好126的。
[114:34.260] 现在用的2310。
[114:36.970] 你知道
[114:38.740] 伟大的为
[114:41.270] 完整的玩是吧？对，是的。
[114:43.970] 谁知
[114:51.480] 对我这是2316老师。
[114:55.750] 好好好，再见。
[115:02.730] 应该有班了，不涉及这行。
[115:05.140] 涉及到没事，他说他只是把结算给反过来的。
[115:09.120] 这块都是了。
[115:11.270] 谁知
[115:13.400] 反正
[115:14.610] 根本上不让
[115:16.850] 形象
[115:17.780] 扫描我们
[115:19.220] 挺累的。
[121:41.600] 基本摸清楚门路了。
[121:43.980] 是怎么着？
[121:45.150] 然后乡镇。
