[52:39.390] 用臂膀7了，就刚才到了给
[102:43.420] 如果走车损的话，它不是指比如说I do跟玻璃两部分。
[102:49.320] 比如说。
[102:50.390] 就走这个车型，而是F和玻璃都关系对着，玻璃是公司和什么的。
[102:56.310] 没有了。
[102:57.850] 为什么？比如说他做一个单独的玻璃，他没有上过这样的空间，他需要能找一个东西能够把它得A。
[103:05.020] 住或者称。
[103:05.950] 其他位置有。
[103:06.720] 伤的。
[103:07.530] 一起连带上，所以懂得的车损险
[103:09.870] 这些后面所有的富家形都是这样的概念，一定要有车身的损伤，
[103:15.760] 才能走车损险。
[103:17.140] 玻璃是不行的。
[103:18.620] 而是第一个。第二个自然损失，自燃损失就病也很明确，就是用于赔偿车辆自身为元期货燃烧造成的损失，
[103:27.490] 前提是自身原因，
[103:29.670] 明白这个意思吗？就像那种你看他的前头解释一下，没有外界火源的情况下，由于本车电器线路供油系统、供气系统，
[103:41.830] 被保险机动车自身原因或所载的货物自身原因造成的人车的损失，
[103:47.910] 被保险人为防止或减少被保险金融的损失所支付的必要合理需求费用，
[103:53.530] 有保险这里面这句话的意义是什么？
[103:57.240] 什么叫自然？前提是你车辆本身就有的东西，比如说按我jj爆了，那就不属于，因为他不是不喜欢前提条件，
[104:04.850] 收集线索功能，供气系统都不是，
[104:07.550] 明白这意思吧？这自行车本身他要自然地像那种，所以你要建议客户尽量不要把打火机放在上面，
[104:14.170] 到了的话其实你
[104:16.080] 有自燃险也不是也不赔偿，
[104:18.440] 然后这是第一个。
[104:19.400] 第二一个所支付的必要的合理的施救费用，就是比如说你叫消防车，
[104:24.310] 或者是你使用灭火器一类的东西都是在其范围之内，
[104:28.950] 没电也因为这个事的
[104:31.970] 一般电影关系。
[104:34.720] 车辆使用很久。
[104:36.150] 的。
[104:36.840] 一些老车他一些线路特别容易老化，
[104:40.890] 然后这些线路有时候会造成短路，比如两个线搭一起来，有些短路容易造成。
[104:46.630] 所以你看他车辆比较长了，上面写的车离大于两年或乡镇公里大约5万的时候，你都会建议她购买，更别提那些7年。
[104:55.250] 6年的那种车了，
[104:56.740] 都是一键购买，这是购买的原因需要知道。
[105:01.760] 则价格，
[105:09.480] 所有的就是说他那个车损保额是5万块钱，如果要自然为主还是。
[105:19.250] 谁知
[105:21.190] 我的意思是如果这个车损
[105:23.870] 上的保额是5万块钱，他自然了之后是直接就赔5万吗？车损上5万。
[105:30.470] 对。
[105:31.300] 就说转交算车损你不得你自然了之后你不得走车损赔付价格吗？
[105:37.700] 他车损的话保额就5万
[105:41.850] 嗯那就是保证5万对吗？对没有折扣吧，嗯那什么你看他这写的怎么赔，赔偿的事全部都是在保险金额内计算赔偿，但凡有很多原因，就是说如果你车被他们推定为全损了，就是你比如说你保了5万是吧？保险金额内对你保了5万那就是5万，那三等于折旧，对他不还有一个内，对你听我说完，你这个保额5万，你折旧之后就是你的车新车购置价，比如说收他已经发给你了，对你为什么你保额你才能保5万，损本身折扣的，对车损是按照月，
[106:18.570] 前面岂不是他无论是
[106:20.880] 他用不用人施修，那都赔这5万块钱吗？
[106:24.820] 对，但是你要本来就能赚5万块钱费用，
[106:28.910] 你一般像你那种说的为什么没反应过来，是一般车损很少值5万的，一般车损就在20左右，比如说20万左右这个车你烧了，你修这个车，你比如说需要3块钱，修人需要3万块钱，
[106:43.880] 你10个fail话也不是合理的施救费用，你看这车本比如说它自然了就是说的，按照你说他是22 20万的保额，那他是不是陪着二二十万对吗？不对。
[106:57.690] 你别看能不能休，对，他花10万了修都修不了了，就受不了了，就去报废了，对他合理的施救费用都在这里面。
[107:07.650] 对，因为他驾车干嘛还，那不是你不能知道他是不是比如，但是他这20万保险公司一般也不会全部都支付，比如你的车损是20万，保险公司会给你协商，你看我能不能给你15万，那么还在这儿没有20万，对，这是保险公司的协商，
[107:25.550] 这个没有法律强制规定，你明白我？
[107:27.700] 意思吗？
[107:28.440] 保险公司会给你协商，
[107:31.630] 因为它会根据你车他双方这个东西是双方运输的，
[107:37.160] 客户像咱们沃尔沃就是说口子相对比较差，他那有车他可能比如他车保险公司说。
[107:43.680] 你保额20万，它是按照你的折旧费去走的，
[107:46.800] 然后你保了20万，但是你的市面估价可能也就值10万块钱，
[107:51.950] 你卖二手车可能也就值10万块钱，我一看这车，我说我给你15万块钱你别修了，
[107:57.590] 我给你15万块钱行不行？你要说不行，好你修改你修完了，你这车修好了也得卖10万块钱对吗？这种情况下一般可能车主会接受，
[108:07.020] 明白这个意思吗？因为具体人家给不给你的全额赔偿是人家决定的。
[108:12.850] 正常来走他肯定是先走show，
[108:15.380] 明白我的意思吗？所以它的第二天宝的就是部分损失在保险金额内按实际修理费用计算赔偿。
[108:21.810] 第一步先修修多少钱是多少钱，如果维修金额特别高，就回到了我们车损讲到的推定就是
[108:29.670] 寻蝉我们就回到了巡查这个步骤，巡查的步骤他要去比较到底是修合适，
[108:35.740] 还是说给你直接推动全省模式，包括公司去协商的，明白我的意思吧？这个就是自然，
[108:42.750] 但是基本上自然依然起来，就基本上
[108:46.190] 可能概率不大，一会就行。
[108:48.800] 这个自然有没有什么问题，看看
[108:51.300] 我的问题，
[108:52.130] 再说没什么问题我就继续
[108:55.060] 新增加设备损失，险上得很少。
[108:59.360] 他的险种就是用于赔偿车辆本车以外加上个性配件的损失，
[109:05.350] 甚至包含于你的玻璃贴膜，
[109:08.190] 明白吗？就是说比如说你跟风倒锅里贴了一个膜，
[109:12.060] 但是保险公司只赔你的风挡玻璃前，你想要膜的钱你就要加这个险，包括有的车主他比较喜欢他的车，他会给他的车
[109:20.730] 包一层那种牛皮的电脑卡什么样，就车一车就那种车车依旧很贵，好像他舷墙去，
[109:30.990] 明白我的意思吧？
[109:32.240] 所以像还有那些爱改装的，常常见的那些改装的东西，让他加装了一个非常规的音响，好你龟想一定要上，要不然你撞了我不饱的，
[109:42.190] 包括一些其他的东西，这个是新架设危险，所以他的购买建议就是适用于个性化的车主，车主喜欢在原车出厂配置上加装尾翼，给爱车增加玻璃膜，上车踏板等配置，
[109:55.560] 增加的部分车辆损失险不负责赔付，新增加设备部分需要单独购买
[110:02.730] 设备损失险。
[110:05.720] 怎么保前提也是在购买车损之后
[110:09.720] 去满足。
[110:10.960] 这也是新加设备险，你们知道一下。
[110:13.860] 然后下一个就是出身划痕险，划痕你们经常去，所以会很相同的东西，前提是你一定要知道它的定义。
[110:22.710] 防风险的定义是什么？用于赔偿车身油漆被划伤造成的损失，
[110:28.930] 那么就很明显是纸划伤不会造成他的凹陷，也就是说划痕肯定跟本身有关系。
[110:37.690] 但是为什么有的情况下我们还会接受，比如它的钣金，比如这几个小窗。
[110:43.470] 一般我们不会，因为他如果走车损，车损是要求有现场的，对不对？
[110:48.390] 你要报你这什么东西撞了，如果你不报个什么东西，这样的前提你要有一个车辆无法找到第三方险，
[110:55.720] 对不对？
[110:56.660] 好，你走话那就很简单了可能。
[111:00.360] 不用。
[111:01.280] 划痕不会有现场。
[111:03.300] 划痕的话上的时候不好上，但是你走的时候好好走，
[111:07.900] 都没有人会去扶看现场，
[111:10.660] 明白我的意思吗？
[111:12.080] 所以皇上就很好走，而且他的位置要求不统一，你随便哪个位置都可以，车损的话你起码要证明这是一个案子，
[111:18.650] 你左前一个右后一个，你肯定要是两个案子不可能一次就往上装，两个首先一个诱惑一个带你行你就可以接受，所以只要是你油漆的划伤都可以走，那么你这时候就可以帮客户卖多少了，客户说我这儿有一块凹陷了，
[111:33.350] 我自己蹭了，但我找不到第三方了。
[111:35.610] 然后你第一时间反应就是他给你报案说他跟你说，你看我这左前门不知道怎么蹭了一下，有点坑，
[111:42.570] 你第一反应要去先看他有没有划痕险。
[111:45.880] 如果他有划痕险的话，要先去看你说你有没有上行业险，比如他前提是百级不厉害的情况下，他如果有划痕险的话，你这个情况下你就可以去找到他的其他位置，没有伤，
[111:57.120] 可以一起给客户走了，然后顺便跟客户说你对话很显还显钱币什么是没有钣金费，然后但是你是咱们老客户了，眼睛我就给你免了。
[112:06.080] 本身在进行评点，就小空的情况下都多少钱了，那种打通可能会需要百分点，这个怎么界定？
[112:14.690] 只要不是大面积的小的面积的都可以。
[112:18.640] 而且你要知道它的位置，像那种车的棱棱角角的地儿那种那段不太好看，
[112:24.190] 像面上的门上面的都会有头发，
[112:27.760] 明白吧？这个是划痕险的用处。
[112:30.970] 马鞍险就是回到上次我跟你说的问题，安检是不可以累计的，一般就是1万。
[112:37.120] 什么呢？
[112:40.290] 算了。
[112:40.990] 然后含险怎么保，常见的就是两两千的5000的1万或者2万。
[112:54.390] 购买建议。
[112:55.700] 说实话在所难免，有时候不经意被划了，确实影响美观，如果有强迫症的话更是不能忍。
[113:03.170] 黄显相对来说还是性价比比较高的钱够，车有划痕是概率是高概率事件，
[113:10.030] 一次赔付往往几千以上新购入车辆，或是才开了两三年的新车，建议最好购买华很想，所以你就知道什么情况下会购买你这个划痕险，就很好的去和什么去逮捕车险就
[113:24.540] 搭上边了。
[113:25.650] 一般买划痕险的人，
[113:28.490] 出险的概率会比较大。
[113:30.550] 他肯定对他车比较爱惜，他才会走好，这时候你就要去看客户，这种客户你就很好去推销逮捕赚钱。
[113:37.880] 所以看你这边有专线吗？今天走这划痕险的时候，直接我还能给你2000块钱，
[113:43.990] 对不对？或者他走2000，像第一次艘5000，第二次都5000，你走两边的我还能赔你5000，你人家保费你不仅不会涉及到你的保费上浮，你还可能会赚个一两千，因为我们平均保费也就是在4000左右，4000~5000大概的时间。
[113:59.250] 所以你看它有划痕险，基本代步车检的推荐成功率会很高，
[114:04.390] 但你看华有线过后没疑问。
[114:08.950] 没有了是吧？好，我问你应大夫车险分为哪几个额度？
[114:15.560] 我们值班一个不是什么
[114:22.170] 了。
[114:23.410] 1万2万晚上都可以上，一般2万都网上都可以这样的，往哪上？
[114:31.830] 网上没有。
[114:33.800] 但1万2万都可以这样的。
[114:37.650] 2000 5000 1万或2万2万公里。
[114:40.300] 是吗？我记得
[114:44.940] 哪个谁没书可以网上找。
[114:48.240] 好，就这个问题。
[114:49.920] 然后我们来下一个就是发动机涉水险，发动机设备现在你们需要注意一下，
[114:55.140] 发动机射线是什么用于赔偿发动机进水导致的损坏所维修的费用，
[115:00.640] 然后有很多奇异的地方详细去看里面的字。
[115:04.430] 首先投保了本附加险的被保险机动车，在使用过程中因发动机进水后导致的发动机的直接损毁，
[115:13.020] 保险公司负责赔偿。
[115:15.100] 前提是发动机进水后导致的发动机直接损坏，
[115:20.830] 购买建议多，多雨季节全地全国各地发水，念得我好累，一天中念。
[115:28.560] 购买建议念一圈，
[115:31.180] 都没看你为什么不开都会是吧？
[115:33.980] 我听你说你要反而这儿
[115:37.430] 慢慢过一下，
[115:43.860] 那在哪吗？
[115:45.410] 购买建议。
[115:48.170] 差人借挺多人的，借人家就一年快点不会快点，想不想要怎么会。
[115:53.730] 该店保什么了吗？
[115:55.460] 还是购买建议？
[115:59.000] 自己看快点。
[116:02.530] 对于季节强国各地发水除了给我们出行带来不便之外，也会让车主范畴车辆被水淹造成损失。
[116:11.430] 尤其是南方很多车库都淹在水中，而车辆被淹，播后最核心修费修复费用最高的就翻了一副，
[116:21.090] 设置危险全称发动机涉水损失险，
[116:24.050] 是专门针对因水淹导致发动机高温损失进行赔偿的险种，
[116:29.590] 购买后可以避免发动机
[116:32.450] 损坏造成的损失，建议多雨地区地势低洼及暴露洪水频发地区车主过来，
[116:39.290] 你把那保什么也念了。
[116:41.200] 了。
[116:42.980] 保障车辆在积水路面涉水行驶或被水淹后，
[116:48.530] 导致发动机损坏
[116:51.840] 和经营，不然
[116:53.880] 不保什么
[116:55.190] 车辆
[116:56.360] 涉水熄火后或水淹后继续强行启动发动机而造成了损害，我把你们之间会不会这条很重要，这个不搞什么很重要，所以如果有客户跟你说我发动机进水了。
[117:08.960] 千万让他不要二次打火，明白我的意思吗？就像昨天那个车，昨天晚上你们可能没再有一个拖车公司出来的一些
[117:17.400] 他也是被水淹了，
[117:19.360] 发动机被水淹了，但是他没有上发动机损失险，
[117:22.520] 发动机涉水险没有上，但是它好在没有重新打火。
[117:27.270] 发动机一台切，拿完水进到发动机里面基本就没法修，
[117:32.120] 明白这意思吗？所以它不保的
[117:34.430] 车辆涉水熄火后或水电后继续强行启动发动机而造成的伤害，它是帮你第一次的伤害。
[117:41.210] 怎么没上这个课过关的话都没有什么。
[117:45.660] 他准备什么，对他也得修养了吗？你车怎么办？你卖你没有发动机，你卖啥卖废铁。
[117:56.990] 怎么
[117:59.020] 环保？
[118:00.460] 购买车辆损失前后可以购买，
[118:03.680] 按车辆实际风险保费成为发动机涉水损失险的风险费用这块，
[118:10.530] 怎么
[118:11.600] 发生保险事故时发生后在保险金额内计算给。
[118:16.770] 然后没有什么疑问吗？我但是涉水的时候那天是不是跟已经说这个事了，就这车必须在
[118:24.950] 必须行使，他停车是不就算了。
[118:27.460] 有这个是说的这个吗？
[118:29.540] 这上面没有写。
[118:31.150] 写着包括被保险机动车的第93页，写着您杀A
[118:37.120] 动。
[118:38.350] 号。
[118:39.710] 有的是的
[118:47.570] 静止的时候走车损，
[118:50.050] 他停在那儿的时候就必须车开吗了，谁知
[118:56.770] 了
[118:58.530] 了。
[118:59.820] 你觉得不好看了，好，大家看得很细的，好，下一个机动车无法找到第三方特约险，建议你念这个，
[119:11.390] 你这显著减少。
[119:12.640] 该车辆被撞对方逃逸的情况，车主需要自己承担30%的损失。
[119:19.540] 机动车
[119:20.880] 损失险无法找到第三方特约险用于赔偿30%的损失，
[119:26.420] 被保险机动车损失应当由第三方负责赔偿，但因无法找到第三方而增加的，由被保险人自行承担的免赔金额，保险人负责赔偿。
[119:38.700] 你知道这什么意思吗？
[119:40.240] 知道。
[119:42.960] 它本身就是正常的话找不到第三方，就是他只得70%，如果这个话就被送到了资金是吧？
[119:49.370] 他姐听了一点都不了。
[119:52.820] 然后还建议念一下。
[119:54.700] 购买建议自从无法找到第三方特约险问世以来，受到了广大处。
[120:00.000] 挥手，首先保费便宜，仅为车损险的保费2.5%，
[120:05.530] 再有去使用在生活中车被剐了，被蹭了，找不到肇事者的情况时有发生。
[120:11.630] 车主在处理这类案件的时候，不仅要付出大量的精力和时间，更多时候是白忙一场，无法找到第三方特约险的出现，正好满足了车主的需求，也付出一点成本就可以覆盖损失，建议购买基本险，车辆损失险是一定购买。
[120:27.510] 我问你
[120:29.560] 我不是问你爸跟你们讲一下，就正常来讲的话，如果客户给你反应说我车停路边装怎么被挂被撞了一下，
[120:37.860] 你要优先问她您当时有没有买无法找到第三方险，
[120:41.790] 对不对？
[120:42.250] 这是你的第一个思路，因为它停在路边不知怎么弄了，你要先问他有没有这个线路，如果有的话就很简单，来店里我帮你解决，
[120:49.080] 不用让他现场报案，这是第一个问题，然后他如果没有的话，你还要问他你评的D是不是收费的，比如他收你停车费了，你要去你就可以去找物业，对。
[121:00.620] 对或者找谁收你停车费去找谁，前提是停车费，物业费不好使也是停车费，
[121:07.850] 他说你这个就可以去找他了，你也不用等案子。
[121:11.060] 这是一个情况一个大概思路，
[121:14.520] 就不该。
[121:18.450] 这个没什么太大的问题我觉得。
[121:21.630] 好，再下一个
[121:24.760] 期间。
[121:28.030] 对。
[121:31.380] 代步车。
[121:33.430] 然后一天免赔，
[121:37.230] 回来我都没见过。
[121:42.080] 念一下过一遍得了零年，反正咱们应该差不多。
[121:48.900] 了。
[121:54.240] 95页修理期间没有不管。
[121:58.830] 签证解释与赔偿自己车辆修复期间的大夫收费。
[122:05.290] 保险期间内投保了本条款的机动车，在使用过程中发动机车损。
[122:13.430] 发动机
[122:15.030] 发动，谁知收益会更下不了班了，问题不着急。
[122:20.950] 发生的机动车车子，
[122:23.180] 推动保险责任范围之内的事故造成车身损失，
[122:29.400] 致使被保险机动车
[122:34.000] 等会儿。
[122:35.160] 我这有个客户回头你要不换个人说，我给你们过一遍了，咱就这几条不怎么了，期间费用补偿险其实跟咱们逮捕车险是一样的，但是他们咱们赔偿高，所以就咱们旅行就过了，就这么过去了。
[122:50.510] 然后指定修理厂险，酒店距离朝鲜就是第96元就指定修理厂险的，一般适用于一些高端车，
[122:57.990] 所以咱们一般也不会买也不会衰竭，对，所以你大哥有没有听过？
[123:02.380] 然后精神损害抚慰金责任险，这个的话其实是有的是前提家在什么上面，你去看她对待这三者上面，
[123:12.090] 还有司乘上面，像三者它是不包含精神损害，他比如说我精神受损了或者怎么，这些都没有的，所以你需要单独买险。
[123:22.410] 然后你去看他的购买建议，基本介绍他的购买建议，
[123:26.400] 第三者人的精神损害抚慰金，责任险和车上人的精神损害抚慰金，责任险是要分开购买，
[123:35.430] 车主驾驶车辆撞了对方，对方人员受到了伤害，例如手断了截肢等给第三者心理及精神造成了严重的伤害，第三者要求我们赔偿精神补偿20万，如果投保了第三者责任险，附加的精神损害抚慰金责任险，
[123:52.370] 那么保险公司就给予赔付，车上人员责任险可以保障车上乘客受到伤害就医的费用问题，但精神上受到了伤害，就需要车主自行赔偿了。
[124:04.750] 如果车主同时购买了车上人员精神损害抚慰金责任险，乘客又多了一份精神损害保障，
[124:12.240] 风险也一样转嫁给了保险公司，车主可以根据自己的经济水平与保障需求选择购买，
[124:19.470] 保什么反应？
[124:20.920] 保什么第三者人的精神伤害和车上人的精神伤害，不保什么，没发生交通事故时，第三者受到惊吓造成的怀孕妇女的流产。
[124:33.210] 称在交通事故发生之日起30天以外的，
[124:37.720] 怎么宝购买第三者责任险或车上人员责任险可以购买，根据选择的赔付限额和纯风险保费计算保费
[124:47.500] 怎么赔？还有。
[124:50.840] 这就是一个精神损害抚慰金，责任险赔偿这个钱还买得很少。
[124:58.110] 对，然后后面车上货物责任险你就了解一下就行了，它一般是用于购买建议适用于货物运输，出险事故概率大于
[125:07.630] 家庭自用车辆，
[125:10.020] 一般式运输车建议购买，
[125:12.240] 所以咱们这边不怎么涉及，然后最后一个不计免赔率，如果车上有贵重物品的话是什么？
[125:19.330] OK我不是之前聊过这个问题了，
[125:21.540] 我车身上有一家买酒，你车身上有一箱也有一箱白酒我撞了你了，
[125:28.010] 对吧？我的全责你的酒可以走我的三者，因为我三者里面有一项是财产险的对吧？保财产的货物，但我的车损只能是走我的，你看你就想吧就过一遍这点，显我身上白酒走什么，
[125:41.840] 我能走什么，我走不了车子对吧？
[125:44.150] 司机乘客我走不了了，我也没有别的险了，
[125:47.360] 明白吗？这是定义的问题，大家先过一遍，你们去想一遍，
[125:51.780] 就没有什么险可以走这个东西。
[125:55.200] 这个东西
[125:57.180] 然后不计免赔，绿地路面变免赔的，
[126:01.840] 这些小的定义虽然用不上不计免赔这种你一定要知道它的原理在里边，你好知道后续人口。
[126:08.940] 有一种不是没了。
[126:11.720] 土地免赔险种解释用于赔偿基本险或者补加险有免赔率的部分，
[126:20.060] 按照对应投保的
[126:22.320] 险种规定的免赔率计算的，应当由被保险人自行承担的免赔金额，按保险公司负责收货。
[126:31.880] 购买建议。
[126:33.310] 约定的15名赔率及绝对免费。举个例子，如果车主购买车辆损失下，
[126:40.630] 保险金额100元，保险消费-80元，124刘四
[126:47.130] 的这20%就是约定的你别乐，我就说是你出了事故要赔钱，
[126:53.260] 你自己还要付出代价的购买不计免赔可以解决这个问题，购买以后车主把风险再次转嫁给保险公司，可以得到全部赔偿，鉴于车子一定要购买股权也没见
[127:05.300] 提升全市保障，搞什么主险，因为你们培育处理自行承担的
[127:11.560] 物质和加险，因为免赔的处理形成承担的损失，
[127:17.390] 互保增加免赔率免赔的，
[127:22.920] 我们好不计免赔了，其他险种挂钩，其中4项基本险和6项
[127:29.260] 加险都免赔率，车主可以选择一定购买不计免赔的保费，是一族购买五险，或者显得
[127:36.960] 保费基础上成立了风险系数计算，得出怎么给保险公司的赔付工约定车主自行承担，有经典陪
[127:46.970] 的。
[127:48.700] 这个条款里面的重点就是4项，基本险和6项附加险都有免费，大部分都在20%，后续的话你们会看到一些决定白米率是在15%，但是都是这个意思都是一样，就是风险共担。
[128:02.910] 明白这个意思吧？所以你们再上保险内会发现每个人都有一个不计免赔日，就是这个情况。
[128:08.720] 然后下面这边有这些险种的责任吗？
[128:12.990] 下面99页下面需要购买这个表格，需要购买不计免赔率的险种，
[128:18.670] 这险种产品就是它对应的责任，
[128:21.130] 大部分都是20%，
[128:23.120] 然后同等次等责任的时候会不太一样，能够起到去查一下不同的，你不知道我知道。
[128:30.090] 同等的责任就是交警判咱俩一人一半的责任。
[128:35.080] 我不明白他这个字面意思。
[128:37.920] 我明白，我觉得这10种以外，剩下的5种有没有免了是吗？
[128:44.740] 3000一共不15，总共是15种，4项，后边点多11箱附加险。
[128:54.630] 微信上没戏了，对如果到场的话就没有什么
[128:59.610] iPhone有关系，就剩下的还要有什么有支撑的危险，玻璃没有
[129:07.590] 然后还有什么制定什么。
[129:11.040] 什么指定什么生产这些的他就没有不能我觉得可能是没啥也没了。
[129:18.620] 没关系，你不用记那么细，就知道大概的定义，你问任何人他都背不出来这百分之率是多少，只需要记住20%这个概念就行，因为你的不会谁知
[129:30.750] 支付的金额，
[129:31.880] 人家不会问你说我撞了一次车，我具体能瘦多少钱，没什么问题，但如果你修多少钱，然后能不能怎么样。
[129:39.830] 而且像那些交强险里面，比如说没有对方的证件，两一百万的画面，
[129:45.750] 不要抱什么增加的，
[129:54.460] 保增加面前，
[130:00.170] 是的。
[130:01.690] 不用需要
[130:04.650] 数据。
[130:08.440] 我也不用你不用他不是特别的计划，你就知道比如说他的免赔率是20%，第二可以在30%。
[130:17.420] 我要把什么那个意思，但是你不要跟上面保什么，不管条件，
[130:21.920] 你上面保什么？
[130:24.000] 魅力4000承担的你付宝谁知
[130:28.970] 这两个几百之后给两是100
[130:32.170] 老婆了安全。
[130:34.350] 免费律师刚才太远，你讲的这个吗？
[130:37.410] 你只要可以也
[130:41.640] 免费夜间的，你不用管他搬家什么，
[130:44.510] 你只需要加免赔60。
[130:46.240] 如果你得承担的比上合同，
[130:51.750] 什么哪个险种有一个免费的，你认识吗？不是吗？这车。
[130:58.350] 选。
[130:59.170] 完整的地方吗？
[131:00.630] 那小孩没事是不是这样？那天老师不是讲的就是买了不计免赔，他也不知道。
[131:07.790] 对吧？
[131:09.230] 但你要非要求我买要百分百不高，是不是相当于增加跟
[131:14.690] 用
[131:15.980] 你抱不了，你有一部分自费的，不是说这100块钱，
[131:19.850] 你本身他给你赔70%，你买了又给你陪我人脉了，可以给百%，然后给你约20%，那应该是百%，100块钱一分多，不是都给你讲，但有时候保险公司不给你，你可能自己还得出10块钱，但他们就是活跃的。
[131:33.990] 正是因为所有的客户有买不买不计免牌险，没有客户付款，
[131:40.130] 你出保单的时候他会说买了之后也不一定选择吗？虽然姑全都赔，因为我需要太多走的还我的。
[131:47.810] 你不刚才你说了像那种3200万买栋楼里面了，
[131:52.780] 所以你不用知道不是满几百块钱这种，因为信息就像那些交强险，你只是需要知道一个大概的是在我知道，所以我应该之内他非的要求的买陪那一点那个地方了，
[132:05.870] 到我们家的
[132:06.950] 这个不用教的太，客户都不会去，那么叫你需要多凉卖点，不太明白需要到两点，一个是免赔率，
[132:15.440] 还有一个免费就是两个免费是指什么？如果你没有上不计免，
[132:21.990] 刚才免费叫做找到第三方面的这个事不这边差不多。
[132:27.870] 我不是一个定义这个是什么？如果你没有上去，比如说你的车子没有啥不计免赔，
[132:34.810] 我即使上了车辆，车辆无法下道，我现在路边被撞了，我有车辆无法找到第三方，
[132:41.210] 你应该是赔我，你说我这次。
[132:43.770] 的支持一。
[132:44.350] 块钱对不对？
[132:45.340] 但是是这样的，你看三者的面前是有一个的，
[132:49.970] 为什么三者是有一个免费30%对吧？
[132:53.670] 你看比如说人家对方花了10万块钱对吧？无论是人知道还是这种的什么人花了10万块钱，如果要没上去给70%，
[133:05.190] 没上哪了？
[133:06.380] 没上。
[133:08.090] 对。
[133:10.330] 你看你这个逻辑是什么？
[133:15.620] 酒1万块钱没有他不理解。
[133:18.690] 正常1万块钱
[133:20.730] 本身要想到不计免赔，
[133:23.420] 你都正常的情况下才会给你赔几万块钱，说你的钱所有的钱都有这个平台免费。
[133:29.960] 然后如果你没上的话，要免赔20%，有点花钱，对一个
[133:36.260] 你保险公司不一定去，你要花2000块钱，这是所有的，然后你的30%是什么？
[133:43.220] 是指你话老伴第三方的证明一下，
[133:46.540] 他找到第三方找到你承包了，现在我这次修了1万块钱，前提是你上了不去也没
[133:54.130] 你这1万先确保不造成了对吗？
[133:56.240] 然后这里面代表你的发展的第三方，比如说你上一点回来，包括签证他应该收费1万块钱，
[134:04.750] 你有无法找到第三方就是投资，那行这样就是1万，如果这种情况下你找不到，你没有看这个险种的话，高股票价格百分点至30%，
[134:14.370] 你把小朋友这三方面没有风险，
[134:18.830] 哪个协同？
[134:21.830] 谁知他找到第三方好像就是一个服务点。
[134:29.850] 因为目前我没有还要你说这个东西，你说个大概无法找到第三方的需求的意思是坏的部分，它不计免赔一样吗？
[134:41.930] 不一样的。
[134:43.630] 不计免赔是你只要没上一个情况他都会免费，这个就是本身按照明白吗？你无法找到第三方，是因为你的车碰了你找不着人，对你跟不记名不了你这么一回事。
[134:56.700] 不是你找不找人谁给你赔，你听我说我找不到人才给我70%，
[135:03.270] 对吗？
[135:04.180] 这个的话我不算，并且总是不给我免赔20%，只是我赔80%，那么定义是一样吗？
[135:11.570] 我看看你那10%你们还是不一样的吗？
[135:15.320] 你都没有找到第三方，他根本就不符合你理赔范围好吗？怎么不服？当然你看我出比如说我车就放旁边了，没人管了，我修车需要花1万块钱，比如但我没有上这个险种对吗？
[135:30.850] 行了，我明白你的意思了。
[135:33.380] 他这个定义是一样的，不是他不一样，他经历不一样，然后他就差10%，你不上那人不给你赔。
[135:41.890] 谁告诉你的？他这上面写的是用到路边管了，他为什么不给我赔不上这个险种，他也得给我赔70%。
[135:49.710] 怎么着？
[135:51.570] 你前面摆看看，你自己再回去看看他一百零页，他
[135:56.830] 有时买到了第三方，没有免费治，就是没有这2%，对我说的是他跟我说的是
[136:04.380] 我的车放在路边，我走的是车，我没有上课两个第三方对吗？
[136:10.490] 那车损给我赔百分70，
[136:14.300] 还是三折里头你别烦别咱们这个有点乱，我要不上这不计免赔，他就是给我赔80%，跟那个是一样的，这个有点弱，我给你举个最简单一点，但是还是挺明白的，你这说了。
[136:30.100] 如果他没有说。
[136:31.640] 该怎么报案呢？
[136:33.050] 我跟你讲这个东西比较简单了，就车损咱举简单一点的举厕所，你车自己撞了对吧？
[136:41.170] 你如果没有上不计免赔，自己交了产品之，你说这个车需要1万块钱，你如果没有上你车损的不计免赔，
[136:49.030] 我可只给你赔8。
[136:51.170] 对，我的意思是没该得到的。
[136:55.850] 我的意思是其实不计免赔
[136:59.600] 还是直接免费，如果说不计免赔和无法找到第三方，其实这两个险种工艺差不多，
[137:08.840] 差不多在哪？是因为如果我车辆在门口没人管了，我没有上去到发生可以再装，
[137:15.370] 是不是有30%的名牌？
[137:20.570] 对吧？
[137:21.620] 你说对吗？
[137:24.650] 同样如果我的车
[137:27.590] 出了事故，我没有上那个不对，车损我跟你讲为什么不对？
[137:33.640] 首先你停在路边，没有上无法找到第三方想是吧？你走的就是车损对骂，你走的是车损，
[137:40.240] 车损你要上不计免赔到意味着你就是要减50%，不是我的任务，
[137:45.950] 没有在一个点上。
[137:47.740] 我的意思是如果我说的是两件事儿，你知道吗？你已经给。
[137:53.710] 道出了什么？
[137:54.590] 你了，
[137:55.490] 这两个险种完全是没有任何关系的。
[137:59.240] 是不是我没什么可有关系，你这个下来再跟我单聊了，你知道他怎么办，没啥，别耽误我下班时间处理及的。
[138:08.590] 行，下一个问题我明白就行了，下一个问题不要。
[138:12.180] 没有下一个。
[138:14.060] 这已经是一个小那就行了。
[138:19.570] 你了解一下102页这个表，
[138:22.080] 建议客户的三个匹配方式，我跟你们讲一下，
[138:25.240] 这可能要用
