[00:00.490] 接待二次客户李先生试驾，
[45:49.440] 不是
[45:50.920] 一定
[45:53.330] 越宽越都是
[45:55.830] 也最好是吧？要看你了。
[45:58.240] 您怎么做酒喝，然后咱们开始洗澡一块进行指标，然后您进来发展开始心中
[46:04.250] 对吧？
[46:05.280] 咱们新的
[46:07.500] 他要是这样高配的大点的有。
[46:10.920] 那就看您了，您跳车的资源这块，
[46:13.420] 他新的一个技术，然后您举一个基点就是居室你知道吗？您什么开始咱们唯一的就是一个车，最后认知就从价格
[46:22.090] 开始，我收回来拿来给你过户，
[46:24.190] 这是我这边的完善。
[46:28.600] 知道了，基本上没太想动。
[46:32.400] 好多人价格一个市场现在很透明了，
[46:36.250] 冠军知道没这么全面。
[46:38.460] 竞标演唱会，我的电话就是看他这么小游戏了，
[46:44.680] 因为你到我们这块办理的话，如果说到了说还给你，可以直接把信息开始好，
[46:50.120] 帮你你
[46:51.200] 不断的你要是说自己要这块的话，那种这些都是比较，我看看还得为您看了看疫情期间，
[47:00.670] 北京电影月销量三次，而且地下
[47:06.170] 杨凌示范区
[47:08.330] 对号。
[47:10.380] 所以说就请您看您的时间节点，然后我们经费和聊半天，别把他们车给穿上，
[47:16.430] 要这种男人就该走下去。
[47:19.140] 您说上调材料是不是？
[47:22.300] 会是这样的，特别现实，好多事真的也不是在这住着，那边过去，谢谢。
[47:29.160] 就是这样激荡S听课的找找组长才一上午三个人一样，一个同事另外一个同事马上要理赔，同事气得都不行，今天让我一个客户要订，我说就没有了，有了。
[47:39.970] 真的是这样，因为有的错，他确实只有一样，他们会容易出现这种账户。
[47:45.650] 我刚才给您问了，您要说今天能定的话，75,000现金直接给您优惠，
[47:50.000] 然后您要是说在这里边再做点装饰什么，就我跟你说我是按照我看我这车的客户跟您说的，你要是在这里边做一些装饰，还能再控制的保险，
[47:58.660] 做个2000 3000都差不多。
[48:00.930] 选择的对。
[48:02.190] 现金的话厂家票都有事提前跟厂家报备的，要不你就会提到5万。
[48:09.710] 他多两倍只能第一个高的都是一样的，都是给您75,000，对，一直就是说都给你一个希腊文，而且你看真实的人，我觉得真的人肯定会比您看宝马个人要做。
[48:20.790] 这就是证明了说您以后再想要
[48:24.610] 名气宝马大的也都可以，但是确实奔驰现在车子卖的，包括B级C级LCD3款车，
[48:31.770] 甚至视频领也有这个品牌的
[48:37.780] 好，我要是你的号就会选，我就知道这显示高配的一分期真品差不了多少了。
[48:44.010] 刚才我们就是说比如说我们高配里头比较感兴趣，一个是电动后备箱，第二个是阴消，如果是低配加仓这两个问题，因为家装这两天应该大概是1万多，
[48:54.570] 您还有啥必要了？没什么必要了，10+3万是吧？335,000四
[49:00.570] 三四万两三万3000四。
[49:03.400] 三不能走1万多。
[49:05.070] 你还有1个1个抬头显示，1个对，还有1个4个门都不要是居住，
[49:12.000] 然后你还有后排座椅可调，那医生就
[49:16.840] 没啥大了，对吧？
[49:19.390] 等于消费出场就OK，对出版周代的不是我们后装的。
[49:24.140] 对还有盲点监测。
[49:26.630] 对左右来回并线的时候会有提示的。
[49:31.480] 他不倒不是想的特别的什么会同灯亮盲点监测，
[49:36.340] 新款的有原来老可能，
[49:39.210] 我说这个价格真贱，这周末了下周回来要换一下，是向上的时候看，后来跟他说43,000就是自己虽然三
[49:48.460] 没事好像听说便宜八九，看到了您都在网上看到天空的，都是那种说明会8万，
[49:58.260] 蓝色的就很快。
[50:01.360] 我们还有的有的车优惠到10多万都是有稍微性车可能剐蹭，
[50:07.810] 这种
[50:11.440] 需要
[50:12.300] 7万多就给上诉，等于说上次购买价格贷款，就是上次给我报价表这里边再点个2000块钱，我上次给您算的我也记不清了，地位。
[50:23.920] 开户这个价格再加。
[50:35.960] 月8月下星期8月份
[50:38.300] 跟7月份
[50:40.450] 差异会很大吗？
[50:42.330] 您指的是说价格上吗？主要是价格。
[50:44.880] 是这样，因为为什么说今天您能主持还能给您优惠什么的，是因为领导是为了收集订单，我们两天要做40台车，
[50:53.340] 昨天和今天要定税，开车这40台车干嘛的都给下个月留个，
[50:58.460] 因为下我们这个月开票314台已经开完了，就已经卖完了，下来月出台，现在在收费清单全部给下个月做准备了，下个月还是要300多一点的任务，
[51:08.000] 现在在收订单，
[51:10.110] 给你在这么混的话，这样的话就没有。
[51:13.490] 对。
[51:16.200] 这边
[51:19.370] 你们也是试试我下来了，后来定对你们这些事实我们还是来。
[51:25.840] 好，我反正这价格我就这两本对，你没别的事很高的。
[51:32.250] 您就像您来试试。
[51:33.940] 你们周一周五也没有时间都上班是吧？是我想看看一下现车又
[51:39.890] 宝贝避开眼前的，那到时候可以看看到时现在有什么，然后到时候再以当时的库存为主。
[51:47.230] 下周周六周日也先去把电视先去宝马店试一下，然后再过来，你要周尽量周六来。
[51:56.230] 对，因为他周六昨天用了18台车，
[51:59.920] 虽说对有一个朋友会不是就是说会有库存入口就没了，
[52:05.140] 而且下个月到8月初了，我怕了，你知道我担心的是什么，8月份他就这些一了，9月份再生产都是新款了，
[52:12.530] 然后将他送往回收。
[52:14.230] 如果说他要是差的不多还行，我就怕他一下下个月收费到7万的价格，只差5000，我没法给他申请。
[52:21.990] 如果要这样的话，您觉得您接受不了，你只能买宝马，明白是吧？所以说到时您看看你下周六你要能找到我，你早点过来，反正你先去试试宝马。
[52:32.870] 对，周六你先去是宝马，吃完宝马之后你再过来，然后我再给您看看库存里边有什么车什么路，
[52:39.750] 然后价格我尽量如果说下周有变动比现在优惠的少，我也尽量按照现在给您去问。
[52:45.380] 行对，或者说有什么线索有什么变化，您可以比如说我们销售之前会有大变化，就能够大大电话应该倒不会有特别大的变化，反正到时我会告诉你这事儿，如果说真的是下周就又会又回到73,000了，或者什么72,000什么的，我也
[53:00.570] 我也告诉你们，但是我也会跟经理说，
[53:03.160] 我说上周的我的客户，然后刚才说有一个什么5000的置换，你现在就下周可能还会有应该会有，然后可以看到。
[53:11.130] 对，还有里面就像我刚才跟您说那车给您多少谁，
[53:15.160] 他没必要还是他7查了一下是7万多是吧？
[53:19.480] 你们自己在那边看过吗？
[53:21.290] 没有，我了解价格也是差不多是吧？那就行，别差太多了，太多就不合适了。
[53:27.960] 然后你要是差的少的话，还自己省了自己弄到手去了。
[53:31.520] 你再加上这5000块钱，
[53:33.170] 到时候综合比较一下。
[53:34.740] 其实因为店里边说看你用车，他也不是为了让你旧车挣你多少钱，就是为了my brother的就直接上这来拍卖车来了。
[53:52.670] 一辆车平均一辆车大概多多的车就能赚2000多块钱，
[53:56.670] 多个车好一点的车也就是说2000，
[54:00.440] 有的车的话就挣500块钱就行，下周六日然后下尽量您下周六过去了。
[54:07.930] 你们离得也不远不了，嫂子停车站旁边。
[54:13.380] 的
[54:24.070] 我觉得大概给我一个我没责任吗？没有。
[54:30.110] 有的是这个车。
[54:32.120] 你就确定可以。
[54:34.830] 行了。
[54:36.540] 咱就下周6点去谈一个微信，
[54:39.530] 到周五我也再给你打电话，
[54:45.040] 好。
[54:46.460] 慢点来了，再见拜拜。
[55:03.850] 您好。
[55:08.040] 战略让他俩不管里面都是
[55:14.240] 电脑都说不清楚。
[55:17.330] 你知道
[55:19.400] 后面的
[55:22.770] 以上
[55:26.830] 8个带着。
[55:32.260] 如果
[55:36.080] 的
[55:37.720] 远。
[55:39.440] 远
[55:40.400] 的。
[55:42.320] 五
[55:44.050] 的。
[55:48.880] 五
[55:53.920] 万。
[55:55.000] 完了行了。
[55:59.640] 行。
[56:00.840] 他们收盘的时候3000。
[56:04.000] 那款就那么一辆。
[56:07.640] 稳定没
[56:14.320] 国产。
[56:18.660] 同样的
[56:21.140] 大概多少？
[56:22.320] 您
[56:28.230] 这块
[56:35.650] 我觉得现在这块
[56:37.640] 是谁的？
[56:39.020] 我说你没有
[56:40.760] 来。
[56:41.840] 好吗？
