[00:00.000] 我不管了。
[42:27.320] 您可能在咱们北京还。
[42:28.960] 保局里边他。
[42:30.400] 是过三的生了个新，但是在。
[42:32.770] 档案里边您这车还是国二的，
[42:35.220] 享受不了国家的政策补贴。
[42:38.000] 怎么办？
[42:39.570] 当然我觉得都差不多，对装饰着差不多。
[42:42.920] 我就直接低开了，我要今天直接下单。
[42:46.930] 的话能不能再优惠？
[42:48.650] 我给您问问题，帮我我给您问问，估计车价没动了，我看看裸车的。
[42:53.980] 格都差不多了。
[42:55.580] 然后他那边。
[42:56.440] 而他那边说75,000还能不能申请不知道。
[42:59.370] 他不说可以申请，还没有申请说要给别人聊这么一个货号，反正我们这车价75,000不能再低了，
[43:05.340] 不能外地了，
[43:06.570] 领了申请看看能不能在装饰，哪怕
[43:09.450] 给您申请一下。
[43:11.980] 但是你要说跟那边这边说，其实他这么跟您说，它车价也不能太低，因为北京我跟您说白了，北京所有的4S店
[43:20.070] 在厂家人家要有一个最低标准，你卖低了的话厂家直接扣他们返利，
[43:24.990] 他不能闹冒这么一个风险，因为他卖这一车他挣不了多少钱，但是他扣返利扣多少很。
[43:30.910] 我再给您做这，行，您稍等。
[43:33.570] 历练一下。
[43:35.030] 百分7
[43:37.840] 百分7329。
[43:39.320] 如果不败的东西好的话，当时就约杨老师都会出来办分期，我们出去可以开走，放心。
[43:46.570] 上临牌，然后把我那车客户之后，
[43:50.340] 名牌可以开始了，
[43:52.000] 就可以跟车车跟你说，非得说我先做。
[43:56.790] 他那意思。
[43:58.820] 桌椅好像调不到。
[44:02.570] 那个位置上苗怎么弄，去看看在线给我看看是什么呢？
[44:08.750] 我觉得前面他就调就清楚了。
[44:13.520] 数据。
[44:18.450] 数据
[44:19.600] 的
[44:25.150] 的
[44:30.410] 远。
[44:35.290] 的
[44:39.990] 数据
[44:42.740] 的
[44:43.780] 要
[44:48.120] 看看合适不合适。
[44:51.810] 不是，你先看看，谁知比较小。
[44:59.990] 我后排是吗？前排
[45:02.560] 前排驾驶被应该没电了，咱们敢说不知道，反正我调半天，我待会1L2260没问题，AC名S没问题是吧？待会带咱们过去瞧一下看看。
[45:15.880] 这个装置套餐是13,000的，
[45:20.000] 然后这边再减一5000，
[45:23.660] 那就相当于这是3000。
[45:25.580] 把了得了，把什么磨了3000磨不了，直接全补贴就完了。
[45:32.490] 这算的就算什么了吗？
[45:35.880] 算还有国家补金率了吗？
[45:37.930] 国家补贴您申请有没有就没有没算到这里头就没给算，因为您现在国外我看看我们吗，您得自己申请。
[45:46.990] 太麻烦了，我们还没时间去弄这个，但是这没办法都是自己申请。
[45:52.470] 国家有一个合同4S店，他们不就帮我们弄，
[45:56.460] 他帮您闹这个外迁给您申请，
[45:59.370] 挂到其他事不管的直接我们不管的，他是给您过户腾指标都不用您麻烦，就跟我们是的都是我们给您弄，一直到出指标一个道义他上牌，但是您要享受国家政策都是自个的，怎么弄？
[46:12.920] 自己有现在有一个什么老旧车，
[46:16.000] 报废更新外迁的那里去是吗？不是一个网站，我不瞒您说我5月份
[46:22.910] 那会卖的车到现在都没申请完了，那客户
[46:25.800] 您给我算这置换这也算这里算了，这个只要您车是属于外迁，这跟国家没有任何事儿，这是我们给您的，对我家我们国家我们能就申请下来，申请不下来跟这也就大概给我1万块钱的优惠。
[46:42.210] 不就是补贴你们店给的给1万万那个吗？
[46:48.200] 救国。
[46:48.790] 单您就自己申请能下来就下来下来。
[46:50.740] 不来咱也没办法了，那是以国家档案为准。
[46:54.570] 所以我给您算一下总价，您看一下。
[46:57.440] 国家是给5000，
[46:59.330] 国家那是5000现金，or咱们补贴是5000的保险。
[47:09.040] 二
[47:12.070] 3000
[47:16.000] 334，
[47:17.650] 服装444,000，
[47:19.740] 跟差不多一样的，
[47:23.460] 所以价格是一样的，44,000他还真是一模一样，但我们魔比他要好，
[47:29.830] 他还可以再申请，
[47:32.640] 是吧？谁知
[47:35.630] 这个就看您信不信我了，我
[47:37.860] 不是我都没跟他争取的情况，他就直接给我这种东西将一下，他说你补交完之后，然后我还跟你谈半天，他我吗？
[47:49.320] 您说您刚才跟我说他们店折腾说补贴政策补贴，说我这听的特别混乱。
[47:54.630] 没弄吗？不是设点也不是一个店两个。
[47:58.380] 两个。
[47:59.400] 我说的是两个店，包括你说保险补贴是预选小时，我这能拍照吗？可以没问题。
[48:05.800] 那就行行。
[48:06.760] 您看看这肯定让您
[48:12.110] 你和的跟他也没有差不多。
[48:15.480] 可能有点差不多，如果说价格都差不多，他那边也不能优惠了，我肯定找你这边，因为你这边可能变大，
[48:22.950] 是吧？他就说我们去找个大点来传我们这边。
[48:27.530] 12年了，到现在售前售后他确实都相对稳定很多。
[48:33.520] 而咱店您比如说后期您看这车剐了蹭了三天，还有钣喷特殊的
[48:39.330] 分享礼教可以交一个1500和1490万一年之内跟保险走，如果比如说
[48:46.550] 你是不管别人碰到咱们的车，还是咱们不要先把自己车剐蹭了，只要触发保险了，我们都赔2500，
[48:53.350] 那个是现在卖得最好。
[48:55.520] 你能不能跟你们经理在刚才我不瞒你说，问销售经理都不是展厅经理，
[49:01.960] 销售经理正好他们在帮我宣传，我就交警听了。
[49:06.880] 对，你看下我们网上没有这么，我们不也懒得传了，你是什么样的状态，您觉得谁知
[49:14.870] 这三
[49:16.130] 3000亩综合下来再少3000，
[49:19.440] 少三不是多少点，不是少3000，你加在一起不是您这3000我肯定就下不来了。
[49:28.050] 你们能摸多少，我能再给您申请1000块钱也就行，再给你们销售经理，我还在那跟，他在简简单单。
[49:35.550] 您先告诉我您的底，您让我说照让我找着3000我都不敢去了，直接把零头都掉了。
[49:43.670] 你不4万吗？把那4块6 600多全给我了，您跟我去干啥去？可能爱
[49:50.350] 了还要。
[49:53.640] 谁打的你打的是吗？跟他们商量一下。
[49:58.480] 手机，孩子拿着玩。
[49:59.620] 因为
[50:00.660] 我要去我肯定不能再跑第三趟了，找他
[50:04.240] 太难了，反正平常我们都是先找短信精力都在找销售经理，钢材销售经理正好在不是我们总额40多万，又不是4000多4万多对不对？
[50:14.940] 像我们买我说实在我连那车我都没怎么看过，
[50:18.590] 没平常忙也没时间去看，我觉得第一款就直接订一款，您看刚才说分期您是想过利用方案30%的收入30%了，我们现在现金也不是那么充足，我有一客户一开始我给他算首付50%，利率低的合适，结果这两天跟我说你能不能够改，找30%你利率，
[50:37.450] 就是说30%我也觉得D我拿着钱先干点，
[50:40.840] 我说行，现在能不能付首付，我看都可以经营，现在在一起一弄。
[50:46.200] 不能，我们就转1030，您打算做三年期的。
[50:51.520] 37的行，三年期36个月的分期，就是你们
[50:56.320] 30%的一般是三年期两年期，对2700 3700都有两年期，刚不是给您看了吗？是二点三几三076，
[51:06.290] 然后刚才说的是
[51:08.920] 整体再少4000是吧？你先把零头都免了得了。
[51:13.960] 4600太多了，不可能，我是觉得花乡
[51:19.490] 肯定是可以的，我也就想他店太小了，花乡那边我不瞒您说，我有同事在那边。
[51:27.080] 真的是胡乱吗？
[51:28.480] 肯定能没问题，你说一下。
[51:30.920] 这块北京
[51:32.880] 光靠真不想，我也不愿意再跑。
[51:36.800] 平台也部门
[51:42.670] 再给您问一下。
[51:46.020] 您再稍等。
[51:47.390] 我问您一下行就行了，不行我也没让我尽力。
[51:51.790] 晨然后去。
[51:55.680] 开始
[51:57.830] 还是这个程度都应该是。
[51:59.820] 沉沉的，没有办法。
[52:05.610] 要让系统
[52:10.450] 这边。
[52:11.330] 王子号里边发现了一个
[52:14.230] 这4张报告发给婷婷了，
[52:21.070] 我就把你的电话
[52:24.190] 行。
[52:25.470] 行没事。
[52:29.690] 你干嘛你看一下，商量好之后，如果我们发现时间，他们没有发现怎么
[52:35.430] 怎么都没商量。
[52:44.320] 把
[52:51.990] 手
[52:54.830] 十二百。
[52:58.330] 12万3万。
[53:00.470] 当时如果说它金额比较少的话，应该是买多少？
[53:06.960] 因为什么？
[53:09.310] 普通合伙的。
[53:12.360] 因为现在江苏那边要转让以后，
[53:15.810] 上次有一个是广州的那些
[53:19.610] 转换过来的叫什么像那种我觉得就好像还可以。
[53:24.510] 实际上
[53:26.350] 你能接受吧。
[53:29.030] 你把那个谁你可以什么可以跟
[53:33.210] 看一下都是多少钱，
[53:35.200] 找到价格太高的地方，
[53:37.880] 你把直通电话给我。
[53:40.010] 说一下陈兴这块。
[53:46.450] 咱们帮他一次之后内容
[53:48.820] 咱们就互相在交班了。
[53:54.570] 说。
[54:12.690] 因为我把你
[54:15.280] 工商银行我给弄，
[54:17.900] 因为我都进去。
[54:19.690] 你写了。
[54:21.110] 那什么时候走？
[54:23.420] 等等会你要不要开新车？
[54:25.630] 要还是那等
[54:28.120] 今天
[54:30.560] 的
[54:32.790] 回家
[54:34.670] 交给
[54:39.440] 你看。
[54:41.380] 这吗？都是我一定要。
[54:43.400] 拍东西。
[55:14.280] 什么时候能回家？
[55:32.680] 手机刮。
[55:34.640] 手机给我。
[55:36.570] 我数到三。
[56:51.450] 干嘛。
[56:58.830] 什么时候走？
[57:05.970] 动。
[57:08.400] 了
[57:11.270] 6点
[57:15.820] 6.2。
[57:22.690] 二。
[57:24.320] 数据
[57:26.830] 数据
[57:31.790] 远。
[57:35.730] 数据。
[58:00.200] 谁知
[58:02.120] 黑
[58:06.690] 了。
[58:44.090] 咱们要是过山车的手续能提交全了之后，
[58:48.400] 我们这边还能再给送一个2000的保险，
[58:53.710] 刚才算
[58:54.940] 按照13,000算的话，
[58:57.010] 然后相当于在给您补贴一个2000的保险。
[58:59.670] 12,000。
[59:00.750] 对总的贴点，反正现在保险是12,000。
[59:06.120] 然后车架的话
[59:08.740] 给您降到76,000，
[59:11.450] 也就这样。
[59:12.660] 车价降了76,000，也就像这3000块钱给了1000，
[59:17.820] 保险金给了2000，
[59:20.150] 这3000块钱当时你都
[59:22.420] 装置是因为我们成本在那，1万块钱拿300万已经到头了，就这个价格2000。
[59:29.100] 1000是不是？对就1000了，还补了一补了一个12,000，一共13,000的保险补了一个12,000，
[59:38.080] 这儿就是能76,000，
[59:41.610] 加在一起多少钱看看？
[59:43.760] 你算算1000多。
[59:45.510] 刚才算444,600，
[59:47.950] 现在算的话就是441,000。
[59:51.110] 我的意思你了得了，那榛蘑不了了，不可能不了，超这么一个0，而且最主要是什么？
[59:58.490] 我们店还有刚才跟您说版权思想里是特别合适，
[60:03.010] 就是说您比如说咱们买完新车或者是带着一年之间，
[60:08.130] 然后因为出现剐蹭或者别人把咱挂碰了，
[60:11.780] 只要触发咱这保险了，就赔您2500一年，最多它可以陪你两次。
[60:17.080] 什么？
[60:22.050] 保养什么的怎么个赠送法，你保养没有赠送吗？有钱咱这没有免费保养，奔驰就没有免费保养。
[60:29.680] 咱手法都没有，你有
[60:32.350] 首保都不免费花乡。
[60:36.010] 因为奔驰是1万公里，
[60:39.870] 他是55次，咱们减半是160斤，
[60:43.880] 6次减半人家花钱花钱买吧，
[60:47.640] 人家花钱买的。
[60:49.540] 不是他送的。
[60:51.070] 不是，他是保险费减半，对，他是您花钱买的。
[60:57.280] 您得花钱，
[60:59.290] 他不是全送给您的，我们旁边那金罐送终身A保。
[61:03.740] 当时说了您知道人家保养是怎么玩的吗？
[61:07.740] 跟人签一合同，我当时说了，我说他既然送您终身A保，您就跟他说我只在你这做AB我就近找我就不去你那了行不行？他说不行。
[61:17.580] 反正我们同事挣，包括您去那大到我们都有同事，
[61:21.630] 人家就乐，人家得A宝说是送B宝得背回来，
[61:26.990] 而没有说羊毛出在羊身上。
[61:29.220] 它不会给您说您他跟您说半价，他怎么打的半价您知道吗？
[61:33.360] 您正常的话，您比如说咱店买的车有记录过来，保养工时都应该打8折。
[61:40.350] 人人不打折，
[61:41.990] 人肯定会背回来这部分利润，
[61:45.410] 保养得多少钱，保养没多少钱，您这样买260保养就贵，因为不光有发动机，还有电机。
[61:53.540] 你每次要两个一块保养，这块楼下这有一个1260是跑着跑队叫pop，
[62:00.730] 但是这俩车发动机一样保养一样，不会说存在说进口车人家就保养不会跟国产车一样。
[62:07.710] 我都跟你说保养区别在哪，好多，您去别的店销售不会跟您说260保养贵，
[62:14.030] 因为260他不光有那1.5的发动机，他有一个电机发动机跟电机加一块的话保养得3000多亿，
[62:21.250] 但是您300就不用，因为300是纯2.0T的发动机，比如说小宝您那车也就1000块钱，
[62:28.370] 可以等几有几率可能差不多，我跟你说我大众房产我还花了1200。
[62:33.120] 差不多算了，咱那本田都差不多，小宝的话差不多。
[62:37.310] 对接，然后您地上的话机油三滤多余空调滤芯您都办B网的话差不多是在1500。
[62:46.840] 所以您就想您看看在再看一眼的车型，我带您去看看小事作业，也就是说已经整个在行行
[62:54.630] 香港了。
[63:02.400] 坏
[63:03.670] 坏数据
[63:08.340] 场
[63:10.750] 出来。
[63:13.840] 坏数据
[63:15.550] 的。
[63:18.130] 您调一下。
[63:23.670] 您是想网上条子在后头来打的，
[63:27.850] 您要合适您跟我说一下。
[63:33.340] 这里到头了吗？
[63:35.480] 现在已经是到头了，但是您还可以就是说网上一些可以给他们做一款，
[63:41.770] 剩下没事我调的OK，再往下一个
[63:47.280] 同学脚上。
[63:48.730] 下面
[63:53.080] 行吗？
[63:54.650] 因为我们比较矮，我们家的破本田，我的小C想出去，女士开车其实都特往前。
[64:01.890] 这位置行吗？还是再往前加，您可以让他自己行对。
[64:09.490] 方向盘。
[64:10.580] 光盘也能调，而且在放盘式电动的26等于是首败，
[64:14.880] 回去了看到不能？
[64:18.490] 可能。
[64:25.660] 行吗？
[64:26.680] 我试一下，您做那种感觉，把包给拿的您先
[64:34.430] 在门上。
[64:38.590] 这个是可以换的，都是一样的。
[64:41.020] 对利。
[64:42.250] 不当在这种目标的其实。
[64:45.390] 其实说还是立标的新版好看。
[64:48.120] 对吧？
[64:50.920] 你要说买鲜亮一点，说大家保持完了。
[64:54.610] 咱俩合作一样。
[64:56.190] 你想好了，
[64:59.360] 我选择来回调，这应该是一样的。
[65:03.230] 只有一个还是原来的，你要全球的你要是要保持蓝的，你都要运动达标，
[65:10.040] 那个药不能立交都不好看，
[65:15.960] 这也是在最后说的当中在家待着，
[65:19.420] 他买60度可以说
[65:21.360] 还原的。
[65:22.540] 谁知
[65:25.380] 所以我就说了，他就是给你讲的多少，然后这肯定是360度，他说他不是如果说是豪华版上，你说春晓买的，
[65:34.030] 然后时尚就是低配版看的，
[65:37.550] 他们能放140。
[65:42.690] 后来你跟我说你还老板的事，
[65:45.570] 加上一个好车后座与调节吗？366什么豪华哪里，他说你说过吗？我给您详细讲讲。
[65:53.350] 首先是柏林之声音响，然后是后排座椅调节后的庄园，厚道后面将把
[66:00.150] 然后电动尾门，
[66:01.600] 然后这个车的话号码还多了一个
[66:06.280] 座椅通风，
[66:09.360] 一堆三米。
[66:10.810] 但是其实
[66:13.990] 后排逃不逃回来用？
[66:18.110] 而且这条有没有电动门其实用处也不大，您不需要
[66:22.700] 关键方便。
[66:24.520] 我觉得不在那个门楼的你知道吗？我跟别册感觉人家我S弯的，
[66:34.450] 对这边对ss中一定都要掉，因为往下拽的话非常费劲，这进口的是多少钱？
[66:41.710] 进口的全是进口的没有300，现在咱们镜头过来只有260。
[66:45.770] 好。
[66:47.370] 等等。
[66:50.100] 20多年。
[66:51.730] 您带着孩子。
[66:52.660] 子我建议还是买国产的加长轴距的舒服，您看标准轴距的
[66:57.140] 一打开这个位置也
[67:02.880] 都是三五年都行。
[67:04.580] 对，因为就特别
[67:07.330] 这种您这边选配就直接带坏好就能给我好看，现在有什么做什么事可以了。
[67:20.530] 再短一点是吧？
[67:24.110] 您可以看看咱俩这都是达标的。
[67:26.450] 不然给忘了。
[67:29.560] 就趴在轴递上一个月。
[67:32.560] 就长短这件这个样子配件，咱国产车配件也都是进口过来的，好像地址也不过睡，对，只不过他总出货的关税，
[67:42.180] 关税现在都有蓝色的零件，什么都一模一样什么。
[67:47.230] 他整个被粉色一个波动。
[67:50.960] 因为中国都是加糖，我干着带L的，您在国外根本就看不见。
[67:58.660] 了的了。
[68:00.270] 对，一般。
[68:05.530] 你别说那手机给我讨厌。
[68:09.670] 小孩多还玩手机，对眼睛不好，现在好多小孩都。
[68:13.330] 感觉都没有脸回家，
[68:16.010] 早上一睁眼赶紧关电脑了。
[68:18.740] 跟你。
[68:20.400] 因为。
[68:21.840] 您知道吗？这黑色的聚焦特别显档次，但最冷，然后奔驰
[68:27.030] 没有运动大标一车都是这样。
[68:29.830] 但如果您说。
[68:30.720] 你要买的飞。
[68:31.800] 我这样对这个叫做不一样。
[68:35.070] 跟你说的可能的10大家好的一些概念不买，还有一点，
[68:40.870] 所以这一年就能看出来，
[68:46.100] 的。
[68:49.950] 这么看你们
[68:51.300] 公开透明，我们这您放心吗？
[68:53.590] 天我跟他们吗？行行，然后。
[68:56.170] 从哪下手不一样，不好钱对吧？
[68:58.600] 远远
[69:03.440] 花
[69:09.160] 坏。
[69:10.640] 场。
[69:16.450] 咱性价比挺高，谁知
[69:22.270] 还有就喜欢低调。
[69:26.520] 又掉了。
[69:29.800] 我想要的料那后面的。
[69:35.410] 你说到时候。
[69:40.840] 别看到弟弟。
[69:43.110] 您怕我是不是还跟他说一下，让你谁知。
[69:49.400] 那得跟他说，因为他找您
[69:51.750] 临床应该是老不上等不上跟他说一下。
[69:54.440] 了。
[69:54.990] 说。
[69:58.070] 他在哪？
[70:00.250] 而。
[70:02.080] 在上课最大一个案子，
[70:04.800] 地下停车场有。
[70:14.520] 咱还有没有什么比如说什么炭包之类的，有没有小东西没有去买，对炭包给您直接反正。
[70:21.650] 都卖。
[70:22.500] 麻烦去买炭包。
[70:23.720] 客户说有没有防尘套座椅垫什么的，我说咱这边都没有，
[70:28.320] 你放下盘那边什么还不能笑，
[70:31.640] 他也没想过。
[70:34.070] 张经理你好。
[70:38.750] 我是吴总我弟弟，也就是说你们那有一家公司从上海青岛、北京。
[70:45.140] 对，然后我已经给你了，找几个地方的政策还不错。
[70:52.550] 因为有几个，因为像你一年的将会超过一个这么一种
[70:57.830] 这个企业来看，我们试想
[70:59.960] 好几个领导，就是区里边领导下去跟他见一下，争取一下最优惠的政策。
[71:07.130] 所以
[71:08.760] 如果你不着急的话，你就等我消息。
[71:13.060] 今天。
[71:13.920] 这种。
[71:15.270] 相关的负责人去谈这个事情。
[71:18.970] 坏。
[71:22.290] 什么。
[71:25.250] 远远。
[71:29.380] 对。
[71:32.920] 不能调，
[71:34.370] 后边座椅不能动，
[71:38.780] 旁边座椅不能调节。
[71:42.760] 戳想。
[71:47.360] 不买。
[71:48.320] 买
[71:50.070] 以前
[71:51.470] 把你搁着行行不行？把你跟你哥召唤换车。
[71:55.870] 我家阿姨上班，
[71:57.090] 缺个小助理，
[72:10.540] 这样我这边也会帮你。
[72:16.000] 我刚才说的
[72:17.510] 会找一些更合适的，然后包括。
[72:22.190] 你那边。
[72:23.660] 时候你说真病了，但是今天开不走了，你今天先交桶金的体量确实缺乏，可以，你比谁都急。
[72:32.810] 还有。
[72:34.720] 我知道了。
[72:36.980] 花。
[72:38.240] 了，
[72:40.610] 你也不要见面什么不会这么大，我知道了，爸爸也买了也是这个情况，不然的话也不会谁知。
[72:48.760] 知道了吗？
[72:52.990] 的，
[72:54.690] 风光的，
[72:57.210] 谁知
[72:59.420] 他说北京我们在北京有好几家叔叔，但你说双融好像不是我们的
[73:08.280] 升红
[73:10.150] 不汹涌，
[73:18.110] 他应该是
[73:19.980] 第的开审大方应该全部比较北京都是从我这边帮他出去的。
[73:27.040] 他名字应该不要三种，应该是双斗商斗。
[73:30.980] 光头已经注销了。
[73:32.320] 关口双双走了，这个东西去年就已经复效了
[73:38.250] 了。
[73:41.490] 对是高。
[73:45.960] 好。
[73:47.010] 你最好知道了，我多好了，保险交强加上车船税的话，那个是贴不了，估计您得花个1150
[73:58.050] 装饰，然后这首公司36乐购，对这是168,000是吗？对16块就按
[74:06.570] 保护车架加上这些费用这些事。
[74:10.950] 单一。
[74:11.880] 然后再加一个这个是吗？就没了，没啥问题这个。
[74:16.440] 还有意见出台明白了，行。
[74:21.120] 我知道。
[74:22.690] 不到工程中，就是我带你代理，到时候咱讲错题清楚了行不？然后再等两天各区域
[74:29.810] 在北京，然后长春的现在看看刚才现场说这样一个首付30%，三年的时候每人30 67，
[74:38.590] 统一还是下面的工商等等这些回头找我们就行。
[74:44.550] 17了。
[74:45.330] 我跟我大概算了差不多，我说16万左右差不多，这个暑假对我微信
[74:51.880] 我都你。
[74:54.510] 你啥也没教。
[74:55.550] 号全招了也不行，钱没交你怎么骑车？
[75:00.330] 好的。
[75:01.230] 他今天开走这车开不走？
[75:03.520] 咱们把我们出来开车，我没带那么多钱。
[75:06.920] 好了，
[75:08.270] 现在没带那么多钱买一车，你以为买因为买蛋糕
[75:14.450] 这里的客户纳税过亿。
[75:18.130] 必须的，我一样要给你说。
[75:23.040] 不是对你。
[75:24.960] 开市场。
[75:25.680] 你开温州商谈好没有？
[75:29.070] 是现在先到北京去。
[75:31.910] 迁到哪去？
[75:35.500] 数据。
[75:38.290] 对问一下金额太高咱就没必要了，现在应该是10万。
[75:44.550] 10来万这样子，我就10万左右应该是比较理想。
[75:49.010] 因为你像咱们成立一个普通合伙，实际上也简单，对不对？
[75:52.950] 当说你以后咱们的付出成本太高的话，你像北京有些他叫将叫二三十万我就不太高，没有必要。
[76:02.260] 你问一下价格大概多少？
[76:05.950] 重庆没戏了是吧？
[76:08.440] 他钱不给。
[76:14.200] 陈明鹏那不是好多钱没结回来的。
[76:19.480] 看看一下，这没事，不能通过这个不用看我们就这样我照片了。
[76:25.550] 对，因为到时候咱得跟对一下，然后我给您做订单，然后咱们指标人是谁？是您还是先生您说身份证带了吗？身份证没
[76:34.510] 没带，身份证没带。
[76:36.380] 你身份证没带吧，什么都没有。
[76:40.040] 指标是。
[76:41.540] 他是我没有我的指标还在昨天。
[76:45.600] 谁知
[76:47.560] 我照了。
[76:51.650] 对这都有数，反正你准备17万
[76:54.300] 就行了。
[76:57.080] 然后月月月每个月
[77:00.780] 还给8000多。
[77:04.890] 就是36个月。
[77:06.560] 月。
[77:10.240] 30。
[77:12.040] 他然后加上它再加一个他
[77:16.650] 就是这个数据。
[77:49.160] 照片你有吗？
[77:52.060] 找找照片，照片应该有吗？
[77:56.830] 我原来还真有女的，我也清了。
[77:59.890] 手机内存不够了，我清了，我去年那会还有。
[78:04.540] 春节那会我也清了。
[78:08.270] 我一般我手机里存的照片，
[78:12.600] 我那会儿。
[78:37.960] 数据
[78:41.230] 下班。
[78:47.960] 什么时候？
[78:51.250] 马上买房买车吗？
[78:54.570] 还买吗？
[78:55.980] 买就可以了吗？
[78:58.190] 他怎么样？现在我需要您深圳一些。
[79:02.490] 也没啥，您没有
[79:04.000] 没有照片，没跟我说这是不是阿姨在做合同？
[79:09.650] 往往都是手机的软件，
[79:12.170] 我给你提供信息，这信息不是很快泄露究竟。
[79:17.190] 因为我先买，他们只要登录我的信息很快，第二天就有人给我打电话，
[79:24.790] 你说这个无法，因为我们得把您的。
[79:27.180] 这些信息都。
[79:28.170] 都得打。
[79:29.590] 电话。
[79:39.570] 你合同里头到时候得车的什么
[79:44.600] 什么信息，什么车架号什么的都写上去，对外观内饰。
[79:51.110] 这车是什么时候产的都有吗？
[79:55.130] 现在都是新车。
[79:57.570] 就是6月20号生产。
[79:59.530] 的
[80:06.410] 第二
[80:10.790] 买了。
[80:13.390] 可以买爸爸在干什么？你自己说你要买蛋糕，谁知么一个对。
[80:22.140] 因为我得做合同这栏可能没有你比懂这个
[80:27.810] 刚才去交的位置，到时候如果咱们车辆后期涉及到召回的时候，他都会记着微信什么的，幸好归在这。
[80:40.280] 的
[80:46.130] 好了吗？
[80:49.570] 我感觉做
[80:55.140] 我什么时候可以取车，
[80:57.210] 最终
[80:59.260] 快的话可能我看看，
[81:01.560] 快的话我倒是拉一群有咱们金融根源，您需要提交的信息，咱写这群里就行，因为这点他们已经下班了，他先明白。
[81:09.530] 它主要先查一下中信，然后如果说只要您征信煤气都特别好批，为什么要注意？
[81:15.630] 然后我看如果这块的话，这个可能性是吗？
[81:19.790] 他发现没问题了，可以批了，然后我们就过来签合同，然后把首付交了就行了是吧？
[81:26.840] 最快的话就是周五，如果明天能批下来，我就给您。
[81:31.820] 中午安排交车。
[81:33.310] 但是如果明天没批下来，周五批下来了，我最快我得给他安排在周一交车，为什么中国。
[81:39.260] 一轿车是因为。
[81:40.530] 周六日办不了临牌，您来了也是先把旧车搁。
[81:45.420] 然后那个车给您评估多少，因为我们这没给您评估的。
[81:49.920] 他昨天评估车是零高车。
[81:52.780] 没给价钱是吗？对车没给加钱，多多少少应该有点什么车。
[81:56.840] 本田飞度本田黑03。
[81:59.480] 在场三厢的
[82:00.770] 还是三厢的，不是两厢的飞多少？三相等。
[82:04.480] 我回来明天给你问了，那车早就停产了，明天给您
[82:09.030] 加微信。
[82:12.300] 2点。
[82:13.000] 我稍等，我先把这合同做完了，咱俩加微信不着急。
[82:16.200] 不用。
[82:23.180] 你是把它转。
[82:25.020] 那个客户是他要北京还要找个北京，北京也想要什么又税收又那个政策是吗？
[82:32.480] 开玩笑，他一个人一年交这一个多，密云好像是有政策好，还有通透。
[82:37.290] 要政策。
[82:39.270] 我给你问问不完了吗？
[82:40.730] 你知道谁问的？
[82:42.280] 你们什么用处吗？
[82:49.250] 好像是密云的政策好。
[82:51.270] 还有。
[82:53.410] 通州咱们科技公司注册地址那政策好。
[82:59.700] 新的政府，
[83:03.450] 他为什么迁到北京？
[83:07.440] 开了。
[83:08.360] 的，
[83:09.640] 谁知
[83:25.880] 感觉。
[83:30.060] 关心
[83:31.020] 的。
[83:31.960] 你想好好做，第二下就做好了。
[83:34.950] 了。
[83:36.310] 后来做成听话。
[83:47.030] 数据、
[83:48.960] 三。
[83:52.920] 电话
[83:54.880] 的
[83:56.920] 话
[83:58.420] 花
[84:41.930] 我想什么？
[84:44.840] 9。
[84:50.120] 330。
[84:53.930] 19770272172。
[85:03.320] 还。
[85:05.380] 你的
[85:09.600] 刚才的错
[85:27.780] 也。
[85:31.280] 的。
[85:33.980] 数据
[85:36.280] 的。
[85:37.240] 花。
[85:39.160] 的。
[85:40.580] 坏数据。
[85:42.250] 坏数据
[85:46.450] 的。
[85:50.440] 坏
[85:56.440] 坏
[86:01.560] 坏。
[86:02.580] 8月。
[86:05.750] 的。
[86:08.490] 小。
[86:13.400] 的
[86:17.230] 三。
[86:21.360] 的。
[86:26.090] 的
[86:29.370] 花
[86:35.140] 了。
[86:37.830] 咱们定金是1万块钱，您是
[86:40.730] 刷微信还是刷卡？
[86:43.870] 微信。
[86:47.010] 不是，我是卡看能不能转1000万块给你看看。
[86:51.950] 卡给你。
[86:52.950] 开卡好吗？
[86:54.760] 我没事微信我请您要是刷卡也是最好的。
[87:00.480] 我说你要是。
[87:01.740] 刷卡。
[87:02.450] 我们pos机刷卡没有卡，现在没电卡。
[87:06.490] 现在都是微信，他就得把卡提现，然后。
[87:08.970] 一般都是走网银，您。
[87:12.200] 就发我也没拿信用卡现在。
[87:14.070] 都不用信用卡了。
[87:15.510] 信用卡咱也发不了，但是您微信。
[87:19.110] 绑信用卡它就能发就我们
[87:21.890] 完了。
[87:25.310] 在了可知道？现在都不用信用卡了，出口没收到。
[87:30.510] 这就没什么用了，微信。
[87:34.460] 了。
[87:37.490] 然后去打一下咱们合同，
[87:43.040] 的。
[87:45.610] 的。
[87:48.250] 号。
[87:49.510] 你有
[87:53.610] 谁知
[88:04.010] 愿意
[88:08.490] 的
[88:12.010] 数据。
[88:14.640] 的
[88:25.130] 你不是有证据吗？谁知
[88:30.660] 他什么时候出的报告程序那不都有吗？
[88:33.800] 找个律师不就完了吗？
[88:36.080] 多简单的事，它属于涉嫌什么职务侵占。
[88:40.090] 谁知。
