[00:42.280] 为
[67:29.360] 箱子小样，
[67:30.830] 然后增加剂灭火器，
[67:32.960] 还有敏感
[67:35.390] 领钥匙，
[67:36.670] 双
[67:41.700] 拜拜。
[67:43.410] 没事。
[68:15.660] 发票的话总共对完事了，发票的话总共
[68:18.960] 不用身份证用身份证，待会我得办完临牌的时候，最后给你
[68:22.850] 出保险办临牌。
[68:26.820] 走
[68:27.780] 要
[68:30.480] 所以发票的话，因为咱们开车的时候注册的调研
[68:36.190] 后上传消费不一样，最后咱们就可以了，他们
[68:42.050] 要
[68:43.160] 你来这
[68:46.360] 说。
[69:11.630] 说了不要担心。
[69:13.190] 说您那天上午课了还跟我说对。
[69:17.560] 行那行吧。
[69:19.630] 就有点打造了。
[69:22.080] 我说在北京开展，等一下在这
[69:25.350] 今天带来了对。
[69:27.300] 已经看过还行，100万块钱押金，完了这也太小了。
[69:32.530] 还可以。
[69:34.040] 觉得天早上在这里看看，
[69:38.830] 你需要东西里边第二名我那不是亏了，不对。
[69:43.560] 蓝色旁边对没事，江汉区往事那就是石头还可能还得开过来，今天10的不回来。
[69:51.910] 还是热的，知道了，您得拍前面。
[69:58.560] 我看看你稍等。
[70:01.350] 二
[70:02.690] 看
[70:03.780] 这个情况完了之后，
[70:05.980] 等着我们指标还没下来。
[70:08.040] 石家庄也就这两天你改变一下，
[70:13.980] 这样我真的
[70:16.180] 不能比如不想开
[70:17.980] 他这10来天
[70:19.340] 一块
[70:21.360] 外商
[70:26.340] 没错就不用了，对，上下班完了电台到家就是点继续。
[70:32.650] 差不多。
[70:35.430] 三
[70:36.900] 知道。
[70:37.930] 那就这样在家里这边
[70:44.230] 这边。
[70:48.680] 咱们下次找三号
[70:56.520] 给他们想法
[71:01.040] 了，
[71:03.630] 还是把空调问题
[71:06.590] 看一下。
[71:10.380] 主要还是销售。
[71:14.410] 汽车咱们得还住这边，除了把房排一下。
[71:19.960] 对在月初的估计感觉
[71:22.880] 这个车还有汽车咱们销售部全员一起，
[71:29.080] 销售这块的话，
[71:31.160] 每天大概有4~5个人，
[71:32.890] 北京的部门25出来仓一起唱歌一个人，平均7的到登上了。
[71:39.440] 对，有的时候
[71:40.910] 可能别人洗一下就走了，然后洗的时候看一下私家车的流量，
[71:45.850] 咱们的标准21，
[71:47.990] 整体流量的话比较攻击几个，第二的话赶上夹角的，然后洗发水一块咱们那边
[71:56.890] 然后洗的时候也有，那么其它的地方
[71:59.910] 用汽车里面
[72:02.620] 自动吸收在二洗洗的时候，就是除了他。
[72:06.030] 除了出一些汗。
[72:07.140] 意外的话看看李教授的大家可以刚才分析一下，
[72:14.190] 出现
[72:16.090] 数据
[72:36.310] 坏数据。
[72:39.000] 数据
[72:41.870] 场、
[72:47.660] 废话
[72:53.360] 话
[72:55.930] 五
[72:58.710] 一
[73:00.700] 的。
[73:09.570] 二
[73:11.050] 的。
[73:17.810] 看一下。
[73:22.820] 目标、
[73:30.680] 指标咱这边
[73:37.440] 还是帮我个事，
[73:38.950] 还是昨天
[73:41.590] 问。
[73:53.890] 还签合同。
[73:57.160] 总结。
[74:54.230] 我去了。
[74:55.120] 给您自己帮我选，然后再给我留个邮箱，首歌，正好你这挂着我就看你了。
[75:00.780] 观察
[75:02.230] 法官翻遍
[75:05.980] 号。
[75:07.800] 需定时开关。
[75:10.680] 42
[75:11.830] 13976670
[75:15.750] 24
[75:17.090] 36
[75:18.810] 176
[75:20.400] 2024号萧县咱们人心疲劳这是吧？
[75:26.390] 0点
[75:30.270] 焦距好妖魔。
[75:40.680] 秒。
[75:41.380] 我马上回去了。
[75:53.840] 被保险人
[75:55.260] 改成圆，
[75:56.230] 对被告人了脱险目标。
[76:00.870] 000
[76:03.010] 6。
[76:04.840] 明白
[76:15.450] 整个到什么程度了，那就完了，这是什么意思？
[76:21.270] 我已经打了我。
[76:23.420] 错了，这个问题我这儿了，我问问我马上没打算没有，我觉得多少钱。
[76:29.430] 你爹的，因为他们也在哪，我刚刚问了，因为你跟我说了我就没给他答，你说流传完了事你我因为都是咱们组里边的，我就没给他打你，我来问。
[76:39.630] 我哪都没买，没有，我刚来了，
[76:42.720] 过去了哪年我姐一块就
[76:47.040] 因为你说了我就没给他打，我想你你自己那都排好了，我还给他打了，我以为你要是有什么别的他都会给
[76:54.400] 安排在什么时候了。
[76:57.120] 我还问他一句，我哪都没了，我说你完成问题来了，我这着手术照应这就下去了。
[77:06.640] 什么
[77:07.590] 用？
[77:10.030] 说得拿您身份证。
[77:16.230] 谁知
[77:18.430] 打
[77:22.430] 马住找这首我找着了。
[77:25.610] 我快点小马哥，我去看一眼什么进度。
[77:34.200] 数据。
[77:57.940] 讲课加
[77:59.060] 刚才我同事说
[78:01.540] 我知道我在你后边开的票。
[78:03.680] 说但是我没打电话。
[78:06.500] 您没打电话那我就算了了。
[78:20.040] 咱们店这边在听水，您跟叔叔在那等，一会我出保险去。
[78:24.860] 我刚刚看咱这讲课专员刚从车上下来，我估计他在开个系统差不多10分钟，咱就能讲
[78:31.550] 过朝鲜给人讲上去，然后把系统给您激活了，我先出保险去，
[78:36.080] 再保险部门打电话告诉他验证码。
[78:52.340] 玩到码头。
[78:58.360] 马劳动买车动。
[79:03.360] 小马哥我这块不用怎么讲车，然后开个。
[79:07.360] 然后填着那已经进行到上一个客户开立的阶段了。
[79:25.730] 哄女人。
[79:26.580] 养老保险。
[79:29.880] 对被保险。
[79:35.710] 我没动。
[79:38.110] 给哪个？
[79:40.380] 被保险。
[79:42.270] 好。
[79:50.360] 不是分清，也不用写东西。
[79:56.330] 给
[80:19.760] 大熊里面是开楼吗？大熊猫。
[80:23.220] 大熊。
[80:25.120] 你这是马上开走吗？
[80:28.330] 我开这车。
[81:09.710] 不是白上一整了吗？
[81:11.680] 哪个？
[81:13.170] 完了没事了，我开走了。
[81:15.370] 我签个字。
[81:28.310] 看着看着。
[81:29.640] 没有最后的白。
[81:31.320] 啥意思？
[81:33.190] 我开了。
[81:46.360] 我开走。
[81:47.600] 行好勒，这店门框边上都擦了勒，好勒谢谢。
[81:53.100] 你签字了，我签了。
[81:55.040] 来。
[81:56.160] 我正好正在这让他叫前震。
[81:59.290] 田震没碰走。
[83:13.420] 了。
[84:26.830] 正好我买了。
[84:27.750] 太远了，谁知
[84:39.860] 的
[84:43.950] 的
[84:47.360] 了。
[84:53.760] 的
[84:54.920] 手机。
[84:56.630] 第
[84:59.570] 就奥迪同事，
[85:02.340] 还有只有2块7，
[85:05.000] 也。
[85:07.930] 对你得买一个衣服把的
[85:18.410] 对。
[85:22.010] U盘谁知
[85:24.430] 能够
[85:29.030] 的
[85:32.360] 它的影响
[85:37.310] 的
[85:40.070] 其他
[85:47.760] 句
[85:49.730] 你现在我们才能给您过来方便，你不是说在前面这个模式跟手机要去这种对接的时候回去不过来，我想这个事儿
[85:58.210] 把你请过去了。
[86:01.080] 这边
[86:03.560] 你买那个药这些
[86:11.790] 谁知
[86:13.660] 对，有的话看看您让主张的。
[86:18.790] 好的。
[86:22.600] 再走。
[86:25.200] 您给我搜一下看一下时间，然后这个问题的
[86:31.160] 我们都在这里。
[86:54.890] 远。
[86:59.450] 数据
[87:00.920] 数据
[87:02.390] 数据
[87:04.550] 的
[87:25.160] 的
[87:29.960] 的
[87:36.170] 的
[87:56.090] 场
[87:58.030] 远场
[88:00.160] 场
[88:01.740] 场
[88:03.290] 场
[88:07.040] 场
[88:09.650] 场
[88:15.290] 号
[88:16.240] 场
[88:20.550] 场
[88:28.380] 数据、
[88:33.340] 数据，
[88:35.450] 上午
[88:54.560] 的
[89:00.310] 的
[89:18.330] 的
[89:47.830] 好
[90:28.210] 数据、
[90:29.220] 数据、
[90:32.080] 场
[90:35.670] 场
[90:41.440] 等
[90:42.550] 场
[90:47.190] 数据
[90:49.190] 场
[90:50.070] 场
[90:51.440] 数据
[90:56.100] 场。
[91:02.240] 的
[91:04.950] 数据。
[91:06.690] 对，反正商业应用之后，然后又打
[91:10.460] 电话。
[91:55.450] 没见到韦老师。
[92:16.890] 等
[92:19.630] 刚刚说了，
[92:23.460] 王宁这都干了，我看到了，再说你在哪。
[92:29.210] 说。
[92:30.320] 你这开发商等一下我讲
[92:32.710] 如果房子还没
[92:36.590] 我不知道。
[92:42.070] 什么时候这是吧？有他他俩银行跟更多
[92:46.010] 网站上
[92:49.010] 是身高的一个宫殿，
[92:51.160] 那人见人7月
[92:53.470] 15号，
[92:54.360] 他说今天的
[92:59.530] 长久。
[93:01.520] 我要给您讲一个三高的，但是您着急上那边上交通仪式，一会您回来我再跟您说，如果奔驰他给了一个补贴，我要因为盒子这张
[93:11.430] 所以搞清楚最关键的
[93:15.020] 延长
[93:16.570] 这风险，
[93:18.140] 节省后期维修成本的维护成本讲究还是我们覆盖。
[93:23.650] 我大概看没想到行不完工了，保养保修都给我不管了，现在我们法律说完，
[93:32.910] 就是说您后期你这一块他的养不成。
[93:35.590] 您回来考虑到说都得您说，
[93:39.600] 我都得跟您讲内容性。
[93:42.910] 加她微信想也行，但是一两天讲的是不行。
[93:47.870] 反正我就简单的为您做点，现在我没钱。
[93:52.720] 这里面老师
[93:54.230] 看到了，
[93:55.470] 或者是我们就感觉的话，我们
[93:58.760] 这边走。
[94:00.570] 您先一会参加了，可以先把老板。
[94:03.530] 反正后期的保养你帮我先售后了，我还没跟你讲话，
[94:12.110] 对不对？可能晚上中国的传统的中国的国家
[94:19.810] 继续坚持，然后同时延长保修给你
[94:25.020] 的这一块
[94:26.160] 您要是坐200块钱一半的钱肯定
[94:29.940] 现在我们设备确实有这种反应过来了。
[94:33.020] 头三年发生什么改变？
[94:35.120] 真正我们
[94:36.200] 国家之后可能会做有限公司，他的学生出现了
[94:40.150] 自己维修的。
[94:42.080] 应该说您在园区的还要做罗马工程，都是他们俩
[94:49.110] 他说给他换一个东西延长
[94:59.860] 元
[95:03.080] 的。
[95:14.770] 数据。
[95:22.900] 花
[95:26.370] 号。
[95:39.430] 数据
[95:41.680] 的
[95:43.170] 咱们
[95:46.760] 我们有了。
[95:48.910] 我过去到那边拿货没了，
[95:51.690] 不知道我没跟你帮忙，
[95:54.560] 我这时也体现那个叫什么？
[95:57.780] 都体现了。
[96:00.050] 你只是体现在你记得吗？过程只有那给你算错了，这里边没卖掉，谁知到了
[96:08.240] 我数据分接着对，但是目前的人名对，因为它衍生不过我没所以完了
[96:16.450] 他开始问我没有那个谁改，
[96:18.810] 因为你亏钱也没我高，你知道吗？你说我不干了，他说我这块了，然后还去了。
[96:28.520] 所以我就把收条给你了，我只跟小曼说了，张老师跟我说，他说你在里面还有你
[96:34.340] 问谁说话都说一下。
[96:37.500] 因为我知道说的。
[96:38.660] 今天也不过来了。
[96:41.090] 了。
[96:41.900] 了。
[96:42.850] 我已经跟我了。
[96:48.480] 在车那边张哥。
[96:59.750] 好了，车也开过来了，咱准备讲车了。
[97:02.580] 小心别磕着。
[97:07.870] 钱。
[97:10.550] 郑哥我们车那见停战，
[97:24.240] 车我开过来，咱再查一遍外观内饰。
[97:27.810] 然后车辆号也刚之前那台车，
[97:32.540] 临牌的话可能得等一会，因为合格证现在这大姐在我们外裤费用我们新库辅士路，但是他回来我才能拿合格证原件。
[97:40.670] 那就回来这车都不用拿。
[97:44.800] 没事，到我办临牌的吗？我找你拿了不？
[97:49.470] 对。
[97:50.970] 那是办法吗？
[97:52.520] 保险不给你打电话了吗？打。
[97:54.440] 应该保单也出来了，您在车这等一会我去拿保单去。
[97:58.720] 来。
[98:04.440] 我拿保单。
[98:06.220] 谁知。
[98:09.680] 弄着行，我这到时候也在宋庄车间02
[98:36.540] 这房子。
[98:37.120] 找你来了。
[98:38.140] 一。
[98:39.470] 他高高的买
[98:41.410] 网上保单。
[98:43.060] 谁知
[98:44.190] 妈
[98:48.480] 第一个。
[98:54.670] 感觉
[98:59.670] 做
[99:07.030] 你们那儿我不忙，你让我什么叫忙活一个月卖不了给他说你现在不开心，
[99:15.100] 不那么累了，
[99:20.750] 看自己心态的，
[99:24.580] 有的人发2万还不知足，我发5000我就知足你。
[99:30.360] 你现在这个阶段应该是属于快结婚的阶段，主要是对的。
[99:35.240] 我现在等一下
[99:37.610] 还在研究的地方噻，我都多少年了，天都黑了了。
[99:43.540] 宜家在那边。
[99:44.550] 对你10分你是不是看不上，要求太高了。
[99:51.600] 将现在已经降，现在不是北京没有高速下，
[99:56.240] 别让同行您要去海南找马，他他会出现了一个这好像非常
[100:03.130] 对行业真的跟你说这找了还得找东西，对东江同行能理解你。
[100:09.230] 行，你赶紧吃饭干别的行吗？别太了。
[100:12.580] 你要不找同行，我跟你说。
[100:17.080] 肯定要加班，对，那天我们经理我不知道张扬那个地址就结合那地点是吧？
[100:25.590] 还在山东我就完了，工作甜一点，能不单身吗？
[100:30.420] 晚点我找一对象，然后人说今儿你随便聊聊，渐渐一点就集合地点往前，日本又见到了，
[100:38.210] 网上买了不行，下班看完了给打电话打也打回访，
[100:41.720] 要不然今儿看场电影搞不定7点，结果他们8:30还没下班，
[100:46.880] 我说一次行，两次能给老段要承受的。
[100:49.610] 没问题，好。
[100:50.830] 一
[100:53.240] 他最多就30。
[100:54.770] 转账吗？
[100:57.610] 我招你一个事儿，
[101:01.250] 对吧？因为您再申请也批准不了，你跟你媳妇相亲是什么？
[101:05.240] 我公司组织的相信，
[101:07.620] 我是我们平安公司，如果要是实在是冬天，然后联合什么中国石油中国石化银行医院学校一个100多元100块钱100个女的也是缘分的，然后就这么着就认识我，你只能选一边，不让你不是没有人选，不是那种特别
[101:33.290] 留个微信留个电话说对你可以加100多名半年，因为就跟品酒会，但是我们品质已经亮了你知道吗？
[101:42.760] 就他指定这个家，我是当时就相信他了，谁也没加薪，
[101:47.720] 舅舅叔叔一致，手机上都盖着您怎么讨论，然后有缘看你家住你家边上不一样，你们俩就隔交合，
[101:55.660] 10多分钟的路程也不好了，他回家方便，对，然后我再给他送回家，开车下雨他送过去的路上聊会，
[102:03.420] 待会彼此感觉到火车慢慢就出来，就最后介绍再
[102:08.390] 反正也没有酒店家里大量开玩笑在家了，别人找也不行
[102:14.410] 了，
[102:15.000] 他就拿着那身份证，
[102:16.760] 所以不行他拿着您的身份证体验做就行了。
[102:20.770] 到时候出去玩。
[102:29.190] 查。
[102:30.360] 大哥肯定能到，然后支持什么多少完了。
[103:20.440] 33楼。
[103:21.160] 我要说完以后删了。
[103:42.170] 这蔡总走了吗？
[103:48.240] 倒着走了过来开始。
[103:50.320] 好了，有事再说，拜拜。
[103:57.960] 的
[103:59.470] 三
[104:04.950] 的
[104:06.580] 数据。
[104:13.330] 场、
[104:21.510] 场
[104:22.920] 场。
[104:23.820] 场。
[104:26.640] 场
[104:27.360] 场
[104:30.120] 场
[104:32.030] 场
[104:33.930] 场
[104:38.320] 数据
[104:39.570] 场
[104:40.600] 的。
[104:45.210] 对吧？
[104:49.240] 大一点儿。
[104:51.140] 这样。
[104:52.550] 所以说我第
[104:55.360] 后来就没有了，
[105:01.110] 第一个肯定知道绝对是我没
[105:08.630] 跟你说你看看
[105:12.510] 我说你现告诉我你
[105:16.510] 但是24号
[105:18.320] 夜场我说你今天买
[105:22.260] 没走完了，第二天才能到那。
[105:25.990] 然后你的车
[105:27.200] 价格中介，
[105:33.800] 我也是长了一个专业知识，
[105:35.780] 也知道
[105:37.390] 有这么玩的，他给我发个表让我填那信息骂我才知道原来是有这样的，我卖清华同方那么大上市公司也没要求当时，
[105:46.300] 但是人家清华同方把咱们有当时一个票给审出来了，
[105:50.250] 当时她打过来2500块钱上门费，
[105:53.160] 人家晚上搬，当时咱们百得利商贸开票。
[105:56.080] 第三统一开票，后来。
[105:58.550] 公司开会的时候不对着开着不对。
[106:00.410] 说我这钱给打了百得利之星了，你给我拨百利商贸的票了，你这个逻辑不对，
[106:05.430] 对不对？你这块。
[106:08.180] 了看第二说我说你甭管A公司都是自行车，
[106:13.170] 咱们艺术人家里面
[106:15.000] 我说A公司收你的车了，钱就应该拿给你，
[106:18.820] 对不对？咱没掺和，你别让这钱就打给B公司。
[106:24.240] 咱们一把因为有完事了，他跟我说法务公司看，你那法务看了，我说我们发我看我们公布可能因为你改我这不可能
[106:32.800] 不买这车不能给你讲。
[106:35.970] 比赛
[106:37.510] 远。
[106:39.260] 说
[106:51.730] 一块
[106:53.940] 数据
[107:00.390] 三
[107:04.220] 三
[107:09.410] 为什么
[107:11.230] 要
[107:14.580] 进口的问题。
[107:16.670] 放在。
[107:19.250] 翻看一下，
[107:20.690] 刚才不是
[107:31.170] 不是买的东西好。
[107:32.560] 找这个
[107:34.470] 开导他也开始我想办法
[107:40.240] 对，然后平均应该这个房子的正常流程应该说
[107:48.040] 问题
[108:02.400] 答应我，
[108:03.130] 让你备考
[108:04.890] 的
[108:08.000] 到
[108:09.830] 把
[108:12.750] 了。
[108:16.920] 了
[108:18.920] 数据。
[108:24.520] 往往
[108:28.440] 上
[109:33.850] 当时开发到人家，
[109:40.340] 也
[109:41.220] 二
[109:51.270] 6
[109:54.200] 二
[109:55.320] 23
[109:57.970] 的。
[110:02.320] 二
[110:07.000] 句。
[110:11.130] 场
[110:12.430] 二
[110:15.390] 的
[110:17.510] 花
[110:19.410] 的
[110:20.880] 的
[110:33.850] 首保也是免费的，不是
[110:37.350] 首保是1万，所以它不免费，但奥迪5400上面
[110:44.480] 好多客户都是免费
[110:47.480] 保养年货，
[110:53.560] 想
[111:00.540] 数据
[111:03.560] 的
[111:05.600] 的
[111:08.400] 号。
[111:12.730] 远远的
[111:16.410] 的
[111:17.690] 的
[111:26.330] 数据。
[111:32.790] 数据
[111:34.030] 的
[111:40.500] 的
[111:43.570] 场。
[111:50.270] 场
[111:51.500] 做
[111:52.840] 大
[111:59.910] 手。
[112:04.890] 三
[112:08.660] 场
[112:11.420] 场
[112:12.400] 数据。
[112:14.290] 数据。
[112:15.740] 数据
[112:19.280] 主场
[112:22.280] 数据
[112:24.000] 坏
[112:28.800] 数据
[112:31.320] 的
[112:34.860] 颜色。
[112:50.740] 场
[112:55.730] 场、
[113:04.480] 二
[113:09.710] 的
[113:11.200] 的
[113:14.970] 的
[113:17.110] 的
[113:21.200] 差。
[113:27.940] 他把手机号
[113:33.320] 有没有大家提一下？
[113:35.280] 谢谢
[113:37.880] 了，
[113:40.840] 谁知
[113:42.400] 的
[113:44.140] 能下吗？
[113:46.140] 您像您刚才下一半段点应用，宝得用宝。
[113:53.220] 来帮我清洁。
[113:55.210] 然后这是三包原件，只有复印件，今天给您开的票，然后从今天开始车三年不限公里质保，
[114:05.150] 对，亲近的人。
[114:16.760] 然后
[114:18.370] 好第一
[114:30.570] 您好先生，就是您这一份小礼物，您把风格语法我先登记一下您的信息。
[114:35.260] OK昨天这是财务信息了，发票。
[114:39.970] 上海的股票
[114:50.600] 要
[114:55.200] 拍照当天
[115:07.590] 激活码。
[115:12.720] 5873，
[115:17.910] 谁知
[115:24.240] 谁知
[115:39.310] 好的，我就不多问您了，就麻烦您给我签几个字就行了。我们现在的车辆正在给我打电话票。
[115:46.830] 反正发票。
[115:51.070] 麻烦您觉得您是周先生是吧？
[115:58.830] 还有两
[116:00.860] 填一个挣钱。
[116:02.810] 以前。
[116:12.200] 你好。
[116:13.990] 好吧？
[116:15.550] 来您拿手机搜一下，百度集团明天下午
[116:20.320] 点套餐。
[116:23.600] 资金组织起来的。
[116:26.830] 没有。
[116:28.220] 信在这儿，
[116:29.370] 这就是一个教授礼包。
[116:31.450] 礼拜二回来，谁知
[116:36.210] 把脚垫什么多少
[116:55.370] 进去然后关注，然后登录我就
[116:57.920] 来看一下。
[117:00.390] 三哥。
[117:27.330] 1364。
[117:29.690] 1322114航班上，我就后来
[117:34.460] 1488让公司
[117:37.060] 有个人
[117:39.740] 不需要辩护的，
[117:53.340] 花
[117:55.050] 谁知。
[118:04.490] 还是
[118:07.100] 的。
[118:09.280] 可以吧。
[118:17.380] 回来再把纸给他给我爸爸了。
[118:21.400] 对，还有上
[118:23.600] 策策划。
[118:25.160] 你那回来就拿着这个让男人一走就能解放了。
[118:29.970] 到这样的马，
[118:32.800] 我说他老失败，这给我对我感觉好像那层不够了是吧？我的从9的事
[118:40.030] 100多地，我给你看看，为什么你老下一半就直接停了吗？有拦截。
[119:00.310] 的
[119:04.920] 了
[119:08.580] 的。
[119:13.970] 的
[119:34.480] 第二
[119:35.260] 二
[119:42.670] 明天
[119:44.510] 还不了解。
[119:46.400] 你帮我弄一个泉眼，
[119:48.020] 金币82273点
[119:53.970] 227305。
[119:55.890] 解释一下。
[119:57.010] 就一个全免，这车带上得过一会才。
[120:00.280] 三路上。
[120:01.840] 他目前大概
[120:07.730] 这都完事了就了。
[120:09.760] 别的没有了。
[120:11.380] 就下半年团了那行，我看看三层那大姐回来没管过。
[120:16.270] 拿走这原件。
[120:18.730] 咱这车先帮我送我来弄。
[120:21.240] 你把手机拿走了
[120:22.850] 了。
[120:23.860] 赶紧
[120:26.000] 了还用石头，
[120:27.740] 他又是什么办临牌。
[120:30.060] 品牌用语言不用说了，
[120:33.740] 就是说在深圳也在干嘛行，一会完事我就走了，完善三块更多几个。
[120:41.010] 您知道怎么调出来的，三圈霸道，还是咱公众账号打电话扫一下就行，不行？
[120:46.130] 那条道了页面上直接您到回来找咱们这给闹材料费。
[121:14.570] 喂张先生
[121:16.120] 就行了。
[121:25.350] 他跟你捞得差不多。
[121:27.470] 我也那么多的。
[121:31.820] 老婆那三年也要也有这么大
[121:45.520] 脚垫他那个药。
[121:48.920] 他就陪着
[121:56.990] 到
[122:16.120] 登录之后，今天用了二小时之后，
[122:21.380] 然后再加个微信那行。
[122:37.320] 管理。
[123:02.640] 上
[123:03.880] 这一次链接没用，这些型号发过来了，然后我把你车给你沟通。
[123:11.960] 行。
[123:13.130] 这东西明显也是典型只有一点点，对，他就该显示信息了，现在没显示，明天再登记该显示信息了。
[123:21.030] 这里面你想三包能够互相行，
[123:23.960] 这是我的体验中您坐着稍微等一会，我去翻翻看一眼，回头这回来没钥匙回来了，咱直接就过去了。
[123:31.650] 这就办完了就完事了，要没回来咱要先吃饭去。
[123:48.030] 没事。
[124:57.900] 没完了这玩。
[124:59.500] 马上
[125:00.580] 扫描一下证人。
[125:05.020] 下午有3
[125:06.730] 行。
[125:07.620] 我都在
[125:16.350] 没上网。
[125:18.180] 那张。
[125:19.020] 那时候还得扫一下订单，不用找了不用了。
[125:23.590] 和这大姐去了，辛苦一去不复返了。
[125:27.800] 是吧？
[125:29.200] 月付款。
[125:33.040] 老丈人。
[125:34.650] 张铮您哪年的就几个。
[125:36.960] 一
[125:37.960] 他跟张兄同岁，看不出来。
[125:40.530] 我当时
[125:41.540] 当时我的身份证不要了。
[125:45.240] 53151. 
[125:46.370] 539是吧？
[125:47.840] 当时我也是太了。
[125:49.440] 3点。
[125:50.430] 咱们正常的比咱大10岁吗？
[125:53.310] 我觉得是
[125:56.230] 我一看跟我一年。
[125:58.920] 就保1291了。
[126:00.490] 我91年我身份证是92的，我实际91年10月份的他还比我小一个多月。
[126:07.450] 我今天一看真的我以为是一个40多岁大哥，然后因为什么我就乐了。
[126:13.370] 要。
[126:23.470] 31531。
[126:28.870] 我把张勇的身份拿到胃镜快递系统。
[126:35.620] 谢谢你用完了给我。
[126:44.440] 您现在是不是
[126:46.250] 计算方不用烧成那样了，寄EMS给谁是那是吧？
[126:49.890] 谁知
[127:03.790] 也给我签个字是吧？
[127:08.230] 咱别忘了，
[127:59.360] 这客户记在心上。
[128:02.100] 寄达。
[128:03.080] 眼睛
[128:05.040] 我看见他们发的
[128:17.120] 帮我哪个都行。
[128:18.930] 现在在干嘛？
[128:20.180] 自己哪里？北京市房山区。
[128:24.240] 在哪里他不进来，我给他打个电话短信。
[128:29.560] 有提高电话吗？有肯定没有，他你电梯的时候我告诉你怎么填，因为这个里面就是用原来。
[128:35.470] 好，姓名是你自己，然后手机号都写成G的。
[128:45.960] 你先扫描。
[128:47.490] 你先把那东西地址复制一下。
[128:50.100] 好的。
[129:29.080] 那时候网申都不好。
[129:32.930] 名字，虽然你的名字。
[129:34.990] 电话号码可能听起来就行。
[129:36.640] 把你的信息签名送给接下来。
[129:40.020] 我每天打开报纸，
[129:42.900] 我看三通过了
[129:46.590] 这么三天，他这个反应还是真够慢的。
[130:09.320] 1369。
[130:12.720] 1369140。
[130:15.430] 2133。
[130:17.430] 对一下13691402133号走。
[130:22.800] 王后着选一下县级。
[130:27.560] 既不献血对。
[130:29.930] 然后
[130:31.910] 然后等会你这文件没选呢。
[130:41.470] 不用了就不着急了，然后往下刚才对往下最下边
[130:47.780] 你划一下。
[130:49.080] 就点一下。
[130:50.220] 好。
[130:52.100] 你得自己拿手给打个电话，我给他打一牌前咱们忙把这个表给我填一下。
[131:00.590] 主任用着着急吗？
[131:04.090] 着急吗？不着急。
[131:05.870] 就这到时候我们一会儿。
[131:07.120] 一起给你拿回去了，谢谢。
[131:11.180] 了
[131:11.910] 了。
[131:13.550] 拿不动。
[131:16.860] 谢谢你。
[131:21.340] 发现
[131:24.360] 对。
[131:26.780] 1809
[131:28.920] 332状态。
[131:35.310] 选区。
[131:41.760] 咱放进去给舒服，我我还用给他打吗？不用我给他打拿了。
[131:47.240] 不用对我给你拿着用。
[131:48.980] 好。
[131:50.850] 麻烦你了。
[131:53.000] 你把那些东西有大哥。
[131:55.610] 有一个项目盒子上的了解
[131:58.200] 号，
[132:01.170] 有一个送货。
[132:04.560] 方便查字典了。
[132:20.130] 好没事了。
[132:42.440] 发了，然后你联系。
[132:43.950] 然后您之前沟通知道开始了小的工具，
[132:47.600] 他们找到P了，
[132:50.190] 咱们它的分支
[132:51.670] 没异议。
[132:53.190] 明天我刚才电话。
[132:58.480] 姐姐身份证刚才跟您记住沟通了，我给他寄快递，
[133:02.960] 然后明天等到等给弄回来了，我这边
[133:07.150] 给客户打个电话了，把这单号回来您发给您您一下。
[133:12.040] 然后经验的是可能问了，当时感觉不清和现在做了，但是
[133:17.540] 那叫什么？简单地听到自己，后来到时候到
[133:23.380] 这边
[133:24.330] 生日到了，根据沟通网上，然后这块地给他接过去，然后填好了，
[133:31.510] 再说你把单号发给第
[133:34.800] 就行，明天。
[133:39.010] 然后您周末不忙的时候，
[133:41.040] 每天要开始做我们的7秒。
[133:43.370] 您提前给我说一下。
[133:45.400] 我周末都在看一下，看他们图标施工安排可以提高他们再说一下。
[134:10.940] 进去之后谁知
[134:14.870] 进去之后有一个
[134:18.300] 更新指标那么一个地儿申请，然后您点一下把咱原来
[134:24.530] 车牌号您录进去了，
[134:28.620] 就不再
[134:30.550] 要不会的话咱俩可以视频。
[134:44.170] 一块一块走。
[134:50.160] 现在
[134:51.600] 真急，俺今天买点。
[135:16.090] 周哥先吃饭去吧。
[135:17.750] 灵牌现在也到点也办不了。
[135:21.190] 呵呵是大姐还没回来走了。
[135:23.640] 然后待会儿反正有点脚垫哭得快，
[135:27.360] 然后我待会开着车回头过去给你打电话，待会忙。
[135:32.310] 保不齐。
[135:34.040] 我给你打电话打电话，然后就在你们那办了，
[135:38.380] 然后直接下楼到那小屋拍个照片就办完了，我把车给搁那，我溜达回来就行。
[135:44.070] 好了，
[135:46.690] 你们在我这完了。
[135:49.840] 您的身份证在你那是吧？
[135:52.020] 待会拿牙。
[135:53.680] 忘不了你要忘不行就搁着。
[135:58.210] 行，先回去。
[136:00.670] 快车道。
[136:03.310] 我这肯定丢不了。
[136:07.730] 待会给你打电话好了。
[136:10.240] 你先回去写。
[136:40.840] 世上还有这种
[136:42.280] 的
[136:50.790] 快。
[136:52.730] 句
[136:54.910] 的
[136:56.010] 的
[137:00.670] 的。
[137:01.840] 对。
[137:02.960] 不要管。
[137:04.220] 还是老一套这一块老乡，
[137:06.120] 因为我那些那时候就着火了是吧？我跟他说，我说咱们您说了你还能下手，最后一次买了
