[00:00.560] 稍等，现在唐先生。
[54:38.560] 那款原价是多少？39万多了，394,800是吧？对4也是4万对。
[54:45.870] 354,800，对354,800，基本上还是说其他的都差不多的话，差三块钱，
[54:52.000] 基本上就这样的话是4041，喂你好。
[54:57.430] 你好。
[54:59.070] 是的。
[55:02.550] 买
[55:05.200] 那种完了吗也张姐的你好几个鸟哥。
[55:15.430] OK它就是普通的那一块，
[55:17.840] 41万多什么我41万是吧？你就讲3万就枪毙了，不太精确，但基本差不多41万是吧？
[55:26.110] 万。
[55:27.140] 26年300是吧？
[55:29.170] 300的动感模式在
[55:32.270] ps我看看什么颜色的。
[55:35.770] 主要有白色内饰要求吗？你要个名片，这个可以不用名片了。
[55:42.280] 白松白黑。
[55:44.840] 还在这看着C300对月初到店里月初，
[55:51.410] 8月初8月10号之前。
[55:54.810] 对。
[56:04.280] 对没问题。
[56:10.560] 的
[56:15.440] 差不多。
[56:21.880] 不一样，看见他过来。
[56:24.560] 好谢谢没事。
[56:27.900] 你这话也了交了首先我没有一点明天来的好。
[56:32.960] 这样讲的比较您教练还是什么，我们不是说不买没事。
[56:38.510] 咱这个不是强买强卖，我知道我知道。
[56:41.340] 对，然后这样你不是有名片了吗？我们把这个单子能拿走吗？可以，我们再
[56:47.510] 讨论研究。
[56:49.800] 行不行？
[56:50.630] 你尽管研究，计划研究好再问一个是因为被停牌了，到时我来做车贷分期的时候需要带什么？
[56:58.730] 车辆跟您需要带上，拿到贷款的时候公开中国银行需要办个卡，中国中国银行我用他的卡，我们是有驻店经理的，他直接给你沟通，你问我我还真不太清楚，这个咱们在周末都在吗？
[57:13.220] 在这周末都对都在，但是
[57:17.610] 贷款可以平时办，但是你如果来交钱什么的，得休假，周五就牵扯放款这个问题，好的。
[57:25.020] 好的，我行行，那麻烦你没问题，谢谢哥们，好。
[57:29.620] 这边出去对可以有点。
[57:32.760] 你现在报道有个公交二维码，现在法庭调研，然后我们再给您回访电话，你看什么上面好老师你要上午下午或者是时间。
[57:41.140] 当然这方便，OK好的，下午3:00 4:00，好可以没问题，谢谢了，你别过去。
[58:09.880] 找你没有。
[58:10.780] 准备完了。
