[00:00.230] 在我们的风险单子在哪呢？
[63:57.110] 没打先讲车，假设特别首胜，一会儿你小玩意车这车2000多万。
[64:03.600] 不是来了，说大不了。
[64:07.540] 2000多万都是偏见，不是本人是吧？对，好了。
[64:11.760] 刚刚开门。
[64:13.650] 2020年7月9号。
[64:17.110] 反正房客户
[64:19.750] 对不住你的。
[64:21.360] 还要
[64:24.390] 既不是我拿手机录的不明白，就问了一下，行行好，我禁不住禁不多车子功能介绍，
[64:31.550] 然后小贩前面给您订车，待会我给您把大票保险都说，
[64:36.420] 我主要负责沟通的讲解时间差不多40分钟。
[64:40.480] 之前有开过奔驰车辆吗？没有是吧？看自动挡是吗？
[64:46.430] 待会呼噜跟进能介绍车上有一个功能叫梅赛德斯密互联，我待会然后给您身份证激活。
[64:54.440] 真正有用吗？你要用就先拍照拍照吧，一会儿再用。
[65:00.030] 开了以后
[65:01.450] 就不在了。
[65:21.840] 身份证就在这拍一个照片。
[65:24.400] 因为是一会儿功能实名的，我知道您是摘一下。
[65:28.390] 走走长时间。
[65:33.120] 不是我要开那个车子，谁开这个车都装到。
[65:36.920] 但是它注册的时候使用的。
[65:39.920] 行，这边来您跟我来咱们讲讲。
[65:45.180] 朋友。
[65:48.290] 好点就可以开。
[65:50.390] 好了。
[65:51.810] 爸爸。
[67:27.000] 微信等等这样子帮我打印了交给了
[67:48.270] 我要现在改变我萧山路了，先缴车，
[67:51.960] 再交钱，
[67:54.550] 车
[67:55.840] 你就发过来，
[67:57.440] 该怎么讲也能讲，
[67:59.940] 你要发编号的。
[69:24.590] 答辩吗？
[69:26.680] 说翻开
[69:36.930] 那时候没有洋娃娃，
[69:42.130] 看见我很惊讶，
[69:44.320] 不那么吓人，长得
[69:47.030] 什么清秀，眉目清秀，一表人才
[69:51.860] 我看着他
[69:56.430] 可能行
[69:58.890] 了。
[72:46.560] 一下，
[73:51.610] 这个是一二百六 260。
[73:54.000] 三本差点。
[73:55.270] 只要用摩托罗拉
[73:56.640] 不住聊电脑子，
[73:58.670] 你不用起来，我打包就
[74:01.640] 电话我的车想挪出去，你帮我挪一下。
[74:06.110] 单号吗？
[74:07.410] 方便吗？乱了往外边。
[74:10.950] 外边我让弟说把他车往上顶一下，
[74:14.750] 过程晚上等等那干嘛呢？
[74:18.480] 要我搁这儿最近又长。
[74:22.280] 的。
[74:28.970] 蓝色非常
[74:32.250] 蓝色。
[74:33.340] 蓝色需要吗？
[74:35.600] 20208如果你要立标的蓝色应该是没有需要预定。
[74:41.910] 6个月。
[74:44.560] 对，因为地标的话一般。
[74:47.340] 近基本都是黑色的一块年后要达标的运动的。
[74:52.240] 有颜色的。
[74:54.490] 大小。
[74:55.360] 马上。
[74:56.360] 下来了，我说这是咱们的。
[75:05.870] 特别准，因为那个广告颜色应该做的开始一个很快。
[75:15.320] 当时这个事儿
[75:17.120] 一般都不看的那个地方的。
[75:21.500] 但这种颜色也没有觉得。
[75:23.800] 大概多久我看您要。
[75:27.720] 要300的它有两个配置，一个高配一个低配的。
[75:31.760] 那就高配的，稍等我敲门高。
[75:36.940] 我这怎么还让我怎么打不了我的槽信息表，
[75:41.240] 为什么不弄个球了？
[75:43.170] 曹新平打不了，不是得那个什么
[75:45.870] 什么的审批都审批完了，我。
[75:49.310] 你稍等待会给你的不能用。
[75:52.110] 我这都审批完了。
[75:55.650] 打报价单是吧？
[75:57.280] 没事。销售确认单就是那什么颜色？
[76:01.200] 有差吗？
[76:02.750] 没有一样的。
[76:04.480] 他应该有一条信息表明。
[76:07.280] 对，您是重新弄，我看您之前买过奔驰车吗？还是没有的？
[76:15.880] 首次购车，但是是
[76:18.130] 我现在有一辆车也是我们的，但是往往不是奔驰的别的品牌的是吧？
[76:25.780] 舅舅车已经卖掉了是吧？还是
[76:28.350] 这准备给他置换掉什么了，我。
[76:31.140] 没啥。
[76:33.230] 要卖掉，应该只能卖掉还是上了，您如果现在名下有一台车的话，您要是再买新车的话，你得把旧车卖了，卖的话您可以在这边。
[76:43.210] 那车我觉得挺好，以后您没有其他指标了，
[76:48.930] 您不是现在一萝卜一个坑您。
[76:53.030] 我这名下有一辆车就只能一辆车。
[76:55.790] 对。
[76:56.960] 您现在名下有一台这个车。
[76:59.660] 你现在想再买奔驰老家，你把这车先到回老家去。
[77:04.750] 可以吗？三个。
[77:07.880] 河北可以吗？河北进不去了。
[77:10.800] 您车哪年的？
[77:12.950] 我是河北的，深圳市我知道你那车哪年
[77:16.980] 应该进不去了，河北应该交由国六的车才可以，你16年的车应该是国五的时候。
[77:21.760] 队伍
[77:22.820] 对吧？你就去不了河北那去，
[77:25.740] 除了卖掉还有什么材料要全A的。
[77:29.640] 您除了卖掉的话，要不然就迁到更远的地方，河北站了。
[77:34.300] 那是别人名字。
[77:37.120] 别人名字也可以就更远，比如说山东或者。
[77:43.510] 山东人给山东本地的户口的身份证需要制定条款的贸易企业。
[77:49.160] 他山东人就可以山东户口。
[77:52.470] 需要什么暂住证什么的，旁边站着什么肯定得需要他山东户口的话就不用了，他不是山东户口，那肯定得需要。
[77:59.690] 但河北的我现在找最近的河北的现在的，但是也应该是车进不去，您的车是您问一下您当地车管所这我们也是经验。
[78:11.050] 对，您问一下当地车管所，您的车从北京迁到河北市级城市。
[78:16.510] 还可不可以天津也是国6应该是。
[78:20.420] 对，我们这几个都是你的，不是，我觉得我说得很清楚，刚才说到管理。
[78:29.980] 我是你看完全健康。
[78:33.680] 咱这么说。
[78:35.490] 我们是在什么大道，咱们从发到群里面，因为颜色当时开始有人。
[78:41.830] 有一台书想的月光石灰准备开刀，电了一周是两个包我去。
[78:49.180] 这样像街上没有图片，我可以大概已经搜索一下。
[78:54.130] 还有个人共有3001一定或者觉察着，
[79:00.040] 我说这2000万人保养说你刚才是不是点签署了，第二次卫视也得签对签署牵头
[79:07.790] 打出来。
[79:56.130] 在签下您的名。
[79:59.560] 谁知。
[80:03.290] 都一样对。
[80:06.540] 我刚才说就是说我也得催一下，
[80:10.370] 反正都得先推一下东西，然后你再说话。
[80:15.850] 尽量。
[80:16.830] 刚刚下队你在哪里？
[80:19.020] 刚才他导航以后，他导航是跟你说什么，跟手机上找他一样的，然后到哪呢？
[80:26.190] 当然不一样了，他就是情感上所有不管可以交钱了，
[80:31.120] 在玩脱的。
[80:32.820] 先听。
[80:34.110] 完了来走。
[81:12.080] 要我们用
[81:13.400] CPIP加速了。
[81:15.880] 然后
[81:16.880] 后面好点。
[81:20.450] 看这个价格之前给您算价格的。
[81:22.870] 做到。
[81:51.070] 02的。
[81:52.040] 全部
[81:54.890] 站着转账最少，要拿钱的沟通的下来，
[82:00.510] 战略方向。
[82:01.900] 好，包括工业可能
[82:04.840] 不行的。
[82:07.820] 就是这个理解。
[82:10.750] 远。
[82:13.410] 的
[82:19.400] 咋还没挑新一点。
[82:22.670] 它的发展。
[82:25.680] 发现了。
[82:26.970] 发现了两
[82:29.350] 我
[82:30.480] 老婆我介绍谁知
[82:33.150] 在这里
[82:34.950] 只能说
[82:35.960] 我现在可能
[82:38.170] 我们就需要。
[82:39.120] 行吗？我。
[82:40.410] 我给你身份证。
[82:42.320] 到家
[82:44.970] 他老。
[82:46.200] 他感兴趣待着，我也没给我送保险，那我没有
[82:50.090] 有买车，你什么都没有保险，没有保险什么都FF谁知不会辛苦叫迈巴赫S4年。
[83:00.010] 没有。
[83:01.260] 这块加强战争有没有？
[83:03.900] 没块钱评价你。
[83:05.620] 但都没有流产了
[83:08.890] 中间的
[83:10.240] 我没给他打。
[83:12.820] 然后刚刚给您看的那个是非洲那头基本上15号
[83:18.650] 老化了。
[83:23.060] 的
[83:44.080] 用
[84:10.850] 怎么着？
[84:11.900] 购物怎么着
[84:14.570] 没法
[84:18.440] 没事我还有什么？
[84:21.340] 又不逛街。
[84:23.070] 这都我们
[84:27.590] 数据
[84:35.190] 重要
[84:36.840] 远
[84:37.840] 坏数据
[84:42.700] 的。
[84:50.600] 的
[84:53.810] 的
[84:55.170] 的
[84:58.680] 数据、
[85:00.600] 数据。
[85:02.600] 好。
[85:05.800] 他动反正
[85:18.430] 的
[85:19.200] 方面，
[85:21.760] 反正
[85:32.230] 同意我也知道。
[85:35.810] 工作
[85:49.970] 的
[85:51.000] 直到现在
[85:54.080] 了。
[85:56.770] 我要的。
[85:58.800] 能有多少钱？
[86:00.090] 就算了。
[86:02.240] 直接把
[86:03.170] 赶快给他
[86:04.070] 的
[86:14.010] 原料。
[86:21.230] 宝马的。
[87:20.970] 不过双打金牌你直接开走。
[87:26.160] 行，那就您一会儿您微信吗？需要带什么东西我告诉你。
[87:38.050] 行，看一下。
[87:40.590] 看看咱们的
[87:45.510] 新鲜的
[87:46.620] 新天店里面没了。
[87:48.960] 点了。
[87:50.000] 不用以后了。
[87:51.540] 以后眼镜
[87:53.130] 我主要活动，
[87:55.630] 别人的
[87:56.830] 还有新装修王占峰，然后说之后确实眼睛了。
[88:02.700] 您觉得自大。
[88:04.650] 没有了，SB就打出来了，因为有Yahoo，银行我OK
[88:08.730] 有没有打？
[88:09.910] 我跟小李魔笔打出来没有得从电脑上面把浏览了一下，
[88:15.630] 强调
[88:16.420] 不行再商量。
[88:23.870] 我们周末日厂家的报告，你加油行了吗？邀约您说一下，这样吧。
[88:31.350] 你这弄完了以后我正常吗？这一点天亮要吗？
[88:37.250] 4。
[88:38.780] 一共10万权限45,000。
[88:42.540] 我给43,000。
[88:43.870] 还有一个情况有点。
[88:46.000] 可以。
[88:47.300] 这个里边还有这个车，有咱们有订单的方式，还有。
[88:50.750] 1000决定单子。
[88:51.980] 咱就提前今天在上面写上。
[88:56.280] 这些比如说。
[88:57.250] 同等型号的。
[88:58.490] 我在库里有新的说有订单的，
[89:01.520] 新的说比如说CS
[89:04.540] 不受影响。
[89:05.930] 不是跟你讲，你说有。
[89:07.400] 有都维修技术工具，书本不一样。
[89:10.760] 也不用签了。
[89:13.150] 所以说这工作倒是应一下，
[89:16.500] 一定在下边标注出来车辆的。
[89:19.370] 况请详情咨询销售。
[89:22.160] 张磊王提到过。
[89:24.570] 现在没有好镜头了，
[89:27.360] 就不再惦念这样行吗？
[89:31.130] 然后后面我。
[89:32.770] 你再说。
[89:33.630] 对。
[89:43.370] 第二个
[89:44.100] 没效果，要想。
[89:46.280] 茶楼。
[90:02.040] 我们检测的方式。
[90:04.560] 不是你这环保。
[90:06.500] 条都没有了，有一天C了。
[90:12.400] 没有吧？
[90:15.710] 反正我记得刚我说咱只有一台ct说明白。
[90:22.570] 就标的车。
[90:27.830] 是吧？
[90:29.410] 副驾的车那是原来有放过一个没带也好。
[90:35.310] 价格也还没卖吗？
[90:37.280] 是工头完了。
[90:39.570] 你不是抽检车辆，
[91:31.820] 所以我那个功能讲完，你看
[91:33.920] 两天来楼上交钱，结果
[91:41.530] 的
[92:23.210] 的
[92:33.890] 门。
[92:35.010] 有参照盖章这一块等会留下了。
[92:40.790] 前面有两姑娘，好好。
[92:45.170] 你可以说。
[92:49.080] 三两两。
[92:50.680] 这样
[92:52.800] 三
[92:54.880] 百
[92:57.790] 三
[93:17.870] 不用
[93:23.720] 我想想
[93:27.530] 过来保险
[93:33.310] 了
[93:40.310] 现在
[93:43.290] 也
[93:46.080] 远远
[93:55.080] 点。
[93:55.800] 走一下，
[94:05.400] 我现在来了。
[94:07.640] 到
[94:09.030] 我联系他。
[94:11.760] 这东西
[94:12.800] 谁知
[94:18.730] 不少了，我要的生活一下。
[94:26.740] 他现在一点的，下周的话就是我们自己操作了。
[94:32.370] 校长同样的
[94:36.120] 然后工商业只要做，我说了我来了，完了打电话过来，
[94:41.150] 现在一块等等，
[94:43.710] 符合他知道晚上
[95:02.890] 走了。
[95:04.020] 来了。
[95:27.920] 他来了太太。
[95:30.230] 的
[95:52.830] 能把我吃掉了。
[95:57.300] 谢谢我的
[95:58.320] 了解。
[95:59.320] 上海到
[96:00.930] 这是我的关注。
[98:52.550] 你记得吗？
[98:54.480] 你打扰你一下。
[98:56.050] 咱们都是
[98:57.920] 前面那个故事看懂了。
[99:02.920] 谢谢吗？
[99:06.040] 电影好看。
[99:10.930] 这个问题皇马
[99:12.970] 说了也了，
[99:15.710] 晚上回来了。
[99:16.950] 好玩了。
[99:21.810] 买宝马。
[99:22.860] 少白头等会儿我也进去。
[99:29.030] 我想买武器，
[99:30.710] 开了
[99:33.170] 多放，
[99:38.670] 把成功将车让给我拍了。
[99:41.930] 还那个了。
[99:43.530] 上来。
[99:47.250] 还扣分就能。
[99:49.570] 还有。
[99:51.680] 揭晓以后再开上空调。
[99:54.640] 明天好像
[99:55.480] 分到了。
[99:59.440] 他没有。
[101:07.950] 到我了。
[101:09.280] 马上。
[101:10.720] 马上了。
[101:17.180] 不了，我把自己解放。
[101:18.800] 开工。
[101:19.990] 北京吗？
[101:21.450] 找。
[101:23.160] 只要把了
[101:25.670] 你若想我后面
[101:27.340] 我应该在广州。
[101:29.490] 你好，我在吴风钱那儿后的话，
[101:33.620] 下面前面不让你不妨叫你了，你再进来好了。
[101:38.210] 我请问一下手机，
[101:41.320] 我跟领导商量，
[101:52.840] 你们为什么要加入呢？
[101:55.650] 对。
[101:58.100] 0元。
[101:59.560] 好的，差不多。
[102:01.250] 完了。
[102:10.280] 你们确定吗？我认为还有。
[102:12.330] 你说是交钱吗？我认为昨天发的票子。
[102:16.150] 你先坐这三天，
[102:18.120] 找不到你。
[102:22.220] 今天专业好好，我这个是013。
[102:25.640] 明白。
[102:26.960] 了有问题，你好，这块你看一下您没问题吧？
[102:33.180] 我留下来。
[102:38.480] 然后你们
[102:40.530] 应该是吧，我不知道他们那怎么排的。
[102:44.420] 反正我来的时候前面有俩应该我看看。
[102:47.440] 有点是吧？
[102:49.310] 这的客户。
[102:50.820] 我不知道吗？
[103:00.450] 然后就在二楼办公室开会，
[103:08.520] 说好了消，你没有教授礼包，怎么还有教授李刚
[103:17.150] 登山了，
[103:21.280] 你快点别换了没事。
[103:23.530] 没有是大小不行吗？
[103:26.680] 别用，江苏刚刚取消了，这名字在这行的。
[103:31.680] 这票学了一点点，对，然后那个啥了？
[103:37.160] 取消张礼貌股票，星星你给我发哪了没有？当你看到信息
[103:43.930] 看看平均你会发现没有，那你干了没过对吗？危险了，我找你看。
[103:50.820] 没有了，
[103:52.850] 你给完后别对了，我还给你等会儿。
[103:56.440] 下一个光线下拍照的。
[104:00.310] 二
[104:10.230] 我没来得及找我们签字。
[104:11.790] 说
[104:15.530] 就这么说。
[104:17.410] 我真的有点
[104:19.890] 哪有这么做的
[104:26.110] 了。
[104:27.240] 好了。
[104:57.520] 像盖章我自个干一下。
[104:59.640] 这样工作量
[105:03.830] 表彰。
[105:06.950] 这个应该先打。
[105:09.190] 两分4点。
[105:12.460] 风。
[105:13.720] 对。
[105:14.960] 这都是
[105:25.400] 那
[105:26.260] 对广告过了6万。
[105:28.940] 千里送号。
[105:30.970] 一张马。
[105:47.440] 这个不用打是吧？
[105:49.440] 货号前面。
[105:54.930] 吗。
[106:12.990] 刘帅。
[106:14.270] 坏。
[106:16.450] 数据
[106:18.250] 数据。
[106:20.960] 签个字。
[106:22.080] 卡你说吧。
[106:24.000] 我签哪个约哪个郭先生吗？
[106:26.100] 第一联的背面分开了，你别
[106:30.760] 来这边。
[106:32.830] 您那笔没有。
[106:35.640] 过程你这是的，我连点都没有。
[106:40.010] 一会你把财务信息表给我，咱换一下，我得要那个条形码。
[106:45.100] 那是我SB打出来，这是毛笔上。
[106:48.390] 对我那有养护礼包的，
[106:52.230] 不知道你哪个你看魔笔的你跟我那个没关系，我那是留档用步枪3G等会你这两不一样，你得给他加CP配置的要么跟对不上。
[107:03.280] 我知道你S你摸B里边你体现不出来，药物里边我来了，所以你得给他I ct的你都得给他，
[107:10.640] 我再打一个I ct的悲哀，
[107:13.860] 这是他打一个里面有光斑就已经批准了，没有一点魔比里头没有里面没有
[107:23.230] 有消息没有。
[107:27.330] 马上了，到时候换，我看他是罗蜜里面他没做不了。
[107:32.150] 反正他们都解决不了问题。
[107:34.750] 你先排一下队，后边有点乱，慢慢忘记。
[107:38.850] 就不行吗？就抽一个装备你也等着。
[107:43.510] 好吧？
[107:46.270] 没有了，我这弄材料。
[107:49.480] 你别跑那么远坐不着，你说的
[107:53.620] 退给你了。
[107:55.300] 你那留了是吧？等等干嘛，我在外边稍等一会儿没事了是吧？行行完了。
[108:02.350] 卖掉了你去那交流了，过来敲门。
[108:06.510] 三。
[108:07.610] 你就去讲。
[108:09.160] 了，我就过去了。
[108:14.020] 对。
[108:17.520] 等会我马上给你打电话。
[108:44.230] 你有可能
[108:45.320] 不能
[108:46.280] 毛笔都走了。
[108:47.950] 今天光是咱们给占。
[108:50.830] 不知道我进没。
[108:52.050] 开会。
[108:56.230] 还没打电话。
[108:59.280] 你要干嘛施工？
[109:00.930] 对三师公找王虎，不要赶紧行。
[109:06.060] 好了不管。
[109:24.310] 给你一份，你把这两份给我留下，
[109:26.700] 还有这边给你留。
[109:28.600] 我觉得您也留了，我不好玩，又把我这给你。
[109:35.050] 你不要那个吗？
[109:37.040] 我电脑打的你们得要是吧？
[109:40.060] 我就得再打个事儿，你就留正确就行了，我就感觉没有了。
[109:45.190] 我刚才刘证券应该是我要电脑打的。
[109:50.460] 暗礁的店。
[109:51.930] 我跟他俩都一样，我就在哪的是那边施工情况什么情况。
[109:56.710] 可以给安排吗？
[109:58.730] 有工业吗？
[110:00.830] 那谁大概是北京。
[110:03.130] 国联刘帅没有什么你现在有关太阳的，
[110:08.170] 然后我把我选择刘春，
[110:12.070] 各位信息量。
[110:14.650] 行
[110:16.120] 了。
[110:17.860] 怎么妈说星期脸，
[110:20.470] 你还不要你啥事我俩带给我，明白吧？
[110:24.160] 我这有那么些什么写什么回来的，
[110:29.000] 这个我没说留的，我不会。
[110:31.220] 知道吗？我不留她们的。
[110:34.420] 我跟他说着急拜拜，我还说赵本山。
[110:36.960] 我给你发过一张，你先看着安排
[110:39.400] 了
[110:40.140] 了。
[110:42.890] 对吧？我知道。
[110:44.890] 知道了周家。
[110:48.910] 周家。
[110:52.270] 这车放这里，下午4点左右注册，周佳下午4点
[110:56.800] 对着下面现在贴着就4个工位重点施工，还有4个东西原则，
[111:01.720] 我只能让他尽量尽快的按摩卡把等到了是吧？到了飞行没干什么来了，来之后又收了一个小时。
[111:11.650] 对。
[111:16.280] 喂Q
[111:22.630] 卡
[111:26.480] 过来。
[111:29.520] 三
[111:32.600] 马。
[111:38.040] 然后
[111:39.680] 好了。
[111:45.830] 这对这钱。
[111:54.780] 没有我的事了。
[111:56.410] 反正你一大票没票来，今天票没开过来吗？
[112:00.650] 我大哥我家里剪子
[112:03.200] 要不行了，
[112:05.840] 给我打电话。
[112:07.640] 不这样了。
[112:09.770] 下面怎么样了？
[112:11.840] 别了吧。
[112:13.400] 简单我知道公司这边到这个是开收据。
[112:17.280] 明天不封。
[112:18.740] 赵亮吗？
[112:21.470] 还好。
[112:22.700] 看看16年互相担待点，那也可能两
[112:27.440] 因为是明显的向上不变的项目我不好，
[112:34.250] 我用来听我说你让你给我
[112:36.840] 不跟你抢了。
[112:39.260] 好。
[112:40.740] 我叫蜂蜜。
[112:42.100] 你来了都过来了，你别调过来，上演了。
[112:46.370] 喊起来就走了。
[112:47.740] 你们跟
[112:59.950] 好。
[113:01.300] 天的的凸显了之前
[113:04.890] 都没有了。
[113:06.550] 协调。
[113:07.480] 您这条什么吃饭粉色的印章。
[113:32.430] 我打电话。
[113:43.040] 的。
[113:46.410] 需要
[113:48.970] 数据。
[113:50.120] 数据
[114:01.160] 吗？
[114:02.360] 可以。
[114:05.600] 数据。
[114:10.120] 数据
[114:11.770] 号
[114:12.670] 的。
[114:29.680] 三。
[114:32.230] 你看我
[114:34.190] 什么印象，为什么得去。
[114:36.040] 或者签名也行，然后也北京容易都可以。
[114:39.350] 就上次咱写垫付也行签，所以你。
[114:42.900] 在这。
[114:46.590] 谁知。
[114:50.330] 行，我就写一个
[114:51.880] 来确保。
[114:53.230] 没事了吧？
[114:54.290] 对，您先忙着，稍等一会一下一会签字，大部分钱了先写这个拿的
[115:01.430] 这个比强多了，你在弄钱来的段子。
[115:06.560] 锻炼少了，
[115:09.070] 还是咋不亮了桥了。
[115:11.070] 你用。
[115:12.150] 条强调我用你再调再进一下，
[115:29.120] 但是逼的过了。
[115:32.690] 就是装饰。
[115:34.390] 过了。
[115:45.900] 没有比这个再的了。
[115:52.970] 其实很多教授的
[115:55.070] 这日子好了。
[115:56.930] 知道。
[115:57.790] 你主要你们都改名片了。
[116:02.240] 就是369。
[116:04.040] 99。
[116:06.090] 全国的酒，我们把这条裤
[116:12.670] 不是你
[116:14.630] 对不对？就烦人，
[116:19.550] 互相
[116:25.340] 我拿清楚了，我打。
[116:32.840] 来，请坐。
[116:37.430] 我拿清了给了清楚。
[116:42.220] 谁受得了，
[116:44.120] 别人都能早就为什么就做不做，我人品不行，不想原因，
[116:48.700] 人品不行，186，
[116:51.850] 完了I
[116:54.490] 你啥？
[116:56.530] 收银台交接清单怎么还交接清单呢？
[117:01.040] 有多少钱？
[117:04.010] 周家可以走了。
[117:06.610] 五行
[117:08.040] 数据、
[117:09.840] 路旁、
[117:14.220] A
[117:20.120] 6
[117:24.560] 149116。
[117:28.750] 我跟我讲完了，这是你的是吧？
[117:33.280] 这个是谁说？
[117:36.110] 谁知
[117:38.360] 主要你们都得对听了。
[117:41.470] 刘您稍停可以了。
[117:44.340] 带着您身边原件法庭这块明天再给他查一下来。
[117:49.090] 通胀连我看书有道里面。
[117:52.470] 对的行了。
[117:57.660] 你在那边给我。
[117:59.270] 但是我这样。
[118:02.480] 我待会拿清楚了。
[118:04.100] 记不清楚还不行吗？
[118:08.390] 放在二。
[118:12.200] 40
[118:17.100] 8月
[118:18.780] 第一。
[118:19.980] 二。
[118:22.290] 还有汽车。
[118:27.810] 第八
[118:29.120] 第一。
[118:31.360] 来了没有了吧，今天0点了。
[118:34.520] 第三，
[118:35.650] 当时我都问他，
[118:37.640] 这车是全时四驱，全职43元。
[118:43.830] 000。
[118:45.140] 五
[118:48.450] 这潜质服务区你填什么月的车。
[118:54.320] 这种车窗前没有候车，候车的发动机有跑车，一般的。
[119:00.110] 后面的抽抽烟。
[119:04.590] 今天下午
[119:07.520] 你先给咱这。
[119:09.180] 能调解吗？
[119:10.400] 量。
[119:11.650] 少不了你身上连接着
[119:14.590] 时间
[119:19.150] 有多少人？
[119:23.960] 安排个人。
[119:25.690] 为民宾馆那有没有口罩的美好？
[119:29.940] 160，对，您好，高兴感激。
[119:35.080] 你把卡里
[119:37.710] 你想每天都约
[119:40.430] 一共没多少人。
[119:41.970] 一般般下周谁知。
[119:46.550] 没问题可以是吧？对。
[119:50.320] 这张卡刷。
[119:52.670] 68,000. 
[119:54.550] 100块钱147号的13533都签完了吗？有。
[120:00.000] 可以。
[120:01.060] 对。
[120:02.370] 到时您到了您之前出发的时候给我打电话，怎么给你带着？
[120:06.440] 我这边好安排时间，等到时你再来再找我。
[120:09.780] 好，现在交钱我知道了，等一下电话。
[120:15.470] 到时候明天给你，今天给您，好带好驾照到时您
[120:20.420] 等等全部没事行。
[120:28.270] 这张谁的卡？
[120:30.010] 你们基本上只能是嫁一个车，因为周六的话我们人会很多，如果您要在工作日的时候，
[120:37.810] 象能理解这个。
[120:41.270] 行，咱礼拜六见好勒。
[120:46.040] 原来得了没了我
[120:48.800] 我都是
[120:49.680] 在这站着。
[120:57.040] 谁知。
[121:01.830] 睡得上100。
[121:07.970] 我说
[121:10.160] 我能走吗？回家吗？
[121:12.730] 回家了。
[121:13.680] 你们休息。
[121:15.850] 这就可以。
[121:19.830] 没什么事就走。
[121:21.970] 不用准备。
[121:24.920] 参加我知道我开始开会。
[121:28.830] 开始忙了吧唧的。
[121:31.400] 都打个电话都是上。
[121:35.260] 的。
[121:37.480] 二。
[121:39.510] 1毛5。
[121:43.970] 你得等我打算。
[121:45.480] 客户我来一个
[121:47.450] 其实我不知道哪个行，你不行。
[121:58.310] 在你太懒了，
[122:00.240] 都没给我一把，你在哪里的牌照？
[122:03.760] 我就做了那也不对，也都被打。
[122:06.310] 打出来是吧？
[122:08.670] 是不是给你不行，这是起码的。
[122:43.710] 你是你的。
[122:45.600] 你身上的给他是吧？
[122:48.610] 这里面过去了，他之前。
[123:08.090] 钱
[123:28.970] 的感觉。
[123:30.200] 还做。
[124:12.240] 最后一次地震。
[124:14.970] 好话对着你。
[124:18.570] 东经80
[124:20.520] 7瓦的。
[124:21.670] 完了不考虑。
[124:36.120] 主要正是大姐在楼上吗？
[125:12.190] 5589。
[125:13.280] 栖登。
[125:55.480] 紧了一下送保险。
[125:58.070] 有你们。
[126:00.570] 不挺好的。
[126:03.730] 太多的活。
[126:05.460] 不是为了钱
[126:08.170] 的。
[126:09.280] 人口。
[126:10.480] 是吧？我觉得不
[126:12.840] 那个人。
[126:13.600] 玩过，我想把这吧。
[126:17.370] 我也能感觉的。
[126:20.010] 大量
[126:21.840] 好的，然后。
[128:03.090] 在您的通讯录。
[128:05.220] 他去拿开始了。
[128:08.790] 都已经创建了，对特别方便。
[128:12.180] 在我就查B比如说对奔池
[128:15.880] 或者查白的绿奔驰都是可以的。
[128:20.490] 没有。
[128:23.170] 这里边
[128:25.570] 您就这样查补的那根池我给您查，
[128:29.100] 您这搜索也行。
[128:31.480] 搜索奔驰。
[128:37.150] 车今天开走吗？
[128:39.050] 这开走，您是在您微信里搜的是吗？
[128:43.620] 李阿在通信录。
[128:45.200] 吃饱了。
[129:42.040] 你拿后面去我这有一个
[129:46.140] 不让你出，那你得等等。
[129:48.520] 你快忙。
[129:50.980] 卖不了了。
[129:53.130] 手术
[129:56.750] 的
[130:01.810] 远。
[130:05.220] 的。
[130:07.140] 花
[130:09.840] 的。
[130:15.480] 二。
[130:28.750] 男火了。
[130:29.750] 因为现在。
[130:32.470] 不是全款没有总统这块吗？
[130:38.270] 还有平安好车。
[130:44.480] 对。
[130:46.300] 还是那样的话。
[130:47.900] 不是那个算是大不了。
[130:50.800] 他还没有分配层面。
[130:59.920] 的
[131:03.480] 的。
[132:38.320] 你跟他们讲
[132:39.310] 的。
[132:55.470] 可以。
[133:08.800] 说托在哪，
[133:11.810] 然后我就送多少单。
[133:19.820] 行好。
[133:28.630] 好了我拿了。
[133:30.150] 好。
[133:36.080] 我要去了保险期间。
[133:38.040] 我在这边
[133:51.400] 开始交三。
[133:53.710] 我保证
[134:11.830] 有条
[134:14.350] 调来的东西。
[134:16.110] 月交几个，我刚交一个。
[134:18.700] 干了没事。
[134:20.150] 跟你一样。
[134:22.150] 看你了，他付出和回报不成正比，成熟就花钱。
[134:27.550] 大概正是钱了吗？
[134:29.800] 倒数3800。
[134:31.550] 七八个多月是吧？
[134:34.450] 稍微交叉车
[134:35.980] 打不早就按55%上开店，你帮我把甩的车都车上了，全都是三个月交了，
[134:41.590] 看到方便给我打电话。
[134:43.000] 在回放。
[134:44.750] 当天不干了，
[134:47.290] 跟着一块下班。
[134:50.430] 差点没电了。
[134:52.690] 一点。
[134:53.600] 对。
[134:54.930] 反正他们要的钱也多了。
[134:57.840] 我这看一下有可能没怎么算。
[135:00.400] 对。
[135:01.240] 是这个了。
[135:02.240] 就算这个了。
[135:03.600] 三个月不挺好吗？
[135:05.160] 我不好，我相信50%这些算是我完成了，
[135:08.440] 我不拿版本对不对？但是我只拿30%，
[135:13.310] 你要超过1000块钱，
[135:17.450] 客户上去交的钱。
[135:21.810] 我一开始以为还正常，百分百给我算。
[135:24.420] 我就别留上了是吧？不是这个东西你还跟他关系，我就要算范围。
[135:29.150] 你可以跟他说，
[135:30.990] 他肯定没还，这都给你撤销就行，不行？
[135:33.760] 肯定是没有签收，前三位也截止了，他们正常你都会偷偷看这个了对吧？
