[00:00.240] 再见。
[39:00.540] 安卓是重新又另开了一个图片，他的商店里边没有
[39:08.840] 我家孩子试试车的话，它要下载也能想人家孩子多大了。
[39:15.900] 23。
[39:16.780] 23。
[39:17.750] 也可以二对。
[39:19.240] 他自己也可以多部，手机都可以同时登陆，但是不要同时操作一个内容就行。
[39:25.210] 比如说你们都要解锁这个车门，很多数据就会有一个冲突，
[39:29.580] 那倒不至于，我说他也可以下载可以，他要用监管面，你这电话过去13414，
[39:37.110] 他叫正好的跟大家在一块的时候多。
[39:39.840] 没问题用，他我跟您说一下这个是什么，这个是您车辆的
[39:45.770] 涉及车辆质保别丢，首先534414这台车4月28号生产，
[39:51.330] 今天7月3号开票，
[39:53.000] 质保的话，
[39:55.040] 三年不计里程数，今天开票开始算，
[39:58.340] 质保期内这车不管开多少公里，这些大件如果出现质量问题相关
[40:03.840] 这些易损件的话，
[40:06.270] 对应有天数公里数的条件限制出了对应条件，前面对应一种将不再是保这个我印一下，
[40:12.910] 一会原件您带走，客服马上会来面访，最后咱们签几个字。
[40:19.870] 稍等我
[40:24.930] 继续安装。
[40:35.190] 打开
[40:40.130] 接受
[40:41.490] 点。
[40:43.410] 然后点最下面。
[40:46.560] 对，在下面通过
[40:52.060] 接受工具。
[40:54.010] 宁波然后点登陆了，你等着。
[41:03.110] 稍等。
[41:03.820] 漂亮的地方吗？
[41:23.960] 第一栏，
[41:25.520] 账号名是加号，86手机号。
[41:28.590] 您填错。
[41:44.350] 只要是您吗？
[41:45.960] 指标是吗？公民？
[41:48.250] 您先给您做面，好下面号您好，对，我是咱们客服再给您做个简单编发。
[41:54.990] 行。
[41:58.570] 好，问一下您手机号吗？
[42:01.280] 08。
[42:02.290] 1802
[42:03.560] 7月3
[42:06.940] 账号名是加号86手机号密码是大A小A12345
[42:14.150] 五，您回去您孩子登陆的话也是这样，大一小一下告诉一下。
[42:19.930] 这个账号名是加上860的手机号3号8。
[42:24.320] 您先听遍爸爸。
[42:29.310] 行您好，做一个什么？行，咱们给您申请小礼物，感谢您在咱们这边购车了，开票是杨志芳这对1301125378。
[42:41.870] 行对，然后购买促销4260。
[42:46.770] 你
[42:47.930] 看看一个在网上这就到我的能力标准的方法没关系，我真的这个观点文化
[42:55.150] 我们现在都
[42:57.830] 谁知
[43:05.700] 都不是非常满意，
[43:08.840] 应该点非常快，明天往神话的普通话就行，把这个画一下，然后三句话。
[43:16.450] 什么电话？
[43:32.440] 他不掉的。
[43:38.800] 了。
[43:41.140] 坏了。
[43:44.210] 对，就那个了。
[43:48.380] 哒人在屋里哪里了？
[43:51.290] 我在这边到底发了
[43:59.360] 不再做，又三年的作业赶紧
[44:02.500] 谋划，就他来找我，我不要参加。
[44:05.450] 杀了。
[44:07.900] 这个就教他坏了，天下概念。
[44:15.380] 当然不会这样做了，我已经刷完了。
[44:18.390] 节目曝光保险人都是乱，我知道了，您简介解决掉我上面，行行没事。
[44:24.680] 您刚才打电话您也可以来一下，您这次来咱们坐车是朋友介绍的，他们吃饭还是手机来打我还得去做了。
[44:32.350] 这块。
[44:33.370] 不用吃饭了第一次，然后我一把现在
[44:37.080] 用户来电就行了，然后平时用车水平人或者是1万公里的保养都记住，先到酒店吃饭这样，
[44:42.750] 然后确实有什么爱好，你可以展销谁知，然后自驾看看电影那些经常会有效果，软件，谁知
[44:54.050] 要是愿意吃对咱们宣城旅游，然后我觉得说是你的自行车吗？
[45:01.390] 您是什么行业的呢？
[45:04.700] 自由，只有只要这个市场就可以高兴，行没事，然后咱们也组微信号，您可以方便搞一下。
[45:12.350] 比如说可以针对下岗骗子购买的，
[45:15.060] 多年双方的
[45:16.660] 还有一个小小的全世界的
[45:20.450] 那么可能这就是做这个动作，咱们公众号咱们这个平台这里边挥发油桥洞，
[45:27.030] 我会先考虑这个，
[45:28.960] 难免都会有，我就回北方
[45:32.640] 的。
[45:33.470] 二号流汗地下这里边会有，咱们定什么活动，这里边有。
[45:38.090] 这样的不一样点，观众您先关注一个，然后再帮您车上有一个灭火器要练，还有一个
[45:46.770] 燃油添加剂，还有一小店，还有副本。
[45:50.740] 我这说完了，我就把这车给您送车间，先把这给您装完了。
[45:56.530] 点关注点关注就可以了。
[45:59.040] 没事，您这个也可以扫一下这个给您一个电话，今后咱们会给您打一个回访电话，还有说今后你要是比如说今后维修保养的也可以跟我们做预约，然后还挺方便的。
[46:13.950] 右上角点击完成，
[46:15.600] 他就叫把这里边去了，然后就点给我们打电话，行，沟通一下就可以给我们打电话，我不懂的话我帮您联系还是很方便的是吧？
[46:24.370] 谢谢，有形的，签字的话你是签字都是您写的吗？都是签字行，然后您帮我签个字。
[46:32.510] 你是有委托书是吧？
[46:34.990] 你贵姓国庆？
[46:36.680] 估计对。
[46:38.640] 532。
[46:41.720] 咱们还有
[46:45.460] 非常千万，
[46:50.700] 四川2300。
[46:53.680] 可以看看。
[46:55.310] 千的就是这样签字，就本人的对我就当
[47:00.980] 本人签本人昨天然后查一下。
[47:05.000] 阿姨。
[47:06.600] 试试对。
[47:08.860] 行。
[47:12.240] 分包一会带走着伞，一会方不方便，我一会都给你搁车里了。
[47:16.960] 我这还有几个签字。
[47:19.120] 天王这个是的复印件，原件给您带往取走了，你
[47:23.960] 让您看一下，您签一签名就行了，你前进。
[47:27.180] 二层地地层，
[47:29.000] 现在这钱名下又找回来给你看到，骗你签购车的
[47:36.680] 虚肖像。
[47:38.670] 谁的？
[47:39.720] 你这样来讲，成家在这儿签一个，
[47:54.230] 这签一个。
[47:55.760] 说一下这内容您再看一眼，您先签也行，车的外观是整洁，
[48:00.940] 发票和合格证我一会马上都给您，
[48:04.490] 然后保险一会让您取，钥匙两把刚才也试了。
[48:08.760] 功能给您讲完了，可能信息量有点大，消化不了电话给您留了，用车过程中哪有问题打给我了。
[48:15.230] 三包这本
[48:17.150] 榜首坐在车内互联是刚才你的手机客户端，
[48:20.460] 养护礼包是
[48:22.730] 咱们送过两次保养，
[48:25.230] 你先走我就拿这个来，不用拿，这个是厂家给的，回头一出车间号都带出来了，系统里能看到。
[48:31.910] 直接
[48:33.450] 没有备胎，最终D3脚架、肌肉包、原车都是自带的。
[48:38.120] 灭火器车间一会给您做，把你的新车注意事项告知您了，救援想着车上MEN键就行，售后就在厅走到头右转，就是来之前打这电话。
[48:51.510] 在哪？
[48:52.670] 您拿过来了。
[48:54.550] 从这儿出去，你让你徒弟把保险给拿过来，这里头没保险了，保险让你给拿过来。
[49:03.020] 行，我帮你们好，您说。
[49:06.710] 像我手宝他不是在4S店，是必须来4S店，还是所有的4S店都。
[49:13.470] 对他不是有一个EAD吗？对640要过两次是我们这儿，后期您就附近就行了。
[49:21.180] 这句话你这也记，就是我问问万一要是开到别墅，他用不用别墅也可以句话。
[49:27.350] 本人已充分了解以上所有条款，确认无误，本人到确认无误，您抄在横线上后边签名的可以了。
[49:34.800] 还有带吗？
[49:36.190] 我得给客户把手一分出来，
[49:39.670] 想想他们就给了我一个
[49:42.670] 我待会自己办临牌的时候，我拿什么去感召着和尚去。
[49:45.750] 对，我倒是人家都给了这边机械下面。
[49:49.470] 4点就下班了。
[49:50.790] 干嘛下不了？
[49:51.980] 我们那5点
[49:53.690] 半点排斥。
[49:54.700] 出门办点。
[49:55.720] 奥迪，
[49:57.150] 做到头，
[49:58.360] 然后右手边又开始走路了，走路很近，5分钟都用不了。
[50:11.160] 本人已充分了解以上所有条款，确认无误，
[50:17.150] 共有三儿
[50:18.570] 夹子也没有，
[50:23.810] 车一会您不用管。
[50:26.680] 车子从宋庄您办临牌呢，
[50:28.890] 这一天办理快就要下班了，说一下那发票
[50:32.950] 4张发票抵扣报税注册登记，验完车这2张在手里，
[50:38.410] 这张交税收走验车这张备案用，
[50:41.880] 这是4张大票的原件。
[50:49.870] 把书合格证也没拿过。
[50:57.500] 我估计是
[51:11.740] 拿件给我的。
[51:19.590] 现在所有车都没有被开放，
[51:21.960] 还是就这个情况的通报。
[51:25.500] 你这合格证让谁拿的，没有合格证你这
[51:30.990] 合格这儿。
[51:32.640] 我房子真倒霉，啥事吗？没有，保险没有合格证，没有。
[51:37.850] 你等会你给我拿吧。
[51:39.890] 有什么吗？
[51:40.760] 赶紧拿过来就说
[51:42.980] 赶紧去办灵牌去这。
[51:45.830] 应该真没有了。
[51:47.670] 别的都好说，不好办。
[51:50.250] 他拿着保险才能办临牌，临牌就在咱们这个路走到头，上不了项目上面，
[51:56.250] 我们看看你装东西，我们多待会的通行费，
[52:02.260] 一会儿二位
[52:03.950] 您没拿身份证。
[52:05.460] 只能是您办，我告诉您写一下那信息你是吗？
[52:09.900] 你不喜欢兹授权被委托人。
[52:15.310] 这儿写您
[52:17.840] 这儿写车主。
[52:20.720] 您这样写吗？
[52:31.160] 这儿写车主。
[52:34.540] 对，这写不缺都听不到。
[52:37.260] 你那车了。
[52:38.790] 临牌买的你。
[52:43.330] 临牌临时车辆临时牌照，
[52:46.560] 有车辆离职，他要4个字，对这些临牌就行。
[52:51.340] 发票
[52:52.640] 身份证、
[52:55.390] 身份证，
[52:57.000] 两个人的身份证，
[53:01.110] 来给我我给你写，谢谢。
[53:23.860] 这儿签一个
[53:25.690] 车主。
[53:27.040] 先签。
[53:37.320] 您的身份证和车主的身份证一会都要用这张。
[53:41.410] 然后这个里边还差一个保险，
[53:45.470] 你看一个合格证的复印件，
[53:49.910] 不知道。
[53:53.760] 反正不是原件复印件。
[53:56.500] 复印件要原件也要。
[53:58.560] 复印件听我说。
[54:02.280] 这里差一个交强险的复印件，
[54:05.680] 一会你去的话的第一联发票，第一联合格证原件，还有
[54:11.510] 您和车主身份证都要出示给他，彩色的东西他会都给还回去了，这些就说走了，这是备案用到您那签字就走了，这又给你打一折，这里插一个保险，其他就都齐了。
[54:25.270] 大票上的态度。
[54:27.990] 发票他会问您要他那拍个照片就给您了。
[54:31.580] 骗你恰合格证三张合格证文件就齐了。
[54:35.140] 这个是胶合剂交税用的。
[54:37.200] 扫这码
[54:39.340] 交税反正又不了解，不是您这去地税，
[54:45.840] 剩下东西您就不用管了，这些都是您的。
[54:52.360] 这临牌的东西您就拿着先我把这个先给它搁着，将要一会还会回来。
[54:58.160] 趁这工夫您也等会儿车，我先给您送装去，一会好了，我让车间的工人给介绍完了，咱们去取车。
[55:05.270] 这个是我们这售后的同事，让他跟您说一下售后的服务。
[55:09.610] 谢谢您没事电话的时候了，后期用车如果有问题不明白，咱就打电话准备。
[55:16.860] 我就先拿着把车给您送装饰，赶紧给弄完了，我
[55:20.490] 开开了。
[55:21.220] 然后临牌回来之前就都完事了，您就直接临牌，办完了取车就走了。
[55:26.940] 保险不会影响，就是说谁知
[55:31.630] 管理抓点什么东西，
[55:46.250] 传统都这块东西在等着。
