[00:00.700] 2020年7月19号，张国良客户下小陈教授录音。
[34:07.440] 行了，不跟他一样。
[34:09.440] 那个是酸梅汤吗？我问一下。
[34:19.870] 您好，一杯绿茶，红的是酸梅汤吗？
[34:23.990] 包子一
[34:25.200] 可以依样一杯送到这类的，谢谢。
[34:29.000] 感谢。
[34:30.690] 就按着
[34:35.720] 你再说妈哪个东西，
[34:38.190] 像宝马，
[34:39.940] 我还死命往下按，
[34:42.970] 小身材
[34:45.040] 玩一下，
[34:47.930] 慢慢驶入。
[34:53.190] 我也
[34:54.860] 其实不是很难，
[34:57.690] 因为现在这车越来越重了，
[35:03.010] 对。
[35:12.850] 用先生的身份证注册。
[35:16.260] 对。
[35:19.640] 因为
[35:20.800] 这个月
[35:27.440] 夏先生不是军人吧？
[35:29.480] 退役就可以。
[35:33.180] 要军新人就利用军官证，因为居民身份证没有信息，
[35:41.760] 没有印象。
[35:43.340] 身份证是空的，对。
[35:45.660] 您留个您电话，139您说10。
[35:49.280] 好3
[35:50.480] 3268没问题。
[35:52.750] 13910733268，给您的手机马上会发一个6位数字的激活码，收到的话您告诉我
[36:10.840] 800块
[36:12.230] 有
[36:13.440] 起码80663。
[36:15.920] 好勒。
[36:17.010] 您把您的手机APP打开，然后咱们下一个软件。
[36:31.370] 别在微信。
[36:36.340] 不在微信上，
[36:45.140] 好对。
[36:46.960] 后面
[36:47.880] 然后搜索英文MC I
[36:51.830] MI上面有一个梅赛德斯me客户端，
[36:57.080] 特别得劲。
[36:58.660] 客户端对，直接您下载。
[37:03.010] 你让小伙子看一下位置。
[37:05.660] 别弄得又哭了。
[37:08.050] 对，您直接下载就行
[37:10.920] 了。
[37:18.230] 再大一点叔叔，我跟您确认一下您的出生年月，19591103。
[37:23.650] 对。
[37:25.040] 身份证号我再跟您核一下，110108195911034952。
[37:32.350] 好勒。
[37:34.450] 了没有他不在获取。
[37:37.040] 网络的事稍等会儿，网可能相对慢一点。
[37:40.950] 没事。
[37:42.430] 您住哪个区打？
[37:45.490] 稍等。
[37:47.870] 安装就行。
[37:49.840] 下完一会我把车送过去，我把账号密码告诉您。
[37:53.530] 海淀区后边具体门牌您说一下。
[37:56.920] 世纪城远大园几区？
[38:04.160] 44区
[38:06.070] 7号楼。
[38:08.160] 16C好勒。
[38:16.390] 早上的
[38:20.530] 专门
[38:21.260] 直接加牛肉。
[39:03.870] 屋里信号不好，可能
[39:05.520] 你往路边上。
[39:07.210] 等会儿吗？你这有WiFi，WiFi还不如您四季快的特别慢，对。
[39:13.670] 人太多了。
[39:17.620] 又恼了都什么进来了。
[39:20.490] 对，就是网不好这屋里行吗？
[39:22.800] 给你一个。
[39:24.290] 重新进入她这时间已经过期。
[39:34.820] 充电得去哪条线，对，您手里有淘宝或京东吗？
[39:40.440] 您的车辆已成功关联，你对我刚才把车型分配到您账户名下了，一会您下载软件登录就能看见那车了。
[39:49.930] 这下还没下来。
[39:51.850] 所以接下来回家也一下可以。
[39:54.940] 这屋里信号差一点，
[39:59.120] 您没准一会您一会出一会一会不着急，我这弄完您再弄。
[40:03.620] 我地方都给弄完了，
[40:05.600] 下完了以后该怎么登录，账号密码我都告诉您。
[40:20.610] 您这车是6月10号生产的。
[40:25.030] 本年6月4号，当然了。
[40:30.440] 1月6。
[40:31.970] 今天是7月19号，
[41:19.370] 看一下这个数，这个是咱们车辆的三包，这个是自己宁可当至宝的第一
[41:25.630] 依旧是别丢，首先这台车55682
[41:29.210] 6月10号财产开票，咱们今天正式的7月19号，
[41:33.400] 首先这个车的质保期是三年不限里程数，
[41:38.140] 从开票今天开始算，三年内这个车不管你开多少公里，
[41:42.720] 这些大件
[41:44.200] 如果出现质量问题全是管的，
[41:47.390] 后边每一个易损件都有对应参数公里数的条件，限制出了费用条件的话，前面一直念出来是吧？
[41:54.910] 谁知打
[41:58.560] 不着急，那个玩具会给您登陆就行了。
[42:06.820] 556218。
[42:08.910] Bye bye。
[42:23.520] 五
[42:24.720] 五
[42:26.090] 二
[42:27.720] 五
[42:28.870] 五
[42:31.590] 二
[42:32.970] 的。
[42:40.210] 您这车是有送两次保养是吧？
[42:45.160] 你看怎么样？
[42:46.480] 有怎么样保养对吧？
[42:49.630] 我跟您确认一下，因为
[42:55.260] 回头这新车您刚开始一定不能开快，
[42:58.400] 车速别超120，转速别说3000，
[43:01.480] 前1500公里咱们尽量平稳驾驶，超级加速急刹车，
[43:05.680] 出了1500公里就正常用，
[43:07.860] 邮的话北京加油不低于95，我说的那种情况，如果去外地油品不好，或者说您说
[43:14.930] 质量不好，就一层楼这一块，然后增加G就可以
[43:18.980] 保养一年或1万公里做一次，
[43:22.770] 售后的话就在这个地方走到前面头右转，
[43:27.420] 这样有售后的电话，
[43:30.120] 587349已经盖了一张，回头保养的话提前一天预约一下，这样的话来了节省了时间。
[43:41.000] 我这一会完事，这是我们售后。
[43:43.480] 您说一下。
[43:45.030] 售后的服务。
[43:48.470] 就这个玩意。
[43:49.780] 对，打开。
[43:51.890] 登录。
[43:53.880] 你可能还得。
[43:57.060] 没事，这个是对您出去就没事了，这个就能
[44:11.930] 您的手机号码？
[44:18.250] 有没有需要？
[44:27.960] 字母大A字母
[44:30.560] 二
[44:32.450] 1~6。
[44:35.340] 二。
[44:38.230] 这个进去以后一会能看到咱们这台车的照片，数据的话你到明天可以您保存一下就行了。
[44:46.210] 下回4个月之内您再登陆这软件，不需要您在输账上去了，
[44:51.050] 后期出了时间段，
[44:53.720] 您在登录还得重新输入。
[44:56.530] 那就是4个月没见。
[44:59.140] 差不多4个月左右。
[45:02.820] 3月。
[45:04.910] 你看一下。
[45:07.740] 夏天未来，但是您好什么我给你作为要求，马上后面谁知
[45:13.670] 您看您对我们整体交通流程体验分5个小时能
[45:22.850] 车辆不能的外观
[45:29.550] 数据
[45:31.770] 远远
[45:35.460] 不是，他那意思是说您买车我们里外别人不能清洗干净，是这意思。
[45:41.090] 不是说您对这车的外观地感觉，希望您设计的样子。
[45:46.010] 现在下面房子
[45:48.100] 各项实物或者服务承诺兑现情况，谁知
[45:54.080] 都挺好，今后院校亲朋好友推荐电吗？没电。
[45:59.670] 感谢您的认可了，他们电话留的13910733268是您的电话是吗？
[46:05.170] 后续我们店里或者厂家的话，有可能会给您打多少电话，或者外头都记一下我们的回访才能打印打开什么。
[46:12.970] 您本次购车的话是能够朋友介绍之后还是什么进店吗？
[46:18.770] 谁知是您是重构朋友介绍置换还是首次？
[46:26.350] 谁知
[46:27.960] 您现在是退休了吗？
[46:30.600] 还是
[46:31.960] 半天状态了，现在从事什么行业，应该经历的机会经常平时有什么兴趣爱好吗？感兴趣的活动有吗？
[46:40.430] 的我们不是管事，就是说后续我市场部经常和组织的活动有什么分子杯、高尔夫。
[46:49.120] 我高尔夫的话以前有只不过一些比赛什么的，说有的只有什么的，我喜欢音乐，
[46:55.070] 给您写个广泛过去，经常会组织一些活动，大家可以关注一下，我们店里面公众号有时间可以报名参加一下。
[47:02.990] 你们
[47:04.230] 排是在哪？
[47:08.740] 还有什么可以说？
[47:10.800] 然后这个是我们的一份服务中间，
[47:13.900] 就在整个购车过程中的话，没有强制消费，没有工厂销售，您的所有价格都按照您的合同编号916049来执行的。
[47:30.640] 然后您
[47:31.710] 在这签字这才能做。
[47:37.230] 不是还有4个对送的。
[47:40.770] 三号这一定是特别
[47:56.130] 没事让销售员到这里。
[47:58.860] 可能
[48:00.550] 还有观众加我们店里的公众号，
[48:03.320] 这是我们这里的公众号可以反驳一下。
[48:10.050] 行了。
[48:11.440] 行了。
[48:13.150] 好不好了？
[48:15.060] 我估计系统他
[48:18.280] 好看。
[48:20.530] 可以关注一下了。
[48:23.900] 你可以关注服务号。
[48:26.390] 活动里边都含了吗？
[48:29.240] 了。
[48:30.830] 了
[48:36.620] 项目合同。
[48:37.980] 对，你有责任的话，你们都会有通知什么的，你俩你可以说也行。
[48:43.980] 如果咱是想打车你不玩的，谁知
[48:47.460] 所以我们想知道一会我这边没事了，我给您
[48:51.990] 你一会就到车里。
[48:55.340] 谢谢。
[48:57.590] 就这个意思，然后我自己你的事情。
[49:04.390] 等
[49:12.690] 可以到外头去在那边试试看看这个理由，很多人。
[49:18.220] 对。
[49:19.130] 跟你说话，但是这样咱们有什么
[49:22.600] 快简单了解一下，您这边下10万一会看一下，您今天刚刚才可能看到咱们的一个外观的对来
[49:30.230] 这个活动概念它的数据推进上来肯定可以远程的产品的。
[49:35.990] 我是不行的，没听过吗？我阿姨报名回来像那种
[49:42.320] 简单的看看吗？好，通过预算评价，今天来这里看看，没这么想做饭，谁知
[49:50.490] 万好
[49:52.910] 没可以二给用的等等。
[49:59.600] 谁知
[50:01.870] 不是你说半天绕半天，你说值多少钱我要多少钱的。
[50:06.840] 你过去我给您介绍一下配置，然后你再决定要没事，您不是这样说您可以试试，但是有关吗？指导价上优惠多少有？
[50:16.830] 没有下来，厂家这样一会就
[50:19.620] 谁知不像
[50:25.270] 万左右，你手机强调一下，因为这不是你能做到的，昨天这本身你就是一个没问题，
[50:33.070] 您还可以不着急跟着双方，您没有，不过人家打开这事儿，如果怎么开200斤你不会了，这三猫和雨伞一会儿不方便我就把坐车来了。
[50:45.150] 然后还有一个我跟您说一下怎么坐车，
[50:51.190] 瓣膜。
[50:52.310] 你来说到了，你看但是可能的咱们交车之前都会出去，月亮代表，
[50:58.190] 谁知碰上了你把用户
[51:02.160] 包感觉也没办法，
[51:04.210] 很快就了。
[51:07.280] 然后再给你了。
[51:09.960] 我这还有几个签字，
[51:13.960] 第一个就是复印件，
[51:16.610] 三包的地方一样的，爸爸妈妈排队购买车多，
[51:25.000] 你不用。
[51:26.850] 交车单您千万
[51:29.690] 就是说
[51:30.800] 这车你就给你的权限，我的产品一这个是车辆一个交接的，我觉得。
[51:37.960] 首先今天看到那车上会员
[51:41.340] 发票，一个是保险都在多量的，应该不用
[51:45.100] 验完车以后这些原因做一次的。
[51:48.760] 您这车要是200贴了100，然后待会去库里拿着长一点给骗了。
[51:54.650] 取车的时候在一起了，给您讲完了，一会儿应该记我电话。
[52:01.440] 放心，如果我明白了，您就问
[52:04.810] 三包
[52:06.320] 反而手术窗内互联，刚才您下载手机软件，
[52:10.300] 养护礼包送过两次早点，
[52:12.660] 为什么咱们的交车激动，没有为他开车工地？
[52:16.040] 三脚架，6包文科自带的一口气时间用于装就装的。
[52:21.520] 像您那个车里、脚垫、后备箱垫、行车记录仪、护板这都已经装了，咱们
[52:27.600] 安全吗？新车第一事项刚才我告知什么？
[52:31.420] 救援车点。
[52:32.790] 咱们原件
[52:34.240] 保养这车一年1万公里，售后咱们在这里通常课电话完全
[52:40.650] 谁知，
[52:46.470] 后面发现他们什么？
[52:55.400] 条款确认无误，平米超大文件，然后
[52:58.600] 本人的电话
[53:02.920] 行动包括了，谢谢了。
[53:06.680] 产业经济比较慢，我经常给我配置多了，
[53:10.160] 不方便，而且咱们还有什么
[53:13.490] 就是要拓展点的，不能说本人到确认无误，
[53:19.060] 这句话我能去男人朝着呈现上看，不见空白都行。
[53:25.390] 后边您签名字，我去拿着身份证。
[53:29.880] 了解，一张都找了。
[53:33.290] 都需要真的是全部。
[53:40.350] 那就这么说，我给你大概算算多少钱？
[53:47.850] 上课晚上
[53:52.460] 选手
[54:02.390] 号
[54:03.490] 快。
[54:06.320] 还有的，因为问题办好了吗？我跟你说您别着急，现在出去那什么，
[54:13.480] 这个是一会儿把他给你交接完，我给您交接一下，就让后续再说注意这些事项，然后另外你这次薪酬大家都给到一个舞台，
[54:22.730] 要如果全用不用就可以了，我们这边
[54:25.760] 如果置换的话还是有些保险，
[54:29.380] 除了后续时候咱俩开始了，现在直接养肺开放型，偶尔卫生外地的什么下游的。
[54:38.010] 对送。
[54:39.830] 如果没有我们算一下的后会有的，刚才回来评价要
[54:44.600] 看一下，还有活动这几点可以做一个独立事项的探索，因为谁知
[54:51.630] 然后您操作哪一个，为什么，然后回来了不好说没事吧，该持续。
[55:01.530] 如果需要
[55:03.630] 一定要让
[55:07.410] 不他
[55:08.730] 后台的维护。
[55:10.230] 对，我估计今天后台是有的。
[55:12.790] 还没有出现过这种情况。
[55:15.670] 谁知原来的方法
[55:20.560] 他买的，然后
[55:22.230] 稍后等张良下来拿您身份证，我让给您拍个照片。
[55:28.200] 软件明天您自己登录，在家就能看到那车。
[55:33.090] 上海实名没过，他们没照片。
[55:37.440] 后面有没有？
[55:39.670] 对我看了不是您手机网的事。
[55:43.820] 我的手机聊聊好吗？
[55:46.920] 屋里信号对，那就这样。
[55:50.540] 行就行了，你看眼睛咱那保险没有。
[55:56.880] 对。
[55:57.870] 这个地方这一次他们
[56:01.130] 保险我赶头提车，之前我再跟你说，
[56:06.600] 今天先不用了，
[56:07.960] 因为要开车现出了。
[56:10.390] 对完毕，好把东西再听一下，然后给我打一个输入身份证，我给您拍个照片传一下。
[56:18.670] 工作不是。
[56:21.140] 我看看。
[56:22.080] 看看
[56:22.860] 看过产品还有
[56:24.810] 感觉。
[56:26.300] 1103190319
[56:31.020] 打通买了你的保障的，您当时都不我是这么一个
[56:35.330] 重要的。
[56:36.990] 不是咱们
[56:39.520] 咱们这边这种
[56:41.640] 的话需要咱们想点，这个地方都赶快不用就1月
[56:48.900] 身份证让名片拿着拍一个照片。
[56:52.910] 口罩您临时占一下。
[56:56.670] 好，不要动了，对，因为他实名的
[56:59.420] 找人家，谁知可以了，您身份证收好就行了，您是不是要留下吗？
[57:07.340] 不留下你拿走就行了。
[57:09.400] 谁知认证。
[57:17.450] 您明天登一下软件。
[57:19.530] 对，它是现在刚提报应该是。
[57:24.560] 业绩别家的。
[57:28.110] 到时候一会儿大概七八分钟他会再回复您说完成才可以。
[57:33.460] 明天然后您直接登录您的手机软件看就行了。
[57:36.970] 您记我一电话后机动车如果哪不明白了您打给我，对139
[57:45.550] 1098。
[57:49.350] 6961
[57:52.630] 郭晋最近山西简称晋，
[57:59.090] 近
[58:04.490] 我在才
[58:10.090] 然后我这就没什么事了，车我就给您送装饰了，然后您听我们这同事跟您说说售后的服务，后期用车过程中哪有问题打给我。
[58:18.290] 好，感谢二位，好，谢谢。
