[00:00.340] 七夕打仗了叫什么要。
[44:46.980] 电汇其实就跟车了相当于。
[44:50.030] 所以说你靠左边左边的话，这车没微微的倾斜一点，
[44:53.800] 而且前头靠摄像头
[44:55.880] 站出来，
[44:57.070] 上头的上黑的，对毫米波雷达和光学摄像头还有雷达，
[45:02.600] 毫米波雷达
[45:04.020] 回答是看车上都是看要实现。
[45:10.010] 他们雷达识别比较远，跟普通车上他普通车不也代雷达对吧？停车的
[45:15.670] 雷达10也不是，因为是超生的声音，
[45:20.960] 给我带到这里。
[45:22.800] 应该他不会给你引导。
[45:24.990] 他不上车的。
[45:28.150] 因为离得远，
[45:30.000] 他会在离的近的时候，
[45:32.470] 刚才已经跟得很紧了。
[45:48.260] 我上了多少6？
[45:57.150] 现在跑的是54是吧？
[45:58.670] 连前面跑了。
[46:01.090] 对，他们太不了了。
[46:19.120] 刚才辉
[46:20.680] 灰的灰色是意味着它没有识别到车道线，就是车道线不够清晰，
[46:32.440] 这些才是真正解除了您踩刹车的时候，
[46:35.620] 对它才只能接受。
[46:39.410] 他这个液晶屏是竖直放。
[46:41.710] 对，其实这个数值方更符合现代人体的一个使用习惯，你像现在玩手机什么的，
[46:46.940] 咱除了说横着
[46:48.490] 看个电视拿来猜怎么着，其实大多数都是护着的，对，所以更符合人体的一个使用习惯这个东西。
[46:55.530] 地图升级上你跟我说是怎么评论的？
[46:58.500] 地图您尽量还是来店里。
[47:00.900] 咱们免费填吗？不收钱免费领免费，对游人免费。
[47:19.150] 这个地方后视镜和A柱连在一起了，对。
[47:24.230] 他就是这样设计的一个
[47:27.800] 马上实现一般是
[47:29.210] 贷款。
[47:30.000] 是吗？他还故意让您比如说这块你可以看得到红的量，是这表明左侧有车是吧？对。
[47:37.250] 车你主要还是不适应，
[47:40.200] 你知道吗？你刚换着新车肯定能上升到对它有一个熟悉的过程，
[47:48.100] 其实做的感觉怎么样？当然不后悔了，空间怎么样，当然宽了带只小猫在天的都没问题，
[47:58.990] 你像其实是旗帜型后视镜设计，反而是一些超跑什么的才是使用这种后视镜，
[48:05.050] 它其实是为了把这块流出来一个空间，然后给您看一下这块少一个
[48:11.570] 就是事什么能看得清楚一些这种。
[48:17.090] 现在我们俩距离前奏是后座，
[48:21.020] 这个坐着放一小凳子，能不能带一小孩在这座，没有。
[48:27.100] 特别快，其实这个车比较适合加油。
[48:31.990] 或者脚底要是开长途，
[48:36.070] 弄个那个时候把小包朝着随便一扔都可以，是不是？加油。
[48:43.750] 烧不了。
[48:44.610] 其实沃尔沃这个品牌是主打还是价格多一点？
[48:49.350] 多的还是价格，他跟A6还不一样，
[48:52.830] 对吧？还是价格多一点。
[49:03.770] 到汉代
[49:05.650] 下载那种感觉，
[49:07.240] 你说把我导航到哪里是吧？
[49:10.620] 但有的时候它会识别不到您说的位置的事。
[49:15.860] 可能103谁知
[49:20.810] 是这样吗？声音特别小，对，而且还这么跟您说吗？
[49:28.790] 你觉得这个印象效果比你好一点，但他前面问题这说的
[49:34.740] 这个音响效果说实话还好一点，别因为这个影响会。
[49:39.640] 对。
[49:42.170] 这边人还挺多，咱从那边进探讨，对小康那边他肯定对这边
[49:48.190] 今天
[49:56.110] 了，
[49:57.870] 这个药效果挺好的。
[50:00.770] 对这个效果是一样的，旗舰这是最好的，你要买这款比较差一点，那个是还man的曼卡顿的一项，这个是宝华韦健的一项，
[50:11.610] 这个差多少钱成立于1956年？
[50:17.080] 您还对营销比较懂事吗？
[50:23.350] 跟其店跟前可能又差不多。
[50:27.510] 对这个原价是495,900的，不是他那个插在什么地方呢？
[50:32.080] 跟这样的印象有这么一个东西，然后怎么称叫中值影响。
[50:38.380] 对，然后后面窗帘没有吗？
[50:41.300] 不带后把电脑城那边有在哪升起来在您看这。
[50:48.050] 也能，您看后边那两窗户是不是对。
[50:52.640] 上传了主要有风扇吗？
[50:57.160] 威威廉呢？
[50:59.590] 后打一起听起来了。
[51:01.810] 厚道在这豁达。
[51:08.640] 这挺好。
[51:12.650] 你要买它将剥离和价怎么选择呢？
[51:16.350] 你得先叫着，谁知张良再将玻璃等等点击就行。
[51:25.530] 还要看是吗？不要。
[51:30.120] 你要买那管理的就不带章了。
[51:33.040] 没有连。
[51:35.190] 那款好像也有，连8没有。
[51:37.540] 您看了43万。
[51:40.750] 429,000的。
[51:42.670] 不带量。
[51:44.930] 差几万。
[51:46.770] 差几万元，对，你卖又带孙子，他晒怎么办？
[51:53.620] 这都得贴膜了，有点甜都要涂膜的膜上应该没什么。
[51:58.790] 观摩应该就没有了。
[52:02.570] 因为他到了景非有些功能也没什么大事，油价对其实比它贵挺多的，对还高贵的。
[52:11.090] 15万美元。
[52:12.910] 5万得多。
[52:14.920] 小麦那边43万左右，42万多。
[52:20.090] 30
[52:21.420] 就达到三十七八也得6万块钱。
[52:30.800] 来自于MVB车一般的差，它给我们的全能的音乐能量，这里是FM974北京音乐广播，你们品牌的车都有自己的停车位是吧？
[52:41.550] 对，今天我们可以说用各种您看什么车了，然后就停在哪，
[52:46.520] 很多时候我们会在很多的短信平台去搜索一些个集中4S店的集中点，对，其实这块我们是一个集团的，
[52:54.870] 在那边奥迪、奔驰，然后保时捷都属于百得利，对都属于一般代理。
[53:00.720] 原来你装给拆了，对拆了还挺难的，咱们没有了，能停9033停在后边。
[53:09.070] 0903在后头，他们要去试驾，他们是这样。
[53:13.200] 反正环境
[53:19.790] 被打了。
[53:21.400] 行。
[53:24.040] 我现在能笑吗？楼下消耗了走，有地方睡。
[53:28.720] 一个有一次家门口的车了，
[53:31.110] 然后实施一家三口来干嘛？
[53:33.410] 要不然
[53:34.890] 谁知
[53:37.080] 你先试驾吗？
[53:44.130] 这种休息还。
[53:45.920] 哪儿都好玩。
[53:47.990] 还有多少没？
[53:50.780] 后面分数
[53:54.110] 最起码差那么大。
[53:56.260] 对了，毛龙的一点问题都没有，你们
[54:04.930] 都了吗？行行。
[54:09.010] 先看看。
[54:10.650] 您看看那块没有。
[54:14.050] 我记得我给您看一下没什么太大必要。
[54:18.160] 您好。
[54:19.560] 您好，之前对60。
[54:24.640] 对我们还是看到60，然后可能对这一两个月我们就买了，行，现在主要今天一个是来试驾，
[54:32.710] 再一个就是看一下20款当时一款到底有啥区别差别是吧？
[54:37.830] 对您先帮我登记一下。
[54:39.660] 您量一下，先等一下我们前台让他给你办一个是假手续，然后我刚才找他，他跟我说让我找你，我跟他说。
[54:46.530] 然后小霞
[54:48.410] 帮我登记一个事假，然后我得一块带进去，你先看一下车，然后我一会带您去好吧？
[55:07.790] 有我知道了有吧？我记得应该是点号码，我也没记错了，质疑没有对dk那块是没有对了，你们为什么连都消毒是吗？每天？
[55:18.650] 我们都有，这肯定有，您放心，王局长的真皮包裹，姚凤要是对钥匙是真皮包起来，这其实没什么，
[55:30.870] 这两我怎么觉得，
[55:33.340] 除了
[55:34.270] 音响，
[55:39.590] 怎么就只做了个遮阳帘，还是打
[55:43.080] 专业级导航？
[55:45.700] 就志远。
[55:46.920] 而且对致远比质疑点有导航0
[55:53.470] 还
[57:40.870] 一下对象。
[57:46.920] 指导价是多少，人家402,900，
[57:50.480] 便宜3万。
[57:52.590] 对。
[57:53.460] 然后你优惠优惠不一样，又不是
[57:58.900] 优惠是107,000。
[58:00.810] 4000差3000块钱对。
[58:07.200] 一下子把我的懂车帝搬出来，
[58:14.350] 他的朋友还不能买。
[58:16.700] 贝贝的是吧？
[58:20.140] 您旧车开过来了吗？今天是上次给您评估了没哭吧？
[58:26.530] 不过没有参与03年就吃03年的了。
[58:32.800] 可能真没什么没有能正常过户就行，正常过户咱就能享受这12,000。
[58:39.720] 销售报废一半，报废1万加上置换12,000，
[58:43.810] 你这是置换1万，这院士给你厂家的不对。
[58:49.700] 您03年是国三的吗？三是国三不是国二升国三。
[58:55.320] 不二生活的。
[58:56.680] 花生活上有补贴吗？
[58:59.150] 您这边有吗？有就行了，从他们用车架号查环保的。
[59:06.330] 如果我要没有你这12,000是也没有。
[59:10.320] 我这有。
[59:11.550] 我不怕你那1万没有。
[59:13.200] 你这12,000是指要是置换的，你跟指标有
[59:19.120] 区别的指标就没有一般对吧？为什么只患有这儿？这厂家就这么要求了，不是说我给您的那12,000加上
[59:26.450] 厂家对就这么要求了
[59:37.460] 的。
[59:38.810] 这一指导价42改天。
[59:41.420] 对。
[59:45.600] 好吧。
[60:09.670] 43万，
[60:11.580] 我们那叫志什么？质疑对吧？
[60:16.240] 还有质疑上都是叫什么？远远
[60:23.060] 您是他的。
[60:24.300] 俩一样的。
[60:28.500] 的
[60:33.020] 的
[60:57.630] 然后这是这个车买下来是327,000元，
[61:00.990] 之一这个版本就低配那个。
[61:05.450] 低配。
[61:07.720] 配。
[61:09.400] 这是低配，对这是津贴这一块。
[61:13.150] 对您送需要给我不要的吗？
[61:17.550] 质疑是多少？对。
[61:19.840] 327,900车卖下来。
[61:21.680] 裸车是这些优势时07，然后12,000的一个政策补贴，购车上是8万多，
[61:27.100] 然后购置税大概是这些，保险的IP这些验车是3000，保险我们家没有什么险种要求您具体上多少是多少呢，
[61:36.180] 然后验车3000这个是都有的，是必须的，我跟你上次说我自己去都不行，
[61:43.830] 他分了你过去。
[61:45.460] 对，然后就一半吗一半首付，一个月是还6000块钱。
[61:50.940] 我全款。
[61:54.290] 好。
[61:55.510] 成本也跟着价格差不多，还是手续费跟优惠的一个手续费是报废的收费。
[62:02.040] 保费贷款的手续费如果是全款就
[62:07.000] 谁知
[62:09.360] 不是我把你钱家那是带您这么着，因为他贷款不是有这么一个手续费吗？我去给您申请就少收一点，或者说
[62:18.480] 免可能免不了，因为他有这么一项，然后我去给您如果您能定我去给您少收一点，然后让您合适一下，因为我全款就应该没有这项，
[62:28.350] 但是他是全款怎么样？全款这块优惠不到那么多，你知道吗？
[62:33.400] 反正背着抱着就算，如果地价算就给你，
[62:38.100] 那就是你手收总量就可以给我下来了，对这块能少收一部分，然后这块U
[62:44.070] 一定有优惠优惠，就相当于这个就少了吗这钱对吧？没有就不需要次算了。
[62:51.240] 资源应该差1000块钱，我记得支援是36。
[62:54.960] 我给你们写一下，我一下写一下。
[62:59.800] 这是439,000左右。
[63:02.310] 6月11
[63:13.120] 08
[63:15.280] 资源道路交通识别是标配，这个质疑没有，
[63:23.170] 并到山顶下电子巡航自适应巡航这东西都是一样的。
[63:27.750] 然后他便I这个也没有，这都一样，
[63:32.530] 可开启健康标配标配。
[63:36.710] 我总现在觉得质疑比较合适。
[63:39.750] 性价比也要高，对是吧？
[63:43.530] 行车电脑彩色产业
[63:46.620] 这都一样，
[63:49.470] 主驾得有个推脱。
[63:52.580] 对主驾副驾
[63:54.130] 资源有个委托，对。
[63:58.760] 副驾都一样。
[64:00.340] 对，附加有很多。
[64:03.170] 刚才这个没注意，听说这应该有最多的，刚才我们试驾有，那顶配肯定有，但是低配没有。
[64:12.660] 他低配的差了，
[64:14.350] 这主要是一个音响，还有
[64:18.270] GPS导航，有A
[64:21.250] 而不是职员，
[64:23.270] 这个还是调配一定有导航，GPS早上起早了，
[64:27.480] 现在不都用手机。
[64:29.410] 千
[64:32.620] 37,000 27，这是中间价是多少？
[64:36.580] 车价差多少钱？
[64:37.610] 差价三317,900 282339，车指导价指导价差多少，出场价差3万多。
[64:45.210] 基本上就跟吵架一样放心，你这也是37,000，只是都一样的，
[64:51.690] 就差三个一样，优惠不一样，我跟你说为什么不一样，优惠力度小，优惠力度大，但是购置税高，
[64:58.990] 浪费这款购置税高，
[65:01.800] 然后分期手续费多了300块钱，因为你贷款贷现在是高配优惠力度更大。
[65:07.280] 对高配那款优惠11万，低配这款优惠10万，不是你目前就是这样期间这种
[65:13.010] 一个低配一个高配不。
[65:15.870] 他不知道。
[65:17.030] 反正现在觉得这两款比较合适，可以让我们这两块哪个更合适一些，这是高配还是中的？
[65:23.790] 这是高配的药挚友的最低的叫质疑，对不对？这低的还有祭祀。
[65:30.210] 对，就是低功率版你又买好点的，你除非买就差多少3万多块钱。
[65:36.150] 上期。
[65:37.000] 37,000实际上就多了什么了？
[65:39.370] 音箱、遮阳帘、遮阳凉棚，
[65:42.650] 独立空调，你不说那只行联都有吗？
[65:50.130] 独立空调，
[65:52.390] 然后
[65:55.270] GPS，
[65:56.970] 导航路况信息
[66:00.140] 推脱，
[66:01.180] 委托
[66:02.360] 导航说是不是不安全，要到那种地方它的吗？
[66:09.340] GPS、导航系统和导航路况这是差别的，这是什么意思？
[66:14.860] 导航路况信息展示，
[66:17.110] 那块模块有问号，不是特准，
[66:21.780] 联网所以没有那么准。
[66:28.160] 其他就没啥区别，基本上都是差这些，您就觉得30,700都有，对不对？
[66:33.320] 对37,000买买张连买个导航值不？
[66:38.850] 还有皮革包裹中控台，
[66:41.120] 什么真皮包起来的中控台，
[66:44.390] 太阳底下晒也都不中控台是争气缝起来的，中控台是什么？
[66:50.930] 搬走看不清。
[67:02.080] 这个下来是36，
[67:05.750] 落地能开走36万多，你把我的一万几你尽量
[67:11.030] 什么意外没有您的疑问，就是您自己去申请的，对您自个去战场拿着这种申请，然后再减1万。
[67:19.980] 35万，就是说那就买，然后这个是31万。
[67:25.550] 这是31万，真的你何必你就这个问题你3万多你还有高配的吗？
[67:34.130] 说了这么几样，就是说目前这两款
[67:37.200] 导航说这是31,000就这几样，3万多块钱买这几家，
[67:42.780] 真的没有什么大
[67:46.050] 装饰上回说
[67:50.060] 行车记录仪。
[67:51.710] 要是
[67:53.060] 就稍等。
[67:54.490] 对，行车记录仪，然后倒带后备箱键，
[67:57.830] 然后我给您
[68:00.610] 我跟他那天说的，
[68:02.870] 就把主要的记住了，发动机护板麻烦。
[68:07.370] 对没有。
[68:08.590] 还有我跟您说的吗？套餐这是然后对您看您倾向于
[68:18.710] 送的是哪个是
[68:21.560] 的。
[68:24.650] 胃部膜就是8800的，对送不了。
[68:28.160] 8800要自己出钱的，送不了，然后如果您听下来这个的话，我可以让他去给您便宜，
[68:34.070] 便宜一些，我哪怕说我就拿个成本价，但这个送不了，因为微库那个模式我们也需要发现清楚，如果我出去干这事儿，
[68:42.130] 就出去贴微博模式吗？包括这些所有可以没问题，8800不在你这做，可以没有任何问题。
[68:50.340] 是对，但是建议您在4S店其实怎么说，您知道如果万一说
[68:55.640] 行车记录仪，就是说现在这个也万一说有点什么问题，您知道他去哪找，谁知什么牌子的隐藏式的，它是一维的，
[69:03.710] 一尾的隐藏式行车记录仪，然后用360行不行？
[69:06.680] 指定360这个不太建议您装，为什么？是因为你不是专配沃尔沃厂家来的，
[69:13.350] 然后的话它有可能会动线路，所以不太建议您装，让万一动了线路的话就没有质保了。
[69:20.680] 韩志保我们的就是整圈是吧？
[69:36.850] 对。
[69:52.000] 10分
[69:59.170] 9分。
[70:05.300] 1958
[70:08.870] 联系过。
[70:16.330] 挺不错。
[70:24.750] 好的。
[70:29.270] 你们有没有学过？有在家一切
[70:36.020] 3点开始回访，
[70:39.140] 好比梨是吧？
[70:41.210] 还不是你们家。
[70:43.220] 不是我们要的，你一到店里之后，刚才回访了我们没有，您刚才说4个问题，
[70:51.700] 第一问题有没有主动要求自驾，第二天有没有再打电话，专业你们怎么样饲料？
[70:58.690] 我们一般您比如说你买了车以后，对客户对销售一个满意度的调查，对有这种的
[71:06.410] 他去算变得有出来，然后其实您外面贴一个微博的膜也得
[71:11.910] 五六千块钱，因为纽威固的跟别的那些品牌还不一样，对，然后我们的行车记录仪是不动您的任何线路的。
[71:19.900] 然后是旅游线路吗？对他有一个预留口，但是你360那个是不一样的，沃尔沃没有360的一个预留口，360的预留口你知道吧？
[71:29.390] 它装上去现在就撞上，你能拿下来吗？
[71:32.810] 它是一个隐藏式的在。
[71:35.340] 是。
[71:36.080] 他大红盒子这个地方看到吗？在那底下这么卡。
[71:39.230] 对，然后现在是
[71:45.130] 他没办法在那咱们那边楼里是。
[71:48.310] 对，她是白的。
[71:51.530] 我们楼上的里面新买的。
[71:54.920] 因为咱家有一个SUV就没必要，这咱俩现在
[72:00.280] 有个Q5
[72:03.550] 您倾向于你觉得哪个点儿了？
[72:06.990] 要不然您商量一下230不用可以吗？真的不要重点。
[72:13.010] 你口罩也戴，老莫你说。
[72:18.500] 那车我真不喜欢。
[72:21.600] 车站完了黑的呢，
[72:24.270] 不在乎什么，在别人看完我写的不是，我原来我不知道咱俩的共同的都是行。
[72:32.060] 浅颜色的。
[72:33.620] 你为什么现在中医药喜欢
[72:37.300] 抓
[72:40.640] 的
[72:44.350] 不用
[72:48.090] 还
[73:06.450] 的
[73:12.930] 七
[73:14.680] 场
[73:16.750] 数据
[73:20.870] 坏数据。
[73:22.560] 数据。
[73:59.710] 数据
[74:04.950] 场、
[74:06.280] 数据
[74:09.280] 远。
[74:11.160] 的
[74:18.040] 的。
[75:22.280] 对，比较麻烦。
[75:25.010] 暑假
[75:28.840] 还有一个方法，
[75:30.550] 你不开你不用过去了。
[75:35.380] 你怎么知道我不看，我每天高兴了就开了。
[75:40.200] 平常见不开，
[75:42.440] 你如果着急的事，
[75:44.610] 可是现在对坐在旁边是吗？
[75:49.870] 这张拿证的时候有远远就。
[75:55.900] 这个是水晶白珍珠漆。
[76:00.150] 而且你看还有亮光是吧？那种有点像什么珍珠的那种感。
[76:07.470] 谁知
[76:08.780] 我那客户了，然后他买了
[76:11.960] 工作晚上都下班了，然后上我说我这方面不管，除了
[76:18.950] 对超级电视就便宜2000块钱，等于相当于赔2000块钱。
[76:25.510] 享乐可以2000块钱，小米的
[76:28.120] 黑白都可以体现出来。
[76:30.850] 没有，现在都没现车都得给您定的，很快的。
[76:35.180] 很快就完了。
[76:35.980] 白了就是说这一台，然后这是质疑的，现在我整个的意志。
[76:43.970] 那。
[76:44.980] 好。
[76:46.750] 这块。
[76:47.940] 但是颜色
[76:49.640] 颜色都一样，外观这位硬件软件配置一样，硬件的对吧？
[77:00.260] 真的上火。
[77:02.430] 我
[77:04.930] 这样效果好点，刚才那个挺好的。
[77:09.240] 刚才姑娘跟你说了，不喜欢自己这声音，你就买治疗，也没有那种就这样
[77:15.430] 更贵一点，全买下来他不得43万左右，比这个贵小10万块钱的东西对吧？
[77:22.520] 反正这个肯定就让人定，反正我这月估计没问题，然后黑的真的不好，还有点时间。
[77:29.940] 七八月7月8月，刚才这个时候3月9月份他要验车要那什么，
[77:35.610] 等不到9月份您放心，一块的话可能说月中然后就到了慢的话可能20来号定，你省得弄得那么紧张吗？
[77:43.650] 你知道中间吗？
[77:45.550] 而且过段时间有可能别的或者在正确性会更大，真不是真是容易涨价，一个就像我刚刚您说的涨价也得9月份以后11条。
[77:56.390] 你问题你的车等不到那个吗？
[77:59.870] 反正你要是觉得这车您看好了，其实没必要说等这么长时间可以等到0点睡到晚一点。
[78:05.120] 反正如果说您真心您要是说看好这车就是颜色什么
[78:10.580] 黑的黑边什么，他说我的黑色
[78:15.850] 买黑的，你别我不同意，我不喜欢黑，
[78:19.920] 一是爱脏，第二步就从心里就是商务知道吗？其实倒不是咱就是大理
[78:26.960] 的，他不是你
[78:29.600] 每个人你看外头看着黑的，
[78:32.150] 不是这类黑的。
[78:37.080] 如果车小汽车不汽车说是我拍的，我看着说是显大。
[78:41.980] 到
[78:43.580] C圈，
[78:44.820] 而且人从安全的程度来说，人家不是研究过研究过，对，而且如果说白道和带少了，他就研究
[78:52.790] 就是说黑的给人一种视觉，特别不没规避，你问下高强你跟他分享。
[78:59.630] 因为它黑白，
[79:01.050] 你告诉他说是他买我们
[79:03.930] 你比如说S90，你把这个非常
[79:07.240] 一定咱3口人要不是把你儿媳妇的票加进来，4口人咱吃饭，
[79:13.870] 我这名字你就别给我话，车主这比划。
[79:19.110] 不是咱们看看这白怎么看过吗？
[79:22.210] 黑得更好，在外头您看一眼黑的颜色其实挺好看的，也带那种珠光色。
[79:28.070] 您看一下真的很好，看这个书。
[79:30.670] 真的黑的还是比较好看。
[79:34.120] 对，的确是这种小车的话白色的多一些。
[79:38.970] 你看一下不管吗？不是搞那个活动千发票，
[79:43.470] 你们几个条件咱们都可以这么多可聊。
[79:46.880] 前台所有手术没有看你这个还没到
[79:50.790] 的，这都不错，对。
[79:53.280] 房子带走了，
[79:54.700] 完了以后不要再弄。
[79:57.430] 发给他的。
[79:59.110] 那个叫什么奖励，
[80:04.580] 你名叫什么宣传什么全面跟进挣钱我
[80:11.270] 后面谁知
[80:14.550] 也可以那不好。
[80:19.050] 要不会让你作为自主
[80:22.400] 什么，反正以后奥迪也得换，不是得换别的，
[80:29.780] 但是
[80:31.160] 真的从心里因为他太太脏了，钓鱼屿点就特明显，知道吗？
[80:38.960] 这不是我没有我就
[80:42.560] 肯乐家里还有一个奥迪，他还要的
[80:46.350] 换符合什么，
[80:48.930] 但是跟这车还是比较有感情的。
[80:54.070] 你别弄。
[80:57.440] 还有
[80:59.650] 你们没有银灰我没有你想象那种大型的。
[81:05.100] 轿车的话。
[81:06.420] 白的都少了，买了1块6有件白的，真的从心里不行吗？可以现在。
[81:12.570] 你没见过白A料吗？
[81:15.570] 现在你上述因你这太
[81:18.180] 黑色有A.I.白的，
[81:21.460] 奥迪为什么刚开始他没有深度，黑白的色调是黑的，
[81:31.910] 的。
[81:33.030] 没有金色的，
[81:36.980] 你说没有少林寺，
[81:39.920] 这个之前有来着，后来说实话没什么。
[81:45.910] 就像您看晓得S6的还是60，
[81:51.500] S6的车厢，金色什么的都挺多的，
[81:54.900] 对他那种大型的教训的的确确有过，还是黑的多一些，产业更稳重，但是比较常见，全身都了，但是黑的就是咖色的那种特质。
[82:06.560] 对，基本都是那种对好看，而且主要是你们咖色很正。
[82:13.000] 他不发红，我一说你就懂。
[82:16.810] 咖色有一种买，包括你买包，
[82:20.900] 他颜色不正，对这。
[82:23.360] 我这和那是两码事，我就这颜色看看我这是浅米色的那种。
[82:30.930] 我这是前旅客。
[82:34.410] 立花他这个是纯皮印花知道是吗？你好多年了是吧？被了看着局长的。
[82:40.930] 没有，它这个颜色我该打油我就没打那个是吗？
[82:49.740] 他这个浅色就容易出现这种。
[82:53.230] 稍微磨一点那什么。
[82:55.560] 下面。
[82:56.690] 要做很多。
[82:57.800] 我问他们你进去我那意思就定了。
[83:02.240] 你不说要买那黑吗？
[83:04.490] 去年才到这。
[83:06.260] 你要买的话，
[83:08.380] 如果那啥也表达不了，他就开车直接过去还是多少。
[83:13.650] 然后价格的话目前是这样的，政府来说
[83:16.810] 到这块优惠多的时候。
[83:18.540] 就等于说这些更多的时候能不能这个价格真的是在持续追求，您想您
[83:24.230] 能让您上周的时候了放下就行了，明白。
[83:27.320] 现在。
[83:28.590] 这个也不说我给您收假了，这不是涨价，不是说你给我。
[83:38.130] 昨天您觉得合不合适吗？要不要合适什么了？我觉得这两款里头
[83:45.140] 你挑的这些款里头一共类似这种老师，据说他来一下，
[83:50.450] 还有个对公您就这两个方面考虑。
[83:53.260] 去比较合适是吧？这其实最合适的就是最低配的话。
[83:57.000] 有涉及可以，我刚才就把车完全一样的待。
[84:00.600] 您觉得。
[84:02.410] 其实性价比高。
[84:04.120] 这下面也真
[84:06.110] 30多。
[84:07.180] 买那么大个车是吧？还是Volvo。
[84:10.570] 现在是不是？
[84:11.990] 30万？
[84:13.020] 实际就跟差的是音响，还有香后排可以放一个。
[84:19.610] 空调上的。
[84:21.800] 没有的话，我知道那个差距可以忽略。
[84:25.450] 你空调是不是白车空调。
[84:29.110] 是切实来掌握也好，站在
[84:34.040] 踏遍了就可以忽略，唯一就是导航和张良这两个点使用的。
[84:38.910] 江莲你觉着出去玩这个还真是挺管用的，晒。
[84:44.610] 你别看天天天猫有时候也
[84:47.540] 我觉得还不如有什么
[84:51.120] 我那啥这点，
[84:53.250] 回来就要抽奖，然后就找我抽奖，抽到啥时候抽到本周天周六。
[84:59.310] 您充电客车调整
[85:01.680] 5分钟俩人，这玩意我是建议你都不看好的完成。
[85:06.570] 你现在有反应吗？
[85:08.360] 一点的合适的什么的，下你价格这方面您放心，然后保养什么的，肯定我给您说是说不好听点，这颗卖淫20万应该是30万。
[85:17.270] 他卖给50万的话，我的提成都是一样的，所以我老了迈进了，而且刚才是保养可以给我的。
[85:23.660] 他送我得去，您保养是几年几万公里多少钱，一年会员公里放了一次。
[85:29.140] 不是。
[85:31.550] 免费保养是多少？
[85:33.050] 没有免费保养。
[85:34.410] 是宝鸡市30
[85:36.500] 3:00 4:00对吧？
[85:39.040] 就三年。
[85:41.010] 三年质保三年时间长。
[85:43.060] 两个月。
[85:45.690] 对不对？
[85:48.600] 然后没有保养首保也有。
[85:51.740] 首保都忘了，办了一次大概。
[85:54.760] 小宝一次的话，先生用大宝刚刚在2000。
[85:58.250] 然后我这边有车间吗？有在这边，对您正在
[86:04.030] 加到这金融纪律。
[86:07.670] 谢谢香港。
[86:08.950] 小宝究竟，然后我送的话就是说消防又打扰您，不好意思。
[86:14.160] 我得去给您问，如果说您觉得天能定下来颜色什么差不多，我就一些问题，包括整包括
[86:20.550] 保养不分，然后包括分期手续费部分觉得怎么样，这部分肯定不让您吃亏，您放心。
[86:26.600] 然后装饰部分看你怎么教。
[86:29.720] 对，它装饰部分他就装是你本身就是椅子皮都不配，倒不是还有矫健。
[86:36.220] 我说就是说现在要是要黑的花色是吗？对。
[86:40.900] 好，谢谢kaka就可以。
[86:42.860] 加上脚垫，后备箱垫对，然后贴膜
[86:46.490] 贴膜的话看您选哪个魔法，维护的话可能8800的好吧，把好看这来给我优惠点，对优惠。
[86:54.870] 优惠你给她优惠，让他下定决心我那意思明白吗？
[86:58.850] 行明白，用什么到时候要买合适，没准有朋友还能介绍，
[87:05.770] 别指望年轻人，我那一圈都是年轻人，
[87:10.210] 年轻人是年轻人的，您也有现在年轻人好多喜欢沃尔沃的，真的还有你好多同龄的对吧？没准就是
[87:18.430] 赵军是叉C60。
[87:20.890] 对你看他多实在，我知道不是他那叉C60有问题，你别小看你，那不下图没想到了，
[87:30.230] 他们大多就不进去看。
[87:31.990] 然后后期主要就是商量好以后再商量商量，然后价格什么的两件事儿，她不你现在就跟你儿子打电话。
[87:40.250] 行行，差不多就这样了，来讲不好意思了，没事来看咱们这边好了。
[87:45.680] 这一类的说我知道我听我都危险，我电话就跟文静
[87:52.490] 于是就可以了。
[87:54.880] 反正你实际您要是觉得说是看差不多，我就去给你问一下，然后您觉得合适，您就这没有什么好纠结的，这个东西没有什么太多纠结，但是你这边因为有刚才我们这边好多几家了，
[88:08.840] 他肯定就是说不一样，有的就是说优惠各方面它肯定要全面衡量的，理解我就这疫情吗？我就不想来回折腾这个事，
[88:19.540] 也危险下来往外跑，就我们这栋水特别危险，来回，你说你接触面也透过你知道吗？
[88:27.650] 你说不好，昨天是前天神经病到处溜达。
[88:31.890] 没到这就这么样，这个不是。
[88:34.970] 那个是人家给他隔离了，对他。
[88:39.110] 自己把监控给弄坏了，跑出来了知道吗？
[88:44.050] 你知道一半拿来逛逛逛服装店，吃面完以后还逛了一个理发的理发店，
[88:53.300] 你自己定。
[88:54.610] 真的。
[88:55.660] 我看你现在颜色咱定下来，其实这边配了里面车费也得配着，颜色都给你退一步了，你还没完了你
[89:04.330] 我能理解你就说黑的给你打电话，
[89:07.440] 完了以后。
[89:09.320] 出现肉身的到那里，
[89:13.470] 因为本身我们奥迪就是白颜色，就要么。
[89:16.460] 在买黑白的那啥是吧？也有个区别的，
[89:22.400] 差将近400块钱。
[89:24.620] 32万三万七八。
[89:27.270] 370对看到。
[89:29.380] 拍、
[89:30.750] 他肯定有他的其实最贵的这里面最贵的就是音箱，
[89:35.330] 音箱鬼跪在音箱上。
[89:40.990] 因为伤得多。
[89:42.090] 你想想音箱也是一种享受，如果说您弄那滋滋拉拉的。
[89:47.520] 会不会不会你放心，我这是给他这么说，你怎么这么动，对我还是知道不会有那种这种放心。
[89:56.910] 现在
[89:59.140] 现在你也别去别人都在。
