[00:03.170] 7月15号底座客户寄SA260
[41:23.670] 所以他们有时候这店里有什么推销的东西，说他们都跟我们说的是车主，
[41:29.830] 然后有待会我们会有一个服务区交车，来了之后我都给您一下，你
[41:38.650] 您整个的工作不用管了，我后面签完了这都短信都没用了，没错都有，但是咱们
[41:46.740] 送了您两次保养了，咱们车不是一年或者1万公里来做吗？一定按时来做，
[41:53.550] 你别超了或者也别提钱，
[41:56.030] ±1000公里或正负一个月，
[41:59.250] 你好比你开到13,000公里，你说来作用那就送给都用不了了。
[42:05.860] 花了对超时间超里程都不行，
[42:10.180] 提前也不行，完了动画一年或还是这么多公里，我是二手，你赶紧上看哪个先到不是你20的。
[42:17.880] 你可以对。
[42:20.310] 完了焯一下这段话吗？您签个名，要不您直接签名就行。
[42:27.650] 这个是刚才
[42:30.690] 这个是刚才带你展示那些功能这块前不久
[42:35.020] 我说到这看看说一个在这也不让我们也买了，也不是个
[42:41.960] 您稍瘦。
[42:43.120] 日期您不用写，他都是自己都我一起天津给他们点浏览了送去。
[42:48.960] 这张纸我给你解释一下，为首，
[42:51.500] 我还得退外观无损，内饰无损，美容就给你洗车疯了，完了没猜对了。
[42:57.800] 我只想着抱一般文化的，我知道创业的都有您的钱，发票还有合格证，
[43:07.830] 都在这，他就是原件，你说拿去给你办临牌去了。
[43:13.900] 走了一会待会
[43:16.460] 原件先不给您，最后验完车车一起再给您点
[43:21.160] 发票合格证。
[43:23.130] 合格证见完车装出来，他会收走原件。
[43:27.230] 一共200钥匙。
[43:28.800] 待会就给您来给你双脚断去。
[43:31.670] 被客户讲解车辆有三包，保险注册开通，
[43:35.490] 没有备胎，也没有随车工具，
[43:37.810] 钱都在财务交的是8000字，
[43:40.680] 要不然为什么什么不要他说
[43:44.040] 不是一般甩轻的穿没事儿，
[43:47.000] 光靠一般反正淘宝上都在淘宝买，
[43:53.850] 反正就这型号。
[43:57.670] 一个送您车型，谁知
[44:01.060] 机油机滤同时我们去每天都不想没有什么主动费用，没有一样的，
[44:09.360] 一定要保存好的时候，
[44:11.440] 要看一下麻烦了三个月，我们国家也挺贵，这两年该现在多少钱6000就一个，要是能找过你，它里边是有经验的，他得买一个好的气泡，喜欢的今天带的，反正您就是
[44:25.970] 谁用的话就谁拿一把，剩下的就放假一位了，对吧？这两个这方面爸爸变暗了的贝贝。
[44:37.750] 对，所以送给他电池越来越高，
[44:42.280] 电视构建方便也不用不坏的，你开下来他该跑店还跑电等一下。
[44:48.510] 你要记住你稍作就听一下。
[44:52.340] 可惜了我们也做
[44:57.230] 告诉我，
[45:00.020] 这里边的电池对纽扣电池你
[45:06.840] 到时直接换电池就行，而且它一旦没电了，他老早就会提示您了，仪表盘。
[45:14.560] 对。
[45:17.190] 传感器。
[45:18.540] 都是传感器在工作，
[45:21.030] 还是按照
[45:24.840] 晚上花
[45:28.300] 就上升了。
[45:30.520] 然后擦那个药，就是说按照假药茶泡半年，
[45:36.050] 开门就来这开，他以为我撬锁得提前杨老师。
[45:40.930] 水。
[45:43.890] 还是按着
[45:54.320] 新的他就不会那么好弄，基本上您是也用不到机械粮食。
[46:05.040] 用细手的作用，水稻这块的设计还特别
[46:10.750] 不怎么能打用着他打开为
[46:15.670] 您放心。
[46:23.980] 一会这边还有一些签字，然后之后我会跟您说后面保养和保修的事，今天就算完事。
[46:30.400] 我没听清楚。
[46:32.700] 然后再去二要是然后手中
[46:35.840] 拜拜。
[46:37.620] 好。
[46:43.150] 不看。
[46:45.300] 还有销售代表，
[46:47.150] 还有一台宝马奥迪，
[46:49.860] 人家这多费劲到这儿来，
[46:52.320] 我们都知道
[46:53.910] 宝马跟奥迪宝马没有什么可比性，宝马还好，奥迪可能没有什么可比性，宝马还不错。
[47:00.930] 我喜欢珍珠白
[47:03.240] 旋转的，但是你们白没有。
[47:05.560] 他说某地的音响效果那种。
[47:07.990] 不是宝马人家那什么慢，但是您要说是单凭就是说各方面来对比，综合来对比的话，您选择奔驰也没有错。
[47:17.070] 真的。
[47:17.910] 他的空间动力、性能、安全系数以及它的内
[47:22.020] 基本上都是没有升级的空间的，
[47:24.880] 空间也可以足够您开，这oc相对来说改版之后您后排空间也挺舒服的，反正我看人家询问让每个人说
[47:34.050] 奥迪
[47:35.630] 没听过，人家得说同意自个感冒，
[47:38.880] 奥迪人家不高兴了，我奔驰
[47:42.480] 应该不会像你想的那样的，咱们家 so
[47:48.320] 说还是说我说人家干嘛就可以了，加长了好吧？
[47:54.260] 中国人还是比较喜欢空间让
[47:57.210] 刚刚您跟宝宝跟前
[47:59.280] 现在加大加长。
[48:03.060] 加大空间还是同意是吗？
[48:05.160] 不可能，您想想如果说过去严重不算我们公司章了，原件是给您的，
[48:12.190] 完了复印件您在空白处签个字，三年不限公里质保，三年之内咱们指南的问题他要没经过同意的话，这个车您都见不到他了，
[48:22.450] 谁都不可能您放心。
[48:25.850] 接下来我去给您做装饰，把能做的装饰给您做了，脚下跟技术没，然后我给你放后备箱里，反正这位是我们售后同事，
[48:34.530] 他给你解读一下这个三包，完了再给您说一下用车的小细节。
[48:39.910] 好的行，谢谢，跟您说一下三包这边使用上有问题你再联系我，没你送我不用不是开车了，灭火剂。
[48:50.360] 你说了说给您了是吧？OK那就有
[48:54.510] 场
[48:55.730] 场
[48:57.800] 数据
[48:58.950] 数据。
[49:00.590] 2007月10号
[49:06.860] 23。
