[00:06.610] 你好。
[54:38.790] 句
[54:39.550] 的
[54:41.670] 的
[54:45.590] 坏
[54:47.270] 这边
[54:52.170] 这边位置。
[54:58.720] 了。
[55:00.610] 刚才撕下的感觉怎么样还行吗？
[55:02.700] 挺好的。
[55:03.880] 我这边给您做了一个报价单，刚才陈控制
[55:07.720] 起来过去
[55:09.930] 我不喝。
[55:13.480] 你放那我的钥匙在我那抽屉里，
[55:17.030] 我老在迈巴赫对面那公园秋里，
[55:23.710] 你到那能看见你土地的要是一看就看出来了。
[55:27.750] 对。
[55:29.600] 楼梯边那个
[55:32.570] 中间那个好吧？
[55:38.200] 行，在报价之前我再次给您宣读一下服务公约，
[55:42.580] 内容是客户为尊，以礼相待，诚信经营、合法得体，明码标价、公开透明，配件渠道信息公示，
[55:48.530] 全部捆绑销售形式消费，就不属于假借一次抽考4008180185服务电话，
[55:53.480] 然后的话咱们采用全国统一的报价单模板做报价是最新版的，车指导价格是499,800，咱们看的是一三百的豪华舒享版，
[56:02.730] 咱们现在优惠的话是7万，优惠完了以后是429,800，
[56:07.650] 车价就公职税是38,035，保险的话全险差不多120左右，验车是2500，这样的话全办下来全款是482,335块钱。
[56:17.710] 分期我也同样给您做了两种金融方案，一种的话就是首付50%分，24期还，每个月的月供连本带息9283，一共两年多还了7800块钱。
[56:28.710] 还有一种方案比较不错在哪？他跟他首付贷款比例都是一样，
[56:34.210] 但是它每个月一共只有445，就是说您不用还本金，只需要还利息就可以了。
[56:39.590] 这样的话它的月供比第一个没有压力，就是说用户非常少，在24期以后统一一次性还清二二十一万四千九。
[56:48.720] 你明白这意思吧？这个阶段的话还是比较不错的。
[56:52.680] 您看这报价这块您还有什么疑问或者问题？
[56:55.190] 刚才咱们看到了这个车的工资价格百%这了吗？是499,800，应该是优惠4月多份开内标的是吧？
[57:03.190] 大比较大，您只要大标还是绿标的？
[57:05.340] 这个有，我现在觉得比较小，盈利比较高，价格一样，我的价格一样，
[57:11.590] 离职拐弯其他都是一样的，目标也是
[57:17.350] 品牌也是博士生微风捎，而且作为柏林支撑它有显示，然后后排地方座椅调节，然后后备电联
[57:26.760] 看龙骨说我看多少不是，您说的是什么？
[57:34.370] 立标的吗？大标的我是事多了，这个就是顶配的多了一个抬头显示，
[57:39.500] 和一个叫然后主动毛巾服务系统，如果是立标的话，多了是一个
[57:45.330] 皮革搓以皮革收集，
[57:47.180] 还有一个前面座椅通风，
[57:48.920] 那两没有。
[57:50.820] 两个风格，两个配置
[57:53.560] 和佳沛的东西不一样。
[57:57.030] 上
[57:58.820] 地方都没有。
[58:00.510] 目标都没有出现的快点，对，他没有主动式盲点辅助，他不是B线盲点就是旁边有车记下来，或者他们有时候因为毕竟都属于危险，他会愿意把我给您提供一些主动安全。
[58:12.700] 还行。
[58:14.500] 香港快大概跟你聊，他对其实这个倒不是最主要的，主要我觉得还是咱们比较喜欢那种外观，
[58:22.050] 这些都是一些我觉得是功能还
[58:27.280] 天天
[58:30.470] 都是柏林知道其他没有变化，我给您介绍什么区别的地方，对。
[58:37.170] 我觉得奔驰跟对其他品牌不一样在哪？主要就是在于它的可以选择，你想要绿标都可以选择议标，想要大小可以很大标准。
[58:45.590] 你像比如说奥迪，奥迪他就只有那种他没法选绿标的，就只有大别山统一的。
[58:51.750] 没有，还有了。
[58:55.360] 下降，谁知近期考虑定下来吗？就是考虑提前订吗下次。
[59:03.080] 我想给他买完了，
[59:15.120] 两种价格，也没有其他银行了。
[59:17.270] 其他的没有了，目前这些，对，因为我们如果您比如说今天订车的话，我们走周末，因为我们这边今天也是有考虑周末的一个怎么说就讲不出一个订单，
[59:29.830] 如果您采用分期付款的话，从价格上还能多给您优惠5000块钱，
[59:33.880] 但是我不确定您因为您说的从大概几想12月份左右，因为这块价格是这样，但是
[59:41.570] 怎么说这块是这款的价格62亿，咱也不知道是一个什么样的政策，有可能价格回调也可能
[59:47.330] 可以低一点，也有可能今天差不多对周期性多少，我爱我的情况下就是我要实话。
[59:53.390] 你置换的话，您打个比方，比方你可能比如说现在咱谈好了，然后你们家里人做多少了，现在能定的话咱们今儿
[60:00.190] 最好就是说当年谈就把当天的价格给您拍定下来，然后我们把您想要的车给您提供了。
[60:05.830] 然后咱们就开始比如说全款，那就是三天之内提水提停车，如果说分期的话能在一周之内自行车就可以了。
[60:12.920] 这个比较简单，没有那么麻烦。
[60:15.480] 现在最主要就是说看您什么时候能定下来，然后咱们就给您把车
[60:22.220] 车型立标达标，然后给您定下来，把价格给定下来，还有置换的价格，
[60:27.240] 往下走流程的手机就行了，很简单，有一个半个月差不多用不了那么长时间，然后又没那么
[60:34.910] 行，我再琢磨琢磨。
[60:36.880] 行，您现在主要就是咱们的购车计划，
[60:40.100] 现在还没有那么快对吧？对，以后黑暗没有明确不知道，因为今天我本来是奔着毛主席来的，我家小我也想这些都看到了三，还看到我的姨妈都老弟不看了，直接过来了吗？是比如说奥迪，特别是那边都用了那么长时间了，还太好了解了另外一种风格。
[60:56.630] 因为我想看宝马，你看宝马他哪个不细也是种武器，都同性武器，我记得是不是新款要出来了，那时候马上出来了，还是没出来没出成功这次出的事。
[61:10.110] 204期的新款的没推出武器的新款，5系好像技术要出一个5米1级的母牛，
[61:16.970] 反正也是一个
[61:18.920] 这两天收到
[61:20.850] 看不到我这边
[61:22.500] 了，行知道了，我几分钟马上过去，我这朋友还没做一次错过，然后稍微要多喝点水消停点。
[61:30.710] 行，今天您还有什么其他方面的需要没有？您这样您方便的话帮我们用手机扫描下方的二维码做一个服务公寓的调研，这块现在对这块要求比较严格。
[61:43.990] 然后咱们刚才留的电话是您的一会我会给您发一个短信过去，有什么需要咱们可以电话联系，
[61:52.060] 好吧，然后打电话，按照店里要求，明天我会给您打一个回访电话，然后一定拜托您
[61:58.330] 接一下，于是我们这边有考核，一般都是联系上午方便还是下午方便下午？
[62:15.870] 远。
[62:18.840] 这个的话觉得舒服。
[62:26.090] 岗位
[62:28.430] 对他们呈现的风格不太一样。
[62:31.900] 您就好好看看，如果有什么需要的话，其实您咱们沟通一下。
[62:45.720] 二
[62:47.850] 的
[62:50.340] 也
[62:54.030] 二
[62:55.190] 行业
[63:03.840] 长。
[63:05.600] 我现在就5个问题应该
[63:10.270] 矛盾点。
[63:11.010] 好了行。
[63:12.510] 行，然后这边有什么需要咱们及时沟通好吧？
[63:17.000] 行了。
[63:18.090] 您给我到邢台咱们两个电子停车券，您这边离开这院吗？
[63:22.360] 就走了咱们对
[63:39.510] 咱们用手机扫描二维码，
[63:41.540] 领一个咱们免费停车券是吗？
[63:46.260] 您刚才说的
[63:47.970] 找三小时。
[63:49.810] 微信扫一走，
[63:51.260] 明天往前走一下，我就
[63:53.780] 这边拿不要了要先登录。
[63:59.870] 今天上午
[64:03.570] 出租车牌号一会中午完叔叔在手机
[64:10.240] 车的旁边也
[64:14.220] 我的车库。
[64:18.560] 你把那个关了不是。
[64:20.960] 是。
[64:22.750] 等什么听着？
[64:26.690] 行
[64:37.320] 直接出去就行了。
[64:38.510] 对你领取就行，对吧？好勒行快点得劲东篱。
[64:43.900] 咱们电话里就行了。
[65:20.160] 另一个一会交车就到了。
[65:22.400] 半小时
[65:25.310] 给
[65:30.490] 领导一个好去
[65:32.390] 都不好意思领了，没有订车都不好意思留言。
[65:35.920] 我跟你申请过了，你说。
[65:39.690] 比如说二的时候，
[65:42.190] 咱也别说说它干嘛，
[65:46.990] 你别说了，你扫兴晚上这样。
[65:51.560] 差不多那边帮我找找我知道，我把这卡节了，
[65:55.480] 手机里面的少，没订单的多了。
[65:59.210] 不知道吧？
[66:00.140] 你爸爸
[66:01.570] 今天赶紧领了，明明白白聊聊，你好。
[66:05.900] 别人不能理你别说
[66:13.760] 来。
[66:43.350] 我就是为了结果卡了，
[66:52.880] 这个怎么办呢？
