[00:00.570] 录音码S90
[54:43.760] 这个的话是50 5 12万，对优惠15 156,000，对。
[54:50.820] 差8000块钱是吧？
[54:52.490] 对，他把钱少优惠8000。
[54:54.120] 四万八十四万八。
[54:57.400] 优惠完了之后减14,000的置换补贴，
[55:00.280] 就52万。
[55:01.440] 这是购置税。
[55:02.790] 保险验车
[55:04.630] 8000，但是是吧也不算什么。
[55:08.800] 你再配其他的贴膜什么的，你觉得
[55:11.840] 你这弄的还差不多。
[55:14.000] 将近6万块钱50 9五。
[55:17.020] 也得再加上18,000。
[55:20.150] 59万这也不给贴膜。
[55:22.640] 有给补贴，但是自己家所有的这些什么东西
[55:28.640] 都是含在你车价的，非着往里边沉。
[55:32.390] 也就是以前
[55:34.070] 以前车价少说车架少优惠，两三千块钱给你出套贴膜，那还不简单，但是
[55:40.790] 所有送到你的。
[55:42.280] 跟你花钱买的膜完全是不一种玩，我刚才跟您说了，咱们这三种天毛。
[55:48.700] 只跟您说了，前两个花钱。
[55:50.820] 矮的，还有一个送的是一位那就
[55:56.380] 无疑样了。
[55:57.140] 东西就不是一个东西了。
[55:59.320] 成本不一样，一位膜异位，
[56:03.540] 没听说过，我没来这之前我也没听说过。
[56:07.800] 还会为什么压着普通话？
[56:11.450] 也是隔着膜。
[56:13.900] 是杂牌子的这种。
[56:16.170] 也配送的。
[56:21.100] 我都看了。
[56:24.460] 没别的福利。
[56:25.990] 目前没有，你赶着周六来还能不能？
[56:29.710] 明天看厂家活动，
[56:32.190] 明天厂家活动，
[56:33.600] 看到活动的话，但是具体政策还不知道，
[56:36.560] 但是肯定会有抽奖，你觉得七八月份的话会不会会好一点，这8月份会不会跑掉？
[56:42.920] 不确定在哪看着疫情，
[56:47.250] 政策是每个月搞一次。
[56:50.430] 都不一样，周末有时候会有特殊政策，
[56:53.410] 政策的话说白了，我们领导销售经理发一本
[56:57.160] 政策我们就立即执行。
[56:59.820] 说说就立马收。
[57:07.180] 因为厂家有把控。
[57:09.310] 这不是说白了，也不是说咱跟店里边说怎么着就怎么着，厂家得。
[57:14.150] 同意才行。
[57:17.890] 看看汉兰达看了两两家店还不一样。
[57:22.170] 给的政策不一样。
[57:24.640] 厂家政策不一样，厂家政策价格都是厂家政策是一样的。
[57:28.010] 车架上都没有误会。
[57:29.730] 这个可能就是再给你装点东西什么的，都给你装了已经装了。
[57:33.820] 死活什么都不撞。
[57:35.890] 反正还是不一样的，那装点得肯定比不装的你就1000块钱，他肯定是合适，是这么回事。
[57:43.460] 还不一样。
[57:45.000] 不过这也不一定
[57:47.190] 怎么说，因为车这东西
[57:50.240] 同样都是车跟车还不一样。
[57:52.740] 这意思您懂吧？
[57:54.710] 时间长一点跟时间短一点就看几月份出的车，你丫的是不是跟几月份，其实三天看几月份生产出来，
[58:03.450] 是看到到店的日期，我们那叫库存深度看春深度。
[58:09.990] 如果说您这车爱到已经到店
[58:14.070] 几个月三个月了。
[58:15.860] 没卖出去。
[58:18.330] 这个车到店之后压着你。
[58:19.640] 资金、
[58:20.820] 然后说白了，
[58:22.770] 怎么考核销售经理压电电怎么考核销售经理应当怎么考虑交集？
[58:27.720] 库存深度是它一个比例，你库存有长裤，长库存的车，
[58:32.080] 有一台扣你多少钱，一台扣你多少钱，
[58:38.800] 可能时间长一点，昨天你一会点这很正常。
[58:45.200] 他不让你厂家可能丰田厂家让不开票价，
[58:51.300] 肯定是天启动不让动，
[58:53.900] 他可能送你点东西，
[58:56.000] 但是在他肯定还是在他们的。
[58:58.280] 正常情况下和办公电全球范围店里面可能。
[59:03.580] 因为你这种长度零的车型到店周期厂家那块。
[59:07.220] 也看得到。
[59:08.850] 每个店的库存深度他们都看到。
[59:10.530] 得到
[59:15.510] 58 59个。
[59:20.010] 头
[59:20.920] 接近9。
[59:32.240] 叫什么？
[59:34.950] 不到。
[59:38.700] 给贷款贷多少？贷20万。
[59:40.920] 在40%，最多贷40的，最多就在40厂家，它贴息的话，因为正常银行你跟银行贷款没有什么演戏的，不可能银行该给你钱，
[59:51.270] 是正常都会有利息的，
[59:53.390] 只不过厂家沃尔沃厂家把这利息给补贴掉了，
[59:57.360] 但它补贴的话他也会核算
[60:00.810] 我这车补贴多少。
[60:02.230] 少。
[60:03.080] 亏的少，
[60:04.320] 还能
[60:06.090] 促进它的现在的
[60:09.070] 说实话之前
[60:12.330] 去年的时候首付一半带一半，两年面前
[60:15.870] 今年变成首付60%，这大概40%肯定是去年一年核算下来。
[60:21.080] 亏亏得有点多，想往回着这
[60:24.890] 少少。
[60:26.150] 少带点。
[60:29.030] 对，还要再往上提10%的首付，这样的话她把她亏损的钱
[60:34.450] 控制在范围内合理的范围内，而且还不是特别因为就差10%还不是特别影响的公交。
[60:40.830] 肯定是
[60:42.360] 有这方面的人核算过来。
[60:45.960] 精算师
[60:47.680] 就干这个。
[60:51.990] 好，那就看看那个车值多少钱，
[60:54.700] 他那个课值多少钱？
[60:57.230] 再衡量怎么办？您9折什么车？
[61:00.420] 越动越早上越重。
[61:06.250] 哪年的？
[61:07.340] 1909 2009年。
[61:09.740] 那年应该。
[61:11.950] 差不多。
[61:18.050] 他还挺man。
[61:20.720] 因为他是。
[61:21.900] 走平台，它把所有的信息查完了之后，上传平台会有专门的人出价，
[61:28.220] 白了人家出了价肯定是这价格能收的。
[61:32.170] 肯定是这价能收。
[61:34.780] 对，肯定是不像很多，如果他自个的。
[61:38.530] 这种
[61:39.280] 先给您报一价格，到时候上车再往下看看，不是那个模式。
[61:44.400] 它的模式不一样，往下看的。
[61:46.810] 很正常，
[61:48.190] 发现花香人家收车的时候不都是这么。
[61:50.750] 第一名第一。
[61:52.280] 口地价看个大概。
[61:55.140] 这车5万块钱。
[61:57.420] 他说你放车的时候。
[61:58.840] 我得仔细查一下，因为今天。
[62:01.230] 只是大概看了看，
[62:02.480] 查你的使用框架有问题，这可能会影响估值。
[62:07.100] 然后你这块。
[62:10.580] 梁头动作。
[62:12.370] 可能差的会比较多。
[62:14.350] 最后一次玩了一。
[62:16.310] 查您这个车。
[62:17.550] 还什么时候说出过什么险，你
[62:20.960] 你查完了，按照综合估算的话，这车的话也就差不多335,000，也就这样。
[62:27.580] 我这35,000就能收，您看看您考虑。
[62:32.010] 不都是这样吗？
[62:33.440] 我认识好多这样的。
[62:36.230] 标准报
[62:39.390] 不卖？
[62:47.150] 因为他们不这么说，他们留不住客户，
[62:50.320] 你不入库。
[62:52.230] 你这么说了，年龄起码还要回来的。
[62:55.130] 可能你得第一口爆的，
[62:57.460] 比别人低你就回不来了。
[63:02.800] 去。
[63:19.680] 押车真是宋旭军。
[63:30.070] 7号。
[63:35.970] 了
[64:10.280] 七。
[64:13.690] 你们考察流水吗？
[64:16.160] 什么流水？
[64:17.550] 每个人卖多少辆车，
[64:19.660] 肯定我们主要是靠车台次才是第一考核任务。
[64:24.080] 误。
[64:25.920] 我们不知道有KPI绩效，KPI绩效的话100分。
[64:30.720] 台词的话就得占40分，订单还得站。
[64:34.920] 首次接待
[64:36.340] 试驾，
[64:37.420] 二次邀约，
[64:39.440] 这都是
[64:40.550] 分期
[64:41.620] 置换。
[64:42.540] 有考核都要考核。
[64:45.300] 其实。
[64:46.550] 需要。
[64:47.750] 行政也有的时候看运气是吧？也许你介绍10个人，可能10个人都是光彩购买的，也都进了仨人，仨人都买。
[64:58.170] 但是你们也是排着谁有时间了就盗谁的谁接排长，每天
[65:03.080] 早上群里面会发销售部分都是。
[65:06.010] 谁不交车之类的，什么时间段？
[65:08.450] 发出来，
[65:09.400] 把你拍照发出来，到时间点你就得现在跟着。
[65:13.560] 为啥？
[65:14.330] 到了到你那个点就在那被赶到了，不到你那点你还不用在那等着，
[65:20.490] 你没事干的话，你可以在前台溜达溜达，但是不会叫上你接受不了。
[65:26.000] 所以
[65:27.410] 别人问都走了，都找不着人了，都在忙活着干嘛去了，还带别人了。
[65:33.740] 但是
[65:34.570] 三瑞是谁？
[65:39.780] 是这样。
[65:43.200] 你们销售。
[65:45.020] 一个10 10多。
[65:47.690] 再加上轮休，
[65:52.940] 每周休息一天，每个星期天
[66:05.480] 五
[66:12.120] 五
[66:14.790] 他听you什么的，这改款估计就是两年医改款。
[66:19.310] 厂家
[66:20.690] 他每天都犯钱款，
[66:22.410] 但是从15年上市到现在基本上都没怎么改过。
[66:26.950] 就没有什么大的变化，
[66:28.410] 他都叫概括了，但是昨天开始到2026款2020这说白了它可能是个营销策略，我一直觉得他是营销策略，每年就敢说说白了说好听点，每天让你。
[66:37.600] I的新款，
[66:39.090] 但其实没有什么大变化。
[66:40.930] 没有什么变化，如果它的最早的版本确实变了，以前刚上的时候，
[66:46.100] T5T6，那会儿没有T5
[66:50.520] 刚上的时候一般15年刚上的时候没有T5都是76，
[66:55.070] 17年初的屁股，
[66:57.320] 但是当初T5之后，每个车型都5分5断根期待班车，
[67:01.910] 每个车型像T6的话，您当时T60亿，这车有5对7%对吧？两个。
[67:09.550] 17年的话
[67:11.630] 1000的话
[67:14.180] 稍微改款，
[67:16.280] 18年的话TTT6车型就没有武断了，多少七八？
[67:24.520] 现在T6也都是吸收是吧？
[67:27.770] 这都是妻子。
[67:30.990] S90还有
[67:32.620] 挂绿牌子，它是新能源的吗？
[67:35.190] 不是，插电混动。
[67:37.220] 滚动的话还能申请绿牌，
[67:39.510] 这是汽油边购买的上的经IF渐变绿的牌照，
[67:44.200] 他跟咱们新AD的新能源牌照是不一样的，
[67:48.250] 经AD是不限行的，F键启动。
[67:52.330] 其实它是按由盘买的是吧？
[67:54.570] 对，但是这种车没有构成肺炎。
[67:58.540] 不用交购置费。
[68:01.700] 交购置税对。
[68:03.460] 是新能源的车不用就是滚动的这种混动，不用交购置税，是免购置税的。
[68:09.160] 谁知
[68:13.440] 说
[68:14.840] 有一个什么尚一网说一类学分。
[68:18.840] 注册进行学习怎么着？
[68:21.350] 社区的。
[68:23.710] 他给我发了个0元，
[68:28.310] 他给我发了一个车0元，我问为啥？
[68:32.320] 没耽搁。
[68:35.590] 你在哪呢？
[68:41.310] 然后看看。
[68:50.610] 谁知。
[68:53.110] 0元。
[68:55.680] 要。
[68:58.070] 没拍是吗？
[68:59.680] 的。
[69:00.780] 没有人出价没人初见。
[69:03.090] 流拍现在
[69:05.820] 不对。
[69:07.050] 一一是咱验车，还有昨天马上到期了，保险我已经拍完了都。
[69:13.210] 保险了，对。
[69:14.860] 验车的话都有免费的验车。
[69:17.360] 买保险都赠送一次验车。
[69:21.390] 最主要它是一个看艳艳还有什么？
[69:25.280] 肯定能验我们这一条车。
[69:27.650] 整个全身都。
[69:29.730] 真的等。
[69:30.950] 他们不知道具体哪个收入也不完全一样。
[69:35.130] 车身走，对，尤其是一台空调，整个车都走起来了。
[69:39.800] 没有走。
[69:42.420] 没感觉有。
[69:46.480] 刚才我开始在边上，你感觉到了
[69:50.170] 整个的人家翻了盘子已经来回
[69:53.950] 哆嗦起来了。
[69:55.750] 我他说这样吗？
[69:58.260] 我说实话，我真的我没有感觉到说他走了，
[70:02.140] 因为我都看了10来年了相当于。
[70:05.650] 反正就是因为这几方面原因加一块时间咱们。
[70:09.420] 后边上确实不想两个人。
[70:11.300] 两边都已经切了。
[70:13.940] 这个东西没给他。
[70:17.110] 没给他。
[70:23.150] 行了。
[70:26.120] 都没人了。
[70:29.520] 他们做报告肯定
[70:31.920] 肯定得做完了。
[70:35.860] 因为假如你不写上这点，人家假如过来一看车。
[70:40.300] 因为他们先打电话。
[70:42.080] 他拿钱过来骑车。
[70:43.910] 骑车的时候还没人家检查出问题的话。
[70:48.080] 所有的这东西全都。
[70:52.350] 那就是导电了，对。
[70:59.750] 怎么办？
[71:02.330] 相当于他这个意思反正就是走补贴了相当于。
[71:06.430] 原来这种不一样。
[71:10.010] 只能是医院的补贴，然后。
[71:14.560] 车就白给你们了，是这意思吗？
[71:19.590] 可以让他们不能再过两天再来个二胎，
[71:23.830] 明天再来个二胎。
[71:25.740] 卖还卖千块钱是
[71:29.660] 在卖外地。
[71:32.750] 首先09年的车你在卖哪儿？
[71:39.130] 国四的车接收的地方比较少，
[71:42.890] 他们说外边就是东三省新疆，
[71:46.430] 所以对
[71:48.000] 新疆青海什么的都可以，对新疆青海可以，但它的受众群体比较少。
[71:55.130] 其实我都晓得，不行的话就找人花钱运到外地去上一个别的地儿的排演了，
[72:01.800] 就用到老家去了。
[72:04.940] 我手里上不了
[72:06.680] 烧饼，我就河北的，
[72:08.270] 上的不保定的
[72:10.720] 我石家庄的
[72:12.650] 组织面临得比我们
[72:14.920] 保定在石家庄跟北京空间搞定什么地方，我定性的在保定跟北京中间。
[72:23.080] 行走听这5的时候经过定型，
[72:32.350] 按照
[72:33.600] 过了学之后，刚才日子还是什么来着，我记得了，
[72:38.030] 并没有什么出的，没有特别做茶，也是半山区还是山区，我们没有山区有山区，
[72:44.720] 全都是1万都是平原，到了一线就有餐厅了，一向来是在西边，
[72:51.960] 现在我们西边
[72:54.060] 现在是这4多了个净并行服务区是吧？
[72:58.100] 因为
[72:59.440] 以前这次大修的时候，我那时候就收手，第五那时候老师
[73:05.230] 第4页第四有的出去那就新增的。
[73:09.090] 因为在这边相当于是不是在保定西边，我们在保定的
[73:14.790] 北面准确来说是上面向左西右东北偏东这个方向它是斜着上来的吗？
[73:21.750] 鞋上来。
[73:23.250] 北边东边东这边靠这边。
[73:27.370] 东。
[73:28.240] 怎么着？
[73:35.360] 贴不上钱。
[73:38.720] 对，你不行回河间，明天的话可能别人看到赶着活动在那上个二拍，
[73:44.230] 看能不能
[73:45.490] 有一件是一件
[73:47.960] 有点是点。
[73:51.620] 加个微信。
[73:52.910] 微信加个微信，你看看到时有什么活动你告诉我，行。
[73:56.900] 你说画画是想画，
[74:00.130] 就看了之后就想换了。
[74:01.650] 了我说您找我。
[74:04.380] 我着急。
[74:05.560] 看完之后就讲话了，
[74:07.640] 虽说不着急，看了之后就觉得心动
[74:12.110] 了。
[74:28.040] 花
[74:41.790] 59。
[74:43.850] 4。
[74:50.090] 数据。
[74:50.810] 二
[74:54.770] 咱们二手车的保值性也不太好吗？
[75:00.340] 二手车的保值看你怎么说，因为你前两年刚买车90的时候，那会儿贵，那会六七十，
[75:07.330] 你现在卖了40多万，你肯定觉得亏的多，因为现在新车便宜。
[75:14.290] 算新车主要是你这车你想想她多少年上，15年刚上的。
[75:20.330] 我15年刚上的时候，你买个标配的就得60多万，
[75:24.470] 买标配的就得60多万，
[75:28.380] 你现在标配的你全办齐了，
[75:31.280] 要是我车就得60 60
[75:33.630] 六十五六，
[75:35.110] 现在全办齐了才58。
[75:37.910] 你这中间差了10多万，你这都是
[75:42.180] 一车主到亏的钱。
[75:49.550] 而且你买越贵的车
[75:51.020] 越多。
[75:54.030] 手机价格高吗？
[75:55.100] 其实按照。
[75:58.330] 按照比例来算的话，他其实看得不准。
[76:02.020] 因为现在二手车的
[76:03.760] 二手车市场这个比例基本上上下幅度都很小，
[76:07.750] 一年一年年的时候。
[76:10.180] 还得多少钱？2000多还这比例基本上差不太多。
[76:14.100] 他就是因为。
[76:15.630] 降价，这两年新车降价。
[76:21.540] 中美贸苑什么时候开始？
[76:23.760] 16年底
[76:25.400] 中午冒一下手头开始的，后来不上台后不久了，它马上就要大选了。
[76:31.190] 16年底的时候，我记得应该是没错，16年底开始中美贸易战就开始厂家为了
[76:38.550] 想要这个政策，然后就开始想
[76:42.690] 相对的降价压力，
[76:44.180] 开始。
[76:45.100] 明白。
[76:46.110] 主要是因为也有可能是因为当时新车
[76:49.290] 比较贵，不要贵校贵，为什么？
[76:52.350] 为了占领这个市场，可能也做出一定的让步来开始降价，
[76:58.520] 将一次一次
[77:00.190] 两个点三个点那就两三块钱了，
[77:04.830] 纲要的时候是没有优惠的。
[77:07.820] 后来。
[77:09.090] 成了一个。
[77:10.560] 一个两两个月两三个月，然后就开始
[77:14.870] 松开始送保养。
[77:16.880] 厂家送保险刚开始还是也是次要的，亚健康。
[77:23.600] 然后基本上半年之后，
[77:27.080] 发现这东西确实还是不太。
[77:30.950] 然后就开始挣钱了那会儿，谁知婚后。
[77:35.750] 后来
[77:37.740] 一年多反正销量比较惨淡，是在国际。
[77:41.530] 市场上在那
[77:42.900] 在美国欧洲市场卖的比较有日本本身一样的是吧？
[77:47.990] 都是从瑞典哥德堡
[77:50.150] 生产标准也一样的，
[77:52.320] 只不过是可能有的国
[77:57.080] 仅中国基本上都是纯油的或者插件好用的。
[78:00.060] 当然不过刚开始的昨天还有他的，
[78:04.610] 但是他在红灯限量款，
[78:07.190] 然后后来
[78:09.240] 可能
[78:10.510] 在美国每卖的美国的可能柴油车比较多，
[78:14.220] 因为他有气温，还有管理，
[78:17.980] 到美国制裁，还有
[78:20.110] 好多车，美国包括S90S有产地在大庆它出口到美国地区的，
[78:27.060] 基本上有1/3是台版，
[78:30.400] 就在国内好像国内不让用，柴油不要用，因为国内的油品有问题，
[78:36.340] 柴油的油品它污染比较大，
[78:39.560] 但是在国外柴油词还要比汽油更清洁，而且他的动能号。
[78:46.040] 对更高。
[78:47.670] 柴油车用
[78:50.810] 还有动力真正。
[78:52.900] 才会有劲，对。
[78:54.800] 有300块钱，他还有
[78:57.240] 柴油车的话它。
[79:00.520] 怎么说？
[79:01.910] 柴柴油机的。
[79:03.410] 功率那么高，
[79:05.350] 主要是看功率。
[79:09.890] 功率比较大。
[79:21.400] Q7什么的都比他贵不少。
[79:23.360] 对。
[79:24.520] 他之前就标着退积蓄的，鸡价格基本上上下互动差个一两万块钱，
[79:29.470] 然后撑不住了，手机的还死撑，
[79:33.660] 手机卖的好，手机都没老板Q7还行，新款改行快，
[79:40.880] 也是1917年两块之后就没什么钱，
[79:43.970] 为什么改了号之后就不要了，别人要了不知道时间，
[79:49.580] 也可能摆在那两年，也不可能现在因为现在也不是特别好，很好就没人买，他确实也是高端车型是吧？
[79:57.190] 他整段从
[79:58.750] 从一个月交3000多台变成了夜宵的话，
[80:03.210] 100块，
[80:04.240] 这条件还挺高的。
[80:06.810] 月交3000多台是全国销量
[80:09.120] 向全国
[80:12.440] 小号也不高兴。
[80:16.480] 如果国人还是认为
[80:18.600] 奔驰、宝马、奥迪
[80:20.950] 国家国人国人买东西这买的，对。
[80:24.600] 你说你这么20多万买辆奔驰，他觉得挺好的，
[80:28.480] 但是20多万你买个奔驰买个分支A
[80:31.800] 对。
[80:32.910] 而且保养什么的也会对。
[80:37.050] 这种
[80:38.830] 车型的话，不管什么品牌的最低配的车型，这次的那种车型的话，
[80:43.660] 一定
[80:45.090] 是买不到品牌的核心的东西的，但是
[80:48.630] 没有怎么说，没有公主命，但是有公主病，
[80:53.520] 这都是统一的，
[80:55.560] 有些方面绝对不会少花钱。
[80:59.270] 影响它音响的话，
[81:02.530] 就普通版的跟放了那个东西跟他不一样是吧？
[81:05.940] 肯定不一样，这套音响3万多块钱，
[81:08.770] 他有多大差别，你比均已经清楚了，能清出来下一步
[81:14.240] 这个是什么？
[81:15.190] 清新高低，
[81:16.600] 这个影响的话叫饱和一件必达音响，他的音响的最大的亮点最大的最好的地方是还原人声，
[81:24.400] 在还原人声这个领域是所有音响里面做的最好的，甭说什么单达，
[81:30.870] 柏林之声，英国之宝在他面前都是地名，
[81:35.030] 怀疑人生领域最顶级的所有的国内的一些一线明星录音乐专辑，都得用1W定金、录音床，
[81:45.150] 一套家庭影院，
[81:47.180] 广告见的
[81:48.300] 没有低于35万的
[81:52.330] 一个宝华有线耳机还是好几千块钱，
[81:55.800] 我之前
[81:57.040] 有幸得过一个来就1W1WP9耳机，
[82:02.690] 市场价格
[82:04.310] 9000多，
[82:06.050] 那时候奖励的
[82:09.920] 晕痣还能感受出来一带风整个，但是上整个世界都安静了，对。
[82:15.680] 只能停放在里头，而且特别紧急是吧？
[82:20.050] 一般说
[82:22.400] 好伤心。
[82:24.630] 但是这怎么说呢？
[82:27.550] 买这套音响大多数属于音乐发烧友，
[82:32.320] 他必须得带着一套的那种。
[82:34.930] 对你这个东西它买车也得带一套玩音乐的，或者说特别好的，可能
[82:43.050] 就买日本的音响买高配。
[82:45.250] 的或者因为。
[82:47.230] 这东西影响不能去外边自然改，尽量不要去外边自然改，尤其是沃尔沃的车，为什么呢？
[82:52.690] 因为你外边花再多的钱改的音响跟你原厂出来的影响不一样的，
[82:58.780] 因为它这个音响公司它为什么总盯着音响效果会更好一些，因为它这个车的话，
[83:04.590] 在生产设计生产的时候，是音响公司参与整个互动，
[83:11.370] 这个设计都在这里边，都是他参与设计的，你
[83:15.940] 车身秘密需要他用什么材料？
[83:18.490] 低音炮放什么位置，中间带有放在什么位置，用什么样草原太特点。
[83:25.080] 自己改装的理解，对，他跟您说外边资源改的他印象是什么？
[83:28.990] 这个就是将来的事，对这事家里的
[83:33.260] 这个弹药是说要让我说，
[83:36.920] 因为我争气比较少，我也很少听，是这我舅舅
[83:42.930] 我都别人多花三块钱，都花一多花，
[83:45.420] 两块钱我也不要了。
[83:46.990] 我觉得我也没必要，你这车子平时你听个收音机听到哥的也都可能，因为我平常都很少听，
[83:54.160] 觉得有名人走走都拍着大脑了，对，有的人走你就走着还戴着耳机还听过歌，那种人可能着急，
[84:04.890] 有你只要音响不行，
[84:06.980] 可能卖的好一点。
[84:10.750] 那行吧。
[84:13.200] 那就聊到这，也别占你时间太多了，没事。
[84:17.180] 你别忙了。
[84:21.910] 处理工作就别在这处理了。
[84:27.530] 注册。
[84:30.120] 可以在。
[84:33.040] 再对比，
[84:38.450] 叫什么来着？福特的形象改成国产的。
[84:43.120] 餐饮汗颜流对。
[84:48.430] 各大。
[84:49.670] 十大尺寸吗？
[84:51.900] 我5米多。
[84:54.070] 宽两米多了。
[84:56.980] 福特的车就是个大，
[85:00.520] 再说其他的就很少了。
[85:04.130] 尽可能
[85:05.330] 谁知
[85:06.060] 福特
[85:07.580] 好，
[85:10.080] 那天我还看了一下徐徐的雪弗兰的开开复杂
[85:15.430] 心上的
[85:18.830] 车身
[85:20.790] 比车身还大，但是内部空间就真的没法说。
[85:32.660] 完了吗？
[85:52.770] 收缩压就是高压对吧？
[85:54.690] 对。
[85:56.190] 高压脚的。
[86:22.820] 五
[86:47.520] 远
[86:49.230] 的。
[86:57.640] 高压。
[87:01.530] 像咱们这车是不是商务的非常多一点？
[87:04.520] 你哪他这酒量沃尔沃的车，咱们说实话沃尔沃的车
[87:10.670] 商务
[87:12.370] 比较少，他是不是以前定位的时候有点要偏商务的那种感觉？
[87:17.440] 定位是这么定位的。
[87:20.140] 实际上都是家用的，几乎90%都是家用。
[87:24.730] 真正商用的话，因为国人认可了，
[87:28.660] 真正商用的话，
[87:30.330] 做生意
[87:31.560] 买奔驰的多，
[87:34.450] 玩炫耀张扬买
[87:38.580] 官政府是奥迪政府是奥迪。
[87:48.710] 的。
[87:51.830] 一辆卡宴现在也得100多，
[87:55.700] 你看你怎么选。
[87:57.570] 火车的壳子，车壳子
[88:00.460] 大概70
[88:02.600] 可能70多点。
[88:04.350] 你就是家家座椅，你买车能不能没做尾巴加操作以5万多
[88:11.920] 他车不是一整车，他不是整车，他是跟厂家下订单。
[88:16.980] 定制。
[88:17.890] 他是卖的是调调，
[88:21.460] 卖人家这个品牌卖的是调调。
[88:25.390] 你不是在K里头的东西一样相，
[88:29.720] 他会给你一个定制单调什么东西把go
[88:33.580] 当然
[88:34.870] 也有现成的车，
[88:37.500] 家装好了的，
[88:39.080] 然后就放那，你想
[88:41.460] 想提这车也行。
[88:43.330] 正常选完了之后，可能这个车厂家过来的时候是120万，
[88:47.850] 这个车的话能着急的话150，
[88:52.670] 这样
[88:53.950] 还得加钱。
[88:57.940] 因为你的客户经理还是不一样了，买那车的话基本上
[89:02.260] 100万的份都120多万，那么8了还差一两万吗？对。
[89:07.500] 一两万三五万也无所谓，对。
[89:10.430] 人可能就心痒，你发你都100多万都花了，你还拿不到车，
[89:16.350] 多花几万我早点及。
[89:18.190] 很正常。
[89:20.180] 因为不知道那4S店为什么毛利这么高，
[89:23.220] 连一胎都要动，
[89:24.940] 一干一一台车创造利润，
[89:27.470] 给你卖一大堆车，那都
[89:31.570] 所以向你们的集团也有挣钱的牌子，有不正确的。
[89:37.740] 但是最挣钱的品牌是哪个？这个不是。
[89:41.240] 反正
[89:42.310] 奔驰
[89:43.590] 奔驰甭管他单车利润没有保手机那么高，但是量大，
[89:49.080] 要低，
[89:49.970] 一个月400台车，
[89:52.920] 医保，而且一个月卖了七八十，
[89:55.620] 百八十八你肯定干不过这个，对，而且
[89:59.810] 思考时间保持时间，除非你买什么918这种爱，这可能加的钱多，
[90:06.650] 但是少有几个卖几百万，
[90:09.540] 但是奔驰不一样，奔驰S哪个不加钱不加个三3三四十万，
[90:15.350] 买房和哪个字加个三四十万？
[90:17.490] 哪个？
[90:18.630] 大地
[90:19.680] 加个五六十跟玩一样对吧？
[90:23.940] 七
[90:25.750] 奔驰J lb是gl，一是几座的lb是吧？
[90:31.460] 但他那个空间是不是内部不大？
[90:34.130] lb的话跟340
[90:36.040] 可能差不多，你看可能稍微他还
[90:39.100] 那么多。
[90:40.300] 他7段的话正常你不坐不动第二排座椅的话是多少，可能你的腿肯定是放进去的。
[90:47.140] 他你整体往前挪一点，这样的话做小孩可以
[90:54.110] 刚才我到时看开出一片要不要？18，我觉得贾谊有的
[90:58.740] 也有7艘LE多少钱？
[91:02.280] 30多80多八九十对高配的话100出头。
[91:09.600] 家妓大多数都对于奔着海上去了。
[91:13.810] 北京什么？
[91:16.520] 那有点没必要。
[91:19.670] 负担太高了，品牌任品牌卖的就是妙很高调，品牌高调。
[91:25.180] 而且大多数。
[91:29.760] 都是一些
[91:32.420] 垃圾的企业的，
[91:35.240] 还少一点，可能比较
[91:37.910] 买车可能会更多炫一点。
[91:41.540] 玩的就是好玩的。
[91:44.090] 买的车比较多，
[91:46.040] 拍的
[91:47.540] 说白了你拍个保安截你去共享，
[91:51.480] 跟你
[91:54.300] 开武馆过去什么
[91:57.320] 什么叫什么58之类的完全不一样。
[92:03.340] 对，那品牌不一样。
[92:06.460] 不一样，买的产品吗？
[92:08.960] 沃尔沃这个品牌就比较低调，
[92:11.590] 太低调了真的，你开沃尔沃的正常不是很之前我就听说过投机模糊之前就听这么一句话，因为我学汽车的
[92:22.670] 惹买者我开奔驰的，营业者开奔驰露的，也不要开沃尔沃的，因为你不知道下来的是什么人，
[92:32.600] 还有这话的。
[92:34.750] 谁知
[92:38.330] 老
[92:39.810] 老挝
[92:41.260] 任老八玲那会儿八九十万那会能买能买到沃尔沃的车的，基本上是一些
[92:49.070] 国行极大股央企这大企业的一些一把手，
[92:54.130] 二把手，当时车也少，车也少，你不是说你那车不是说你想买人就卖给别人，
[93:01.740] 以前都是我老感觉沃尔沃也算是一线品牌，而且它的安全技术
[93:06.530] 就比较高，噱头做的也很好，他有一段时间他有好多年的时间，就是在中国汽车发展最快的那几年，他被模特收购了，
[93:17.250] 被福特收购了，福特压制他来着。
[93:21.360] 福特当时在中国，当时在它福特战略体系里边，沃尔沃
[93:27.070] 用来拿来牺牲的就是它福特，为什么？
[93:30.810] 之前都快快死了一个公司，后来有点钱福克斯出来，福克斯
[93:34.940] 回来之后，
[93:36.100] 然后没有什么
[93:37.420] 自己的科技在里边了，
[93:39.330] 拿沃尔沃买过来之后学了很多，我问基础
[93:43.020] 了，特里边福特现在也
[93:45.300] 包括蒙迪欧之类的，也讲究什么硼钢车身红色。
[93:50.070] 从哪拿来的？从快喔这块拿走的。
[93:52.810] 然后把握血糖了7年，
[93:56.190] 血糖的提升了，
[93:57.710] 但是我感觉他不行，华更多的是从而且被长安收购了，支付我觉得可能
[94:04.020] 没有被长寿露过。
[94:06.040] 李书福他那是吉利，好吉利当时有过一批长沃尔沃，在福特收购沃尔沃的时候，
[94:14.910] 福特你想想什么？
