[00:00.660] 接待二次客户，李富先生看着LC
[37:53.350] 你把单子给送出去。
[37:55.540] 大哥
[37:58.720] 五
[38:03.690] 6
[38:06.410] 你不要怕，
[38:13.380] 咱先。
[38:14.430] 车咱先说啥？
[38:17.100] 咱们3000。
[38:18.220] 把新停车这种结合小店都是做的
[38:21.960] 也。
[38:23.190] 咱先说车要哪个车？
[38:26.490] 的
[38:29.020] 三。
[38:30.810] 对，都将3000。
[38:32.640] 分。
[38:51.330] 将近4万。
[38:55.250] 查
[39:18.930] 发动机
[39:22.360] 的
[39:23.950] 的
[39:25.180] 的
[39:34.710] 花了好几十万。
[39:36.370] 数据
[39:39.000] 差2万块钱。
[39:42.870] 这块
[39:55.230] 300确实。
[39:58.700] 差多少？
[40:00.650] 差很多是吗？
[40:04.980] 300的发动机。
[40:07.400] 就像同等的Q差3。
[40:11.840] 3 Q 5. 
[40:14.190] 20的
[40:17.860] 经验，
[40:19.260] 300的卡。
[40:21.170] 我记得其实还有全时四驱，不过它弄成豪华，260豪华。
[40:26.790] 那些不一样。
[40:28.330] 那不是20号还那些。
[40:31.250] 你就要300。
[40:33.230] 4万块钱，还有300还有插板，你不说显得高档。
[40:39.110] 对，这是显然这样可以老板娘
[40:46.630] 只要380。
[40:48.540] 300，然后在给别的专业
[40:56.750] 为什么？
[40:57.700] 这么真实？
[41:00.520] 因为我觉得男人。
[41:02.130] 车都会看发动机，
[41:04.730] 然后对别人看你的车也会自然而然人家了解车自然而然就知道。
[41:11.540] 这个跟差不多啥？
[41:14.040] 我还挂着300，
[41:17.040] 明显。
[41:18.770] 高一两次。
[41:19.870] 对，还是不一样，虽然就多了几万块，但是我要再换花点钱买好的，那肯定是太了
[41:28.210] 了，我觉得男人他基本上他都会看大部分人他都会了解车，
[41:34.290] 他知道发动机跟那块。
[41:37.570] 还是不一样。
[41:39.000] 就跟你说是几十万块钱我都花
[41:41.720] 了，他要是说差这4万块钱就差点那几样，我觉得真没必要。
[41:46.910] 发动机能不能高了一档，你不要我记得你那260什么。
[41:51.580] 不是全时四驱。
[41:53.110] 是奔驰车全是全时四驱的，都是全食的一样的，您放心。
[41:59.170] 四驱都是一样的，其实就是300跟差刚才发动机是吧？发动机踏板，然后盲点监测，车道偏离，车道保持，
[42:11.220] 然后还有个无钥匙进入4个门。
[42:13.990] 4个门对。
[42:15.930] 那个是打印您靠近车一样在身上一拉门就开了，就不用解锁了高。
[42:22.690] 别的车他都是司机门，别的车的话都也没有，260也没有，
[42:29.370] 就司机的门也没有。
[42:32.310] 跟咱这车一样，他要是他开
[42:35.680] 这个靠什么也得要是在深圳待，这个是反映在身上在包里就行，不用往出掏。
[42:42.830] 就到这里开门吗？那个的。
[42:46.240] 你走离开它自动说。
[42:48.810] 离开了的话不是你摁一下门把手上面有个。
[42:51.910] 上什么的一下说。
[42:53.560] 就按司机。
[42:55.610] 门了就都锁了，是你那什么呢？
[42:59.450] 别墅你别说给找点费用，还是定380吗？
[43:03.810] 300给我们整点费用，我们就定了300，今天就掉，等到4:30了，行该下班了看着。
[43:10.050] 行飞到送内饰是吧？但是找回来没事，我们愿意讲一会让我们。
[43:15.970] 再看一下你知道吗？
[43:17.330] 行，一会儿就得下车，刚刚已经回来吗？一会带你看一眼，我再给我们整着慢慢千不是搁咱真的就别聊了，我都这么实在了，我说你要不就是3800，把那脚垫后备箱垫全都送，你就按一个季度一的价格收你都不行。
[43:31.760] 3000，
[43:33.240] 攒钱的几折？5折。
[43:35.570] 这么多
[43:39.500] 我买的是吗？年我真无能为力了，人家当着我面给经理打电话，你说要不然玩那个是吧？
[43:47.870] 你是最低档是1.5的还是4的，那边444次。
[43:53.470] 抗ed没有一点。
[43:54.470] 的雷凌要拍了第四最低的。
[43:58.360] 还有可能得到看来的就不用说了，最低8折他不说了是吧？对最低89他可能也他说那个药
[44:07.640] 处尾数多少钱为8000万，他告诉他给打了，
[44:12.680] 应该能达到7点多到的。
[44:14.880] 75,000多637979 6000多块钱，对6000多块钱，你再加上记录仪什么的，一共1万块钱，但是就是磨差1万块钱，
[44:25.530] 你就不如这个。
[44:27.560] 什么。
[44:28.410] 炮击敌好他对确实好，他的咳嗽药比要强多了，比那个疯狂你
[44:36.440] 是不是不是什么善教的？
[44:39.210] 是确实的话对我就说看为敌能提在打点头，就发电机真打不了了，你你看我他跟谁我都不用说，我就跟您说的跟他提的，但就是说怕雷迪咱也不说了，然后车上你还能再去问对吧？
[44:53.560] 不是你差您现在差在哪？告诉我得给您问3000块钱，你家那些招数我也得给你去问他，因为都已经天你去问一下，然后啥怕爹地就不用问了，我们
[45:04.260] 直接见面把车你弄到5000块钱没事，现在就差这差2000块钱，他2000块钱，我再问一下千块钱3800一所有脚垫行，怕雷击我们就不说了，行没问题不？好。
[45:17.210] 就这样了真的结构行，防爆像您说的义务倒仓这种事，
[45:25.780] 车从3000谈到5000，然后三天
[45:29.880] 把记录仪把这种鱼什么都加上这些知道了，我现在就去没事。
[45:37.030] 要。
[45:39.690] 在干嘛点？6万。
[45:42.340] 五万九八这边送4000吗？这是送4000，然后一共是送6000，这是减55,000，对没错，你一共送6000的是吗？三六千，因为不还有这再减2000就对了。
[45:53.970] 全在家一个2000，我以为你说送4000家置换一共送6000，那就送6000，实在简易2000就行了。
[46:00.950] 您置换补贴现在还有多少？
[46:03.320] 阶段？302446~10再减一个2万就行，那行可以吧。
[46:09.210] 可以是这样吧，置换是2000万五千，反正你试试您指标的他的是吧？
[46:13.680] 您的旧车的手续给我们师傅了吗？没有，他
[46:17.350] 不是说今天说话，您分期这边您哪天过来办手续，新车准备我随时都行，所以说这一分没有现场有现车是对分期这边您放弃这边放弃了，然后我们这边重新给您走时间，
[46:33.170] 然后大概那就周二周三左右行。
[46:36.740] 你不是说得把他那边的你不用转，我刚才问我们金融专员了，只要您这边写一个放弃声明，我们就会重新给您批了，没有那行一样被说那就可以办。
[46:47.390] 那就这样您的身份证给我，那你就闹现在没有什么送的了吗？钱咱这真没有啥送去，你看这里边您这膜脚垫后备箱带我能送一个鱼，你想的我看有啥。
[46:59.970] 你能够进入了，我送你个后备箱垫行吗？他这没有后备箱垫，
[47:06.450] 我送一个后备箱见打他这几你看对后备箱垫我就给你拿把雨伞，好几百八百八五卖三就不要了，就再不值钱也能执行，现在那你们家要素也行，要不这种钥匙扣行行我给你行行行。
[47:22.280] 那个还稍微有点意义，行行，小件还能对小件都没有。
[47:27.890] 大件没问题我都没有，您说直接给您装了一个后备箱垫，你看这里边没有，我就给你我也没注意看这个没有看。
[47:35.850] 贴膜镀膜是车漆的，就是忽悠那种的，脚垫记录仪没有，我到时给你光辉，要是去不了去，我让二手车来着可以让金融在这那边人也车跟他们沟通完了，沟通完了不得收你手机，今天不放了。
[47:50.020] 你车今天不放这车开吗？不晚上还得开车，不开车的时候的话我不能不管天天走路才能放。
[47:58.810] 就周二东西听听周二过来了，您打电话说打打电话告诉您分析一批了，您就是把旧车我拿一下分析的，结果这边或者
[48:10.270] 他站出来知道吗？好在前厅前提条件不能好了再回来交流。
[48:17.790] 我去打订单去，然后平时我们进入同事过来还更多走就行，我跟您说一下把汽车让给开过来吗？我们看一下就今天可开不过来，这都是打开。
[48:30.410] 让你看看你发给我，让你看一看一眼，我让你看我这个日期你就看了，对，因为咱们有一次这了害怕了，对我得确认一下是吧？咱反过去这些别
[48:45.690] 帮他老交定金，然后压着我现金，后来我真的
[48:50.360] OK了，让你们在医院，我这样的都给你了，我就不买了。
[48:55.810] 对他就买了，是我已经预留了。
[48:59.080] 我得给杨哥打个电话，我里面那个客户
[49:03.640] 千他在战队参加了我过分
[49:07.270] 我们家
[49:08.180] 他的情况我们没有做过调整，
[49:12.430] 我去做我方的给他打电话，你保险的情感保险有啥项目当中你选就行了，就这样了，你一定出来反正符合分支金融的要求，什么我都不强制你，没事稻香前年上就行，我真的我真不考虑他是这样的，因为当时就是他跟我们看有保险的一点都不大好，三三小我在黄金涨，7月25号我给你预留的，
[49:37.490] 最后88月份13813就是咱们蓝色的一个代码，黑色的没事，然后你看着你再往前，
[49:46.000] 6月22号生产日期7月17号厂家开票价，
[49:51.610] 7月20号到店不辛苦放心了，放心，因为这个上面有
[50:01.230] 813是吧？31101101，对，所以您都知道对事的。
[50:07.470] 813101我的画给弄错了。
[50:10.680] 了，您在这等下金融，我去问一下那个车，然后一会回到我的手机，我就告诉你走了，对行好勒。
[50:18.590] 我说我给
[50:22.370] 我的手机好像落这了，圈子阳哥就跟他说一声，
[50:28.190] 我跟我去给杨军打电话，里面一起自己拍的，拿下来我们可以给你拍下来给你可以
[50:43.240] 了
[50:48.280] 杨哥，
[50:49.480] 现在我看看加上
[50:53.250] 3000装饰1万18,800。
[50:57.500] 好。
[50:59.480] 然后点开一下。
[51:03.370] 对。
[51:09.960] 这lp没问题了，
[51:11.980] 准备签订单了，然后还是差那2000块钱，他现在装就给他聊到18,800，
[51:18.560] 也就是8800。
[51:20.340] 就激动一小店后备箱垫吗？然后
[51:24.390] 然后现在不就还差2000块钱，想要5000两五千
[51:28.480] 送3000不行，
[51:29.990] 还得送5000。
[51:31.100] 就差了2000块钱我知道了，你帮我介绍1万18,800是吧？
[51:36.220] 几万。
[51:37.550] 刺激等会儿
[51:40.040] 等等。
[51:42.570] 但是要是直接上外面
[51:47.000] 号，
[51:49.260] 不管了，
[51:54.210] 行，你们稍等一下，我们销售经理给老总打电话叫
[51:58.570] 怎么这么复杂，真的他给老总打电话去了，他让我等他一个了。
[52:02.650] 车我看一眼。
[52:05.470] 对，车就不着急了，他想把老听了。
[52:08.810] 不说了，刚刚开始账号的，您这车实际开的那10个油，
[52:14.520] 他估计不给的很低，7点多8点多，但是对十几块钱10给10个有
[52:20.480] 6号，但是
[52:28.050] 我现在做一做就做，
[52:31.060] 你别做了，我告诉你，因为得交钱慢一点之后给用的什么交了。
[52:38.350] 打开企业微信点2后面多少没有不洪水弄，你要找财务交钱就行了。
[52:45.770] 变成了每周两次明天平台。
[52:49.840] 这几天然后
[52:52.360] 给五星有些矛盾聊这么久车辆，
[52:57.190] 好吧？
[52:59.100] 上
[53:04.640] 你说
[53:06.330] 刚才你接近客户，
[53:17.390] 快。
[53:20.930] 坏数据。
[53:27.210] 坏数据，
[53:37.560] 的
[53:39.440] 的。
[53:42.370] 6
[53:44.810] 三
[53:48.780] 小。
[53:59.450] 原来
[54:09.600] 远远
[54:15.970] 刚才
[54:22.250] 对孩子的介绍，
[54:31.410] 就算
[54:41.320] 但是
[54:49.890] 今天订的话，
[54:55.650] 交管
[54:59.750] 出去
[55:02.590] 但是
[55:06.080] 的
[55:09.560] 的
[55:13.290] 句。
[55:14.460] 1226
[55:26.290] 场。
[55:29.190] 二
[55:37.250] 句
[55:40.640] 的。
[55:42.970] 行给他定吗？不要订单。
[55:49.500] 对的，时间拖两礼拜二您现在看到
[55:58.070] 别管多少，走300 500好拜拜是吧？差两点。
[56:04.200] 你说真是说便宜了，二不能说俩礼拜。
[56:07.290] 三
[56:08.300] 二。
[56:10.240] 他三千两三百，
[56:13.380] 对吧？
[56:16.880] 把这桩事就进去。
[56:20.630] 咱们这些包含保险包含
[56:24.960] 之前高兴，还有置换2000。
[56:29.870] 要看一下。
[56:35.390] 二
[56:44.160] 有的
[56:45.800] 谁知什么。
[56:49.220] 另外。
[56:53.190] 什么不影响价格？
[56:55.930] 二。
[57:01.380] 越忙越乱。
[57:08.060] 我现在才刚刚找到一点时间，这三天时间。
[57:11.750] 访问一下。
[57:19.010] 你们家有没有什么
[57:21.180] 上班什么保险的驾照，什么维修基金或者咱就不错，因为我们都是按照正常的奔驰的官方规定，多少钱就多少钱，不给你弄虚作假，因为我们送点什么你们洗车卡之类也行，洗车的话你拿的你找我都一定娶，
[57:36.720] 随便洗没人来就行，你直接开过来就行了，你们家喜欢都是全免费，你离得还近就感觉洗就行了。
[57:45.630] 我只要有时间我就给你写好好全自动的，对，我是过来说我刚看有洗车，我就想说
[57:54.250] 我就开过来直接洗就来，你就拍回来就近吗？对写啥你就一年声名，然后写本人，
[58:00.850] 然后履历，然后身份证号多少理解都给我接个电话，你交给我的138108108145814458。
[58:10.670] 邮箱。
[58:11.460] 邮箱是还有你在这儿写行。
[58:16.520] 李0920我看160B080920是吗？李丽80920
[58:25.220] ILY
[58:27.090] 二
[58:31.850] 有模板吗？有模范我就照着模板80920，然后您说应该写我可能就写过两三份，还没弄正常的模板那种，我就大哥别说了吧，要写一个这样的声明，我你说说我写对吧是吧？
[58:47.450] 谢谢声明
[58:50.920] 声音的声。
[58:52.460] 好吧，就是说这到哪去生日报哪边，要实在不好意思，我到那客户去，
[58:58.510] 让了我等着，师傅你放哪里，谁知
[59:02.320] 你知道吗？
[59:04.210] 那就这样子。
[59:06.810] 反正最终。
[59:08.440] 对最终价格就是这样，大概月底下月不到车。
[59:11.560] 车站要新300。
[59:13.220] 然后包是不是直接给您钱，刚才不是写3000吗？现在就直接给您减5000。
[59:18.430] 5000就直接以保险送行是吧？他消假动物，然后这个8折，然后再加上一个3000块钱就全都给您了，完事了。
[59:27.120] 了，您指标人是谁？
[59:31.210] 您是吧？您身份证给我，我这边给您打单子。
[59:36.980] 没带。
[59:38.400] 您带了吗？
[59:40.640] 我在我车上你包带着我没你给我拿一下子。
[59:46.000] 你俩看着给他报儿。
[59:48.340] 儿子赶紧看你的客户，我。
[59:49.960] 去拿你来选，
[59:52.270] 他把泡沫箱炮仗你爸让你选错，
[59:57.700] 们是不是放假了？
[59:59.100] 对，他们放假了。
[60:01.020] 你们出去玩吗？
[60:02.590] 今年。
[60:03.430] 不打算了。
[60:05.740] 当然也去不了，国家少了
[60:07.800] 多少税收真是是吗？
[60:10.610] 每年保持要这么开始，哼哼早计划去哪了，对。
[60:15.280] 这家里有孩子的。
[60:16.410] 真是这样。
[60:17.630] 我们一同事就是为了孩子，后来现在要上学上小学。
[60:22.160] 最后就辞了，然后等他什么时候上学，什么时候在。
[60:28.200] 你反正也没人给你带。
[60:34.650] 然后再做一个OT
[60:36.940] OK也一样，就跟以前一样，好像不是。
[60:40.490] 出地址直接拍点照片，对拍照片的自动识别的。
[60:43.840] 我觉得比这还快。
[60:46.120] 比这个快是吧？
[60:48.760] 其实也不用sp前后这俩系统就可以了，对就很快。
[60:53.420] 对。
[60:54.850] 内裤必会有什么事联系不到。
[60:56.580] 当然9章
[60:58.300] 他讲的880还行。
[61:01.200] 还行。
[61:02.730] 李帅是谁到2009？
[61:07.890] 助理。
[61:09.160] 对。
[61:11.590] 64
[61:13.160] 30119800920 7月27到2月
[61:18.570] 10号马上开始。
[61:20.680] 30119800920002
[61:26.460] 北京市海淀区
[61:31.730] 0
[61:33.640] 他上几年级了姐姐？
[61:35.670] 他马上初三了是吗？
[61:39.270] 也对明年很关键。
[61:41.580] 今年错过了。
[61:43.610] 就不错了，就说感觉复习的人多，现在让复习让复读吗？
[61:49.480] 初中应该不让复读，好像好少。
[61:52.820] 没有，一般都是高三，对，我觉得。
[61:55.830] 一年赔的会不会很多？
[61:57.700] 今年还能赶上这中考和高考可挺累，对，你就想。
[62:03.740] 都一样，其实没啥。
[62:05.550] 对心理眼前人，大家但是您说还是在北京到
[62:11.410] 学生好考。
[62:12.500] 说北京才四几万人。
[62:15.330] 高考、
[62:16.140] 4.98,000还是多少人，就是学校它不本地招生的人多，但是学生少。
[62:23.870] 对，5万4.9万还是5万多人高考。
[62:28.380] 学生多少？
[62:30.130] 这1750吗？怎么5550？
[62:36.370] 点多点5点了。
[62:39.270] 2000点也少秋季艰苦报的是吧？
[62:43.710] 肯定不报，秋季扣申请报价都不高是吧？不要好像指向这直接就填进去，就千万就是出地址跟以前一样的，最后因为你们晚上抽多了快，
[62:56.090] 非常快听教会医院，
[62:58.070] 然后打一个什么得打个服务公约，手机快一点吗？
[63:01.860] 晚上上课，这是我现在的钱，必须得签一个。
[63:06.340] 可以前两天昨天跌得演出就往前。
[63:09.070] 这B的就是订车的时候签对那个不对，你周三的课报不了，王17号你还得跟前台用说一声吗？清楚都是有的不了，我的至少
[63:21.370] 一轮订车，最开始自己接触羽毛球是吧？
[63:25.840] 自己开始自己接触聊天，26点没有开始，他一开始没有那啥没有。
[63:31.550] 特别简单，真的你现在比起来我觉得很简单怎么办？
[63:35.960] 交车的还有没有下午给我摸笔大单子？
[63:39.530] 对这块以后你又不得用魔笔大单了吗？不用用毛笔答题。
[63:44.020] 还可以帮我拿一下，用不了多少。
[63:46.740] 把单子打单子，
[63:49.400] 先看他给我审批到哪一步了。
[63:51.640] 谁知
[63:53.780] 直接签署合同，
[63:55.980] 去找他签售活动。
[63:57.510] 三。
[63:58.860] 见过
[63:59.840] 在。
[64:00.850] 把第三次我给。
[64:05.420] 对，然后。
[64:07.240] 我一会再给你重新写一遍，然后再算
[64:11.240] 在哪个分期明白过来。
[64:14.320] 来你坐会等我一会复印一下你那个更好。
[64:19.780] 我而且这个合同您签收一下好看。
[64:26.320] 好吧？
[64:28.780] 你写的这说明
[64:32.200] 好
[64:35.810] 我去拿带回去。
[64:39.660] 老师
[64:43.510] 不好意思，
[64:45.250] 谁知
[64:49.510] 然后签个
[64:51.540] 谁知接写了
[64:59.410] 2008是。好的行吧？
[65:02.390] 就可以了姐，有4个月30号。
[65:05.800] 开始写错了您。
[65:08.370] 行，您在这上面这些都是电子的，你在这上面签个字，然后一会我打出来您看一下。
[65:13.680] 首先是吗？对千1零年动没动，反过来
[65:18.720] 更快我蓝天做起专家，今天的钱要不要工业的给我的天是吧？没有我的心的给了。
[65:25.790] 好勒姐待会让崔小姐，因为你群我就直接重新给您发链接了，好好了今天
[65:32.160] 是山区，对我一会都能给申请，这是现车是吧？现车对结合发申请，下周废旧环保督查您知道吧？中农工建四大行的，中农工建知道我有，另外就是验完车之后要做一个抵押登记，当然会用您的身份原件，用三个工作日左右，好好行知道那一代行了好勒姐，您手机收到的验证码尾号54458的号了，
[65:56.440] 您好，
[65:57.540] 短信今天先不定了，就这个对吧？
[66:01.860] 大家验证码279309，
[66:05.690] 给了明天又好，我去打单子。
[66:09.840] 签完了是吧？行了，走了，上面另外一个客户把那个不行，你去打开。
[66:17.050] 招标单位校长前面这点就行了，你就点下边就行了，条一点，下边最贱拉倒最下，对才会有个签署的。
[66:27.190] 我给您算一下，您写背面。
[66:29.130] 现在按照最标准的给你写。
[66:32.500] 用复印吗声音？
[66:34.080] 让婷婷别走，你赶紧叫他刚刚出去刚。
[66:39.750] 忘了你上了。
[66:42.390] 下班了。
[66:43.570] 没下班我给您操作一下，正好时候再叫他们接过来，刚才在门口了，刚才把他叫他我刚出来收跟客户说需要什么东西，但是AQ我不也做分期。
[66:55.210] 婷婷。
[66:57.570] 远。
[67:01.480] 你好。
[67:03.640] 你再回来，我还得我这个客户你再帮我说一下，谁知
[67:08.380] 不好意思。
[67:11.890] 拜拜。
[67:17.000] 我都给你写上置换，明天。
[67:24.280] 钱
[67:27.500] 说
[67:30.240] 5:30回来。
[67:32.610] 5:30. 
[67:33.590] 办
[67:38.870] 别的没有。
[67:41.240] 二。
[67:48.220] 开学。
[67:50.130] 二
[67:52.660] 查
[67:55.570] 场
[67:58.410] 30。
[68:02.290] 谁？
[68:07.230] 到了实际这个月的时候，
[68:13.270] 是不是没办法了？
[68:16.600] 你现在就跟你们羽毛球出来。
[68:19.420] 您好，我是咱们院的金融专员，我让您填报一下分级申请，咱们就做首付50袋50的
[68:26.550] 本金利息一起还的，还有另外一种途径跟说一下只还利息的。
[68:30.820] 什么车辆plc就是调试
[68:34.610] 300还是290？
[68:37.840] 300她给您算个报价先生。
[68:41.020] 你跟鞋这边来吗？
[68:43.040] 没事，您看我是哪个车价4068 600 600对的。
[68:47.550] 好的。
[68:50.550] 车辆号牌。
[68:52.780] 方便了。
[68:59.000] 指导价是449,800的是吗？对。
[69:04.200] 120
[69:07.170] 的
[69:15.030] 他们有课好吗？给打开了。
[69:17.760] 我肯定没有想到。
[69:22.120] 现在还有什么车还是没有的，直接就干一次了。
[69:28.000] 加上您想想了解一下传递那种不是。
[69:32.360] 上次我给算的是本金利息一起还的两年的。
[69:35.890] 对，待两年这三年。
[69:39.230] 不是我不知道有没有对于啥区别。
[69:42.280] 是这样，您上回算的是首付50%是吗？对，利率这块不太一样。
[69:49.510] 对。
[69:52.240] 一个是没有免息的。
[69:53.900] 没有有D利息现在是吧？对，现在D都不高。
[69:59.960] 您想您选择该处
[70:02.360] 看一下40 6800就是首付一半带一份，两年一共一天我订一个lc300元，银行应该更加好一点，4124行吗？
[70:13.920] 1.31.3，对，您可以看一下我们报价的计算器，
[70:18.520] 让您每个月我没有标出现在交定金，我板块车的年利率。
[70:22.880] 1.3. 
[70:24.020] 对，然后第三可能应该总额是5000分。
[70:27.760] 你要是坐三点的例子就比现在要稍微高一点，年利率折合完了应该是在1.82左右，记得教上是吗？
[70:35.360] 不要三年。
[70:37.320] 钱太高了，你要行了是不是？这个车刚才洋洋问的月底或月初大应该是11,000多。
[70:43.080] 稍打我算长辈。
[70:46.070] 那就应该是11,000对11,129。
[70:50.320] 对，利率就稍微高一点，300每个月还
[70:54.100] 5900多6000块钱，就是说。
[70:56.880] 5959。
[70:58.420] 对。
[71:00.190] 近两年。
[71:04.110] 还等到三年其实也行，因为换算过来银行利率也还是比都是1点多。
[71:10.130] 对。
[71:12.060] 两年的不是1.1.33，然后1.8，三年的1.88对。
[71:19.670] 的。
[71:22.000] 看您就都行，怎么着都行，3000里这一点感觉
[71:29.400] 他每个月差。
[71:30.470] 多少每月差8000多那5。
[71:33.640] 5900。
[71:35.280] 插了一会看来一面。
[71:37.070] 2000. 
[71:38.080] 3点是不是就拿到底下就出来了，在北京说了你去。
[71:42.450] 就出签署了从吃饭利息那块，
[71:47.060] 整还利息每个月还几百块钱，然后三年以后或者两三年以后你再还本金。
[71:52.060] 利息是多少？
[71:53.600] 其实那种也挺合适的，因为那钱在您手里边放的比较多，已经过去了，这一期去找进行不是。
[71:59.930] 利息是您看一下这是。
[72:06.070] 三年行，那你去吧。
[72:07.800] 我就现在打单子，我现在直接找那谁洋洋千字呢？
[72:18.480] 我这个问题的申请的账号。
[72:23.070] 刚才就出来了。
[72:25.640] 我必须的完了才能出来，对就是。
[72:28.340] 那就打消确认单，包括杨洋在哪给大家打电话，他签字，
[72:38.570] 必须
[72:39.610] 翻了一倍。
[72:41.230] 可以。
[72:42.050] 来阳哥您在哪里？我找您签个字。
[72:44.570] 啥那个叫。
[72:47.000] 我寻思直接去财务，要不财务以后我就不收钱了是吧？就行了来。
[72:53.890] 8个人对。
[72:55.840] 但是
[72:57.140] 但是就身份证和电话这30万元这个钱，一个是那个钱我没事了，过去了，你雄霸自己两年之后，每个月就是给利息几百块。
[73:07.910] 谁知的焦点。
[73:11.900] 没算，我都给您算13年了您。
[73:13.940] 您对比一下，三年之后他给你交一下。
[73:18.610] 千万。
[73:20.410] 这就是你看看每个月就还132。
[73:23.840] 2200对。
[73:25.720] 三和三名，然后守护是回了184,000，然后带一个222,000，这22化二是三年之后一次性付清，
[73:35.030] 中间每个月这1000。
[73:36.430] 二是D现在
[73:37.480] 三年好几万块钱。
[73:40.010] 是的，如果您单看利息的话，这个肯定是贵，但是有一个什么好处，就是说如果您手里边有钱，
[73:47.700] 然后您可以去做一些其他的投资理财，可能的收益要大于他这个利息。
[73:53.110] 对。
[73:54.930] 每天做收益的客户。
[73:56.750] 是比较喜欢这种方法。
[74:02.080] 不想。
[74:04.300] 不要，但是我是说
[74:06.140] 不要你两年交5000块钱。
[74:10.070] 一个月花8000块钱，
[74:12.180] 8000块钱1月份13年
[74:18.200] 两年的利息是5000多。
[74:27.070] 应该的。
[74:28.690] 谁知如果是三年的话，就1万多的
[74:36.300] 它中间不会变对吧？不会变就是固定每月还多少就还多少了。
[74:41.850] 您看看这俩月供一个是8600，一个是5900多，差了小3000块。
[74:46.990] 钱月供，
[74:48.540] 每个月看了3000块钱对吧？
[74:52.830] 三块钱你两年下来
[74:56.380] 是两年是吧？刚才这算都是两年。
[74:59.400] 两。
[75:00.230] 三年三年OK说。
[75:02.830] 两年差了6000块钱的利息，
[75:12.250] 利息总额是。
[75:14.440] 向上涨，
[75:16.980] 这个是5300，
[75:18.450] 这是一万一千一二。
[75:20.560] 花了6000块钱吗？
[75:24.080] 差6000块钱。
[75:27.860] 的。
[75:28.890] 要不您先商量商量。
[75:32.170] 我在门口等会。
[75:33.720] 行。
[75:41.890] 三年一交1万，
[75:45.500] 月交1000多少钱？三年
[75:49.290] 4万块钱利息。
[75:51.590] 然后你要2020万。
[75:55.210] 不用。
[75:56.550] 上好了吗？跟您说好了没有？
[75:59.290] 好，我觉得不合适。
[76:01.260] 你觉得哪个我帮你们分析分析，你觉得交利息那部分是不只交利息是这样的，原来这样4这个车您只交利息，每个月需要交1000多，
[76:11.280] 原来例行期间现在的利率都降了，所以说现在你只需要交几百块钱，这算钱这不是说1000吗？现在交多少钱？
[76:19.800] 三年就算不。
[76:22.830] 在交利息是1000多是吗？对一千二三年，然后两年应该是1400多不到1500是这SB是吗？
[76:31.080] 什么假？
[76:32.620] 平时想对想想香港只还月供三个一起的，你就还是那个。
[76:38.810] 对。
[76:40.180] 这两年三年他没纠结好，我这没算出，你要说几百块钱，我觉得几百块钱这没有，那就是C级车、轿车，
[76:48.990] 假设自己不能做，有一个几百的是加上3260的动感，
[76:53.970] 而动人的动感，对那不行。
[76:56.230] 这都是在范围内。
[76:58.690] 这样。
[76:59.990] 你就还是那什么，你还是选本金利息一起。
[77:03.310] 说两年三年一共。
[77:05.350] 到底是2两8天了了。
[77:08.950] 就想了两年都买了，开就行，我们直接登记一下您的信息，三年我基本这三年太不了。
[77:17.650] 两年两年我就过去了，付先生您是指标人是吗？对，那还款有您来。
[77:23.900] 还是你们是一般年前的。
[77:26.100] 我建议我们要的是利息最合适的话，应该两我都建议我空了两年，对。
[77:33.010] 我还得搞不清楚，算不出来。
[77:35.960] 你不是理科生吗？这算。
[77:38.780] 我登记一下，您要进来直接回家，你把手机号13811381000760
[77:46.070] 66那歌，徽商防水离婚有子女。
[77:49.920] 好的，然后您爱人的名字了。
[77:53.120] 海娟。
[77:54.220] 大海的海，对。
[77:56.450] 商户面积方法尽可能为啥要付款确认函？好的，孙女士的手机号。
[78:00.660] 13381333271276096. 
[78:04.950] 发微信是吧？行好勒孙女士知道了，身份证号好好拜拜。
[78:10.370] 谢19780。
[78:12.600] 行行知道了。
[78:13.460] 27272127是吧？
[78:16.540] 对，然后您现在的住址是深圳那个吗？
[78:20.520] 不是，您说海淀区。
[78:23.850] 中关村大街46号院。
[78:29.020] 18号。
[78:31.720] 6号69号楼是吧？这就是89门8号是吧？
[78:38.630] 您是在这住了多久了？
[78:41.750] 哪年入住的？
[78:43.060] 0名单能。
[78:45.980] 没事大概就可以没关系了。
[78:49.000] 然后付先生您的工作单位名字，天地、阳光、
[78:54.160] 天地、阳光。
[78:57.060] 阳光全了是吗？对，通信科技、
[79:01.640] 通信科技。
[79:05.100] 北京有限公司有方法吗？
[79:08.760] 你这还需要什么手续吗？
[79:11.340] 有。
[79:13.510] 公司。
[79:14.590] 您在这工作多久了？
[79:17.770] 也是大概就可以5年5年好多。
[79:23.700] 还有
[79:25.620] 的。
[79:27.990] 这车。
[79:29.030] 会不会过到我身上了，跟你有关系吗？
[79:32.280] 湖南这块过来。
[79:34.170] 我现在不能拿这块
[79:36.820] 看。
[79:37.600] 拿哪个过我都忘不了，你这个不过来。
[79:41.480] 好了，不对，拿那个号。
[79:45.000] 对23423。
[79:48.360] 我估计拿了了日是吧？
[79:51.360] 看看这车是咱们。
[79:52.600] 开的
[79:54.400] 要空腹。
[79:55.090] 也是2043，
