[00:00.500] 631、梁羽生。
[87:53.820] 你们模拟的做不能调吗？
[87:56.000] 我比这
[87:57.760] 他小一点不错了。
[87:59.920] 不错，我觉得后面
[88:03.840] 你们毛老师谁，我应该问问老师有
[88:09.550] 这已经不错，打了一下比较虚的
[88:15.510] 的话
[88:20.290] 的，
[88:23.460] 要不
[88:30.790] 只问你，
[88:32.280] 我只能这么看，
[88:34.620] 报价能看见手上
[88:38.560] 通常作用吗？
[88:40.370] 老板。
[88:43.420] 现在的效果不错，最后
[88:49.440] 就是一个调研。
[88:50.880] 8月。
[88:52.960] 八。
[88:53.880] 5万。
[88:55.580] 对。
[89:06.480] 你这里边没有养护礼包吗？
[89:09.430] 有吗？
[89:10.600] 你这车营养费你吗？没有，我也交流了是吧？
[89:17.920] 这给。
[89:19.050] 因为毛笔大说养你了，你也问你。
[89:25.600] 对
[89:26.840] 了。
[89:35.490] 任你来你都没了，那不做系统，刚才你说你做好了，
[89:41.250] 毕竟我在昨天小丽也给你反了，昨天多了你得进去吗？
[89:46.300] 不用低调拿了。
[89:48.870] 这B丫D你可能
[89:53.290] 我们也不用收钱。
[89:55.460] 我给我反正还没定，没有昨天晚上肯定来不了没找着，今天。
[90:01.350] 什么时候开放？
[90:03.520] 喜欢。
[90:08.310] 不是阅完了给我说一声。
[90:09.880] 俊。
[90:21.590] 打电话要。
[90:24.330] 好。
[90:25.730] 的
[90:28.030] 远。
[90:33.310] 远、
[90:53.440] 场
[90:54.460] 场
[90:55.160] 出户
[91:04.560] 七
[91:10.030] 号
[91:10.870] 了。
[91:51.710] 你翻过来。
[91:53.100] 了数量。
[91:57.010] 你们今天上的就说
[91:59.500] 有看清。
[92:02.330] 那就老了。
[92:04.960] 都了。
[92:06.000] 来你最漂亮。
[92:12.550] 电话来了。
[92:26.150] 我不会
[92:27.570] 来。
[92:34.790] 怎么
[92:35.640] 谁知？
[92:40.850] 一。
[93:04.830] 了
[93:06.200] 12万元
[93:11.830] 的
[93:15.980] 三个月大。
[95:03.990] 大
[96:34.040] 您找的到。
[97:14.360] 稍等我一夜。
[97:23.200] 其实这办公挺好。
[97:25.590] 办公挺好的。安静。
[97:32.020] 我总共了
[97:38.390] 咱们不休息吗？不敢远走。
[97:42.520] 不敢远走，不敢报废了。
[98:11.160] 体验就放开了。
[98:13.130] 了，然后今天又放开，
[98:15.030] 放心，
[98:17.310] 不考核了。
[98:18.620] 要
[98:19.530] 考核以后就等要放开。
[98:22.730] 刚才你也知道
[98:25.310] 让他给
[98:26.960] 说反正我们这是不
[98:36.660] 其实张娇也来了，
[98:38.160] 谁知
[98:41.650] 王总
[98:43.550] 还行改合同怎么您说？
[98:52.390] 钱到了，别拿我打岔我这
[98:55.080] 关系。
[98:56.660] 领导听到
[99:02.120] 之后我
[99:04.790] 明白的事安排午饭是吧？我知道我懂。
[99:12.760] 但是您那牙恢复了吗？你怎么办？
[99:22.880] 真来假来检查一下，不是条就拿我拿
[99:32.670] 刚开始他这边也修不了。
[99:36.250] 发展好。
[99:37.990] 好的。
[101:07.270] 也要帮你做这块。
[103:42.220] 日本发票什么的，等上班之后才能
[103:44.240] 对不对？
[103:45.260] 今天我这有个钥匙的，
[103:49.130] 他特别快。
[105:36.370] 从今天以后。
[105:38.040] 刚刚没有，从今天有时候有点事，就说这事他。
[105:44.570] 是之前。
[105:45.790] 的是不行，他在外地，他说外地不行，那走过去，他说你来修了，已经给你走保险了，你来修了，
[105:54.240] 但是我一直没去休息，那时候这里边这里没事吧？
[105:58.300] 形式可以的，这不用，您就应该是在门口咱们出火灾前景，你找我飞翔，
[106:09.110] 把保单退回，现在搞离婚，谁知。
[106:14.820] 不来了。
[106:15.820] 谁知
[106:19.500] 我就看我说第二次不用，我告诉你他的保障号，
[106:27.410] 前期不管是走别的方向，他走自己走保险一定要来摆在必修。
[106:32.770] 用了。
[106:34.460] 就把账号给你发了。
[106:36.540] 这抽说可以就行。
[106:39.320] 就答应马。
[106:41.680] 可以发微信的东西都可以，我看看我这个事。
[106:46.650] 你别着急。
[106:50.450] 刷了，
[106:58.440] 最好谈早餐出。
[107:01.340] 了。
[107:02.180] 这个钱是你先把保单撤了说
[107:07.660] 可先付款待签商业险保单，
[107:11.960] 我还得住在过来。
[107:15.190] 我还兼顾一下，所有的都得签商业险保单出的是吧？
[107:19.890] 今天不着交款了，就是我刚才说的了，他说话的。
[107:25.570] 我这人倒了能告诉我什么时候说过。
[107:29.100] 我这贷款单。
[107:30.940] 把教授他说。
[107:32.570] 能够他说道我现在还教书。
[107:36.810] 这款最快的是都慢超过一个月，您先把商业险保单出了，完了再找我。
[107:45.330] 就是说外地2000多块钱是一个月，最慢一个月。
[107:50.140] 之内也。
[107:51.050] 快快研究，有的开始都不到，我现在拿哪个卡现在不修车了，不知道。
[108:01.520] 了，您还没然后。
[108:03.730] 问题。
[108:04.700] 无所谓不管。
[108:06.000] 这边怎么说我。
[108:08.160] 什么号？
[108:10.560] 你没事。
[108:12.480] 更好，真不要职业，李隆。
[108:16.530] 谁知
[108:18.600] 我说的是照明
[108:21.270] 流畅给写个单子的财产搞的。
[108:26.260] 咱前段钱没交了，钱上面对就别了，上市要看起来。
[108:31.730] 在
[108:32.740] 商业险还有外地人。
[108:35.690] 下面。
[108:36.630] 还有。
[108:53.240] 健康汪星人版。
[108:54.910] 原本在你这边，谢谢前三项身份证也在你那这照片。
[109:27.460] 人保
[109:31.980] 比如说。
[109:33.320] 可以。
[109:48.330] 刚才饮羊下面
[109:50.580] 什么地儿付钱那个？
[109:53.080] 你写着了。
[109:54.260] 好
[109:58.230] 你今天早上认证吗？
[109:59.780] 没有复印件，你不用找了拿走。
[110:02.960] 你有复印件明天见。
[110:12.320] 你说完是跟。
[110:13.860] 能说一下他是什么样的一点一点。
[110:16.820] 你先给他问我一会听完了什么，你把电话给。
[110:21.160] 我现在把它发给了，我还没交完了回去算了。
[110:24.220] 来
[110:30.070] 原来是非法的对吧？这是点高感受。
[110:38.630] 申请。
[110:40.300] 这方面是吧说。
[110:42.770] 双方盖章的申请找一下。
[110:46.720] 不能给他。
[110:47.780] 到哪走了，你得带着工商他才能退押金。
[110:53.510] 保险对狗灯已经生成了，你也是一会再说的那边。
[110:59.750] 查一下我等等，他说了在家后来也掉了。
[111:07.470] 下班可以，他在后面看看。
[111:12.430] 这张拍张照要说只要被保险的谁知，
[111:18.260] 你知道吗？
[111:20.200] 吗。
[111:23.280] 那么好了。
[111:29.360] 我发现。
[111:32.640] 行，明天看司机过来，你要不过来的话，那个时候就知道。
[111:38.000] 后来我给。
[111:39.040] 早点了。
[111:40.110] 马上喜欢是不明白的，清楚忙直接加衣服。
[111:46.930] 不用了是吧？对。
[111:48.930] 为我把电话发给了我，让司机来给我打电话。
[111:53.530] 好的了。
[112:19.850] 你好，我在这里都管，我在这里交管
[112:24.830] 就像。
[112:25.970] 能够自己交了。
[112:28.470] 马上
[112:30.920] 最近的闲着谁给你们。
[112:33.720] 完了，
[112:36.910] 谁知
[112:39.230] 谁知
[112:44.450] 什么时候修？
[112:52.210] 对。
[113:02.700] 这是什么怎么考虑的？
[113:05.180] 怎么考虑的？
[113:06.420] 这正是这个是真的吗？
[113:08.870] 没事我知道您这帮我。
[113:10.370] 千。
[113:11.310] 签个字。
[113:12.590] 合同
[113:15.070] 在签订合同很快就让我签字，就是签字分配权益2500。
[113:20.700] 讲课。
[113:22.090] 咱们保期明天到吗？等着我们今天。
[113:27.380] 好吧？
[113:28.650] 他同意。
[113:31.190] 元月份了这个合同好。
[113:37.240] 签证在签一个挣钱这口号的
[113:47.830] 很高明吗？对，有一份需要您签字不用说，完了告诉你签了我不。
[113:53.160] 行了。
[113:54.150] 领导。
[113:55.950] 说一个方向。
[113:57.560] 这对我非常好了。
[114:01.960] 发票给你吗？
[114:03.620] 但我拿来。
[114:04.800] 应该是7月7月16号。
[114:08.500] 对。
[114:12.880] 林枫。
[114:15.100] 过15天以后才能用。
[114:16.760] 对着数据。
[114:18.150] 过两天别着急，安全性就是。
[114:20.210] 手续的。
[114:22.070] 咱们只需要二手车不发票就给你过户以后还有个购票，
[114:27.340] 然后有一个日本的所有页面，
[114:30.160] 把车辆登记证绿本和音量。
[114:33.130] 是我们坐车的，然后把这钱
[114:38.580] 这钱你
[114:40.230] 找我。
[114:41.880] 找我你接却你帮我介绍你电话，你时间行等等，等会我把对直接回来了。
[114:49.710] 二手车行销售统一发票开一个联通发言。
[114:53.020] 这部由谁送给谁了吗？了第二个就是绿本。
[114:57.300] 就清晰点的。
[114:58.480] 行，肯定就是123涉及到这所有界面。
[115:02.170] 形式本身也不用那。
[115:04.880] 北京做完之后把发货以后就还没有推动。
[115:08.930] 明天上午过来，中午发给我，我给您看一下，不行我再开。
[115:15.130] 那些东西都在。
[115:16.440] 行。
[115:18.480] 你找我回家。
[115:21.940] 谢谢。
[115:55.380] 这块一个。
[115:56.740] 号码那个什么呢？
[115:58.560] 年检。
[115:59.430] 什么这方面的实验中学，
[116:05.490] 他说要去办要。
[116:06.920] 完了。
[116:09.070] 对我听后面。
[116:11.630] 影响谁知。
[116:13.680] 平时要是不走了，在一块。
[116:19.640] 然后
[116:21.710] 三个人到随后。
[116:24.590] 你刚刚说4月份。
[116:27.590] 我问一下看能不能现在能开始吗？还有
[116:35.050] 谢谢
[116:37.320] 为什么？
[116:38.890] 谁知
[116:40.350] 我还要问问题，
[116:48.100] 谁知
[116:50.350] 差不多时间
[116:51.990] 说。
[116:53.720] 要
[116:55.010] 谁知。
[116:56.890] 幸福
[116:58.040] 药性差不多。
[116:59.280] 手机号
[117:01.090] 的。
[117:04.250] 在这没有太快。
[117:06.140] 我们那里去了。
[117:15.300] 外地刚
[117:16.300] 我
[117:17.360] 八角就是开始。
[117:24.120] 现在交不交了？
[117:27.660] 12点。
[117:31.340] 6:305:00。
[117:33.810] 晚上大概。
[117:36.620] 可以了。
[117:37.720] 应该可以，所以这过去。
[117:41.030] 不，我就说在上班。
[117:43.470] 今天。
[117:44.860] 然后谁都想做。
[118:18.550] 刚才角度教练
[118:20.390] 都有12人。
[118:22.580] 都这样的。
[118:23.500] 的。
[118:24.890] 你提交谁知
[118:27.240] 刚才讲的。
[118:29.350] 的
[118:32.070] 号
[118:37.530] 我想
[118:56.880] 你们是讲完了吗？
[119:06.120] 对不对？
[119:07.430] 我说。
[119:08.820] 就在这里。
[119:10.030] 对。
[119:11.980] 赢那
[119:13.110] 12点等到9:00 018好了。
[119:29.780] 我找你。
[119:30.810] 他一般有时候歌手
[119:45.590] 跟我们1000左右差不多，然后
[119:50.250] 先这边的话有两个讲解的，一是给你讲解车的功能，
[119:54.890] 好，然后开头梅赛德斯E大概有40分钟到咬成，这样等一下马上就。
[120:00.630] 靓车展示功能，
[120:05.280] 还有面访好多。
[120:07.660] 为什么说1点左右没事。
[120:09.550] 然后第二个我同事给你讲一下。
[120:12.440] 把消耗的保修政策以及我的
[120:15.720] 微信化联保的服务，
[120:17.640] 我把手机放进去，然后
[120:20.390] 我理解了。
[120:21.480] C260130。
[120:24.400] 这周后期主要也是您开吗？
[120:26.620] 对，然后两个内容的话都能拉
[120:31.500] 了，所以说我先给她讲到第二个咱们下来
[120:35.890] 找出
[121:16.430] 因为。
[121:17.670] 谁知
[121:37.560] 因为
[121:44.200] 也
[121:46.720] 会长出来的。
[121:48.680] 销量数据比较高，
[121:50.600] 因为确实时间
[121:52.870] 谁知
[121:53.920] 当时之后
[121:55.360] 张口我看到了，
[121:57.160] 然后我们
[121:58.330] 杨总
[121:59.390] 了。
[122:20.070] 的
[122:23.410] 的
[122:31.080] 坏。
[123:32.590] 在哪儿跳？
[123:36.300] 对。
[123:38.640] 后来。
[127:09.110] 的
[127:10.650] 的
[127:14.210] 数据。
[127:17.720] 数据。
[127:20.480] 数据
[127:22.470] 的
[127:33.000] 五。
[127:38.200] 的
[128:17.170] 的。
[128:36.890] 的。
[128:43.730] 数据。
[128:53.590] 上
[129:14.360] 数据
[129:19.130] 的
[129:35.400] 发票没错。
[129:37.190] 爬上去。
[129:40.450] 没错小张。
[129:42.500] 拜访。
[129:43.530] 完了，
[129:44.600] 只有的。
[129:45.870] 我说的。
[129:49.750] 等还用心向
[129:54.970] 那就起来了。
[130:00.900] 影响相聚还要
[130:05.240] 看看投票情况吗？
[130:08.000] 不多讲。
[130:12.360] 我该怎么办？
[130:13.600] 必须得今天不是不行，现在今天没带。
[130:17.460] 内部发表。
[130:21.950] 必须
[130:25.810] 不能投，
[132:12.960] 也要养肺。
[133:22.770] 讲完了。
[133:23.940] 对了吗？
[133:29.750] 不用。
[133:31.340] 不用。
[133:40.530] 北汽集团、
[133:42.440] 集团
[133:50.170] 说
[133:51.250] 一般都是处理一下的。
[133:54.670] 您是做了。
[133:56.150] 我是大的。
[133:58.460] 您老再聊。
[134:00.810] 而这些东西
[134:12.310] 结婚
[134:13.020] 结果
[134:48.310] 到时间了，
[134:49.110] 一会通过这里边上面
[134:52.530] 走往往对全行，
[135:16.400] 还有帮他带一客户，
[135:19.460] 双方我刚帮那个人，
[135:22.090] 我刚刚
[135:25.430] 庐山是唱歌
[135:28.340] 75分钟。
[135:31.460] 没有，他给我打电话，我给他带三玩去把人家的故事什么样的
[135:36.190] 跟相见这方面的情况，
[135:38.740] 他们不过怎么样？
[135:40.580] 不是我感觉
[135:42.290] 我感觉差不多就定了感觉。
[135:44.380] 那就不算好像还挺久，估计有新闻界对是吧？
[135:51.150] 你看我帮接着帮他接这个能定，那天我帮一个组，就是他
[135:57.940] 我不了解并
[136:00.690] 你决定的这样对吧？不是你的
[136:05.310] 都好看，我昨天晚上跟一个送国家的。
[136:08.400] 他从他们那看是这样对。
[136:11.610] 我发了这样的。
[136:18.030] 好乱，但我
[136:19.830] 也叫助攻。
[136:20.890] 我今儿也住公寓的。
[136:22.760] 我看说进口的他
[136:25.860] 明天堵车。
[136:27.110] 我就跟他说了一句5050咱们
[136:29.850] 这里有
[136:30.720] 综合实力有一条他让我问问第一有没有车，
[136:36.440] 我要订车什么时候能到？
[136:38.140] 人就这样说了。
[136:40.140] 怎么？
[136:41.220] 因为做销售
[136:43.710] 我叫什么我屋里去了，完了我就自己算，
[136:46.590] 他说你放假，
[136:53.810] 虽然价格现在可以
[136:55.470] 到7月份
[136:56.850] 说高于目标，各地1毛6，对我转正了，3号一般现在已经算不错了，以前这家干了。
[137:06.120] 谁知
[137:09.850] 清楚。
[137:10.870] 没有调查如果肯定
[137:14.150] 不在了，他就找到了。
[137:16.450] 原来我爸爸什么
[137:23.510] 跟很多人不差钱，
[137:26.290] 对吧？天地人是
[137:29.710] 你把东西
[137:31.360] 是吧？
[137:33.710] 这个行业的
[137:41.600] 观众全面的王先生您好，刚好。
[137:44.650] 好。
[137:47.040] 远、
[137:54.990] 35669。
[137:57.260] 新车
[137:58.680] 五
[138:01.570] 6735669。
[138:09.570] 假的？
[138:10.810] 有多少钱？
[138:40.890] 你再跟我说。
[138:42.020] 356698. 
[140:11.170] 好，你既然
[140:19.640] 来。
[140:21.160] 都会给你。
[140:22.550] 方便给我拍照片，
[140:25.850] 也不管你好意思
[140:27.180] 偷拍走吧。
[140:29.230] 一会儿开了一张你了，你这不得12:30才能干啥吗？我提前去开着。
[140:35.910] 开始12:00 12:20中心玩玩吃饭了吗？
[140:41.210] 你这么晚
[140:45.460] 可能
[140:49.120] 来郭先生身份证你拿着拍照片，口罩临时盖一下
[140:53.030] 的。
[140:58.850] 是不是？你给他他给您办林场。
[141:01.060] 然后您跟我走，咱们去讲车子功能，
[141:05.880] 在线沟通。
[141:06.660] 要这是什么的保险完了保险应该马上了。
[141:12.190] 王云打电话了吗？
[141:13.440] 好了。
[141:17.010] 行，您跟我来吗？
[141:20.710] 看。
[141:25.550] 没戏。
[141:27.240] 找情况。
[141:28.720] see我都知道有啥毛病怎么回事，
[141:33.820] 但是我觉得不
[141:38.290] 我就觉得够了。
[141:40.420] 你让我咋处，
[141:42.830] 我这还促成。
[141:44.890] 对了。
[141:48.920] 我知道这车
[141:50.520] 有点小毛病。
[141:53.000] 但是我觉得。
[141:54.110] 而且我来的时候这个羊毛我也忘了，
[141:56.810] 我觉得不用。
[141:58.890] 这人。
[142:00.400] 这个算自己人了。
[142:02.160] 也算是自己人。
[142:04.890] 小妹的男士先人是吧？真实。
[142:08.350] 小瑞的同学的男朋友。
[142:16.320] 我觉得他还现在他说我羊毛我知道
[142:20.840] 走了我就
[142:22.280] 我知道咱还不弄应该
[142:24.650] 该问责问责。
[142:26.090] 不可能真的太多了，
[142:28.120] 没什么事了。
[142:29.810] 他把它磨不想，
[142:31.870] 他作风是否
[142:34.030] 优惠的。
[142:36.180] 相当于2000块钱。
[142:37.240] 相当于1000多块钱这东西。
[142:39.630] 1000多块钱做一个
[142:41.420] 贴膜属于小店，
[142:43.920] 他就贴一个鸭子是鸭子的玻璃，
[142:47.080] 这两块
[142:48.340] 这样全部拿给你。
[142:50.360] 了。
[142:51.760] 就这样。
[142:52.990] 你外边做两块模拟在家中手工费，再加上交互相见也得2000多块钱，
[142:58.840] 我给你完了我说1500 1000多块钱你就给办了。
[143:01.810] 只要喝出来的。
[143:03.850] 一张脸
[143:10.380] 花
[143:12.920] 点，
[143:19.250] 的
[143:20.710] 的
[143:33.010] 句。
[143:43.180] 的
[143:45.390] 坏
[143:49.690] 坏。
[143:51.560] 数据
[143:54.610] 数据、
[144:01.230] 花
[144:02.950] 句。
[144:06.000] 远。
[144:11.060] 的
[144:13.560] 场。
[144:15.660] 好
[145:20.320] 谢谢。
[145:46.200] 王三号楼。
[145:47.510] 好了。
[145:48.800] 二
[146:01.360] 即日生效是吧？
[146:03.080] 点20分写的几点？
[146:05.480] 你看一眼是2点还是几点？
[146:08.120] 商业险好像
[146:10.120] 16号2点。
[146:13.670] 2点。
[146:27.040] 抱着
[146:27.820] 看看你就等着20，你这边我待会。
[146:33.510] 好了，你过来了。
[146:36.390] 没完了吗？
[146:38.000] 那时候出了吗？完事没说我听行钢管，就是说那么多玩意都睡。
[146:44.750] 不会了。
[147:01.770] 然后给你
[147:02.990] 开单，我把电话给你，
[147:18.760] 他让我给他寄过去，
[147:20.840] 但是
[147:25.150] 你直接给我。
[147:26.320] 放到你那吧。
[147:28.440] 你帮我留着慢慢开了，主要
[147:31.300] 我要玩大家给你。
[147:34.300] 他得等
[147:35.200] 和今天的彩票下来以后，你给客户
[147:38.800] 还有一个风格，
[147:40.080] 黑板
[147:42.450] 比较
[147:45.370] 小。
[147:47.160] 你要吗？
[147:58.470] 你好。
[147:59.180] 是吧？咱聊会儿好吧？
[148:04.880] 这不忙吗？
[148:07.330] 这一会儿。
[148:08.480] 这一会好。
[148:09.930] 还可以，他们唱歌我这边东西
[148:13.010] 抽空。
[148:15.730] 既然已经了吗？
[148:18.900] 去年
[148:21.430] 能不能到去年10
[148:24.240] 去年8月份
[148:25.860] 画一画，
[148:27.630] 还不到一年。
[149:11.310] 您走。
[149:15.620] 你要两杯咖啡。
[149:17.120] 不用。
[149:18.120] 谁知
[149:25.680] 进来
[149:26.760] 商量一下。
[149:28.700] 我们俩一块的还是
[149:31.710] 希望
[149:33.460] 看看还能在哪再给我们压缩着钱，
[149:37.610] 或者押在你能力范围之内，
[149:40.300] 再给我们找点可能
[149:41.980] 赠送的东西或者出家的那些服务什么的，都是因为你知道吧？
[149:47.850] 因为他们
[149:50.160] 因为我弟弟也没什么，他时间也特别忙，然后我跟不上过来。
[149:55.060] 当时其实就想跟你聊聊，说咱们再
[149:58.240] 什么一点，毕竟你怎么办找谁，我们找你们既然找你买车肯定也是
[150:04.590] 很信任你是吧？
[150:06.510] 希望在这方面
[150:08.120] 咱们都合适，当然我们肯定知道你不可能说
[150:11.580] 不可能的事儿非得让你们什么
[150:14.380] 对吧？
[150:14.770] 看到，但是在这基础上，咱们是不是在这现在有多大一些？
[150:20.350] 还有我们因为
[150:22.470] 我的车不是在这，于是在这是来运，我是在别人家医院，但是就是说我听别的4S店说说
[150:30.720] 你买过奔驰车，如果你拿着票什么的是可以优惠使用金属比较重构，对直系亲属是可以享受到奔驰的服务政策的，需要提供一些规定的，如果是本人的那还好等于事情自己就可以了。如果说比如说
[150:45.740] 比如我母亲或者说我爱人对外，我爱人我们问一下，比如说停战，比如说我们的户口本
[150:53.870] 即系金属就是配偶子女，他只能是直系亲属主要职责，
[151:00.860] 是有的，您在
[151:02.840] 尼尔无敌是吧这种
[151:05.510] 这是你除了岂非也非常清楚，
[151:07.560] 原本很清
[151:09.720] 卖什么东西
[151:11.700] 破解，但是
[151:13.650] 你想想办法不好意思，但是没看点咱别的带电，人家不是就可以体系，
[151:20.990] 都是自信，但是就他说我可以给你想办法给你处理一下不的了。
[151:28.390] 如果你觉得这个是走不通的话，你看看
[151:32.080] 这确实走不了，为什么没事接着前头都是这个形式，我们为什么需要您提供关系证明呢？
[151:38.360] 你说这个东西不是我们给的，是真迟给的，他奔驰我们把您手机抢上去，对申报给他，然后他去选择您所有的材料是否符合。
[151:47.810] 估计是有的。
[151:49.350] 他优惠大概有多少分车型不同的，它要比置换的政策还要好一点点。
[152:01.480] 指标人的直系亲属去郊游。
[152:06.250] 您是
[152:08.140] 110是不是我的意思？
[152:10.860] 您名下有奔驰，而我们现在用的股票人不是您自己
[152:15.660] 跟那个文件肯定对这么
[152:21.310] 你那个车牌子对所有人他肯定是传新车购买的新车，
[152:26.420] 比如说我们跳屏名字身份证号，然后传他的里面对十不是说要是使用这个周期，
[152:34.750] 我就觉得要使用人的话，我就问您使用就完了。
[152:38.460] 对不对？我联系让我这店里就能给您添加联系人，就是你使用。
[152:42.240] 完了您相信那不就都是了，
[152:44.130] 每个客户买都吃，我不用不使用，你看看如果你觉得这个地方这个
[152:49.980] 不了解行不行，估计就这种，这可以理解其他地方对的。
[152:54.900] 还有
[152:56.490] 还有你先那个模式，你们相见的他们的什么呢？
[153:00.820] 背负。
[153:02.350] 好吧，我没有我就不因为咱们有普通
[153:05.420] 有些东西是有可能
[153:06.880] 有好的有背部的，咱们贴着肚子，
[153:09.280] 然后微步这是分成档次后的，不会说就给你贴一点票，墙上都贴，因为香港听着也看出来，它就是透明的。
[153:16.790] 都停。
[153:17.710] 除了新装、
[153:18.780] 全车、
[153:20.680] 因为不它是单独售卖的，跟员工打这种侧，
[153:23.840] 是这样的模式。
[153:26.100] 相对
[153:27.970] 无关。
[153:30.430] 还有什么？
[153:31.560] 还有什么想想再了解的，您问我好不喜欢也好看看。
[153:35.900] 我怕你赠送他一个什么一般四礼包是吧？这里都是贴膜，还有
[153:42.110] 隐藏式行车记录仪。
[153:44.360] 有的地方奔驰的有他不会做那种说像以前我们买那种沾到玻璃那种，
[153:50.150] 太挫了那种，因为还有三根线就没有，
[153:53.080] 都是用手机查看的那种，隐藏着什么就大包围的皮革脚垫。
[153:58.530] 立体开车的包起来的，像您应该也有所
[154:01.340] 然后后备箱垫也是同样的团队。
[154:03.550] 我们看有这个店行车记录仪，我觉得还是有一定
[154:07.680] 还是难过，我不要这店了，
[154:11.110] 我不想要别的不检查了。
[154:15.170] 其他地方就是换成别的，
[154:18.200] 你要换你的姓名，还有发动机护板不能换。
[154:22.430] 因为您这车它不属于越野车，它虽然说空间要比轿车高，旅行车，
[154:28.460] 但是它的底盘跟正常交流差不太多，如果想换的话可以更换发动机的对付款。
[154:34.690] 不管
[154:35.960] 对您可以去公安用户
[154:38.250] 出版，这是永远北京台阶的，原车有速8，不管不是你的车的圆圈，塑料的。
[154:44.490] 这不是您把塑料的换成铝合金呢，
[154:47.420] 然后你比如说有些东西没看到，过去以后冲着喝了，反正没办法可能比人坏了，
[154:54.870] 你可能就得去修了，这还属于的自己人没吗？
[154:58.140] 有些人可能不在质保范围了，油底壳容易把车就直接扣了，这个样子，如果你换一个铝合金是有效防止这种东西，
[155:06.200] 这是安全性的，还有别的吗？
[155:09.410] 基本上开会
[155:11.280] 遇到这种事，然后公路毕竟是
[155:14.530] 或者待过的这车漆的前车的膜，
[155:19.340] 贴膜知道玻璃是车玻璃里面的对不对？
[155:22.830] 外面那层种模式，液体路上的
[155:25.920] 增量防腐和抗氧化，
[155:28.280] 内两位妹妹
[155:32.000] 让你偷别的吗？
[155:33.560] 专列空气杀菌机杀菌就是最近一起
[155:38.320] 有发起的，以前都卖不出，你不如你不如送我几年，众多送我点心。
[155:43.870] 那就是售后配件，我跟你说，我们要是在里面，比如外边买饭点修还在，然后你帮我们多倍，你可以跟他们
[155:53.270] 维修，谁知知识掌握这是两部门了，我不能说我定要点，
[155:58.140] 我可以跟他们说，比如在做保养的时候，您打折什么这是OK的，但是你要说我现在去拿点东西过来，
[156:05.660] 也不是导演对吧？
[156:07.000] 一次保养也不错，像别的人有的送次保养次，我这车现在厂家没有说汇报一下，
[156:15.280] 我们就从你这儿走，老公的话当时挺信任你的，我们好几次我们当时你也知道那情况，我们就要走，
[156:24.720] 我爱人
[156:25.920] 人家也没看，就回家没有半天，
[156:29.160] 人家就又到别的店去看了，
[156:33.760] 咱们就实话实说，
[156:35.930] 一权益
[156:37.480] 7000年
[156:38.790] 全还给我们6次半价，
[156:42.060] 6次半价保养6次是不可能。
[156:45.420] 保险多少钱？
[156:46.770] 是不是已经很忙了？
[156:48.370] 没有，人家给您6次半价保养，就是从云家里你肯定也在那保养，只有这6次保养是肯定类似A版有代码的吗？A保B保他给你二次A保的半价，那是B你在店里坐着原价A版这种对点一点，你这些往往那些多少钱，
[157:07.090] 说完了你还得跟你让你做什么你还得做。
[157:10.560] 是，但是你整体的价格还得
[157:14.050] 保养肯定不合适的，他就是说跟您说了，
[157:18.340] 你可能出现他就怎么样就回去，因为他在
[157:23.040] 他在其他项目可能比如说我看了一下咱们这给我们报价，其实你根本就我说错了，
[157:29.410] 不高对吧？
[157:30.680] 是OK的
[157:32.190] 20分最低的对吧？
[157:34.410] 但是就是说其他的比如说保险什么的加一块之后，
[157:39.310] 可能我不知道你们保险每个细节都是什么，
[157:42.780] 可能他家完了这就没有那么多，
[157:45.440] 额外的话给您算多少钱，最后就是20 231,000。
[157:50.380] 不是您的。
[157:51.980] 车子没有多少钱？
[157:54.060] 20万。
[157:55.960] 9828。
[157:58.720] 睡。
[157:59.600] 您加一下。
[158:01.500] 再看看他多少钱。
[158:03.240] 300。
[158:06.340] 是武汉
[158:11.070] 保险现在什么
[158:13.660] 你计算剩下的就都是对的，我的
[158:19.540] 保险你们这不都是固定的，不固定你自己选的哪些项，还有华夏暗六七千去出的。
[158:29.250] 首次上保险那些D选项吗？
[158:32.420] 地铁项目里面都有的，
[158:34.220] 然后没有什么其他额外的，也都是这样。
[158:37.520] 期间。
[158:38.670] 8000 7000
[158:43.630] 连接上皇上法人还挺便宜，比如说
[158:47.180] 他说我不到700，
[158:49.440] 就是说780，
[158:50.910] 就是说700块钱600张。
[159:04.640] 算了多少钱算给设计。
[159:06.970] 二三妈妈好好算了。
[159:11.680] 23万一209万块钱。
[159:21.310] 保险
[159:23.070] 赠送吗？
[159:25.020] 没有吧？
[159:26.650] 它进行保养，专门送保险是不是？
[159:29.280] 没错，保险购买保险。
[159:31.780] 你这是保险吗？
[159:33.910] 这种变形是不一样，而且。
[159:36.470] 行是这样。
[159:45.150] 活动还是
[159:46.720] 给你。
[159:48.950] 您这边看一下。
[160:00.760] 你看。
[160:01.480] 说刚才您说的
[160:02.980] 二十万零 0 8，购置税18,000也差不多。
[160:06.520] 肯定不到2万。
[160:08.010] 保险7000。
[160:09.730] 他妈
[160:11.020] 全下来。
[160:12.670] 如果这东西肯定不会错。
[160:13.960] 第三
[160:14.960] 83 6100，
[160:18.270] 7对20我估计他
[160:19.900] 说是保险。
[160:20.860] 他肯定还是给我优惠的，绝对是按照保险的部门，
