[00:00.720] 2020年7月16号量与客户高新村建设路，我今天突然自己拿了，
[40:30.950] 搞这种符号，对。
[40:33.960] 这个是组织活动，您点关注就行。
[40:38.290] 咱们同意按照方便留吗？
[40:41.370] 你可以写一下，不留言沟通。
[40:43.580] 客户签字签您本人的女士。
[40:46.510] 先生给您的如果对您的销售都是非常满意的，非常满意评价再给他打对勾就行
[40:52.920] 了，第一次买车是朋友介绍的，还是说车辆做这块？
[40:57.590] 家人或者视听说或者介绍过来的就
[41:01.490] 不算首次手机不行。
[41:06.930] 然后服务公约绝不捆绑销售强制消费横线上签字，明白，出现的都签您本人的名字。
[41:16.910] 对。
[41:21.910] 行，谢谢您的配合，您是咱这边面貌结束，主要是回访的时候接一下电话让跟对吧？您这边说一下。
[41:31.330] 我就说
[41:33.400] 打了这样虚的的是吧？对为什么怎么sp0号今天觉得好长。
[41:40.220] 不知道。
[41:41.310] 他不知道他从哪个打机打了，就这样。
[41:43.780] 但是他的sp好，你
[41:46.100] 跟人家别的都不一样，你看这么一长一溜，这个是新的膜比系统打的，
[41:53.180] 自然
[41:54.200] 特别小的今天
[41:57.560] 7月16了。
[42:00.350] 稍等您我这给点信心签几个字就没事了。
[42:04.540] 您先把我电话存一下，后期用车如果哪有不明白的直接打给我。
[42:08.890] 电话是微信随时加可以139
[42:13.200] 1098
[42:15.700] 6961。
[42:18.230] 3910986901对拖进。
[42:22.490] 谁知对山西简称镜子，
[42:26.620] OK没问题。
[42:31.830] 好。
[42:34.690] 我们过来牵系啥？
[42:37.070] 又卸又上。
[42:40.240] 知道了。
[42:41.360] 单走吧，他们搬了吗？不知道。
[42:46.850] 新车回头您刚开始别开太快，
[42:50.240] 车速咱们不要超120，发动机的转速不要超3000，
[42:54.120] 前1500公里基基本上就是尽量平稳驾驶，加速急刹车，出了1500公里正常用。
[43:00.790] 北京的话游标95号就够了，如果咱们去外地有些小地方油品不好，
[43:06.350] 加的高1.9798的。
[43:09.320] 咱们这个车一会送车间会给您装户本、行车记录仪、脚垫、后备箱件，包括
[43:16.510] 车衣，还有就是没有漆钥匙链，
[43:19.260] 小的燃油添加剂都会给您装房，下回取车直接查一下就可以，只要魔不会反对，
[43:25.950] 模验完车才可以。
[43:28.000] 散根三包这两个元件一会自己带走，不方便就我们搁车里了。
[43:35.190] 他一会会给你角分吗？
[43:37.930] 对，这个是三包的复印件，这签一个名字代表取走了。
[43:42.820] 后期的保修，全市的天气把三包全国联保。
[43:46.810] 这样您签。
[43:49.620] 因为咱们是分期的车，所有的发票、合格证、保险这些东西都不带走，验完车当天回来原件或一次性交接给您，今天回头开车走就是两个要是灵牌加车，
[44:01.640] 这是一个交车的明细的，
[44:03.720] 包括车辆的外观内饰整洁，
[44:06.180] 发票单单都在聊，与这你都管，
[44:09.520] 然后包括保险钥匙两把也给您是了。
[44:12.790] 功能讲完了，如果后期有问题，电话留了随时沟通。
[44:16.880] 三包这本
[44:18.400] 防守测试在车内，
[44:21.280] 保修一会你坐车累。
[44:24.090] 互联是刚才手机的配置高，这是保养，
[44:27.090] 这是保修，这是三包。
[44:29.480] 我也搁车里。
[44:33.320] 对，你都拿下来。
[44:34.750] 不是，这个是当时拿错的。
[44:37.390] 喂的话咱们都是听车，没有备胎，随车工具，
[44:41.410] 三脚架和急救，包括原车三角架也不不对，这个车没有急救包，您画一下它的
[44:47.130] AD交地都没有，
[44:49.240] 然后灭火器车间一会给您装好。
[44:51.830] 注意事项告知您了，救援想着车顶副驾上面MEN键就可以，
[44:57.430] 保养这个车是一年或1万公里做一次来，我先到380。
[45:02.360] 售后的话，如果您离我们这儿近，
[45:05.420] 这个厅走到头右转是
[45:08.080] 来之前如果说想预约的话，就打电话58集团次数，
[45:13.940] 提前一天预约，这样的话
[45:15.920] 会节省你很多时间。
[45:18.210] 这样买方签约情况，
[45:23.770] 这句话
[45:24.860] 本人已充分了解以上所有条款，确认无误，您抄在横线上后边签名就可以。
[45:33.280] 听宋庄。
[45:45.960] 双方你先讲。
[45:47.420] 待会儿我再行。
[45:50.050] 对你先忙好了。
[45:52.150] 38一会我让他先装走就行了。
[45:54.740] 好感谢我就没事了，然后剩下就是您听我们售后服务同事跟您说说售后的事儿，
[46:00.770] 然后待会他这完事你给打个电话，应该没事你可以走了，车这边我就待会给您送装饰了。
[46:07.090] 好，感谢。
[46:08.320] 这车是二手车置换这块朋友的新车。
[46:12.540] 情况新车好了。
[46:14.680] 应该我们牵手的理由身份证。
[46:17.850] 对。
[46:18.580] 您正对也是。
[46:21.080] 没事，一会咱们再问一下梁，你身份证用户留下，
[46:26.020] 从现在开始，您那个车基本上就给我们售后返了，所有手续方面，比如说什么时候交税，什么验车，什么时候回来贴膜，都是良宇跟您对接，
[46:35.350] 然后功能上的一些小问题直接问多多多进就行了，然后我这边负责的后期的
[46:41.410] 房屋以及
[46:43.080] 的一个质疑，
[46:44.240] 也就是说维护维修这台车后期的一个成本，像您这个车从2020年的7月16号开始，开票日起，咱享受的是一个三年的质保，
[46:54.070] 也就是说在质保期内，咱们出现的所有的质量问题，您回来都是由我们奔驰来承担费用，
[47:00.090] 直接都保修了，是这意思，所以说我们在提示咱们同事用车的时候，你但凡觉得哪不对劲，
[47:07.030] 有这种抖动着，
[47:08.780] 一定觉得知道，所以说我要给你着重的说一下这个东西，你就
[47:14.770] 感觉看你的感觉，如果说你今天觉得你开着这个车跟你平常不太一样，
[47:20.650] 那么你就可以问一下我们这都是可以的，因为会出现一种什么情况？
[47:25.040] 第一种情况就是说
[47:26.490] 可能车存在一些问题，但是车主没有发现，
[47:29.870] 其实本身是一个小问题，然后你再继续行驶的时候，有可能会对于它造成一个大型的损伤，这都心疼。
[47:36.750] 因为这是你自己的车对吧？咱开的也不是功夫，这是一方面。第二方面可能会有一些突发的情况出现的时候。
