[00:00.370] 2020年7月22号量与客户刘东东教授录音。
[43:02.360] 我说一下您这车发票，
[43:04.860] 关单商检保险都会在量与这样人车这些东西你就对。
[43:10.450] 然后您帮我先立个字。
[43:12.640] 这签一个。
[43:15.830] 这是一个角是吧？你一般在这我都看不看您好，我们现在新出您看这里这还行。
[43:26.630] 这句话你就帮我写一下，我给您念，本人已充分了解以上所有条款确认无误，
[43:38.750] 这个真是我们看着都费劲，在哪几个在那里看着。
[43:42.360] 什么事情人
[43:44.100] 谁知
[43:45.520] 本人已充分了解
[43:48.640] 以上所有条款，确认无误流产。
[43:52.750] 对理解充分了解以上所有条款就是说
[44:00.480] 条条。
[44:02.480] 先生也适用于这么大的本，对没用还没用诱惑，这车就一个。
[44:08.710] 之前您看到咱家温泉在这买过，在咱这儿买了100了，那一会我再跟您说一点，这两个车的区别就完事了。
[44:19.150] 您记我一个电话，后机动车您要是哪不明白了，您打给我就行。
[44:24.690] 您存。
[44:25.630] 139112。
[44:28.240] 因为确实现在的车跟以前的车又不太一样了。
[44:31.640] 售后是吗？不是功能这一块的，您的我应该记下。
[44:37.040] 我知道。
[44:38.170] 您怎么郭晋
[44:41.070] 属于什么功能讲解，有的说白了跟咱以前说的俗称技术支持差不多，你一起这点您开车过程中，如果晋山西简称晋山西，简称亲戚对吧？
[44:57.890] 对。
[44:58.750] 您存一下电话，我
[45:00.320] 去完了以后电话。
[45:04.530] 对了，
[45:06.510] 谁知
[45:08.450] 不
[45:10.520] 应该。
[45:14.110] 快那个了，好的。
[45:19.270] 不是应该说是增加的东西。
[45:21.990] 等等。
[45:23.390] 是吧？
