[00:00.160] 7月5号几天儿突然觉得。
[52:04.660] 你从找人把这东西一下没带都分泌是吧？
[52:07.540] 我看你那个住多少呢？
[52:09.870] 你家的吗？没有半个小时。
[52:13.850] 他们手里面拍了。
[52:15.550] 还有哪能拍的？
[52:17.750] 开始看看再说我之前我那个车也是各种猜密码买哪买的？
[52:27.100] 没有我那保险。
[52:28.680] 保险不保险可以退，你刚刚。
[52:34.090] 你是非。
[52:36.050] 三。
[52:36.830] 26量。
[52:41.960] 今天哪儿的颜色？
[52:44.510] 确认天麻针对现车是啥，没事什么颜色。
[52:50.080] 新的，外边是什么黑的？
[52:53.550] 就不知道那个号码你真的解决不了，实际上跟豪华差不多。
[52:58.680] 谁知
[53:00.580] 哥们什么基本4点东西，
[53:03.960] 现在时尚要是C我们店都没有这么多折腾，
[53:09.930] 100,102。
[53:12.580] 二二十多一点。
[53:15.310] 让你说这算一下多少钱去看一下。
[53:20.560] 反正这么多公车电费也交了这个功能。
[53:24.160] 多少什么您来的831的新的条目。
[53:30.030] 然后你还不你忙吗？不忙我这客户买完车了，他也能启动，登录不进去了，
[53:37.770] 完了你给他弄了。
[53:39.680] 不就是拿了。
[53:40.720] 不屑地说输入片，然后点点里头不行证据。
[53:50.520] 自个测定片现在都登不进去，
[53:54.030] pm I还没到，出那一块咚咚就登不进去。
[53:58.600] 现在了。
[53:59.820] 谁知
[54:01.160] 所以你们能带多少行李？
[54:05.330] 这要是140，
[54:07.160] 现在重新公布了，
[54:10.610] 有让他重新登录一下，行，好了，你再重新登录了。
[54:17.620] 就不要号码。
[54:19.060] 好吧，加号86你的手机号。
[54:21.240] 第一首也是北京的厕所。
[54:23.430] 不对。
[54:24.520] 不过这不对吗？
[54:28.320] 加号86，别把加号86忘。
[54:31.760] 动感的是家电是吧？
[54:33.680] 动感的家三个
[54:36.550] 三块装饰，其实里外里跟他一样。
[54:39.500] 但动感应该可以去谈，我觉得能停车吗？就3万块钱那可以有车一了。
[54:47.570] 交了3万的3。
[54:49.540] 对。
[54:50.240] 3390车，一应该是36,800，也就一个车一贴膜。
[54:57.610] 加一个。
[55:00.340] 那得问他是一个组合的装你把动产了再写在家。
[55:07.980] 写背面。
[55:09.530] 你再整一张。
[55:12.120] 两个对比多好，行，我再打一个。
[55:16.300] 给他打一个。
[55:16.990] 你别说我这后买下都没带。
[55:24.280] 我这几年了说了不能买钱能给我，
[55:28.130] 能送你一次保养，他安排对象的送到哪里？
[55:34.560] 这个不能随便送了应该是。
[55:39.800] 的。
[55:45.550] 你看几次？
[55:50.340] 一次老客户介绍老姑介绍的。
[55:56.000] 但那个不是
[55:58.920] 这个词走了我知道。
[56:10.090] 你说咱们还去了，
[56:12.440] 这个女孩小姐再见，咱们去看看，要不你了。
[56:18.810] 太远了。
[56:21.350] 我看你也行。
[56:23.390] 他肯定是忽悠了，你看
[56:27.520] 我就打电话干嘛？
[56:29.920] 他说他最大一边了，
[56:36.000] 我说你家不送保险保养装饰啥？
[56:42.700] 他也没问题啥？
[56:44.260] 你看咱应该他也是相当
[56:47.240] 让到店里不再吃了，到店里就不是那回事了，但是他就这样说了。
[56:54.240] 问他多少钱，
[56:57.410] 那密码是啥？
[56:59.300] 大A小A123456123456。
[57:05.880] 五。
[57:08.850] 他们12
[57:12.390] 的
[57:15.670] 你知道聊聊什么呢？
[57:18.240] 我是好吃落实了。
[57:24.330] 还有两
[57:26.660] 家里那俩人就了，稍等一下。
[57:29.820] 有一个加价5万，不是这好像。
[57:33.480] 是不是这个吗？
[57:35.330] 没现车。
[57:39.110] 还有一个小
[57:42.960] 这个好像是加5万元。
[57:45.670] 4。
[57:50.400] 不密码是多少，咱设定大一小一件。
[57:54.570] 有没有？
[57:55.880] 就是die小A是吧？
[57:59.880] 行，我知道了。
[58:02.480] 大鱼小鱼123456，你是不是改过密码？
[58:06.350] 没有。
[58:10.160] 当时注册的是用你的手机号注册的。
[58:17.240] 也登录不了，不是密码改一下一下打击就更了。
[58:21.980] 应该不会有错，你卸载重新登下载了吗？
[58:25.930] 一会儿你这把APP卸，一会我带你去那再重新下载去。
[58:31.410] 您看。
[58:33.040] 肚子没桃木内饰，对，没有桃木方向盘，就是那一点区别，桃木放盘，然后
[58:42.340] 座椅的速食加热套装，就后排那加热套装，
[58:46.180] 脚踏板龙骨柏林之声。
[58:50.160] 还怕了。
[58:52.280] 对。
[58:53.390] 密码是什么？
[58:55.160] 东海就是普通音响，就是普通的，
[58:58.790] 然后当时真的吗100多万推动了，不知道
[59:03.900] 还差上来的。
[59:05.760] 先把钱一下，这边。
[59:07.690] 放复杂了是吧？的拥有就顶配。
[59:11.850] 它多了一个他说是。
[59:14.050] 小梅那底下真的是就跟我。
[59:16.330] 休息一样，你这类似就是你知道他刚开始不下车也吗？
[59:21.330] 说现在奥迪放假降得太厉害了，
[59:26.900] 就可以慢慢商量。
[59:29.160] 收到了。
[59:31.360] 好谢谢。
[59:35.910] 但是我就不上这
[59:38.360] 场
[60:06.720] 压力。
[60:09.670] 明年会更便宜，难听的，他等于是明年再换车，为什么非到现在发生什么呢？
[60:17.730] 花仙子关门了，
[60:20.010] 大口轻了，
[60:21.680] 都二容易让关门了。
[60:24.000] 吗？现在什么过户都是去亚运车。
[60:29.900] 现在过户都是人挺多，没买车的那一块。
[60:38.490] 这个就是官方标价，没有加任何钱，没有那装饰的钱就是购置税，
[60:44.760] 保险上牌的保险的这是合计。
[60:47.980] 这里头再减，对这里头在讲6000块钱有住房补贴，
[60:52.480] 减就真的补贴6000万。
[60:55.890] 百分
[60:59.570] 落地100不到120，
[61:03.890] 不到100万。
[61:12.090] 你把那俩车子配置对比的电脑上有吗？
[61:15.200] 我给你打出来，我这儿有一个总结的，我给打出来在电脑里都没有。
[61:20.470] 看可能打出来了，其实好多功能
[61:23.640] 都要当时买的时候你想的这买好的，但是手机你真不
[61:29.310] 但是他PPT什么的豪华这是吧？不是。
[61:35.340] 但是开起来感觉做起来感觉没有什么特别大差异，就一些。
[61:40.510] 配置上的区别，
[61:43.260] 都有空气悬挂都是尺寸的。
[61:47.570] 你好。
[61:48.540] 你好。
[61:50.950] 那就这么过来了。
[61:53.930] 应该进二手车师傅联系您送身份证了吗？
[61:57.650] 没有人联系您是吗？
[62:02.830] 行我再您车主试驾。
[62:07.040] 时间阿姨您等等去做人。
[62:12.070] 您得等指标更新，护士过完了。
[62:16.030] 不管就等指标了，指标就出来，我就能给您安排后边的事了。
[62:24.980] 那个没有。
[62:27.560] 你等我要去。
[62:31.510] 没事。
[62:33.170] 行阿姨。
[62:41.030] 上证
[62:43.150] 打乱，他要是玩玩豪车的，他总是不敢
[62:47.150] 你叫
[62:48.670] 要去办理这个号了，
[62:50.590] 是吧？你不让说
[62:52.810] 你公关机关的什么多，
[62:56.160] 你就得照顾这个，你不用招了，
[62:58.690] 人家就在
[63:09.420] 咱们
[63:11.190] 有8:30
[63:14.630] 你把牌子打出来，然后咱们看看了看看哪款。
[63:18.760] 他还没法印发，发送，然后看保密文件，
[63:37.180] 不来气。
[63:38.230] 下周六。
[63:39.310] 下周的结算周期
[63:41.990] 0
[63:48.020] 这个哥们要是给个实在价，你们都是。
[63:50.740] 不断这实在我们在这里差不多，关键不知道您想要啥价。
[63:56.190] 您要的价有可能真做不了，这是一个问题。
[64:00.110] 意思。
[64:01.280] 他们
[64:02.820] 谁知
[64:07.590] 我们这个属于你的主课。
[64:09.720] 对，您这属于我们的二次客户了都。
[64:14.820] 北京报价肯定都是我这儿的一个我这权限比较低的。
[64:19.380] 多与少了，最后也往往这一块。
[64:22.550] 弄好了，回头一声令下，我们员工
[64:26.240] 了。
[64:27.660] 车
[64:39.030] 花、
[64:45.800] 远
[64:49.360] 的。
[64:54.350] 坏数据
[65:00.870] 的。
[65:08.750] 的。
[65:10.690] 你那个卸载了吗？
[65:12.560] 现在谢对没关系。
[65:15.660] 有可能这些都是7点，您这边看我大概弄一下他手机那场面。
[65:25.260] 我说谁知
[65:27.360] 他的意思说
[65:29.620] 这个要研究启动了高中OK又加了一个已经启动了，加入什么的也
[65:36.600] 反而用上
[65:41.750] 高的就是最基本的
[65:59.730] 知道，
[66:02.100] 一般的时候
[66:06.080] 看看
[66:08.910] 外观超炫这玩意，
[66:12.860] 好像也没什么东西，现在买药。
[66:18.670] 的
[66:26.230] 前台。
[66:31.240] 移动的。
[66:34.190] 这两边的装备
[66:38.710] 他能出两个或者那边的。
[66:42.590] 我问了没有？
[66:46.390] 要如果你能代表他把钱
[66:48.570] 了，
[66:51.910] 小。
[67:08.330] 的
[67:10.420] 这种东西。
[67:38.790] 网上
[67:42.310] 谁知
[67:46.030] 做
[67:47.140] 手机还在。
[67:49.950] 网站我要做是吗？
[67:56.230] 对，跟我说过手机这我了客户你别说了。
[68:02.930] 你走了干嘛？
[68:09.800] 说
[68:13.750] 接受不了。
[68:15.720] 不是这样。
[68:17.830] 他就展示这台车牌，
[68:21.550] 有很多
[68:24.700] 都是环保
[68:27.900] 的。
[68:29.730] 稀有强大。
[68:31.190] 谢谢三元。
[68:32.760] 我拿了全国国家旅游局
[68:35.590] 看看看到
[68:37.350] 当兵买。
[68:39.510] 到这种。
[68:41.270] 论坛
[68:44.560] 然后
[68:45.910] 个
[68:50.360] 豪华的一个概念。
[68:52.350] 要动的话，
[68:54.930] 这样
[68:55.930] 然后这样的所有社会资本当年的学生
[68:59.410] 下面有我们了
[69:01.690] 坏数据
[69:03.480] 的
[69:05.170] 数据
[69:07.820] 场
[69:08.800] 了。
[69:12.670] 大概多少？
[69:16.290] 几分钟？
[69:17.830] 几分钟？
[69:18.980] 多长时间？
[69:21.820] 40万。
[69:26.630] 场
[69:28.290] 的
[69:29.450] 数据差不多。
[69:34.370] 考虑
[69:35.270] 的
[69:39.880] 号。
[70:45.120] 手机。
[70:46.790] 这个都是四驱，对都是4G全食。
[70:52.480] 全是，而且这个运动有几个模式？
[70:56.020] 它是这样，它是四驱，前后无级分配的。
[71:00.580] 他如果说您正尝试去用，
[71:03.160] 您没用到通风能力，基本上以后期为主，从哪
[71:07.940] 后面站的气动力大，
[71:10.560] 然后脱困了，比如说您左边轮先困了，左边时候不给出压力，全给右边了，这司机10分是最好了已经。
[71:18.030] 他这个游戏有一个插座主要有差错，所但不像奥迪那种，奥迪现在也没有托森插足锁了，有的电控
[71:29.050] 现在都是电控，四驱不是传统。
[71:32.640] 查出所只有大忌，就是。
[71:35.030] 那是传统四驱，
[71:38.350] 这种下雨正常脱困能力没有问题，
[71:41.050] 这司机已经很厉害了，在电控里头已经属于比较厉害
[71:47.970] 了。
[71:49.800] 其实这些配置上没有要求，
[71:53.400] 反而差了多少？20多万820。
[71:58.620] 25元用脑子有现车吗？现在有也。
[72:04.230] 非说棕内饰。
[72:06.860] 对，我看生产队也2月份生产了。
[72:11.480] 合适的。
[72:13.340] 我们东西的话咱们是一个
[72:21.550] 到时候像这种出厂到时候
[72:24.580] 再换车的话，
[72:26.000] 上台了，反正
[72:27.960] 在换车按行车本上要选择
[72:30.900] 市场的带着没关系，还是以上牌为生他们自己行驶证。
[72:37.480] 哪怕你说是19年1月份生产了，你20年1月就可以按年算2498，
[72:45.540] 白车咱们这有一辆，而且还是公里，而不是你要确定买这两个那也没问题。
[72:53.770] 您看您的车用多长时间就要换，我就不多，我觉得也就6年6年你就满标配的就行，因为你
[73:02.070] 二手车的交易不分高低，
[73:04.880] 折旧的钱都会弄到这么多，他也都按标配价格来给你们算是。
[73:11.120] 你运动外边店长这根本没什么错。
[73:15.040] 他前保险杠后保险杠有一些老刘口。
[73:20.940] 设计。
[73:21.960] 其他没有不会。
[73:24.540] 主要之前的有哪个值钱？
[73:27.010] 到现在里边还比较少的地方，
[73:29.550] 柏林职场前几头多不到那之前，然后6%百分，
[73:36.000] 咱们这旁边都是重金属，之前加入和之前
[73:42.270] 暂时辅助，逐渐他车道保持买快乐都有了，
[73:48.600] 你低配的重点的连连得到车道保持，没有并线辅助也
[73:54.780] 不到保存，
[73:56.430] 车道保持大便搞这么差劲，我都关着。
[74:00.250] 就像这些原车标配这些东西都不能了，像你开车老不打转向的，他不必计较，
[74:07.290] 一大早上就了，
[74:10.170] 反正然后预算没有问题，肯定买高配好点，这东西肯定高了，但是
[74:15.280] 完了你换车你报废没法选，我不敢想象。
[74:19.510] 30了。
[74:21.030] 然后在定制没这样，比如。
[74:24.140] 以家前排空调对着腾空是吗？
[74:27.630] 水平专业。
[74:28.600] 你比如说低配的全能选上吗？家庄那也是个性化订制，也从商家那啥也干不了，我们店不改线路，
[74:37.270] 你贴个门什么，我们店跟你说你改线路吗？比如说咱家心想这么个也来不了，你想能改，
[74:43.190] 你想能改，因为音响都是街头的影响，其实就是我们店里赶。
[74:47.840] 您不是去个人垫去那种专业的音响的电气，
[74:52.350] 因为他调音怎么地那是专业的，
[74:56.230] 要不要？所以块香皂的全部。
[74:59.360] 对，其实你享有自由发展改不行，也没表达怀念的
[75:06.200] 别的方法。
[75:07.280] 清楚，只能感觉啥
[75:09.900] 比较
[75:10.990] 哪个只能感觉是什么样，智能感应助理就是老道错了，时间到了都会提醒你跑了44个小时，但是提醒你该休息了。
[75:19.680] 这些
[75:20.820] 该歇会了，事后我给你找一个附近的服务区。
[75:24.060] 主要。
[75:25.830] 的
[75:30.960] 之前刚你标那几样东西要不行？
[75:37.870] 一个200点在3.0
[75:40.550] 一样。
[75:43.300] 一般我们进车进的多，买这个人多，
[75:48.500] 远在因为有的时候它带很多功能，不一定您都用。
[75:54.350] 弄完了是吗？要求等一会，反正那天晚上不敢上，像吗？
[76:03.480] 晚上这么多，最后咱俩先聊他这个人机这一块，人机交互。
[76:10.880] 人机交互这也有，只不过他有一个实景商业导航，
[76:14.800] 比如导航直接在瓶里就显示以前忙碌什么样了，还是你前面路什么样的什么实景的，有一上东西录着像
[76:24.770] 左转这里头有个箭头让你调整了，就这样
[76:27.640] 的。
[76:31.320] 从我们知道吧干什么都着急，我跟他聊天。
[76:34.520] 我觉得。
[76:40.030] 我觉得应该
[76:41.370] 进来的，咱就可能不再把这种车个人建议怎么说，早定早买早流，是因为这种车少，我们现在新车
[76:50.560] 跑去我们同事已经标了一台车了，那可能就剩一台说了就标配了，包括你高配也深度公司称听说了，
[76:57.550] 本来就是反抽的少少。
[76:59.670] 对。
[77:00.700] 到时候哭了，这四五十来他不会加钱了，他平时注意加强。
[77:05.090] 出手，像咱们在
[77:14.060] 这样就坐在旁边，
[77:16.390] 他就在前台做一门吹风，
[77:20.630] 知道吧？以后刚刚发的消息咱这聊着加强了。
[77:28.280] 而且就刚才说不加强。
[77:33.170] 豪华加装了。
[77:34.940] 说
[77:44.160] 说这个车不要往后等着嫁个月，
[77:50.620] 怎么着。
[77:51.590] 不要往后等，越往后越不合适。
[77:54.640] 车少了价格就了。
[77:57.050] 你说。
[77:58.160] 稍微快一点是吧那种。
[78:02.960] 行，我给您按您好一下里边给他。
[78:06.640] 明天看看对我们刚才讲
[78:10.250] 具体咱们因为谁知没有我之前海龙他的生活中的
[78:18.280] 不也行，好了没事我就好了，要求还是我上午看了半天，儿子怎么了，这边他不见得
[78:29.790] 什么东西了，刚像司机得负压式的那种，
[78:34.820] 前段时间输了一段夜好点了，然后复查就没时间去了，就扔了几天，昨天晚上就不行了。
[78:41.390] 你布谷鸟在里边叫回来了，我俩顶着就跟
[78:44.800] 下飞机那副牙是吧？就这块。
[78:47.460] 后来是什么什么炎症还是什么？
[78:51.770] 他说什么循环都有。
[78:53.200] 学完了那也不用，如果你就全跑到的地方，
[78:57.780] 中国人一这样的，
[79:01.360] 但是发行中就多也会包括多还是说什么，
[79:06.830] 也不能说行不装箱挺烦死了。
[79:11.880] 昨天
[79:13.230] 咱们楼下不拆，楼那边下雨都一堆烂路来一个白的打借条，
[79:20.150] 卡到了底下都要在老过瘾了，
[79:24.100] 就黑了孩子，
[79:26.750] 老过瘾来了到了我一看我的车子，我都不知道肯定的
[79:34.690] 三给出嫁了吗？
[79:39.890] 把查的价格全部我了，等我还给哥哥看这车，咱现在聊都不知道怎么聊了，刚群里发的现在一位家3万。
[79:49.260] 他们低配加几万都拿出来了，这里边不看着我走，我们还不知道这咋聊，我们都把这个钱都听得很，我刚刚也跟我看完，我说咱这还咱们现在家中是的，现在加2万现金了，这高配加3万了。
[80:06.900] 消费的财政高配
[80:09.920] 就睡了。
[80:11.240] 我跟你说我们俩心态也的买就买看都买好的，就为什么买了？
[80:16.070] 这边买完了靠边站就别算了，也没啥说就算了，30来年再说。
[80:21.060] 还想了120万都花了，还差点儿是吧？不是说
[80:26.090] 那谁放我这你就错了。
[80:29.160] 没有保险。
[80:30.040] 没事，这车看着确实比三方的还有。
[80:36.220] 还有脚踏板，他这没写。
[80:38.910] 下午3:30了，
[80:40.700] 他就表白了，连高配的
[80:45.120] 怎么就把这俩闺女这边是吧？这群里刚说啥？
[80:51.920] 这周肯定得加。
[80:53.370] 谁知钱聊了，是这周肯定得加，钱都不可能说一分不加的是吧？
[80:58.750] 他让你去问他不知道怎么办了。
[81:01.500] 他走了我们等一会吗？
[81:05.290] 今儿事先给定下来还是什么？
[81:07.970] 拿着了解就定了。
[81:10.820] 您了解吗？真没错，咱说话我真的他就这套路，你说这都是一样真没戏，我这就是给您算了，拿到了，反正我们去查新那边知道。
[81:26.330] 这摇篮。
[81:29.340] 没什么对。
[81:31.560] 或者您个人建议也在转一下，先看他那家什么行情，要不您真是没转过，咱刚聊其实并不好。
[81:39.260] 您这个车我了解这市场多维RNN，
[81:45.780] 咱们就是说和别处差了3万2万的肯定得找你做，是这么回事儿，说你整个时代。
[81:51.560] 完了整我们也不愿意。
[81:53.500] 人家二战形状。
[81:54.770] 了才能转转。
[81:57.270] 给自己找我觉得这你都看完了看来。
[82:01.920] 差的帮助吃亏。
[82:04.870] 谁知
[82:07.300] 赶紧行动。
[82:11.480] 不用找他也没啥了在。
[82:17.030] 对，你那时候还在做，没法做生意。
[82:20.530] 等一会儿。
[82:23.190] 现在
[83:07.750] 起来。
[83:48.710] 又下雨了，
[83:57.520] 希望上班。
[84:02.040] 希望你不要我先给您送手续，您在什么位置我给您拿手续去。
[84:11.410] 他不能走，考虑客户还没走。
[84:14.040] 弄丢了。
[84:18.490] 了。
[84:19.350] 谁知
[84:25.000] 我一定要买一些
[84:28.440] 的更短的那种，对。
[84:32.760] 我觉得那都可以。
[84:34.540] 跟一点一点，他也要跟
[84:40.290] 我就觉得其实不那什么，它不磨脚，也不那种难受针对，但他毕竟有一个坡度的，
[84:48.860] 我那个也挺舒服的，但是还要水源滔滔。
[84:54.600] 有什么能帮您吗？
[84:56.150] 还需要给您安排销售，目前要想。
[85:02.950] 您还记得他讲没事，您说一下您电话，我给您查一下，137001370
[85:11.720] 105387。
[85:14.300] 1387女士您贵姓？姓周？
[85:18.070] 今天想看哪款车？
[85:20.210] 这边停车现在怎么样？
[85:23.300] 想看一个mg SUV是吧？我给您查一下，如果销售
[85:29.760] 在忙或者他不在的话，就给您重新安排一下，您先上楼看看车，你先看车人有点多，可能会稍微等几分钟，
[86:01.850] 画出了一个身体。
[86:03.830] 然后我想知道他能找出来吗？
[86:12.470] 其实我感觉有
[86:14.550] 这43个角那啥方块，
[86:19.220] 有可能
[86:24.170] 我想把它画完，扫一扫，看能扫出啥来。
[86:28.620] 我觉得
[86:31.110] 挺好。
[87:05.710] 真的我觉得白痴快递特别的
[87:09.860] 我感觉用它就好一点。
[87:13.150] 这就是真的
[87:16.000] 跟白白是吧，其实觉得特别反感，就没有好的感觉。
[87:23.680] 原来是特别烦申通，
[87:26.920] 因为我原来在那边住的是我住另一个地方，山东是每次都给我打电话，直接放快递贵州，我还得跑到后边去
[87:34.830] 银行
[87:37.580] 就大睡到
[87:40.010] 要有点我都要
[87:43.230] 非常时候可以时间。
[87:45.240] 但是现在能不能是你得过去看一下，要是不在这挺好。
[87:54.270] 你们好。
[88:08.720] 然后搬到那边是山东，
[88:11.550] 人家都是6点走或者7点走，他非要早点走，他早点走，然后不过它在6点之前，然后45我就不在了，
[88:20.070] 他去快递过去快递，但是因为打电话就不接你知道吗？
[88:26.920] 比如说我快到了，然后我给你打电话，你不接就你给我发快递过来，我就等等不到消息，
[88:33.900] 疯狂给他打电话，然后中午了，结果他就在旁边
[88:38.070] 买。
[88:39.610] 然后我后来申通人换了一个人，这个人还挺好的。
[88:45.520] 对那就行，因为有的时候真的跟快递员有很大关系，
[88:51.150] 差不多一个人就悔了他一个品牌。
[88:54.520] 还没到这个年里边还是可以了。
[88:57.790] 完了
[88:59.010] 从来没什么，我觉得他们很快的收着。
[89:03.650] 我们现在都顺丰和中通去一家，然后当时他们之后也特别的难，
[89:09.310] 每次取快递，
[89:12.190] 月
[89:17.320] 这边有一大堆各种牌子的快递都在，
[89:20.820] 然后人家这没有一个排毒，然后这边就先通过顺丰，然后就排了，跟你说该拐弯了是吧？
[89:28.340] 真好。
[89:30.580] 说我们去找一个快递，
[89:33.240] 至少5分钟。
[89:43.800] 刚刚张哥
[89:45.290] 给您叫一下，您稍等。
[89:47.720] 张国良客户
[89:53.440] 您在水稍坐一会，他收到了。
[89:56.430] 了对。
[90:00.270] 昨天
[90:06.730] 你稍等。
[90:21.020] 一开始中东还是这样，周六日
[90:23.550] 不派送，
[90:24.910] 只有周一没有不太清楚的吗？比如说你周五看到你快递应该快到了，但是让我们送，
[90:32.640] 那么你就只能等周了，周六日他是不会给你送的。
[90:36.360] 我想听等不及了，我就想起来那块地点，我说字数我好多次。
[90:41.670] 您好，有什么能帮您吗？
[90:44.580] 选择您安排小说的介绍一下。
[90:48.880] 您先看一下车需要您再叫我。
[90:56.530] 那条。
[91:12.740] 我在这等着。
[91:14.360] 你带了点帽子，不是。
[91:38.630] 那是0的话。
[92:16.000] 估计您应该能进来。
[92:27.590] 当时一开始
[92:32.880] 你怎么舍得B
[92:35.190] 我上有时候那才37点。
[92:37.720] 没有感觉跟你说过有点冷，完了。
[92:42.250] 我老婆了，我知道你想我已经了。
[92:46.960] 手机我没结束支架，我站点5.7，你可能也不热，
[92:55.920] 你也不用
[92:58.520] 今天较量，
[92:59.870] 把这两毛的
[93:02.870] 到了
[93:04.960] 这枪不要怪，
[93:08.690] 像
[93:10.160] 先把空调调到了16。
[93:12.890] 对，这点这还挺的。
[93:16.170] 我觉得
[93:18.500] 空调就是10留住人，
[93:21.360] 不能再高了。
[93:27.280] 可能
[93:29.020] 13还在22 602，对。
[93:33.480] 您好先生，有什么能帮您领先给您安排销售可以？
[93:39.230] 你们还小行，谢谢，然后
[93:45.720] 先生您
[93:51.250] 您稍等会儿。
[93:56.660] 电话
[94:04.840] 是这样的。
[94:20.680] 我希望一会儿
[94:21.440] 我们讲起让你帮我打印，我还好这边
[94:25.960] 我也想发展的影响前景，看来你说的
[94:41.360] 您现在怎么？
[94:42.540] 应该没有。
[94:56.410] 你就考虑
[95:00.190] 我现在没有想法。
[95:03.760] 给您登记一个联系。
[95:06.430] 真好。
[95:09.400] 需要给您安排销售，
[95:12.520] 但是
[95:13.590] 没有签约没关系，您说一下您电话152。
[95:17.800] 1520707
[95:20.680] 0711631683，先生贵姓？
[95:25.640] 你们生活
[95:26.950] 有具体想了解哪一块吗？
[95:29.430] 我觉得您二位先看看车，cd展车在楼上一边看车人有点多，可能会稍微等几分钟，稍后会跟您联系，打电话这会打电话给您，在二楼您从这边可以上楼。
[95:52.270] 您好女士，有什么能帮您
[95:54.640] 销售？我想问问这块，我先给您做个登记，因为暂时没有目前销售了，稍后有销售会跟您联系，您贵姓女士？谢谢。
[96:02.650] 李女士留一个联系方式，1391391111703。
[96:08.680] 7032 96。
[96:11.130] 想看一下一对。
[96:14.760] 之前有销售接待过您吗？没有，我今天因为我们家这边近觉得行，您先看看车里边克楼上也有一个展车，您先看车有点多，可能会稍微一点帮忙开一下交费63今天看车人比较多，可能会等一段时间，稍后销售会跟他们理解的。
[96:30.830] 现在这边在排队大概赔了三四位，然后排队的话可能会有20来分钟。
[96:42.080] 还要点名
[96:43.690] 时候，
[96:44.710] 124193号要开一下，
[96:47.560] 只要C63。
[96:50.630] 挺好的。
[96:52.090] 您是说需要安排销售，那就是您好接电话。
[96:58.130] 你看到了。
[97:19.560] 然后帮我拍一下1363。
[97:22.000] 我在
[97:23.380] 开了。
[97:25.690] 张国良过来了吗？客户在等你。
[97:35.930] 张国良收到吗？张国。
[97:40.350] 完了哥你过来了吗？客户在等你。
[97:43.950] 不是郭先生吗？
[97:46.350] 好的回来。
[97:48.160] 现在你还是帮我开一下，刚才不是说还有俩，一个是分配，这是刘三。
[97:55.920] 稍等。
[97:58.190] 行。
[97:59.910] 好了吗？
[98:01.290] 了。
[98:03.040] 你看完所有的车让我给你说一下，
[98:30.770] 你会有消耗吗？
[98:32.280] 我可以给您安排一下，需要。
[98:36.580] 三对，需要等先给您做个登记，一会有朋友销售电话联系您，然后先撞上去。
[98:42.130] 好的，说些您登记吗？好没事。
[98:47.640] 没事你放心，今天昨天一直
[98:50.580] 到点了。
[98:56.130] 你好。
[98:58.860] 刚刚太难了。
[99:01.580] 他这么
[99:02.640] 快我都不知道他跟哪。
[99:04.880] 我觉得那边楼有80头。
[99:06.980] 他在
[99:08.040] 张真理
[99:09.050] 旁边那种。
[99:10.810] 然后干嘛？
[99:12.520] 他就在那儿。
[99:14.170] 那
[99:15.590] 但是大客户的办公室他可能也要负责的东西很多，比如说像
[99:21.770] 原来
[99:23.540] 医院的那个人什么大客户都给他过来，他一个人这边有一个喝茶，
[99:30.850] 这边是喝茶的，往里边还有一种
[99:34.850] 头发很长。
[99:38.230] 原来化工玻璃两个了，
[99:40.470] 然后才有机会知道这种。
[99:43.190] 然后现在只有她一个人吗？
[99:46.540] 好，可能他是忙不过来，但是
[99:49.710] 你先跟客户打个招呼，你跟他要不然我一直问我我也说烦，而且长大后我感觉
[99:55.950] 也不能说都是极差，
[99:58.460] 反正也他都让人想刺激你。
[100:01.320] 等会过来问。
[100:15.460] 现在热吗？
[100:19.480] 不想能不能让我跟你说。
[100:21.950] 没问题。
[100:25.740] 只要叫你接客户你就来一定的。
[100:29.390] 我也知道这个道理。
[100:34.210] 能不能放点准的，
[100:37.520] 我要能看见他哪个转不准的，我就不给他安排了。
[100:42.520] 有个12153规模忘了。
[100:46.360] 你说
[100:47.760] 买。
