[00:07.400] 差不多。
[41:25.360] 我怎么知道，你看有些男的老的西瓜给大家介绍过，吃了好多了，十八五六百八十，我们这好玩的卖大气一天卖俩，
[41:35.750] 第一个是卖演小品的叫张巧嘴的，
[41:40.660] 我真的喜欢张小凡，
[41:44.550] 一辆车俩人在一块，
[41:47.050] 第一个大气卖他了，然后他本人漂亮特别瘦，对小这也这么搞笑吗？
[41:53.870] 没有，价格特别贫。
[41:56.830] 好了，还想跟他一起来的吗？不是，我是在北京车展不知道搁哪了。
[42:02.590] 当时特别逗，
[42:03.860] 有好玩的，因为在北京车展的话，奔驰的话可能有将近100个销售
[42:09.390] 在这卖车，
[42:10.340] 然后我就呆着没事干遛弯了，我实在懒得接客户，那时候杀或者事后老特别吵，说话还特别大声，瞎溜达溜溜溜溜。
[42:20.470] 然后一男的问我说大G说要定一个多少时间，
[42:24.550] 一年两天打电话，然后那女的问我说大气长什么样？
[42:30.430] 楼上我赶车，
[42:32.290] 我说这女的面熟，呵呵张伟，但你回头一看，
[42:38.210] 这一泡妞一蘑菇头戴一口罩，这不贾玲吗？
[42:43.710] 我都弄了上楼了，
[42:45.450] 然后之后碰过无数人，
[42:48.000] 然后找到他们了，销售可能也不认识他们，
[42:50.980] 因为我们每个人负责一个车，
[42:53.430] 我说爱怎么着就打气。
[42:55.430] 然后后来贾玲说有事了吗？
[42:58.320] 说你都胖成这样了，你还吃，我说有吗？
[43:02.320] 我要帮她咖啡厅坐一下奔驰，那时候展厅里面有咖啡厅，
[43:06.040] 然后给他要点吃的，然后要点水，他这一吃胃在口罩，然后让人给认出来了。
[43:11.560] 我说要不然咱楼下裁量是吧？
[43:14.650] 然后就去咱们那个地方了。
[43:16.690] 然后就聊他也是逗贫贫，然后后来张伟说那就定吗？
[43:23.040] 你怎么付？
[43:25.000] 我说微信吗？然后后来检查就了，
[43:28.670] 把零头都有点，你看你加了微信说你他
[43:33.680] 要泡得赶紧的，
[43:35.640] 特别逗，然后我说
[43:40.270] 最后都完事了，然后我说交付买车位贷款，
[43:44.120] 不会微信，没想人家0块钱的事情就特别帅，小心的，
[43:50.250] 特别熟，然后卖第二个大忌，我还卖过谁？
[43:55.270] 隆隆现在行了。
[44:00.480] 这边的是吧？这也是我卖的是吗？他买大鸡排，他们怎么都喜欢大致三专场，刘能特别好玩，都喜欢不能满北京城就找黑色的大旗，
[44:12.010] 然后转到这儿来了，做完这后来
[44:15.640] 后来他们说刘能来了，我说哪
[44:18.920] 又冲过去了，然后没有吃，后来我们经理说后来去了过来接客户了，我说你接
[44:25.930] 我说那就接，
[44:27.510] 然后看黑的我没黑，
[44:29.740] 我只有蓝的，然后
[44:33.150] 说你们这有说有。
[44:35.240] 我室友昨卖了，确实是昨天骂了。
[44:40.020] 怎么办？然后你打电话问别的店吗？
[44:43.760] 然后他说我就给他联系别的店销售有没有黑色，
[44:47.110] 然后他直接打，
[44:48.710] 然后他还问别人说你看我别的电话问有没有？
[44:51.940] 他本人说话也那样吗？不接吧见了是吧？
[44:56.210] 好吧，也正常起来也挺正常的，挺好的特别好，然后我办手续，
[45:02.890] 她自己跟着练练写字，
[45:05.690] 练写字，
[45:07.690] 然后没黑的。
[45:10.950] 然后后来你听我说特别逗，我说大哥我说王哥他姓胡叫王小丽，
[45:17.080] 我说王哥我说好，哪个电子销售像我傻时是的，
[45:22.400] 还给你问别的销售有没有黑的我自己找，
[45:26.790] 我要不然这么着，有一篮子我看过去跟机场差不多，深蓝场，
[45:33.020] 我说行，那看看去，
[45:34.980] 我开一车试驾车去租房子看看，
[45:37.730] 正好那车还特别给力，刚来了，
[45:40.360] 还照着大白照，
[45:42.420] 我就给他他一点，我看就这傻子I好看，对是那种类似宝蓝，
[45:48.870] 深蓝的不是保量。
[45:50.700] 深蓝而且好看。
[45:52.380] 说行，
[45:53.220] 说我要这车，我下午几点能走？
[45:55.990] 我说你是要回沈阳吗？说？
[45:58.400] 我说下午3点之前让你走，
[46:00.590] 说行，待会我给我媳妇打电话，咱们来这么拽，然后后来就办手续了，然后中午了吗？我看他给他媳妇发微信，
[46:08.350] 他媳妇说说你们
[46:10.320] 让销售的什么，
[46:12.100] 可能你们俩订点吃的，你别去什么食堂吃，你哪也不认识，
[46:17.170] 明儿一人也都找吃了，我中午饭点了，
[46:21.220] 再说你找我，然后我说了，我说王哥我说你也别去食堂吃了，我说你让人认出来不好，就知道办手续就老过来照相的。
[46:30.520] 是。
[46:32.090] 我说你就咱俩订点吃的，
[46:34.630] 我说吃什么？
[46:36.530] 他说弄点饭常州
[46:38.710] 什么周望查收，查实下周就是动作不能多弄点包子。
[46:46.110] 对野花。
[46:47.260] 坐在办公桌弄点包子。
[46:49.580] 然后我们俩定的什么？
[46:50.810] 清风中午吃的，我们俩吃的包包包挺好玩，的时候我请客，
[46:56.990] 行了，就一个包子瞎逗，最后临走了
[47:02.310] 都办完手续了，他媳妇不也是演员吗？对，他媳妇是不是那里边？
[47:08.360] 现在就他有他的理他，
[47:11.690] 然后一来他说黑老大，
[47:14.040] 说这车好看，说你终于干了跟实事带儿子来的死。
[47:20.260] 她儿子不大，儿子不是很大的，他演过四训，
[47:24.080] 晓得二小子10多岁。
[47:26.960] 3
[47:28.740] 挺好玩的，然后最后领导说我说那我怎么办呢？
[47:31.850] 咱俩照一相，他们必须
[47:36.540] 还有经典的都给您奉献出来，太漂亮。
[47:40.280] 没事，我们俩没人来视频，妈的钱他与他语音视频的话说什么赠送的活动，他不他
[47:48.870] 他可能就是不会使他问问我说没事你以后你就给我那什么发微信。
[47:55.100] 过年的时候还没给发了，他们这样的客户，比如
[47:58.850] 说
[47:59.540] 会隔多久再置换吗？他们会是奔驰忠实的用户。
[48:05.730] 算了对，如果像其实我们做过奔驰的调研，就是如果一个客户选购了奔驰，
[48:12.150] 他第二说一定还会不会
[48:14.840] 对，但是如果这样的话，一般情况下
[48:18.610] 他们会隔多久还做的话是怎样？1年5年，因为他们毕竟买了车可能跟酷也更高端，没必要常换。
[48:27.590] 爸妈谈谈不是听听就可以再把它打了，他还换他，那可能款杂志没有，其实像他真的奔驰做过这种调研，如果一个客户去选择宝马的话，他第二辆车一定会是个奔驰，
[48:43.340] 为什么？
[48:44.820] 对吧？但是如果要是奔驰的用户的话，很少说第二个公司选择宝马，奥迪是更多钱的，如果说奔驰变动奥迪，
[48:55.230] 除非他往更高端的，一般知道他觉得比现在开上奔驰的话，如果你在婚姻话题或者降级，
[49:02.160] 对奥迪A8才也没多少钱。
[49:05.190] 没有奥迪端庄的就是要选了奔驰，选了奔驰的话，以后可能会有长期的做分析，但是如果更高端的时候选择保时捷，
[49:14.870] 就这样。
[49:16.780] 不会再往下选。
[49:18.480] 基本上就这样
[49:21.760] 了。
[49:30.560] 考虑考虑咱就当聊天吗？
[49:35.350] 人不了，上次我们4月份去的时候在
[49:39.090] 龙南南三环南昌玩得遇行人强的那种。
[49:43.890] 那里边人
[49:45.600] 一行那会还严重的人比现在密度越大，
[49:52.610] 多，你要上礼拜这礼拜可能就不知道为什么，反正上班人身人海，
[49:58.780] 我看人我脑袋疼，我真的不想说话，就是我们人都会有谁知么。
[50:05.940] 今儿一天我实在没事没事，我真不累。
[50:09.780] 不耽误您的。
[50:16.360] 二
[50:19.320] 一
[50:21.600] 100公里。
[50:22.960] 您让在这找我，咱哥三嫂这都没关系。
[50:28.490] 没有。
[50:29.920] 是的。
[50:32.600] 好了没事。
[50:41.150] 每天从早上说到晚上肯定特别人也特别乏特别累。
[50:45.800] 对，你知道真不累，没事咱
[50:48.160] 完了。
[50:49.690] 你要以前的达人北京你就北京吗长得特别像，我小姨都太
[50:56.630] 了缘眼缘人胖乎乎的眼睛小，原来孙更不是那是胖你收，你们看我以前没那么胖，
[51:06.990] 这种阳奔驰太累了，爸爸贩卖太多，其实真的太累了，卖掉卖完后一直吃一顿烟，我是吗？你别听
[51:15.620] 北京迈迈巴赫买大气觉得怎么了？不会，其实我跟卖一个交B他的需求是一样的，
[51:21.590] 是吧？我们是按数算的，不是按你卖出的金额算，那算了你也就是你销售额里面，你最终
[51:29.490] 也没有在我眼里边他就是一车，但是钱是一样，
[51:35.090] 当然对待可能像他们的用户来说就比较麻烦，
[51:40.330] 否则是
[51:42.800] 然后有的
[51:44.220] 死了就没事。
[51:45.520] 但他们有个不可能了。
[51:47.670] 有时候我们也不让他打车，
[51:50.450] 真的要加强维护的这种，他们是太多一点都不满意也不行。
[51:58.280] 对，他觉得他花本来他们平时接受的，稍后另外一销售卖一些拉客，
[52:06.340] 然后我们另外一个销售迈巴赫，他
[52:09.110] 然后俩女孩过来提车了，
[52:11.360] 他还不是掏钱，
[52:13.600] 人家过来帮忙提个车车，
[52:16.340] 水牛了转了858万，我其实是白色或者不是他花钱他就医陪同，
[52:23.700] 他们做人家没有所有手续验车都验完了，你就过来把车开走就行了，
[52:29.160] 这都不行。
[52:31.080] 我花了100多万，我都在享受100多万的服务，
[52:34.860] 跟我们的销售额占我们五八千了，
[52:38.760] 也没法给车库，他想干嘛，你销售收入长得比较帅，
[52:42.660] 他还买点增值服务，不我能理解这种心理，你看我要去买包，
[52:48.550] 如果我没有买没有能力买到这个店里最好的包，我只是买一个经典款的话，他让我自己贵宾室我都不好意思，
[52:55.210] 他给我拿个喝的吃的，我说我自己去取，不是我又买不起一个最好的包，是因为你就比如说像我们说做销售的，你可能想我们也得买东西对吧？你去别的店里边
[53:07.670] 可能人家也不好，我们也不好意思，
[53:10.400] 然后我就不用麻烦不用买。
[53:12.560] 但是心里如果我要买他最贵的包，我就要我去桂林时拉你给我交个什么东西，
[53:18.510] 也会有这种心态找平衡，可是对我买的最贵的高，但其实对于销售员来说我买多贵都不会的，其实对就像我刚才说的，其实你买博客的车也好，在我这他就回车，
[53:31.330] 其实大家的服务是一样的，
[53:33.760] 但是珠宝行手表行可不是这样，他们真的是卖出去的东西越贵，对他们能得到的是生姜上还有什么？
[53:43.120] 或者
[53:43.860] 奖金可能他卖金额算都卖房，可能都是这样。
[53:47.610] 卖房子也不会大家都便宜谁卖，
[53:51.930] 是吧？根植年累是因为它的覆盖面特别广，
[53:57.420] 好多车型的配置它说白了说报纸可能我自己都记不住，因为涉及的车型太多了，权威比较太多了，
[54:05.510] 报警了，
[54:06.480] 而且奔驰公司放大非常快，
[54:08.580] 那个版本的产品车贷车还是车，
[54:12.200] 它改名是吧？
[54:12.970] 原来ps不是去钓mm以下，它是统一了以前的ml，包括gl，
[54:20.710] 对吧？有GLK它现在全部换成GL开头了，ml取消了，
[54:25.830] 品牌就没有WiFi了吗？对发明记LE了，通过他的级别和GLA lb加lc一教一教S就这么
[54:35.150] 全部统一加了。
[54:39.320] 挺好聊聊，他说挺好的，他聊聊他真好玩，买不买没关系。
[54:45.410] 最起码也是高兴的，你别着急把您户口我靠你骂我，我也骂你了。
[54:50.810] 不能搞了。
[54:52.270] 有那样
[54:53.600] 想法，就是想法都看好多次
[54:56.930] 琢磨了看上去对比，然后看到这边然后有什么疑问，您随时电话沟通交流了。
[55:03.080] 那么因为大火几乎价格都差不多出来了，都差不多，到时候看到带房子现在都能
[55:08.860] 反正你要黑色的话，就算有黑车真的是花。
[55:12.860] 今年
[55:14.910] 都是今年6月份生产的车都是新的，然后7月份到了，
[55:20.760] 好吗？然后你要平时有时间的，比如让父母过来试驾的话，
[55:25.900] 也可以实践一下。
[55:27.240] 试驾车的话是黑车的，中卫市7座，
[55:32.050] 你们上世纪的还是？
[55:39.130] 价格上有什么疑问吗？
[55:42.250] 这个没有，我姐都解释明白了吧，您然后到时候下班有个二维码，到时候麻烦您回去之后扫描一下。
[55:51.850] 然后主要是针对于
[55:53.780] 服务公约这一块，看看全程都强制您必须干嘛回去干吗，行行。
[55:58.700] 行，然后明天的话我这边会做个电话回访给您，您看看上午方便下午方便吗？
[56:06.640] 行都行，8:00点别打扰，我一般打快板修6:00~7:00晚上。
[56:13.060] 完了咱们都这样子，我想我洗了我喜欢
[56:18.640] 呵呵。
[56:20.000] 老师上会有这么一块，回来，你稍等我一会我去点，你跟他跟我说，我说我这打个分，你看什么时间方便，我说一般都是六七点。
[56:28.880] 我说行我到起来了。
[56:30.760] 我说我看看记得挺那什么
[56:36.310] 了，谁知
[56:42.840] 因为这本驰车大家都好性，稍微什么时候都
[56:48.280] 挺好，有奔驰其实就是刚才您说的，其实奔驰车主大部分的人群都是比较
[56:54.790] 周围的，可能宝马它的人群的话
[56:59.950] 可能也有可能，但是大有少数的话比较像那种
[57:03.640] 小盾，比如说恨不得你看宝马5系铁道下来一个
[57:08.450] 全大画壁对吧？激烈驾驶，你看大街上见的激烈驾驶，除了奔驰A mg车这一块非常有叫车或小车去激烈驾驶，
[57:17.680] 非常有受众，人群不一样。
[57:21.330] 所以刚才说的如果选择宝马的
[57:25.060] 车主第二辆车为什么会选择奔驰？没有他长大了。
[57:28.030] 是吧？这么大的对。
[57:32.360] 挺好的奔驰，而且他好多细节上的事儿做得很好，当然包括它的售后，当然这东西他可能也分人，
[57:40.600] 现在奔驰店多了，人家也不一样，开火怎么了？
[57:48.890] 还看其他品牌吗？
[57:51.220] 来看其他品牌吗？
[57:53.760] 开车来了吗？
[57:55.250] 开车上来了，扫听扫码。
[57:57.440] 收费的。
[57:59.150] 小马停车场健康马不停车，停车斗志了还少吗？健康不到车票我们俩都
[58:07.960] 了，核桃半天你都没了。
[58:12.390] 停车。
[58:13.880] 稍等等。
[58:18.640] 的
[58:25.200] 还挺高的。
[58:27.870] 303,800。
[58:29.690] 对和差不多。
[58:32.560] OK他可能身上就都会了。
[58:35.740] 然后他还得在Youku也吃了，但是心上的车身可能就会有，我们比较少一点。
[58:43.170] 扫
[58:51.850] 都
[58:53.840] 输入您的手机号码，
[58:57.150] 相当于对方心里不够快。
[58:59.590] 放到
[59:01.040] 你去过多少等。
[59:06.660] 那么我接着问一下后边
[59:10.390] 高有暗的地方。
[59:13.620] 对。
[59:14.620] 后边有暗的地方几两
[59:19.000] 行，啥数码的似乎发现了。
[59:22.820] 后天
[59:24.110] 外壳的话还是有点不大。
[59:26.700] 差不多喝点大鼓瑟根吸管还有一个区别，就是轮毂的尺寸不一样的。
[59:32.510] 他十六十七七多少？
[59:37.240] 谁知
[59:56.840] 怎么俩都没有，我靠。
[59:59.330] 就要这三样东西，有人还花钱加了。
[60:02.690] 定期了。
[60:05.240] 了。
[60:14.330] 还有用吗？
[60:15.630] 没有好不好？今天？
