[00:00.000] 月4月4号临近时，出租车街道
[47:47.130] 56,000是因为第一它是老款的，他不是20款式，一九晚
[47:51.750] 19款跟20款最大区别就差一个第二排空调的独立控制按键，
[47:57.590] 尽管是双区独立控制，
[48:00.630] 然后第二来说就是自驾车市环保局质检抽检车，
[48:06.460] 我们俩销售途中还没卖，就说销售
[48:10.170] 质检局就把车给拖走了，
[48:12.390] 不要做你这车内甲醛是否超标，
[48:15.830] 就呆了有1~2个月，
[48:18.220] 时间长点，
[48:19.520] 然后有一些比如说拆过空调滤芯做以作价检测，
[48:24.860] 能传便宜
[48:26.510] 1万多块钱，
[48:27.950] 肯定没有需求。
[48:30.170] 不用那样新款，毕竟20他们还是有点区别的。
[48:54.990] 没有置换是吧？
[48:57.570] 旧车置换就还能便宜有6000的补贴，有6天的补贴的。
[49:03.870] 谁知
[49:08.610] 分期给您算一下吗？
[49:10.780] 不用。
[49:11.480] 不用
[49:21.120] 来救咱们全国统一报单。
[49:23.680] 看一下您的信息，您的电话。
[49:26.140] SE300L动感型官方指导价449,800 43,000的优惠，
[49:31.750] 是406,800，够税交给国家36,000，
[49:35.200] 装饰14,800，有贴膜、脚垫、后备箱垫、行车记录仪，
[49:39.800] 然后漆面镀膜，
[49:41.410] 验车上牌如果在我们店代办做的话，就是2500包含上牌，
[49:46.210] 保险还13,000一估的，但这个显著您都可以自己去来选，这全靠B了，473,000，
[49:54.440] 全办结了上路价，你刚刚跟我说44万多全包全弄下来，
[49:59.790] 44万多是他的指导下，
[50:02.120] 44万多指导价是优惠价，刚刚应该说了46万吨，
[50:08.960] 是最准的一个
[50:12.580] 你还送了点什么东西，这月开票厂家是送您1A1B的保养，就是厂家给您的，
[50:19.420] 就是1万2万公里的一个免费保养。
[50:21.750] 2万公里两就两次，
[50:25.760] 4次就是老款的老板那车能给次，
[50:29.000] 老款车型跟新款车型厂家支持不一样。
[50:32.510] 老款那是2A2B
[50:35.110] 有4时保险，
[50:36.980] 两次保养就2000块钱，那一次保险就1000块钱的。
[50:41.010] 对小宝1000块钱，这几都是一个小馆一个大的。
[50:45.480] 其实
[50:48.170] 一开始华阳肯定便宜，到后来是不是又换换，就跟你说了保养就是一次A
[50:55.450] 一次BA就是小保养B就是
[50:58.430] 大保养多少钱，大半会比它也就贵四五百块钱，差不了太多，他是这样ABAB这样循环着，
[51:06.330] 他不是看你公里数，就是看你一年当时您跟你说，如果到5万到6万的时候可能要更换一些东西，
[51:12.770] 价格就有单说了，其实我那个车开特少，
[51:18.070] 我那两辆车都开了也就几万公里，然后
[51:22.750] 因为我们上班的近，然后平时开的也非常的我觉得
[51:27.960] 平常对已经过了，其实很多客户都过了质保期，可能都不在店里做保养，外边反正便宜，
[51:34.920] 在外面做都不放心，有的人很多都是
[51:39.080] 一过质保期都不来店里了，但是还是质保期是三年不限公里，是他质保期，但是您要是一些疑难杂症的这个东西，还是得来4S店解决，
[51:50.040] 因为外边他没有咱们这种技术，
[51:53.920] 咱们这专业它应该平时不会有什么矛盾吗？平时不会。
[52:00.130] 正常的该做保养做保养了，这就没问题。
[52:09.170] 反正你也知道，因为我是到2月份到期，
[52:13.850] 我也拿不定什么时候买，因为我现在
[52:17.100] 但现在来说现在价格会比往期会便宜点，为什么？因为感到一个疫情阶段
[52:22.650] 生意不是特别好做，就这样，反正就是这个月背对着您挺好的，这个月我再考虑一下，然后我哪天来我到时跟你说一下，谁知到你再给我最后用一个
[52:37.600] 自己成交价完了，然后包括
[52:42.320] 什么送什么东西或者什么的，然后
[52:46.100] 但是就别我一来又说又要什么钱，因为我有时候买那车老是什么的，一去了，然后
[52:53.320] 最后说要再安一个什么，又要一个什么要什么，你就说好了就是多少钱，对。
[53:00.670] 我们这儿就是比较自由选择，比如说您必须
[53:05.390] 做着必须做。
[53:07.430] 对你。
[53:10.750] 然后不是到这来跟你上摇拍车号，到时候电脑里选车号，
[53:17.790] 就是新车上牌室去检测场弄，
[53:22.360] 不再弄，我们这儿现在验车照相还没开，后续我们班也能验收，怎么弄，我们还得去专门有人会跟着您去了。
[53:31.390] 这个钱就包含这里头了，你这房费验车上牌就包含
[53:37.390] 我上次买丰田时候，他就在他们这个店里面就临临牌8。
[53:44.320] 对临牌在我们店里就能弄，不是灵堂，我是说选号号号现在改了，现在在12123上面选了，谁是指标，人用谁的12123来选，不是在店不用电脑的，现在全在12123选了，手机就能选了。
[54:03.850] 但是上牌的话我也没去过，是检测场，我本人也没去过，反正可以本人不去。
[54:11.310] 反正你们都给弄了就完了，我们这儿您得有一个人跟着去，可以车主本人不去。
[54:17.190] 你说谁能开车谁有空，那天
[54:20.200] 跟着去什么手续都不用管。
[54:22.310] 因为最终是要做，因为现在验收都要录像的，最好还是去一下，对多少事情他同意你去你的车。
[54:30.870] 你的名字是吧？应该他去本人去，对。
[54:37.780] 因为我们家现在那两辆车都不开，哼哼。
[54:40.870] 不是，就只开一辆，现在疫情期间我们其实都不怎么上班，然后
[54:47.450] 再弄一辆车三个车在那，我都不知道干，而且个人建议这车早买的好，因为国家新政策应该您也听说过了，不是说过了，又现在就是活溜了，现在摇号的新政策。
[54:59.390] 我知道听说了知道，就后续您这车如果说
[55:03.190] 他一旦实车，您后续再想换车，就得把你这车卖了，制成一辆车，
[55:09.120] 要不就可以转移，现在我了解可以转移。
[55:12.060] 比如现在您名下没有
[55:13.700] 没有指标，
[55:14.730] 尽快变更。
[55:16.390] 你把你那就是说的指标计划变更了，
[55:19.360] 一旦实施起来就后续再弄就很
[55:22.640] 了。
[55:23.670] 就跟杨浩一样。
[55:25.630] 行。
[55:27.760] 到时候哪天
[55:29.290] 再商量，定好的话咱再来聊聊，反正差不多这个价位就这意思了，反正我就说不会，到时候我过几天来又给我涨价了，但是这个还是那句话，所有的价格政策以当日我给您算报价单是以当日有效，因为价格后续会有减收减都有这可能。
[55:49.590] 这价格是随市场走的。
[55:53.200] 然后报价单上面也有这二维码，到时候您扫描一下进行服务中间的一个在线调研，就刚才读的宣读
[56:01.470] 价格这还有疑问吗？
[56:03.980] 没什么，今天不考虑订了，您。
[56:07.200] 你说定今天不考虑定是吧？
[56:10.920] 定什么定其实就交定金就可以交1万定金，然后我们就把车价格都给您留好了。
[56:18.410] 然后在这阶段您是看您选择分期还是全款？
[56:22.140] 城管咱就规定时间您过来补取款办手续就可以了。
[56:26.680] 不是说今天都交钱就交一定金就了，
[56:31.830] 就定金你这价就不能变了，就得给我买，对价格肯定
[56:37.360] 这时候聊肯定是最踏实的这种人。
[56:40.280] 给您的价格后续他不会去。
[56:42.680] 因为这个车他肯定
[56:44.990] 就凭我们经验来讲，这个车
[56:48.130] 越往后它又会越少，为什么？
[56:51.620] 月初我们是要销量的，
[56:53.600] 月后我们需要质量的，9月初把
[56:56.780] 销量我们垒上了之后，我们后边就开始所谓的收价格要利润了。
[57:01.750] 你保养也在这地儿是吧？对后边。
[57:05.730] 这是的正常，我们是两个展厅对面，我们正常一般我们在对面，
[57:11.310] 但异形这阶段他不让我们开两个展厅，只要我们开一个
[57:15.440] 展厅基本上关闭，
[57:17.730] 正常我们销售打对面，
[57:20.720] 后这后边大部分还是引进售后。
[57:23.530] 对吧？
[57:25.920] 怎么着？
[57:27.590] 你还要买来着定金就定了，反正要买，因为你有一个其实我跟您说您早买跟买朋友，我个人推荐往早赶，因为我跟您说的比较实在，
[57:41.860] 我们月初我们就是要销量的，
[57:44.040] 往后我们销量够了，我们就是要质量，可能价格优惠的少，我们要利润，
[57:49.710] 然后情绪化，您看您想要什么颜色调一下。
[57:54.310] 颜色您要想看看你刚才不是有一个版，我看有好多颜色板与实车还是有区别的，我先看看库里有什么颜色，
[58:06.320] 然后外边咱去找找，能让您看一下吗？
[58:12.770] 对，那单子您先拿。
[58:16.430] 您查。
[58:28.790] 不过我们买车也从来没去过地儿。
[58:31.610] 对，就去一个店，一个店就看就买了这个车，您没必要去赚别的店了，因为这个车就跟您说比较自在，这车价格特别稳定。
[58:42.920] 然后说像你买个CRE可能咱去外边撞上，有可能我们家价格会比别店要不便宜点，要不退掉可能放下也就一两千块钱。
[58:52.650] 因为现在车是挺透明的，
[58:56.200] 这车挺漂亮。
[58:57.960] 对，差不多一级说现在优惠也是最多的一款车，立即说像138我能做到75,000的优惠，
[59:06.210] 多少钱高配的是44 499,800，优惠75,000是40
[59:13.380] 24,800，全到齐也是到49万多。
[59:17.480] 我主要觉得还是SUV是不安全吗？
[59:20.320] SUV它是比较实用，安全都没有问题。
[59:25.100] 不是它底盘会他自己对通过邻居天气，
[59:31.320] 我都没坐一下，他那个叫
[59:35.130] 太长不要了。
[59:39.410] 现出，然后现车就是黑和蓝。
[59:42.950] 然后后边路上飞到的车是有
[59:48.030] 往后边路上也不会倒车了。
[59:51.550] 还真睡。
[59:54.700] 后边路上会到有一台石磨灰，
[59:57.830] 那就等他过来了。
[60:00.110] 你说什么没到？
[60:02.260] 你看后续再生产时候钱到9月份了，
[60:06.320] 对，我们上次开过会说了这车要慢慢地开始往下，仅还要推别的车，
[60:12.680] 因为这车没有什么盈利，
[60:14.640] 现在有黑和白是咱主流颜色，
[60:18.960] 有问问
[60:29.680] 莫非是
[60:32.210] 300那颜色？
[60:34.870] 谁知
[60:36.870] 他们行大屏
[60:39.400] 大概其实13买的标配的价格跟交C的价格俩差不多，形式不一样，
[60:44.830] 这样长寿的话会比它贵一点点。
[60:49.450] 然后在OC3板颜色黑白路上能在到的叫做石墨灰，刚才我带您看这试驾车里面的
[60:58.630] 刚注册，
[61:00.020] 因为这是我们的主销颜色，就外边看那石墨灰，
[61:03.870] 我们的车不是黑方向，反正也近了，
[61:06.820] 保持颜色还是黑红白草折。
[61:12.360] 石墨灰的颜色其实挺好看的，对突然比较长。
[61:17.990] 开的声音刚刚才开的就叫做红宝石黑那颜色。
[61:24.250] 水还有褐色的。
[61:27.670] 你现在有的配合来看，
[61:32.160] 什么回事后续能到了吧？
[61:35.440] 跟着你到处
[61:36.990] 再说什么样的。
[61:39.240] 到
[61:44.590] 反正我刚才这都
[61:47.020] 对个人给你建议纷纷人家怎么说的还是黑色。
[61:51.680] 那个是什么？
[61:54.430] 这叫月光指挥，咱们石墨灰比他深还是比她好看？
[62:01.900] 大枣肯定不买轿车了。
[62:05.310] 要。
[62:07.810] 还要喜欢看他。
[62:10.630] 都不一样了。
[62:12.160] 对，那时候大屏对咱家里现在不是一个
[62:18.130] 一个大就这样。
[62:20.070] 房子。
[62:22.160] 中饭耳机子是吧？对。
[62:26.090] 然后雅阁那就
[62:28.700] 价格的，
[62:30.210] 然后盖
[62:32.180] 这两个完了，
[62:34.130] SVUY料不用笑什么的，还行就喂好吃。
[62:39.450] 我主要是觉得要是开庭下雨下大雨下水
[62:44.360] 的，我觉得像我们
[62:46.630] 而且
[62:48.210] 谁知
[62:50.000] 大盘不归，
[62:51.720] 应该过山过牌，而且去区域的话是两之后驱车。
[62:56.370] 你中间如果真是结清的酪氨酸，
[63:00.000] 够了这个码还是。
[63:01.530] 对。
[63:04.050] 然后最漂亮。
[63:05.640] 一直销量高的。
[63:11.720] 都是假的。
[63:12.830] 那也非
[63:13.960] 看着舒服先去看那黑的，
[63:29.400] 但是黑的确实不烂，
[63:31.930] 为什么260的
[63:34.380] 屋里有一个白色三板，这外形就是大黑的洗干净了，
[63:39.530] 但是我肯定不买，我因为我60号的就来了，又黑的还是给我区，白的不是这么。
[63:47.290] 还有石墨灰一会那周回来没快乐，我觉得颜色挺好看。
[63:55.050] 但一般的话就是说还是飞机的醒得比较。
[63:59.500] 这个挺好看。
[64:03.580] 腾飞的。
[64:06.350] 然后还加一个脚大的。
[64:08.180] 现在而且黑色能显妆饰条，两边行李架都是这样的。
[64:13.370] 不是好看，包括你脚大板也是这样。
[64:18.200] 我觉得
[64:19.800] 你看那个就不行。
[64:22.090] 白的
[64:23.350] 白的是实在就觉得不错了。
[64:26.160] 这不是含义不好吗？白闷。
[64:28.450] 基本上都觉得都不好意思。
[64:32.730] 黑的是主流颜色，
[64:34.680] 难受得那么多颜色，实际也没有，我们进了颜色，以销量体系来走，黑白占比最高。
[64:44.290] 刚才我听说有人说就看各家店的什么存量什么的车都不一样，
[64:51.000] 车辆
[64:55.550] 因为这车要慢慢减产，他不是停产和减产的。
[64:59.180] 这车成本高，利润低。
[65:01.100] 升降机成本高，利润低，
[65:07.930] 你说同样价格，你拿一根他比这个又是四驱，你买到300了有盲点辅助，
[65:13.940] 一都没有，
[65:15.210] 配置还比他高。
[65:17.440] 他干吗要弄那种
[65:20.890] 比如说260和300，
[65:24.040] 其实这就是给不同的消费群体提供不同的这种感受，比如说他有的人他就想要买最高点的，
[65:31.760] 肯定买300的。
[65:33.340] 就有也逗一点吗？
[65:35.130] 油耗一样，没有什么区别，这个车什么吗？
[65:39.040] 挺省油的，你要是趋向您不做那种激烈驾驶，市区实际再加上它四驱也就10个E话，
[65:45.860] 市区还算拥堵情况下，
[65:49.200] 你这加一箱能跑多远？
[65:52.240] 600 600~700公里。
[65:55.120] 我那也是20T的，但我不是SUV，是C级车20P的，我那才7个左右。
[66:02.350] 我就觉得我那广本
[66:04.630] 我房本我觉得又好看，而且
[66:10.690] 拍一次。
[66:12.510] 有一次我就怕了快700了，然后。
[66:15.250] 十二点几2.42.424，
[66:18.190] 大排量其实很柔和甜的，20挺费油的，
[66:21.490] 我是那2.48.4还行，然后特省油，然后
[66:26.800] 就直接开北戴河，然后再
[66:30.130] 回来都没加油。
[66:32.870] 李潇应该都是600~700了。
[66:35.060] 往年享有也是。
[66:36.290] 700 600 685. 
[66:38.380] 加，但是这个肯定差不了，那么因为对这个门开这油箱大，但内容放就不行，为什么放开就开不了多少中华行。
[66:48.620] 4个对2.4。
[66:52.860] 龙发邮箱好像小事，他加一箱油。
[66:56.490] 几百300块钱，不是他就显示。
[66:59.940] 对家的具体300那就是50多升的油箱，这是60升的600。
[67:04.030] 16毫米。
[67:07.560] 你们自己要在这买，你们内部就停了。
[67:11.600] 我们买价跟你一样，就我们保养便宜，保险就走这个成本价走，
[67:16.880] 我们基本上公司不用掏资源，那么车
[67:20.150] 你这房子也要自己也预约，
[67:23.070] 我们就是约不约都行，我们早您得约好，
[67:27.270] 到时候预约，到时候咱们买车会建一个管家群，
[67:30.700] 一对一的，比如我是销售的，我是对您新车这一块的，您后续有一个专门的服务顾问。
[67:37.540] 售后管家。
[67:38.870] 有问题你可以跟他联系，这保险是哪家保险金，保险有平安、人保、太平洋三家保费都一样，
[67:46.250] 你什么如果出险或者要救援你了，他就有救援，就是奔驰梅赛德斯奔驰就提供24小时的免费救援。
[67:55.770] 梅赛德斯奔驰它自己又提供了保险，公司也提出，
[67:59.630] 你要说你是去外地那种的，你就用梅赛德斯，它是富含全国的，
[68:06.030] 都是免费的，但是它没有自动报警，有
[68:11.110] 自动报警是您在这种大的碰撞树下自动会给你波动，就是SOS紧急出去，
[68:17.470] 表上都有标配不上空。
[68:21.300] 被告本
[68:24.300] 就是这个吗？
[68:25.990] 他有停车的你看到吗？这其实远的看它就是黑的好看的。
[68:31.720] 这是一个高配的，我就说360类的，
[68:36.830] 豪华的对我终于看到一个揭穿了，大家都看着这么颜色，
[68:43.250] 比260好看。
[68:45.650] 我感觉小踏板他后面写了，
[68:52.650] 不是乞丐，
[68:53.690] 他不就停我了，我能不卡。
[68:56.150] 对不是评价，但是
[68:58.270] 还是不一样，他这个颜色现在你还会了8点OK。
[69:04.080] 这个颜色挺好看。
[69:08.600] 金属感强。
[69:10.920] 但是这个车没有什么关系，
[69:15.630] 你说您偶尔来这儿找一趟，我能给你洗洗免费，
[69:19.420] 您要经常性一个星期找我。
[69:21.380] 长胖可能就这点意思了，现在那车都。
[69:24.340] 好好长时间都不行，我都懒得理管。
[69:27.890] 然后咱试驾的洪堡，除非这颜色看看。
[69:31.830] 对，就咱4架这颜色它头还行，不难看出，
[69:36.290] 但他空气不好。
[69:40.040] 他这电色
[69:42.090] 这个是抹灰，
[69:46.630] 那就是脚踏板。
[69:51.350] 他没有妙了。
[69:52.930] 对，要么就买黑的。
[69:54.670] 黑得不漂亮。
[69:55.720] 你这个黑的还有别的黑吗？没有黑的。
[69:59.820] 你看那个叫车了吗？他飞跟那是一样的，那就亮。
[70:06.370] 你看它这所说的耳朵就抽血，
[70:11.670] 然后座椅的话咱。
[70:14.100] 他这个是运动版的，他选配的这种黑红的，但他里头没有木门了。
[70:20.690] 咱那种是带木纹的，
[70:23.150] 把那种鞋哪儿倒这种偏运动一点了。
[70:26.080] 这个是最高的提高了。
[70:31.070] 座椅什么的颜色，就是我们刚刚咱们这个是黑的，还有
[70:36.150] 中的好看的。
[70:38.160] 当我们用到10题的时候，您看看。
[70:41.300] 您看您要什么颜色黑的。
[70:43.340] 我们是有棕色内饰的。
[70:45.390] 可以说工费sir。
[70:47.350] 显档次。
[70:48.430] 要是有剐蹭那种喷漆的化。
[70:52.340] 还是黑的白的好看。
[70:54.890] 可能还好，还要还有什么，而且这辆这边
[70:58.250] 有点误差，都发点污。
[71:00.240] 对吧？
[71:00.700] 他都发过。
[71:03.920] 有阳光得照的，阳光不照的。
[71:05.590] 都看不出来。
[71:07.590] 我觉得不息这样真的好棒。
[71:12.390] 行，这个不都是黑的吗？这俩黑一样吗？
[71:15.720] 这也是耀眼的。
[71:17.880] 这都没洗，这个车和这个车一样吗？不一样的，不是我说嗨的角色一样。
[71:24.730] 换一个干净的。
[71:27.610] 这是灰的，好像是跟有点对，现在要看灰蓝这堆拦住。
[71:33.370] 这黑的。
[71:35.070] 很喜欢这两。
[71:37.440] 这个是不是跟我那个一样，对，这个跟一样的就黑的对不没有。
[71:47.790] 这个是十分考虑的，对，是有一个条。
[71:51.260] 197
[71:52.460] 是黑豆一个编码。
[71:57.970] 这个就另外一个公司
[71:59.800] 了，就光石灰颜色不是特别好卖，老气。
[72:04.790] 您是先吃饭还是咱们先定桌吃饭了先定？
[72:10.330] 还得吃。
[72:11.150] 不是我没了。
[72:12.570] 我们这都有那都
[72:28.390] 少卖点。
[72:29.370] 又是黄先前两周就行，因为一直建设
[72:32.580] 现在
[72:33.330] 就是说还是我看看说的人挺多的，现在的好点。
[72:38.720] 那就是刚出来北京的时候又没什么。
[72:43.490] 您坐着他跟他方向，我用下您那报价单，我记下车架号，
[72:48.370] 我一会咱就在
[72:49.790] 这弄手机就拿走了。
[72:51.950] 发展
[72:54.470] 数据
[72:58.990] 百
[73:03.240] 说
[73:05.950] 花
[73:09.040] 场
[73:16.970] 二
[73:21.320] 点。
[73:28.770] 二
[73:32.480] 558973
[73:37.670] 号。
[73:40.970] 你干嘛？
[73:41.920] 58
[73:45.230] 58473。
[73:47.120] 巴马394。
[73:51.120] 再见。
[74:00.320] 操我也不知道这车动不动就究竟了，
[74:04.120] 来了就定了，不错。
[74:06.930] 坐这儿。
[74:16.870] 喝点什么？
[74:17.850] 不说了，刚才喝过了。
[74:20.310] 谁知
[74:23.560] 要先上去，对，先生您身份证带了吗？
[74:28.920] 身份证没带。
[74:30.600] 反正这到底驾照有了，
[74:35.080] 嫁给我也行。
[74:36.380] 假驾照不用。
[74:41.870] 驾照就行了。
[74:43.460] 行，我就用驾照就等到这号行，我就要这号就行，就
[74:50.480] 所以我看你是哪个人的家，
[74:56.570] 比我晚。
[74:58.470] 就这样
[75:01.240] 的。
[75:06.110] 谁知
[75:18.810] 关键7月份维修保养的话，每年保养的话或者验车，
[75:24.850] 因为有点热，
[75:28.720] 临牌他们办一个银牌他能办三次，一次是一个月的，
[75:33.930] 你可以往后拖，这没有问题。
[75:36.840] 就是临牌也能正式上路，也能在路上。
[75:45.400] 七八月份。
[75:49.020] 我还是得买。
[75:49.880] 将来。
[75:52.410] 因为。
[75:53.620] 开高速。
[76:15.980] 这些车没有差别。
[76:18.460] 都一样，这车是不是要说新车还有事吗？
[76:24.330] 新车到时候会让您看，咱们验便车，咱今天只是交一定金，
[76:29.810] 您到时候得艳托别的什么毛病，对，没有问题咱再交款。
[76:35.240] 在里面。
[76:38.630] 你说大杯上次的是不是偶然现象？
[76:43.760] 没有，那真是偶然性的。
[76:45.760] 然后开车就漏油。
[76:48.420] 今天活动的时候能额外赠送一个轿车里边，A除了装饰这里头套餐之外，
[76:53.880] 能再额外送您一副地毯是绒面脚垫，咱那庄市里是大包围的，
[76:59.470] 然后还能送一个钥匙链。
[77:01.440] 两两个，然后灭火器、燃油宝，与此同时
[77:07.950] 真的不一样。
[77:17.440] 其实这个车就是说开多少年十几年也不用管，
[77:21.280] 开15年都没事。
[77:24.200] 挺耐用。
[77:30.740] 了。
[77:32.090] 你K都没了，
[77:35.160] 什么GLK没有了，
[77:41.000] 只要OK就是这个叫C的
[77:43.850] LC就是代替缴费。
[77:46.110] 三
[77:48.570] 家里
[77:52.730] 然后这个车的大小还合适，
[77:55.320] 我看你更高级的车就太太大了。
[77:58.650] 了。
[78:01.010] GSGS100多了。
[78:06.210] 第三，
[78:11.350] 然后我们
[78:13.380] 电后续会推出一个叫做终身保养礼包，现在
[78:18.910] 文还没出来，反正我了解的挺合适，价格也不高，
[78:22.530] 就中层技术几率好像才几千块钱。
[78:25.660] 等到时候您交车的时候，我帮您问问有没有这个项目。
[78:29.790] 您自愿。
[78:31.640] 我不知道现在因为我们上回开会说过这事儿。
[78:35.360] 不是他那礼包是不是就是说你以后换那个东西就激烈，不要钱什么乱七八糟跟丰田一样，我
[78:44.330] 不喜欢。
[78:45.610] 我都忘了，盗过后
[78:50.030] 这也好几千块钱家，
[78:52.860] 你要说其实适合什么，如果说您一年公里数不到1万，
[78:59.950] 不建议买，
[79:01.150] 比如有的人他一年能开1万到2万和
[79:04.480] 我看不了，对，您要您自己来算，您可能您会说您用10年可能也就是10万公里，可能您也就10次保险。
[79:12.440] 14保险您折合没多少钱，我那本田开了08款的，到现在12年了才开了8万块，您就不适合买这种
[79:23.390] 花样吗？根本而且这么多车，
[79:27.350] 每个车都开不了两天。
[79:30.930] 第一个
[79:38.830] 块太浪费了，觉得人家那车了。
[79:44.450] 给了解公司协调，
[79:47.270] 他掌握了主要目的还不是这种一样。
[79:54.660] 联系人指标人都用您先生是吧？
[79:58.710] 现在当时是都市里做什么职业的是医生吗？
[80:04.430] 而且研究人员科学中科院的，因为像医生还有什么医护人员，因为这疫情他买车有优惠一下医生，
[80:14.730] 但你得是单位的
[80:18.520] 号。
[80:20.200] 谁知
[80:26.690] 你有没有特点医生在这个基础上额外三个点优惠1万多元，
[80:31.980] 参加过那一群参加，
[80:35.080] 只要这医院就是在医院去过，
[80:39.660] 找着医院去过，夫妻双方都可以的，只要这医院去过都可以享受。
[80:45.300] 那个地址是
[80:48.300] 北京市
[80:49.860] 海淀法院
[80:52.020] 出水，温度元元知道。
[80:57.120] 颐和园的颐、源居搞好，颐和园的颐，然后源头的源
[81:04.270] 和三点水，原来的
[81:08.090] 怡园居民的居
[81:13.210] 离这儿挺近的，我们最近是花园桥。
[81:16.980] 花园桥
[81:18.640] 那个店太小了，那也有一个奔车队，我本来要去那里，后来我才发现这儿有一个我说其他
[81:25.800] 云岩区，然后
[81:27.080] 16号楼。
[81:29.030] 62楼。
[81:31.630] 5门301。
[81:33.040] 5门
[81:34.050] 13301001号1室。
[81:39.500] 也要具体的门牌号都还要吗？这是后续厂家会有一些杂质，
[81:45.680] 比如说产品需要升级，一些文件都会给您寄信，
[81:52.130] 从现在开始所有的都跟你联系了，联系方式刘先生的。
[81:57.340] 李吗？
[81:58.380] 您手机号？
[81:59.820] 139113910
[82:03.620] 65211说1
[82:08.810] 类。
[82:10.180] 我给你念一下13910652112对吧？
[82:14.090] 邮箱。
[82:15.770] 前面是您名字的吗？中说明直接去。
[82:22.150] 你就写139也行，驻缅。
[82:28.130] 139的邮箱。
[82:30.590] 你写一下谁的邮箱号，你别邮箱还有什么？
[82:34.540] 还要拿我的邮箱。
[82:37.640] 宣
[82:39.090] 谁知
[82:44.000] AAPP
[82:47.440] 话
[82:50.980] I
[82:53.900] 微I微CP
[82:58.560] VC，S店。对，6cm是吧？
[83:06.760] 马吗？
[83:21.720] 的
[83:26.640] 数据
[83:28.870] 的
[83:32.310] 可以
[83:33.020] 说。
[83:57.870] 你说刚才说就一辆车了，但是我也不是说今天就开。
[84:02.330] 对，但是你最后等假如说我过几天来取的话，还是那样货车给您留上了刘尚那辆车了。
[84:11.750] 咱们全款是预留三天。
[84:15.480] 今天是4号，我们预留到7号。
[84:18.360] 这个阶段
[84:19.700] 咱们可以过来办手续。
[84:21.830] 7号对。
[84:25.420] 7号我们看一下日历，
[84:28.470] 特殊情况咱翻译。
[84:31.230] 你要说那天
[84:32.580] 没有时间咱单说。
[84:35.360] 7号是星期二。
[84:39.350] 七彩的钱。
[84:42.860] 那就星期三。
[84:44.760] 对，往后我可以往后，您去年这没有问题，但他周三或者蒸汽。
[84:49.680] 对可以，他这合同必须是规定三日内您的特殊情况，我可以往后给您顺延，这没有问题。
[84:56.630] 因为一这几年被告
[85:05.600] 还送300。
[85:06.480] 2014。
[85:08.260] 他得第二天才能到账，对。
[85:10.580] 那就是4号或者5号怎么也得周四或者周四行我都行，3月。
[85:16.370] 没事，我那时间向您敲定，那个日子不行，特殊情况我可以往后延。
[85:20.650] 为
[85:23.470] 等一会我这定个车要我去找你。
[85:26.920] 你吃饭了吗？
[85:28.620] 你吃了你喝口水什么的，先歇会去，我等你。
[85:35.030] 好了。
[85:38.360] 当然你地方
[85:40.090] 介绍一下，
[85:41.670] 你现在的生活一样的，
[85:44.630] 但是谁知
[85:48.460] 的
[85:52.510] 你刚才
[86:07.960] 你说花园桥小。
[86:09.650] 对，店小二。
[86:12.320] 最终名次你什么时候快点。
[86:16.000] 我们这店11年了
[86:18.030] 了，
[86:25.280] 亲自签名。
[86:27.760] 场
[86:28.880] 场
[86:36.570] 场
[86:38.730] 场
[86:41.610] 数据。
[86:42.690] 您手机号码。
[86:47.710] 注册完了。
[86:58.040] 多少？
[87:05.130] 76。
[87:13.640] 行业
[87:20.300] 把合同打出来，
[87:30.350] 二
[87:33.480] 的。
[87:35.680] 大
[87:38.570] 坏数据。
[87:40.960] 简单。
[87:46.790] 以前我总感觉第二面教授的不多，
[87:51.670] 他经验的东西
[87:53.470] 也都是完全的
[87:57.200] 特别
[87:58.200] 谁知
[88:00.780] 也
[88:14.240] 的。
[88:16.560] 包括中间开始
[88:19.470] 就说数据
[88:24.330] 他可能
[88:26.040] 的
[88:32.440] 其他的
[88:49.320] 数据。
[88:55.330] 场
[89:12.630] 的
[89:16.090] 数据
[89:17.150] 的。
[89:19.250] 水
[89:22.350] 数据。
[89:32.480] 的
[90:04.270] 要坚持
[90:06.160] 做作业。
[90:10.210] 为什么260最低配的也是两个？
[90:13.580] 地面什么？
[90:15.360] 两段前面肯定他身份的代表肯定他的第一高，
[90:20.770] 得让从视觉底下能看出来。
[90:23.230] 为什么是交C300和260要拆脚踏板能看出来的？
[90:27.680] 咱那个合同
[90:30.350] 都看一眼，这边信息都是我手动给您书里头的。
[90:35.250] 桌面没错吧？
[90:38.410] 名字没错吧？字比较小，11010819662。
[90:44.720] 100293。
[90:47.740] 没错吧？
[90:49.620] 这地址
[90:52.080] 电话，先生的
[90:53.980] 邮箱，
[90:55.020] 下边是我这不会错。
[90:58.680] 交C300L动感，这叫动感的意思。
[91:02.760] 黑色的外观，棕色内饰宗挺好看的，到时候教授可以看着咱，车架号已经绑上了厂房的指导价，
[91:11.190] 咱们现行的开票价格，
[91:13.150] 该车价格是449,800，由于咱上北京牌优惠43,000，
[91:17.800] 如果您改变了上牌城市，比如上外地牌，他就按公示价格就没有优惠走，
[91:23.450] 买房购买了14,800的精品，这有贴膜、脚垫、货币强调行车距离、镀膜这些。
[91:31.020] 赠送了交车里边那5样东西，我刚才提的厂家事业1B的养护礼包，
