[00:00.650] 远
[60:21.150] 这老师是用龙骨
[60:23.910] 试试，你不是说要换直接转码，跟这还不一样。
[60:29.450] 大大顶的是680那个样子。
[60:34.070] 老板他真的不太
[60:41.190] 女方是换这样的。
[60:43.360] 还是原装的。
[60:46.150] 您看您先看一看。
[60:49.680] 您抽烟我把这。
[60:51.070] 么放一下，您等一会儿我到时候带您看一下。
[61:04.920] 人家总是
[61:06.920] 急什么？
[61:08.190] 要。
[61:10.220] 是吧？没东西，哪个楼上厂棚是急需的。
[61:14.980] 两区。
[61:16.310] 260两驱是吗？
[61:20.120] 6388。
[61:23.510] 优惠。
[61:27.890] 32
[61:32.320] 6388。
[61:33.740] gt就让我开出去了，妈的。
[61:37.160] 唱就行行。
[61:39.240] 气死我。
[61:41.050] 就被拍吗？
[61:42.980] 觉得
[61:43.920] 不一定。
[61:45.030] 不一定。
[61:45.900] 有人被拍过是假。
[61:48.630] 这条路上
[61:49.600] 我估计玩
[61:51.510] 没让警察在这算好事，
[61:54.050] 是吗？掉头的时候跟我先跟老头说了，我说
[61:57.610] 姓熊，
[61:58.510] 可能得
[61:59.720] 罚金100。
[62:00.930] 带着驾照。
[62:01.940] 要带上你爸爸妈妈。
[62:06.380] 别不要警察，
[62:08.820] 只要你交易我得交100，我擦的。
[62:13.970] 驱动关系，
[62:32.830] 这块马上
[62:33.680] 被告发表。
[62:34.580] 我就浩浩。
[62:36.210] 谁知
[62:37.370] 优秀的
[62:41.520] 了回来。
[62:43.350] 对我来说了。
[62:45.270] 回去你喝点，你为这么点对就养活不了是吧？
[62:50.670] 都可以家园了吗？是的怎么样？
[62:54.700] 我这走马没事，宝马这房子您自己来有出去是吧？咱们都走黑天疼，慢慢走到楼，他吃饭先小宝回清河想吗？电商吃做饭去晚上吃饭了吗？
[63:07.080] 别吃饭。
[63:07.940] 现在有半小时吗？
[63:09.660] 没有。
[63:12.060] 没有
[63:16.130] 3:30来了。
[63:18.450] 您有车吗？还有一个来没有34号车。
[63:22.900] 我也不防我就扫了，怎么着就绑定了，是这条路吗？对确定了。
[63:31.080] 那就电话联系我现在要吃饭。
[63:33.640] 吃完饭完了之后再慢慢你就直接回去。
[63:36.180] 你就别回来。
[63:37.140] 回来刚才家风吃饭，我他们教我。
[63:44.050] 我上不了，慢慢长大，漳州我还这么多送干什么，不是说
[63:49.450] 咱们喝小米粥。
[63:57.190] 快快救还得说。
[63:58.600] 时间少了。
[64:06.830] 了。
[64:07.600] 我不回去了。
[64:09.730] 还要
[64:10.830] 让小孩儿吃饭吃饭，先接下来三天假，我们当时这声音好了，你也就先回去了，待会你们去回落，你尽快回来，先回去我们就直接回家了，到这儿把票开，然后谁知
[64:25.050] 这是不现实，你先回去了，我都知道他穿上地下室把空调开了，
[64:31.580] 不是我说先回去了，没有。
[64:34.120] 我删了对。
[64:35.830] 了。
[64:36.830] 我家看我要不呆着。
[64:40.860] 这点5:30生人下班高峰物业
[64:43.760] 到家里几点？
[64:46.830] 听我先待会吃点咱得往回走，待会我跟他们说要回我们就回去找你们去了，明天周二回去吃什么？
[64:56.210] 也都回家，热热的东西有没有吃？没有回家要做点去，中午就没好最好吃。
[65:02.930] 吃饭了。
[65:03.700] 去吧。
[65:04.760] 我要是。
[65:05.490] 回去到家天弘我就楼上咱们周了。
[65:08.100] 而且他爱喝的喝点我们了，什么个人了。
[65:12.900] 先回去。
[65:14.160] 回去一块回去了。
[65:16.060] 你干嘛去吧？
[65:17.720] 不说两句吗？
[65:19.230] 还是怎么着，我还丑一点，那能抽烟的吗？对。
[65:23.120] 是同一个。
[65:24.250] 他还这么丑这辈。
[65:27.490] 证据留好，
[65:29.140] 我给你拿矿泉水去，我我没有矿泉水了，咱得训练得喝去，我这没有这点评没开口，我先走。
[65:37.490] 我上次
[65:39.340] 谁知。
[65:43.720] 会士腾出来了吧？
[65:52.130] 我马上问。
[65:54.840] 把。
[66:00.090] 一会零形成了，不过
[66:03.020] 也行还开了有什么招我不能再绕去没人。
[66:08.470] 您现在要买的跟这一模一样。
[66:12.200] 咱是那杯6这支料，然后蒙古原装是这样的。
[66:16.070] 原装的是这样，那边是什么的后改的。
[66:23.820] 提建议。
[66:25.150] 又见面了建议。
[66:26.940] 是有两个轮毂。
[66:29.510] 哪个好是吗？
[66:31.020] 你要说好看，经典肯定是那好看。
[66:34.440] 因为是
[66:36.310] 环保的S600U一直都在用传承。
[66:43.140] 然后这个是全新设计的，就是说
[66:47.040] 怎么说
[66:48.620] 比较新颖，你要说经典还是经典，就这轮毂配任何车型都不行，都投不上他这华丽就这车型，对。
[66:58.920] 这是最主要的原因想。
[67:01.340] 但是有一个什么问题，你这龙骨是原装的，轮毂你是后配的，你是假的。
[67:09.470] 您说假的。
[67:11.470] 是没车。
[67:13.050] 一穿一次是多少钱？
[67:14.800] 这就牵涉到改装的问题了，是不是？
[67:17.700] 医药买完这轮。
[67:18.460] 五谷
[67:19.170] 先这几十上牌子去，轮毂你是单买，买完之后回去再
[67:24.860] 上牌子在还能产生，是这是不是说这啥？
[67:30.170] 他
[67:31.300] 不能在您这儿直接选配好了。
[67:33.630] 没有这一项业务，对不是是上牌的，人家着奔驰不允许。
[67:39.510] 对，这就等于改了，对跟保时捷不一样，保时捷你是这块皮子用那个人来了，就这样，你这上牌子去对吧？
[67:46.530] 你这不行。
[67:48.890] 等于最后没认出来。
[67:51.000] 龙骨还是人家抱抱，海关报国家就得这去，你换了你上不了牌子，
[67:57.870] 你只能事后换轮胎也得换，对，因为他轮毂这是20的，那边是21的话还来得及
[68:04.590] 换成努力不得几万家，这套轮毂在我们这儿卖，现在卖7万。
[68:08.840] 谁知
[68:11.530] 不能说还是这漂亮的，肯定得配，轮毂在这儿是一种效果，开到路上走起来
[68:19.850] 又是一种效果。
[68:23.280] 有一专门卸他一
[68:25.410] 实际上这个就等于是人家680680的5对7。
[68:31.400] 97牛下来，
[68:36.250] 塑料吗？
[68:39.680] 你不下来，那小孩要上这号你们都给你。
[68:42.360] 不就可以了。
[68:44.320] 了。
[68:46.040] 的
[68:47.610] 了，跟着标示原来能卸走，现在根本就睡不着，对。
[68:52.250] 他这车听我们厌，我们搁家门口。
[68:54.430] 门口小楼门口，有一天停在后院居民区弄孩子弄乖乖的学生咱们
[69:00.790] 一正过来标没事儿叼，现在一般丢的少了，对，他说行他不走，对。
[69:06.100] 对，原来得到了，原来你有多少个人，哪个都丢过全市后备。
[69:11.230] 不管还是
[69:14.920] 比这边的好看，您还是这边的霸气，看看。
[69:19.100] 对
[69:24.390] 向别人说，
[69:28.490] 还感受一下不感受。
[69:31.100] 做的感觉跟他一样，那倒没区别，就是这个颜色真的那是就这一种没得挑了，是的。
[69:38.250] 您看一眼，因为新款的没别的，那是。
[69:43.440] 其他地方呢？
[69:45.010] 别的
[69:49.020] 这一种就那种。
[69:50.920] 那也该换了您之前的。
[69:53.700] 就是亮色。
[69:55.140] 白色母白的那种。
[69:59.240] 肉白色。
[70:00.890] 那时候可不一般就是灰或者米是吧？米白杏仁米。
[70:07.720] 对。
[70:13.120] 说这都拍那里边也只是对我看他定了吗？买定没有。
[70:18.780] 买了。
[70:23.120] 就这么多对。
[70:24.400] 没事。
[70:25.840] 这车不了。
[70:27.320] 车现在有护理，
[70:29.190] 有七八台现车应该是。
[70:32.420] 这没有什么高不高就没有跳。
[70:35.050] 飘的都一样。
[70:37.040] 对，这您放心。
[70:40.470] 奔驰现在是我见接触的品牌当中是最严谨的。
[70:51.360] 为什么我要去怀柔这老远别去还手了身上。
[70:54.640] 先上清河，你现在堵得。
[70:57.680] 7点到家了吗？5:30您去吗？
[71:01.230] 回头再回家，你跟
[71:04.200] 中华励志格言。
[71:05.950] 你也得吃还下午
[71:12.520] 都是具体的，我的跟没系统。
[71:15.160] 大哥激励你说什么配置咱们这么贵。
[71:18.880] 因为。
[71:19.600] 我们给我们说的这些是对。
[71:22.840] 正常一般来
[71:24.300] 保命优惠，真正要买的咱们在这个上面
[71:34.880] 把现在S换完了，
[71:37.120] 把家里另外一辆准备T的是一小咪咪把迷你卖了，然后这车
[71:44.670] 留下，现在老S我留下来，然后
[71:49.860] 踢掉，然后把住在
[71:51.820] 装脸上。
[72:01.630] 以前老陕老倒腾二手车，
[72:06.960] 他喜欢车，
[72:08.380] 我印象小时候又多了都快过，以前丰田白色又多
[72:15.280] 小的大肠鼻子，
[72:17.780] 一直到虎头奔骨头分开的是600。
[72:20.990] 然后。
[72:22.620] SS队一小改款以前
[72:28.090] 透明灯和白登蝴蝶，
[72:31.170] 鼓楼之后蝴蝶。
[72:33.440] 那就应该是这样。
[72:34.780] 5年之后我们是2012年买的，
[72:38.100] 在崇门那买，
[72:41.120] 那就是当时93 93万，
[72:44.380] 300300还是300 390 3万。
[72:48.370] 对，但是高配的
[72:51.090] 93是高配，低配卖86万。
[72:53.660] 那就是938,000。
[72:55.940] 然后就一直到现在，
[72:59.630] 我是说如果要是有这么一想法，他还可能也有再换一个，然后他现在
[73:05.920] 六十五六
[73:07.170] 这辆车之后有可能有兴趣的话，是不是在换在天一亮再添一辆中间，
[73:14.680] 他想换的月也要不就是一个家里面都没有，
[73:22.160] 有可能还会再加一张，但如果要再比买560上去这一版本，估计这钱钱数也不晓得。
[73:30.590] 明白
[73:38.410] 你到时候从那入就出去了，行需要没事到时您再过来行了，就这么着，完了行行没事。
[73:44.430] 行了没事应该的行好谢谢了，没事，反正我们要来。
[73:50.450] 行了好勒，在这。
[73:53.520] 到时候还是。
[73:54.310] 对，您找徐总到时候我就已经漫进去。
[73:56.840] 了好勒。没事行了。
[73:59.750] 再见。
[74:08.540] 数据。
[74:11.690] 远
[74:13.400] 数据。
[74:16.150] 的
[74:18.410] 场
[74:20.560] 数据
[74:21.670] 数据、
[75:43.150] 数据、
[75:44.250] 数据
[75:46.360] 场
[75:48.400] 的
[75:50.360] 数据
[75:54.870] 数据、
[75:58.270] 数据、
[76:00.810] 五
[76:02.240] 句。
[76:28.870] 数据
[76:36.210] 的
[76:43.690] 数据。
[76:51.550] 场
[76:55.880] 五
[76:58.610] 五
[77:09.760] 句
[77:11.390] 坏。
[77:14.800] 的
[77:19.730] 的
[77:24.750] 的
[77:29.370] 场。
[77:34.830] 的
[77:37.230] 场。
[77:45.550] 的
[79:30.790] 知道。
[79:41.560] 是我赶紧打回访。
[79:43.270] 晚上还得回去早点回去。
[79:45.960] 7点就是7点多8点到家。
[79:55.000] 谁能来说？
[79:56.490] 你把和尚打。
