[00:01.080] 7月16号上午11:30接待
[47:49.460] 这车好像改款是吧？我没记错，也是车头也是买天气是吧？对这车你需要的话在明年了，
[48:00.520] 我看一下有一个
[48:02.090] 一个瘫痪，有一个快到了，
[48:05.750] 有一台黑车，黑车的中磊外黑里综合，
[48:09.710] 这也快到了，这从防口已经发货了。
[48:15.930] 就是说这高配的。
[48:17.680] 对7座的你需要你可以先定下来。
[48:21.560] 有一台已经发货了784,000万的指导价格。
[48:25.170] 就跟这个一样是吧？
[48:26.380] 这个价格，然后350S350您看有什么新车？
[48:32.520] 350的低配。
[48:35.450] 350现在
[48:37.610] 全是黑
[48:38.930] 这一类的，还有台黑米，
[48:42.110] 黑棕我刚做的影像。
[48:43.970] 你看到展车那个样子，试驾也有，对，还有展车的样子也是那样的。
[48:49.700] 黑米的话就是米色内饰，
[48:51.660] 他是米黄色的内饰，
[48:53.390] 我去找不用去书店，我去吃个饭，行，您用您的手机注册一下，咱们把它立奔驰。
[49:00.300] 给你发餐卷在
[49:01.390] 用您的手机的。
[49:03.020] 这不是李吗现在？
[49:04.420] 对，公共号我就广州欣赏地方。
[49:07.860] 对，注册完以后我给你发三卷，这个能发吗？对我给你发。
[49:14.250] 投资考虑一下，反正客户通过电子就这样。
[49:16.760] 我不想说对。
[49:27.820] 我说什么？
[49:29.030] 从
[49:34.380] 有
[49:35.840] 好。
[49:36.910] 对，跟他说头上百的。
[49:39.000] 对柏的力争。
[49:41.190] 谁知
[49:44.430] 改革力度军官
[49:46.130] 对集团利润。
[49:53.650] 然后我
[49:57.390] 然后问了一下。
[50:28.210] 我没事。
[50:30.890] 我现在是不是那个了？
[50:32.590] 不是那个吗？后边后待冷。
[50:36.410] 回去考虑一下，然后需要来往下再随时联系。
[50:40.520] 然后价格政策基本上是这样的。
[50:42.480] 我觉得您的优惠而现在优惠是不是不算特别大？
[50:45.940] st和现在目前是最大的优惠，因为SB都挺好的，
[50:50.240] 都是新款。
[50:52.350] S级以前最高就是老板觉得最高优惠，
[50:55.520] 这个方法高速大概一到六七万的样子，8月10万，对，但也是因为没有说了，然后年底通过的时候，因为时间有几年的想不到，后来也没有
[51:05.420] 自己。
[51:08.200] 你说你们老板那台二手也说，
[51:10.680] 你讨论一下对买吗？对不开快两年。
[51:15.020] 那车好像我听说也动力也是一样的，这就是你说哪个反正号什么地方。
[51:22.270] 我知道就是它。
[51:23.660] 他那就配置高的安排做了成功吗？然后后边
[51:27.460] 配备高他寻发动机也是一样的。
[51:30.540] 对，他就是说反正是老款的吗？
[51:32.430] 老款的技术您吃饭去吗？哪里？
[51:35.770] 对。
[51:37.280] 把代金券那个门那进去了，继续上二二楼有个快餐，然后上来以后咱们一起联系，现在搞出扫二维码。
[51:46.950] 好，再见。
[51:53.200] 在重点。
[51:54.010] 后面对嘴巴的有手机没电了是吧？
[51:57.440] 临近流向上来以后就差不多勒。
[52:03.200] 现在都不做那种
[52:06.330] 东西就这样。
[52:07.720] 没有被你手机费现在到10
[52:09.700] 都开始收敛了。
[52:11.490] 对，所以现在你看分期比较好的选择一致，原理样板一打造的深化不能给你。
[52:17.790] 上官婉。
[52:19.270] 首先双重应该是防治，
[52:21.280] 还有一个没有分期手续费，
[52:23.720] 还有一个
[52:27.560] 你就是了，你最少的话
[52:29.360] 多好还没事。
[52:37.610] 了。
[52:38.860] 太高成为了
[52:43.520] 的
[52:45.910] 需要我不能
[52:50.410] 你肯定给我改叫我
[52:53.060] 我觉得
[52:54.760] 2B
[53:01.480] 用
[53:05.780] 数据
[53:08.210] 数据
[53:12.630] 场
[53:15.730] 场
[53:17.150] 数据
[53:19.680] 的
[53:24.800] 数据
[53:26.480] 数据
[53:30.070] 的
[53:33.600] 的
[53:39.240] 你别让他给订的，他订肯定不是奔驰店定损以后首先它金额不确定，谁知维修
[53:48.200] 或者是
[53:52.930] 数据
[53:54.620] 的
[54:15.780] 对，就是说你整个全换了，你看你这一点的
[54:20.560] 为什么跟他协商解决？
[54:24.350] 谁知
[54:28.620] 说完了。
[54:45.150] 你没问问他你的误工费怎么办？以后你修了三天车，我没有车开，
[54:52.740] 你打车费呢？
[54:59.540] 还不太好了，人家不管，
[55:03.720] 人家不管，你只能跟这个是主来协商，
[55:07.830] 是吧？你不用别的你
[55:20.080] 数据、
[55:24.560] 美军二
[55:25.980] 吃饭332费用的话不是正常赔，7
[55:31.860] 上诉。
