[00:00.960] 我知道了我进来。
[44:32.770] 我说昨天现在行，
[44:41.840] 没问题不见行，昨天限行来了。
[44:44.770] 没事我今天不去了。
[44:47.110] 就上班去。
[44:49.810] 不行改进被这给您。
[44:53.140] 多少钱再说。
[44:56.020] 正看着
[44:57.840] 看完之后大概半个小时左右才能出价格。
[45:01.990] 没事价格都好说，到时候出了价格你要着急走，你先走一会价格出来之后给你打电话。
[45:07.910] 因为他是怎么着，我们这是
[45:11.040] 都是直接上网拍卖直接外包的这种
[45:16.610] 区别是这样。
[45:17.880] 他是叫什么APP，我也不知道叫什么APP，反正不是人人车，
[45:26.910] 叫什么名来着？
[45:30.880] 因为他基本上都是对着车商，都是直接对车商干吗？对。
[45:37.440] 叫什么来着？
[45:42.850] 叫什么网？
[45:53.030] 价值网。
[45:54.110] 对叫价值。
[46:02.600] 你好。
[46:04.000] 我中午我再打一个电话，然后跟他说了一下，你们送给自曝也没事，
[46:09.390] 然后让我感觉4天一周时间太长了，被动。
[46:14.680] 所以你看那个名字，要不然就问一下，
[46:25.900] 过。
[46:43.020] 听完了。
[46:46.530] 了。
[46:49.040] 条张哥，
[46:50.590] 我马上就与你为伍了。
[46:52.680] 超哥哥你听听。
[46:54.500] 二实际售价是28分500一个佃户，然后我跟他然后你捡了一个1万 8 2739吗？
[47:02.270] 2739两天也就一周时间太长了，然后再点一个你贷款贷了一个141950对吗？贷款谁带过来？
[47:12.210] 我真的吗？
[47:14.000] 了给你了。
[47:27.600] 这个给你。
[47:39.190] 我要下次想来试下，我是跟你约会还是来医院跟我约就行了，到时候给我打个电话。
[47:45.060] 反正近期的话。
[47:46.760] 车牌行吗？
[47:48.230] 什么东西我出本号。
[47:51.280] 那个是周一限行，
[47:55.530] 508尾号是5。
[47:58.180] 周一限行到时候您哪天要过来的话，你先来电话，我到时候安排。
[48:02.320] 出来时间。
[48:04.990] 这是微信上这不是我也不知道这是个啥这。
[48:10.450] 你有微信吗？
[48:11.860] 微信的话，
[48:12.770] 来我扫您找我。
[48:14.700] 手机。
[48:16.070] 您放心。
[48:17.590] 你打扫。
[48:20.070] 我拿过来我发给你，你别动了。
[48:27.330] 到时候您微信吱一声就行。
[48:30.230] 谁知。
[48:47.870] 望一下。
[48:49.010] 没事，我们这都
[48:51.610] 毕竟联系。
[48:54.510] 这样
[48:55.880] 网上。
[48:57.780] 贝利是吧？
[49:00.830] 我说您这头像
[49:03.430] 是不是麻辣烫摊出来了，特别是什么？
[49:10.790] 我看上60我媳妇她没大，而且他觉得这车比我家的车晓，他在我们家那时候就都忘了后面翘二郎腿了。
[49:17.330] 他一上这车小点，但是后备箱比较大。
[49:21.070] 但是90有人就太长了，
[49:24.200] 不太长还一个大家说真是就带孩子出去玩是没什么必要没必要。
[49:30.100] 我刚才给他算了，谁知从买到现在
[49:34.030] 原价买到现在能卖多少钱，再加上这些8年的油钱保养和保险钱，
[49:39.210] 就单车和4块钱一公里够贵了，
[49:42.370] 真不怎么开带孩子特别
[49:45.610] 而且本来每个汽车油耗就高了，
[49:49.950] 而小老小区，
[49:52.090] 你看我的是乖乖，全是别人管我了。
[49:55.950] 很藏这么深。
[49:57.130] 三盟都过来，他管你看你也没法说人家。
[49:59.540] 我说搬家都过来，有时候还管一点，没法说，
[50:05.010] 我都不太想买太多了，
[50:07.460] 而我心态转出的时候特心动，后来中国考虑我们小区真没真是没辙哥。
[50:15.020] 就特想买6多块钱，3030多万跟
[50:18.820] 他就能差不多钱。
[50:22.230] 而且开关美的就是so萌爪被刀割是开关的。
[50:27.140] 每系肌肉车。
[50:28.610] 全国这么大了。
[50:33.110] 看看C260现在能看一下，我就不用看它成长都有。
[50:37.130] 太小了边上。
[50:39.080] C260，
[50:40.880] C20的价格，你说说白了你画CA轮的价格你还不如直接上S90。
[50:46.080] 都造成了
[50:47.040] 我们来到这看路标，他写的跟植物我跟那边去，他那边没停车场。
[50:51.810] 那是售后那边SOHO就在这了，就。
[50:54.710] 一路传过来了，
[50:56.980] 这边
[50:59.120] 这个园区就是前面一进口这一出口。
[51:02.530] 是单行南南门还有一个地方，我看您进出口跟着就是出口这出口。
[51:11.800] 您是从田村口进来的，
[51:14.540] 还是？
[51:15.370] 不过那就是从东门进来的。
[51:18.860] 因为前面门我就绕了一圈在。
[51:22.480] 有一圈
[51:25.290] 园区的话
[51:27.020] 拥有4个品牌，
[51:29.360] 知道奔驰、奥迪、保时捷、沃尔沃，
[51:36.880] 我也想看看斯巴鲁车，
[51:38.680] 450。
[51:40.120] 也差不多这家。
[51:41.470] 斯巴鲁怎么说呢？
[51:44.050] 斯巴鲁
[51:46.500] 这车型品牌都挺牛，
[51:50.540] 他就是做得不温不火，
[51:53.210] 你进去跟酒店那个车，
[51:57.120] 人家四环路那品牌不是玩不是正常的，咱们
[52:01.680] 西方国家用的不错，反正
[52:06.170] 我觉得我基本还想喝酒。
[52:08.420] 晚上
[52:15.410] 一会儿，
[52:20.340] 加了微信。
[52:24.820] 到时候哪天假？
[52:41.680] 的
[52:45.270] 单位
[52:49.160] 90
[52:52.060] 的
[52:53.280] 综合考虑
[52:55.940] 东西
[52:57.650] 小。
[52:59.030] 用科医生您用车不多，
[53:01.330] 二的话您这个小区它也窄，
[53:04.410] 为了孩子上学在海淀，
[53:08.530] 在西直门。
[53:12.630] 要不然我们
[53:14.010] 家在身边，
[53:15.720] 自己的，然后包括这些社长介绍的，然后包括还有
[53:21.730] 老破小就占一个学学区房还没跪。
[53:27.910] 然后。
[53:29.590] 然后小区环境也不行，
[53:32.440] 为了小区
[53:34.130] 别的特别的上学。
[53:39.030] 一会儿。
[53:40.570] 北京这些政策它就是这样。
[53:43.270] 没办法。
[53:53.270] 我拍照片给你发微信了了。
[53:56.420] 我也不我就找找放。
[54:01.790] 20架。
[54:03.520] 谁知
[54:05.420] 您出门扫一出门条。
[54:07.830] 咱们站在前台。
[54:09.820] 没事搁这块。
[54:13.230] 没事。
[54:21.670] 为什么？
[54:25.160] 的。
[54:39.770] 忘了ULU
[54:42.410] 行。
[54:43.400] 这关了就行了，广告。
[54:44.990] 这是推行了对吧？
[54:47.730] 一会儿出嫁打电话，
[54:49.710] 慢慢走吧。
[54:54.080] 对了，24小时我给您打个回访电话，回头我跟你再沟通。
[55:09.950] 后面这不挺准的，开吊塔吊，
[55:14.680] 我怎么90要退了，
[55:16.460] 还有90就有伤的。
