[00:02.490] 出色，张女士。
[53:02.000] 谢谢了。
[53:08.330] 现在姥姥想一想，
[53:10.600] 你们换到哪？
[53:17.400] 三年房200。
[53:19.750] 你记一下887631这个是33。
[53:26.120] 一。
[53:27.800] 二
[53:31.120] 来记住密码的。
[53:33.140] 799。
[53:34.420] 谁知
[53:38.450] 闪亮亮网站。
[53:41.270] 大家一会得去
[53:43.600] 银行换的，咱们老不用，那时没了，现在不是网站还是不好，很少有人用卡了。
[53:51.090] 好多东西转。
[53:51.860] 现在都用手机叫很少拿睡觉去了。
[54:00.670] 远远
[54:03.160] 场。
[54:04.960] 数据、
[54:08.540] 样子
[54:12.760] 我不懂。
[54:16.280] 说。
[54:19.110] 不懂什么意思？
[54:24.850] 这样你说我当时签了别家一个不一定付款吗？不让我再见你现在。
[54:30.460] 对。
[54:31.670] 咱拉那个女孩不懂。
[54:35.060] 一会给您，这上面有车牌号这张给您。
[54:40.410] 都是咱们电话通知是吧？
[54:42.460] 您听一下。
[54:44.210] 稍后给你打电话。
[54:45.930] 是尾号把动物好，谢谢。
[54:48.170] 让您在合同上面也有我的号。
[54:49.550] 你型号。
[54:50.850] 马上我的。
[54:51.440] 宋明电话都在这好了。
[54:52.950] 然后咱们随时可以打电话沟通。
[54:55.860] 一会儿您的卡条给我照片。
[54:58.830] 好行，你看看你方便你刚。
[55:01.520] 这上面公章。
[55:06.300] 印章交给。
[55:10.030] 然后那张票。
[55:11.450] 给你买。
[55:13.760] 跟费用
[55:17.270] 慢慢。
[55:18.560] 多问一下。
[55:20.540] 回头教。
[55:21.220] 交车款你的这种
[55:23.470] 帮您把刷卡单，
[55:26.480] 定金的收据，然后合同，然后车架号以及数据完了。
[55:31.830] 都已经写好了钢铁。
[55:33.960] 因为实在的系统里面。
[55:36.570] 你这是可能北京是头一个。
[55:38.960] 因为我就怕到时候回头今天短期要调到的，时候就没有可能在选择，可能是白的。
[55:46.780] 估计要买的颜色。
[55:48.740] 本来就。
[55:49.750] 白色都。
[55:50.380] 会出现。
[55:51.110] 稍等。
[55:52.980] 8点。sorry水洗完的。
[55:57.460] 电话号码，车架号了，
[56:01.620] 我告诉你生产好怎么好？
[56:13.190] 给你写上面了。
[56:14.760] 就是st没有这。
[56:21.660] 行没事了，您是开车来的吗？
[56:24.320] 没开始走这行吗？
[56:26.830] 楼梯行吗？要坐电梯还是走？
[56:29.960] 拿到。
[56:34.970] 这又出去感觉看着篮子是吧？
[56:39.350] 这上面都是进口吗？
[57:37.030] 然后
[57:38.650] 第三。
[57:39.570] 坐车去三层看看吗？有人等我们。
[57:43.520] 三层没有车没车。
[57:46.030] 办公区地面好像不我另外一个了。
[57:50.980] 三层你去了就你一人而三块。
[57:53.280] 坏。
[57:54.970] 我觉得
[57:56.120] 上去。
[57:57.560] 对
[58:04.690] 晚上。
[58:05.820] 今天走了。
[58:06.840] 这不是在外。
[58:09.850] 好吗？
[58:11.160] 你更好。
[58:15.730] 好。
[58:18.240] 考虑好是在那里。
[58:30.720] 也是在前台那个时候的。
[58:33.010] 就这样。
[58:34.410] 小于号。
[58:35.600] 小男孩的脸
[58:38.590] 可以。
[58:39.480] 可以写。
[58:40.760] 你说。
[58:43.880] 你说。
[58:44.960] 没走还是什么谁？
[58:47.220] 我看一下。
[58:50.600] 那些都是我
[58:51.800] 的优惠。
[58:55.690] 没电了，从那看，
[58:57.970] 往后退让。
[58:59.380] 跟
[59:00.680] 一模一样。
[59:01.790] 就比你小一点，什么车型什么的吗？
[59:05.120] 不一样。
[59:06.760] 也是
[59:09.130] 什么内容？
[59:11.380] 空中的的。
[59:13.440] 的。
[59:14.200] 有一个老家有两家。
[59:16.330] 也
[59:19.960] 的
[59:22.510] 谁知
[59:23.640] 这种
[59:26.810] 这几
[59:28.700] 知道的还是不一样，不是一个还没这么大，带着这种造型，有些就近，
[59:34.380] 基本上大致都一样。
[59:37.210] 什么都管。
[59:38.980] 好。
[59:40.120] 行。
[59:42.180] 刚才看看
[60:17.930] 规避这身
[60:20.210] 质量怎么样？
[60:22.480] 电缆的这不是omg是这车吗？那车实际效果跟这差不多。
[60:26.540] 但是造型谁知很多。
[60:30.160] 咱俩
[60:31.270] 完事。
[60:40.960] 等倒车时我给你打电话，行，谢谢你，别客气。
[60:45.300] 今天
[60:46.940] 特别
[60:48.460] 场
[60:50.150] 要
[60:52.440] 多
[60:53.960] 走了走走。
[63:04.490] 对。
[63:05.850] 那个是顶配的。
[63:07.800] 零售价la la就是说用配吗？
[63:11.670] 对。
[63:16.010] 谁知多少钱，您要是想给他算一下好吗？
[63:20.560] 但是我们等着得有小时了，他最后给您算一下价格。
[63:26.510] 我也不知道，就大概能那块您给我个报价。
