[00:00.320] 交车客户。
[42:35.710] 没事没见那样问我，我觉得明天
[42:42.690] 差不多
[42:49.850] 好
[42:53.770] 我问问那哥们明天早上行不行？
[42:57.160] 老板没事，明天都换不了款，欠你多少出？
[43:00.900] 你刷不了脸出去了，我以为你弄完事了，你那东西很嗨麻烦了。
[43:07.910] 首付都给你了吗？你怕了。
[43:10.270] 你是首付交了，但是他财务
[43:12.590] 钱不到账他不放出。
[43:16.630] 老板出去了，刷了，
[43:19.760] 把它刷脸，
[43:21.140] 你放在我们一下。
[43:26.430] 老板这都是没回去了，小林的老板对吧？
[43:30.220] 太麻烦，我
[43:31.990] 弄一回都完事了，左一趟右它线上审批，他不用本人来，已经很少是的都对。
[43:37.640] 你看没有。
[43:44.160] 对吧？
[43:45.900] 昨天刷了一溜够，你就说一遍就完事儿，那是初审是你出手重薪酬，不同意拉倒，得了你成了他的项目确认。
[43:54.050] 两趟他老得找他不对。
[44:33.260] 我看他老板在不在。
[44:36.990] 老板在不在？
[44:43.870] 车在不在？
[44:48.580] 卡车在不在老板的车上了。
[44:56.090] 他老板刷脸确认的吗？确认也提不了车。
[45:02.360] 还得给你个链接，还跟那天一样，对千个店。
[45:07.860] 对，你怎么又来一遍差不多。
[45:14.530] 拿你的手机被盗面对，那
[45:17.400] 我把链接发给你。
[45:24.610] 车在不在一起了？车不在这肯定出去了。
[45:27.320] 还有
[45:28.410] 好。
[45:43.090] 你们哥你打电话，
[45:44.640] 老板不再贷不出去，
[45:57.380] 早知道这么麻烦，就不要带
[45:59.530] 10来万块钱。
[46:04.170] 太麻烦了。
[46:05.560] 我弄一遍就完了，是让他4点方便。
[46:08.280] 今天放假三个人弄出去了半天，
[46:45.130] 给你叫过来点，
[46:46.220] 一下子茶水把茶水什么都行。
[46:51.260] 矿泉水来两天。
[46:53.000] 38要不要喝水？
[46:56.170] 有没有热水？有，他这热出来。
[46:59.970] 茶茉莉花茶。
[47:03.450] 来看梅花茶烧水。
[47:05.290] 对行。
[47:06.480] 我想要三瓶矿泉水，然后三杯花茶，对。
[47:13.350] 有什么差？
[47:14.870] 白茶白茶也行，三白茶。
[47:19.220] 是前二楼。
[47:22.130] 给我送来。
[47:26.750] 这个确认明天跟渠道不行，
[47:29.560] 那就给打电话。
[47:32.890] 您现在是我给发微信，不知道他现在干嘛，万一要开会就上午去的记者才
[47:39.030] 了让我去冀北。
[47:41.030] 对吧？
[47:48.030] 主要他的人员确认他的人脸难受，人家在我打电话要过来。
[48:17.770] 他的手机也弄不了的。
[48:21.110] 这东西。
[48:22.210] 他那要是不发严重的应该是他就是发验证码的费劲。
[48:27.610] 后来。
[48:29.610] 的。
[48:48.120] 明天上午。
[48:49.200] 原来你上班
[48:57.040] 时间忘了没事。
[48:58.370] 你下午上班给你打电话三毫米。
[49:02.310] 我已经
[49:08.850] 现在车动不了着不了了。
[49:10.300] 回去板块来说。
[49:12.080] 行。
[49:16.800] 你今天把款先付了。
[49:18.760] 要不明天也麻烦您小董还有别的事儿，那行，反正迟早还得弄我。
[50:46.910] 的。
[50:52.110] 画家是他听那边要的吗？试试这。
[50:54.400] 坏数据。
[50:55.840] 坏
[50:58.150] 场。
[51:01.560] 的
[51:05.520] 谁知
[51:06.670] 同时我给你和我说往前走，
[51:11.550] 有两个你看那边
[51:14.650] 三
[51:16.680] 别让
[51:25.720] 礼拜八的时候已经
[51:27.520] 一块办了是吧？
[51:31.280] 我说临牌你
[51:33.070] 听见了吗？
[51:35.040] OK你先回去，然后
[51:38.570] 我这没事了。
[51:41.830] 我反正
[51:46.760] 我知道肯定是他自己。
[51:48.870] 他自己选是现场选吗？还是怎么选？
[51:55.210] 没问题。
[52:00.560] 没问题，到时候等明天我要验车之后，然后待会联系您，我直接跟他联系。
[52:07.760] 他确定他选号的时候。
[52:10.370] 行好的，开始注意安全。
[52:13.440] 谢谢拜拜。
[52:15.090] 学习回来看一下。
[52:17.170] 一百二六。
[52:19.280] 不是二。
[52:20.160] 23,000。
[52:22.010] 快要过去了。
[52:24.850] 看
[52:25.640] 谁知
[52:27.100] 设备没有。
[52:31.980] 这都是自然。
[52:40.160] 他那个车全面给他说了。
[52:42.280] 好的，手续在你那吗？
[52:44.870] 好了，拜拜。
[52:48.370] 当时天津调
[52:51.640] 火灾带了吗？待了。
[52:54.880] 有了。
[52:55.750] 给咱拿那两口子的，您在这里在车上
[53:00.390] 做错了。
[53:05.860] 我现在给您确认对方金额，咱先一个一个来。
[53:09.760] 先说您这样一的
[53:11.680] 这样一的话
[53:14.060] 864,800。
[53:18.660] 不是我之前给您算。
[53:20.600] 864,800，这车价购置税76,530块9毛7。
[53:27.070] 保险
[53:29.480] 我给你算，
[53:30.750] 合完之后是16,808块5毛1，上面2500，合计是960,006
[53:38.440] 百39块4毛8减去贷款金额。
[53:45.380] 605360605360改成一个1万现金，
[53:50.800] 根据今年实际交的是345,279块4毛8，
[53:55.260] 这是教财务的。
[53:56.660] 1000和98就领电视得单独交，
[54:01.190] 转账时候不能一块转，就单独交。
[54:04.090] 您刷卡也行，发微信也能进去也行。
[54:07.230] 我先给您说一下。
[54:09.360] 这是咱当时算的一个
[54:12.340] 你当时算这不是958,400这都没有96万多了。
[54:16.890] 958,450，你就算你说就我看
[54:30.520] 当然税算的不对，
[54:31.970] 睡差了500块钱，
[54:34.020] 5000块钱。
[54:35.220] 786860。
[54:37.250] 600当然睡不对，
[54:39.910] 睡不对，然后当时算保险不对，都是估算的。
[54:42.970] 今天是把所有的前额做到纸面上了，最终的结果，
[54:50.460] 这个是最准的一个地方跟实际发生的事。
[54:56.400] 这个是给您算的。
[54:58.610] 正式的合同。
[55:01.260] 千。
[55:02.590] 补充。
[55:04.610] 正式的合同给解释一下。
[55:06.710] 这个是一式三份。
[55:09.220] 今天日期改成今天了，7月7号，然后
[55:14.950] 哪变化？
[55:17.620] 这是咱当时定制的一个合同。
[55:20.000] 因为不是订了79号改成了今天，然后是
[55:26.250] 提供小米电视，
[55:27.850] 把给删除了，这个是不允许的。
[55:30.430] 我就回头我给你发号码直接好处了，把联系就行了，帮我签字行吧？对美方的签字。
[55:37.330] 1 1498是什么意思？
[55:41.390] 收购百分之家里一个人风里不允许说是我的服务到底是怎么符合您
[55:46.900] 给您
[55:47.900] 您发一个一千四九十八上平安保险，给您提供一个电视。
[55:53.730] 别的没有了。
[55:55.860] 就花1498买个电视，然后放在百分之乡里，一次给你2500，如果出险的话，
[56:04.430] 但是除了鞋以后，
[56:06.760] 对。
[56:09.400] 出血以后怎么办？
[56:10.960] 给你2000 2500，
[56:13.290] 就等着。
[56:15.000] 等到第2500块钱，对直接打你卡上。
[56:17.840] 在这签字。
[56:20.870] 是吧？
[56:22.810] 然后督察一个
[56:24.830] 行一个人一样签都签了。
[56:27.600] 感觉份因为咱
[56:29.930] 太多了。
[56:31.290] 了。
[56:51.400] 也不出不出血就没了，口眼就没有这边给您电视吗这个事？
[56:56.480] 在这写。
[56:58.380] 这是吗？对。
[56:59.660] 买方签字有钱。
[57:13.520] 这部分钱上哪去？
[57:15.600] 签一下这个是一个委托书，就委托您来办理这个车的所有手续。
[57:21.870] 是吧？这天是吗？代理人写你的名。
[57:25.450] 到
[57:27.720] 看
[57:28.600] 委托人写大哥的。
[57:31.390] 对。
[57:39.170] 千刚才您发
[57:48.520] 今天这会有个明细在
[57:52.440] 公交的钱。
[57:56.060] 35
[57:57.710] 345279.848，
[58:00.630] 34527.48，
[58:02.570] 我也可以给手段，这是我入住系统的，我一般都是这么对OK没问题就可以了。
[58:08.210] 因为我穿今天交这些钱是吧？
[58:11.200] 对然后再单独个交易先喝酒，
[58:13.410] 这是交现金的销售，还有一会转账的时候就把那个数这个车子
[58:19.690] 然后我再给你现在说另外一个车，
[58:23.920] 给我找点劲让他们打我没问题。
[58:28.530] 账号上面有。
[58:30.490] 账号没有？
[58:32.420] 账号写着。
[58:39.190] 账号
[58:43.320] 这是账号。
[58:47.370] 那就在
[58:49.480] 就往这打对。
[58:53.520] 由快
[58:54.960] 忘了，行，下午几点到几点？
[59:00.750] 分两笔转。
[59:02.790] 其实调凉皮转让一笔是吧？这一块转两车不是。
[59:06.900] 谁知
[59:08.940] 了
[59:14.830] 花
[59:22.740] 把数据拿出来，数据拿出来了。
[59:25.280] 场
[59:32.360] 远
[59:35.320] 对
[59:36.770] 的。
[59:41.670] 对，您这样的话还得带
[59:45.010] 多少个1万。的？
[59:50.440] 坏。
[59:52.350] 场
[59:55.600] 发给他了。
[59:59.360] 远
[60:03.020] 数据
[60:05.890] 点确认一下你那天简单
[60:17.080] 这个还不太对，您等会他的钱算错了，待会告诉你。
[60:22.690] 还在先联系老板。
[60:28.250] 说的我把微信发给他了，
[60:32.050] 老板我也发了，
[60:37.150] 但是身份证完了
[60:39.640] 方面
[60:40.480] 数据
[60:43.390] 数据
[60:44.390] 数据、
[60:46.000] 电话。
[60:47.850] 数据。
[60:53.950] 给你发链接，你没在单位，
[61:07.560] 确认一下。
[61:17.700] 行，那就到单位再说，明天再说好吧？
[61:31.970] 花
[61:34.440] 走。
[61:38.060] 老大了。
[61:39.750] 在这就不要了。
[61:42.010] 太麻烦了，什么玩意这一天到晚的让我弄。
[61:46.510] 本来就是那天弄，昨天都过了，你今天又来一趟那份审批，这是确认。
[61:53.080] 你得说清楚，昨天他认为这首元还行，挺简单，他就嫌麻烦，
[61:58.630] 这样的话就不买了，不要了。
[62:01.300] 挺麻烦，他在外边开会，他那手机不用了，他不是使得普通的问题明天再做，一会您再说没的确认。
[62:09.060] 你别确认他这已经录了，刚才看到。
[62:12.900] 你说你们这真是
[62:14.800] 二
[62:16.320] 他在单位我们这有秘书什么的，帮他们在外边开会，让他跟着忙活半天不行了，什么破玩意儿，
[62:23.130] 他的手机就弄不了土地的风格了。
[62:28.640] 对
[62:43.290] 明天
[62:45.390] 老板说了就这样，今天必须这么做，
[62:49.970] 我不确认就得把车拿走，把钱交了，
[62:53.370] 非得让学生总量
[62:55.050] 我那边要么他不跟你说，明天去了，明天我们回去我给他们了。
[63:02.070] 因为当时那天闹以为就取起火，怎么又弄一个下又录像又签字了，看人家认为你这
[63:11.610] 因为骑过了，
[63:14.330] 已经过了你就去了，当时审批的批过就过了，是为了
[63:20.480] 这个房子可以去问问现在这情况怎么弄，要常住，
[63:24.470] 能不能着链接点开，先把车提走过后再来弄好。
[63:31.110] 今天把车开回来了，又走了。
[63:33.680] 说话。
[63:36.090] 我也不要了里边你这让他看看车明白给你弄。
[63:41.710] 对，我回去就跟他车震了。
[63:43.830] 听歌一会你过来趟。
[63:51.630] 老板那边是行，我先弄点手续先办着，还有机会再抱着我。
[63:57.660] 有人过来三
[63:59.200] 对着老板那边应该忙着，因为暂时不了解的事。
[64:04.910] 确认不了，后来看协商一下看能不能
[64:07.950] 明天提车还没放款怎么着？
[64:12.910] 只能是点击完之后才能咱出来放款。
[64:17.520] 提交不了发不了车。
[64:21.360] 行行好了拜拜。
[64:32.380] 的。
[64:35.590] 他那边审批
[64:37.200] 确认不了之后他提交不了放不了款。
[64:53.310] 对。
[64:54.580] 咱们有人帮他弄就没事，在外面谁帮风筝。
[64:59.280] 那天弄也弄不了，他手机是那昨天弄了弄半天是那昨天我俩弄的，咱们两个一块弄的。
[65:09.280] 他以为是没事了就提活了，不是。
[65:12.850] 我现在录视频就录了好几遍，又来一遍。
[65:23.640] 别人。
[65:27.200] 谁知
[65:29.390] 他确认了吗？不要弄录制的视频本人验证的他
[65:34.730] 等等开的店面不给贷款给老板，不要影响我贷款了，算了。
[65:42.450] 长期其实他不方便，如果咱们自己弄的话其实很简单，可能老板他平时可能不是手机不对，人家使得老板级就没有干这事了，你知道吧？
[65:54.530] 为
[65:57.760] A
[66:03.980] 还没
[66:07.050] 现在不太确定，因为以前他不敢去。
[66:12.610] 好，拜拜。
[66:14.490] 你问我能不能
[66:17.610] 把手续办完了以后把车提走回去，明天不走，咱不是吗？他犯不着款他控制住。
[66:26.190] 就是这样了。
[66:29.980] 的。
[66:32.230] 我这肯定弄不了，老板没带怎么去。
[66:36.040] 走走吧。
[66:40.050] 不然地上不动了。
[66:42.220] 闹不了你不是弄不了吗？
[66:44.880] 我怎么弄？
[66:45.800] 我没办法了，
[66:48.190] 对吧？他明天不能往下办了，我也不能来了，怎么办？
[66:53.720] 就先不换了，
[66:55.150] 下班先把鸡蛋弄完，给明天留点时间。
[66:59.000] 行吧，孩子来一趟了。
[67:05.750] 把箭头弄我都给弄完了。
[67:07.600] 好吧？
[67:09.840] 谁知
[67:11.400] 交车时间交付日期
[67:14.360] 7月9号。
[67:17.540] 7月8号。
[67:18.960] 昨天你早就说了，你们也是弄你们那个事，昨天说一块昨天给发过去不能确认了奖。
[67:26.130] 昨天发过去一块就确定多少。
[67:30.150] 到了内部到把内部它是一个审批太麻烦
[67:35.240] 了，我刚才一听说韩谈到一部分麻烦了，我们老板就怕了，人家贴一个上门服务。
[67:44.500] 你有多少钱？
[67:46.760] 对不对？人家从来不用人追着去，你在哪我找你，要不你先找他的人，
[67:51.560] 你们又没这服务，
[67:54.300] 你说你怎么弄？
[67:57.290] 你还宾利，你甭管什么叫比你老奔驰，
[68:02.430] 人家上门服务是随着你服务，你这到好你
[68:08.200] 不干了，
[68:09.360] 写了，那时候泡的好拿不到的，明天上午过来放不下。
[68:14.930] 买的东西
[68:17.410] 能不能明天入住人家自己来，我说我后来
[68:21.240] 没工作。
[68:23.150] 28岁2
[68:25.300] 明天一直来，所有事都办了，到带着老板份，
[68:30.610] 还带老板是不是今天带着你先把它真正的是用了不就完了吗？好现在干不了地方也没发票没出还。
[68:38.710] 谁知
[68:40.230] 哥们把这退了我不要了，
[68:42.360] 真没工夫跟你捣这骚。
[68:44.870] 老板身份证我给你说了很有时间的，你不能说今儿让我拿了，我今天把那身份拿回来了，
[68:51.150] 人我电话跟你说了，把这只给我半天时间，你现在半天办不完我不要了，
[68:56.790] 捣不了这乱，你要今天能把这身份证是解决了，我明天我让一来我不用拿着身份证到该盲人盲人，
[69:06.320] 但现在不是差的，
[69:08.490] 真不要。
[69:10.110] 我说在哪买都行，我跟你说实话，姚姚家园给我打电话83万一分钱不见，
[69:16.620] 我给你订了我就没好意思跟你说这是
[69:19.490] 你知道吗？姚家园这
[69:21.720] 我今天一天我也没跟您说说，这是姚佳你们都加我微信了，
[69:26.770] 知道吧？
[69:28.840] 真的我
[69:32.390] 对吧？
[69:34.540] 我都不好意思跟你说，这些事我都给你提，你还那么麻烦，我还不去他那买对不对？比那便宜3万。
[69:41.920] 前好多天
[69:43.160] 因为我也没办法，其实这东西都按照刚才办的，就是说
[69:46.990] 你说今天咱们审计放不了，开了发票，
[69:49.840] 拍出来之后就是范宝健你把它用身份证的事今天全给办了，完了办的话就你得打钱，我开发票我给你打钱你可以没问题，马上走，我没说不给你打，就把方案出来看看行不行？
[70:02.110] 没问题可以。
[70:03.710] 刚才我不是没说完吗，不过有些是把电能办先办完。
[70:07.220] 这个意思。
[70:10.050] 前两天收起来。
[70:11.330] 先搁着。
[70:25.030] 结果。
[70:25.880] 开会。
[70:26.960] 03
[70:31.800] 刚才给您说
[70:33.560] 价格的话回家1万块现金吗？你打钱是
[70:38.580] 35万就多1万块钱，
[70:40.650] 然后我再把100万给您。
[70:44.390] 好吧，然后。
[70:46.630] 我没事。
[71:31.490] 这也刚才那是一样的。
[71:33.110] 这个是用
[71:54.910] 不知道去哪了。
[71:56.670] 龙哥打电话，
[71:58.340] 他手机登的，他们在哪他必须得回单位这个。
[72:03.820] 就把
[72:06.600] 电视
[72:08.080] 了。
[72:10.200] 电视不是他那个一样，这应该他签字都你来办公室吗？
[72:15.280] 问问这让他签吗？能行行好勒。
[72:21.770] 点钱都行。
[72:28.470] 不一样。
[72:32.520] 把日期改成今天了，7月7号。
[72:45.520] 这个是多少钱？
[72:53.820] 一
[73:03.190] 了
[73:39.720] 把你的生日我用了一下。
[73:42.520] 好。
[73:43.400] 这个是plc的题，就打的你照相你发给小董好吧？
[73:51.090] 哪个？
[74:10.840] 我们现在也有个单子。
[74:12.560] 什么？我这看不到之前算的是吗？
[74:19.230] 我用这个照片。
[74:28.850] 的
[74:32.480] 的
[74:34.170] 场。
[74:38.280] 的
[74:40.650] 4
[74:56.570] 441973这样。
[74:58.820] 16773。
[75:00.710] 这不是30%的首付吗？她不是近50%了，对。
[75:05.960] 谁知
[75:23.570] 我说打多少钱？
[75:25.160] 打了20多万，打最下边这数对。
[75:33.930] 你把这个打了，这不打就等着说你就照这个
[75:37.650] 这个照完了发给了。
[75:41.070] 这帮我签个名。
[75:44.410] 她1万退给你。
[75:48.510] 这帮我签。
[75:49.850] 代理人签的名。
[75:51.560] 人。
[75:57.970] 然后这儿写了老板
[76:00.770] 不会。
[76:02.350] 不行了行吧？
[76:21.110] 了。
[76:24.470] 看看时间。
[76:27.530] 后来。
[76:31.470] 过来。
[76:42.400] 下去
[76:49.910] 大概4:30左右是吗？
[76:52.510] 4:30。
[76:55.630] 上。
[77:01.000] 了
[77:02.950] 号。
[77:04.310] 的
[77:09.440] 号
[77:24.880] 一下把车
[77:30.720] 了。
[77:33.720] 你说明天再来。
[77:36.960] 他们这开不走购房款，
[77:44.800] 随便你要说好，
[77:46.550] 都搁着你，你要收好。
[77:49.390] 过去。
[77:53.570] 我能开走吗？
[77:56.900] 给你打过两辆车的钱看不懂一个。
[77:59.720] 对都开不。
[78:03.100] 他不是钱不钱的事，对就简单问题，我说你们这不赖，我们在外你们那天那个系统里边你就弄一下就完了，你非得弄了活着了。
[78:11.950] 对，把你发给你就得了，我发给老板还给你那个一样，好还有小组。
[78:22.520] 对，就这些识别我这给你发的比较多合计。
[78:30.480] 爸爸回来了。
[78:40.960] 不是，其实征服来打，你说那天弄一下就完事，你昨天那天弄了好几遍，我看看上又来一遍还
[78:47.710] 我承担
[78:49.570] 条卖房。
[78:50.520] 说什么？
[78:51.840] 因为这事就我们俩的事，快点人说老婆早完了不干了，这条对差了。
[78:57.090] 你换了试试，因为他根本不敢。
[78:59.740] 那天闹了一遍了，那天一变我一直头皮我哥哥在那里你操作，
[79:05.070] 你说他要了一遍，你确实也是那行你说。
[79:09.270] 而且你说说将来确实是还得提前说也行也不说。
[79:15.030] 你跟他说最后弄完这边将来以后还有一个圈子，你还得摔A咱们心里有个底是吧？
[79:20.880] 咱们有个准备，等他把做一下出现，
[79:23.240] 他都不知道让他突然袭击我，看你这巴有多麻烦。
[79:28.770] 你想去来了三回平谷车，老板都不着急。
[79:32.550] 肯定高。
[79:35.290] 生气得了我先把全款
[79:51.650] 抓完牌才能听。
[79:53.930] 不用真的不用。
[79:56.220] 运费办完身份证以后，
[79:58.760] 那天我去
[80:01.220] 基本格式吗？
[80:06.610] 确实天鹅肉完了媒体什么房子答复吗？
[80:10.210] 开这么多年也没睡过一块。
[80:12.550] 就是什么洗车的时候这两个站
[80:17.150] 现在说的是你说如果你跟他推一下回头要，
[80:29.080] 那是什么？
[80:34.270] 的。
[80:41.840] 对着。
[80:42.780] 对的。
[80:44.170] 对。
[80:46.820] 规定这肯定是对的。
[80:50.810] 没法玩。
[80:52.640] 是我贷款的，我该填的我已经填完提交过了。
[80:56.490] 专门车的指标。
[80:59.520] 的钢材要确认一下。
[81:06.880] 这边借款人就是我什么单子我提交过。
[81:11.390] 就是说完了。
[81:14.040] 过程。
[81:16.700] 了告诉你。
[81:20.710] 没错。
[81:35.110] 行，我待会让他
[81:36.480] 那个人我让他过来给解释一下。
[81:38.400] 好。
[81:39.560] 好。
[81:42.630] 你给那个人稍微让他上。
[81:45.520] 陈蓉。
[82:05.600] 除了
[82:09.940] 二
[82:12.060] 这边。
[82:13.110] 你再过来一下，
[82:14.560] 我们确实需要问一点问题。
[82:19.010] 二还在二楼。
[82:26.070] 我都问我这快没了就行。
[82:29.970] 时间了还是了？
[83:17.930] 他们经验好。
[83:18.840] 负责咱们就先说明白。
[83:21.000] 就什么谁知到是吧？
[83:24.680] 现在老板对着合同产生歧义，
[83:27.220] 他写借款人确认我老板说这谁，借款人应该不是我。
[83:32.650] 有点确认融资。
[83:34.370] 他还什么人？
[83:36.870] 是吧？
[83:38.050] 那边老板那边秘书我给他打电话，我打过去你跟他解释他一个借款人为什么写我们老板的名字，对，因为它的指标
[83:46.640] 他问题这个是我贷的款是您是承担后续的还款义务吗？因为车载体系里它是指标人，只能作为他是属借款人，对。
[83:55.050] 你跟他解释一下好吧？
[83:56.720] 行。
[83:58.380] 好吧，等会我让你。
[83:59.680] 金融专家跟你说一下，
[84:01.740] 别专家组。
[84:03.140] 您好。
[84:05.670] 女士您好是这样，因为您不是走的车贷，因为现在北京牵扯到一个指标的问题，
[84:11.690] 这个指标是谁的？在车贷体系里只能是指标人作为主借款人，但是它是单纯提供一个指标，然后承担后续还款义务的，都是由担保人来承担，就是霍军先生还有崔先生。
[84:32.120] 的
[84:34.510] 还款卡都是提供担保人的。
[84:39.800] 扣款的卡都是提供担保人的。
[84:48.040] 对。
[84:51.310] 一会我们这儿可以给您发送一份电子版的划款授权书，因为是担保人来扣款，所以说划款授权书上都是的名字的卡号，担保人的身份证号
[85:00.530] 也都能
[85:08.170] 有，因为是您的指标，
[85:10.400] 因为是您的指标，这车是您的名，
[85:24.590] 没有还款机就不用您还款。
[85:30.960] 车。
[85:32.090] 但是它是有一份附件的，是一个划款授权书，一会可以给您发过去一份电子版的，因为不是用您的卡里扣，所以在您的那系统里看不见。
[85:40.200] 在崔先生这边系统里是能看见的，有一份单纯地划款授权书。
[85:46.170] 因为这合同您对您没看下边有一个保证人吗？
[85:50.240] 要用您的卡夹着保证人是干嘛？
[86:06.720] 他是这么讲，但现在还款卡就是说您还款卡不都是提供的保证人的吗？现在也没说让您提供还款卡就再重新拿扣款。
[86:27.980] 您是他条款是那么写的，但是是从实际上来讲，因为您那边只是出于指标，
[86:34.280] 因为北京现在就牵扯一指标问题，这没办法。
[86:36.960] 车载只能是指标人作为主借款人，
[86:39.950] 但是
[86:40.940] 您当时申请的时候不也没让指标崔先生提供任何的什么收入类文件了，不也都没提供，就提供一注哪一身份证就行了。
[86:49.490] 了。
[86:51.110] 之前银行卡只是单纯的通过银联渠道验证您的姓名、身份证、手机号，
[86:56.340] 确实确认是他本人登录的，跟后续还款都没有任何关系。
[87:04.870] 他就不会从那扣的，一会我把那款授权书给您发过去。
[87:09.630] 对，他就压根不会从您那扣。
[87:12.870] 有两份，一个plc一个交易两块的话帮助晏殊。
[87:36.810] 是我明白。
[87:44.080] 为
[87:48.550] 款，
[87:51.460] 拿卡，
[87:54.070] 卡。
[87:56.950] 局长。
[88:06.830] 对后面的处理。
[88:09.810] 他们知道这边转转可以往下看，这里昨天再看看。
[88:23.320] 下来
[88:29.110] 看。
[88:39.560] 你说。
[88:52.400] 但是这个确实没办法，因为现在
[88:55.940] 他车贷从
[88:58.260] 申请角度它就只能是您作为的。
[89:04.520] 远远
[89:06.680] 数据
[89:09.020] 场。
[89:12.090] 远。
[89:28.880] 为。
[89:42.100] 您要说走奔驰金融可能就走
[89:47.530] 汽车金融的这类，因为所有的专门的车贷都是有指标人作为
[89:53.270] 这块的，
[89:54.100] 这个是改不了。
[90:29.440] 行，我先把那个话说全说给你发过去。
[90:31.810] 对了，说出来对。
[90:33.790] 我都收起来了，就直接给您办退款。
[90:37.900] 我先把这块授权书给他带来，
[90:43.810] 能不能麻烦？
[90:45.790] 好事多磨。
[90:48.350] 吃完饭以后父子在B了，
[90:53.840] 应该带几？
[90:57.520] 带卡了吗？
[90:59.040] 来你带已经安排了吗？不再银行卡你把那一半付了，你可以把车开走了，我感觉一般付了就把车给开走了。
[91:06.690] 不是嫌麻烦真行，你一边不了回头明天再退你。
[91:15.850] 应该付的。
[91:17.110] 对，身份证我都复印一下。
[91:19.600] 单位的身份证，你的身份证都还用着干嘛？
[91:22.650] 还没复印。
[91:25.660] 又不要干嘛，他有用留底的。
[91:28.420] 办了手续
[91:32.110] 都不爱，剩下不到
[91:34.040] 车主什么的我们俩就没用了，你是一个委托人，
[91:37.200] 委托你来办这个车的所有手续。
[91:59.450] 这个就没有了。
[92:01.310] 等会。
[92:17.820] 单位大学
[92:18.950] 条件也好，
[92:24.190] 都这样。
[92:25.320] 但是
[92:27.920] 车
[92:35.180] 贷款金额没那么多事儿。
[92:38.290] 知道。
[92:51.840] 远。
[92:59.090] 了。
[93:03.530] 没有了，最后一个。
[93:09.210] 她下去拿去了，那一个楼上一个楼下到一楼拿去了。
[93:24.250] 他们又对借款人是谁产生歧义了？
[93:29.950] 它借款人它这老板他们认为就应该是你和我
[93:33.930] 反正这认为借款人就是老板，
[93:36.530] 你组建回来的看你们不分主，咱俩算担保人，对人家指标人家的，完了银行就干什么。
[93:44.060] 对，后来金融的评价标准
[93:46.910] 两完了支付的，他们需要办比赛，咱俩算担保吗现在？
[93:52.930] 老板对这个不太理解。
[93:55.150] 谁去贷款的？
[93:59.130] 因为收入证明不是负责咱俩，因为咱俩可以贷款，咱俩可以借款。
[94:04.690] 对，他因为正常最后是不是还得出一个车辆抵押来抵押呢？
[94:10.990] 对。
[94:12.810] 对吧？
[94:15.770] 大力管咱们拿不到。
[94:20.360] 对他这块应该是这样的，一般的
[94:23.300] 车贷应该是这样的。
[94:25.300] 什么时候花完了代理本都拿到。
[94:27.700] 也就是两年半了，两年或者三年。
[94:31.020] 宝马那么的银行清单，
[94:35.590] 他不是银行，它是它的功能金融公司有大概的都一样，
[94:51.520] 看了两份，
[94:52.810] 直接发了两份罚款的人。
[94:57.070] 送到你那了吧？
[95:16.480] 从老板
[95:18.070] 挂
[95:20.250] 部署老板的钱。
[95:23.750] 微信没看，咱留着卡号都是老板。
[95:26.920] 不是你们俩的。
[95:28.280] 就不用给你打。
[95:29.900] 不是你们俩给我或还款，是我俩出货量卡里面扣钱吗？对放款授权书。
[95:36.550] 对吧？完了他拿着看看您，我先拿着或者用。
[95:44.530] 可以抽时间，咱俩都有。
[95:47.520] 不是，他老打电话是不是？
[95:50.480] 我在抽烟我再上来回来就更麻烦。
[95:53.410] 真是费劲。
[95:56.060] 为下回再
[96:00.490] 烦死了，我想尝试一下，
[96:02.920] 在常州先看的不好，
[96:06.730] 一点都不愉快。
[96:11.340] 看看我房子的贷款，因为8
[96:17.570] 国家
[96:19.700] 我那会儿办理房屋贷款的时候，我再发银行，
[96:23.640] 这个号发完了以后给开个条放款开不到。
[96:28.100] 给你开出来叫什么？
[96:31.160] 有必要的。
[96:48.170] 您老板的意思主要就是怕后续如果还款两天忘了，
[96:53.290] 可能逾期了。
[96:54.660] 所以他怕对他这边
[96:57.010] 包括公司什么造成什么影响，
[97:00.210] 对你不良信誉，
[97:02.540] 老板他不能给您盯着这个事，
[97:07.650] 你们还是搞得不人性化。
[97:10.400] 对，没有人性化，因为必须符合国家的相关法律法规，
[97:14.160] 没有人性化可言，这两家他们也可以优化，不是金融公司跟您银行是一样的，它受
[97:21.720] 国家银监会监管肯定，
[97:24.020] 你尽管是你毕竟自己家的，你可以把你说这些规章制度可以，
[97:30.310] 所以我跟您说金融公司的规章制度没有人性化可言，那就是固定的。
[97:37.620] 了解。
[97:41.820] 没有人的话可以。
[97:43.080] 对信用的。
[97:45.830] 对。
[97:47.360] 您看看
[97:49.340] 我这边这几天做一那什么，
[98:08.610] 我也没辙，你要说从咱们店给您交车什么人性化怎么样，您方便，这都简单
[98:13.500] 跟您沟通一下，但是这些
[98:15.390] 条款类的东西
[98:17.420] 就没法说去给您什么，你给我改条款。
[98:20.690] 价格都不可能，这都是必须在引导单位这都被灌，
[98:24.610] 没人去能给您改这个东西。
[98:37.950] 那就我打电话。
[98:39.360] 您知道吗？明天见。
[98:44.290] 好。
[98:54.640] 到位了吗？批了。
[98:56.780] 没动。
[99:01.390] 提前
