[00:00.990] 什么先生？
[55:15.660] 厂家已经每个车型收了一个点的优惠，
[55:23.990] 谁知
[55:26.340] 现在全款给您算，因为分期的话也是迟到不一样，但是分期的话是两年免息，现在目前
[55:48.620] 35万七八万吨再看一下。
[55:51.870] 然后这个是车的指导价419,900，优惠了9万，
[55:56.340] 优惠完是329,900，然后减去如果置换的话有1万的补贴，
[56:00.720] 然后裸车价317,900，验车费3000，税是2万吧，
[56:05.240] 保险预估的8000，就根据您上的险种多退少补，然后总共30万357,000。
[56:11.180] 行，我拍一张。
[56:18.640] 要是顶配的话，
[56:20.450] 平台41多41万多。
[56:23.430] 主要是贵的音响了是吧？对那一个360影像也应该1钱1万多3。
[56:29.450] 要是普通的话就是一个后置是吧？
[56:32.540] 鲎帜不是就是一个后边的一上楼对潜雷达后面有向前来360度雷达。
[56:38.600] 对，不是他前面4个放，前面1个说这2个位置能监测到。
[56:46.590] 明白。
[56:47.850] 所以其实性价比的话还是中配比较好。
[56:51.270] 怎么说其实
[56:53.100] 如果你的音响要求不是特别的不是特别高，其实中泰中配是曼代工的，其实音效也差不多。
[57:00.310] 因为普通人
[57:02.020] 就正常人听不出什么太对，而且你无非在车上听歌也都这情况，上下班堵车，而且车里就外头比较嘈杂什么的，好多干扰因素。
[57:12.780] 357,000。
[57:15.390] 行比另外两个便宜好多很多，便宜得小20都得
[57:22.440] 行，谢谢您，没事，好，我回去看一下，行，然后我留个您名片，到时候对你可以跟我联系我，好。
[57:29.880] 谢谢您，没事，然后这边24小时有电话回访接触一下，好好谢谢王总。
[57:48.870] 什么？
[57:50.370] 对。
[57:51.990] 不买车着急这不是。
