[00:01.570] 6月9号在他坐后面看收益的开始，
[53:38.040] 沙子他就经常这样了，他就用了，你交为什么你怎么不带水的，对这样。
[53:44.050] 黄酒花西陵很多知道吗？
[53:47.520] 字厅等等家具自动化的一所，你才觉得
[53:52.080] 处事桥洞有一个单独研究三丈高，你看看能不能起来是很好，你看着那肯定变成测了吗？
[53:59.350] 特钢还有不少挂满怎么点用，他就是说有策略根本就是
[54:04.200] 怀新的科技在生产，就拿号是然后系统工程，一个是新的物业，进而的话对，然后我就跟说人家说你
[54:15.120] 如果
[54:16.250] 先测了这个东西不是我们
[54:19.120] 抱着防爆真的公司他知道，他是如果给你生成系统，
[54:23.920] 说好了就能解决就不用了。
[54:26.450] 表的话它就是用通报了，就我聊聊
[54:30.780] 要求的。
[54:32.160] 其实知道咱就没动烧钱旧车宿舍价格出来了，因为是这样的，现在我们时间它是有要求的，还有一个刚才
[54:41.890] 个不是你们说耳朵价格差不多，那时候到时候还要买吗？
[54:45.240] 还要会计通过不少
[54:47.810] 购买。
[54:49.140] 延保也是往往也说是这样的，因为我们跟奥迪什么都得和一下，因为他购车价格新车价格都有对比的，我不知道你问问我们现在系统测完这个车现在都到不了11，
[55:01.180] 正常市场价都到不了11了。
[55:03.790] 因为奥迪新车价格。
[55:06.530] 我们都对，这包括跟我们介绍了都对比了。
[55:09.290] 他有一个因为现在可能外面报价可能会偏空，但实际市场交易的时候，因为新车卖的太便宜了现在。
[55:15.790] 他花火都是3万。
[55:17.450] 对标价格没问题，问了句了，打夜生活价格高点吗？您听我讲他现在这样的。
[55:23.030] 为什么现在有一个误区，比如像瓜子别的，他们会在正常市场有的标价格上高出2%，而且张姐因为他是帮你找直接用户的，因为他找这么多，像我们之间的市场系统走，他就市场一个均值由侨办号可能会稍微高点，
[55:40.310] 加上新车补贴乱七八糟事，实际综合下来会比别的。
[55:44.240] 高一点，但是真正要单车报价，因为瓜子仁报价都会排放，因为我是用户，
[55:50.300] 我想卖13，我在网上看到一个13，我说我要想卖13，他就会给你标一个吃餐，
[55:55.520] 但这个车实际交易的可能就11万左右，他这样我刚才你说我们就是为干脆利落，我们那个朋友就是出车的，
[56:05.450] 125,000先收你知道吗？但是咱们6000的补助是吧？
[56:10.040] 这事咱得平衡一下，你要是12万能收了，
[56:14.590] 你说联合这样上个星期五开始，
[56:18.360] 能不能说实在咱就不捣乱了，然后在仁爱礁刚好线
[56:23.720] 咱
[56:25.100] 龙山宫二二手车经理也特别熟，您那车提前已经给我已经都说过了，包括那些车情况都跟说过了，不行让老婆
[56:34.050] 对你说我说一下也行好吧？
[56:38.360] 要能行吗？对，你要要不不折腾，我们找他们还得再走开机。
[56:46.030] 自然电车有点
[56:48.410] 我在家我就讲
[57:03.760] 那么晚觉吗？
[57:05.440] 生活要单纯的12不推到明天。
[57:09.730] 应该
[57:11.160] 4S店都好，道路3.8，你知道我认为家我没开始，假如你
[57:19.160] 他组长事实上我也去吗？不可能，餐饮他跟你觉得他当时就头疼高明吗？要强调了
[57:28.590] 吗？明白。
[57:31.630] 这位周人都去了，他为什么喜欢？
[57:34.980] 他不拿号微软。
[57:37.390] 不知道，虽然那肯定有事儿，完了当时让我买不断就会记者对照，谁知
[57:44.370] 在贵州人一份
[57:47.600] 明显不能要收了。
[57:51.170] 咱不知道为什么一直认为这不知道是完美，对，你得说这个还没有公告吗？而且说
[57:59.270] 这就需要一个高管本外币
[58:03.450] 那就是他们顶点不是。
[58:06.170] 反正这哪受得了吗？
[58:09.400] 我准备今天下午3点。
[58:13.470] 你怎么办？还是主张？
[58:16.080] 明天介绍一下他不能忘了教授，我研究了
[58:21.390] 给你打电话，
[58:24.100] 我可能买得多怎么样，昨天在家里多大打电话，然后对他们分行6张购买，
[58:31.120] 最多一下都130号。
[58:34.850] 人数我看不可能是从什么
[58:37.500] 一般也不去开了。
[58:39.260] 开了听我没时间，他说您从网上也我说说这就案头一下，因为如果要是
[58:46.170] 您成功了，咱但这也多还是有人，不会吧？
[58:50.840] 我就不知道就你一个人同意。
[58:54.600] 不，但是这下令我跟你说就是问题该涨不涨。
[58:58.160] 没事，但是今天为什么昨天不是国君，这是完了，那不是，但是国君跟他没说他重组没关系的。
[59:05.320] 但是他也听吗？
[59:07.020] 合同已经退出了，赔偿这完了最后他还得执行。
[59:14.300] 不然谁处理还有谁一汽集团。
[59:19.600] 好。
[59:20.550] 是我昨天看一下公告，
[59:22.770] 我把合同给卖了10多万块钱，
[59:25.940] 把他换下来，
[59:27.210] 慢慢的了。
[59:29.200] 像你这样的
[59:32.660] 先别定别的。
[59:36.430] 不是托底的，不是托底，他就是说变速箱法体
[59:43.060] 在这个模块真枪的不是说造成的，
[59:50.160] 把你带出来的。
[59:52.120] 你这问题
[59:55.510] 我算了咱们
[59:57.730] 了。
[59:58.560] 讨论
[59:59.760] 谁知
[60:01.130] 没钱了不
[60:05.880] 卖了我换成那个了。
[60:08.450] 买。
[60:09.220] 后来没有。
[60:11.440] 你这个决定换了，买这咱不懂，你说完我就一句话，你看这股票
[60:18.590] 我还卖了一波脉冲式，
[60:20.580] 要买了我也别挂了这广告，我是卖的广发卖的节，买的家里没钱人准备涨了，对，完了所以说不
[60:30.990] 总结被负责收购，
[60:33.900] 让我觉得还没涨，
[60:36.180] 是我们党
[60:37.200] 30多块钱，
[60:38.590] 对不对？肯定的，弄好了50你们就一直涨，就是说网站明白放大利，
[60:44.180] 你人长
[60:45.640] 就是说
[60:47.210] 开始
[60:49.790] 再翻一倍。
[60:52.080] 然后
[60:53.160] 会计
[60:54.880] 我准备买份保险，
[60:59.750] 在单位里边。
[61:01.290] 我老婆只给定了，要不然但是
[61:04.970] 马上不让。
[61:06.160] 你只可能有一个拖到了370。
[61:09.630] 黑板上
[61:11.790] 我昨天买的是买的书店
[61:14.040] 的，
[61:14.860] 来买了两位大哥
[61:17.600] 的
[61:18.430] 他说他想要下定决心。
[61:22.380] 中心今天的回复了，对他能看到半夜是吧？
[61:28.670] 演出
[61:29.700] 到
[61:32.190] 的
[61:35.670] 明天
[61:45.680] 了。
[61:49.720] 3月1
[62:00.600] 谁知中午咱俩一块吃饭，
[62:04.090] 百度把
[62:08.510] 56第一辆这一块，
[62:11.490] 但他这是因为35它完成发现一级微信里面这样。
[62:18.250] 谢谢老板，新闻的要说是保险轻微品牌的打造，不是执法那上面之前那份。
[62:26.670] 反正了，对你看这还没给你交了房租就没毛病，他就有一个出现
[62:31.920] 出来的，他先后游戏打奔驰宝马打闹的地址，
[62:37.670] 他继续反过来写上去，我先弄一拿出被子坏了，他这样在哪里过来，信号三马哲也真的完了。
[62:47.220] 谁知
[62:49.490] 还有地方我现在强制要求办，
[62:56.840] 计划
[62:58.040] 一样，
[62:59.050] 梳理东西报上去系统，
[63:04.440] 财务
[63:07.200] 等开始。
[63:10.320] 不是。
[63:16.290] 这是辛苦了产品
[63:22.520] 号。
[63:23.880] 数据。
[63:24.920] 没事您坐没事可以。
[63:30.630] 数据。
[63:33.070] 数据
[63:35.510] 数据。
[63:41.110] 一
[63:44.300] 6
[63:48.040] 的
[63:49.520] 的
[63:51.350] 场。
[63:57.640] 场
[64:30.760] 的
[64:32.820] 的
[64:36.920] 场
[64:40.930] 场
[64:41.680] 场
[64:49.650] 的
[64:51.680] 号。
[64:56.800] 你要学习，
[64:59.440] 的
[65:18.810] 的
[65:22.130] 要
[65:24.600] 一
[66:45.140] 二
[66:46.100] 点
[66:47.530] 要
[66:49.530] 数据。
[66:52.640] 打电话。
[66:55.650] 数据。
[66:57.700] 坏数据。
[67:00.380] 数据、
[67:06.220] 数据
[67:07.260] 场。
[67:10.590] 数据
[67:12.940] 坏。
[67:14.200] 数据。
[67:22.650] 数据。
[68:46.310] 最多的
[68:50.280] 的
[69:03.560] 了
[69:50.970] 对，跟中业舰了
[69:53.850] 43万。
[69:56.110] 咱又回来了，对回来了。
[69:59.270] 保养什么我没写，你就跟他说了，行说。
[70:04.160] 等于是便宜的两
[70:06.980] 这3万多100。
[70:09.150] 不对，能差这么多吗？便宜吗？
[70:12.480] 能差2万块钱出来。
[70:14.320] 增进两岸这不是后来申请的吗？没有直接就。
[70:17.840] 价格本来就申请后价格。
[70:22.170] 拿了
[70:23.110] 伴着。
[70:37.160] 保持。
[70:37.980] 他要是有招呼，您这稍微显然呢。
[70:41.290] 有，但是当时的走势，
[70:44.080] 他说通过不同，
[71:06.120] 我在这里面
[71:27.320] 昨天干嘛了？
[71:28.440] 晚安。
[71:31.150] 把
[71:33.380] 这样的话
[71:34.840] 好一点。
[71:35.750] 花
[71:38.460] 数据
[71:41.480] 场、
[71:42.730] 数据
[72:52.400] 刘美娟收到刘美娟。
[72:56.580] 你在什么位置呢？
[73:00.740] 场、
[73:09.880] 不会
[73:15.340] 远。
[73:18.960] 我都没交过。
[73:22.120] 我说我去弄的时候我都没交过。
[73:26.010] 谁知
[73:28.910] 你能跟他一致吗？最后钱了，你怎么点，他那边怎么下单，ACT里头怎么下单？
[73:35.130] 你明白了吗？我怎么点财务怎么收？
[73:37.710] 说你怎么点这个东西？
[73:41.150] 通过魔比他给你在SAP下单。
[73:44.190] 我也不用sp，对，所以说他。
[73:47.470] 等于咱不是怎么想的，他等于你就做这个东西S AP正常。
[73:51.910] 就跟你做订单一样，SB正常里面下单
[73:55.280] 就能写，对，然后你就对A个点就行了，开了所有的把有的都点上就行。
[74:03.130] 然后你点完了之后那点
[74:05.310] 系统里自动就生成SAT就跟咱们做一遍，sp是一个道理，置换那么多，
[74:11.120] 置换不录，其他都一样提供保险。
[74:14.480] 提供保险正常路就行。
[74:16.450] 一样。
[74:18.170] 对保险多少钱直接点就可以。
[74:22.640] 就可以加。
[74:28.510] 出的什么保险。
[74:32.620] 祝平安人保你看，然后自动就变成都是人保了，然后就点多少钱就行了。
[75:05.790] 卖
[75:07.670] 去。
[75:12.040] 原来
[75:14.160] 你说的
[75:17.950] 有关的指标，
[75:19.850] 3月然后他的指标另外
[75:26.640] 你说管理。
[75:28.360] 所以说就是说他这个车你看你把这个里边怎么来，
[75:32.860] 从来说
[75:34.130] 式上发表出来。
[75:35.550] 但是它的指标可能我直接是或者说不用真的
[75:41.460] 不行，必须得适应不了，
[75:45.660] 必须上班的
[75:47.640] 数据
[75:48.680] 的
[75:54.040] 花、
[75:56.090] 数据、
[75:58.230] 数据、
[76:00.510] 数据
[76:06.530] 数据
[76:13.670] 远。
[76:20.850] 的
[76:27.370] 坏
[76:32.150] 数据
[76:35.580] 没事干。
[76:38.610] 怎么行？
[76:51.850] 的
[76:53.790] 大
[77:00.690] 号。
[77:08.380] 了。
[77:09.700] 查查
[77:12.050] 场。
[77:13.190] 喝点。
[77:31.870] 坏。
[77:33.410] 来庐山了。
[77:41.360] 要
[77:48.650] 等他能
[77:49.940] 汽车市场这样不是其实有一个。
[77:53.730] 上个。
[77:54.380] 老板那置换，然后他就跟他单位说差不多就行了吗？
[78:00.030] 但是他那确实比你的路虎你给他们了吗？对，我那路虎当时他是100万收入的，我要在外头吃饭第一张，
[78:07.780] 但是我是从那就得买台新车，那么患的是咱们分成车吗？必须的。
[78:14.380] 一个来这点上我那卖一个，要不然您车便宜点对不对？我们先买。
[78:20.190] 我跟你说你找着你中国这个车。
[78:24.400] 明白您就2000块钱，所以。
[78:27.250] 我不挣钱这您不用拿钱，您得给我发的圈吗？
[78:32.760] 要不然我们这不单单是。
[78:34.750] 我爱。
[78:35.860] 这销售绝对他不记得都是。
[78:38.580] 让我们
[78:39.750] 嘁喀喳。
[78:41.030] 马上交给，当然定了这车以后他就。
[78:43.710] 不能在展厅放了直接开走了是不是该走了哭了就。
[78:47.070] 刚买。
[78:48.120] 这2000块钱。
[78:49.820] 大哥真。
[78:51.180] 我明年我也不正常买了好多车了，
[78:55.450] 回来在那买好多车了，确实是我说一点。
[79:00.350] 咱都买了车，这也是对的。
[79:03.110] SC这次大计都在意，就大纲其实提个560了，没完了是吧？
[79:10.050] 现在准备买还是大G560是那谁张华。
[79:15.640] 也是交博迈的。
[79:18.070] 那家活不干了。
[79:20.800] 你买完了有那方面的，后来我上回怎么给我打电话，
[79:26.820] 他也没说股票
[79:30.000] 怎么着。
[79:31.090] 您找到浇薄。
[79:32.690] 我走了没有，就那谁就找了。
[79:36.110] 安排了这么热，
[79:38.860] 你空调是不是坏了？
[79:40.720] 对。
[79:41.590] 我们公开坏了。
[79:43.390] 我也不知道他
[79:45.670] 一二谁知
[79:50.550] 那个车还能走，咱就补贴政策我们也都可以，是不是？那就行。
[79:58.510] 不上。
[79:59.750] 好好，这车能不能开开过来，如果定的话。
[80:05.430] 哪个周三？
[80:06.240] 是什么时候开过来？
[80:07.600] 我拿太好，人家把你放赶紧走了，我就不用。
[80:11.630] 它做完前面你马上就。
[80:13.730] 开过户那就别打了，钱给你打他了。
[80:17.910] 现在放松立马行。
[80:19.820] 就这样看一下他打好久病人手机上还是国家的他过户。
[80:24.630] 了他不打钱。
[80:26.340] 他还不能直接置换，就我买码是一码先交的钱立马生意，然后他再给你打这些
[80:33.540] 叫交叉的，就算3000块钱去花1000。
[80:37.610] 他丢了。
[80:39.320] 里边影响。
[80:40.590] 这个都不是，我想您这百得利那么大，还到这妈妈。
[80:46.150] 真不挣钱了了，不要不能再大钱了，我们这重点他也不容易，2000块钱不是真的，我说我别2000块钱，这是您弄完，不然愿意吃顿饭
[81:00.910] 就完了，咱这不是两块钱，
[81:03.320] 是不是真我请你吃饭没问题了，其实真不是这钱多少，就是一种感觉，我都这样来说38,000多少钱这大哥，你千万两千块钱这
[81:17.080] 右面要不然跟您这儿聊半天喝酒，对要不要了解他们都没这权限，所以说找您来了，到您直接就12万就完了，没了2000块钱没事差的感觉麻烦定了，你那兄弟正好也缺钱，1000一起说说请吃饭，我就不跟您说十一万五十一万六，说这几架飞机我就给你看，说那怎么着？
[81:44.430] 为
[81:45.380] 真的就为了卖这么多车，新车挣钱了不能。
[81:49.640] 要人家我们晚上也不然，还是我
[81:53.910] 去找领导了，那也行，您现在是领导，您说的话，咱到这是领导先。
[82:01.500] 不聊了。
[82:03.000] 这假的给您10太太首先聊到这儿，我在找领导也没什么答应，这个老师要4号是必要。
[82:11.250] 好，你给咱也你看。
[82:15.210] 上我就买了一个假了，你就是玩什么藏传还是什么
[82:20.890] 什么玩家头疼，
[82:22.380] 完家具家具，
[82:24.260] 南通、北风还是
[82:27.860] 红木。
[82:28.620] 老外的。
[82:31.340] 大家主要以。
[82:32.990] 安置为主算是新的是吧？对新的明示的好喜欢。
[82:37.690] 红衫军的大红色这有什么区别？不是我。
[82:42.180] 去，因为在北京市大部分是老了，然后就知道吗？
[82:46.360] 然后我去哪儿，不是去东阳姑娘驻地老太太还要大。
[82:51.590] 我就大了真。
[82:53.070] 的大红，当时他现在有80，他不要的不得穿着旧白色。
[82:59.570] 和现在童部长
[83:01.110] 了。
[83:02.620] 还得说是跌了感觉没长了，
[83:06.670] 就跟和田玉似的都有价值，其实的放在了
[83:12.270] 遇到玩意什么看不懂玩过那玩意，
[83:16.540] 没准要把身份证发给你们。
[83:20.620] 你家人的。
[83:21.900] 微信网上还有怎么着这样。
[83:24.440] 丁先生。
[83:25.400] 了
[83:26.380] 中国。
[83:28.540] 您看就别的。
[83:32.710] 您不可能回去真的您买这车家了2000块钱车，再给他加200块钱，现在一个收入我一个
[83:41.820] 一边谈到时候给上个保险，这些不都是保险得在这上。
[83:47.040] 对吧？小号一年。
[83:49.710] 对，保险都得在这。
[83:51.830] 芦山你看你那边问问他们的心里还会便宜点。
[83:54.980] 我这也弄。
[83:56.730] 反正就差2000块钱。
[83:59.100] 我这楼上了真的跑两趟了，对也都跟您关人家
[84:03.230] 是能有多少钱，这可能能出来就几块钱，完了咱这里装饰给优惠点。
[84:09.850] 他2000块钱，对差2000块钱就完了。
[84:14.360] 明白，如果能到35块钱，
[84:20.680] 没错了，但是现在。
[84:22.720] 20多里边差2000块钱，都进户进办公室聊了半小时了，也聊不下来。
[84:28.340] 新车咱们这边还能优惠吗？
[84:32.130] 他是奔着金融分期，然后有置换，然后我让他买了一个15,800嫌贵，我给他最低做到。
[84:37.720] 了一个11,800，
[84:43.640] 有问题来说。
[84:45.790] 所以静脉的时候。
[84:49.110] 电话。
[84:51.850] 你要不给打电话，然后我这Q。
[84:53.920] 三挺好的，慢慢卖12万多人就嫌麻烦，有的补贴在那卖了，
[84:59.870] 我这不差2000块钱。
[85:01.780] 我刚问完请定没问题。
[85:03.880] 能带
[85:09.220] 从树上看在AB上，但是不是
[85:11.920] 的证件是吧？就这样。
[85:14.550] 证件的旅行证件世道。
[85:17.510] 的
[85:18.120] 铁通条环境，
[85:19.260] 是吧？
[85:20.020] 他有南方有点。
[85:22.830] 二这好这比那好看。
[85:25.460] 没这大，就是武警那头带了一个，我说你无限爱你，你懂吗？
[85:33.440] 的。
[85:34.800] 谁知
[85:36.980] 咱哥俩了，我刚才看你自己心态。
[85:39.560] 越了，过去拿走了，
[85:43.390] 哥麻烦你帮我拍发票照片被那客户要选号，我给他开那复印件不行，就得要原件照片。
[85:50.240] 我这正好接客户我都不过去，你帮我拍一张。
[85:55.940] 不我一周一你。
[85:58.860] 别那么打吗？
[86:01.480] 招标会。
[86:03.090] 300。
[86:12.480] 差不多300万没问题没有，现在他们有人偷着卖一颗就2000。
[86:18.640] 来
[86:20.920] 26万平方米百万。
[86:23.070] 百分
[86:26.250] 我今天做活动，然后。
[86:28.100] 把跟金融那人到时候就直接到一群里面，
[86:31.850] 它会给客户发一个链接，让连接线上填的可以两个工作日就批下来了，行咱们办理集中。
[86:37.590] 不要开。
[86:38.590] 那得说一下做没今天不用抓条管，不用着火随时交流的，不然站在这里
[86:44.080] 最好了，问题没贷款
[86:48.170] 没有了。
[86:50.690] 你的怎样？
[86:52.720] 不足，首先我没带我这复印，你看对他这个是大的，你看
[87:00.430] 我怎么对
[87:02.740] 面变卖了办一分支锅炉了。
[87:05.460] 机器人换一只葫芦，对，反正你也然后天光了。
[87:14.590] 连理树都开过，那不用开刀就不会正殿还是所以
[87:20.450] 这样的
[87:21.460] 哪完了就行了，这108的这一块地方，这是我这条剩下的
[87:29.990] 最好您给优惠这给拿走了给。
[87:40.950] 2000块钱换一块吗？
[87:43.670] 你那是没关系，写完对我买东西还多了，谢谢快玩这个你看着我，您要是加得如果要那边感谢你说要吗？我这有事。
[87:54.910] 这不是为难，你不去看看我，这天天让给我发，
[88:00.490] 上他们我玩，我给你拿，
[88:03.550] 那就要疯了，谁的吗？说他叫啥？
[88:08.900] 对你说他要选号上传到1212，这样拍不行能帮我扑在桌子上开一个。
[88:16.990] 我知道我问你你怎么我比那么快呢？
[88:19.920] 太适合
[88:21.640] 的。
[88:22.880] 你看着跑片流光了吗？找了。
[88:25.460] 我老是这价格怎么改，大概3800。
[88:30.240] 我告诉你my另外三家是多少？
[88:33.510] 多1180 1180是吧？
[88:38.200] 1180就得了。
[88:40.020] 完事后
[88:43.860] 数据
[88:46.550] 怎么录？
[88:49.040] 露露
[88:51.050] 的。
[88:53.940] 数据。
[88:57.050] 谁知这里面没有吗？没有。
[89:00.200] 保险没问题吧？
[89:02.020] 这是够的还是怎么着，买了第一买的叫一
[89:07.310] 这种方案。
[89:08.120] 什么银行？
[89:10.020] 哪个公司是吧？
[89:11.900] 你这边什么方案的贷款额多少，只要贷款现在带多少钱，对你看
[89:58.350] 五
[89:59.520] 2013。
[90:02.960] 04. 
[90:04.100] 2003年
[90:05.780] 20636。
[90:07.480] 对这贷款的。
[90:10.900] 写完了之后千万别点。
[90:13.200] 不是我电脑了。
[90:14.730] 供水自动生成不用管。
[90:16.630] 保险却变成了吗？商业险没了，一会跟他商量对贴上去就提供，我怎么录怎么能提供点高点以后直接点多少的自动减了，不用了一点。
[90:26.870] 先把它点甜点了1万。
[90:29.010] 打个比方疑问，
[90:31.390] 然后再多少再给点一个送6。
[90:34.160] 我这块录什么，我这边录检够减完了，谁知这么简单。
[90:39.850] 这弄完了，那么煎饼没问题了，有三天班还有养护礼包吗？
[90:45.340] 不是养护礼包吗？有全天
[90:49.130] 分期给付你3333，B是什么商业产品？
[90:53.580] 搞一下对应的有没有，没有的话就用，
[90:56.380] 没有的话就SP做，跟老师说一下赶紧
[91:00.020] st做，对，如果没有3C没维护，所有东西拿ct做，对没有维护进去赶紧按照老师你说老师我这有33B没有维护进去，
[91:09.090] 他田园性谁知。
[91:11.440] 对，门口没有了，好。
[91:14.940] 好再见。
[91:15.880] 老板是他让张总我给他签合同。
[91:20.990] 行好了。
[91:21.930] 到我不再孤单
[91:24.120] 的。
[91:25.570] 咱们说介绍客户，
[91:28.880] 放假你基本上当你们没办法，我销售
[91:32.130] 我认为
[91:33.320] 他的方法
[91:35.480] 药丸。
[91:38.850] 但是
[91:42.030] 都跟我
[91:43.210] 走。
[91:48.990] 的
[91:51.400] 从老板
[91:52.260] 你这不对，我帮你就是把
[91:57.160] 从
[92:11.760] 看。
[92:13.800] 32. 
[92:29.120] 就来这。
[92:32.170] 老师
[92:34.400] 你帮我弄一下行。
[92:45.190] 做。
[92:46.920] 后天我在里边休息。
[92:50.790] 你要二手车跟新车一块办吗？
[92:54.010] 新车。
[92:56.150] 他不说现在签合同吗？
[92:58.450] 荞麦卖出来好吧，我不知道他刚才说签什么合同，买卖车的合同。
[93:03.990] 咱新车的话不能周末办，因为周末办不了临牌，开不走只能工作日。
[93:09.070] 你明天办公室
[93:11.610] 我看丰胸能那么快批，下午应该快点的话，应该能需要提交什么东西。
[93:16.340] 我一会让他们发个链接
[93:18.350] 等等。
[93:23.770] 还相用，然后那人不在这，然后谁知
[93:32.200] 朋友过来。
[93:38.130] 什么？
[93:43.090] 他得问一下。
[93:46.810] 我也一样。
[93:48.180] 43万能不能把它分成几份是这样，现在在这边没问题，知道吧？
[93:55.990] 还有什么可能的？
[94:02.560] 可以做，我给你打活动。
[94:08.520] 还可以。
[94:09.680] 一下。
[94:12.510] 今年
[94:16.130] 贵州那电话你跟我说一下是189100 11.5吗？
[94:21.690] 尿尿它是137137的，你电话跟说一下电话1371386。
[94:31.040] 1370119383683846，
[94:34.990] 还是我还留可能流了两个电话怎么了？你要登记一下是吗？没事，我在哪里？
[94:38.770] 你电话号码。
[94:40.250] 2000。
[94:43.660] 他给一些保险置换咱算还是有6000块钱，谁知
[94:49.870] 我的渠道才能知道。
[94:53.100] 我估计再优惠优惠不了多少钱了，没必要了，对，你没要求咱自己家住你家去了，完了回来再找。
[95:00.480] 也不知道我想
[95:04.160] 其实咱二手的经理不知道姓什么，我开过去就卖12万人不要了。
[95:10.510] 但是说实话6000
[95:12.460] 差不多就怎么折腾跟电有关的吗？
[95:16.230] 都不管，这等于说咱们没占便宜。
[95:24.390] 刷卡是刷什么卡出去查询
[95:26.930] 用的。
[95:29.130] 你那边就行了。
[95:32.670] 我先给他付给他。
[95:36.310] 谁都可以，反正哪个店买的找个店328,000。
[95:41.660] 组织不是给了正点的。
[95:51.950] 他在吗？
[95:53.410] 谁知报答老大。
[95:59.310] 你丫刚才就不会
[96:01.090] 跟聊聊以后我再找人他们家人没有，我意思把那个车项目没有外部达到效果，这在前
[96:10.690] 不喊痛。
[96:14.040] 其实我是真的东西有点卡，那点东西加载一会儿花钱，你哪没事了。
[96:21.290] 怎么可能这么多年关系？
[96:23.840] 一下例子。
[96:28.870] 邮箱留一个
[96:31.420] 写一个电子保单。
[96:32.890] 邮箱，对到时发电子版，131391196
[96:38.500] 8668。
[96:39.810] 号码还没批贷款，这是1399他待待皇马你们走二手车两年2000块钱，他322手车
[96:49.740] 什么就心理上为什么走二手车经营，发觉就算
[96:55.170] 在你们内部是按二手车去处理的吗？是不是？因为你旧车我们没有那么大权限给不了价格，所以说这不让你跟他聊，是这意思。
[97:04.660] 这猫已经超出了张师傅的权利了，对除但是4S店真的对外都应该高兴，绝对不出现管经销商，他最后他肯定它装饰一下，你看我的车，后来我看他们一般里头的，他们做成红色的要
[97:19.840] 那个数字改了，
[97:22.900] 他也有风险。
[97:25.670] 我一看之后我就把他的欲望
[97:31.670] 我奶奶说。
[97:34.120] 反正540话。
[97:36.950] 机子0话，
[97:40.210] 其实我还真是我一直比较喜欢孩子的，但是没买。
[97:45.790] 我后来买粮的后面。
[97:48.910] 那就他们让。
[97:50.690] 的车里头好好收拾的，反正都是咱车当时他就行。
[97:55.790] 是吧？
[97:58.080] 行的话我回去一还得去了，还是我觉得国内的
[98:03.810] 我一定说我媳妇跟他妈，我说你打算干嘛？
[98:08.270] 我说他那房子不要对我之前
[98:11.680] 不要还得分钱
[98:14.840] 吗？钱他就认为你们而且都我还给他们打电话，我说你不要认为这房子我
[98:21.470] 钱我们真的我说，但是说老人觉得
[98:26.870] 没东西，我说这我理解我的希望房子给大家了，谁但是本身也
[98:33.570] 发型他也没有了，在肯定你不见人家你负责。
[98:40.280] 这是辛苦的，辛都是心中对你稍微好一点的，就在
[98:46.650] 那边那个地方有巴赫那边的境地，对那边也卖8克，现在都是S350了，35也是3.0，
[98:55.650] 他的S40
[98:57.360] 都是3.0T的6缸直列6缸。
[99:01.140] 45035有什么区别？
[99:04.030] 发动机马力更大一些的高远，
[99:09.030] 但那个时候你拿来了有没有？
[99:11.210] 就跟着百30多少，但高峰律师能调的非常
[99:18.710] 没意思，经济链条了，他姐不知道那种拿着我给你发不了电子票。
[99:26.180] 不是这桥有什么用，快点。
[99:28.890] 浙大的身上
[99:30.650] 不要让它们都是材料，
[99:37.290] 互联网买车的时候，有时候
[99:41.470] 他跟这卖车那个人当你把当时有
[99:47.140] 一一三百、12一二百，还有1260，
[100:15.350] 可以双眼看。
[100:16.160] 还有一个优惠让他给我打电话是吧？
[100:18.760] 我不知道一会您给你打。
[100:21.830] 他知道他说你刚才讲电话，
[100:24.520] 说这车了，
[100:26.020] 实在
[100:27.140] 刚刚销售经理可以给你一块了，
[100:30.990] 把自己家的你要不别人说我就
[100:33.560] 说什么，
[100:35.030] 你看我们天天给你送礼了，如果我这车子不就
[100:40.290] 人要51，你给你加46，
[100:43.850] 大地去年这个时候国6D一台车加5+50万，现在还加5加不是58~55万，
[100:51.790] 里面一下子
[100:53.540] 一开始说比48，我说太少了，又降了。
[100:57.600] 对。
[100:58.250] 跟我作对都没有。
[101:02.930] 干嘛得12点？
[101:06.220] 哪儿最快乐？
[101:10.310] 没事儿，随随便便咱们就弄完事就说了这个事情。
[101:15.600] 这样。
[101:17.110] 对。
[101:18.960] 我用直接把金融人加群甜给人家留。
[101:22.440] 加水了。
[101:23.580] 完了咱们不是有群吗？你把他拉进来了，不是。
[101:28.000] 什么意思不？
[101:29.440] 他没有贷款吗？
[101:30.870] 这可能我也不带写了，是您得让他加我一微信，我拉一下我拉进来了，没一会儿我建群拉进来的。
[101:41.390] 必须要拉他吗？
[101:42.440] 的视频他得提供东西，他填报一个链接，
[101:46.560] 申请段材料要交多少？
[101:49.430] 等于买卖车前
[101:52.350] 这车多少钱？
[101:53.930] 这车首付10 18万多。
[101:57.970] When you用完了太少了，对这车现在多少钱？
[102:03.120] 待的越多越好，1万多元学生是越做全办下来钱，我全价是1000。
[102:10.110] 没有他优惠这么多，全家的科技1万多，长款7万就算，完了咱吃饭连保险全算了，连装饰都算出来。
[102:20.310] 睡亏损了，不要说他说只有退出颜色，这车我不说买了不敢买，
[102:26.820] 谁敢他他们不懂，明白吗？
[102:32.830] 刚才其实这就是下雨天头发跟我的车一样。
[102:36.750] 的是的吗？我那车他当时发动机我觉得它修修完了基本就
[102:43.630] 不同意心里了。
[102:45.960] 这500不是最早12年减M。
[102:50.780] Stl
[102:51.990] 怎么定的？
[102:53.560] 十二五万他上了车是今天搁着吗？一会把东西都没收到都行，那行吧，等你明天特别什么，我是不管怎么定，我把话给你说明白了。
