[00:00.050] 电话。
[53:59.490] 超级卖得好的原因是因为便宜，
[54:06.440] 你像奥迪Q7
[54:08.740] 手机现在还卖
[54:10.400] 不到6了吗？2.0T的。
[54:13.350] 8.0行不行？你说是不是需要你去你们至少给你三个便宜，民生价格都便宜，
[54:21.350] 7座20 0T卖60万，
[54:24.740] 我要不说20T的话后标一扣你看得出来，其实大家都是不是
[54:30.280] 外观都一样，
[54:34.930] 我觉得是确实什么了，
[54:38.320] 都是3.0T的。
[54:46.270] 您开车来了吗？知道，但是。
[54:48.190] 还有什么？
[54:49.500] 你先溜达过去先看，到时候他那边有一出门条，因为我这儿给您扫完码，15分钟就得出去了。
[54:56.080] 你先去，
[54:57.600] 看完之后的话，他那前台有一个码，扫完之后您再出去找，
[55:03.610] 这边属于四季青是吧？
[55:05.620] 四季青不是周风险还是第中学吗？
[55:08.280] 现在一开始属于中风险，因为再往前走不就田村吗？
[55:13.140] 田村那边什么？
[55:15.100] 到现在没事。
[55:16.200] 净值是远咱们到了。
[55:23.270] 您住那附近吗？没有就了。
[55:26.520] 高级什么玄路金桥。
[55:30.440] 那就在这边没多远。
[55:35.610] 因为之前我是来过这地方，
[55:39.530] 买车来了还是？
[55:41.210] 我还老之前是看
[55:44.050] 看梅森奔那个叫什么？
[55:47.660] S没错，就是奔驰。
[55:50.590] S450，S50，
[55:53.780] 然后当时刚出来就千金一把大爆炸了，
[55:58.270] 天津港是对就没车了，然后就买了公司就买了一包了，你知道，
[56:04.570] 然后是来过这边，
[56:06.360] 然后是去年他们在这边买车，
[56:08.710] 是买了2A材料，
[56:13.460] 他找一个近，我就想下来好长时间了，三四年了差不多。
[56:18.370] 不是今晚
[56:20.640] 今晚一战的时候那个车醒过来进不来了，从别的报关本来是天津港的关，所以跑到上海，
[56:27.400] 跑到广州去报关去。
[56:29.660] 没车为什么看过？
[56:32.520] 天津港的车都给炸了，
[56:34.760] 根植瘦好多影响，
[56:36.970] 保时捷影响也不是。
[56:38.620] 他们有的。
[56:40.430] 宝洁的
[56:42.690] 不严重的那些直接就给经销商发过来。
[56:46.200] 然后你们就
[56:47.770] 便宜往外甩，
[56:49.510] 写情况说明。
[56:52.090] 我没有的
[56:54.040] 有同事买。
[56:55.630] 便宜，
[56:57.620] 卡宴便宜20万，
[56:59.880] 比正常的可能也就是碎块玻璃，
[57:02.380] 或者说
[57:03.480] 7或者机房基站的是好的污染，有的费了那就没法了。
[57:11.570] 一般都不是特别严重的人，什么要真严重，人家
[57:17.350] 也不管这边犯了之后，有的还往外卖，我奔驰没怎么给奔驰，
[57:24.560] 保时捷它们有，我看他们卖过。
[57:50.230] 坐那边等来。
[58:11.160] 是吧？
[58:14.360] 另外
[58:16.270] 12点，
[58:17.280] 谁知
[58:28.480] 一般不是
[58:44.800] 知道。
[58:45.580] 左手边。
[58:49.000] 你们这个包吗？
[58:50.970] 来对吗？不管那双重点不是在
[58:55.110] 你能里面有好多不帮助你，
[58:57.610] 你们不帮我，
[58:59.300] 这是老板自己的。
[59:03.530] 他们把这10%我们
[59:07.410] 你摸一下好多三往往都是服务的吗？
[59:10.420] 不知道你们好多次不放了，看。
[59:16.830] 这边没事。
[59:20.420] 走得出来吗？
[59:25.250] 15。
[59:34.040] 你们参加了吗？
[59:35.520] 直接找销售。
[59:43.960] 是大概上课。
[59:48.010] 地方
[59:51.520] 在教室里面
[59:54.080] 那种反派角色。
[59:56.660] 那个牌子是最宽的，白色的，对看一下。
[60:02.810] 还有点。
[60:16.910] 还有一个迈巴赫版本的迭代还穿着
[60:20.220] 就开始吃。
[60:22.190] 7号还有一个迈巴赫的比这再大，谁知
[60:26.550] 你叫对100应该是100 1,458,800不到6%，这个是100，
[60:34.400] 就说办完的价格135差不多。
[60:39.850] 332。
[60:41.400] 对，刚才有
[60:44.540] 的米白色或者红色，不能周围黄色的里面还有其他颜色，你要是有那种棕色的。
[60:53.600] 对，但是
[60:55.590] 看
[60:59.730] 要是不喜欢标示出来，
[61:01.980] 但是这车就得要这粒料，这车没这立标就不好看了。
[61:06.540] 对，这是一种象征。
[61:09.250] 因为只有S级是
[61:11.600] 这种能带的起这立标来。
[61:14.320] 有这样。
[61:16.160] 这个标好没小孩扣，北京卫视北京现在一般都不
[61:21.160] 扣，怎么扣吗？我刚才又买了一个
[61:25.090] 一个月好几千块钱，没有几百块钱现在便宜了，
[61:29.760] 这太太松了，你可以把它离开你了，不？他本身放在楼上可以
[61:35.650] 没赶上这种脆弱了，这是为了活动的汽车什么这些。
[61:40.260] 我不喜欢的，我喜欢你要给我天不到千，没必要没事。
[61:46.850] 因为这个决定一般都不会了。
[61:49.350] 现在还得第一节会以前看着新鲜的对。
[61:56.870] 这就是镜头。
[61:58.400] 对。
[62:06.030] 稍等。
[62:08.870] 这是轿车，这叫
[62:11.690] 校对轿跑车。
[62:14.030] 你看一下。
[62:32.320] 车门瞬间没电了。
[62:44.500] 这个跟白色什么区别吗？
[62:49.980] 发动机
[62:51.770] 没有排量小，这360T的，
[62:54.860] 这是两驱的。
[62:56.840] 后续。
[62:57.880] 那是四驱的，就好像经常对吧？对这是5米多一点。
[63:04.250] 那个是4米4米6差40公分的。
[63:14.870] 也挺快。
[63:17.280] 但是叫出来您要能接受，这个可以考虑。
[63:20.400] 是吧？对又好看又精致。
[63:23.320] 这一种颜色吗？现在这一台也是就这台蓝色的。
[63:27.020] 为什么我看因为您看这些都属于高性能版本的车，这还都是比较好的，特别的。
[63:34.190] 对。
[63:34.970] 我们车应该在楼上，基本上这种车都是锁着的，你看那些车多都不所有人高兴的慢慢都锁着。
[63:41.630] 这车好车，
[63:42.600] 知道国产的就不对。
[63:46.160] 有什么区别吗？多大根据这肯定不是关键，你国产的没有这种车你买不到，
[63:53.300] 这种它只有进口才有。
[64:03.320] 叫捧。
[64:05.790] 我还是
[64:07.360] 有点感受那白色的颜色。
[64:12.680] 现在有一种贴膜脚垫。
[64:15.270] 对，你喜欢什么颜色没贴什么颜色呢？
[64:18.630] 看着这车
[64:20.230] 一百几108。
[64:22.200] 你开车上班。
[64:25.350] 拿那可以。
[64:27.520] 开。
[64:36.830] 明天去快点来。
[64:45.680] 奔驰这两年
[64:51.290] 产品也比较给力，主要是产品比较给力。
[64:54.430] 对，东西不行，你营销做得再好也不行。
[65:02.150] 先让他们下去。
[65:05.450] 我们上了。
[65:40.210] 还有开工了。
[65:41.860] 是进步了什么这种方式是这种三方对，
[65:47.480] 这是一个炒作，
[65:49.230] 真不是那样的。
[65:52.110] 科室不好的地方。
[65:54.560] 这是进口哪个进口的？
[65:57.010] 这房子每天给咱平台的
[66:01.690] 楼上GRE差不多，大小着108，
[66:05.840] 大小差不多，
[66:06.940] 这只高不高一样的
[66:09.530] 视觉，
[66:10.710] 这是一低配，那是一个高块，
[66:13.230] 但是大小一样，
[66:15.830] 我觉得这个车好像高点不高一样。
[66:23.770] 对。
[66:26.120] 只有这一种颜色，现在对黑色的。
[66:30.280] 黑色白色
[66:32.170] 的。
[66:33.280] 还有一台金色的行。
[66:36.330] 金色。
[66:37.840] 这个跟我看的白色的新的。
[66:41.030] 大。
[66:45.620] 这是6缸。
[66:48.140] 也
[66:49.400] 里面大。
[66:51.200] 这就跟那108的大小一样，
[66:54.760] 到不行被抓了。
[66:56.340] 我看他那个地位都高，
[67:07.920] 保时捷保时捷已经看上了包间，
[67:11.710] 卡宴大卡宴跟大小差不多，他脉软塌塌地慢慢跟也不小，你我也能看买看，
[67:19.220] 再小一点的所谓难看是吧？
[67:26.800] 从那直走左手边，然后联系人您知道给他打电话就行了，我跟他说了。
[67:31.920] 对，他正好也在那边直接接待。
[67:35.400] 行，您考虑奔驰您随时过来好吧？行行好勒，慢点您再见。
[67:50.380] 一句话，
[67:55.740] 专业
[69:18.560] 你好朱女士，我是北京百利奔驰4S店的销售都学了，
[69:23.010] 我们客服这边给我您电话，让我给您回一下，说是您看第三买的
[69:28.630] 苏饷的达标的白色是吧？
[69:31.060] 立标达标都行，你们现在有现货吗？我刚才给您查了一下，有一台大标的，
[69:37.330] 白车棕色零食的现车是吧？
[69:41.010] 然后立标一般都是黑色的，立标白色的，
[69:45.540] 没有得掉。
[69:47.360] 是吧？你们是哪家店？是东西四环，四季青桥往南两公里右手边。
[69:54.700] 百得利之星，对，现在是工会条件是怎么样的？您是？
[70:00.690] 北京牌上外地牌北京北京的话裸车价格是指导价是499,800那款吗？
[70:08.460] 然后就优惠75,000，然后在算其他购置税保险验车什么这些。
[70:17.360] 裸车优惠75,000 75,000，保险需在百分之上吗？还是我可以自己上，你有置换或者其他的吗？
[70:27.710] 没有置换。
[70:29.290] 没有置换，没有什么特别的强制要求，但是我们75,000
[70:34.540] 它里面是7万的现金，
[70:36.560] 还有5000块钱的保险赠送，它是这么优惠的，您要说不在这上保险我没法送您
[70:41.740] 减现金你们最多能减多少？
[70:44.410] 现金的话我们现在最给我们最低就是7万。
[70:47.160] 7万是吧？对，然后送钱保险这样综合是75,000。
[70:53.280] 5000保险就得上全险，盗抢险都得上出版，不愿意到没有，
[70:58.960] 就是说让您必须上险种，这个险种是由您自己来定，您说无上道想也可以，你就算一岁，比如说我上个1万块钱先给我免5000或者是也可以，
[71:09.610] 因为我不需要上道歉，自己家怎么样廷地下室，完了其他的比如说你们有什么操作没有，
[71:16.990] 怎么上班上牌，我们都是2500的验车，统一的您要用我们您就要交2500，你要不用我您自己上去，
[71:25.910] 我并不无所谓，然后
[71:28.560] 就没有其他的就购置税那是国家征收死的，是该多钱就多少钱。
[71:34.990] 然后装饰的话您要觉得我这合适你就做，你要觉得不合适你就自己做去，我们也没说是一般都做啥，这个车一般就是个门和弟弟第二版，
[71:44.370] 一般做的你看我们这卖的比较多的就是全车玻璃贴膜，除了天窗补贴是完全
[71:50.850] 防晒隔热的这种效果，然后立体脚垫后备箱垫，
[71:55.900] 还有一个就是隐藏式行车记录移，因为现在车的出厂都不带记录仪，
[72:00.980] 记住一都得或
[72:02.530] 这个套餐的话，我们现在也是13,800，
[72:06.080] 那种套餐都有，应该是挺快花
[72:11.490] 花
[72:13.180] 4800像金融的条件各个店应该都一样的，只是说看我自己选羟基醛，完了多少年哪个都一样的，不用问是吧？对分金融贷款您不用去对比，不要走，做的是奔驰金融全国统一，就北京都是统一的。
[72:33.360] 明白，如果这个车你说的话，如果不在你上保险最多是只能优惠7万，对。
[72:42.140] 对不上保险就是给您减7万现金，你提裸车开走没有任何强制要求，对，那5000保险我没法给您转成现金，
[72:49.970] 其他的就没有了，你能申请得最多的条件是吧？对。
[72:55.130] 我们展厅经理这边的最低给您最大优惠了。
[72:59.800] 完了你这个车现在是什么时候代表的，什么时候出厂的？
[73:03.180] 路就行了。
[73:04.360] 达标的
[73:09.590] 66月份下。
[73:12.690] 行我知道了这样子，我回头我给你打电话好吧？行行好好明白再见。
[73:40.420] 我给他回完了，然后
[73:42.450] 他可能现在有事，然后问问价格怎么样，没有强制消费，我就跟他说的很清楚。
[73:48.010] 再跟玛还得再跟
[74:00.000] OK OK。
[74:01.120] 他周应该约过户了，过户指标出来我就给你赶紧去上班。
[74:07.830] 好吧？但是我估计这周够呛，他这周能过完户他指标出来，可能下周出来
[74:13.100] 了，下周如果周二出来的话，我就知道周四
[74:16.340] 最晚下周五之前肯定能到给上来。
[76:15.880] 咱是什么车辆加V-V皇哥交易。
[76:21.860] 什么时候过来？
[76:23.970] 应该是周五，周五要交多少，昨天？
[76:27.430] 一个星期今天刚回来了。
[76:30.760] 他得指标什么时候出来？指标？
[76:34.120] 12。
[76:35.510] 5分钟。
[76:38.150] 周四五。
[76:39.790] 周四周五。
[76:41.230] 我一都3700，对我记错了，我上周过了户，对上周我做
[76:47.990] 指标应该是这周出来。
[76:49.840] 我看他那天出来，如果是周三周四明后天出来的话，
[76:54.980] 我能安排到这周上盘着，我记错。
[76:57.700] 摸清楚。
[77:03.760] 三。
[77:24.890] 中午12 10五。
[77:28.200] 二
[77:29.800] 五
[77:31.680] 21503。
[77:35.870] 坏。
[77:40.880] 坏。
[77:42.070] 开始了。
[77:49.600] 吃饭去我想了。
[77:57.870] 可以吗？
[78:03.530] 了
[78:08.290] 数据
[78:10.280] 的。
