[00:01.900] 汽车交车就可以了吧。
[42:57.570] 62. 
[43:00.090] 123对你最近两年。
[43:03.290] 然后我登陆进之后就更定量管理。
[43:08.540] 整车销售订单、
[43:11.360] 我现在都改完了，我对把这订单再点开吗？
[43:19.080] 好，我在手机客户手机端点重新签署是吗？明明对明天我找你，
[43:26.150] 然后刚才你说我退的话，我照着就给人保打电话，然后第一部是给拨打电话，
[43:33.670] 你等着然后到下班就。
[43:37.150] 知道这个中心你讲在
[43:41.400] 行好。
[43:45.030] 就银行卡和身份证就够了是吧？是什么卡都行是吧？
[43:50.160] 我现在需要付I ct吗？
[43:55.570] 我希望路I ct因为有养护礼包。
[44:04.390] 我都开口了吗？
[44:08.970] 行。
[44:13.620] 是不是？其实我的钱还好少，其实你不发给他吗？
[44:19.900] 好像只有500多块钱好像是。
[44:24.740] 对
[44:26.740] 对。
[44:31.050] 后来
[44:33.920] 用了
[44:35.860] 6个月用了一半，
[44:40.280] 对
[45:06.900] 对春晓，对你们能不能把我刚才保单里面剩那么点钱给我？
[45:12.670] 就直接给转过去。
[45:14.870] 转不了您直接您说您现在的旧车吗？对退就行了，转不了就转不到新车上，他是转不掉转不掉队。
[45:23.310] 退不掉那种操作。
[45:25.110] 退不掉。
[45:29.020] 行，这不是，反正如果你就近方便的话，然后我就去到人保的网点去，然后到了然后我给你打电话就完了。
[45:39.430] 基本就这样，我带着银行卡身份证打电话，然后给你打电话，你然后通知那边授权就行了是吧？负保单。
[45:47.760] 是这意思不？
[45:54.210] 对这个账号。
[45:59.000] 不是，我刚才把保单。
[46:01.310] 已经发给你了。
[46:04.640] 对，其实不是我要退给人家，现在要搞置换，我其实
[46:08.750] 就不再我手里没有。
[46:10.830] 一样的。
[46:25.910] 我出发了对。
[46:29.100] 好。
[46:29.840] 好好谢谢你了。
[46:33.500] 对好，回头下次我们再联系。
[46:39.530] 谢谢。
[46:43.800] 好好再见，好拜拜。
[46:59.860] 反过来。
[47:01.020] 来。
[47:03.480] 未来。
[47:05.410] 等等回来。
[47:09.600] 现在我是做什么，等领导审批领导提完之后。
[47:18.620] 领导审批完之后，您这边再清楚一下，签署完之后去打开单子赶紧收了钱，交完钱之后去保险，然后我们教师专业小车
[47:26.190] 检完车之后，我这边出完保险去给您帮您，
[47:30.030] 所以说这时间很紧。
[47:31.840] 这还满满满满当当的，对，现在金融合同我现在
[47:38.040] 点不点，你点现在是不是就得按照对，刚才我还给您刚才你们都点了，
[47:44.760] 然后再找那个事是不是现在就按下一步走了，对，你就按照他刚才跟您说的一步步操作就可以了。
[47:53.750] 要掌握对，那就跟着合同是吧？是现在都是电子的，你看签字咱都是电子的了。
[47:59.290] 不过实践证明
[48:00.880] 他是
[48:02.800] 谁知
[48:06.880] 其实他应该知道，
[48:08.650] 谁知。
[48:10.440] 我发现办公室。
[48:16.000] 为了后来
[48:17.700] 开始做
[48:19.100] 表演一下，如果
[48:21.040] 我再跟你让人家开始录制对吧？还有一个
[48:25.690] 终于
[48:28.510] 这个我不能对着你的另
[48:44.960] 那几秒钟也不知道。
[48:49.840] 也15万。
[48:52.250] 不是说你交的时候，
[48:54.060] 娟姐
[48:55.580] 领导那边他OA不批的话，我这边就没办法打单子是吧？
[49:00.880] 后来
[49:02.160] 不用我们后半天的。
[49:04.520] 谁知
[49:08.190] 现在能听清吗？今儿？
[49:10.760] 你现在能听见吗？
[49:14.680] Sp对吧？
[49:17.370] 跟刚才不一样。
[49:19.100] 对吧？
[49:33.310] 说你临床认识到的，
[49:37.280] 这签署电子合同。
[49:38.840] 您属于对借款人对吧？
[49:43.070] 谁知
[49:44.790] 刚才看过了就对，然后阅读并确认。
[49:52.970] 有一个礼拜下来，
[49:54.580] 你先在这
[49:57.230] 这确认清楚。
[49:58.780] 然后你没签是吧？
[50:01.380] 不是刚才给你点这个
[50:03.940] 你进去。
[50:06.800] 我这不是跟你同意并确定。
[50:16.970] 第
[50:30.430] 他
[50:31.600] 我这个借款地址是在这儿，然后跟我
[50:37.350] 西城区不重复和谁知真是看
[50:44.830] 跟没关系，他收集不到车牌的事是吧？是的。
[51:01.920] 没有提供。
[51:19.760] 还是不行是吧？
[51:20.940] 对。
[51:22.390] 那
[51:34.470] 刚才他在的时候没签是吗？对。
[51:37.400] 对就好了。
[51:38.800] 他下次再说用药，谁知
[51:52.350] 我看一下到哪步了。
[51:56.190] 这边。
[52:00.400] 您重新点一下，您重新进这个链接，重新去一下，把这个材料给
[52:05.930] 您看一下，重新记一下。
[52:09.380] 短信信息
[52:11.250] 有信心，
[52:12.820] 也不是
[52:15.660] 根据内容上面
[52:20.720] 等等2
[52:22.370] 下一步就走。
[52:24.720] 接通待会要在一起，
[52:27.250] 就把交流基本上多少？
[52:32.930] 915。
[52:38.150] 就开始是吧？
[52:39.810] 开始。
[52:45.640] 开始不？
[52:46.670] 三到五点。
[52:48.850] 用户的
[52:59.840] 领导请
[53:00.620] 没有办法。
[53:09.150] 都是一般。
[53:17.560] 谁知
[53:18.870] 给
[53:21.960] 的
[53:26.710] 通过验证。
[53:28.390] 可以的，谢谢。
[53:32.690] 刚才泉水原来的合同。
[53:38.170] 圈圈，
[53:42.360] 我要
[53:44.110] 又回到了那里面。
[53:45.570] 谁知。
[54:07.230] 这东西没法
[54:16.470] 我去。
[54:19.000] 我去了。
[54:23.190] 的。
[54:33.420] 的。
[54:35.800] 要
[54:38.070] 二。
[54:46.550] 的。
[54:48.260] 五。
[54:49.330] 的
[54:52.700] 打电话那时候也够了，这不是教授吗？第
[55:01.370] 听说取钱就是没回来。
[55:03.230] 联系一下。
[55:04.800] 不用，他都给这等三个小时了，那客户就等着3点去取钱。
[55:10.160] 他跟银行约好了，
[55:11.930] 人家不会要你要是靠谱要不是，
[55:15.600] 现在计算机也不行了，他交多少钱能给他，不是他全取出的现金先交40多万。
[55:21.210] 不算不行了，他就是从钱打到这张。
[55:24.980] 过来张的，对。
[55:27.260] 等会他去洗手间了。
[55:30.430] 差不多的给他关心一下。
[55:32.650] 谁知
[55:33.480] 所以他现在着急对他约的是三年之前
[55:37.250] 的
[55:38.880] 上
[55:52.670] 就合理。
[55:53.440] 我儿子就
[55:54.850] 连帽
[55:56.650] 了，
[55:59.360] 好点。
[56:05.210] 徐总不好意思打扰我是新来的销售韩春晓我这边有一个交车，需要您OA一下。
[56:12.420] 谢谢徐总，好再见。
[56:58.270] 行，你知道进入这个之后，一会儿客户签署完了，在门店客户端这怎么弄吗？
[57:04.370] 的。
[57:05.590] 他不是在这里边才能打出来吗？
[57:08.470] 对你点这个
[57:11.330] 更多操作。
[57:14.810] 有时候销售确认书
[57:17.220] 这个得等到他签完了之后才打是吧？
[57:20.080] 你现在打点开以后它没有签字。
[57:24.350] 你这个只能打信息表达不了协调，你直接写完结算了。
[57:29.600] 我养护礼包有没有才在心里边录一下，你这里面露露这里边没有有。
[57:37.970] 完他又得重新弄了是吧？
[57:41.810] 有了没，路上了就得调整订单了。
[57:45.280] 这条款没，那关键是刚给你其中打完电话看了看，
[57:49.500] 就那样了。
[57:52.870] 光这个事儿
[57:55.530] 宁要每次弄完了以后一定什么都没有提供售后项目，
[58:03.180] 用户礼包对吧？
[58:05.960] 今天的
[58:09.460] 坐着了等等。
[58:12.480] 什么时候刚才已经进了这个的重新开始。
[58:22.380] 找不到就在这里。
[58:23.880] 这就是您这合同再核对一下跟我给您留的是不是一样的，您核对这个合同号就行。
[58:30.230] 我刚才给您了。
[58:31.160] 给您留的那份吗？
[58:32.500] 不是。
[58:34.750] 就应该同志。
[58:36.490] 您装
[58:37.700] 没装这点上我结果就行了，谁知
[58:41.800] 现在看来你看刚才是不是这个事，然后
[58:46.680] 然后我在暗示他们
[58:50.760] 是妈不用你那什么。
[58:52.720] 等我看确认一下那什么。
[58:54.780] 对，你先确认一下，确认完把所有东西都写进去，确认没问题，111011022是
[59:05.050] 添加进去了。
[59:06.250] 你看060
[59:09.710] 38-0对，从头开始就是零件地方他对不对？车型车架号过来看看对不对？你如果已经有三十七八十几了，开车下了，
[59:21.460] 谁知这个是吧？要不用吃饭不用
[59:27.890] 0211金融方案有吗？有，就是分时加收百分5是委员会101012102，对00465060038-04.5保险。
[59:42.930] 这提供6000是吧？337。
[59:47.190] 交车里头，
[59:49.100] 然后就装饰就买一个维护一个平面的，一共八千八七七八百没问题。
[60:00.070] 提供一个也同理。
[60:03.650] 方案一把这不是诉讼吗？也有可能都不到两类，一直都不漂亮。
[60:13.350] 没办法对送的时候的就可以了，然后咱们这个月激活的话，下个月是第一次付款，然后微信内活动二的就是点，因为受发现，
[60:27.410] 反正它就自动扣款走了是吧？
[60:29.800] 对自动扣，然后有一个您需要注意的，如果您能够控制，但是周末或者节假日的话，他就会提前一个工作日扣款，您就需要提前买钱存进去，没事我就那卡里有钱。
[60:41.730] 好。
[60:43.040] 没事张先生您继续办签好的，好谢谢
[60:53.650] 了。
[60:54.370] 说了
[60:56.120] 就出现过这个问题。
[60:58.050] 我在这我也想。
[61:00.540] 行稍等了。
[61:02.310] 好没问题，给真正了，这回能让客户签了吗？还是不行？
[61:07.980] 这不是我们APP下单同不动？
[61:10.370] 等他过去
[61:12.140] 看看。
[61:13.210] 返回
[61:14.970] 关闭。
[61:16.030] 还有几天？
[61:17.500] 没银行。
[61:18.830] 还是下单屏幕中，你等个一分钟左右，
[61:21.820] 他这边写的是审核，写的什么东西我忘了写什么东西，是不是还得需要领导重新写一遍。
[61:28.470] 只要改这个事情不用了，我还得跟徐总打电话。
[61:34.710] 没点心了，他没事，他一点事儿没有。
[61:37.680] 他都打10个电话都。
[61:39.790] 他不会说你
[61:41.670] 行了吗？听了OK，然后一会再签一个就完事了，然后就交钱了，等一会寒冬
[61:47.350] 应该使用的退出再进一下，好，谁知很重了等号这个事给我们的。
[61:54.750] 对，然后我就让他们爱上他们了是吗？
[61:57.800] 这个是这样的，
[61:59.890] 这个我连字都不用签了。
[62:04.640] 我的天
[62:06.120] 真麻烦，就换了个新系统。
[62:08.460] 都不会的开户行名称软件。
[62:31.970] 那就等于是我今天把车我的买车日期就是今天。
[62:36.460] 开票日期今天。
[62:38.230] 买车就初次登记日期是今天的是吧？
[62:41.660] 您说哪个初次登记日期不是今天？
[62:45.220] 倒不是天。
[62:47.250] 我买车相当于每天买的车。
[62:49.760] 发票是今天的是今天买的。
[62:51.820] 今天买的，但您行驶本上的日期不是今天行，日本是您上牌时间为准的。
[62:57.790] 有上班时间，对。
[63:00.000] 上证市场上对。
[63:16.180] 好不容易刚才题板了。
[63:18.110] 没事，昨天是耽误事理解，大家都时间很长的队太多了，
[63:24.990] 是还得大回来会让他们弄。
[63:27.710] 刚才咱俩哪错了大哥，不是在上面那一栏，
[63:32.540] 听说对象像下面的那种
[64:13.760] 徐总一样东西。
[64:15.060] 谁都这样。
[64:15.780] 坐着。
[64:18.960] 也
[64:21.710] 我还得给张经理打个电话。
[64:24.190] 你能看见OPPO手机吗？
[64:26.450] 都没批。
[64:27.890] 不对。
[64:29.450] 招聘都来了。
[64:39.080] 行。
[65:13.290] 关于经理帮我OA一下。
[65:16.060] 好。
[65:29.030] 你那什么票都开完了。
[65:31.840] 付款不用。
[65:36.530] 你今儿那办理行吗？
[65:47.800] 精品是自动也不是自动审批的。
[65:50.250] 都不是吴斌，
[65:52.030] 他一般会很快的
[65:54.440] 型号给分开了，他一般属于秒批级别好。
[66:08.850] 他还真是
[66:10.360] 又到徐总。
[66:13.390] 你要再等不起，你再见。
[66:16.740] 你联系的。
[66:21.430] 你说这个来的。
[66:23.110] 即妈半年盘。
[66:24.310] 现在几点？现在3点。
[66:26.130] 23点能不能上？
[66:28.680] 他那是不是5点下班？
[66:29.920] 对。
[66:31.310] 谁知。
[66:34.980] 可以了，然后点风都操作是吗？
[66:37.030] 行了，批完了。
[66:44.520] 怎么办呢？
[66:45.660] 马上了。
[66:46.630] 马上就交钱了。
[66:48.840] 对，得让客户签字。
[66:53.600] 你二手车协议这不用我签，直接给我过去了。
[66:56.640] 对。
[66:58.600] 给你钱东西。
[67:03.320] 本人可以开着新车走吗？上车先走，刚刚您在这签个字在。
[67:08.090] 然后手机是不是还得收到过验证码，对。
[67:10.400] 我们弄完了就走了，行了。
[67:13.930] 网上
[67:15.370] 不着急。
[67:17.910] 徐总批过听过了。
[67:20.680] 下一步。
[67:21.670] 对，你给我就行，然后你手机会收到一个验证码。
[67:25.150] 点。
[67:29.910] 8个。
[67:33.710] 221222不2012。
[67:37.960] 28是吧？
[67:39.220] 22020128。
[67:48.490] 2012
[67:50.110] 二。
[67:54.210] 没问题。
[67:58.180] 行，打印的时候刷新一下。
[68:03.570] 有更多通胀。
[68:04.810] 销售新闻单位。
[68:06.780] 直接打开吗？对。
[68:10.590] 我打印一下就打印几份。
[68:13.200] 你不是交车了吗？交车打印一份就行。
[68:18.640] 谢谢。
[68:20.880] 非常感谢。
[69:51.830] 说你看看
[69:52.880] 看有没有
[69:54.210] 的直接的方法。
[70:39.770] 这儿的。
[70:41.250] 过来抱憾演的财务信息表在哪打？
[70:51.710] 完了吗？
[71:09.730] 对S展车卖了。
[71:11.880] 我师傅卖了。
[71:13.960] 教授260他那会开出去的。
[71:18.370] 还没进吗？
[71:19.320] 没劲，他应该下也没劲，我现在去交钱需要打的财务信息表在我看这上有，但是
[71:25.200] 怎么打印出来的文件，
[71:27.330] 财务系统这是哪个S et是吧？这是不是sp魔比8B倒比的话，你得近的戏进来了，
[71:34.630] 就这事记得吗？这个点结算了吗？完结算了改结算点刷新一下。
[71:41.170] 行，这个是什么的系统，对文件的系统试点上面。
[71:45.800] 上面有了吗？财务信息对，给它保存到桌面上一打就可以了，需要打几张，曹鑫要达5张。
[71:52.650] 行好。
[73:31.720] 没你好。
[73:32.950] 谢谢非常感谢。
[73:44.650] 不用谢谢好好好。
[73:50.260] 不需要谢谢，好的好好。
[75:18.970] 给您看一下签收的。
[75:21.550] 谁知
[75:24.130] 这个是车的指导价，然后这个是车的优惠后的一个价格，这个是咱之前交了一个1万的定金，今天就是视之为款金额是381,800，
[75:32.690] 咱们做的是分期的分期195,900，贷款也是159,900，然后这是所有项目验车上牌不是送您的，咱们系统那没办法默认成零，所以说收了您一块钱，
[75:43.070] 跟您解释一下，然后这个是购置税的话是34,672块5毛7，然后这个是保险取除了这6000以外的6293块66毛8，
[75:55.960] 然后这个是送您的东西，下边是精品，这个是福利礼包，A然后我把羊燃油添加剂都给您加上了，到时候给你放车上，这个是7800是贴膜和什么
[76:08.730] 赠送的，我都只能给你写热议。
[76:10.980] 这个是赠送的，对。
[76:14.570] 保养。
[76:17.560] 保养的话都给您砸里边了，这哪是吧？我看看这上面应该不显示包烟。
[76:23.760] 你看我拿什么手续，您到时候都系统里边出后都会写的，你看着给您都给你写上了。
[76:31.450] 我也就刚才您签字的，
[76:36.260] 谁知不是上面你打出来你才能看外表，你看了这是公示价格，上面一排有56,000，这都给您写上了，客户自购千万，7月汽车两一两遍
[76:46.930] 都给你打上了。
[76:48.000] 两次A保两次低保都给你写上了，这6000块钱保险置换提供6000块钱的
[76:55.050] 这上面体现不出来。
[76:57.080] 对。
[77:00.150] 不住。
[77:06.890] 8两
[77:10.770] 好，您拨打的电话正在通话中，请稍后再。
[77:22.060] 如果
[77:26.630] 三。
[77:27.830] 你磨
[77:30.720] 磨不是7200，怎么又变成7800呢？
[77:33.600] 这不是这个不一共7800，喂赵哥您回来这进不去是吧？
[77:37.830] 行，您在哪呢？
[77:39.730] 行行好行，刚才在大厅是吧？
[77:43.630] 行了，我过去找您，好谢谢。
[77:48.860] 行，我去找我给你签字，你稍等我一下。
[77:51.560] 行了。
[77:52.900] 对。
[77:55.840] 这个需要当时的消化签字确认。
[77:58.110] 这些都是我的保养什么的。
[78:01.160] 写了您可以吗？我怎么看着谁知那是行，你在手机上都看不到。
[78:09.250] 月宫说
[78:10.640] 提供20。
[78:13.080] 我给你写了，今天装都写上了，你放心我去找签字，那我就下来不用一会交钱就在
[78:22.200] 了。
[78:22.940] 你就坐着等会就行了，好。
[79:39.670] 那个客户回来了，
[79:43.450] 中国工作，然后关键是刚弄完去交钱，我在那看眼科
[79:51.560] 师傅是不也有客户？
[79:53.260] 别慌。
[79:55.200] 大哥级就是楼下刚来的，大哥特别急性的。
[80:01.770] 没有，当时有。
[80:03.890] 对。
[80:09.280] 三辆车。
[80:10.760] 我找谁看谁，
[80:21.910] 带着客户干嘛去看看车去，
[80:24.480] 车头掉过来了，哪个？
[80:26.380] 新来的？
[80:27.550] 冰封的。
[80:30.340] 听。
[80:32.080] 调过来车在哪，车在储运那边，大哥给我打电话的。
[80:43.280] 通胀应该没什么事儿。
[80:45.150] 能看一点。
[81:01.360] 其实我这也马上他开完，我把钱都交完，开完票然后就给郭静了。
[81:07.510] 对，然后我就弄那个都谁现在空闲。
[81:12.520] 不要了。
[81:21.610] 那就好了，看一遍。
[81:22.890] 没了。
[81:24.340] 好。
[81:26.990] 等。
[81:28.430] 好了拜拜，我去了不是你这得多长时间。
[81:33.720] 交钱开票，如果系统没出任何问题的话，要票客户等了。
[81:38.360] 客户不是转车去了吗？我给他保险谁知
[81:42.590] 还这么多活，
[81:44.060] 然后那边就来了一个交钱就行了。
[81:46.330] 行，我先带那客户去看车去，我带回去。
[81:50.970] 你带他去，下雨没事给你打8分。
[81:55.230] 不用我这有事我这三大。
[81:58.260] 这也行，没事客户就算了，客户
[82:01.390] 出来带伞。
[82:03.830] 我现在在快点车的，今天从来没有这么low
[82:07.870] 照顾他也知道在哪，我应该让他去刚刚毕业的，
[82:14.310] 后来弄了。
[82:16.240] 你这边说10号就开票。
[82:25.290] 这大哥然后在
[82:34.240] 这个都给他体验完特别急的贴膜，
[82:37.600] 他还比较感兴趣。
[82:54.050] 那张哥你
[82:58.440] 我们自己但是演说家
[83:01.850] 面如果说整个眼镜
[83:04.270] 眼镜您有没有印象丢在哪个位置？我也不知道怎么。
[83:08.280] 一会我给你问一下，给楼上楼下给你问一下。
[83:20.930] 就安装了。
[83:22.140] 都给您拖过来了。
[83:31.390] 你要不就找这是我们经理，然后他给你出来，实在忙不过来，我这有人突破抓紧我在。
[83:37.090] 行行谢谢你麻烦了。
[83:39.610] 咱们这边
[83:41.380] 影响吗？我一下。
[83:44.680] 我去上给你问一下眼镜从强调对调回来了，好。
[84:07.110] 让我贴对不对？
[84:11.840] 财哥。
[84:13.200] 才哥走吗？
[84:25.480] A
[84:26.320] 然后下礼拜考试然后就下去了。
[84:30.480] 快走，这有点我这开票有一个限定现浇的。
[84:35.600] 你们那里没事，你让我上去打听，你意思就是找我了。
[84:39.380] 谁找你了？
[84:40.290] 这里。
[84:41.100] 可以。
[84:42.510] 你去出差是不是挺快的？对，拖时间长了没意思。
[84:46.220] 对，礼拜还挺好。
[84:52.360] 张哥您的收据带了吧？
[84:54.590] 上次交1万定金收据。
[84:58.720] 走吧，我带您去交钱。
[85:01.090] 他来了我还以为他没来，你们家的小宝贝，别让我下午都请假了。
[85:06.930] 他过来干吗？
[85:08.360] 刚才怎么没看到一个放车上了？没有。
[85:25.890] 这个事情做成环节，
[85:34.250] 您好。
[85:35.460] 请问可以吗？一会儿听就是说有问题钱真的交了吗？
[85:43.080] 多少钱？他说了出来8000，一共刚才二十二三五，我给他们打不是吗？看看这个
[85:51.850] 这叫什么家庭让。
[85:55.810] 交输进去23万多。
[85:58.000] 你可以教
[86:00.970] 这个钱
[86:02.430] 加上
[86:04.260] 再加上钱减去一半，
[86:06.780] 来电
[86:09.670] 的
[86:10.810] 一。
[86:13.150] 195900
[86:17.680] 家
[86:20.460] 找了这保险还是什么东西
[86:24.950] 的。
[86:29.340] 要。
[86:30.440] 还有购置税这些是吧？
[86:35.430] 4067567.2的保险公司。
[86:42.310] 坏数据
[87:02.110] 数据、
[87:08.600] 分两次还
[87:12.860] 对。这块。
[87:17.900] 数据。
[87:19.240] 智能储蓄合同原件有吗？山上原件。
[87:27.440] 不能刷信用卡是吧？
[87:35.000] 你这边还有签字吗？稍等我一下。
[87:41.950] 收放确认书你在这签字。
[87:44.600] 刘晨这跟您说一下，车子抽检车1.16公里，上次跟您说过了，还有后排座椅，然后共代码，
[87:51.130] 这个都给您
[87:52.210] 跟您说过了，然后你们再那什么再签字确认一下就行。
[87:56.010] 吃我还得看一下，对，车马上就带你去，我的心看到了，所以直接我先去咱俩签字，直接客户条，今天客户这边签字对不对？
[88:10.190] 不就得让他签字。
[88:19.290] 或者您先看也都可以，看到交钱就行。
[88:22.800] 这个是送你的保养都给你写上，两地就是上面告诉你，然后告诉你怎么弄，1万公里商户就不能超过1000块了，你在这需要把这个话筒给让你充分理解以上做条款确认无误，
[88:35.770] 就别超过你错，
[88:37.720] 你就11,000也行，9000也行。
[88:39.790] 谁知
[88:42.520] 谁知我给你们给你上次填过来的，请用的就是它的发展。
[88:49.780] 是按流程应该是我先上车。
[88:53.200] 对，你现在可以带进去吗？谁知？
[88:56.450] 咱们看一眼去，下回不是在展厅咱都看看过了，我说挺好，直接给你发手机给你说说看一下有些什么内容划痕什么
[89:06.270] 将
[89:08.940] 刚才我给你打了没有，谁知
[89:14.540] 没看到你没完成感觉来。
[89:18.420] 完了之后大家没问题。
[89:19.940] 我就把他们给了您那什么，您听完之后咱去看一下，
[89:24.590] 然后回来你再交钱。
[89:26.310] 我觉得
[89:29.040] 赵哥
[89:32.440] 今儿个现在这会儿
[89:36.310] 我不敢去不敢跟您说死，
[89:40.270] 慢慢地发表意见。
[89:43.140] 你们进来尽快
[89:44.920] 再走手机然后再拿到了吗？
[89:48.040] 好，来你就好了，就走了，跟人家签了。
[89:53.220] 然后再继续去玩回来，能不能谁知？好。
[89:58.930] 这些年
[90:03.850] 大部分我们应该先就把车看一下他叫什么，
[90:07.980] 是不是可以对吧？对，你这也差不多看过，所以我就没那什么可以去适时记录，行行，不要
[90:19.290] 没问题。
[90:21.440] 别咱时间太长，因为他这边他说钱都不太好了。
[90:27.030] 没问题。
[90:28.520] 咱从这边走对不用了。
[90:32.110] 对了。
[90:38.610] 因为开完车之后，然后一会我说什么，我这边开完票了，直接让我们同事给您讲车了，
[90:44.490] 讲解车上的功能，哼哼看看还有0。
[90:49.680] 为什么不是您卡是必须得出完保险才能办呢？
[90:53.250] 所以。
[90:54.760] 你说一会都不成，开完发票他给你。
[90:57.310] 车我给您接下来的保险，办银行在线帮您查第5点下班电话是。
[91:05.130] 对，所以说
[91:15.200] 非常的
[91:16.610] 我已经到交钱的环节了，然后现在客户开电车单子什么都没问题了，我现在过去找你拿钥匙，钥匙在哪吧？
[91:25.310] 说
[91:26.520] 的
[91:28.020] 放心。
[91:33.230] 你在自己身上的。
[91:34.450] 稍微放在里面，但是可以自己的。
[91:37.440] 在下边下面是哪外面一楼外边不可能在展厅拍的，那句话不就别人又看了吗？
[91:45.580] 那天直接第二天早上早就开出去了，去看看您这边方便，到时您过来一趟。
[91:53.600] 西四环我倒是出去加油了是吧？有肯定给你到加油站。
[91:58.300] 没问题，我们这油都给加了比较多了。
[92:00.920] 我这百得利奔驰光大银行的卡，5路居这块这东西这块最近
[92:06.590] 不是这是4毛钱的卡，谁知
[92:09.300] 我们发点什么小防暑加班费什么就放着。
[92:14.000] 对单位的人看到了吗？
[92:17.710] 人。
[92:19.060] 4万不等。
[92:22.450] 也不多。
[92:23.520] 老师空间不管，但是你可能有时候你看这边
[92:28.560] 让我show一下子，
[92:31.890] 说这车下雨了怎么看出不去，您当你在这再买，
[92:37.670] 当然价格也不行了，这下太大了了。
[92:41.320] 又得看着
[92:42.470] 的。
[92:43.990] 咱们这采什么是大厂？
[92:48.550] 这女孩下去刚看到了，
[92:53.680] 我现在出去现在上的
[92:58.560] 过去
[93:00.450] 我一块跟我们经理一下，要借一下伞，然后我不知道是什么三，这是他们自己的伞。
[93:09.550] 好谢谢。
[93:10.600] 行吧？琉璃你能借我用下山了，明天就不你先进行。
[93:15.120] 没法关好了吗？好。
[93:18.760] 您跟我去还是不去？行行来来我告诉你在那就那直走，我给你解锁。
[93:27.120] 我知道你看到没？
[93:31.050] 不要在哪里在那还放在那里是因为要交车，所以说都还下来了，挺大的。
[93:39.760] 我觉得乔哥你帮我什么，你帮我拿这个东西一会去财务，
[93:46.110] 知道吧？
[93:47.310] 张在哪？刚才那D带上去交钱就行了，因为他们进来的时候，你跟那边的人借一下钥匙给他开门，在这分证给开了，
[93:54.510] 得跟他借一下钥匙的能明白不？赚钱我去交了钱，你的财务就让客户我就在旁边上班来，你让客户来找我不我得让他给他安排交车，
[94:05.060] 让他上哪上去，让他给我打电话，上这边来找我，从这来找我上这一会告诉他一声，让上这来找我财务了。
[94:13.030] 还有对一会让他教对单子都在财务，然后你拿着发票到复印机那复印8份，
[94:19.670] 这个一层不是那边有复印机，但是你知道在哪，我问问他们
[94:24.720] 印8份给你拿过来，您把分给那边行政一份。
[94:27.970] 没有这样的听了吗？他没有，这紧接着一个干嘛去了？
[94:33.110] 快点车然后就交钱了，刚才什么还没交钱吗？
[94:37.090] 一会让陈建桥带她去交钱去，行，单子都给完了，他也都算完了应该。
[94:41.660] 没有你不认识，我俩认识的。
[94:44.330] 行，我去找大哥的钱。
[94:47.900] 张开票，然后按照说的，你一定要第一时间告诉我哥哥在哪。
[94:54.170] 那就是财务对面就是商业材料，就给他一张给第二张桌子，
[94:57.960] 第二一给他一张，谁知后帮我送保险那块不保险知道在哪吗？
[95:05.990] 你这个保险加不了。
[95:09.060] 不用，他给我算了，他有。
[95:11.490] 对。
[95:13.880] 行这个我
[95:16.150] 我说你们想一下，
[95:19.510] 我保险在二楼，我3~20多号
[95:22.170] 直走吧得出去，没事一会你不知道，你给我微信再给我打电话行。
[95:27.600] 哪家保险公司平安的？
[95:29.440] 有什么受益人吗？我一会把那个没有。
[95:33.000] 奔驰金融现我现在也不需要对，我一会把那单子给你发过去，把盗抢去了，然后。
[95:39.780] 你跟他说了吗？
[95:40.760] 没跟他说这车多少钱买的？
[95:43.150] 优惠就优惠的43,000了，留了6000块留个窗户。
[95:47.800] 大哥，
[95:49.190] 咱现在给您办手续，这是车里面的东西，对车里边的东西还有一把钥匙车在那都没问题。
[95:57.470] 行行，我现在给您网上办，你这样交钱的吗？不是跟你先办手续，您先身份证带了吗？
[96:04.190] 我的身份证指标人不是别人是他对好。
[96:09.060] 也需要指标人的，咱找个地儿坐。
[96:11.360] 坐电梯，电梯。
[96:22.870] 不要进来吗？不能进不来，它这个车都现在没人做。
[96:27.730] 他走的话你也近不了前面不挡着车了吗？
[96:30.430] 而且一会咱也走。
[96:49.090] 行了吗？
[96:50.120] 对待你
[96:51.740] 赶紧做还做这一点。
[97:10.620] 因为到5点我们这就不收钱了。
[97:14.890] 咱们现在先抓紧办。
[97:22.190] 当时这桌子没捡着眼镜。
[97:24.640] 没有，我刚才特意上来看一下，一会我去水问一下。
[97:28.250] 82没有，可是他没去，就是怕他们收拾桌子时候是不是有看到？
[97:40.920] 没有。
[97:42.070] 结果。
[97:43.110] 装饰康选哪个大哥，
[97:46.040] 要什么业务？
[97:47.020] 双人套餐您选哪个不行就选你。
[97:51.760] 可怜争取体验的是不是？
[97:54.400] 最开始的行。
[98:02.270] 那个和那会你就别人给装包了。
[98:04.200] 大队那不是诗吗？要胸这皮包里头。
[98:08.840] 这包哪有地，你看。
[98:10.540] 没有什么我那手机没丢什么？
[98:19.430] 有点不下雨的地方。
[98:21.750] 你快点，你出门展览我筹建。
[98:27.190] 变态了
[98:28.460] 的。
[98:29.420] 我看远不看不清楚吗？
[98:31.930] 看尽了的感觉远。
[99:13.950] 娟姐
[99:16.130] 来了解咱们这个膜比的话，您先教怎么弄。
[99:24.400] 也是一样的。
[99:25.970] 行好。
[99:28.120] 好勒。
[99:30.870] 你什么就不用写了，明白了。
[99:34.400] Bye bye。
