[00:00.000] 7月5号下午2:48开始接到意思客户郑先生看交易。
[41:16.010] 我家里有两辆车一下车辆走了，
[41:23.410] 不过去了，
[41:24.580] 晚上在外面要投进去。
[41:36.110] 对开空调。
[41:43.340] 感觉事情还行。
[41:45.160] 太可以了。
[41:47.610] 它主要是高。
[41:56.630] 新常态，
[42:03.230] 您说进口是买国产的哪个？
[42:07.350] P配置低一点，级别低一点的，对德国。
[42:11.710] 很多国产的
[42:14.810] 别人怎么说别人美国，但是
[42:18.340] 是不是有影响吗？你就可以见面，我的手机可以。
[42:23.770] 他有什么
[42:26.820] 车辆的前提下宝贝要打开，
[42:30.510] 你马上
[42:32.930] 主要是蓝牙就行。
[43:03.480] 你也没操作。
[43:04.610] 然后我看看
[43:06.140] 我就先添加设备，
[43:10.560] 人家新设备
[43:21.890] 哪个是你的iPhone？
[43:23.310] 对。
[43:33.050] 有确认吗？
[43:45.990] 今儿
[43:49.650] 放吗？
[44:00.640] 到点了。
[44:08.880] 出来了。
[44:10.250] 早说了。美的，
[44:16.380] 根据
[44:22.200] 了
[44:23.460] 了
[44:25.050] 的。
[44:26.760] 生。
[44:30.060] 大四。
[44:41.300] 加速
[44:46.540] 快。
[44:48.880] 奔驰舒服舒服。
[44:51.480] 感觉。
[44:54.040] 感觉不会。
[44:55.260] 不知不觉速度上来。
[45:07.670] 咱油耗是多少？
[45:09.320] 正常开的话，你像350的话，
[45:12.620] 350的话应该十一二个油左右，
[45:19.110] 百条大小退休北湖
[45:25.610] 维护小保养的话1388大包要1888，
[45:34.520] 0
[45:38.440] 260。
[45:46.040] 怎么样？
[45:51.880] 可以。
[46:00.670] 它有提醒，
[46:03.550] 超速了，
[46:05.360] 这条路限速80，
[46:27.070] 这种
[46:27.960] 悬挂的这种速度怎么样？
[46:30.560] 第二天了空间还行吧？
[46:32.840] 空间还行。
[46:34.870] 舒适度就是通过这种颠簸路况这种过滤的感觉，
[46:39.210] 悬挂做一个你身体的板块很舒服，
[46:42.340] 很平稳，空间也非常的宽敞。
[47:15.640] 分享
[47:41.960] 完全干要把桌椅
[47:47.790] 对不太一样。
[47:50.050] 方向盘、后视镜。
[47:57.960] 行吗？快点上车的岗位一道地道到那边去。
[48:02.680] 好过来了D就行了，可以了。
[48:06.900] 就能开掉里头了是吧？好好。
[48:09.610] 真不错，还是这样。
[48:11.440] 后面有车吗？
[48:13.040] 掉头走到这了。
[48:15.590] 怎么不走旅游？
[48:18.220] 他是全脚掌有门票可以需要身材，有点时候就会没办法回去，他不跟
[48:24.460] 怎么说，现在咱们用的车不一样，现在那车不是全椒长得这种舒服。
[48:32.510] 右脚尖一点就行，没办法了。
[48:38.520] 是这样是吧？然后这就是这个就行了。
[48:42.520] 三角什么意思？这是
[48:44.620] 盲区住房区。
[48:54.470] 这挺好看。
[48:55.760] 家没人你搁大门口，
[48:59.130] 后来你帮我帮阿姨给我放门口，谢谢。
[49:02.910] 你们说好看。
[49:05.720] 你买的小孩书
[49:08.050] 咱们出来了。
[49:19.830] 不错。
[49:22.470] 他是不是有车了以后，他就告诉你的盲点在。
[49:26.570] 对，晾起来这个事儿了，让您注意一下，对。
[49:34.530] 不一样。
[49:41.440] 他那显示还挺频繁的。
[49:47.190] 防眩光。
[49:48.680] 这不是高精度，完了文化内容，
[49:53.900] 我跟你讲讲坐到前面第一件，然后要具体效果。
[49:58.200] 反正一下
[49:59.300] 房价马上给你们回馈，
[50:01.010] 不敢的回馈，还有车的整体性，
[50:04.690] 可以值得我们江苏的这种感觉。
[50:26.080] 应该是小车。
[50:27.600] 开始80的时候就开始接代理。
[50:30.990] 这些还好一点。
[50:33.220] 这一下清楚，稍微点点就出去了。
[50:39.160] 你要加什么？
[50:40.560] 简单说就是不敢电邮。
[50:43.240] 哼哼。
[50:44.920] 送东西搜索的对动能就过去了。
[50:48.450] 12点
[50:56.990] 出去我们就出去。
[51:03.510] 车身那边。
[51:04.360] 后排感受怎么样？一句话？
[51:06.440] 开始了。
[51:16.630] 自动
[51:17.820] 你手动当中
[51:20.310] 住哪儿驾驶，她方便叫着。
[51:23.750] 生意是
[51:29.490] 他手上在这倒腾。
[51:36.370] 他不在。
[51:40.050] 他真是过坑卡的的。
[51:43.370] 好好的说。
[51:51.280] 天天还不错。
[51:52.600] 对，不是天天竞争。
[51:55.360] 上面
[51:56.730] 下雨，
[52:03.390] 他没有天窗就觉得
[52:05.730] 银行给我们开阔时间，上面不吓倒了。
[52:10.950] 当然要问你这种
[52:12.840] 这个车的
[52:14.300] 调解还何在，对不对？
[52:17.960] 因为你在
[52:19.410] 不是一个价格，那就
[52:21.550] 不是咱们这边走。
[52:23.590] 问一下。
[52:24.570] 他教我一下，觉得一点事都没有。
[52:32.650] 怎么还？
[52:34.320] 我走了。
[52:37.400] 头上对不对？
[52:39.730] 咱们这走咱们绕过去。
[52:47.080] 从这过吗？
[52:48.000] 绕一下就起来再往前。
[52:50.240] 到口
[52:58.720] 拐弯，
[52:59.760] 这边咱们红领带不着流转，哪边右手走，
[53:19.220] 咱这车辆能开20，
[53:22.330] 没问题。
[53:24.290] 然后咱们小号都开了，市内车用的少，
[53:29.110] 是我们成功特少。
[53:33.150] 我们家本来就是
[53:34.840] 开车
[53:37.890] 重要。
[53:38.780] 哇塞。
[53:39.920] 没事对不起。
[53:41.810] 怎么不行吗？我的左脚
[53:44.660] 我那个什么他们
[53:46.850] 如果构成了对不用围巾。
[53:50.960] 我踩离合去了。
[53:53.380] 还为什么要改革？因为你要踩刹车的时候心态一会就这个意思，对不对？
[53:59.820] 还是手动打的，我以为手都打。
[54:02.670] 对不起咱们怎么做，应该你们还是不够专注经历。
[54:08.380] 集中不是习惯，
[54:10.200] 我太集中了，
[54:12.130] 好家伙，这差点把我脑袋给我甩出去。
[54:16.380] 对。
[54:18.690] 看我就说你
[54:22.930] 我拍着要是买了自动挡，
[54:25.040] 在看花水，
[54:26.120] 开一段时间，我觉得这还有点不，你放心，这一脚肯定是刹车上。
[54:32.790] 您
[54:35.960] 然后让沙子
[54:39.840] 谁知这都太忙。
[54:45.320] 到这了我刚了。
[54:48.240] 看看前面
[54:50.280] 往这边走。
[54:53.110] 快气它既不满
[54:58.330] 给牛肉说稍微有点
[55:01.280] 这就是奔驰的效果分歧就是这样，他不珍惜你得有就蹿出去了，明白他这边的话就不舒服了，晕车的人怎么运就是一会快一会慢
[55:10.500] 等等，所以还有一个
[55:12.080] 让你不知不觉车速上来，对。
[55:18.390] 关上。
[55:24.010] 行，你听着就行吗？
[55:25.400] 可以了。
[55:27.310] 有下列。
[55:29.840] 好的。
[55:31.500] 等一下这边中间。
[55:34.140] 不用P了，对就可以了。
[55:37.890] 我都把我删了。
[55:43.080] 我以前可能交了一个定金，
[56:18.670] 是吧？
[57:16.730] 咱们找个地方给您做一个详细的报价。
[57:21.690] 您说进口的级别低一点的是哪个？
[57:27.680] 他们本身你把K的
[57:30.840] 没有车咱们
[57:37.310] 坏。
[57:43.190] 空间、
[57:45.330] 中
[57:49.920] 的
[57:53.190] 场
[57:54.860] 数据
[57:58.280] 的
[57:59.470] 的。
[58:31.300] 数据
[58:35.810] 数据、
[58:53.440] 数据、
[58:54.440] 数据
[58:56.290] 场
[58:57.800] 场
[59:01.730] 句。
[59:04.030] 场
[59:06.050] 场
[59:11.010] 场
[59:17.520] 数据
[59:24.910] 场。
[59:29.950] 的
[59:31.570] 的
[59:41.610] 左脚了，上来给我把联合猜。
[59:50.250] 吓人。
[59:52.550] 左脚谁知没事的，
[60:01.200] 右脚习惯慢慢踩都不习惯，就是自动挡左脚根本用不上。
[60:07.510] 不是有的客户比较怪，
[60:10.160] 他就是用左脚刹车开自动挡的车用左脚刹车，但是咱们用惯了右脚的人用左脚刹车，
[60:15.970] 那就太吓人了，因为左脚它控制不好力度，左他一下他到底谁知法控制力度，
[60:30.100] 但是因为有的时候习惯了他一开始学车的那种多少，
[60:34.620] 多费劲，这到夏天那号人用惯了也一样，残疾人
[60:39.710] 这只脚残疾他可以开诵的，对是这样。
[60:49.550] 我们得把要看看这拍手工，
[60:51.860] 那就得是左右脚都得上都得会完了，左脸给灵活。
[60:59.790] 咱们给您做一个哪个车的报价，就是GRE的报价吗？
[61:03.480] 您帮我这样抱一个再做一个
[61:09.770] S的是吧？
[61:12.730] 不要SGS太太高端了，我觉得我用不着。
[61:16.220] 这个也太高了。
[61:18.250] 我觉得
[61:19.060] 亦或者C的进口行吗？我还是比较喜欢买进口的，
[61:25.790] 国产的就算了，C还是一稍微大C和E
[61:30.320] C是最低的吗？所以C稍微小，鱼儿的虽小点稍微好一点的，对上次咱们看那一三百，
[61:39.440] 而且我觉得2.0是不是就够了？
[61:43.150] 第三百一二.07对一三百点临近，
[61:46.810] 第三排也是2.0，现在202.0。
[61:49.800] 够了，真的用不着3.3.0，还得税交的高，然后由还
[61:59.220] 车这东西用不着太高。
[62:03.180] 第
[62:08.880] 现在进口的跟国产的价格差别也不是特别大，
[62:13.170] 进口还是比国产要贵10万到20万左右。
[62:16.240] 贵那么多。
[62:23.520] 它有时候有优惠。
[62:25.960] 咱有什么团购什么之类的。
[62:28.020] 像什么？
[62:29.310] 他这有咱们这没有团购。
[62:31.790] 优惠，对正常的GRE现在车是738,800，正常提的话现在能优惠2万，
[62:41.160] 就变成718,000，八半齐了差不多80万左右。
[62:47.640] 百
[62:48.880] 18%支持什么分期付款，只支持我一会给你算个方案。
[62:53.130] 一般您都喜欢付多少？就是想
[62:56.370] 想付大概多少比例？
[62:58.130] 30% 50%。
[63:00.520] 分两年还是三年？
[63:08.550] 他没有进入关键他那里。
[63:11.390] 怎么算的，我一会都给您算一下。
[63:21.870] 这车到
[63:26.380] 别人出去买，
[63:29.520] 能买多少菜？
[63:31.910] 这车中的多重？
[63:33.950] 这车是两两吨，对，版权是两端。
[63:40.010] 两端一车，然后用一个
[63:42.590] 他总得给推下来，对花多少钱？
[63:52.870] 还看儿子。
[63:56.570] 别看了，
[64:07.290] 天北京新发地新冠病毒是突变的，
[64:12.070] 更具传染性。
[64:15.110] 是什么？
[64:16.400] 传染
[64:17.620] 不便，突然的变化，突然突变异，突然变异，
[64:21.590] 更以发生突变，更具传染性，世卫组织已警告，
[64:27.940] 这怎么着？
[64:30.300] 所以他们这几一直降不下来，
[64:33.570] 是吧？
[64:37.600] 那地区就不行，
[64:40.170] 是吧？
[64:41.490] 对。
[65:18.430] 数据
[65:19.180] 场、
[65:32.070] 号。
[65:33.390] 咱们想付首付多少比例？
[65:38.040] 咱们这个利息是百分之多少，利息他是7.49，相当于银行的3.99。
[65:47.470] 如果说相当于对它内部的算法是7.49，但是折成银行的利率就按银行的算法是3.9。
[65:56.790] 对。
[65:58.730] 对，
[66:00.500] 咱们比如说打个比方这车是吧？70万的车，咱们想首付多少钱大概？
[66:05.510] 有一半，一半的话就50%倍，
[66:08.800] 是吧？
[66:09.580] 然后我算我整个车就说我都烦了多少钱，等会我马上都已经列出来，
[66:17.670] 结果最后多付出多少来吧。
[66:21.940] 我正在给您算，你得告诉我你想
[66:24.870] 付的期限就是24期2 36期。
[66:27.710] 假如说是36，
[66:30.390] 三年两年，他是36期以后统一一块付，还是说每月付？
[66:37.420] 也是每月就跟房租似的，就跟房贷似的。
[66:54.350] 北京
[66:55.340] 千万三十六七是吗？三十六七二24期，
[66:59.790] 5000 6000千万人。
[67:01.320] 1000万人核算的。
[67:03.210] 那边大概多少？
[67:04.760] 谁知
[67:07.260] 小2000万人。
[67:09.320] 1/2的人吗？
[67:11.140] 说大夫都累疼用卡了，天天坐24小时做到这般地做，
[67:20.900] 跟踪
[67:24.210] 这坚决不能有。
[67:25.800] 再往城区麻烦了。
[67:46.830] 的
[67:55.710] 来郑先生，在报价之前我再次给您宣读一下服务公约，
[67:59.960] 内容是客户为分，以礼相待，诚信经营、合法得体、明码标价、公开透明，配件渠道信息公示绝不捆绑，销售强制消费，绝不成交价一次称号。
[68:09.010] 460818188是我们监督服务电话，
[68:11.600] 然后咱们采用全国统一的报价单模板，这是最新版的给您做报价，这是gl1350时尚型，
[68:20.260] 它的指导价格是七十三万九千七十三万八千八，优惠两万七十一万八千八，购置税的话是63,000
[68:28.910] 6 610。
[68:30.980] 精品这是包含一个全车的装潢，比如说贴膜、脚垫、后备箱垫、行车记录仪、全车贴膜，
[68:38.400] 一共是13,800，这个是你可以选可以不选，但是一般的客人都会像都选的，因为你出去做也比这也不便宜，而且还不在店里面有保障，对。
[68:47.420] 电车上班是2500，
[68:49.280] 全办下来，再加上一个购车保险，全险差不多23,000左右，全险是吧？对全险，然后全办下来是821,700对不？
[68:58.450] E821,000不断，
[69:01.870] 我小叔那个数应该是
[69:04.110] 3,718,800对吧？对。
[69:07.640] 加上一个63610加一个13,800，再加上一个2500，再加上一个23,000。
[69:17.060] 821,700
[69:20.560] I10 10，
[69:22.790] 然后82寸办下来了。
[69:24.950] 然后下面我给你做了两种分期的方案，第一种的话就是你首付50359,400%，贷款额是359,400，
[69:32.880] 如果36期还的话，每个月的月供是11,177。
[69:37.800] 然后一共三年多还了43,000的利息。
[69:41.120] 那么多越长三年三年三年，然后第二种方案我给您做了一种首付27万多，这就是每个月不用还1万多了，还3114的利息就行了。
[69:52.570] 在两年以后一次性还清49万，
[69:55.950] 两种方案都可以。
[69:57.540] 还多少？比这还多。
[69:59.520] 3000多，一年的话就是36,000。
[70:02.990] 三年的话就10万多了，因为您手里面支付了5还差了50万没给人家。
[70:09.370] 对是利息高，他是就像您说的到两年以后一次性还清，一定还给成这么多钱，对。
[70:17.190] 月月对月按月还利息，剩下那钱到时候到对两种方案都可以理解了，X。
[70:26.490] S刚才你是说不用做S的是吗？
[70:29.960] 我想做一个一一把，你就是一能提前还款，唯一有违约金退款额3%的违约金。
[70:37.550] 就说您咱说好了，这事儿就这么办，
[70:43.390] 其实他就想要你那个利息。
[70:46.990] 你要说做分期的话，从利息来讲D合适。
[70:51.040] 你想你这个待了36万，
[70:53.460] 您三年给了43,000和这一年给了1万13,000块钱，
[70:59.110] 一个月合着1000块钱利息，但是您别忘了您贷了36万，
[71:02.200] 对吧？这一年的改成3万多，对。
[71:04.950] 看不到了。
[71:06.270] 第三年才4万块钱。
[71:09.060] 其实还是这合适。
[71:13.370] 不太就只能自己琢磨得看奶奶。
[71:16.680] 背着抱着反正这多点那少点。
[71:19.330] 对，是这样。
[71:21.810] 您看报价这块还有哪不清楚的，咱们再给您说一下全险多少钱。
[71:28.870] 全险的话是23,000左右，23,000就。
[71:33.350] 三元讲她高血压。
[71:35.740] 保险高，不是保险这个随您自己选，我给您报的是一个全部的选中，你像您这车裸车多少钱呢？
[71:43.280] 裸车的话就是71万，
[71:45.350] 你基本上是新车款的33个点，也就是说差不多23,000左右。
[71:50.370] 如果你全上你也可以不选上，对你可以上就有相应的选。
[71:57.990] 基本上
[72:01.860] 这车还行。
[72:03.130] 咱们现在有一台时尚版的现货是蓝色的，
[72:08.180] 如果您觉得还行，咱们今儿就把这车给您定下来，咱们正好也有现车，
[72:13.610] 现在可能还早点，
[72:16.020] 早点，昨天我现在D要没想好，到底是轿车还是SUV。
[72:23.350] 第二我说实话我还也考虑什么，我还考虑
[72:27.420] 宝马帮忙，因为说实在我还真挺喜欢宝马，66叉6那个车已经出了有些年头了，我
[72:36.820] 我还有新款的，
[72:40.090] 是那个车适合您开蛋蛋大哥开觉得后面就小了，他就被他刘备下来，一个是我觉得是两种，如果这车比如说女士平时老开差6适合，
[72:52.360] 还有一个就是叉6的内饰可能比要稍微差一点做，因为宝马内工作是没有奔驰做的，
[72:58.510] 做的比较粗糙，另外的话就是那个车我觉得据我了解，
[73:03.080] 外形更适合女士看看，
[73:04.820] 然后对不太适合男士那种硬朗的，另外的话就是后排像你说
[73:10.950] 跟他那个头不太舒服是，因为他刘备
[73:14.340] 压下去了，对他内部的宽敞度可能没对您自己考虑了，对，还有我
[73:21.760] 是想了解我不说进口的E系和C系，其实我也
[73:27.630] 我觉得也是在考虑范畴，咱们简单的说咱们就不那么系数了，简单的说要如果进口的E级车，如果标准轴距的现在咱们只有I进口好像都没有现车，
[73:39.950] 但是那个车咱们打比方全办下来应该50万左右，
[73:43.480] 进口的一脉下来在50万左右，然后飞
[73:47.220] 进口的C的话那是两门的，你不实用不只有一
[73:53.630] 对50万办下来50万左右，对还可以对比那个车，但是后台他进口的后排可没有国产的后排大，
[74:02.750] 因为它不是L吗？这能理解，但是咱后台没必要那么大。
[74:08.680] 现在没现车的有样车没有样车那个车卖完了，完了没我那钥匙首付50%，财富20多万30万就搞定了。
[74:20.370] 对。
[74:21.790] 不是那成模式。
[74:24.370] 财富30万，长城高的那车，
[74:27.890] 然后一系列也够档次了，然后还是进口的车，且开20年没问题。
[74:35.410] 大概是哪他们产品看看端着手机，你看那个车也是德国德国的，你看德国的绝对买德国东西绝对靠谱，
[74:46.030] 我觉得可以作为考虑范围。
[74:48.730] 真的吗？
[74:50.500] 这是好，这车有点太大了。
[74:54.760] 到底适合你跟葡萄开的，
[74:57.750] 到侦检器也开了，
[75:01.250] 是挺解气的。
[75:02.880] 好把这油哇哇的特通了，给油门冲了，
[75:08.200] 孩子S也很好，但是S也是进口的，
[75:12.200] 孩子有点太高级了，不太觉得有点我们家庭中有点不太实际，谁知别墅我们要住别墅，有一个大车库什么的，
[75:25.980] 是吧？我们就住小区里边，谁知闹不好，还得是地上停车，好家伙弄一个S
[75:34.560] 把都调调，我觉得一就还行，已经是
[75:40.250] 比较含蓄，对，不要含蓄，就是说
[75:43.440] 还行。
[75:45.260] 说高不高，说低不低的那种。
[75:48.070] 那意义的话，我看看咱们有E260可以吗？
[75:52.480] 1.6小点我就要想要2.0的，我也不想一生，他俩人气最好，二根本就意义义气，一一级一三百现在没有现货，咱们现车有一台刚刚到的1260
[76:06.290] 一点武器的，
[76:07.580] 小了，我想2.0最起码的1.51.5行，我知道交易不好吗？
[76:15.210] 太大了。
[76:19.300] 还是2.0 300也好，
[76:21.320] 2007
[76:23.700] 300的卖下来多少？
[76:25.890] 50，算起来55 55以内。
[76:29.980] 对，因为现在300没有现车，我没法告诉给您报一个特别准的价格优惠，
[76:35.550] 优惠有加上优惠以后办齐了差不多55，因为他比国产的要稍微贵一点。
[76:40.820] 他贵点能接受，我觉得比10万多点。
[76:45.420] 对了，10万多元国产的还是不如进口的。
[76:50.320] 国产42多。
[76:52.760] 20他不好吗？咱这国产的一是哪款？咱们利用
[76:59.330] 刚才
[77:01.050] 蓝色的
[77:03.510] 那就是国产。
[77:07.550] 白色S是不是太害羞了的？
[77:12.390] 要不然你买一个国产的一国产的意识，买个顶配的一三百号华舒享版，
[77:19.090] 那个车现在优惠完了，优惠也挺大的，优惠差不多六七万块钱的，然后办齐了也差不多50万左右。
[77:26.020] 不超50。
[77:27.270] 应该
[77:28.420] 而且这个空间感也够用的，豪华度也够，配置也高，
[77:32.730] 不喜欢国产的，因为我去过北京奔驰，
[77:37.630] 非常不好，反正
[77:40.420] 北京奔驰我老去的。
[77:44.080] 国产的挺好的吗？跟北京汽车合资的是工厂还不能随便进。
[77:50.790] 不让那边他特别近，没有他们生产线不让现在咱能看见。
[77:55.240] 您没到生产线进去，你怎么知道里边好不好，就从他们那管理我就觉得不行。
[78:01.650] 是吗？我们反正去生产线里面是特别棒，
[78:06.680] 他那道士看着生产线的都是德国人控制的，生产线里面不夸张的说地面比我们展厅地面都干净，
[78:14.530] 而且这个里边一点异味都没有，他里面的钢结构弄的就特别军事化，管理特别棒。
[78:20.510] 没事没进去过，可能不敢县里面他不能随意进的，还是不让谁
[78:24.550] 紧跟老板也不让送。
[78:26.170] 他得是进去以后不能拍照，不能录像，而且还得专人带着去，你是才能有人带着你才能进去，就是说你的身份证
[78:37.790] 都得
[78:40.520] 我知道不接电话借鉴。
[78:45.200] 如果
[78:46.240] 看一眼喂。
[78:49.250] 哪儿什么？
[78:50.480] 如果你说。
[78:57.240] 我们在四环。
[79:00.560] 对西四环四季青桥往南走1.5公里。
[79:11.160] 行，我给你发个位置好勒。
[79:13.800] 再见。
[79:17.450] 坏
[79:29.080] 数据
[79:30.280] 场。
[79:59.160] 场。
[82:02.950] 花。
[82:08.190] 快。
[82:17.110] 您一会儿方便的话帮我扫描一下咱国家咱下方的二维码，咱们做一个服务中心的调研。
[82:23.990] 微信对给你走吧。
[82:28.940] 看怎么样的意思？
[82:30.460] 一我觉得也挺好的，就跟你我觉得还是我考虑买进口的，哪怕退一个，
[82:37.930] 我应该怎么说应该
[82:46.150] 为什么？
[82:46.860] 一会去医院电流电话媒体不能每天
[82:51.130] 他们到了
[82:52.480] 实际上
[82:55.550] 北京、
[83:00.570] 肯定是德国产的是吧？
[83:04.420] 不是什么美国或者是什么。
[83:07.490] 第三个大。
[83:09.520] 对。
[83:10.240] 对。
[83:11.910] 还提了他们有
[83:14.590] 结果好，我可能考虑买进要买
[83:22.670] 宝奔驰的话，就可能考虑买一个进口的2.0的2.0的，我可能更倾向于这款。
[83:31.930] 咱们这边有车辆公司价格反弹。
[83:34.540] 行好的。
[83:36.250] 这边有没有车辆购置价格板，你看比如说。
[83:40.410] 咱们GRE那时候。
[83:43.880] 咱们在那里。
[83:45.020] 期间时尚感
[83:47.050] 738,800，所有价是83 38，如果您现在的话北京牌都得您确定的，
[83:53.970] 对吧？
[83:54.770] 然后的话你要说看
[83:57.530] 标准轴距的E级车对不对？就是那个事吗？这不是这叫跑你们这边
[84:05.390] 三
[84:08.280] 场。
[84:19.280] 场
[84:38.720] 花。
[84:40.360] 对。
[84:44.640] 数据
[84:52.190] 了
[84:58.000] 昨天
[85:02.710] 对。
[85:08.070] 因为现在暂时没有现车。
[85:10.600] 他也没给您出去，对。
[85:13.280] 没事儿，大概其实我跟你说这事五十点多一下，对，这边也问了。
[85:19.480] 然后您看看今天有什么其他方面需要没有？
[85:22.660] 其实
[85:23.380] 没有了，觉得您介绍的你们前面谢谢没事，然后咱留电话了你们了，没问题不能。
[85:31.020] 我一定要我不需要谁知话明天我得给你打一个回访电话，一块你要接一下。
[85:37.790] 大家一般上午他们一块沟通，明天不简单直接。
[85:42.690] 没事。
[85:44.950] 上午早点。
[85:46.920] 短信电话都打了，对，不在电话里说一下。
[85:50.690] 行，那就没什么事的话，咱们就是这样，你们你赶紧咱们这歇着。
[85:57.870] 好，您走的时候备忘录第一个二维码
[86:01.680] 等等。
[86:04.230] 别吓着了。
[86:06.030] 所以这一块就会离开，还是看别的地方达到。
[86:09.950] 原告你去看看，看完之后走之前，
[86:12.680] 谁知
[86:13.960] 完了
[86:15.190] 被300。
[86:16.770] 大家放心。
[86:18.520] 在这儿。
[86:22.160] 快点。
[86:24.640] 33。
[86:59.960] 其实没收获一块。
[87:14.920] 能量也可以。
[87:16.240] 到了。
[87:20.640] 找领导这不是阐释了，
[87:23.720] 没用，我说你一定会解决不了问题，就要建立了
[87:27.560] 千条线上去，晚上会给不了，
[87:30.180] 而且现在更改不了了，不需要以前
[87:34.030] 不要再提就行，不就完了。
[87:36.560] 公告你说你不要再介绍公共，你说这话的意思了，给你介绍说我都快了8点完了吗？
[87:44.200] 没事。
[87:45.440] 你回来就想办法给电话，我说只要喝过来我发给我吗？中玩什么工行开发的好好吃饭，我
[87:53.510] 一上来就进行训练。
[87:55.600] 今儿就这么快乐坐着，真的用。
[88:00.860] 我明天查我都是交给你飙车的，不行你不干，
[88:04.970] 不好说了，一小时就能搞定你看。
[88:09.120] 但是有的时候谈到
[88:10.570] 你到就行了。
[88:17.000] 路
[88:20.590] 15年了，
[88:22.210] 谁知
[89:14.990] 你听到帮我开门掀掉。
[89:51.690] 上
[89:52.900] 了。
[90:14.800] 你怎么了呢？
[90:32.480] 你说话了。
[90:34.480] 从一个角度来讲，
[90:40.950] 城管这方面也不愿意
[90:43.070] 要怎么
[90:44.000] 因为即便是因为这个阶段写的单位都要大一点，
[90:49.190] 其实的话我们都是建立一个正常的男人
[90:53.050] 考虑
[90:54.580] 拿出多少任务，我给你拿多少钱。
[90:56.990] 是这样，你这是1万元自己少数的1/3或者1/4，目前没有收到这，但是只有经营自己的，
[91:04.870] 只要他做
[91:07.080] 这样
[91:08.670] 灵活是电影模式。
[91:11.710] 因为东西确实
[91:13.430] 一起
[91:14.330] 他正常研发的一些的话，因为至少的而且事情
[91:17.480] 分析的分界，然后销售他越教越做，
[91:23.240] 你就手里的人
[91:25.230] 不是在全国
[91:27.410] 5000万的财务不见，
[91:35.010] 我们俩
[91:35.960] 不能做。
[91:37.670] 因为它都是这个问题，
[91:39.490] 没有工作的他要有点问题，
[91:42.130] 只有几个
[91:43.320] 个人。
[91:44.270] 这就要说让我们在场的。
[91:47.270] 你美人小贷公司还是那个钱了？
[91:50.130] 不知道他们已经带着公司，
[91:52.030] 应该考察第一个送公司，你以后不要用这种河西，
[91:58.380] 没有我得报备一下，我就10分钟以后我那个客户我就走就到了，您收入来了。
[92:04.930] 可以说。
[92:08.390] 对谁知
[92:10.140] 有权。
[92:11.080] 您平时输入是
[92:12.880] 知道可以给。
[92:14.480] 比如说
[92:16.820] 干嘛的把我干什么事儿，工会公司你自己结合公司，
[92:23.050] 他为什么我能给他进账？
[92:25.590] 这样
[92:26.530] 一个决定，比如说你要进行资结果或者我自己一个淘宝店，你比如举个例子，上班同步就是之前我也
[92:36.170] 之前我上班的，
[92:37.950] 但我们很多东西
[92:40.700] 特别问题，
[92:41.720] 并且
[92:42.740] 这几月份
[92:43.990] 你的工作
[92:45.620] 确保的东西。
[92:46.770] 另外的事情
[92:47.670] 一直在讲，
[92:49.490] 这两个月广告，
[92:50.860] 两个月上这一年期间，
[92:53.510] 你工作如果国家
[93:04.280] 如果并将脑袋
[93:05.770] 没有金融方面也好，没有具体的
[93:09.010] 利润比较
[93:10.560] 所以整个大概
[93:12.360] 产品。
[93:13.700] 她个人资质吗？这种配置。
[93:22.040] 主要工作
[93:24.550] 知道你的
[93:31.390] 不会风险，如果真的是比如我这画画是吧？
[93:35.740] 有你说话我没有什么职业对吧？公司我觉得一年我们的话，你需要我和你的钱，
[93:42.150] 你知道你的完了，其实你只有一种。
[93:45.290] 好，还有就像我们说淘宝业务可能都是微信支付宝这些帐对不对？也没有大的没有
[93:52.390] 都是这种浪费，但是很多
[93:55.110] 第三一种就是你这正常有我们这样的收入和支出，
[93:59.480] 往来的账户国有股东西，
[94:03.550] 都正常的，谁给您
[94:05.280] 收入的？
[94:07.040] 支付的钱
[94:08.050] 事件他不会不严格控制买房子了危险。
[94:13.150] 一般都是半的会议。
[94:16.960] 您能不能
[94:18.640] 也是三。
[94:21.750] 没事，上面强势就是教授好。
[94:25.190] 你们里面
[94:26.640] 在这客气。
[94:27.680] 这东西不。
[94:39.000] 对。
[94:40.860] 还经常如果是自己的指标的话，包括
[94:44.240] 一就是讲两个人
[94:47.810] 做
[95:04.810] 第二
[95:09.530] 我在
[95:41.290] 来。
