[00:00.940] 再次交车，
[84:23.210] 你们聊吧。
[84:27.760] 你看看人家我爱你。
[84:31.440] 对，心动了。
[84:34.090] 了。
[87:27.080] 要不就接着聊。
[87:29.710] 你看
[87:30.790] 10个点你算一下。
[87:32.430] 还是上班？
[87:35.460] 这边身份证
[87:36.660] 不用，谁知
[88:07.230] 怎么整了？
[88:19.760] 阿姨
[88:22.290] 汇报。
[88:24.510] 真的。
[88:38.210] 帮忙了。
[88:39.340] 稍等。
[89:49.800] 您稍坐一下，我找个什么事儿您
[89:52.110] 一下稍后上来说，好，我在
[89:54.330] 看出来那也行行，您看稍等。
[90:15.920] 我没弄那个了就没弄。
[90:20.880] 是我没弄电商了，就没做电商了。
[90:26.980] 对，就没走电商。
[90:29.790] 好。
[90:31.040] 好。
[90:33.760] 好勒好拜拜。
[90:35.640] 年月。
[90:40.120] 连岳。
[90:41.670] 你现在有客户吗？
[90:47.160] 一天。
[90:49.600] 我客户现在讲的无朋友，估计他刚开始无朋友朋友圈，你心里在想什么吧？
[90:55.730] 我是不是应该拿一下子拿正好我也
[90:59.410] 客户在水。
[91:01.470] 什么把这水我给指一下，没有，我得去三楼的。
[91:05.720] 您帮我看看。
[91:07.960] 你跟他说我刚跟他说了，我说让我们同事跟您讲解一下售后。
[91:12.730] 行，我去找爸爸这边有印象吗？这两个对。
[91:18.070] 这个男的穿的西服戴眼镜。
[91:20.900] 好勒。
[91:32.830] 香气了。
[91:35.050] 算了，谢谢。
[91:42.970] 完善
[91:46.190] 赶紧跑吗？是走。
[91:48.920] 我听了还能说啥，这是太少了。
[93:06.680] 你说我怎么老能在这屋发现
[93:08.880] 我
[93:11.170] 主要
[93:12.120] 估计就在这。
[93:13.470] 我还以为你又跑这偷懒了。
[93:15.310] 怎么这么说呢？
[93:17.100] 咱们聊聊，
[93:19.100] 说说你今天卖几个车，25个，
[93:26.760] 没跟上进度。
[93:29.430] 进度是用不上的，
[93:32.500] 能跟上进度都是优秀的。
[93:34.800] 很好，不好意思的。
[93:36.740] 要
[94:06.450] 你看看教授听咱们再或者有可能在交通
[94:11.310] 我那个人抢了，我拿走了，谢谢。
[94:15.600] 是这样。
[94:16.540] 行好勒谢谢。
[96:46.560] 这是100万徐伟的钱，
[96:48.900] 一个是使用和认真是吧？一个是有虚伪。
[96:52.480] 虚伪的，这是我之前这也是劝我的吗？对是昨天说纯用的是签那什么是
[96:59.150] 计划一下你单子给我了。
[97:07.230] 太多了。
[97:10.030] 是吧？分手这是没批的，你看看这是咱们
[97:15.760] 批了你看看。
[97:17.320] 现在整个正常做了，对，就等下周一我这里来谢谢。
[99:12.950] 你没见。
[99:14.470] 3点。
[99:16.290] 我妈看销量没看着谁想刘文全不出去，该上车了没有，因为刚刚开始无朋的
[99:23.390] 刚
[99:24.200] 我把电话发给你。
[99:26.020] 应该打电话了说。
[99:28.880] 操刚才在那。
[99:33.590] 139
[99:37.640] 13910531
[99:40.160] 5305，不是0259。
[99:43.550] 这是男的。
[99:45.960] 姓什么我不知道，我只知道媳妇姓施的。
[99:50.520] 你指望女士打断。
[101:04.550] 你知道吧？
[101:06.430] 老
[101:07.410] 您坐。
[101:10.130] 我们每天的工位都特别紧张。
[101:12.540] 这是好事。
[101:14.400] 现在这个疫情确实是前段时间可能稍稍的有一点点影响，对
[101:20.210] 了我我去怎么样，行你去吧。
[101:23.530] 然后一会直接用钱，你把你手机给我们，有钱不是我去弄密码就行了，朝那你先拿去吧。
[101:30.800] 我去弄临牌去了，然后您稍等，现在办后边手机你快点。
[102:08.390] 好了，我查一下这
[102:10.280] 我这边刚才10分钟之前查了一下还没到。
[102:13.290] 现在再查一下。
[104:35.320] 含头白马
[105:22.840] 谁也好，
[105:24.480] 队长
[106:19.520] 这衣服能用。
[106:20.640] 晚上拿啥？
[106:48.310] 对拿到身份证。
[106:50.290] 去到那办就行，在里边给咱们带大。
[106:55.330] 留在这边。
[108:33.680] 联系方式发给我，他就抓住三周四都可以。
[108:36.880] 没啥的。
[108:37.980] 后面应该
[108:39.810] 有两个。
[108:45.850] 可以了。
[109:12.400] 出生
[109:13.180] 同时
[109:14.750] 形成事实进行。
[109:53.360] 这边周一我给他发微信上这边周一看看回去的话就下来了。
[109:58.830] 就在那。
[110:01.810] 就上了。
[110:18.870] 对，办出来。
[110:20.070] 那就没有了，对。
[110:24.170] 到时候看来紧张。
[110:26.090] 导演。
[110:27.760] 谢谢您没事。
[110:37.960] 一下。
[110:48.470] 你身份证没带。
[110:51.650] 喂拜年了，
[110:55.380] 外地的，然后我QQ自己过去了，让他自己干啥我干啥，睡觉前就到了，行。
[111:00.970] 好好勒，谢谢来。
[111:57.490] 0009。
[112:03.750] 我说
[112:05.770] 后来
[112:06.570] 出来了，后来出来
[112:26.720] 我不消失，
[112:27.810] 我想休息，我想什么想法
[112:39.100] 了。
[112:57.000] 想不想什么东西？
[112:59.680] 谁知
[113:03.790] 这些都在里边案件之后，
[113:08.350] 这交钱了吗？
[113:09.760] 朝阳这边牵头。
[113:20.800] 好，谢谢。
[113:27.870] 我走出来了。
[113:31.780] 没有说
[113:33.160] 你接走没有做朋友，
[113:36.690] 这个情况
[113:38.870] 了。
[113:45.690] 在家等等笑了，
[113:48.760] 这怎么办？我爸脸上
[113:51.750] 不想。
[113:52.950] 我没看那张赶紧看看特别漂亮。
[113:55.960] 我看拿错了，感觉真是没细看有点猛地，一看那发型。
[114:02.190] 对了。
[114:06.430] 那个叫秋
[114:09.160] 时间。
[114:10.700] 好吧，对没有我等会的。
[114:15.130] 俩都是心态调整。
[114:16.700] 一个是5万，
[114:19.280] 这个时候
[114:21.390] 在欣赏，
[114:33.640] 还没看到。
[114:34.880] 对北京。
[114:55.200] 在这边这一块吗？
[114:56.400] 不是回来北京了，对。
[114:59.680] 一段都是的吗？都的。
[115:02.120] 首先
[116:22.960] 81780看了有吗？
[116:25.820] 10 10 10817800时
[116:30.410] 公布支持
[116:31.530] 是什么？
[116:34.150] 支持实时青岛什么态度不是
[116:45.840] 什么谁知
[117:13.870] 他最后
[117:23.660] 百。
[117:25.020] 谁知。
[117:27.400] 6月份6号。
[117:28.830] 谁知
[117:33.210] 快。
[117:48.150] 模型吗？
[117:55.760] 吗？
[117:57.190] 的。
[117:59.470] 没人理你，好了好好拜拜，下午1:30。
[118:06.200] 同时
[118:07.150] 做完之后，
[118:08.440] 你们找不到快乐。
[118:12.190] 也就是说
[118:18.160] 如果咱们
[118:19.050] 行的话，这个机会
[118:31.680] 的
[118:37.710] 数据
[118:39.560] 数据
[118:41.530] 的
[118:44.820] 坏
[118:45.680] 号
[118:49.410] 的。
[118:51.150] 花。
[119:00.400] 给。
[119:07.420] 马上给，下次
[119:13.630] 今天
[119:16.600] 数据
[119:21.690] 坏数据
[119:25.310] 数据
[119:33.730] 五
[119:47.840] 到底这是
[119:49.160] 你坐哪边？我住施工是水饺。
[119:54.840] 没讲没事，时的上学今天这一块10，然后。
[120:00.530] 是那个东西后面卖糕点的味道，谁知
[120:08.630] 谁知时候。
[120:15.000] 事实上8月16上，这个月到8月份，
[120:21.390] 9月松柏上。
[120:24.690] 8月份到8月月2号所有的过往10月一般
[120:32.670] 然后属实。
[120:42.410] 这都是
[120:46.930] 谁知
[120:51.910] 要搞点钱还是为了钱，然后加上这些设备一共是多少钱，才36%。
[120:59.230] 你刚刚病逝我都不清楚了，行行我明白意思了，你这样说以后要注意以后我给你写个单子，你把
[121:06.310] 没有
[121:09.220] 的。
[121:11.520] 现在我们
[121:13.720] 我们这里面装的
[121:15.460] 年的时候，
[121:17.420] 刚刚分开了，都发不了给了是吧？
[121:22.580] 我每次都主动。
[121:25.460] 因为干活的。
[121:28.020] 差不多。
[121:30.250] 谁知一的。
[121:33.330] OK
[121:33.940] 了好吧？
[121:35.660] 领导说因为他
[121:38.160] 他
[121:39.620] 坐飞机的置换，如果装备的话，
[121:43.160] 我都
[121:45.120] 越来越好。
[121:54.310] 我感觉到这里没小屋略是干嘛的。
[121:56.840] 真的不知道，我估计以后应该会分成建设的友。
[122:00.520] 小屋内跟男女在氧化什么的过日子。
[122:05.520] 对，过日子时候我不知道号码是不是集团的什么花，你看那种花样正常的
[122:12.890] 什么集团的什么关系，还不是除了二好像是办公室还是什么。
[122:18.550] 我去办公室。
[122:20.040] 小时办公室。
[122:23.270] 那条就很好奇，我说这两个女的干嘛的呢？
[122:26.320] 被动还有吗？客户端对经济过日子似的那种感觉，不想在这办公室
[122:38.820] 不行了。
[122:40.250] 想想北京
[122:43.300] 放过重要的人，我知道中州医疗办理好好，
[122:48.800] 今天又给浪费三天的时间，
[122:50.880] 还上着班饭一半，第二次你知道他这特殊情况，
[122:55.210] 他这个是办节目离婚，10月份开始行了，谢谢拜拜。
[123:21.440] 我是不是了？
[123:37.680] 在上周要快乐。
[123:52.670] 受挣钱告诉
[123:54.060] 少，
[123:56.230] 抱着爸爸不行，公道长的。
[124:23.120] 玩弄着车顶，哥找你，您稍等一下。
[124:40.430] 数据。
[124:42.470] 数据
[124:49.760] C
[124:51.380] 那个车在大小，
[124:53.560] 然后用药做工配置包括价格也好，要高可以是高，吃饭对很小的大。
[125:06.240] 我觉得。
[125:07.630] 退出的时间是有限的，对，后来的话
[125:17.350] 反而
[125:24.900] 的
[125:27.030] 的
[125:31.490] 数据
[125:37.200] 的
[126:01.840] 的
[126:05.430] 就忘了。
[126:17.840] 想您可能受不了。
[126:20.580] 尽量太强烈了。
[126:24.440] 上来没准车
[126:28.540] 你二级报完了，
[126:30.580] 你打钱打给我打过来还打错了，
[126:35.180] 金额错了没有，别人错了。
[126:37.570] 对了。
[126:39.150] 又要打。
[126:40.840] 二。
[126:42.180] 好。
[126:49.600] 比较疼。
[126:57.870] 你们现在大
[126:59.080] 我好长时间没办完。
[127:02.670] 我喝口水，
[127:07.190] 后来
[127:09.020] 看看你们的
[127:11.620] 加上一天没吃饭，
[127:18.190] 我这边都弄完了。
[127:26.870] 开导的三道，你在哪把单子给你。
[127:31.640] 上。
[127:35.400] 我在客户家里代步车就行。好好。
[127:39.070] 我要拍一个双手套，行有商量套，对用条码上没事。
[127:45.350] 敬礼，古装的一会又了，对你争取是看能不能迁走了，然后女士比较着急，
[127:54.230] 按上完课。
[127:55.900] 你发票有复印件吗？复印件能拍照估计可能。
[128:00.200] 你说什么？对，我拍一个操心表，还有一个
[128:03.700] 1000包奶。
[128:06.150] 不但他看过，如果刚才有那个东西，就是说两天我自己理解，
[128:11.800] 然后再办理观念，他就能拿到，可能农户
[128:15.850] 说
[128:16.850] 明天
[128:21.360] 等您用完之后差不多远还回来，也一定会。
[128:25.710] 我看看没有我走到一块。
[128:28.320] OK。
[128:31.580] 来咱们到这边，你有那钥匙吗？我想回来行，您去然后这边等于是1400小时，说1493，然后会有分散的危险。
[128:41.710] 可以领了。
[128:42.920] 那个钱交了吗？没有，我现在去郊游就是
[128:46.300] 需要商场了。
[128:48.610] 这个就是说从投保之后15天之后生效了，然后
[128:54.590] 如果车您走保险需要修车，刚才为啥不交？因为您当时没出完保险，除了保险之后，
[129:01.830] 它分开了，要不然就一块省事了。
[129:05.630] 系统过不去。
[129:08.230] 第二，
[129:13.030] 待一个人，
[129:17.090] 这种。
[129:18.350] 然后以后您定损就都在定位做定损，
[129:21.900] 他的就走保险的时候就在这做定损的。
[129:34.640] 的。
[129:35.260] 这微信什么都行。
[129:37.810] 微信支付宝转账手续。
[129:40.950] 数据。
[129:43.150] 二
[129:46.360] 的。
[129:47.320] 的。
[129:48.710] 的。
[129:53.210] 你给他放点等贿赂这一
[130:00.350] 不知道哪家保险负担车险完了。
[130:07.440] 涨的话。
[130:09.370] 要下来查。
[130:13.170] 差不多是什么不会让我在。
[130:15.010] 之前做电子的。
[130:17.160] 我们说一下。
[130:19.150] 保施凤玲吗？对好。
[130:22.770] 这个应该要做这让。
[130:25.560] 上了。
[130:26.570] 不知道。
[130:28.280] 你们相互交流没事儿。
[130:30.520] 有人了。
[130:32.780] 路上。
[130:34.100] 说那边照东西了。
[130:36.300] 刚才打了我们看到了，每天还有我说今天的事，
[130:42.150] 还有点
[130:43.110] 第一次听说这个时候我这度假这样的报道，
[130:51.850] 我觉得特别感兴趣。
[130:58.610] 但是这两个可以讲的，
[131:10.110] 不用还差一个拖车费全都没给全给装了填了。
[131:20.410] 他在车里边给他讲，刚才他们俩打电话，他们都说有人给，
[131:24.080] 谁知钱对方不给授权的话，咱们是给他报不了的，为什么找全盖章？他可能存在你
[131:34.220] 今天撞上了，我觉得也没什么总算出头，我可能吗当天他来的时候我跟他说了的，
[131:42.510] 下午你看别的项目开放，孩子学校那边该做准备，
[131:48.030] 不算还有多少钱，吃饭一天半天。
[131:50.300] 昨天上午一刚才给你修了，那天去成都了说明书是吧？还得有他在车里边
[131:57.910] 主要看有什么事，他说援交好理解是吧？
[132:03.780] 这边说到一块坐下，然后
[132:12.280] 装记录仪12月100多块钱，一般讲耽误已经把这个产品
[132:21.220] 然后再说如果再不行了，现在到时候排上了，后面的像明年的增长，
[132:30.650] 想要的要留着银行，
[132:35.900] 什么咱是在这儿，无论您是这里面，现在好谢谢。
[132:41.310] 我们马上就要聊聊我这块，我快点出了，到了咱再聊的时候看一下你摸一下。
[132:51.080] 那个人手机就算了，如果不是自然出险的话就可以怎么交钱？我支付宝了行吗？可以。
[132:59.640] 稍等一下。
[133:00.860] 我
[133:03.280] 不知道如果我要是出险的话，他说那种什么能调的时候过了存在的，
[133:10.170] 你们想要哪个长出来之后，对他给的东西这次刚才讲的。
[133:16.010] 这肯定下次到时候我会给您发一个。
[133:20.520] 您这样上班说一下。
[133:24.000] 你还有人提到家人如果能受到你的哪天，你才能变成这两个一定要，因为不是我一个人的事儿，人家都可以帮助我
[133:36.220] 的，然后不能的话谁知
[133:42.890] 谁知
[133:47.340] 您要是想的不用在上面要，不要的他的。
[133:54.770] 那边还对，那就是高他对越野对他比较大的，上海都是
[134:04.630] 都双倍。
[134:10.110] 而且他这登子你还蹬不住，我觉得没有那么宽的，
[134:15.650] 因为太宽了，车里边影响了他太多了，谁知
[134:21.850] 你要走保险修一下，还有牛就先把这个掉了，主要是触手人家稍不舒服。
[134:29.940] 你走
[134:31.650] 没走过来。
[134:32.910] 那就不要讨论好了，要找到你这个是在什么环节，
[134:40.130] 是我的家人还是要三五回去之后咱们一块去，还有3月份拿单子了，现在有点忙，客户在旁边分配还是上那去，谁知不给我我明白了，所以我刚才问了我明白，要修完了以后才能赔付这个财富收入。
[135:06.550] 哪天？
[135:21.970] 的
[136:16.520] 谁知
[136:22.430] 发票
[136:23.240] 看过吗？在。
[136:46.720] 中医讲的他家里有书馆，看看我新车。
[136:51.030] 疏风
[136:53.000] 东的深色现在更好。
[136:56.720] 对，就是300单模中控玩的
[137:00.450] 都在三版动感，他现车现在是一个深灰和黑的，都是棕内饰。
[137:09.880] 白的应该是吧，不能把差不多回来的，因为8月份会把这部分长的
[137:16.790] 这些
[137:23.590] 了。
[137:25.880] 因为这个孩子都还是。
[137:27.950] 这属于小的。
[137:32.550] 现在哪些我得拿实在的
[137:36.150] 评估点，
[137:37.000] 然后规范咱们再
[137:39.720] 谁知。
[137:45.880] 你说等一会儿我们银行了，
[137:48.420] 等到多少呢？
[137:56.790] 就这几个里面主要服务的分析就深入一些体系，然后咱们再约转变。
[138:01.830] 时间之后找不到。
[138:04.550] 因为通过
[138:05.880] 等我来说，
[138:07.100] 节点的就是在交易文件，不是机构方获奖，等到过来把
[138:20.190] 开始咱们脾气的再放回去。
[138:25.910] 对，也一两天时间。
[138:27.260] 我这边薪酬收入可能要做
[138:35.650] 跟香蕉里面
[138:37.270] 咱们在运动中首先投入一块，
[138:45.700] 冲动的咱们给您算一下。
[139:19.270] 的
[139:24.830] 数据。
[139:25.880] 的。
[139:31.020] 好。
[139:32.260] 商量，
[139:34.320] 我们这都拿过去他屋里
[139:37.680] 抽空。
[139:39.260] 因为确实
[139:41.380] 因为稍微这晚半个小时，可能别的手续这可能一下得晚40分钟，还是预防扣一环的，
[139:47.560] 这办完了就踏实了。
[139:51.270] 到现在觉得
[139:52.520] 吗？对咱俩
[139:54.910] 下周周六日也不咋天天是。
[139:59.280] 这没有这么甜。
[140:01.410] 对，就连头赚了有点。
[140:03.760] 下班过来还能正点下班。
[140:06.060] 不下班更晚了，看反正
[140:08.660] 7点
[140:10.230] 1点多这算。
[140:13.510] 反正
[140:15.380] 回去了。
[140:17.210] 要
[140:21.940] 这不是第二晚上都不行了，有。
[140:26.480] 完全不。
[140:28.400] 没有他说开着车
[140:34.040] 特别好。
[140:38.970] 等一下先生看。
[140:50.910] 一
[140:51.910] 一会上车间一块弄的得开过去，对，待会因为车间就在对面。
[140:57.200] 对面。
[140:58.470] 0
[141:00.310] 265号。
[141:02.160] 身份证要做给他，然后临牌友我也办好了吗？
[141:07.630] 直接gg有个穿
[141:10.050] 临牌他都是有有效期的，
[141:13.290] 反正到8月1号到期了。
[141:16.280] 然后后来回家去。
[141:17.760] 这是上哪去？
[141:18.930] 如果说您一张两张
[141:23.130] 一前一后，如果说为了省事，您可以在网上做申请，然后会寄到您家里去。
[141:29.070] 如果说您自己在网上操作比较麻烦的，也可以上我这，等您带身份证原件过来，
[141:34.620] 当天才能给，对，所以说您要是方便的，
[141:39.240] 您在
[141:42.630] 在网上申请，他会寄到您家里去，可以说您看看怎么方便，要有时间能过来可能。
[141:48.070] 不您等快到期了再申请。
[141:50.890] 假如说81号到期，您可以盯着20。
[141:54.080] 还不能验车吗？对验不了的，估计得到下月中旬左右差不多。
[141:59.360] 也没多远。
[142:00.640] 对但是您得带着身份证，别忘了什么的，到时咱们再提前商量一下。
[142:05.850] 而且01又交了一个ID发的照片，
[142:29.410] 对今天装这一块也得装。
[142:34.910] 这不行，怎么样，可能客户要求也不太了解太多。
[142:41.770] 谁知
[142:51.360] 的。
[142:52.360] 然后包养一年谁知
[142:58.070] 的
[143:02.220] 是我刚才想来着，
[143:08.230] 数据
[143:09.980] 二
[143:12.920] 花
[143:13.980] 二
[143:17.600] 场。
[143:20.200] 场
[143:21.200] 下一个目标。
[143:31.030] 7月14号这天怎么样？
[143:37.600] 4号不是今天前两天
[143:41.720] 发票
[143:47.270] 号
[143:50.810] 基本上
[143:55.990] 三
[143:57.350] 市场。
[144:05.920] 2020年3月
[144:09.290] 数据
[144:11.880] 数据、
[144:18.570] 场
[144:21.850] 场、
[144:24.720] 场、
[144:29.810] 场、
[144:33.660] 一
[144:36.560] 花。
[144:50.120] 以前路过。
[144:58.510] 坏
[145:02.270] 了
[145:07.850] 三
[145:09.310] 123456没事，谁知
[145:19.490] 这个看
[145:28.030] 当然要交的东西。
[145:31.030] 招生
[145:33.310] 在这底座分手了。
[145:37.120] 完了又让他走了。
[145:41.800] 你说你把一号拿来，那个东西是你过去看一下。
[145:47.680] 为了你我以为信号又不行，天麻你好。
[145:53.270] 讲说是刘永祥也一样，
[145:59.230] 我一会不要，目前我能跟他说不行了，可以把车开到车间去，然后那边谁知
[146:06.270] 这样省得耽误时间，慢慢看三没事，一会电话留好了，后期如果说哪块单独了解的话，直接一个咱电话过来就OK了。
[146:15.810] 微信给你发照片，谁知
[146:23.250] 一会也会给您带标的奔驰。
[146:28.360] 主要是他比较好用，双层还不敢，你要是没用绝对赢不了。
[146:33.200] 这是比较好的。
[146:35.210] 而且他确实让他带了一个完整的
[146:40.630] 没有。
[146:45.320] 都在你这控制。
[146:46.930] 豁达，然后
[146:48.780] 觉得这车就完了，您要结果之后，要是说可能一分钟员工没这个概念的话，咱不用说话了，一会我们同事给您时间开始开通，咱们一会告诉你怎么登录就是没事，
[147:00.750] 咱就不用动了，
[147:02.450] 退出就可以了，然后在桌面的话，您看在
[147:05.780] 这个就是我刚才跟您提到的，通过能看到车辆的基础状态，这个案子通常用石头可以点，然后这块还有现在能用了
[147:16.680] 品种又少了，但是说实话这就好了以后，咱们真的安卓手机咱们都得他用不了，
[147:25.770] 别让以后苹果都变成百分数，
[147:31.350] 所以我这全面的了
[147:36.110] 谁知退了之后，然后就不能读书，我买了孩子也不能出去，还快把孩子给送回来了。
[147:45.160] 原因数据分析的大概多少，手术出多少，
[147:50.950] 谁知
[147:52.710] 什么时候集体化什么的，好，现在把这些喝药的我还要吗？
[147:59.070] 你得先比如说给他角色打电话，然后你了解也去了。
[148:03.570] 做账。
[148:05.960] 好，做到这儿了。
[148:07.810] 这里用了很多问题了。
[148:09.730] 看看吗？
[148:10.590] 3000的都行，其实正常业务都给他讲完之后好像在上面。
[148:17.180] 你给他讲我在这签字。
[148:20.030] 谁知
[148:22.880] 了麻烦着。
[148:24.530] 这样。
[148:27.050] 如果你了解就是说首先好几十万也行，要是说20分钟办完了，也可能我们也没了
[148:34.790] 了。
[148:40.960] 诉求有问题。
[148:42.120] 我刚才跟小伙说了，就是这样就说
[148:46.940] 不会划伤绘画的这段，
[148:51.330] 也就是说就不放手挺不开发票，就半岛这个平台
[148:56.280] 我要去的。
[148:58.770] 你坐车坐到这里。
[149:05.830] 要
[149:14.770] 到
[149:16.300] 坏
[149:18.010] 来
[149:23.170] 数据。
[149:33.790] 场。
[149:42.440] 三
[149:46.320] 场。
[149:51.280] 产品这两
[149:55.660] 假如说两块，现在想说那一块签字了。
[149:59.580] 7月17号据说他们今天召开的工程。
[150:47.960] 年年检了
[150:55.040] 合并
[151:49.570] 的。
[151:52.290] 后来来了。
[152:19.600] 马
[152:24.590] 的
[152:29.090] 在外边买6000 7000，
[152:34.330] 接费劲。
[152:36.090] 马上贴一会怎么贴两天。
[152:39.070] 我这歇两天。
[152:41.240] 两这两天
[152:49.680] 一天贴不完，
[153:29.400] 也希望我们
[153:30.480] 不在乎。
[154:34.680] 先看车是吧？
[154:35.680] 他说这听安排销售咱俩别进去，对了，这些这边我车不在这吗？让您因为这天关着绕过来的是我买了照得从二楼上。
[154:45.730] 二楼
[154:52.410] 人民币只有
[156:05.990] 明天。
[156:23.200] 然后他现在打着上班押金，我相信小强
[156:28.220] 在写单子上，
[157:10.010] 他这也是电汇的，有一个1万
[157:12.490] 是一个人的。
[157:14.680] 这会完了。
[157:17.470] 弄坏了。
[157:21.240] 汇款人叫做
[157:24.310] 崔海娟。
[157:26.200] 晚
[157:27.470] 谁知
[157:29.640] 张过来。
[157:31.840] 然后这时候就等于垫付。
[157:34.120] 是吧？
[157:35.410] 我得欠垫付。
[163:03.120] 你看到了。
[163:07.930] 完了。
[163:18.120] 后面的一半还没查。
[163:21.790] 我就发群里。
[163:23.530] 妈。
[163:24.430] 也是青岛的会吗？
[163:25.600] 妈不知道是一个人。
[163:27.410] 叫什么？
[163:28.620] 海军一半，等还会您家的。
[163:38.440] 还人家没推。
[163:41.130] 这怎么推到小条？
[163:48.030] 这小平我是创其他的双反吗？
[164:06.480] 人
[164:07.620] 期货、
[164:09.690] 一半。
[164:10.800] 发群里有。
[164:40.180] 高点没有。
[164:41.530] 无田OK。
[164:43.200] 还有一个。
[165:29.400] 的。
[165:31.570] 要
[165:39.640] 了
[165:44.960] 这还要吗结果？
[165:46.920] 1万就是1万。
[165:48.660] 退款单要汇款单。
[165:52.130] 给我。
[165:53.720] 我也怕。
[165:54.930] 快
[166:06.230] 为啥？
[166:09.520] 你们整个生意这么好呢？
[166:11.910] 怎么了这张票了？
[166:14.800] 1617的。
[166:18.680] 在开吗？开着。
[166:21.400] 没开。
[166:24.320] 这块也差不多。
[166:27.500] 开了来。
[166:31.640] 不吃了什么？吃了。
[167:56.530] 然后您讲
[167:57.820] 刚才。
[167:58.510] 我说了。
[167:59.310] 定价评估
[168:02.830] 100,005
[168:06.150] 05。
[168:08.990] 对，105,000现在是。
[168:12.310] 然后有一个1万多的补贴，还有1万补贴相当于117,000差不多就加上补贴的话，
[168:28.680] 对你没说实话那。
[168:33.940] 您不跟我打电话吗？
[168:37.640] 对好。
[168:39.480] 了
[168:42.140] 当然不够了，最近看过来老板准备。
[168:47.750] 点儿，然后
[168:51.350] 晚上。
[168:53.670] 那天。
[168:56.560] 会想一下那一晚上没睡1万元到账，大家千万。
[169:03.040] 行行，大概
[169:05.770] 稍微那个点给。
[169:08.760] 行，咱随时联系。
[169:13.080] 行，待会不放心，价钱不是问题，靠近小车行等等给您争取了放假。
[169:18.110] 行好勒好拜拜。
[169:25.450] 电量吗？
[169:27.840] 逼的我看出来。
[169:32.330] 我老弟了。
[169:36.830] 进来。
[170:10.200] 81 78年的红色的吧。
[171:02.510] 我给你搁着你的小棒。
[171:04.280] 想到了。
[171:09.150] 你让给
[171:10.180] 水口镇然后
[171:42.360] 两个。
[171:45.200] 两了。
[174:55.640] 你B
[174:56.460] 别的完了记住了，
[174:58.480] 没有收入。
[180:15.040] Sb做了
[180:16.190] 没走上。
[181:49.190] 对。
[181:56.400] 开票
[182:01.660] 我在开票没在一层。
[182:20.080] 我给弄完了。
[182:21.890] 这边。
[182:22.720] 一边os皮肉上最man的P一下。
[182:27.460] 还说P
[182:44.510] 青岛泰街服饰
[182:49.360] 91370202. 
[182:51.540] 80课时给苹果
[182:55.350] 朋友水了。
[182:56.610] 昨天。
[182:58.040] 应该是了。
[182:59.360] 没有你这那什么的，我这圈完了那什么你不得是不是得点一下我才去那边才能够。
[183:04.800] 才能申请开票。
[183:06.940] 刚好
[183:08.730] 刚才还说啥好或者地方8月底。
[183:11.850] 那个地方号。
[184:40.040] 对，是那啥石墨灰是这个吗？
[184:46.820] 完了聊。
[184:54.920] 什么
[185:22.440] 颜色？
[186:49.040] 他这手工了，然后。
[186:51.640] 我再想想我是信用卡刷出去了，同意吗？
[186:56.040] 谁发明收购股权？
[186:59.470] 没事说。
[187:02.520] 他那个视频不了是不是就给。
[187:04.710] 写欠条他们拿去盖章去。
[187:10.720] 你先说说你给我写欠条。
[187:21.190] 一会在又写里面的。
[187:25.110] 没事。
[187:32.040] 场。
[187:53.280] 以前吃饭的人了。
[187:56.640] 您问问他。
[187:58.670] 你看对待签没什么刚把兴趣的。
[188:11.010] 这都是我的。
[188:13.880] 我说可以补缴。
[188:15.800] 对。
[188:16.850] 我就是这么一个。
[188:19.270] 等一下我可能要乱了。
[188:24.750] 这么乱。
[188:25.780] 你得问你自己。
[188:28.100] 对吗？
[188:29.010] 知道。
[188:31.160] 我的。
[188:32.370] 太冷了，你要给谁？
[188:51.070] 宝马都是泊车的，手机是按键。
[188:54.070] 不知道。
[188:55.200] 我没有的，我都没有哈哈。
[188:59.160] 我操没配。
[189:02.820] 好像。
[189:03.990] 你问杨娇，
[189:07.670] 你说过一下。
