[00:02.760] 2020年7月28号韩春晓客户李莉教授录音，
[32:49.280] 对，可以接一个外接小小冰柜那样子这块能接吗？不能。
[32:55.160] 不能你说那是那种圆头是吗？点燃器那口。
[32:58.920] 没有了，现在新车都取消。
[33:01.450] 取消了是吧？
[33:02.900] 现在新款的都是这种ppc。
[33:05.090] 口一般释放什么样？
[33:07.920] 户口本。
[33:09.270] 这么深，对都。
[33:11.230] 放小件了，您够不着什么东西，随车的一些
[33:14.180] 用的东西行车本，然后加班。
[33:16.150] 之类的，就哥哥这些
[33:20.600] OK。
[33:21.640] 这有一个口是吧？
[33:24.730] 这个一样的都是pps。
[33:29.350] 他还有一个就是什么智能。
[33:32.780] 一互联手机客户端。
[33:34.940] 反正应该是有一个叫什么，因为我记得当时我们
[33:40.250] 也下降了。
[33:41.580] 没事您看一下。
[33:43.710] 看看当时
[33:45.960] 里面有一个叫什么？
[33:51.470] 这车没了解，前期听销售说买。
[33:54.560] 的这车是吗？
[33:56.530] 因为有一些功能，对，他就说手机可以直接导航。
[34:01.310] 互联的一个是在哪？你先等等我给你看一下你的设置有没有这个功能，我才能告诉你戴不戴。
[34:09.990] 他应该是带的。
[34:11.930] 新款的应该是都带的，有这个不是可不是你想的吗？OK带无限期。
[34:19.010] 有的低配它不是无限期的，他也激活不了，就是不带你安卓的系统。
[34:26.610] 就这样叫咖啡。
[34:29.270] 对，康复类是苹果的。
[34:30.830] 依法你回去你下这个软件叫百度刊life，
[34:34.070] 前提都是一样，必须先对接才可以趿。
[34:37.900] 实现的功能就是把你的手机屏幕投到大屏幕上，
[34:41.450] 但是安卓的系统据说没有苹果的好，因为给苹果吃的比较多，安卓可能QQ
[34:48.330] 他苹果比较黑，能用的就是电话短信，
[34:52.680] 音乐播放器。
[34:53.710] 阁道，
[34:54.860] 基本上想那也行，我就放一个比如说补偿费，手机苹果的淘汰下来的手机做导航。
[35:03.880] 那可以对是吧？
[35:06.630] 特简单，我告诉您回去练一下怎么练，首先你买etc的转换头，
[35:10.830] 苹果的数据线里有，
[35:12.940] 然后
[35:14.080] 怎么用苹果的手机设置里它是自带功能的叫通用，
[35:19.280] 打开play车载到这一步，
[35:22.060] 转换头插上数据线直接插好，这个屏幕自动就提示。
[35:25.710] 手动I。
[35:27.260] 手动和自动连接选择自动
[35:29.760] 典型的确认。
[35:30.920] 下面一个选项就是接受点一下接受，前提是您的手机还要开启，
[35:36.690] siriC2功能要开启，
[35:39.620] 他把屏幕手机屏幕就直接投过去了，它会显示的是这个
[35:43.790] 是这些状态。
[35:46.340] 能用的就是电话短信与播放器，然后。
[35:49.830] 导航，因为我觉得你们家导航可能看着不是不太。
[35:53.520] 那就用您找一个旧的苹果就行了，然后你打开高德，
[35:57.460] 这就显示高度的力度完全内容一致，直接在手机上岛，内容是完全一样的。
[36:02.920] 没事，我待会给您留个电话，如果回去
[36:05.570] 搞不定你给我打电话就。
[36:07.100] 了，好OK，谢谢，我就想一个。
[36:10.880] 看看行不行，我还说说半天。
[36:13.220] 没理解您意思行。
[36:16.760] 来赛车数10万了，
[36:25.760] 笑声200。
[36:27.460] 首先那车不能放在检测，
[36:29.630] 记住了一定是4门开锁的前提下，行车证上喊，
[36:34.280] 拧开95号油锁车了。
[36:38.920] 走了
[36:40.310] 4门锁好的前提下，按所指一定会有声音转成控制量增价。
[36:45.460] 你这车门如果有一个门需着你所持这种情况，你锁车没声咋弄，不要那您再去别让他怎么说。
[36:54.650] 这里。
[36:55.630] 第二个
[36:59.720] 王拥军
[37:00.480] 看一下上面标明现在是完全关闭的状态，你要是夏天这车停在地里特别热，
[37:06.950] 常用开走，首先上面张脸。
[37:09.040] 打开。
[37:10.560] 看到吗？
[37:12.350] 停开机以后，咱们第二现在强开锁键，
[37:16.460] 天窗玻璃会同时开，
[37:20.890] 可以先冲锋，你在上车放，光玻璃天窗了，长按锁车N著，
[37:27.240] 大车自动复原回来，就不能上床在充电。
[37:30.250] 我觉得他像平时因为汽车可能会有点味儿，我就想着停这儿，我肯定窗户出去，但是我可能把
[37:38.750] 那个叫什么天窗开着。
[37:41.500] 你只能手动在车内调整，因为设置。
[37:44.690] 是同时的，
[37:46.010] 要开出台要关注关，所以你就在车内下车之前，玻璃做好了，今天上一串一块的车辆，
[37:52.830] 比如说我想把玻璃和天窗全开的时候所称这种不行是吗？可以。
[38:00.780] 可以不？
[38:02.200] 这意思吗？
[38:04.880] 他就那么多，你把车子
[38:07.140] 可以快救。
[38:08.160] 这个状态行明白您意思。
[38:12.770] 后备箱因为是电尾，所以长期下面连接它是直立开会没消息。
[38:20.400] 车的话，首先
[38:24.140] 下面就是一个拖车钩，三脚架。
[38:27.230] 在这上面看到吗？
[38:30.520] 这里最的
[38:31.800] 东西就是保养一直在这份保险信息，
[38:35.600] 这是一个荧光救生衣，类似交警的好，黄魏新。
[38:38.460] 有事故，晚上起到警示作用。
[38:41.060] 车的说明书，最后的这本
[38:44.240] 里边除此之外还有一个秘书林介绍保修，
[38:49.840] 这个口怜用什么话？
[38:52.080] 可以。
[38:53.070] 不用的话。
[38:54.340] 对，用的比较。
[38:55.530] 少
[38:57.280] 平坦。
[38:58.900] 座椅吗？来中间看。
[39:10.000] 那个是这样。
[39:10.870] 头枕收一定把这个卡号先推进去，他可能收下来。
[39:16.530] 这个是左边的脸了。
[39:18.580] 盘还是一个拉杆提一下是右边独立一个座椅，这是一个46折叠，
[39:22.940] 起来的话必须是手动，
[39:26.120] 不是说
[39:30.380] 吹跑了。
[39:32.310] 往后躺下。
[39:33.350] 不可能谁知。
[39:38.290] 只能是这样，行他没法往后放平，这是反角是不可能的。
[39:43.260] 所以说他没有往后看还有钱吗？
[39:46.070] 因为这车当时不是设置有7座的模型，所以他说那个是可以考亭。
[39:52.490] 只能是这样考评，对他不能往后躺的。
[39:56.380] 我还以为3。
[39:58.580] 安排的七坐在这儿也是往前。
[40:00.920] 躺也都是往前，不能往后。
[40:04.330] 是。
[40:05.950] 他没说清楚，还是您理解错了，不能可能往前的都是往事，不可能往后的都是往前。
[40:13.430] 这个错不了了。
[40:14.610] 对。
[40:16.890] 的
[40:17.650] 这个。
[40:21.060] 项目还是方向可以躺了。
[40:24.440] 怎么不可能？
[40:26.560] 三台的车第三排也都是往前放。
[40:29.840] 它不能往后前两台在作家吗和
[40:37.440] 双方首先可以
[40:40.220] 你这个车只有你。
[40:43.090] 这个片子没有，误工汽车都没有。
[40:45.620] 你要是再高配的话，相关的严重仲裁庭。
[40:50.610] 下来一个。
[40:52.100] 没有这样过。
[40:53.820] 有些车友那么的中间
[40:58.340] 我们这车应该是对款的报告。
[41:01.530] 我不知道他买了两块，因为
[41:04.840] 选择话我这是他的，不是所有的都是一样的。
[41:11.560] 我刚才跟您说科普劣势的，有的车它也是200，但是它里面就不再配置，
[41:17.070] 就看设置里面有没有。
[41:19.550] 刚才咱们看的是无限期，有的是需要激活，但是激活是接受不了，本身车就不带，他只是系统里设置了，
[41:27.660] 但没有这功能用不了了。
[41:29.560] 对，我知道是老款鞋，她跟我说应该新款行里面应该大部分。
[41:35.760] 没有，这要是有的话都在凝视上，它就能看到这里加热一定会在这儿。
[41:41.840] 加热要是装一个的话多少钱？
[41:46.350] 不建议您装电路改造这东西，设计电路都影响车质保的。
[41:52.960] 店里也装不了加热。
[41:56.310] 那个东西。
[41:57.560] 用不用。
[41:58.630] 不是用处不大，它是
[42:00.320] 如果说有的话他出场是选中这样，就是说人您这合格证就带你。
[42:06.460] 就是说比如这车门，假设旧车卖30。
[42:09.630] 现在基础配置。
[42:11.200] 如果说您选择了做一个假设，可能多几千块钱厂家出厂奔驰厂家就给您装好了，那行。
[42:18.560] 你要是现在装一个肯定涉及电路去改造它。
[42:21.930] 他按这个东西我建议你又不。
[42:24.060] 对，因为
[42:25.380] 包括您变动的它涉及制版，
[42:29.490] 比如说因为
[42:31.160] 家里
[42:32.670] 民生是把电板电镀效果都不知道。
[42:36.190] 对，他说也不介意自己说。
[42:46.430] 你是我们的试驾车吗？
[42:47.870] 其他必有战争吗？
[42:50.210] 我可能记错了，因为我当时是有两辆一辆一辆
[42:55.580] 交，那交费可能交费
[42:58.080] 将先治标在对外交流，D有没有？
[43:01.660] 对我可能就记错了。
[43:04.520] 然后万一做你就没有往后放一个选项，所有车都是往前趟。
[43:10.240] 天给我这
[43:14.770] 就说了，
[43:16.360] 德国人也不上了。
[43:17.490] 那能扣分吗？不扣。
[43:19.590] 扣违章停车，现在有电子抓拍，没有人也不给你贴条。
[43:24.570] 对说然后你到时候你就短信就收到了。
[43:27.370] 现在双排不是0。
[43:29.530] 受吗？
[43:30.360] 临时了，你说现在是要快对。
[43:33.310] 你说现在状态不是说我已经上台了，我现在放开。
[43:36.600] 我还真没遇到过，反正他们说现在也受不了号限行，但是可能拍不太好拍。
[43:42.790] 但是这个上面。
[43:44.840] 就是说白了现在什么地方？
[43:46.800] 临时号。
[43:48.510] 分、
[43:49.270] 又挂在你发动机号，他要侦查要能追到这个车能买你买了。
[43:53.610] 我还收了吗？那收了。
[43:56.270] 这个一定接我跟你说为什么用三个小点，
[43:59.640] 你不贴放在这，本来就交际用12。
[44:02.650] 二分。
[44:03.430] 非常厉害，所以说还是贴纸要出去用贴我们
[44:09.370] 不是前后都要交。
[44:11.150] 要求对，他这上面都给你写着贴什么位置，看到了吗？
[44:16.090] 知道吗？
[44:19.590] 好。
[44:20.360] 都无视你了。
[44:21.710] 或公司法咱们一次。
[44:23.510] 对，如果没有这些
[44:25.660] 警察较劲，你放在那就算12位特别严重的。
[44:29.880] 对，所以我就想问问听违章停车像这样能扣分吗？
[44:34.640] 如果现在这样，
[44:36.540] 应该不太容易。
[44:38.840] 不太对，一个是就别委屈了，现在我演人家他不是伟平，因为现在今天我还要扣上一个，我说一声给您不车牌不行吗？
[44:51.840] 不行。
[44:53.470] 单位我得小时车上了牌之后他们白手起家，
[45:00.520] 现在进不了，
[45:01.950] 都不好弄了，
[45:05.180] 中也没有什么好评的命。
[45:07.620] 比如说我就想问问
[45:11.470] 都那就不好了，我这马上也到了喝着了，
[45:15.800] 丢了原来的烂，我在这儿。
[45:22.930] 一般是不是没啥大问题？
[45:25.100] 我没遇到过，所以我不敢跟您说这话。
[45:30.950] 临牌每瓶吗？
[45:34.410] 登录。
[45:37.100] 你不是标准车位，伪装停车，违章停车，
[45:41.670] 还要看你现在品牌新车毫不搭理你，你来心情好就可以打电话叫车来给你看过。
[45:49.070] 好吧？
[45:50.070] 你还是别停安全。
[45:52.060] 电话，因为社长你必须有你刚才没有停车场吗？谁知到您要是开车着吗？对。
[46:00.590] 对，因为车这的问题就房子上说一声，还有那么
[46:07.140] 吊的。
[46:09.730] 那也
[46:11.550] 记12分的抢。
[46:13.390] 咱们现在
[46:14.550] 所以我就得先咨询好，
[46:17.960] 比如说要是平台什么的，我就考虑
[46:25.090] 会有这样的问题。
[46:42.070] 你们也是
[46:45.290] 您把您的手机打开，微信。
[46:47.960] 不是so in，二维码您先把E互联的软件专装一下。
[46:52.450] 现在我们的是没有。
[46:55.520] 没有可能肯定没有。
[46:57.820] 就不能语音识别。
[47:01.410] 然后浏览器中打开不要使用QQ浏览器。
[47:06.620] 用其他的浏览器打开，
[47:08.810] 安装一下就行了，待会我把车给您送过去，
[47:12.440] 给您注册完成，待会登录一下软件。
[47:16.710] 您这个车是
[47:18.710] 6月20号生产的。
[47:35.020] 国际的应该
[47:36.570] 的在
[47:42.910] 得到了
[47:48.230] 完事了。
[47:49.170] MBOS智能交通系统，谁知
[47:53.040] 对吸铁石开的是综上还是这不是他导航，
[47:59.560] 就跟3D似的。
[48:01.300] 我知道不是他就实缴，对，就有一上头做了一个劲敌，就空灵距离。
[48:08.130] 他还是有空调，但是要原来原车是不在这里留，您电话，别人说什么？
[48:14.470] 您说。
[48:17.030] 坏。
[48:23.920] 接受
[48:25.640] 中国
[48:33.100] 没事，我这边就没事了。
[48:36.110] 行吗？对等我一会先把车给您送过去，
[48:40.560] 我先把车给您分到账户名下，您才能登录上看到，
[48:44.720] 给您马上发一个短信，里边有一个6位数字的激活码，收到您告诉我一下。
[48:50.130] 看着
[48:55.190] 包括
[48:59.670] 他说
[49:04.160] 您说23248834。
[49:09.280] 好勒。
[49:10.230] 再等一会儿他出的时候已经开出来了
[49:13.990] 了
[49:16.060] 了，
[49:16.910] 就让我看看
[49:18.660] 当时
[49:21.210] 这要看三倍完了对。
[49:28.780] 照片
[49:30.310] 要
[49:44.680] 导致
[49:46.440] 这样我可以活着。
[49:54.710] 我说着了，
[49:57.360] 是吧？这个想法很好作用。
[50:07.970] 的。
[50:11.170] 对
[50:13.700] 把
[50:15.530] 了。
[50:19.560] 给我拿过去。
[50:21.440] 数据
[50:24.410] 的
[50:29.810] 倒杯水、咖啡、喝茶。
[50:34.760] 数据
[50:40.690] 的
[50:42.990] 了
[50:45.660] 跟你讲，
[50:55.370] 句
[50:58.690] 三
[50:59.560] 五
[51:01.050] 数据
[51:31.420] 了，我也没弄过。
[51:34.780] 心动他们
[51:39.530] 的
[51:46.110] 的
[51:56.700] 什么情况知道吧？
[52:00.200] 的。
[52:02.590] 那边。
[52:04.500] 你首先话您给我说一下。
[52:12.490] 再放一下。
[52:14.880] 上网怎么回事？
[52:34.470] 行。
[52:36.630] 行的话
[52:39.720] 所以。
[52:43.150] 了
[52:55.470] 的
[52:57.680] 的
[52:58.480] 的
[53:01.100] 这两个
[53:02.670] 您都不用管。
[53:05.210] 身份证需要您这样拿着咱们拍一个照片，口罩您是要摘一下。
[53:10.250] 因为是实名制认证的。
[53:13.280] 可以没问题。
[53:17.510] 深圳您收好了用完了。
[53:24.300] 公司。
[53:31.200] 面访郭进，谢谢。
[53:35.760] 说一下。
[53:39.520] 是您这台车的三包，涉及车辆质保014116这台车6月20号生产，
[53:45.390] 开票今天7月28号。
[53:47.870] 车的质保期首先是三年不限的红树林，
[53:51.930] 从您今天开始开发票才
[53:54.200] 质保期内这个车不管开多少公里，那些大件如果出现质量问题全都走，
[54:00.070] 后边每一个
[54:01.680] 易损件都有建筑公里调节现车的条件，一次现在知道别丢，一会儿人家让你带走。
[54:10.280] 每一台车
[54:11.800] 卖车之前，
[54:13.510] 车辆都会做整车质检，这是这场的0416回头见见你也
[54:19.400] 客服马上会下来给您做个面馆，我待会儿把您这个
[54:24.180] 送到装饰，
[54:25.560] 把您的行车记录没提醒第二后备箱垫，
[54:29.390] 这都给您做了。
[54:30.740] 贴膜这些东西可能是验完车以后才可以做，
[54:34.800] 要不然的话影响验车的稍等。
[54:48.640] 你把我电话说话，
[54:50.140] 我说有问题打给我们。
[54:54.150] 139
[54:55.830] 1098
[54:58.390] 6961。
[55:00.800] 对多近？
[55:06.490] 山西简称晋
[55:44.310] 李女士本人的。
[55:45.800] 这是客服，您好女士送您的，我先登记一下您的信息。
[55:51.210] 是当天吗？
[55:56.190] 的
[55:59.690] 的
[56:06.830] 给
[56:08.340] 坏。
[56:10.630] 万一咱俩碰不上，
[56:18.030] 20分钟差不多就完事了。
[56:21.270] 信息技术的
[56:31.860] 是在手机上。
[56:34.970] 他是这样装行车记录仪，
[56:37.800] 他会给你手机下一个软件，后期看那个视频都是他自己手机软件，
[56:43.400] 或者登录一下，
[56:46.000] 这个一会儿先给您装，装完了以后，
[56:49.320] 待会谁对
[56:51.420] 待会现场再回去取车的时候会给您说这行这么的是OK。
[56:56.460] 于是我简单给您做一个面访，问您几个小问题，全部都是1~5分评分标准，分为满意，整体交车流程安排您满意吗？车辆功能讲解介绍满意吗？
[57:06.730] 车辆的外观内饰情况满意吗？
[57:09.340] 将来如果亲朋好友购买奔驰车，您会考虑我们店吗？非常感谢您了，本次是首次在我们店购车吗？市场。
[57:16.430] 您最终决定选择在这购车主要是什么原因？比如我们现在服务环境、地理位置、车型、车价都有是吧？
[57:24.270] 没事。
[57:26.590] 您是从事什么行业的方便说一下吗？
[57:29.530] 我请员工来好了。
[57:33.200] 平时有什么兴趣爱好吗？咱们这边市场活动也挺多的，打球、运动、看电影、旅游什么的行。
[57:42.920] 手机尾号4458您的是吧？来麻烦女士扫个二维码，这是我们店内的回访电话。
[57:48.890] 在您开票后7天，我们会跟您联系，问问您新车的一个使用情况，手续办理情况，
[57:54.210] 以及对我们店的服务满意度，到时候麻烦您接听一下。
[57:57.130] 点保存，
[57:59.000] 创建新的联系人，
[58:01.050] 右上角点的完成，
[58:03.000] 退出就行了，存在您的手机通讯录里边了，麻烦您帮我签几个字。
[58:08.740] 好，这口
[58:11.610] 右下角签，这是刚刚面访表。
[58:14.200] 麻烦你再签一个服务公约，在这签一个证明咱们店上面。
[58:21.950] 没事完了就行。
[58:23.520] 证明咱们也没有强买强卖，没有强制消费，全部都合法合规的。
[58:29.500] 行。
[58:33.150] 行，我这边没有其他事，您等等您的胶原。
[58:35.900] 好谢谢。
[58:46.910] 号。
[58:48.870] 我先给我买了，开始选择。
[58:52.300] 好一点看一下，但是的上半天班大家下面
[58:57.320] 花了三天，
[59:09.790] 对。
[59:11.300] 稍等一会儿，我给您会说咱们后面的山坡上和保修的水泥，
[59:17.740] 后期车主要是您开吗？
[59:20.250] 行没问题，我着重直接登陆，还有加号，86手机号直接登录。
[59:26.160] 就是手机号加号，86手机。
[59:30.600] 386对中国的数据。
[59:37.360] 二
[59:38.990] 大A小A
[59:42.320] 号。
[59:44.660] 123456。
[59:47.730] 对了，可以。
[59:51.400] 保存一下密码。
[59:54.880] 在这种情况。
[59:57.990] 好，现在就登出来了，目前来说你还看不到其他的东西，只能看到这台车这样的爱，
[60:04.990] 对吧？因为行驶是属于未激活的状态，你这车一跑起来半个小时之后，他数据会通过云端自动对接，
[60:13.210] 然后你这就能看到车内所有的状态了，你的里程续航里程，包括你的车门关闭状态，唇妆的关闭状态，远程的解锁车门，
[60:22.390] 这些功能都能实现，然后你的商店、沙盘、轮胎、
[60:26.720] 电瓶的电量都能看到。
[60:29.510] 挺好的，一般来说还是挺好用。
[60:32.150] 的。
[60:32.540] 比较智能，现在实现的都是这种光线传输，
[60:54.840] 先聊
[60:55.690] 风光和相关。
[60:58.040] 那个面访来了吗？
[61:00.920] 面完了他想都给您搁进去了，好了，来跟你说我
[61:07.140] 今天我们集中出了好几台这样的，
[61:11.910] 然后三包手册您是收起来了，还是他给你放车里了？
[61:16.240] 应该在车里内向了，没有放车里了是吧？我在车里我就拿他给您讲。
[61:23.590] 不，他拿去印去了，
[61:25.800] 他拿去印着三包您要签字，然后我这个有点乱，正常来说这是没有这些东西的。
[61:32.320] 您这台车会从咱们的开票日期2023年的7月28号开始享受一个三年的保修，
[61:39.170] 这写着汽车产品三包有效期三年不计里程，也就是说三年内这台车出现的一切质量问题都是由我们奔驰来赔付的，
[61:47.870] 不需要你自己来承担维修成本，所以说三年内你也不用担心这个车真是要出现磨损了，自个花钱修车贵不贵，这些东西不会牵扯到费用。
[61:57.670] 有问题直接回到4S店系统是中国大陆境内奔驰全国联保的，
[62:03.980] 也就是说希望您还是可以考虑优先回到我们这来。
[62:08.190] 整车质保大道，咱们的发动机变速箱，想到你车身里边这些开关钮总成部件，这些东西都管你三年，
[62:17.370] 但是车辆也会有一些消耗配件，
[62:19.970] 像咱们经常用车，你也知道，像轮胎、雨刮器、瓜片，这就属于消耗掉了，
[62:25.360] 他只管30天，
[62:26.480] 但也没有说30天咱回来换轮胎的对吧？所以说正常用车G
[62:31.580] 如果说在一年或者1万公里回来保养的时候，我也会给你检查他他会不会有磨损，我都会给你看。
[62:37.970] 正常来说轮胎都得五六年之后才会牵扯到更换。
[62:42.280] 然后咱们的滤芯，
[62:43.820] 像您的空气滤芯、空调滤芯、机油滤芯、沙盘沙片灯泡，这是属于咱们保养的项目。
[62:50.110] 也就是说一年或者1万公里回来保养的时候，我也是循环给你更换的，
[62:54.850] 这是需要自付费的，你自个花钱的，然后蓄电瓶搞一年或2万公里，
[63:00.860] 徐建平你就正常把这车开起来即可，
[63:04.180] 不要长时间去停上，他都没有问题，没有说三四年黄金平的，
[63:09.100] 你是不是字都没签的，上3800
[63:12.330] 签字，详细的跟你说，这两个原件您自己带走，这个是13光的复印件，原件在您手里，这儿签一个字代表您取走了。
[63:22.400] 对部门
[63:25.740] 然后抽了
[63:28.790] 一个欧元的都是
[63:31.050] 上市。
[63:36.440] 车辆交接的明细，咱包括外观内饰整洁，车辆的
[63:41.250] 所有的发票合格证，保险回头再分小站夜班车一次性给您，要是两码事了，
[63:46.880] 功能讲了电话聊了，回去用车我给你打给我三包，您手里这边防守坐在车内互联是刚才客户端
[63:54.920] 位置话，咱们交车费这车没有送保养是吗？
[63:58.680] 按着画一叉子就行
[64:00.480] 了养护礼包。
[64:02.520] 这话差。
[64:04.310] 备胎没有随车工具，没有急救包，没有三脚架，轮车载灭火器车间以后给你装好，
[64:12.190] 新车别开快，车速别超120，转速不要超3000，
[64:16.920] 出了1500公里以后正常使用整合。
[64:20.120] 北京加油95号就可以了，救援车点ME的N件别忘了，保养一年1万公里，
[64:27.530] 售后实际上就是在听课的时候右转，就是三包，第一页打开，
[64:33.890] 红章587349是售后的电话，提前先预约就保养可以了。
[64:40.780] 然后这签一个字，
[64:45.680] 我说这句话本人已充分了解以上所有条款，确认无误抄在横线上后边下面的反应。
[64:54.890] 对。
[64:55.550] 本人得确认无误就可以。
[65:13.340] 后期用车过程中有问题不明白，随时打给我就可以。
[65:20.600] 回头这电话也是微信，回头你要是说不明白，打电话发小视频照片也可以，但是我加您一下就行。
[65:27.810] 030339您。
[65:33.610] 您好，我待会通过一下就行，那就没事了好吧？感谢。
[65:38.960] 没事儿。
