[00:00.800] 是啊就他首次现在开始。
[41:18.770] 那你你们带地什么时候？
[41:21.410] 要不然您就等等，如果动力没要求，你等到那个2.0的那款，
[41:26.720] 马上要到2.0，对，你留他一个方式不定期的，他真想买他好想买好久了，我同学有钱。哈哼
[41:35.440] 没关系，到时候你可以咨询我们，那不行吧厂家对现在做一个改款，啊因为现在整个全球范围内不都在降排量，嘛所以慢慢的像w12v8的发动机来说越来越少了。
[41:49.100] 那你开的。
[41:50.720] 那所以说嘛你要想大概这样子说，我建议您要是学了后事，您现在赶紧买了，要不然真的没车了，后续这车大v8的就越来越少了。
[41:59.170] 然后像麦巴赫的680，我们现在基本上也都平坦了，没有了，你像原来的g63呃 g65也没有达到12都没有了。
[42:08.870] 咱也要压亏我们
[42:10.080] 就是跟原来加50块钱。
[42:12.070] 这没差多少钱。呀
[42:14.180] 原来你才交50万，呀那是啊那会加50万，但是您没您没订，但是现在慢慢的还会越来越高，越来越现在加多少加100万。
[42:22.420] 呃没有没没那么夸张，比指导价贵的话应该差不多贵了66、吧66 67这样。
[42:28.630] 好吧，办齐了，昨天给客人算一个是260多260多。
[42:34.900] 全部都全都办齐了。
[42:36.370] 每200 600块钱。
[42:38.480] 加上税保险上牌装饰什么的才能算起来260。
[42:42.470] 原来不是
[42:43.760] 嗯可以可以可以。
[42:47.210] 唉你好你好。
[42:49.020] 嗯
[42:51.230] 我不知道他提醒了呀车辆方面是不是要再给您讲讲？
[42:57.790] 不用，那倒没问题是吧？
[43:00.050] 你要是说有需求把我们产品给您介绍一下，
[43:03.320] 也看了一下行到时候您考虑考虑，然后后期有问题您再联系，然后那个因为那个魏先生您这做了登记，明天得给您做个例行回访，咱一般截屏
[43:14.830] 上午方便还是下午方便，嗯这样行，后期的话短信微信电话有需要到时候你在做着联系。
[43:21.040] 开车来的你是
[43:22.420] 那您一会儿离场吧要离场，别人在门口扫一个码，
[43:26.030] 当然您可能都是老来，这也都知道你都无所谓，吧其实其实那个小毛病挺多的。
[43:32.560] 我本来就想定了，因为我那个车我看了三三遍了，在这儿试驾二十几二十岁试驾了两趟啊试驾两回了，对可是这样还可以，但是
[43:43.310] 我们小区刚好碰到我们小区的一个人，刚认识开了一些白色的
[43:50.110] 说这个三个方面讲小的小毛病，反正一开始可以
[43:55.990] 一年出两三回，反正嗯还可能ps
[43:59.400] 啊他是一个是什么想。
[44:02.990] 第二是什么灯坏了还是什么的，就反正
[44:06.170] 就写出来了，但是我呢我那次课堂就
[44:09.700] 开到现在就坏过一分钟。
[44:11.480] 待会儿在初中就没出过毛病，我忘记什么，就是日本的。
[44:15.610] 嗯
[44:16.400] 丰田。
[44:17.510] 这个雅阁环保，谢谢啊谢谢没事，你你给我上次那个跟跟大庆多少钱？呢260多。
[44:24.520] 你你给我算算我要多少钱。
[44:26.360] 这个钱价格多少，啊您看您要哪款，我现在跟您说说。啊
[44:31.820] 比如说现在厂商工资价格1,628,800，就那个1595585577 500，对，然后我们现在比公司价格要稍微高一些。
[44:41.070] 所以说一般的是这个售价2,228,800那这个售价，然后除以11.3是国家统计局。
[44:48.870] 唉对，然后加上33328328800。
[44:54.510] 那这样。
[44:55.610] 然后再加上
[44:56.970] 这车的保险应该差不多是在将近小5万块钱左右，吧然后还剩5万算，然后加一个2500演出。
[45:03.800] 一致的。
[45:04.620] 2,483,848，但是这两台车展厅里的这台
[45:09.850] 这台车展厅前的话，这两台车都是加了差不多将近有9万多块钱的选装，
[45:15.020] 因为现在目前只有这这点上才能有钱说，
[45:17.920] 然后你再加上一个这两台车有一个9万多块钱的情况。
[45:21.580] 签完了差不多是257，
[45:23.640] 就是那个
[45:24.470] 差不多就这个价格。
[45:26.040] 检测检测的
[45:27.590] 简单特别重要。
[45:28.890] 不是特别用这带来的技比赛带好太多了，上面那个 G特别出，对那现在来说还可以，而且
[45:36.270] 整体开起来的话更加偏向于城市用户。
[45:39.740] 所以说来说还可以。
[45:41.210] 嗯
[45:41.910] 但是很多传承性的东西还是一直传承40年，所以他一直都是这样的，有些因素是没有变化。
[45:49.000] 好行没事您客气。
[45:58.510] 那您别忘了扫码好吧？啊我送送您，然后我把这。
[46:03.320] 行勒好勒，感谢光临。
[46:06.070] 没意见。吧
[46:08.250] 嗯嗯
[46:10.100] 我取我取出来了，我也放这了。
[46:16.720] 多少根原子呢？
[46:42.150] 交完了马上来。
[46:44.070] 嗯好好好做。
[46:46.590] 我就是一个
[46:47.730] 那我再给你打电话行吗？好再见。
[46:50.800] 啊
[46:52.120] 嗯
[47:51.370] 我刚接完。
[47:54.410] 意向。
[47:55.810] 嗯
