[00:00.960] 接待二次客户交周客户孙美容女士。
[59:58.640] 的那种鞋面。
[60:00.510] 对上面。
[60:03.820] 有什么都有，对，从完了。
[60:06.480] 以后不要开了，花有字的。
[60:09.330] 的。
[60:10.500] 你老真巧。
[60:13.070] 对那块都
[60:17.880] 我妈以前打毛衣啥，
[61:26.530] 这一点
[61:28.070] 这么长时间，
[61:42.880] 用保险这才怎么会这么长时间。
[61:52.770] 关键什么时候了你。
[64:40.270] 需要安装吗？
[64:41.720] 我把这个系统都完了。
[64:43.870] 阿姨人
[64:45.920] 等等联系好了，我稍等他一下没事。
[64:51.210] 保险结论。
[64:52.680] 没有，我去给您弄系统了，系统录入完了他签个字，然后等一下收个验证码，我把单子打出来，然后咱们就可以交钱了。
[64:59.330] 对，我得把您所有的东西给您录入进去。
[65:02.040] 录完了咱们稍等一会儿，签个字，然后收验证码就行了。
[65:09.200] 咱们那天留的电话是女儿的电话是吗？
[65:12.580] 电话多少电话？
[65:16.340] 您看一下。
[65:21.930] 可能还需要
[65:31.120] 0125尾号
[65:33.970] 尾号0125是您女儿的还是女儿的事，等一下方便接电话吗？就是收短信。
[65:40.700] 等等等会你等会一会要他是正好一会收验证码一下，先别挂电话，
[65:48.170] 让你收个验证码，等一会儿你签完字回来的。
[65:51.710] 你不是留着你的手机号吗？
[65:55.580] 不要需要你给个验证码。
[65:57.710] 没事，等一会阿姨回来签完字，现在还不行，你过一会
[66:01.450] 看着点手机，如果出来的话你给我发微信。
[66:10.280] 等等一下过一会。
[66:12.760] 现在我们就签。
[66:15.000] 阿姨您签个字。
[66:17.150] 好勒，还是在手机屏幕上您签一个，然后我就会给他发验证码了。
[66:22.000] 签字，对没事，您一个手指就行。
[66:25.900] 你看。
[66:27.520] 了
[66:35.250] 好勒。
[66:40.690] 我点了获取验证码，
[66:42.910] 他一会发给你就跟我说就行。
[66:47.740] 验证码时间稍微短一点，但是应该没事。
[66:51.320] 好。
[67:56.300] 给你发吗？
[67:57.990] 没给我发。
[68:03.840] 失效了已经对。
[68:06.120] 但是我点了一下，还有一个语音验证码也行，你试试看哪个？
[68:30.600] 看这俩验证码。
[68:31.440] 如果是一样的。
[68:38.920] 他手机号
[68:42.000] 因为短信比较慢一点。
[69:01.070] 你刚给他说完成。
[69:02.800] 等会有个夜场吗？
[69:10.520] 可能没碰到。
[69:24.790] 打电话开始7月份。
[69:26.180] 您上班他们关键这个时间估计还没下班。
[71:01.800] 阿姨您那天红色的小收据您给我。
[71:07.310] 然后您的身份证你也给我，等一下咱们出保险什么的都会用，您就都放我。
[71:18.660] 保险还没出来。
[71:20.570] 咱们还没有，咱们要先去交款，交完款之后您吃完饭，然后我会把。
[71:25.620] 险给您拿出来，然后把
[71:27.640] 回头把合格证发票他都拿过来给您办临牌。
[71:31.480] 您的身份证还有那张红色的小条。
[71:35.680] 收据不是。
[71:42.720] 对，还有您的身份证您一起给我在。
[71:45.760] 身份证待会咱们办临牌保险8941
[71:49.270] 32还行不行？
[71:51.520] 348941，好，我看看可以吗？
[71:55.060] 可以消除马有误了，不行了，在话现在点一下同意吗？
[72:01.530] 好勒。
[72:03.570] 等等。
[72:04.660] 你跟他说会有一个新的过来，
[72:08.370] 今天稍微有点长，上次那也是抄了抄一会还行。
[72:12.520] 330
[72:16.280] 93730233302。
[72:20.490] 3130840。
[72:26.730] 等好吗？这边行了。
[73:08.020] 这合同刚才就签完了，等一会我会把这个单子需要打出来，打出来之后，然后咱们到。
[73:14.270] 我找领导签个字，签完字之后，然后咱们到收银台去交钱，
[73:19.620] 交完钱之后，然后您去讲车，我给您去出保险，您讲完车我这边保险给您出完了去给您报临牌，
[73:27.730] 然后剪完车车就空闲出来了吗？他就做装饰。
[73:31.760] 都是得多长时间？
[73:33.260] 装饰画，因为咱们这种当天提车的话，我都会跟他们说你看一个小时，
[73:38.920] 然后这期间您就可以吃饭，休息一会我就给您办临牌什么的。
[73:44.220] 我们的U超三个小时了，是不是又得那啥？
[73:48.560] 停车没事，咱们信托拍出去。
[73:51.780] 话它是新车没有车牌号的。
[73:53.490] 是全免。
[73:54.370] 因为旧车他得去这个范围相就是说需要去办伟大是吗？您现在方便去吗？还是在一起去？
[74:02.140] 张老师还没跟我们说有没有口号，还没有说，行，我给你问一下。
[74:09.610] 应该会有扣分就得出去办，你我现在问他一下，要是有的话，您可以先一个人去办，一个人留下来干，这样
[74:18.950] 可能就快一点。
[74:21.410] 中午饭
[74:23.090] 应该在上班。
[74:24.860] 他们中午下班中午应该不。
[74:26.820] 亚班、黄庄、
[74:28.670] 我待会给你办了，我们这边同事
[74:31.320] 跟她们几点上班。
[74:36.910] 张哥我刚才那客户他有扣分吗？您看到了吗？
[74:47.150] 行了，两条违章罚款300不用扣分是吧？那行，待会拍个照片我给客户，那客户就不用非得这么早去OK。
[74:55.200] 太好了，那就省你事了，要不然你出去。
[74:58.190] 都来银行就放下了，行。
[75:01.630] 银行就不去。
[75:03.290] 银行杨来弄，我完事叫您
[75:05.720] 要到银行去。
[75:07.280] 好好勒，银行这工行这就证明了
[75:11.820] 就关了。
[75:12.830] 半壁店都关了。
[75:16.350] 但没上给关了。
[75:19.030] 关了没事还就跑那什么就是不能用。
[75:23.570] 只要是工行就行。
[75:25.180] 你是在工行工行就行。
[75:27.700] 非得本人的身份证吗？
[75:29.650] 不用，他有一个前提就扣分是吧？
[75:35.060] 就张口交三年。
[75:37.310] 那行，那还出去吗？
[75:38.840] 那得出去，她得交钱去。
[75:42.520] 稍等一下，我再给您打一个。
[75:44.560] 我看好，因为你现在是先交去。
[75:47.850] 也可以，您那个店您下楼，我让我们师傅在楼下等，您得拿一个拍个照片在行驶证，
[75:55.920] 你要是去处理的话，是不是需要一个照片？
[75:59.210] 因为我没去处理，我不太清楚，不用您直接确认，谁知直接去的了，行驶证在您这儿吗？行驶证在那我得拿不需要拿去应该不需要，行，我跟我们什么
[76:13.600] 在处理这个的不一定全处理，您什么时候处理都行，你可以我下午回去下午交也行，
[76:20.100] 下午您开着新车再去开心开业。
[76:22.940] 张哥那个客户要是说今天下午之后再处理是不是也行，不着急。
[76:30.350] 明后天都行是吧？行行。
[76:33.520] 行行，我这弄完我再客户下去找你给etc和铁锹接待。
[76:37.580] 好勒，那就不着急，那就不一定非得开福克斯去了，对。
[76:43.440] 是。
[76:44.480] 不一定对，您可以待会明后天都行。
[76:48.740] 早点处理他早点弄那个。
[76:52.160] 对您就尽快这一两天处理。
[76:54.640] 处理完他在网上立刻就能看到了，你就不用往这跑了，对吧？那就行了。
[77:00.230] 对，您不用背着您了，因为他有个时间你得签那个时间，不是刚刚签合同的。
[77:07.640] 对，他让你签字。
[77:16.390] 要不我先回去。
[77:18.060] 我啥时候没有你啥事，我先回事让你回家，咱一块吃饭，不用了，我不回去了。
[77:25.570] 我回那个复印了。
[77:28.170] 行吧，我那个叔叔你把钥匙给我，把我的包跟卡给阿姨拿出来。
[77:33.610] 要是
[77:35.280] 我待会再给你送上来。
[77:37.240] 你俩都在这等，我下去我再给你别还得弄。
[77:42.840] 天天在我这很快乐，我就只打了三了。
[77:48.930] 你自己行可悲。
[77:50.850] 你车里没东西了是吧？
[77:54.920] 还有个出门证。
[77:58.200] 待会给您再交接一下，您好像还有etc他也不给您交。
[78:02.440] 印一下翻译。
[78:04.310] 这个都谢谢的。
[78:12.050] 你看这上面有点去激活这道，
[78:17.770] 他那etc在哪办的？
[78:19.720] 他现在
[78:22.650] 路的
[78:23.650] 华夏银行。
[78:27.730] 现在免费给装，现在已经。
[78:30.060] 现在装的话您之前有他就免费给您收了。
[78:53.840] 您稍等，我去那边给您打一下。
[78:55.800] 电脑连不上。
[79:01.670] 这个也挺高的吗？
[79:06.790] 从这到301也进。
[79:14.200] 四环边上直接就不回去。
[79:16.710] 坐车。
[79:18.280] 他不错，他肯定打的他才不做。
[79:22.650] 年轻人。
[79:24.090] 年轻人，
[79:25.340] 你们看小田挣得不多，没什么，花钱也挺
[79:29.950] 挺大。
[79:35.200] 你别走了，就在这他事弄完办完装
[79:39.800] 挺快的一个多小时就完了。
[79:42.810] 主要是办着手续慢可能。
[79:45.840] 是吧？
[80:16.050] 少
[80:16.780] 了
[80:22.550] 真快。
[80:24.210] 他想吗？9.8。
[80:28.660] 你打车走，从这直接就奔那了。
[80:33.660] 这挺近的。
[80:36.480] 我说那饭钱以后反正你别给我，你就经常给我办事是。
[80:41.040] 挂个号什么的，你这花多少钱呢？
[80:46.220] 他咋了？那卡赚钱你还给我你呢？
[80:53.130] 我这有啥是不是你不收不就。
[80:56.680] 完了他给我搁在那什么里头了，支付宝里了，我红包我可以不收，支付宝里他就进来了。
[81:04.040] 直接到账了。
[81:05.760] 你现正就以后别给我，那我就不敢给你们打起来，我就去银行取消，不是你我就不让你干事，我也就好意思了，向你就老公花钱，我不好意思，
[81:17.180] 半天就回来，是不是？你们都照顾着我，还要啥不用这就行了，你慢慢走了，行了，在这待会到点了进去那边。
[81:25.700] 我拿着一把砍刀去上那种愉悦是不？还得刷1月号。
[81:30.520] 你得把放进去，然后再插银行卡进去。
[81:34.250] 因为我不是在这上面支付的，但是他后续的话你得再付，还得是。
[81:41.400] 是话交10块钱。
[81:42.970] 然后到那钱就给我退回来了，我交点10块钱他没钱。
[81:47.280] 对，别放银行卡放这个卡行，我知道他挂号头像上次约是吧？对直接7号，6月7号也是1月几号？
[81:59.480] 也是点阅。
[82:00.630] 好好了，我走了您来吗？
[82:04.410] 一会给我打电话行行。
[82:07.140] 小号。
[82:10.270] 他再跟你说，你说人家念
[82:13.670] 咱们卖汽车您看的挺好的。
[82:17.380] Fm0278，
[82:19.440] 你在选号不一定能享受这么好的话，
[82:22.210] 到时候可以先选，如果没有的话你们再商量上，张楠当时选张说以不是有好多含义吗？对。
[82:31.140] 因为他想把一个张冉
[82:33.160] 她选小小的溜达。
[82:35.370] 这个尾号如果改号尾号一定要6，别的不要。
[82:41.260] 要不改就不改了，改就改个5尾号是6了。
[82:44.720] 那天正好不可能，周末的时候可能。
[82:47.490] 行，你走了，你跟他说了是吧？先别让他点击了，他说。
[82:51.870] 了说给那个点了，你不娶人家了，张超人家张超告诉，
[82:56.430] 到时候他告诉他什么时候选号呢？
[82:59.280] 人家您要告诉。
[83:01.790] 你慢走9遍。
[83:04.720] 慢慢的。
[83:15.770] 你们瞧那天厉害的又给我
[83:18.920] 脱离了，我就说一句，我说当然你选号别选了，这回听你爸的你爸都不想让检查，
[83:25.510] 立刻就跟我急了，
[83:31.950] 还选但是还不通气，他在微信里头发到微信，昨天我看他给我是我
[83:37.790] 晕两次我没接，可能是我没准就one没听见他回来，我就问了，我说你干嘛？
[83:42.680] 没事吧？
[83:44.360] 你说我说没事没招我先给你当了，我没事，你给我弄那什么。
[83:50.070] 我说你选好了这三号。
[83:52.390] 没有。
[83:54.190] 我哪敢选就这么一个，我赶紧就那意思，不能让你们
[84:00.030] 你发话了我就选，我哪敢选。
[84:03.950] 你还是选号给你们，要不给你选这一看你们要他也不说，就往那100看你什么态度，你就是那意思，选择这么逻辑的到达，当然要达到自己的目的，问候他只能过去
[84:17.440] 找了
[84:18.640] 哪儿我哪敢气我，你选好好哪敢剪，我说你一次就拍三次，我一个。
[84:24.640] 拍三次，我说哪就选着追。
[84:27.180] 谁说开出来三次这事，不是拍三次说是无限次的，只要为你选到你满意为止的，
[84:35.200] 人家说了选完了以后三天如果不用。
[84:39.770] 就做了都是你谁知
[84:43.770] 等一下。
[84:49.760] 哎哟真受不了这孩子。
[85:03.840] 不太闲着。
[85:06.840] 都过来。
[85:07.860] 爱人也很多人
[85:10.590] 能看到人家
[85:12.240] 看的人可能有印象，你看。
[85:15.250] 一个人谁知
[85:19.440] 反正人都想开，
[85:25.150] 没法要让我们行情一个女的四川。
[85:28.820] 他买一辆车，
[85:30.440] 反正没开两年换一下，换成了比原来刚好点有很多。
[85:36.090] 好多，反正可能。
[85:37.710] 更好点儿。
[85:43.830] 到。
[85:46.110] 好勒，钱。
[85:52.670] 数据、
[85:58.450] 坏
[86:08.190] 没事我来想，因为我们。
[86:10.760] 要求
[86:12.060] 这必须。
[86:13.980] 得挪回去，咱们这边收银台在这边。
[86:27.440] 对，就在二楼在那边。
[86:36.650] 要不然那没抢上那边的。
[86:38.920] 一致。
[86:39.780] 那边打印机比较好，是零售音乐，
[86:42.940] 但是谁知
[86:45.390] 这个是这儿cc300的普配，他是一个要跑型的。
[86:50.360] 指导价应该是62万多，
[86:53.140] 应该是62万左右，对，当天也有点优惠。
[86:58.630] 62万都下来也得50多万。
[87:01.330] 下不来，5之多都下不来，因为他没有那么多的优惠，因为车型轿跑车型优惠本身就少。
[87:09.710] 就得60万以上，对肯定的。
[87:14.160] 因为车市比如说车是60万，你交费就要交5万多，你保险可能也得小2万块钱，
[87:20.630] 它就整体的金额都上涨了。
[87:34.230] 稍等一下，我看看排队。
[87:37.040] 我们开车的有一个客户，
[87:40.230] 您在这坐一下，我在里面您排个队。
[88:45.170] 我说不让放着吗？
[88:48.030] 随时报告不让吗？早上机会的。
[88:52.060] 这一会没事一会我。
[88:53.470] 进去。
[88:54.530] 那我就再拿点出来不用了。
[88:59.560] 咱们4家是吧？后边怎么样？
[89:02.490] 对。
[89:03.520] 是吧？您到那等我一会我再。
[89:05.460] 我给我交过钱。
[89:06.990] 放进去了过我做调查不过来，你在。
[89:14.020] 你都用了，
[89:17.400] 是吧？那就收到两条会面，
[89:19.570] 您到时候看见你这些东西到嘴巴，湖水都是我到处交给咱们做一下。
[89:24.540] 好了。
[90:04.530] 这两都是你发吗？
[90:06.130] 那不是我的名。
[90:12.440] 你要说什么？
[90:14.880] 财务信息表，还有交车确认单介绍，包括身份证合格证，
[90:19.960] 就可以标签了，没有3000。
[90:22.540] 对。
[90:23.510] 收据的还在定金收据就行是吧？
[90:29.270] 你说。
[90:32.540] 我拿一张别的卡你还给你行了，什么超。
[90:35.670] 超过三张卡交手续费，还是说半天说什么呢？
[91:04.170] 刷剩下的
[91:08.740] 了解
[91:09.890] 订单放
[91:22.600] 输密码。
[91:28.520] 今天
[91:33.080] 为
[91:35.340] 这个的很快
[91:47.840] 昨天这电脑自动报告干啥呢您
[91:52.990] 赶紧关了，别过来了，打开还没干别的不用。
[91:58.670] 你说
[91:59.920] 说什么时候是吧？我来说说你不干这么多年，今天来人家就走了，你不想你听我说我了，
[92:08.450] 都这样，不能
[92:11.710] 主要什么
[92:12.810] 什么照的吊针找到了。
[92:21.190] 你看到刚刚你
[92:25.000] 我在哪上面能看到这边缺点的，就说保险的话，
[92:30.370] 可能喝多了，然后
[92:31.820] 再走一下。
[92:32.720] 在推进对你把我
[92:36.690] 我那里我内地
[92:38.920] 得到
[92:40.040] 我就好了。
[92:41.960] 我用
[92:50.850] 1343，
[93:05.010] 当然后面的
[93:10.250] 我这罗比做的眼袋结算就完了吧。
[93:14.050] 你跳我
[93:21.800] 这都是我的吗？
[93:28.350] 这也不合理。
[93:30.000] 这是我给我们拿一袋，我进去就慢慢的没有那么多动物的不要。
[93:35.420] 不用了。
[93:38.450] 反对票
[93:39.930] 了。
[93:41.000] 你挑的。
[93:43.400] 找。
[93:46.000] 发生了真的。
[93:48.430] 错了。
[93:49.800] 因为冬天
[93:51.310] 谁知
[93:55.430] 不是有吗？你是送的吗？
[93:57.550] 为什么？
[93:58.790] 保险从来没有想这一块钱，你想前两天多少钱？
[94:02.740] 龙湖地产。
[94:03.880] 谁知。
[94:09.240] 是今天吗？等等听听我这还有枪。
[94:14.140] 他没交上了。
[94:15.200] 完了。
[94:16.720] 这次活动。
[94:17.510] 通过那个叫什么？
[94:19.870] 没收据。
[94:23.320] 两但是行不行？
[94:27.030] 在交尾款了，你的手机也收了，没有你。
[94:32.310] 手写收据了，你这不是一套吗？
[94:35.000] 怎么弄？
[94:35.840] 怎么弄，我弄他了我的养生的疑问老师，
[94:42.450] 但tm比为什么老师看看怎么着，是最后还是让他们单独刷一个。
[94:49.410] 我中午也出来。
[94:51.200] 能解除吗？因为点名批评
[94:53.690] 都会了。
[94:56.650] 你倒也没事。
[94:58.280] 好，反正我就卖了也会行说话了，他说了走了行了可以上来看看，你说听众。
[95:08.350] 我知道。
[95:09.270] 行。
[95:09.890] 挺快的，你问我笔记本问下老师你给我
[95:12.950] 放血一遍，除了你说去哪儿百你说你给你点了在结算了，
[95:18.850] 我还是做个平板的重新签字的。
[95:23.990] 要是你就只做不说这条护理，
[95:27.560] 谁知这么说吗？
[95:31.080] 你看看的合同了。
[95:35.050] 又签字了。
[95:36.880] 这边没点了，我觉得这个问题了一个一块，然后。
[95:43.630] 明天。
[95:44.440] 没事儿哪一点了来刚刚准备不行，都让我出去。
[95:50.660] 钱拿着。
[95:52.690] 拜拜。
[95:54.190] 来。
[95:56.960] 8.3。
[95:59.290] 你看看见吗？还有吗？
[96:01.040] 不用鼓掌了。
[96:02.800] 没想到没有问题，我的了，还有他说手机
[96:08.390] 就是说一会你过来了，
[96:16.720] 说
[96:17.730] 11.4也祝
[96:23.890] 15。
[96:26.220] 没有。
[96:30.040] 二。
[96:33.310] 你选择哪边？
[96:35.980] 咱们吗？
[96:39.210] 好久没有这么过瘾了吧。
[96:45.650] 但是我发现有这种
[96:47.710] 改天没事儿过去了。
[96:56.280] 一下。
[97:00.160] 什么你就说我送客户旺旺，
[97:02.790] 谁知
[97:05.300] 的
[97:07.290] 谁知
[97:09.370] 谁知
[97:21.600] 别的。
[97:23.080] 对，因为你当时打的时候只有一个合同吗？
[97:26.420] 还有。
[97:28.390] 好像看过，对，但是了保险了，路过的一家人。
[97:36.490] 没有意思了，后面宝贝他
[97:41.870] 目前提供对。
[97:47.620] 全都这样，我的心小点。
[98:04.850] 对，但是你看看背景。
[98:06.890] 跟你讲吗？
[98:10.130] 天天状态了。
[98:13.400] 我变了。
[98:15.520] 我变了。
[98:18.960] 的
[98:25.140] 变掉了。
[98:27.240] 不然
[98:28.280] 点
[98:29.930] 看。
[98:31.190] 这样。
[98:32.280] 对吧？
[98:34.000] 可以了。
[98:36.600] 可以花了。
[98:38.260] 好。
[98:39.810] 都看一下他的电话。
[98:42.640] 还有啥东西吗？
[98:51.440] 我前面
[98:54.310] 怎么不对？
[98:55.760] 3800。
[98:58.460] 2.48万。
[98:59.720] 3665万，我这48万
[99:04.010] 都是针对爸爸。
[99:05.200] 谁知
[99:06.790] 因为
[99:09.150] 4168001680。
[99:12.880] 这样。
[99:14.040] 337769。
[99:16.580] 3776 92.1，0.0031010295
[99:23.330] 加一个5600，不是五千零五千万，
[99:28.080] 附加13,800对不对？
[99:30.600] 张斌账户
[99:33.950] 478664。
[99:35.780] 我
[99:37.270] 47804。
[99:38.920] 你在
[99:39.980] 多少？
[99:41.420] 就是7866。
[99:43.830] 没事没问题的，64你我这几个小数点没家，正常。
[99:49.070] 这个对着加上1万块钱，
[99:52.690] 1万的定金488664，
[99:55.680] 这没问题。
[99:56.990] 对吧？对小数点没加上刚才给你。
[100:00.250] 没问题。
[100:03.730] 这跟看到了，
[100:05.680] 反正你后面咱们都没做，没事，
[100:09.980] 谁知到不是没有
[100:17.880] 的
[100:33.410] 远。
[100:40.370] 了
[100:41.380] 事情
[101:32.510] 谁知
[101:46.440] 就在
[102:02.810] 今天的学历
[102:07.320] 100万现金。
[102:10.260] 填好了。
[102:12.140] 舒服。
[102:13.150] 说
[102:13.960] 这个估计拿走了，没拿回来了吗？
[102:19.160] 谁？
[102:20.470] 咱们讲。
[102:21.760] 现在看不了，我拿回来了。
[102:24.120] 拿回来了，他拿过来了，我先给你收据记得吗？
[102:28.750] 我说的是一家，
[102:33.250] 远场
[104:20.230] 点
[104:21.690] 场
[104:25.030] 的。
[104:31.200] 的
[104:32.530] 标签，
[104:35.470] 你好，你看我写了，
[104:38.500] 我去哪做，你常规做ob做养护礼包了，SB做你改了吗？
[104:44.770] 是我现在安全只要是小汽车感觉打听之下，你做完了给我发一个微信号吗？
[104:50.440] 发一个什么企业微信，
[104:53.590] 告诉我的看电影。
[105:04.100] 电脑
[105:04.800] 的。
[105:07.960] 及时
[105:10.470] 上面要
[105:39.880] 老A
[105:41.370] 小屋新房里都有保险。
[105:46.440] 有，你帮我看一眼是不是保险柜的？
[105:50.300] 我现在不敢了。
[105:52.720] 我作为预收开票费的
[105:55.240] 那个案件，你看是哪个堂客
[105:58.990] 等。
[106:00.560] 对。
[106:03.520] 行，一会我让他上来
[106:06.350] 来玩来丢。
[106:08.050] 过来了首先
[106:11.640] 听到8月1号。
[106:13.960] 对。
[106:17.010] 行。
[106:18.950] 出去培训。
[106:21.480] 身份证原件。
[106:23.860] 8月1号是吧？
[106:27.950] 你们吃饭了这边。
[106:29.720] 二在哪的？
[106:31.520] 在会上你等一会只有8分那个认识吗？
[106:37.070] 不去了，这是这两个卡，这个也是卡。
[106:41.480] 是闺女的保障卡。
[106:43.310] 主要其实。
[106:46.230] 有正常的房子。
[106:47.720] 他就说。
[106:48.660] 还有二十几月。
[106:49.810] 三年
[106:51.700] 这样的事儿就行了。
[106:53.440] 后面的事。
[106:55.790] 小雪您说一下是吗？
[106:58.630] 因为。
[107:00.200] 留一个人没脸了。
[107:01.820] 我拿出去不去去不了了。
[107:07.090] 这个是吧？您说的是吧？
[107:11.190] 再说。
[107:15.080] 不用我拿了拿给拿回来。
[107:18.160] 号。
[107:19.120] 帮我打电话。
[107:24.550] 大数据
[107:29.010] 拿
[107:30.380] 点菜了。
[107:34.010] 谁？
[107:37.480] 上
[107:42.710] 打开了以后没有。
[107:48.240] 2A直觉他有吗？
[108:01.770] 次
[108:03.150] 张
[108:06.140] 的
[108:23.960] 这部分资产7就这么费劲的，
[108:28.090] 对股东疯狂的。
[108:33.630] 谁知
[108:38.960] 不用翻，
[108:40.150] 那不对。
[108:57.080] 我们宁可错，
[109:08.250] 基本上没聊。
[109:10.880] 到时候赶快
[109:14.430] 这功夫你
[109:17.670] 那时候你划得来，晚上吗？
[109:20.650] 这边真的守着了，这合同怎么办？
[109:26.790] 你这个时候
[109:28.840] 廉洁那是吧？
[109:32.470] 比方说
[109:33.610] 你手机注册板子的公司，
[109:37.800] 我收据上就少一个0
[109:42.360] 百什么钱1万，对成绩对。
[109:47.000] 咱们送那钱是一样。
[109:49.120] 他说
[109:50.280] 少了，我是不是手里费用的收据？
[109:53.350] 十分你报了129,000了。
[109:56.480] 保有漂亮。
[109:58.840] 然后您车票没开怎么
[110:03.670] 施工？
[110:04.850] 我不用编号。
[110:08.210] 您微信注册让答案得利，集团公众号。
[110:14.400] 关注一下是吧？对，然后发点东西。
[110:17.960] 等一会儿开车来。
[110:21.340] 基本到头了。
[110:26.200] 8点了。
[110:29.130] 回去
[110:30.680] 告诉你买了多少钱，明天他一会儿会吃饭的时候跟你说，
[110:37.680] 参加到时候
[110:40.160] 回家吃了1点吃了，
[110:45.690] 我只能说还没赚多少。
[110:48.690] 工行卡里剩多少张纸？
[110:51.390] 刷连着刷25,000 25 25，剩下就是从这工行卡里面了。
[111:01.900] 万。
[111:04.280] 把稍微点儿三是那个是吧？
[111:10.650] 对是的。
[111:23.760] 密码错了。
[111:25.130] 两个密码都错了。
[111:28.290] 你说哪个就知道听到了？
[111:34.250] 三
[111:36.760] 940602，对我再重新输一遍。
[111:42.970] 2万时间。
[111:46.880] 你先吃饭去，不是快等会
[111:49.460] 跳他就走了，完了就完了，回来的时候我对
[111:54.140] 他那车主身份证在这。
[111:57.030] 到时候拿的时候把这条给你看，对。
[112:00.500] 后两次了，你再想想再说吗？
[112:03.100] 这样你算一下。
[112:04.490] 算一下书别的先刷那张。
[112:08.790] 2002
[112:13.840] 给他打电话撒娇。
[112:16.560] 好小算是真的是。
[112:26.280] 您先用另外一张卡，另外一张卡的密码您知道吗？
[112:34.550] 2003 NB714713。
[112:43.080] 您对
[112:59.270] 怎么讲？
[113:00.600] 完了。
[113:15.760] 签那个村。
[113:23.950] 对。
[113:32.680] 对，稍等一下。
[113:34.480] 但是最后一次就要刷对了，知道问一下。
[113:39.390] 可以了吗？
[113:41.460] 远远
[113:43.180] 你的问题。
[114:09.910] 这个要不对？
[114:21.200] 最后一次
[114:22.770] 这一块
[114:29.360] 他
[114:30.430] 还有电话。
[114:42.350] 确定了两次，
[114:48.540] 谁知
[114:51.150] 确定吗？
[114:54.520] 如果不转了，
[115:00.790] 再想想，
[115:01.860] 你们知道他们的感觉
[115:06.120] 在干嘛？
[115:07.130] 二。
[115:08.580] 所以谁知
[115:10.680] 行了别说了，人家找人快点上网的说。
[115:21.480] 看看你。
[115:22.280] 还是
[115:23.690] 还是还要确定一下。
[115:25.700] 昨天
[115:32.820] 这来了干嘛？
[115:37.390] 还没说。
[115:43.450] 楼上
[115:47.810] 还是单位。
[115:52.020] 然后
[115:53.550] 我发现
[115:54.990] 谁知
[115:57.610] 没事了。
[115:58.810] 一般的人。
[116:06.230] 好了没有？
[116:07.590] 一下。
[116:09.230] 好，
[116:11.260] 然后
[116:15.000] 这个吗？不是再梳理去。
[116:18.600] 好勒。
[116:21.400] 说了咱们这行不行了？
[116:25.170] 好吗？现在那先生您稍等一会，他那边给你按一下。
[116:37.600] 好了可以说了。
[116:39.230] 三
[116:40.040] 谁知。
[116:42.550] 什么待对不对？拿了。
[116:48.000] 好，
[116:48.790] 他还跟着孩子。
[116:50.720] 你真真的
[117:02.690] 三个字。
[117:03.910] 这个查一下。
[117:18.940] 对。
[117:21.770] 谢谢。
[117:22.970] 行吧？
[117:25.670] 我先挂了。
[118:13.600] 还需要有一个是吧？
[118:18.960] 你看我投了礼拜几？
[118:21.590] 我休4天，这里我也行3天，
[118:24.550] 而且我这个礼拜歇一天上两天，
[118:27.290] 在里边到时间，
[118:29.960] 太辛苦了。
[118:31.310] 对咱们了，对。
[118:34.960] 我让客户来签字是吧？对我的妈妈吗？
[118:39.250] 我还没看到，我还以为是我要让他来的，没事我等等。
[119:07.090] 了。
[119:10.520] 钱没有时间的算四48,000 35 4万多。
[119:16.830] 行，当然有这种8800。
[119:19.810] 然后您说一下您这张什么名字着互相放松的。
[119:25.110] 看到
[119:32.120] 瞧瞧什么求改进的。
[119:34.740] 幸福图首先密码您直接输密码就行了。
[119:39.560] 的。
[119:40.990] 到收盘。
[120:04.970] 但今天
[120:14.040] 应该练过书法。
[120:16.020] 没打电话没有了。
[120:22.710] 向后面人写的都好看。
[120:25.350] 我特别我爸爸写对我先简单的一道，咱们这边我也北京了，我写字好看的一个。
[120:35.170] 你稍等还有一个手机。
[120:37.590] 我爸文化水平好像是初中写字特别漂亮。
[120:43.770] 没事，我过去谁知写字对我有时候一写完字之后，他老说我了。
[120:50.330] 他说我写的不行，他让我去买字帖你知道吗？老师彰显。
[120:56.460] 尽量开咱还得张收据稍等一下。
[121:10.900] 今天
[121:12.250] 身上了，你到那边就得开税票吗？
[121:16.920] 两个。
[121:18.520] 好好我弄丢。
[121:22.860] 给人开票。
[121:25.920] 你现在开大上。
[121:28.120] 我开玩笑你开要不然您需要去卫生间什么的吗？
[121:33.600] 您就等会。
[121:34.900] 快。
[121:38.160] 回去小贩您回那边行，还有一个签字，我先看一下。
[121:44.150] 我先签完了你在。
[121:45.950] 您签完了。
[121:49.120] 我当老师完了手指是吗？别印的，我会拿其他的话8项，
[121:59.090] 我当医生在这边签我的名字蓝的
[122:02.520] 号。
[122:03.400] 你来看一下，
[122:08.800] 这边的名字，然后这两张都还给你了。
[122:14.170] 然后第一代可汗
[122:25.030] 让您打掉了。
[122:33.750] 800。
[122:35.200] 对。
[122:36.320] 6
[122:41.950] 今晚也去了，然后还是。
[122:47.510] 13268
[122:49.670] 34321。
[122:52.560] 等一下我们打电话，然后咱们看看一会上车。
[122:57.340] 什么还是您先吃饭，您在做，要吃咱们就一会让您先吃饭，吃饭咱们再讲，说好行。
