[00:00.000] 5月5号就算出去，董先生33
[45:47.150] 那个东西别的没有了，这4个就是4个差4万价格下来差3万多4万。
[45:55.440] 这个是三元豪华的，这个是300万对。
[46:01.570] 然后2.2。
[46:04.640] 动感的话，比如说将近便宜超过3万块钱是吧？对差不多是吧？
[46:09.040] 41万差不多，就是锁车的时候，他们耳朵都会收着能收
[46:15.350] 倒车影像、电动尾门、双耳朵，
[46:18.130] 自己刹车、自动泊车，全都有360度全，是不是只有300豪华顶配才？
[46:25.880] 对，其他都没有。
[46:30.940] 办都是在这很多您平时L的。
[46:37.790] 华她倒车影像是有的就够了，
[46:41.860] 对吧？
[46:43.480] 刚才咱们开始20L对您平时用这种特别智能的这种功能，您用的多吗？
[46:49.720] 我觉得这种
[46:52.200] 我技术不是特别高的时候有，当时也像咱内乡有，然后自己刹车也有，
[46:58.120] 你要注意力不集中，帮你刹车可以，
[47:00.270] 远远
[47:02.300] 拍拍
[47:04.460] 的。
[47:07.870] 句
[47:09.000] 数据
[47:10.530] 场。
[47:12.160] 场。
[47:13.440] 还有
[47:16.490] 远。
[47:23.280] 想的豪华版
[47:28.550] 和动感版，还是你刚说的还是多少？
[47:35.020] 国内吱声，谁知
[47:37.310] 跟那个音响
[47:39.970] 还有在这三个的基础上再加一个这个是吗？
[47:44.080] 320的动感，他没有260L的，这个是你说豪华版的功能的。
[47:53.190] 300动感当然比260豪华功能多了。
[47:56.690] 对。
[47:58.240] 我还是选择功能。
[48:01.780] 多那些功能你得看看对实际情况对男友没有必要。
[48:05.210] 我跟你说的那个点对踏板
[48:08.330] 对吧？
[48:09.370] 然后小三角的车道偏离辅助系统，你说那个是能选装的，
[48:16.180] 悍马的话平时还要多的玛丽，没人你可以试一下，你坐那个车你下车，你现在可以感受一下，你的腿特别的爱是，
[48:25.740] 因为你还会割稻，还会它有一层象不象高的时候它会踩一下，因为大
[48:31.570] 我觉得满的，
[48:33.650] 你别下方，因为你要抢完这人生的太高了，人家都上了比那车都高了，
[48:38.980] 没有人睬他上去肯定没有，你下的时候也没必要了。
[48:43.280] 因为那个车你下来，而且你要家里有个老人有孩子，所以不方便。
[48:49.390] 对，容易就很容易不方便，你要腿迈得很远得才能卖出来，你很憋够长还得啥？
[48:57.110] 下去了就没事。
[48:58.610] 那个时候觉得有必要吗？行，我已经了解差不多了，谢谢您今天让我了解了。
[49:05.710] 出来还有什么其他问题跟顾虑吗？咱们？
[49:09.240] 你说什么出来还有什么其他问题吗？咱们没有了，这边不是有您电话，到时候拿着我应该身份证名片，然后完了之后
[49:18.180] 后我们留这个电话我再给您打，然后您可以对您可以把这个电话给他们一下，因为我的名片是咱到时候要是买的话，就直接拿着身份证过来就行了。
[49:28.000] 是不是？
[49:29.010] 他是刚才我跟他说完流程了，流程是得你也得再过来好几次，你这因为是先交基金分支金融的人，因为您不是指标人，
[49:37.460] 你去给您审核资质，您资质没有问题，对两个三个工作日审核下来以后，结果咱们交首付，对三个工作日对还行。
[49:47.250] 行。
[49:48.260] 如果说他们两天的话，三天过来就可以提了，那不一定你看到是没有车。
[49:53.630] 你下车的话就开始贴吧，对下车的话可以自己的。
[49:58.870] 先拿他过来一看一下资质是吧？对行，看征信征信合同不合格，因为后台的话得去给他发链接，填报一些东西，对。
[50:10.600] 行知道了，全款他就不需要，对行行好行没事，我那在这里面都是在然后等等。
[50:17.730] 你拿着也有二维码，有一个节奏，你扫描一个平台不公约。
[50:23.330] 电视您好这电话留您电话是吧？我的电话可能明天有一个24小时会报答给您看，这个电话，您对上午方便，下午恨不得现在哪方面咱们
[50:34.710] 什么打您电话，对上午给我电话好勒行。
[50:38.610] 这边你嫂子评价免费停车，我第一没有我刚打完那会什么。
[50:43.850] 您刚才扫了，您属什么时候找的？就刚才。
[50:49.440] 在访问不了，他应该是作废了不少了，事多时间少的。
[50:53.460] 没有多少人，就是刚才我的
[50:57.800] 在做就
[50:59.770] 然后说。
[51:01.740] 行行来谢谢，大家没事儿，赶紧报量再见。
[51:30.480] 然后你
[51:32.070] 你说谁你问一下你给张建军打电话了。
[51:37.800] 要点赞点赞。
[51:40.120] 然后有一个
[51:43.570] 版
[51:48.110] 看
[51:51.520] 数据。
[51:53.500] 张打电话。
[52:13.190] 一
[52:15.130] 到
[52:23.240] 然后
[52:32.820] 的，
[52:35.000] 还有
[52:37.320] 最低配。
[52:40.550] 应该有。
[52:46.190] 越小。
[52:53.640] 的
[52:54.660] 数据
[52:56.830] 一下
[53:08.250] 数据。
[53:13.180] 的
[53:16.340] 场
[53:20.470] 号。
[53:24.530] 场
[53:28.260] 号。
[53:32.160] 10
[53:35.080] 的。
[53:38.850] 对的箱子网站，
[53:46.630] 然后
[53:49.500] 签署合同，
[53:54.150] 先签完了以后打印出来，
[54:01.730] 山口本人的名。
