[00:11.200] 看您
[45:02.520] 做两个
[45:07.250] 您稍微休息一会过来找您。
[45:11.940] 还有我想说做好了，
[45:16.560] 上班第一天先选200，
[45:19.740] 超市好不好？
[45:29.680] 二
[45:31.120] 五
[45:34.390] 要
[46:25.250] 你好
[46:30.050] 您现在
[46:31.520] 我想问你就是心跳给您做个报价，对，我就想知道有一个报价。
[46:38.250] 我给你打一报价单，行，您坐这艘就把几分钟的时间我给您做一个报价单，您早就。
[46:43.630] 您的意思就是说180
[46:46.910] 相对于更划算一点，反正我觉得您要是
[46:50.280] 最多两年
[46:51.920] 是两个234班，一个2398，一个259，差2万块钱。
[46:58.030] 就大间砖，然后放到一公里高点差点配着。
[47:01.320] 您看您觉得有用吗？其实我们天花自己车天窗也不怎么开，也用不上。
[47:08.280] 我不喜欢，
[47:09.730] 我总觉得有了天窗特别不安全，
[47:13.000] 他不要把
[47:17.120] 说上面怎么弄，但是现在现出来就白色和灰色的。
[47:23.180] 然后蓝色你要订的话基本上得半年左右，有什么半天，
[47:29.580] 因为没有资源，要不然你就地儿买，就带您看现在可以卖，
[47:33.420] 然后要卖了，如果路上没有资源的话，基本上就变成半年左右，三个月到半年。
[47:38.800] 因为它是进口车，
[47:40.400] 然后从情感定，然后再排期在朝阳过来，过来可能时间会比较长。
[47:45.330] 就这样，对，所以说他不是说亏的也可以。
[47:50.930] 行，稍等我们做一下。
[47:53.190] 在这眼睛不可能下面的时间，
[47:56.230] 哪个价格要便宜点？
[47:59.210] 他向往的严格天猫，
[48:02.530] 还有别的东西，比如说大灯
[48:07.240] 才能饮用，感受不了，还有呢？
[48:14.190] 没了，性别。
[48:17.030] 然后刚才自卑感180要差一点，
[48:22.850] 我也
[48:25.040] 您这里要啥推这个又不是小年轻，还跟标志。
[48:29.780] 张庆珍。
[48:31.760] 你不知道？
[48:34.020] 我没有
[48:35.640] 家伙这么
[48:37.160] 那钱就都装了。
[48:43.320] 反正是
[48:44.640] 就好像是那辆旧黑色的。
[48:50.400] 尔要那没戏了。
[48:55.490] 五
[48:56.790] 差不多。
[48:58.050] 28,000。
[49:01.430] 就是一个作家热，但是我们这有
[49:10.140] 平台。
[49:13.770] 那家的配合你买
[49:19.370] 的
[49:22.590] 看设备，然后这边有点辛苦。
[49:25.990] 点别的不说。
[49:27.810] 我觉得这种感觉的
[49:31.780] 操作了，我每次做报价
[49:36.000] 慢慢的放慢的
[49:39.350] 这种
[49:42.140] 像AT这种那种小车会比这个空间感还要差，头顶空间也
[49:48.830] AP和您A系是一样的，少一个屁股。
[49:54.710] 是这意思也是
[49:56.880] 价格
[49:58.290] 跟差不多一样。
[50:01.580] 就一个强调外观的，就看起来好看，一个强调更加实用了，就像D级车，
[50:08.090] 就是说舒适性各方面都比较。
[50:11.440] 这不是问题，这不这个问题。
[50:15.610] 200座椅也不是全皮的，
[50:21.710] 也不是你要怎么说。
[50:24.440] 我还他
[50:28.170] 他叫张照片发过来，医生
[50:30.040] 回来好吗？
[50:51.400] 我的意愿情况。
[50:52.580] 等一下。
[50:53.700] 在人。
[50:56.760] 了
[50:57.650] 一
[50:59.710] 家长
[51:24.590] 海淀
[51:26.170] 元元没了，
[51:32.430] 但是
[51:33.540] 您那没有就车了。
[51:36.020] 相当于指标已经腾出来了对吧？
[51:38.870] 我是有一个指标，还有一辆旧车吗？没有想好好吗？因为现在旧车是爸爸的名字，
[51:48.010] 反正他要你要是说有一修车来店里做置换，还可以额外再给您贴2000块钱的保险，
[51:53.500] 但这个前提是救护车的价格，我们这里可以给您免费做一评估，你要是觉得合适咱就放在那，不合适你可以到时候不用换。
[52:01.570] 我这个先不给您写了，我给你写上这个号，我也有指标是吧？
[52:07.370] 这说明什么问题
[52:10.890] 的？
[52:12.380] 我没问那个问题，你随便瞎聊闲聊天。
[52:18.870] 先生我问您题外话，咱们奔驰厕所马桶有出现过坏，就是水箱漏水出现孔您在这个地方
[52:28.510] 没有吧？
[52:29.890] 你帮我装修小庄的喜欢的马桶，
[52:34.290] 不可能去看看，但是门口的标准堵了，所以
[52:40.070] 我就没看。
[52:42.360] 没出现过，没有可能出现过，我们不知道也可能有这种情况，但一般我们公司都有物业，
[52:52.600] 但这东西应该没拆，没有说有特别的那种情况，电装了多长时间？
[52:58.650] 10年了。
[52:59.640] 10年了。
[53:02.600] 你这店原来这有就有了，有吗？
[53:11.080] 有，你记得原来这边最开始这边是有一个汽车城，
[53:16.140] 那次星桥有是有过。
[53:19.560] 等买第一辆车的时候还让他看过车。
[53:25.780] 在长春桥那边。
[53:28.110] 地区您这是倾向于分期还是全款？
[53:31.760] 我想成分期有什么活动吗？特别第一利率，首先分期你要是考虑分期的话，咱们有服务公约等细分行业奔驰的第一个没有任何分期服务费，
[53:41.190] 您就需要自己花点利益就行了，利息都会特别低，比如说您可以304050%，然后贷款期限2~3年，
[53:49.930] 然后看您个人需求利息几千块钱，比如你在两年5%待两年，可能也有几千块钱的年利率是多少？
[53:56.150] 0.9有过1.6个。
[53:57.640] 年化利率
[53:59.520] 还这么低，我肯定飞机。
[54:01.910] 对他分期没有手续费，只有利息。
[54:05.640] 利息好这属于费心，因为房子的事儿
[54:09.570] 不是座机盖哭那阵。
[54:12.930] 随着商业怪你都是那么熟，虽然觉得你利息低了，但是还是收单收一笔手续费。
[54:20.730] 咱们有手续费。
[54:22.360] 咱们不收您手续费，不收手续费，对没有回去对那年哭分，对银监会不是银监会是有收费。
[54:32.330] 文案有没有扣费，费用不能收。
[54:38.640] 我给您做一个回头您可以考虑去的。
[54:41.850] 现在大家都主流是分期，
[54:44.840] 是吗？
[54:46.510] 利息是多少，我给您算算您觉得合适你就做，不合适可以不做，这都没事。
[54:56.760] 判断
[54:58.040] 工作
[55:00.690] 8:09了也。
[55:02.330] 2.06万三。
[55:05.010] 年利率。
[55:07.830] 分几？
[55:09.160] 50%吗？行吗？我给您算一个比较合适的，觉得合适您就做，不合适可以不做。
[55:16.760] 1.57。
[55:21.500] 二
[55:26.910] 这几年两年的两年，
[55:37.550] 年夜。
[55:42.520] 来价格给您做完了，然后再给您说一下，因为
[55:47.870] 做这个报价刚才跟您提到了奔驰服务公约，所有报价内容都是明码标价，公开透明，决不肯鲍教授强制消费全部使用假证一次，工号400881 800 4000多，
[55:58.050] 这个是全国统一模板报价单给您做一个报价。
[56:01.520] B180时尚型颜色外观没关系，不影响整车价格都一样。
[56:05.960] 车的指导价239,800，优惠55,000，
[56:08.980] 优惠完了184,800，
[56:10.890] 购置税1万多块钱的税，
[56:12.720] 套餐的我给您标注了，这没有任何必须的，13,800套餐就是我们店里有这种服务，
[56:19.080] 验车有一个2500的费用，
[56:21.580] 然后人保、平安、太平洋，如果下边这些险种您都上传了，大概在8000块钱左右，
[56:27.000] 如果说您做了13,800装饰，送您4000保险，您要不做这两天就可以去掉了，好吧？
[56:33.120] 如果你要置换，我们也可以给你2000块钱的保险，但前提是那救护车你的房间里您能认可这个价格。
[56:39.180] 如果说旧车这个价格我没给您算，包含装饰验车上牌办结了221,040价格，
[56:47.050] 就存在my对就已经说你要交221,400，包括说的验车上牌装饰所有东西全OK了。
[56:54.070] 这13,800装饰包含的项目，全车的维度贴膜、脚垫、后备箱记录仪，就这些东西行车记录原厂副厂的，但是至今尝试了，
[57:03.530] 原来我们售价都是3000多的，不会走，
[57:06.950] 反正就没有限制了玩，然后也随它吃饱了。
[57:10.450] 然后首付比例给您介绍了一种方案，是按照184,800 50%，首付9万多贷9万磨24期，1月还3900多利息，一共2901，
[57:20.710] 就应该10万块钱带两年一共是2000 3000块钱，
[57:24.710] 5万10万，
[57:26.870] 待两年一共是3000，我一年才1.1.5左右。
[57:31.760] 贷款合适。
[57:34.090] 大家其实都是这款，对，因为有个车型我们给您推荐的话，它的利率来说相当于没有，而您10万块钱您随便投银行，您做两年按最低点3~4个理财，
[57:45.830] 您还能拿个七百千八是不是？因为我就先首款付13万块钱，在再减去车价几万块钱的事，
[57:54.640] 您可以把车开走。
[57:56.280] 多少钱？
[57:57.960] 每个月约还个三四千块钱，我觉得也没什么太大压力。
[58:02.070] 就当给自己存钱，
[58:03.740] 而且利息也不高，也没有手续费。
[58:06.350] 你像咱们刚才您灰的和白的到店多少时间？
[58:10.560] 灰色的说实话就那一台了，在我们店里处理的是45天，然后那展车是吧？
[58:17.430] 12月11号生产的，5月20号到店的，因为进口车到店日期都得需要半年左右的时间，
[58:23.170] 然后在门店里不停是45天，
[58:25.520] 然后白色这一款是12月10号生产，然后5月18号到店做邻是47点，
[58:31.730] 就这样。
[58:33.140] 然后如果说白色的，我们外边也还有说说你要的话也可以，我多白色的偏教材肯定你想买车肯定想买的是吧？你别买样车，因为说实话这车车小，
[58:47.860] 然后我们一般发的量都是白色为主，大家都是百度，但我们的展车轮速度都比较快，连廊灰色的应该是钱，
[58:55.170] 四五天左右刚上去，有的客人看见了合适就直接开下来，然后我们展车说实话也不便宜，是因为什么？
[59:02.240] 第一呢？
[59:03.110] 没买太长时间向您说其他课程可能做过，但是我们旗下人民做过一层像类似于
[59:08.830] 打蜡工作的处理价值也是差不多1000块钱左右，因为我是看着双机一直就那么开着电瓶，不是也有Top的吗？
[59:17.850] 通过几次电我们都认可，因为车展中你放展厅有客人看，然后
[59:24.860] 会重建成本，它不会影响说您会被这个店这不会了。
[59:30.320] 没关系，有建议您可以不考虑，你可以考虑外面的课就行了。
[59:35.790] 多了还是买房，买白的也可以买也行，咱们外边有白色的，有新的。
[59:47.490] 就一个公示板，回头到时有需求你可以看看，然后
[59:51.560] 这个用户要看您。
[59:54.110] 所以说整个价格上您没有其他疑问，您这要想今天预定，因为很多都是我们店里都会多少有点波动，您要觉得合适，我可以给您问问，看能不能再给您优惠点，就是您朋友的时候
[60:05.670] 活动空间上应该还有点，但不会特别多了。
[60:09.080] 小便小几千就短，也就这样吗？
[60:13.830] 有没有没有可能送点什么保养那种水准，应该因为这个车厂家没有养护礼包，我们就送不了您。
[60:21.530] 如果要单独申请，只能
[60:23.800] 说实话我能送您的情况下，要不然就车价少，给你优惠个一两千，我也能送您一。
[60:29.570] 但里外里都是您的钱是来道理是一样的，保养有那种多少钱，刚您说意外几年，包括保养没关系，
[60:37.680] 还有
[60:38.910] 我们上次开过这个方案还没有做出来，集团正在做，
[60:42.600] 大概应该是6000~8000左右就可以储值，
[60:46.440] 然后相当于终身保养了，就14应该是10年15年之内您都不要花钱，说是整整5年了，3年
[60:55.590] 3年限不能有4年了，3年不交钱。
[60:58.340] 对，你要是选择考虑延保可以延到5年。
[61:01.260] 年报有增长没有费用大概是8000多块钱，信托差不多，因为正常是16,000多，新车可以打一折扣，差不多是80年。
[61:09.000] 在前两年有一个什么食品专业的吗？
[61:12.910] 没什么其他顾虑了。
[61:14.440] 没有，您今天您这个价格单你可以带走，但是下方有个二维码，被告提供约在先调研，
[61:20.940] 证明咱们店里没有任何捆绑，都是您自由消费，到时您用微信帮我们扫一下，反馈一下就行
[61:25.880] 了。
[61:26.750] 公司19是这样，
[61:28.280] 留的电话是谁的？是您的邵先生，然后我明天给您做个例行回访，您一般接听上午方便，下午方便，行。
[61:35.670] 好，后期的话短信微信电话您这有需要咱们再联系好吧？
[61:40.700] 好没事您客气，感谢光临。
[61:45.130] 没事我来吧，你没过去一会您去其他店吗？
[61:48.620] 对，您来转转看看，没啥说过来了。行行。
[62:00.570] 现在开始市场随时一下
[62:02.840] 好像啥都没买车了。
[62:06.690] 好行，谢谢您，没事您客气了您看着。
[62:13.410] 好，感谢光临二位慢走您没事，你过去了。
[64:49.720] 快乐。
[64:50.800] 所以这就是大自然。
[65:07.280] 其他的
[65:08.400] 要是
[65:11.120] 谁知
[65:12.760] 不能
[65:14.320] 包括才能搬家的。
[65:17.910] 说实话咱们那个学校我觉得
[65:21.650] 不可能家庭买
[65:25.000] 他们一起
[65:37.090] 点
[65:39.400] 的
[65:42.490] 吗？
[65:43.740] 数据
[65:46.160] 商场
[65:50.470] 重点
[65:52.850] 都没有坐车，眼睁睁你多少分拿了
[65:56.520] 欧洲是什么教授原则？
[65:58.440] 它最终还是给你。
[65:59.910] 状态就是我们不交科，院里边有临牌，他们就周一到周五上班。
[66:03.990] 苹果寻找着工作。
[66:06.700] 休息的，下午今天他应该有周六上班有事联系好吧？
[66:13.770] 困着我这点正常这点我就算是了，电话我们应该下午回宾县，你们这两天周六日上班。
[66:24.210] 按照你明天一块角色去深圳了。
[66:28.360] 来。
[66:29.680] 是不是何必咱们折腾，虽然离得近，
[66:31.920] 你要想拿不能证明深圳在金融面人一般碰到一头就完了。
[66:37.730] 放心。
[66:41.950] 如果顶那时候好卖，顶数倍大哥。
[66:45.890] 你这么想你数不够，你也拿不了满分可以免，一样的你装饰类的再多给你打5%折，
[66:53.530] 不是在卖坐车的让你卖，问问能卖就卖管。
[66:59.590] 对装饰50万他说的。
[67:02.080] 你算你装是50万，你。
[67:04.550] 卖你卖20万，庄子给你打一个。
[67:06.380] 50万还是10万块钱？
[67:07.850] 10万块钱你再提10个点，反正那点钱一样的。
[67:12.050] 你说完不成。
[67:13.680] 他要100分配。
[67:16.350] 你要时刻折以下，你一分。
[67:18.160] 分一点。
[67:18.880] 眼前都没有这么做。
[67:20.190] 的
[67:21.310] 胜算差不多的。
[67:23.230] 各占百分。
[67:23.860] /50，不是各占50%。
[67:26.840] 他甚至
[67:30.070] 个。
[67:30.610] 后边有多少乘以多少吗？是你。
[67:34.800] 面多少分，应该说你测60分，
[67:37.210] 你达到。
[67:38.200] 100分了，你考试6000块钱。
[67:41.160] 而你现在是80分，所以。
[67:42.850] 了。
[67:43.240] 88 80%的好着。
[67:45.140] 再重新点。
[67:48.060] 可不是说这个没给你装打折的，这不是打击模式给你说说。
[67:52.320] 前打折对。
