[00:01.540] 银行借贷走走5点现在开始。
[47:07.230] 刚才试驾的是和华北地区。
[47:09.740] 对二楼阳台滑
[47:12.280] 买豪华版，下一次的我就给您做na加C26能动改行吗？您看行吗？好吧？
[47:17.900] 什么车道保持自动刹车什么的都有，主动式制动有，但是车道保持的功能没有，
[47:24.670] 盲点辅助也没有。
[47:26.100] 对，这些功能是没有的。
[47:28.480] 但基本上您要买的跟展厅黑色那款是一模一样，那款就是动画型。
[47:34.070] 对，您先喝点饮品，然后稍微等我一会2~3分钟，我给您算一报价。
[47:43.560] 您还是倾向于黑色吧。
[47:47.210] 是吧？
[47:58.460] 七
[48:00.150] 谁知
[48:03.540] 现在不到
[48:06.530] 敞篷跑车买东西。
[48:08.980] 就图片。
[48:10.390] 小明多少钱？50左右50对，但有sl评过一点那100多。
[48:19.130] 感觉。
[48:20.890] 我们来看看你刚才
[48:27.260] 1310.5T4
[48:29.730] 刚刚完成的
[48:33.340] 准备
[48:34.560] 需要的那种推背感问题
[48:37.920] 就行了，你加速可能也感觉到
[48:44.680] 加速。
[48:46.370] 没有那房子你好起来，你还能够
[48:51.680] 所以你就感觉不到有的家没有拖累的受。
[48:56.480] 不是人家那车好车不就自个速度起来之后也不会把你用一下可以了，你要是彩页
[49:04.390] 抽烟不错还是。
[49:09.340] 您这倾向于分期吗？
[49:11.850] 分期全款算一下。
[49:14.190] 区别都一样。
[49:17.620] 对，
[49:18.920] 确实
[49:21.470] 场
[49:22.440] 百万。
[49:30.680] 数据
[49:31.890] 场
[49:33.800] 的
[49:36.370] 场。
[49:40.420] 的
[49:47.230] 数据。
[49:51.200] 的
[49:57.000] 的。
[50:27.320] 50%的可以吗？
[50:30.030] 5%还是30%？
[50:33.440] 30%咱们这三年
[50:36.240] 行吗？还是两年？
[50:37.910] 三年。
[50:41.170] 三年两年你们都有利息，奔驰是这样，没有手续费，但是都有息的。
[50:46.830] 都是有利息的，就是利息这方面需要您得自己花这个钱。
[50:51.130] 多少钱，所以马上就我给您算好了，您稍等。
[50:57.520] 月环是7000多，然后利息一共是2万多。
[51:01.200] 三年咱们贷的款项贷的金额是25，增加25万。
[51:06.320] 在三年
[51:07.960] 换算成银行利率的话是2.9，
[51:10.610] 一年差不多29不到3，其实相对来说还是比较低，
[51:14.440] 是吧？
[51:44.140] 价格给您算完了，
[51:45.720] 然后做报价之前的孩子一样，
[51:48.680] 所有的报价内容都按照刚才跟您提到的服务公约，就是明码标价，公开透明，绝不环保销售强制消费，绝不能在这也是正好4008181爸妈一起监督我们，
[52:00.110] 这个是全国统一模板一块钱来给您做的一个
[52:03.240] 报价加入C260动感性颜色外观不险种的价格都一样，
[52:07.920] 车的指导价394,800，我们现在优惠的话优惠45,000，优惠完了是349,800，
[52:13.370] 购车税300多块钱的税，优化的价格除以11.330959，
[52:18.240] 然后你要考虑在这里验车有一个2500的，
[52:21.520] 这个没有任何强制条件，你要说你自己验也可以，我们不收您的钱了好吧？
[52:26.070] 人保、太平洋、平安这几个保险公司，如果下边这些险种您能挣钱了，大概13,000左右，如果您要是换的话送您6000保险，前提是您的就说
[52:34.920] 如果在这里提供完以后，如果您价格了价钱合适，您要放在这置换不合适，
[52:39.820] 您自己外面卖这6000也没有了。
[52:42.920] 办结了39，
[52:44.330] 全款就是39，
[52:47.030] 然后您这个月开票送您一夜1B下个月甚至以后送个什么东西送您11B就相当于送您两次保养2万公里，A不就是手稿吗？
[52:57.160] 对但是奔驰没有首保免费对吧？都是需要付费的。
[53:02.140] 然后下面就给您列举的金融方案是30%，总不应该时代24万多，
[53:08.570] 是按照车价的30%走，然后带36期月还大概7000多块钱，
[53:14.630] 10万要是加上税保险上班可能交到4400万，不是，我的意思是说我只需要贷款，剩下的贷30%我要供70%。
[53:24.430] 你说我带你给我写的是
[53:27.100] 是，但首付30%了，对，我要首付70%。
[53:32.200] 707在两年还是对两年就够。
[53:37.680] 裸车价的带是吧？
[53:41.140] 你还老头嫁你要这么贷的话，首付24贷10万块钱，在两年利息一共是5000块钱，
[53:48.120] 月环是4000多块钱
[53:49.580] 了，两年才两年一个月还4000 45004500 4500，
[53:55.580] 一利息一共就是5000块钱4900多，我两年多花5000块钱，两年他花5000块钱，然后没有手续费，
[54:02.550] 然后等于我贷了贷10万块钱，其实我觉得现在是这样，手续费跟
[54:08.890] 对，因为你就是背着抱着一边沉，
[54:11.400] 但是你有的品牌是U友手机可以有利息，
[54:14.390] 大部分都是只收手续费，没有利息，我们这儿原来是有手续费有这意思。
[54:19.400] 但是都是公式给您，但是我那个是付多少钱，付二十几万二十四，
[54:24.840] 24加加税保险办齐了得二十七八将近二十七八八差不多就等于39万贷10万吗？29在
[54:31.470] 先教他28 29就这样子，对，然后车您就可以改造，然后我就带10万块钱了，双年代两年10万，前两年我一个月还多少钱？4000多。
[54:41.170] 4000 4500多万4500多还利息了吗？还了三
[54:46.050] 利息一共是不到5000块钱，差不多这样。
[54:52.200] 还行。
[54:53.220] 就等于贷10万块钱，对，相当于在10万估计。
[54:57.480] 然后交二十八93,000。
[55:01.920] 100行我想想，
[55:05.680] 然后所有报价那种门口都有公示有效，您可以看看，其实现在来说价格上优惠上来说也比较合适，就看您要是说
[55:13.450] 应该有一点他们通知哪个店，两公司优惠都不太一样，但是摆设力的优惠
[55:21.510] 是在北京出的名的，要比别人低一点贵一点，你们家的优惠是比别人家少，就是整个欺骗百得利里所有的品牌都比别人家找，
[55:32.500] 或者是跟奔驰比，
[55:34.200] 这根本是有关一是紧张，还有奥迪也是，
[55:38.780] 奥迪或者一会都是这边别的地方都比别的要稍微都只要是北大地的，因为你们是一个集团，对，然后地理位置各方面综合起来它就会稍微贵一点，还不错多一点。
[55:52.810] 反正您看看，但是您要是成交的话，因为今天您可能也静不下来，你需要回去再考虑考虑，其他没什么顾虑了是吧？
[56:00.010] 也没什么价格疑问了，然后这价格您可以带走，如果您确定好小病，到时候价格我给您申请再给您问问。
[56:05.710] 但是我们
[56:06.980] 像您说的我们这么贵，
[56:08.580] 也不是这么贵，基本上有的时候会比外边贵个1000~2000，但有的车型我们确实比外边给厦门车比Y比较便宜，你像我每个月我们店在北京，我们店里在北京的销量是
[56:20.990] 基本上是属于数贸，就是这样就是说我们销量确实占比很大的，上个月我们开了300个票，张跃我们也开到300多家，
[56:28.990] 在北京来说我们还是完成量非常好。
[56:31.300] 行，我先拿着，行，我回去驾驶员有一个二维码，是一个服务公约，在线调研，到时候您用微信帮我们扫一下，反馈一点OK，型号的。
[56:43.770] 这样你先忙一会上去突然自己我在看一下咱那个什么。
[56:48.100] 您
[56:49.500] 我跟你说的用
[56:57.750] 句
[57:00.220] 场
[57:01.700] 数据
[57:06.020] 坏，
[57:09.110] 场
[57:14.040] 五
[57:50.740] 对
[57:58.110] 到
[58:01.170] 坏
[58:08.370] 数据。
[58:11.840] 我给您一个电话，您他干什么呢？
[58:18.310] 吗？
[58:26.740] 场。
[58:33.000] 毛
[58:34.140] 场
[58:37.790] 号
[58:40.170] 的。
[58:44.590] 的。
[58:54.100] 5万。
[58:56.400] 一百二三十万100万。
[59:03.070] 力量
[59:06.490] 说
[59:11.640] 那种卡片吗？
[59:18.780] 你不休息吗？
[59:22.540] 你不说我就赶紧来了，行，来说。
[59:26.710] 没毛病这话说了。
[59:31.360] 是不是停休了你就直说就完了。
[59:33.950] 还有我也不行修。
[59:35.940] 停休了。
[59:37.020] 我们停休，我特意我打电话告诉我停机了，我说赶着我休庭行了。
[59:42.060] 发了电报，
[59:43.400] 我他妈没完成任务可不就得停休吗？
[59:48.020] 这个玩不这月是些个D完不成说这是我感觉完不成我就想歇了，
[59:55.170] 放弃了。
