[00:01.120] 18643178900张先生，
[99:28.060] 又面临奔驰没有免期40多，
[99:31.080] 但立即很低调，
[99:32.690] 一米都不到1点多，
[99:35.490] 有手机费没有？
[99:37.880] 没有力气没有手续费是吧？
[99:41.160] 针织现在手术费不错了。
[99:42.900] 了免了。
[99:48.070] 压低准了，
[99:50.980] 完了以后把放给市场，
[99:53.290] 然后当时解压也没有费，什么费用都没有。
[99:55.800] 这都没有。
[99:56.720] 这几家都没有。
[99:58.450] 那都是海淀支教，都是自个金融这种。
[100:02.640] 西地酸钠什么对不那么严，不像银行似的审批复杂严。
[100:10.180] 所以基本上只要您征信没问题，就
[100:13.790] 这次只要你愿意买，我都愿意敢卖给你。
[100:17.160] 没钱发不了，我说车
[100:24.820] 你们也买。
[100:26.360] 买。
[100:27.040] 买卖门也买的，
[100:29.470] 这样搞别人分支，另外如果有扣除
[100:33.210] 上
[100:34.000] 给这个东西的给完全
[100:39.930] 现在找到类似
[100:41.570] 谁知
[100:56.970] 昨天自个膛
[100:58.240] 完了有事，
[100:59.630] 我处理完了出来以后，我刚进北京就跟我说在郑州又脏一个6块，
[101:07.850] 送给了老班的数量。
[101:09.890] 338180还满意，但是我是
[101:14.440] A200 250
[101:18.730] 270.370吗？
[101:21.310] 晚一点。
[101:22.890] 205之间。
[101:24.440] 在这里不喝酒，按规定
[101:28.050] 也可以
[101:29.100] 凑合的开，没有调好让你开心，原来老花要是我碰到真快，1802的又在采用了，完了
[101:39.950] 最高点
[101:41.580] 一定要把要加糖。
[101:43.930] 问的怎么样了？
[101:45.200] 我这IUIVR南京满匹配，
[101:49.200] 最好的。
[101:50.260] 他们注册夜市北京出版没有底气，也不可以买，200人肯定不满，对这胖子你放在那张照片，
[101:59.770] 那片屁股好看一点是吧？
[102:03.010] 角度也不愁，没有话题你给他吃一下，
[102:06.270] 要不你们付钱，腰包里能给你发一个。
[102:13.280] 你有拓展。
[102:15.700] 有，但是多少都少，二三日里也就这三辆。
[102:19.610] 什么叫空调吹？他俩条飞机都填一个做仔细，
[102:23.730] 他主要介绍最后看其他还不买，你像这条边原价原来都办完47万多，
[102:29.670] 现在卖30多了，对半年了。
[102:32.720] 真是滴太少，他没有既然最好看的是吧？
[102:36.400] 反正就是新款它就变成了圆的就无限行了。
[102:40.670] 上文管难道他就喜欢四四方方的云，特别喜欢。
[102:44.840] 对。
[102:46.550] 哪个速度跟原来方方正正
[102:50.020] 有棱有角的，
[102:51.440] 没钱有钱我给多少直接买到28酒店。
[102:54.960] 谁知
[102:58.570] 等会我们分析同志还得生
[103:01.020] 好好，我马上下去。
[103:05.190] 你说了。
[103:19.830] 哪个快？
[103:20.540] 几个人上午火车，
[103:23.780] 要不主要三不干这块了，我是彻底的不想卖不了钱，暑假干嘛呢？
[103:29.530] 对了。
[103:30.730] 交钱以后想办法的话，
[103:33.400] 大一点。
[103:34.500] 对。
[103:36.200] 等等我到底付钱。
[103:39.010] 对。
[103:40.010] 谁？
[103:42.030] 要加快10号
[103:58.970] 三
[104:00.710] 高。
[104:12.590] 全部在这里了。
[104:16.680] 我理解他们。
[104:17.780] 你要什么把自己的
[104:29.710] 的
[104:34.860] 了。
[104:46.700] 还有也没有？
[104:48.480] 来
[104:49.300] 来看下他在那边在四川这里来吃完饭了乐乐。
[104:54.630] 我想我在吃我吃了吗？
[104:58.560] 我要买点吃的知道吗？
[105:00.280] 可以，我看这是吧，快点查一下。
[105:04.070] 您跟我说要什么颜色的，我查一下黑色。
[105:07.170] 内饰。
[105:08.550] 黑色的什么颜色？
[105:10.020] 那是颜色多。
[105:12.370] 那是好多种颜色。
[105:14.340] 它是什么？咱们看看天商标没带出来，
[105:18.710] 那个车什么轮胎？
[105:22.980] 他都想看我感觉
[105:25.880] 挺好的。
[105:26.840] 开了。
[105:34.940] 那是
[105:36.040] 脸色很不对，但是好多种颜色您自己
[105:39.890] 你说要灰的还是要米色的，还是比较好慢这些东西
[105:44.280] 还比较黑的，我觉得内饰没有黑的东西有，但是
[105:50.600] 反正你要不如果你可以的话，
[105:53.990] 灰的怎么样？
[105:56.470] 就看小样，黑外观是吧？对外观。
[106:03.080] 都是黑的头发。
[106:04.600] 哥巴赫。
[106:06.020] 车里面内饰不要黑的，所以它太沉重。
[106:09.740] 那个情况了。
[106:11.230] 这口气接
[106:12.840] 创伤不大。
[106:15.040] 它太沉重，现在有红色的，
[106:19.260] 就是黑红搭配的，
[106:21.160] 然后还有
[106:23.940] 公的
[106:25.450] 功课，还有一个128能看到什么样子？
[106:29.450] 看看看这小桌上还抱着看二80多辆好像是中板。
[106:35.970] 浅棕，还有一种是
[106:38.180] 泉州就类似于咱们的黑色，对黄黄黄米对黄绿色的。
[106:44.420] 我能去看吗？现场看一下可以吗？然后开车过去去库房这么转的特别远，
[106:50.510] 这边摆不下，
[106:52.870] 因为
[106:54.880] 我
[106:57.000] 还吃了食疗，比如说车的出厂日期，然后有些时候你想不想是想看看？
[107:04.110] 我这能告诉你，我们现在的车都是5月份生产的，
[107:07.830] 没有再往前的，没有特别老的车，然后你
[107:23.610] 过一个时间都
[107:26.130] 怎么说，你只需要看他
[107:29.280] 车的生产时间就行了，您不用特别关注它剥离的时间，
[107:32.760] 出来的话你只能看到每个月来，
[107:35.130] 它不会出现说着玻璃碎了，然后我们再给您换一块，这种情况下我肯定给您告诉您的应该是其实。
[107:41.730] 再一个就是叫什么？
[107:44.250] 忘记好像的是吧？合格证我挣得肯定都有。
[107:49.470] 折腾一趟不知道你就跳衣效率很多时候我看您时间很远，但我可以让你看红色那是什么样的，
[107:58.130] 就可以。
[107:59.120] 红色战友从门口有一个车是黑红，那次打蜡当然也可以告诉你，到处都没有感觉没感觉。
[108:06.370] 团队的可能
[111:21.170] 休息。
[111:22.370] 装了吗？
[111:23.720] 好，11本如果看上去色彩。
[111:28.360] 的
[111:31.240] 远场。
[111:32.490] 数据。
[111:37.070] 产品
[111:38.690] 场
[111:39.640] 数据。
[111:40.760] 坏
[111:48.910] 数据。
[111:52.040] 坏
[111:54.620] 刚才。
[112:06.470] 数据、
[112:14.920] 数据。
[112:16.270] 上海。
[112:20.200] 数据、
[112:22.060] 楼。
[112:25.830] 数据
[112:27.820] 数据
[112:30.870] 的。
[112:35.690] 的。
[112:37.230] 的。
[112:39.150] 完了以后我们看到了现在怎么办？
[112:42.400] 发展。
[112:44.780] 方面，
[112:47.250] 然后就开始了。
[112:51.520] 刚刚你纠结的
[112:54.730] 酒呢？
[112:55.620] 穿一下99。
[112:59.970] 91的你跟张伟一下。
[113:04.880] 小。
[113:07.310] 8小时。
[113:08.330] 19.2。
[113:09.680] 对吧？
[113:10.970] 说咱们那天就是18号那天评估了一个2V4给了105,000，
[113:17.160] 然后这客户他要是来订车的话，他的车估计得下个
[113:22.360] 粗才能到，他那写的是7月
[113:25.310] 月7月份生产的，但是还没到，估计得8月初才能到，咱们这价格还能给他这个价格吗？
[113:32.710] 三千百九十收了吧？
[113:34.630] 然后他把这车给咱，他订车的时候先把车给他。
[113:38.780] 应常这两天没车开着，
[113:40.250] 要不然你再过两天再就扯皮价格。
[113:42.900] 对，他都比这快都比便宜好，那行，我想给他打个回访。
[113:49.900] 没有现车。
[113:57.920] 五
[113:59.890] 了。
[114:02.410] 场
[114:04.110] 数据
[114:09.380] 数据
[114:13.970] 场、
[114:14.920] 场
[114:42.860] 场
[114:44.680] 场
[114:45.920] 数据
[114:48.620] 场
[114:54.000] 的
[114:57.970] 坏。
[115:02.270] 数据
[115:04.520] 的。
[115:15.200] 是吧？
[115:16.190] 不用
[115:16.860] 数据。
[115:20.170] 数据
[115:24.170] 上。
[115:27.840] 数据
[115:31.290] 数据
[115:39.480] 的
[116:18.920] 了。
[116:23.250] 了
[116:41.120] 干嘛？
[116:44.880] 你形容的里面半夜才回来，
[116:50.850] 那就要深圳。
[116:57.570] 谁知
[117:02.560] 你知道吧？
[117:10.770] 近了是吗？
[117:12.130] 欢迎
[117:15.000] 谁知。
[117:21.930] 的
[117:22.720] 黑车最后一排了。
[117:27.730] 我那个的时候有方法。
[117:31.340] 但是当时没标准，它是
[117:33.920] 在这的。
[117:38.510] 数据
[117:45.720] 数据。
[117:49.670] 谁知
[117:52.360] 因为
[117:53.340] 这个是哪个的言行会是什么样
[117:58.910] 的？
[117:59.960] 刚刚的。
[118:04.810] 你这128你这有128吗？
[118:07.390] 这是一个事儿。
[118:09.610] 以前没出过。
[118:13.950] 看见。
[118:16.480] 114红色101是C187是谁？
[118:21.340] 这剧本
[118:23.800] 开过去过七八分钟，反正七八分钟不算远，你说老远的话也得一点点，
[118:30.550] 开过去当中去拿钥匙，然后再去，然后再往回走，这一套去大概得半个多小时，没每天吃饭都我以为哪个什么，然后不是
[118:39.570] 看
[118:41.190] 好。
[118:47.060] 好。
[118:54.800] 包括现在做保养，
[118:56.180] 傍晚马上把车
[118:57.800] 做完，然后帮我带一
[118:59.930] 今天来订车的。
[119:01.150] 你别订一车。
[119:02.750] 然后我。
[119:04.060] A女孩他不好说话，拿着板子不打了。
[120:01.000] 客户、
[120:45.800] 喂能听见吗？过来了是吗？
[120:54.350] 我不太知道。
[120:59.120] 不同意的，那我能让他
[121:00.950] 我带她去找曹哥了。
[121:05.440] 行，你把一定要把我
[121:35.640] 坏了。
[121:36.620] 变得不错。
[121:38.670] 您发过来了。
[122:07.550] 进去。
[122:09.000] 微信号摆在绿灯持，你好，我上周加A他那边有个客户比较着急，他说您这边是对车上有个问题，有什么问题是吧？车辆的使用上面。
[122:18.630] 行，我给您找一下咱们交车上午之前给你讲说专业的东西给您讲一下您现在在什么位置。
[122:30.750] 示范的楼下就是您在一层负保险，
[122:38.840] 是吧？
[122:41.570] 行行那行，我一会。
[122:44.780] 您保养那边完事了吗？
[122:53.330] 行，您就在吃饭的医生我跟您说一下。
[122:58.510] 好了。
[123:02.590] 谁知
[123:09.190] 他们那个是有一个客户说今天咱们讲过了，但他现在来保养验车来了，
[123:14.930] 然后他说他现在有些问题不明白多少再问问，
[123:19.070] 什么问题电话里能不能解决，应该
[123:22.880] 他问问凶手了，我先帮我垫方便吗？还是你等一会忙完了再给他打？
[123:28.550] 收到了，高空说他在吃饭，楼下吃饭，楼下刹车，
[123:36.860] 你给我电话。
[123:52.640] 10分钟。
[123:54.490] 8分钟10分钟。
[123:58.310] 行。
[123:59.200] 我跟他说一下，然后找完了。
[124:03.290] 谁知
[124:06.070] 要不然他不会再聊，他不来了。
[124:09.730] 做正事听完然后练完就回来了。
[124:13.470] 谁能说啥，刚才不要脸了。
[124:16.720] 讲过一次，他说让我想想，我说我不做也不知道啥不能没事，
[124:24.400] 然后也想不会了还是
[124:26.900] 行了，另外有了东西让我把鞋微信了。
[124:30.870] 行。
[124:32.760] 沈女士
[124:35.970] 看
[124:39.610] 这个说讲错了吗？现在的完事就是有一点聊，
[124:45.470] 从那条前台去嗓子，明天没啥没事了没什么，每天他扫一片也能说。
[125:01.990] 了陈女士。
[125:04.520] 全我那会给你打的电话。
[125:09.720] 号
[125:11.430] 吗？
[125:16.800] 数据
[125:20.680] 点
[125:22.230] 给
[125:23.550] 场
[125:24.840] 数据
[125:27.800] 数据
[125:29.370] 的
[125:42.430] 用
[125:45.850] 的
[126:22.730] 号。
[128:04.290] 的
[129:37.640] 数据
[129:38.700] 场
[129:41.750] 场
[129:44.290] 花、
[129:47.750] 场
[129:49.760] 的
[129:53.130] 数据
[129:54.110] 场
[129:56.080] 远
[130:33.010] 车
[131:03.040] 数据
[131:05.880] 的
[131:07.860] 号。
[131:43.390] 你看35
[131:49.070] 把
[131:52.550] 花
[132:05.930] 的
[132:08.150] 市场
[132:15.000] 的
[132:26.330] 的
[132:28.130] 远远
[132:30.890] 的
[132:40.270] 远
[132:42.380] 的
[132:44.970] 远。
[132:50.450] 场
[132:55.590] 远。
[133:00.080] 场
[133:04.070] 的
[133:06.180] 的。
[133:14.510] 对吧？
[133:20.090] 谁知I前6毛钱，然后分期10,832百分，
[133:25.790] 他不光
[133:27.280] 都卖不出去，我们俩都出售，不是这个客户认识，
[133:31.850] 然后分期付了他2000块钱的保险，
[133:35.020] 然后分期置换，然后买了一份买方是验车也自己花钱了。
[133:39.840] 原来相当于这个车子我就蒸了，但优秀的15万块钱，
[133:44.830] 我已经没有睡了手机的255,800万 8800多万了，爸爸差2000不
[133:53.710] 讲多送两块钱保险差不多休息，现在我通过没给那你是装饰归你聊聊，
[134:00.660] 都是肯定你们8800对不对？不客气了，我不应该跟你说我都拆了，今天是这里边没有，我说我跟他说了，因为这我有朋友介绍的，
[134:13.530] 别跟那边说了，我知道报忧都早上好了。
[134:19.800] 还有的就是的
[134:22.890] 里面
[134:23.860] 开出收入。
[134:26.470] 你不能说不清楚，考虑到
[134:36.690] 谁知
[134:39.100] 上面记录了，我知道采访。
[134:41.540] 上午国内了。
[134:44.090] 谁知
[134:47.900] 谁知
[134:49.520] 都做不到。
[135:13.950] 晚上来找我。
[135:15.020] 来找你，我过去我把
[135:22.690] 行。
[135:24.790] 电话
[135:29.520] 了
[135:39.600] 数据
[135:45.660] 场。
[135:48.870] 数据
[135:51.110] 场、
[135:52.160] 数据
[135:56.030] 五
[135:59.030] 数据
[136:00.270] 坏。
[136:05.670] 场
[136:06.580] 场
[136:16.230] 的
[136:22.600] 黄色裙子这位女士。
[136:24.520] 沈女士。
[136:26.150] 陈女士，
[136:27.720] 我们同事去门口找你了，
[136:31.670] 想问问。
[136:41.410] 是这个吧，然后就这些东西
[136:45.020] 我也不知道。
[136:46.090] 可以用。
[136:47.330] 可以
[136:49.000] 的。
[136:50.010] 发动机可以，今天我想问你个事儿，
[136:55.270] 听听。
[136:56.800] 我想问你个事儿。
[137:00.230] 对我快点说，我昨天有一个分期，我发给琴歌了，情歌今天都没
[137:05.880] 他分期如果批不批得过，你这能看到流程，因为客户明天要来帮手是坐的奔驰金融，对叫什么叫王万福，我感觉他资质数不太醒。
[137:16.970] 同案胡，那么第二批了写的是周家明吗？对我记得好像批了是不是跟庄家说，您问周家我没有，她也没有跟我说，所以我怕客户本来就没有钱交首付，
[137:27.490] 我怕他
[137:28.550] 我怕他把二手车明天放着了，分析再批不了了。
[137:31.730] 了，你劈了我问问周家坝，你们要是批了就会给他了是吧？就行，我怕没批，然后客户没有钱来交钱，
[137:39.170] 在改全款就有点麻烦了，行行
[137:43.250] 话回去确认一下，我们中间说不会开会，行行好勒谢谢。
[137:47.980] 解
[137:52.260] 周大叔的
[137:58.310] 叔叔，
[138:00.090] 当我们
[138:09.550] 他们后期我没听清楚吗？
[138:11.880] 一份是吗？
[138:20.870] 后来吃手去了。
[138:22.250] 不见了，后来基本上都了交不了了是吧？短信你了。
[138:27.340] 坏。
[139:03.340] 数据。
[139:10.110] 坏数据
[139:15.790] 的
[139:19.500] 场
[139:22.100] 坏
[139:25.120] 场
[139:26.260] 数据
[139:28.370] 数据
[139:32.550] 数据
[139:34.140] 数据
[139:37.040] 数据
[139:42.840] 场。
[140:10.680] 数据
[140:17.120] 场
[140:23.070] 数据
[140:25.370] 场、
[140:27.260] 场、
[140:31.140] 场
[140:33.520] 数据
[140:38.580] 的
[141:16.130] 的
[141:22.860] 的
[141:28.890] 五
[141:31.650] 场。
[141:37.360] 五
[142:01.650] 二
[142:08.170] 二
[143:06.310] 6
[143:07.480] 的。
[143:08.490] 记住了，
[143:10.740] 记住了，
[143:37.080] 的
[143:51.480] 上次
[143:53.450] 马上
[143:56.040] 数据
[143:59.670] 数据
[144:00.840] 场。
[144:05.540] 数据
[144:07.000] 场
[144:38.770] 数据
[144:39.640] 场。
[148:23.670] 花掉，
[148:48.800] 三
[148:49.780] 每天都不知道。
[149:02.610] 差一点
[149:09.470] 统一销售的，你找客户
[150:22.610] 了。
[150:23.790] 好的。
[150:39.210] 没到过是吧？
[150:40.550] 行好。
[151:26.440] 的
[151:29.490] 原来
[152:52.610] 美化
[152:54.330] 后面
[153:25.810] 花钱
[153:27.310] 把花瓣
[153:29.990] 的
[153:33.720] 原来
[153:35.710] 的
[153:39.720] 的
[153:40.640] 谁知
[153:46.110] 要勇敢比较大这一块的吗？
[153:53.790] 变态了。
[153:54.840] 果然了。
[154:06.530] 我这块
[154:18.640] 玻璃
[154:19.920] 借
[154:24.660] 包括小一些
[154:33.270] 超市，
[154:51.700] 当时觉得
[155:00.470] 如果你有苹果输液吗？跟你说话。
[155:04.800] 有电大概的我
[156:02.000] 跟你说。
[156:12.270] 号。
[156:16.250] 特别。
[156:19.020] 好吧？
[156:22.970] 手机何止开始了，
[156:25.770] 他这边没有简单了。
[156:33.970] 的。
[156:46.850] 楼的。
[156:47.860] 后来从网上我觉得
[156:50.460] 就是化妆品，
[156:52.450] 周末。
[156:53.800] 很辛苦。
[156:56.570] 要搁在平时正常牙防，
[156:59.340] 谁知
[157:01.010] 我每天就放了
[157:03.310] 数据。
[157:06.890] 数据
[157:10.320] 人。
[157:14.850] 花
[157:16.760] 花
[157:18.550] 场。
[157:27.480] 的
[158:15.480] 的
[158:17.280] 了。
[158:30.470] 数据
[158:32.420] 场
[158:39.680] 场
[158:41.530] 场
[158:45.400] 远。
[158:48.600] 坏
[158:50.120] 的。
[158:53.840] 五
[158:55.040] 数据。
[158:58.870] 对。
[159:01.200] 我把
[159:03.060] 小马的。
[159:04.890] 好的。
[159:07.290] 好吧，那天我就去哪买去买票买的。
[159:11.760] 当时是在里面，
[159:13.670] 后期反正谁知
[159:16.950] 后来跟着接近的，
[159:19.610] 打完之后，但是我觉得还行。
[159:22.080] 无缘老总
[159:23.850] 从来就没用。
[159:26.840] 又快又好了，他的见解了，反正我觉得这对他这是中华的
[159:32.750] 这块流量一下。
[159:33.970] 牙齿，但还是不敢给你打了。
[159:38.810] 可以一起
[159:39.540] 作战。
[159:40.470] 现在上班。
[159:44.600] 做
[159:46.060] 这种
[159:47.710] 说这块不了解。
[159:49.180] 1月31
[159:51.290] 的。
[159:58.670] 关键是你要吗？
[160:00.310] 核电的我们
[160:02.120] 大家觉得大家心里
[160:07.330] 要我的都去了，
[160:14.800] 花
[160:16.980] 还
[160:20.160] 的。
[160:23.000] 数据
[160:29.550] 场。
[160:40.790] 数据、
[160:42.410] 数据
[160:45.200] 的
[160:47.380] 的
[160:51.100] 到
[160:57.250] 场
[161:06.640] 五
[161:13.760] 点，
[161:20.000] 买
[161:24.160] 月。
[161:33.630] 做。
[161:35.530] 对。
[161:41.350] 张
[161:56.820] 花
[161:58.380] 场。
[162:13.730] 看。
[162:16.520] 把
[162:18.220] 的
[162:22.750] 坏
[162:24.600] 的。
[162:25.720] 五
[162:27.520] 10
[162:30.500] 的。
[162:35.200] 快。
[162:43.800] 坏。
[163:19.860] 坏
[163:34.810] 的
[163:35.720] 感觉。
[163:54.520] 的
[164:09.200] 的
[164:15.980] 因为不过因为待尽量的地方不行了，我觉得OK就这样。
[164:26.630] 谁知
[165:21.400] 开车吗？
[165:22.750] 没有，我想象的，对。
[165:27.870] 出去以后当时准备
[165:31.010] 还有
[165:32.660] 谁知
[165:34.610] 另外下次开张，
[165:37.390] 对吧？在南方讲天下北京上班的地方，
[165:42.840] 我跟老板谁知
[165:46.510] 你谁知
[166:03.550] 你得好好，
[166:04.880] 远远
[166:13.830] 一块
[166:19.710] 厂花
[166:25.500] 的
[166:27.450] 的
[166:28.990] 的
[166:30.870] 坏
[166:32.560] 坏
[166:36.260] 花
[166:38.690] 的。
[166:49.970] 的
[166:51.290] 二
[166:54.620] 然后我真的
[166:57.580] 好多事情苹果一般都懒得，有的时候
[167:04.120] 根本没法说说看。
[167:11.690] 的
[167:14.550] 自己有
[167:19.130] 了。
[167:20.830] 月
[167:23.270] 了。
[167:27.590] 数据
[167:30.110] 数据、
[167:31.480] 数据、
[167:54.710] 的
[167:58.500] 场。
[168:01.490] 五花
[168:07.280] 场
[168:08.300] 花
[168:10.650] 花
[168:16.430] 百
[168:19.930] 数据
[168:24.070] 的
[168:27.610] 就应该回来了，刚才那走没事没什么。
[168:33.570] 没事。
[168:35.230] 说
[168:36.690] 一会儿我会画画2629
[168:46.770] 救救的位置。
[168:49.420] 后来就行，马上来了，
[168:52.680] 弄过来了，路回来了。
[169:07.610] 了
[169:08.680] 的。
[169:12.700] 了
[169:20.630] 厂花
[169:26.020] 数据
[169:29.700] 的
[169:33.880] 场。
[169:35.180] 三
[169:36.570] 五
[169:42.370] 的
[169:43.950] 了。
[169:53.650] 元祖的大阪。
[170:01.950] 喝。
[170:06.610] 一个角B我操20多听，20听我跟你说，今天能把坚定了，
[170:11.470] 然后把假间黑黑的没了，然后你看有一个569280，
[170:16.980] 这车的话在行车给我归上。
[170:20.340] 你先9号569280。
[170:23.970] 992。
[170:25.590] 这是交接到了公众版，这台车明天早上调回来就行。
[170:29.860] 准备今天的
[170:33.730] 对
[170:36.130] 重点。
[170:37.710] 待会儿帮我拿那个，然后你记一下。
[170:41.910] S350010808刚才给他买了放在今天。
[170:49.840] 有点
[170:55.620] 用一句话
[171:05.110] 你把这三个字了。
[171:07.910] 我知道我要先去一下那个倒是让那个女孩去，你去。
[171:18.430] 谁你
[171:23.520] 了
[171:26.150] 的。
[171:27.400] 等
[171:38.040] 怎么刚刚的开吗？还是？
[171:45.000] 头上还有一个。
[171:47.290] 头上有一个这叫媒体出版了。
[171:56.220] 谁知
[171:58.840] 的
[172:07.390] 的
[172:10.690] 了
[172:14.190] 远远
[172:18.160] 场
[172:20.110] 数据
[172:23.350] 的
[172:28.040] 坏
[172:33.830] 坏
[172:36.550] 的
[172:37.960] 的
[172:46.780] 数据
[172:48.470] 数、
[172:49.670] 花花
[172:56.170] 数据
[173:00.410] 的
[173:02.280] 坏数据
[173:05.040] 场
[173:06.390] 坏数据
[173:11.880] 场
[173:15.070] 场
[173:17.590] 数据
[173:18.600] 的
[173:24.680] 的
[173:25.930] 场。
[173:31.980] 数据
[173:34.230] 的
[173:35.400] 的
[173:37.720] 答应了。
[174:15.870] 比如说
[174:18.960] 的
[174:21.300] 二
[174:24.060] 了。
[174:29.580] 我先报备一下。
[174:33.600] 他报备一下。
[174:35.000] 刚才给你发微信准备。
[176:25.370] 58。
[176:26.100] 0808的号码什么意思？
[176:29.040] 647
[176:35.440] 150
[176:36.480] 名单文官为圆心，
[176:51.470] 你讲接待流程还咨询，
[176:54.910] 然后我这边
[176:57.030] 我懂了，我说
[176:59.960] 所以我就跟他说了，
[177:02.860] 他听他的
[177:24.440] 的
[177:30.670] 0287。
[177:38.800] 全面
[177:39.690] 的
[180:53.440] 买电脑了是。
[180:57.160] 话
[180:59.880] 女孩
[181:50.830] 箱子里放什么？
[181:56.610] 还没了。
[181:58.820] 再努力也没有
[182:04.190] 了。
[187:58.040] 快递人员
[188:00.660] 300。
[188:03.220] 100
[188:04.480] 两
[188:05.830] 那块地方
[188:09.130] 的
[188:10.370] 开始。
[188:12.130] 马
[188:16.710] 快递。
[188:18.070] 就是这个吗？
[188:35.600] 希望
[188:36.420] 后来有的
[188:43.320] 280
[188:45.150] 谁知
[188:49.370] 快递员会放着
[188:51.870] 的。
[188:53.220] 到时候手机
[188:56.850] 我们用快递用的不是100块钱，我都是还100块钱。
[189:09.610] 就行了，简单。
[189:13.490] 没钱了就做到了。
[189:15.860] 我就拿过来。
[189:23.550] 100块钱我也知道。
[189:27.820] 简单
[189:38.030] 我也跟着
[189:43.750] 看之前
[189:50.830] 少
[189:54.350] 了
[189:58.150] 的。
[190:22.080] 杨老师。
[190:24.460] 你还了我100块钱快递的是吧？
[190:30.630] 对。
[190:31.710] 我都
[190:33.080] 我都不是我放的我都不知道这是最好了，100块钱。
[190:38.650] 那谁放我也不怕。
[190:42.690] 没人来，都是快递员自己送过来的。
[190:49.880] 对你说我们肯定是我碰到的时候在这里都可以。
[190:56.650] 万。
[191:03.780] 对。
[191:04.770] 我都碰到了一个是我刚才
[191:08.290] 刚才在村里，
[191:13.150] 我刚才在群里看到
[191:16.390] 他们这种
[191:21.830] 没人快递自己的话，
[191:34.150] 这里我们
[191:35.550] 看一下
[191:39.490] 的。
[191:41.880] 场
[191:46.630] 走自己的
[191:54.550] 的
[191:55.950] 数据
[192:01.650] 的
[192:03.250] 多少？
[192:06.510] 发现？
[192:09.150] 那边
[192:19.370] 这里
[192:30.950] 到
[192:45.030] 谁？
[192:48.590] 左右的话3
[192:51.450] 1万多
[192:53.350] 的。
[192:56.840] 200的
[193:00.440] 来找我。
[193:03.630] 起步价你都会抢答了，
[193:06.830] 智商
[193:11.820] 要
[193:16.890] 填写
[193:22.680] 然后
[193:24.340] 在后面
[193:25.790] 还是原装货到8月5号，
[193:30.160] 拿了一个
[193:31.680] 这样
[193:32.890] 2月
[193:36.000] 开始玩儿
[193:37.880] 的。
[193:39.700] 你关注没条件，他在里面优惠
[193:43.220] 条件给你的。
[193:44.690] 更说
[193:58.120] 公司给了你
[193:59.010] 讲。
[194:00.130] 还有个小组我开始了，看着昨天晚上
[194:07.760] 谁知现在我得先开我的
[194:13.720] 这个东西，咱明天咱们要发票吗？
[194:23.310] 浙江干嘛了？
[194:27.530] 这个方面的
[194:29.190] 这个商标应该怎么样？你们现在是不要想要的吗？
[194:33.460] 你如果说
[194:42.840] 要是你们的话可以按照来也不好。
[194:49.030] 远场
[194:58.360] 数据
[194:59.670] 数据、
[195:01.840] 数据
[195:03.300] 数据
[195:06.350] 数据、
[195:08.010] 数据
[195:28.550] 的
[195:32.600] 数据。
[195:39.690] 对
[195:50.930] 到
[195:52.120] 10
[195:55.570] 了
[196:15.390] 以前的
[196:16.520] 还是
[196:24.470] 要
[196:27.320] 了。
[196:28.360] 你用心的把现在一个图片上爸爸我给你重新的一下，现在
[196:32.750] 都不行了。
[196:37.140] 少了。
[196:40.460] 今天早上手机是不是？
[196:43.090] 他用手机。
[196:45.190] 对。
[196:48.570] 虚拟号码。
[196:51.050] 完了
[196:53.360] 以前
[196:55.920] 这不是你们的支持
[196:57.880] 的。
[196:58.780] 确认一下，对这不是完全然后个人反应对，那就感觉好。
[197:08.490] 昨天我还没想到了，我待会开始特别
[197:18.470] 了。
[197:22.560] 了
[197:24.270] OK
[197:25.120] 不用什么都不用了，
[197:33.850] 你还得再来
[197:39.840] 给
[197:46.990] 这个丢了
[197:55.740] 有没有
[198:10.990] 的
[198:12.240] 的
[198:14.560] 的
[198:22.290] 的
[198:23.140] 的
[198:25.370] 数据。
[198:33.530] 的
[198:53.970] 坏
[198:55.950] 场
[199:00.360] 场、
[199:01.400] 花、
[199:04.600] 场
[199:07.810] 坏
[199:11.960] 场。
[199:12.810] 场
[199:20.110] 的
[199:32.870] 但是在我手里
[199:36.610] 点
[199:40.170] 数据
[199:41.160] 场
[199:43.560] 的。
[199:49.010] 场
[199:51.800] 场
[199:56.290] 数据
[200:09.010] 的
[200:15.720] 电话了。
[200:24.950] 包括
[200:26.610] 的
[200:28.720] 的
[200:30.320] 场
[200:32.160] 的。
[201:15.840] 好
[201:24.920] 天。
[201:38.070] 眼睛。
[201:41.930] 还有
[201:49.680] 花
[201:50.600] 的。
[201:52.360] 三
[201:54.920] 的
[201:57.770] 话
[202:09.800] 在变化，
[202:11.750] 把
[202:15.680] 的
[203:41.740] 居民
[203:44.520] 坏，
[203:57.980] 说
[203:58.870] 对。
[204:01.220] 必须的。
[204:05.640] 场、
[204:16.660] 白。
[204:20.990] 的
[204:32.640] 观察选择
[204:37.690] 开启
[204:43.720] 天
[204:46.280] 开启前照灯延续，
[204:51.610] 摩托车前轮爆胎学会
[204:55.270] 严重的老板
[204:57.540] 价钱就
[205:00.070] 减少，
[205:04.040] 花
[205:05.520] 年。
[205:08.400] 也差不多。
[205:09.940] 你可能
[205:14.390] 明天
[205:16.210] 比如说我
[205:19.240] 我12左右
[205:25.070] 落后再请假，
[205:26.840] 人员
[205:28.620] 要求，
