[00:00.000] 现在一次客户5000，
[56:06.830] 数据
[56:11.600] 数据。
[56:12.730] 花。
[56:17.160] 数据。
[56:23.390] 的
[56:25.680] 方面
[56:30.320] 还有
[56:55.960] 这个脂肪是什么？
[57:00.850] 三年不限公里数，
[57:02.450] 知道吧？
[57:03.580] 4天3天。
[57:13.310] 直销的
[57:18.480] 好几款本子里面都是这种
[57:22.290] 运动
[57:23.760] 的
[57:31.620] 批驳知道
[57:35.800] 我要是手机放上去，导航什么往哪放，
[57:40.480] 方便了。
[57:41.620] 不是就看手机到了。
[57:43.900] 随手买吸盘吗？放在这他现在不大好，只能放在这上面了。
[57:51.880] 别把他这个能对手机连吗？可以了的手机吗？
[57:58.790] 手机跟它是无限图吗？
[58:01.460] 他不累，
[58:02.520] 用数据线从前
[58:04.460] 数据线可以直接相当于托枰是吗？
[58:07.610] 那行吧。
[58:11.160] 下面这一号咱们休息
[58:16.410] 8多少天，
[58:18.700] 谁知
[58:21.450] 4分就是冠军内的选择的电影叫做U型转弯，
[58:28.460] 是奥运会开幕指导。
[58:30.560] 当时的演员有新的战役朋友开始，
[58:34.040] 对主演这上面没有联系突出悬念特点的西部精准，
[58:39.510] 里面用了很多不同，
[58:42.730] 就是你究竟骗你，
[58:44.860] 你可能没有看过，
[58:46.380] 你把方法打仗，
[58:49.410] 打仗了这边的人
[58:52.940] 了，
[58:53.840] 看出来。
[58:57.110] 别吧。
[59:00.050] 难道就不容易好？
[59:03.040] 没那种感觉了。
[59:05.160] 越查
[59:13.550] 努力
[59:15.440] 的
[59:26.020] 压低一点了，来看看大家怎么说的，小象丁香说莫里康内擅长旋律，五光十色，下结论看那些写歌剧的
[59:38.570] 意大利老乡。
[59:40.070] 是的，以前我就说过我理科类的音乐融合着他的不同的风格，
[59:45.870] 还记得上周也很
[59:49.280] 在80多岁高龄的时候，也指挥了一些管弦乐团，演奏一些他喜欢的意大利音乐，
[59:57.420] 他心目中一直都没有忘记这些不太产生影响的钱，总他气死我了。
[60:08.640] 期待。
[60:14.200] 影响系统也可以香港是吧？都可以选择再了解一下。
[60:22.590] 有点太单薄了。
[60:27.650] 还不如我别的老了。
[60:31.360] 五
[60:40.490] 了
[60:45.680] 了。
[60:46.680] 刚才我往下传，他为什么还往那走呢？
[60:53.840] 他反应有点慢，你刚才转了半天已经转到这上面了，他得到了投了以后再往下走，
[61:07.680] 可是目前毕竟没有安全，
[61:11.280] 应该都会要求工行的
[61:15.650] 4从前面右转了，跟前面那些车走了，对。
[61:20.880] 有这种
[61:21.850] 影像中心可能
[61:23.400] 而是影响人员，
[61:25.240] 可能时间过得很快，上班时间已经到这里反馈沟通。
[61:29.340] 百得利这个地方是指的一个老板吗？是这意思吗？然后他代理了
[61:36.090] 几个品牌商的到这么大的地方，
[61:42.520] 这车现在销量怎么样？跳的？
[61:46.120] 一年它是一年能销多少？不是钱，我不知道。
[61:58.470] 你们维修保养是在哪一块？
[62:01.100] 我们旁边。
[62:03.630] 行，你就听着我听了。
[62:06.030] 然后我从这进去对。
[62:08.540] 谁知
[62:25.800] 停车下车停下来就行，我已经点完了，后面有一点点完了。
[62:32.690] 点这个。
[62:33.720] 我说过刚才我又点了，为什么？
[63:41.370] 接受
[63:42.180] 你这边
[63:45.910] 这公平吗？别看了。
[63:55.850] 我刚才就给我睡觉我
[63:57.720] 了，你要疏远了。
[64:17.350] 我给你算个保障。
[64:19.200] 行。
[64:21.590] 有一个问题，他这个座椅为什么不能是这么设计，做上去以后
[64:27.550] 感觉到什么？感觉到中间是鼓出来，然后这两边是没有依靠。
[64:32.270] 不，这个我没法给你解答，这我也不知道。
[64:40.630] 来这边我给你发一个报价单。
[64:45.020] 刚
[64:45.720] 喝点水
[64:47.140] 了。
[64:49.870] 像这个车
[64:51.850] 了，
[64:53.000] 行不行？
[64:55.210] cos较好类型是吧？这好像是多少钱？63号。
[65:00.610] 6 39,152号
[65:04.720] 的。
[65:09.820] 那边坐您在那边做，我去拿个报价单。
[65:23.400] 零售价晚上。
[65:26.190] 但是这两
[65:29.650] 操作简单。
[65:30.910] 三
[65:31.890] 你知道吗？
[65:32.830] 我要把它结束，
[65:45.990] 知道吗？
[65:46.980] 然后咱们这儿我这条街有两班，
[65:50.200] 有可能算5对蒜期做了
[65:53.290] 五作者做了多少很多要求出来的，
[65:56.540] 真正需要去做将来的对吧？
[65:59.510] 好像全然不当。
[66:05.730] 好奇。
[66:11.710] 的
[66:19.390] 谁知
[66:21.850] 行好好好。
[66:25.690] 我早上发的。
[66:27.410] 你这个产业我现在买这款就是产业是哪一个，现在都电子版的，现在纸质版的好多都没有。
[66:34.350] 没有了，要开发也是咱们模式。
[66:38.080] 别的你这衣服多少？
[66:44.920] 对。
[66:48.320] 咱找着周边的
[66:50.540] 了。
[66:51.340] 完了跟登录。
[66:52.600] 然后或者您说可以说您过程价格高，我你动车按你双色球，
[66:59.440] 如果里边的
[67:02.760] 如何同样达到2万米，
[67:04.560] 整个车机
[67:05.870] 样品模、
[67:07.160] 传播水量，
[67:09.850] 咱们已经不是
[67:12.180] 您脱衣服里头就是说这个东西
[67:15.520] 装置您要吗？
[67:17.360] 装饰做什么怎么弄？
[67:20.230] 都是有贴膜、威固全车贴膜、脚垫、后箱面、行车记录仪、发动机护板。
[67:26.710] 好三目录经一共是13,800，
[67:29.630] 这24,000 23,000
[67:33.300] 模型你算算好的还有
[67:36.760] 怎么样用就送二。
[67:39.320] 规模小便斗销量，质量
[67:42.480] 稍微
[67:43.730] 还有新款交易。
[67:45.780] 播音室，您要是要关机上来，就把魔幻成功的
[67:53.420] 然后我在这里讲不能从时间的
[67:57.920] 玻璃的材料。
[68:04.450] 谁知
[68:07.990] 好的。
[68:09.890] 的。
[68:12.630] 这样
[68:19.040] 他分期分两种方案，
[68:22.040] 第一种是普通的，就正常的话它最高可以贷三年，
[68:26.440] 然后每个月是按月款分期，就是利息加本金一下还给。
[68:32.490] 另外一种方式是按18月贷款18个月，
[68:36.890] 每个月只还利息付款本金，
[68:39.490] 这种特点利息比较低，
[68:41.840] 利率是0.99，
[68:45.170] 一般人做这种分析方案会做的比较多一些，
[68:48.570] 我还没听明白什么还本金的本金什么时候还本金，是最后1个月一次性还清，有18个月的最后一个月一次性还清，
[68:56.570] 这7月只需要还了100多块钱，只是利息
[69:00.040] 特别低的。
[69:04.960] 比如说您
[69:06.160] 50%贷款18个月，
[69:08.920] 然后
[69:09.840] 待了18个月，待了13134,400，一共利息多花了2000块钱，
[69:16.340] 这是比较合适一点。
[69:18.400] 另外一种方案，
[69:20.200] 首富4年04年。
[69:22.430] 4年的吗？
[69:24.330] 有5年了是银行贷款，
[69:27.120] 大概利率是3.72。
[69:30.400] 3.7，对，年化利率3.03.7。
[69:34.120] 这个好是吧？可以没问题，您首付按多少钱算了，我就给你算。
[69:40.540] 首付他要求多少，没有固定要求您可以首付30%起37是吧？按照30%。
[69:47.830] 我觉得他18个月，完了到78个月以后一次性还也挺好的。
[69:52.620] 那个啥
[69:53.840] 18个月。
[69:56.270] 干嘛18个月把钱一下去。
[70:03.590] 他如果银行贷款利率百分之三点几，年化利率3.7是吧？3723072的
[70:09.930] 花
[70:13.310] 谁知
[70:26.330] 花
[70:28.840] 吗？
[70:39.570] 数据
[70:44.800] 的
[70:47.990] 场
[70:49.810] 远
[70:51.200] 五
[71:01.930] 三
[71:12.240] 保单给您算完了，我跟您说一下奔驰的服务公约，就刚才您说的
[71:17.710] 还是这个客户为敦以礼相待，诚信经营合法得体，明白和假关于透明片接到进攻是
[71:23.650] 绝不捆绑销售强制消费，比如使用嫁接隐私中行，即便您做分析做金融贷款，他也不收取任何金融服务费，400881188的经济，
[71:33.640] 咱们这报摊是全国统一的一个报单模板，然后这边会有一个攻略价格看法，您看需要大家了解一下吗？每个车员工的价格多少钱？
[71:43.870] 车价是优惠完了268,800，咱们那车指导价318,800的优惠是5万块钱，
[71:50.790] 留完了268,800，
[71:52.560] 购置税是23,787，
[71:55.650] 验收费是2500，保险是预估1万块钱。
[71:59.240] 然后刚才跟您说的问13,800精品，您说让算一下都给您含进去了，一共是318,887，
[72:06.820] 相当于原价你就能开走了，然后装饰也都有。
[72:11.140] 这个是首付根据您自己需求530%
[72:15.280] 80,640块钱，然后贷款金额是188,160
[72:21.480] 67，年化利率是3.72，
[72:25.100] 然后月供是3136点，
[72:28.740] 然后首付都办齐了，130,727就都办齐了，你还有你选装的东西，我们这边
[72:37.910] 没法给你显示，您只能在官网。
[72:40.450] 官网对，其实我关注的比方说盲区监测里，
[72:46.610] 对吧？至少对你要选中那个东西，到货周期就没法跟他说死了，有可能半年还会往上。
[72:54.040] 都可能
[72:55.400] 就这么长时间，对，因为很少有人选中厂家的学生这些东西了，你带盲区监测的，
[73:03.810] 在盲区显示提醒的没有，都是需要选装，我知道那么7座的是自在的是吗？7度也不大，
[73:13.590] 惜作也不大，都需要血猫。
[73:18.690] 这里什么我觉得还是很有用，网点。
[73:24.980] 可是他就是意思提车周期就特别长了，对，有可能三个月了半年都可能。
[73:30.790] 这也没法保证是吗？但是这也没法给你保证，因为厂家坐在车吗，咱们这边只是
[73:37.380] 给厂家报上去了，厂家也是按生产的需求来定，可是你们
[73:41.900] 最长的有一个期限，你总不能你交了钱了，我一年开上车，所以我们都会提前跟客户沟通好吗？这种东西对吧？
[73:50.620] 功能好了您确定没问题，您得交钱对吧？
[73:54.140] 我不是说我现在收了您钱，我什么话都不跟你说，人家反正这有一个
[73:59.140] 吗？我现在没法确定死了，因为那厂家确定
[74:02.830] 没法过电，可能三个月有可能最迟半年，对这个意思
[74:08.890] 肯定不可能。
[74:16.950] 您说一下就是说
[74:20.030] 具有网点监测的功能的，像C级车交C有假如300300就自带了。
[74:28.250] 对假如这300有46万 449,800都办齐了，465,000左右就没有钱赚了，
[74:34.790] 所以这就迎车自带。
[74:36.630] 他
[74:39.460] 是不是已经什么要降价了？哪个？
[74:43.320] 分层，对，300
[74:46.100] 了。
[74:47.300] 三三对300的低配高配情况49万多都办齐也得50。
[74:52.380] 消费的我现在百四万多对
[74:56.720] 安全。
[74:58.330] 你看那个公司对
[75:01.480] 买了车。
[75:03.060] 别人借得您指标买的车是吧？
[75:06.190] 10年。
[75:08.130] 一会拿着的牌子我老板了这边。
[75:13.180] 张总跟你说让我发给你。
[75:18.610] 我发给你。
[75:20.100] 方面我们走了这样，
[75:23.880] 这个是昨天一
[75:28.090] 还是在美国，我们要跟他还要沟通一下，正好时差是12小时没有睡觉了。
[75:36.950] 没问题，然后我们再沟通一下没问题好不好？保障这边到他马上就去看看到底这个东西。
[75:43.550] 这对，我刚才给了先生一张名片，
[75:47.480] 倒着写，今天定不下来是吧？
[75:54.000] 您今天定不下来是吧？
[75:55.880] 对，因为跟他正好我马上要回来了，
[76:00.980] 正好又有一个时差，只
[76:03.920] 我也是今天才开始。
[76:07.970] 对，需要跟他沟通一下，我今天才开始讨论那个车，另外我
[76:14.880] 旧车
[76:16.080] 置换是什么的，你们去开走还是怎么着，您把旧车开过来，咱们这边给您评估作价，你要觉得旧车合适卖到咱们4S店，或是您自己卖都行。
[76:27.480] 对，咱们那边就给您出一价格，您觉得就车您合适了能卖到我们店不合适您自己卖。
[76:35.490] 这种的。
[76:38.600] 你们是到哪评估？
[76:40.360] 店里。
[76:41.680] 你们开过来你们自己都可以了，对，你有分公司，你不用到别的地方，
[76:47.590] 我们就店里。
[76:48.860] 店里面有评估是的。
[76:51.940] 又到了。
[76:53.500] 我刚才点错不开，
[76:55.120] 有这样的。
[76:57.250] 过来就跟您家里人商量吗？跟您孩子商量。
[77:00.560] 那就是说你
[77:02.690] 他银行贷款只有百分3年，他实际上一样，那个人说得不对，
[77:08.620] 他是吧5.8对说得不对。
[77:12.740] 马这边我再往那儿看。
[77:14.780] 他可能是每个品牌跟品牌的利率都是不一样的，不是。
[77:19.330] 它实际上也是他
[77:20.990] 口头跟我说5点。
[77:22.550] 实际上他写的数字计算下来也是三点
[77:26.350] 3.4。
[77:28.390] 好吧？
[77:29.430] 行。
[77:30.350] 今天就这样没问题不用。
[77:33.780] 对您再联系。
[77:35.920] 他不好咱下面会有一个二维码，你可以要求扫描二维码，对服务业反馈的都是你GSC300的，这边有颜色吗？没有，咱们要求就这边一台LC260的动感D配。
[77:49.210] 外形。
[77:51.670] 稍微有点区别，不太一样，内饰这边外观稍微会有些区别。
[78:00.020] 交车。
[78:01.310] 自己的交车，
[78:03.820] 轿车教唆33厢的那种，你这儿有C据说叫旁边就是
[78:10.750] 旁边就是
[78:12.260] 看看眼睛。
[78:19.070] 这种什么价位这20多万。
[78:27.760] 旁边C截得轿车的。
[78:30.750] GSL是什么意思？对加长款了。
[78:37.350] 他也是2.07的，对角C都是2.0T的。
[78:41.040] 这个是1.5G的1.5，
[78:43.780] 是吧？什么346,800 34，
[78:52.090] 哪样？反正就是这本书，
[78:54.410] 对吗？
[78:58.870] 这个
[78:59.920] 这个是真皮吗？皮革奔驰都是皮革，这是纸吗？
[79:04.940] 干磨那是感冒了。
[79:07.650] 扫墓的。
[79:09.410] 谁知
[79:11.790] 这里
[79:12.980] 3月
[79:23.390] 36万多。
[79:24.930] 346,000 3生活也
[79:30.530] 谁知
[79:34.400] 按座位做的。
[79:36.320] 吃饭就是一件啤酒，没错。
[79:39.700] 看着你
[79:41.550] 不是包裹性
[79:45.310] 的感觉，
[79:46.500] 不倒胃口。
[79:52.450] 数据。
[79:57.620] 的
[80:04.250] 号
[80:05.880] 场
[80:07.490] 走。
[80:27.800] 后期跟您联系，一般电话短信都方便了。
[80:30.850] 没问题，打电话时间上午方便吗？
[80:34.550] 应该不是空了吗？
[80:35.980] 行。
[80:36.870] 您出门之后这边有一个二维码扫描的二维码，刚才我没问颜色，刚才我看到
[80:43.430] 颜色我刚才给您看一下，咱们店里面现在目前为止的颜色有白色还有蓝色的，
[80:51.060] 就白的蓝的，对，现在一共也没几台车，一共现存一共有5台，假如是我们不着急等，因为还没回来，从美国回来机票都买不着，明白吗？他反正也还要等
[81:03.710] 这个时间到也不一定一两个月，这对我来说都不要紧，懂这意思吗？我可以先把车买了，因为我的驻车
[81:13.050] 保险也快到期都不晓得去了再去人脉，还有它那款车本身，
[81:20.640] 北京老想老是老说老。
[81:24.700] 换来换去，老罗四还行，国寺现能开国三就不行，对。
[81:29.080] 但那车我是想从保险快到期了，就直接给他换掉了是吧？对我可以了，整个一两个月车退回来都不是问题，
[81:40.450] 不着急车，所以你这个动作打击这个颜色是吧？
[81:45.900] 小一会儿大家看一下最好用，
[81:50.340] 官网上也都能查到，这都能查这样子的。
[81:55.000] 还有没有这卡的东西吗？还是什么意思？
[81:58.820] 等他看完了以后大家看，
[82:06.880] 他就白做黑做狼，
[82:09.370] 白、黑、蓝。
[82:11.410] 有生有那种生辉吗？有是吗？白色的吗？
[82:19.050] 的
[82:20.560] 的
[82:24.670] 就这些颜色。
[82:27.900] 看。
[82:30.240] 您在上网看，
[82:33.800] 这个颜色看出来的效果不太一样不出来。
[82:41.070] 还有银色金属，
[82:43.580] 玫瑰金。
[82:45.720] 你这次别看到我挂完了，看这反光也看不清楚。
[82:49.530] 慢慢
[82:50.890] 你说现在走一会走。
[82:52.690] 我们现在就走了，现在走您扫描干嘛出去免费停车，要不得花钱好。
[83:00.680] 对今天查下来下面他了，找完了以后15分钟就得离场，离开在园区拿什么微信号。
[83:12.760] 说下您车牌号就行。
[83:16.610] 谁知
[83:17.960] 经不用说不用，
[83:24.990] XH
[83:26.680] 您单独来看看的是吧？
[83:29.360] 好，但是销售给您介绍一下，我得确认绑定了。
[83:35.480] 行，您直接走就行了，这是关闭了广告。
[83:38.780] 好，谢谢没事，您慢走，好，王林。
[83:42.760] Bye bye。
[83:43.840] 再见。
[83:45.880] 对。
[83:49.540] 就不见了，关机。
[83:56.910] 一般
[83:58.850] C组现在耙活我挑一个颜色挺好看的，有点深有点
[84:03.320] 不太敢做，到时他们不让穿。
[84:05.950] 你就擦擦是不是传统色，咱就过一段时间没有放假。
[84:10.720] 我看他知道过去了是吧？
[84:14.830] 大哥知道是7月份下个月叫什么来着？
[84:17.990] 这叫个性，知道它对反正个性化服务是不是？
[84:22.200] 昨天新平台里边培训里边8月份待客之道你知道吗？就是说我以后在你这做保险。
[84:29.890] 对可以的没问题了，你什么的也可以不做了，对吧？
[84:37.380] 对，没问题了，哥哥卖早点你能接受或也没招呼，在这
[84:43.170] 水平上，你在干嘛？
[84:44.920] 刚才兜里捡的，你再跟再放回兜里去，到时候网上查你。
[84:49.580] 好了。
[84:51.330] 没事，王超。
[84:53.420] 王川完成。
[84:56.980] 老妈没客户也
[84:58.960] 完了给我开张卡，
[85:02.270] 门开了。
