[00:00.000] 您的行驶本身份证
[51:47.490] 这种看看两年要可以现在这两年了。
[51:54.090] 没弄过我得问一下，我们一般都是孙某该跌了，你可以过来了。
[52:01.200] 你要说我可以帮你问一下，你要是办我问领导有没有你们申请自检。
[52:06.650] 对免费保养加一次8月份开保养了，对保养可以不用花钱了。
[52:12.070] 这个肯定没问题的，之前有干过的，这全车两年了，
[52:16.400] 两年我就不知道了，我得问。
[52:20.080] 行吧，你在这等着是吗？
[52:23.800] 到中午11:30的时候过来找我你的餐券好吗？好。
[52:28.760] 对，中午有餐的这边。
[52:31.010] 对，刘敬民。
[52:39.290] 他写的啥上面？
[52:40.840] 这么着那了。
[52:50.610] 那就不好找了，这还没有是吧？
[52:57.160] 然后给你
[53:00.940] 了就行了，我这边安排给你做全身检查。
[53:12.170] 没有，还有什么咱们来行不行了？先说。
[53:17.830] 先叙述一下就
[53:19.850] 联系。
[53:21.740] 你记住点，一会撤了以后我再到我们
[53:25.940] 家窗户那边师傅教一下，给你手机交一下。
[53:29.260] 没有，他们。
[53:31.560] 没事到那边待你另外一个部门我带你
[53:38.400] 的。
[53:46.850] 行，你先去销售。
[53:55.450] 了
[53:57.690] 了
[54:15.090] 冷静。
[54:16.120] 找了是吧？行好勒。
[54:35.610] 出来
[54:37.010] 远。
[54:39.580] 场
[54:43.910] 场
[54:49.970] 场
[54:52.600] 数据
[54:59.110] 数据、
[55:08.350] 场。
[55:44.680] 场
[55:56.040] 0
[55:57.140] 三
[56:04.190] 数据
[56:05.230] 场。
[56:11.760] 在这你等他一下数据。
[56:16.090] 数据
[56:16.900] 花
[56:19.330] 数据。
[56:21.040] 句。
[56:29.940] 的
[56:32.440] 的
[56:34.780] 的
[56:41.990] 五
[56:42.920] 的。
[56:56.230] 4
[56:57.880] 的。
[57:01.760] 活动中。
