[00:02.400] 7月15号交车谢泽文迈巴赫
[78:19.000] 做完之后你就直接开走就行了，也能要能当天做最好。
[78:23.870] 行，我就到时候提前给您约，行，你尽量约一下，因为当天的话它不涉及到一个不知道你什么时候回来。
[78:31.760] 你好先生。
[78:32.970] 这里对这是咱们刘永泉销售员，接下来继续带您了解一下这辆车使用，还有这个车它有个救援服务要没事做，
[78:41.870] 我给你激活再告诉你怎么用，一会咱们还有客户面访环节大约40分钟左右。
[78:47.020] 好，身份证你用吗？你先用我待会吃完保险之后我过来拿，我。
[78:51.380] 拍完照你拿走吧。
[78:52.590] 也行。
[78:54.150] 几乎就人要实名制拍照，
[78:56.660] 等我出去。
[79:00.010] 你那不戴口罩，拿着身份证。
[79:06.460] 差一点点。
[79:12.450] 身份证
[79:13.650] 了，今天开始今天开走。
[79:16.410] 还款。
[79:18.010] 财务信息表有吗？财务信息表放了两张，一个拿钥匙，一个昨天朋友。
[79:23.740] 行，谢先生您跟我来，咱们到车上。
[79:28.400] 我
[79:30.630] 他这边到报警这里开始。
[79:33.440] 对吧？
[79:40.040] 迈巴赫，
[79:43.030] 我这个月静什么大车订几部车全是大车，还全是他期货，
[79:49.910] 了。
[79:50.950] 一时半会儿教不了车那种。
[79:54.090] 对。
[79:55.180] 5个车3个期货。
[79:58.700] 要不你说他要没交车好麻烦。
[80:02.360] 作业要。
[80:05.290] 月销售多少个分？
[80:07.410] 这月交了多少分？交了6分了。
[80:09.860] 你交多少是有分？
[80:11.870] 交了多少什么？
[80:13.230] 分4小时了。
[80:14.800] 0倍。
[80:16.350] 到时台才有分哪分到10台60%，
[80:22.780] 15还是百%？
[80:24.510] 石材材60%，而且还有
[80:27.750] 还有利润吗？
[80:29.760] 对，食材举例的是没有分的。
[80:32.040] 上身材也就是说
[80:35.540] 不过食材很难做成事吗？
[80:38.190] 没有过程。
[80:39.600] 你知道吗？
[80:42.060] 就只剩地方，就是说你卖的装饰了，
[80:45.450] 然后那部分正当合理
[80:48.830] 就没有了。
[80:54.710] 不是等于收烟吗？
[80:57.710] 对不对？肯定。
[81:09.820] 要不你觉得这个月的进度，
[81:12.510] 大家就都对大家就都
[81:15.530] 也不能说不卖了，
[81:17.120] 有点卡利润就卡，
[81:20.790] 你卖低了这车没钱，
[81:24.030] 你不卖他们的数上不去也没钱。
[81:28.080] 后来一算
[81:29.490] 反正都没钱。
[81:32.780] 谁知
[81:34.980] 对
[81:39.550] 而且你卖一个还得
[81:41.290] 倒背出来。
[81:45.210] 特别棒。
[81:46.730] 特别白身材。
[82:08.330] 这个
[82:09.370] 要是的被告人
[82:13.090] 对吧？
[82:17.720] 人生何处不相谋，
[82:49.150] 魔兽才。
[82:51.000] 火柴在哪儿吗？
[82:54.080] 来看。
[82:55.200] 来，
[82:55.960] 下面有双方的直接就这个数减去了，行才能OK吗？
[83:01.840] 我明白了，行了咱就别弄没了，然后我说什么？
[83:07.380] 那搁着就完了知道吗？
[83:09.930] 电表在
[86:39.080] 车间与展厅
[86:40.560] 连接的
[87:18.640] 赵总
[87:19.680] 验到什么程度了？
[87:24.730] 那就等他了，基本上中午就完事了，行好勒。
[87:28.300] 对。
[88:11.760] 刘帅。
[88:13.440] 现在进口车去哪？领车证，进口车订车怎么着回去财务财务发展吗？
[88:20.520] 你要是什么东西三场。
[88:26.180] 没去。
[88:27.160] 我们进口的关单要山东要是没有的话，
[88:30.740] 我都不知道怎么样，反正我现在大楼是在
[88:34.230] 还是让他领了。
[88:35.970] 对，还是在楼上三楼里面。
[88:37.940] 怎么都是去三没有上班吗？那肯定是在
[90:20.970] 娜姐多少本回来？
[90:30.540] 好吧，行A
[90:35.440] 好勒。
[90:36.630] 好勒。
[90:49.380] 好，我们二楼财务放哪了？
[90:51.950] 了？
[90:53.250] 只是找第二个玻璃门，U什么？
[90:57.190] 第二个锅里面又
[91:12.220] 对。
[91:29.210] 卧室。
[91:31.310] 可是现在两盒状去布岭观单去哪里了？抓质量。
[91:35.900] 找高威。
[91:38.180] 斜对面。
[91:39.950] 也没在那过。
[91:42.320] 找不着了。
[91:52.880] 张磊在这屋吗？
[91:54.520] 要找你算账吗？
[91:56.300] 出去。
[91:57.170] 要给你打电话。
[92:44.680] 别问我，
[92:46.520] 我也没来了。
[93:02.840] 查一下这战斗其他都来了，对我打了
[93:06.840] 的
[93:08.080] 了。
[93:11.440] 谁知
[93:14.210] 问题，
[93:15.830] 然后再从手里的面包
[93:19.420] 都要往前跳。
[93:22.000] 法国以后
[93:24.470] 微博是吧？知道好的，那个时候不少。
[93:38.000] 所有的流程没变是吧？
[93:40.660] 就我在这。
[93:41.790] 谁？
[93:43.840] 你看大姐小丽什么的，
[93:45.980] 对吧？
[93:47.470] 还是正常该教他能教他们OK。
[94:41.240] 13年
[94:42.140] 的月供利息节约用水17,000多，三年
[94:45.940] 一共是61,000的钱。
[94:47.950] 然后这个是写作30%~70%的65年的
[94:52.910] 5年的
[94:54.280] 利息是88,000，然后用一万零
[94:57.980] 250网友你看这样不清楚，咱们就说
[95:07.430] 100 3800还有
[95:09.160] 13,800这里的是领导清华历史脚架4个亮点，行车记录仪，好非常好的，还有
[95:16.590] 开票。
[95:17.770] 还是6点吗？
[95:21.990] 王。
[95:23.040] 接完了吗？
[95:24.830] 实际的优惠不是5万是吧？
[95:27.790] 优惠现在是这5万。
[95:30.610] 你们家庭这个是
[95:33.490] 有一个经济方式妨害代表。
[95:35.930] 食品招商套餐是这样，
[95:38.820] 他是做荆条，他送一个5000元的保险，
[95:47.040] 要求25,000。
[95:48.230] 大概25,000，因为今天我下午要交一个车，刚算的保险25,000多一点，
[95:53.410] 全险当时以实际发生为准，您说您补偿那么多费用，到时候再去减。
[96:33.200] 你要是
[96:34.220] 是守护24万，再加上税保险验车这些
[96:39.670] 10万块钱，
[96:41.030] 那得34万。
[96:44.320] 前期超34，
[96:46.280] 已经开走了，然后每个月还1万块钱。
[97:07.070] 但是综合下来了，你这行。
[97:09.140] 其他
[97:09.920] 咱们说挺多的实际上。
[97:14.070] 他是怎么给您算得没事，您给我说一下，我看他。
[97:20.800] 797,800。
[97:24.330] 减了55,000的现金是吗？
[97:26.720] 797,800，最后我下来反正我教的不到91万。
[97:33.940] 他有一个粽子里头有一个脱衣
[97:39.410] 还有一个菜馍。
[97:41.650] 多少钱？
[97:43.870] 她一共
[97:48.740] 它保险的一个
[97:49.940] 20元一次，保险我自己算的高，按全险算的保险22,000。
[97:56.830] 有那也是应该给您估算，以实际发生为准。
[98:00.280] 电车也没那么贵，验车是多少钱？安装就是2000。
[98:04.860] 2000。
[98:11.800] 保险是上下是可以浮动的，
[98:14.540] 因为是以您个人选定为主，
[98:17.120] 保监会跟4S店的规定都是一样的，折扣也都是一样的，第一年您在我这儿上保险30万块钱，如果同样险种的话价格
[98:24.280] 也一样的，验车有可能我知道可能外面有2000的2500的，还包括3000的也有。
[98:29.570] 还有
[98:30.580] 然后剩下就是车架，如果按照刚才您说那车价把它直接
[98:34.140] 已经优惠了55,000现金，
[98:35.730] 然后
[98:37.100] 是这么着，我这边倒是也可以直接把身份证保险直接可以捡到您的车价里面没有问题，就让那车驾驶。
[98:45.350] 那就在于说装饰着装饰，看你给您算了多少钱，然后我让你们赚了多钱，那出入完全就在这了，其他
[98:52.520] 没有什么说过。
[98:55.030] 是恼火。
[98:58.070] 感觉出来
[99:00.530] 它装上好像记得有几项，一个车衣
[99:03.550] 一贴膜，
[99:07.430] 你这有什么？
[99:08.620] 我这是13,800，然后相当于说这边全程玻璃贴膜用的是威固的，
[99:14.470] 然后还有必须脚垫、后备箱垫、隐藏实时记录仪，原车脚垫，然后包括什么遗产，
[99:21.860] 药量没有气都在里面。
[99:24.200] 其实现在要不要bb，
[99:27.070] 就这些东西
[99:32.310] 立项申请，
[99:33.720] 一个你说优惠到位，
[99:39.680] 79万。
[99:41.100] 7800这样子。
[99:43.730] 然后
[99:46.880] 其他的东西你看那什么，
[99:49.040] 要是不能
[99:50.870] 我理科机动车E就行了。
[99:53.260] 不用和医用不了。
[99:55.060] 唯一的话他在天津卖做的跟我们这做的应该不一样，品牌也不一样。
[99:59.460] 车一现在外边直接很普通的，就穿皮牙子炒得火热的，像您这车要做的话，外面应该是不到2万块钱，
[100:06.190] 光车衣还不算任何其他东西。
[100:08.480] 肯定是真的，您说的那种车一他应该是那种白色那种治疗车次多，
[100:14.430] 种您这种yy给你找5000钱能做。
[100:17.290] 因为他应该做的是的，不是那种咖啡癌的，我们这做的是美事。
[100:21.380] 女士的话像您那车全车车最少的话应该在29,800，装车一就要29,800。
[100:27.290] 这么对，因为这车一三六九等，他们那边放那个车和你肯定不一样。
[100:33.320] 我这没给你写这车一。
[100:35.160] 对。
[100:37.550] 他一定也给你
[100:39.350] 说。
[100:40.440] 他要说给你写的是2万多的话，车E肯定不是那种特别好的特异几千块钱的那种，
[100:50.350] 他车一贴很大学问在里面，包括车膜的厚度，这些都
[100:57.640] 涩的声音还不如不贴，因为你要贴上面的话，它应该正常的话质保基本都在5年到6年吗？
[101:03.630] 5年到6年的时候，如果说您不想让嫁接的时候，41你是接不下来的，那胶就粘上面了。
[101:09.190] 你在这往下蹭，
[101:10.520] 好的车衣五六年之后，你们下去的时候直接拿手能起出一个边来，
[101:15.990] 人家一传下来，这是好主意。
[101:18.280] 这次的一个区别。
[101:32.270] 您说这个店应该是立军航集团的店，
[101:36.920] 你
[101:38.380] 优惠到5000是85,000的一个就是你
[101:45.630] 就13,800。
[101:48.630] 这个人一直其他的问题我吃贴膜要是吧？其他的要不要不附近？
[101:54.900] 您说脚垫什么的小调调也行，像什么箱子雨伞的东西送您的，本身其实就是说
[102:02.330] 也不再那种额外品，其实也算是13,800里，其实里头就是4项东西。
[102:07.100] 全车玻璃贴膜贴膜用的是威固的，光模的成本就在8800，
[102:11.530] 这里是内膜贵，
[102:13.140] 然后像立体脚垫会相见。
[102:16.300] 这都是跟原车就坐的，然后还有一个隐藏式行车记录仪，现在咱们一般都装。
[102:22.400] 托福打分后经后边有一个
[102:26.740] 小一探头就一探头，别的什么都没有，然后就看他手机
[102:30.670] 这么一个东西。
[102:32.910] 然后这一段从89的时候，这4样东西，像刚我们说脚垫
[102:36.800] 一块送给您。
[102:38.800] 您买来送我。
[102:40.280] 老公，因为人家也没
[102:44.520] 所以说你要说在家车E的话那就贵了，因为车一旦我们最便宜的，
[102:52.810] 咱做肯定是做好了，不能说
[102:55.260] 装不便宜已经多次了，然后4个bye了。
[103:34.720] 短信收到了吗？
[103:36.650] 没收到的吗？
[103:38.110] 没了，还没收到我说什么？
[103:41.740] 我就差保险。
[103:51.840] 一会交完车是组装的。
[103:54.250] 对，装车。
[103:58.460] 当是脚垫后成了行车记录仪，这不耽误时间。
[104:04.190] 可信不用理他。
[105:57.530] 有可能
[105:59.450] 即使他取消，
[106:02.630] 对吧？
[106:03.730] 看看今天已经做了过来了，
[106:06.680] 平均一个怎么一个小时？
[106:10.070] 以前一天交10个车来平均
[106:14.640] 我的工作饱和度是8个小时7个月，
[106:19.000] 我们是
[106:21.050] 月底的时候又干
[106:38.920] 软件项目，
[106:40.650] 找
[106:43.560] 车厢，
[106:45.690] 还是全国的一连，蓝牙自动弹出提示，
[106:50.260] 马上就下来了。
[107:09.810] 这种保险现在给您手机发送给验证码。
[107:12.680] 您看一下。
[107:21.650] 051513，
[107:35.010] 那就让他做。
[107:36.520] 对，他这弄完之后就直接送拿着单子过去，全是拿单子的。
[107:45.970] 整个流程交完车什么的，行车记录仪什么的。
[107:49.560] 就是那隐藏式的。
[107:51.180] 不影响你整体的外观，别太能话，
[107:55.590] 你想毕竟迈巴赫即使是什么态度，这些整个这种马上看不起韩语。
[108:02.580] 对。
[108:03.430] 手机
[108:05.530] 连接了手机，就是用手机下个APP，可以借用你的手机屏幕，在车里边能够连上，
[108:12.050] 看里边的手机那个软件咱们可以打开了，
[108:23.470] 点登陆。
[108:24.940] 567507，
[108:27.810] 对26。
[108:36.410] 你这个录像一直都比较慢。
[108:38.560] 11点。
[108:39.510] 明天好好。
[108:44.870] 你还不泡的。
[108:50.830] 密码多少大A小加号86，手机号前面是加号86。
[108:59.590] 8865中国区域代码吗？
[109:04.730] 密码大A小A1~6，
[109:07.740] 一个大写一个小写，
[109:10.230] 第二天无聊，
[109:12.540] 今天这个软件能登上就行，车功能还用不了，车就跑一跑，车载数据连到网络了，
[109:19.830] 挪用的话他能用的功能直接就在这个页面就体现出来了，
[109:24.380] 什么结搜索车什么的都有，可能公里
[109:28.030] 确定许可什么呢？
[109:34.960] 可以
[109:36.320] 提供了
[109:38.290] 血型举动是我不配
[109:40.880] 不需要这个内容，谁知
[109:43.380] 免费的。
[109:44.700] 也有年限吗？三年有多年真有毛病，
[109:49.280] 现在转用不了了，这是定位，这有什么可着急的？
[109:53.530] 在对账。
[109:55.350] 这块不要追过来。
[109:59.310] 稍等片刻，我们客服这上来跟我们服务做个简单了解，好，我复印一下4号。
[110:06.060] 你先签字。
[110:07.820] 这张就是刚才待你演示的过程。
[110:10.710] 有点完了。
[110:12.830] 他们是
[110:13.910] 都有人
[110:15.510] 给你解释这张纸，外公内收入翻倍了，那就喜欢了，完全一样。
[110:22.800] 我说发票还有合格证都在他当时出保险单前排，
[110:26.550] 一共200兆到55年，客户赶紧资料，你刚刚帮手册他不是
[110:32.820] 没品牌名称都不会，
[110:34.670] 钱都在全部交了，这张票比较麻烦。
[110:38.510] 他们谈美好的带领卡片，对，我就等着他这边收到才收到保险的短信，我就直接走了。
[110:48.500] 这个时间
[110:49.750] 还算卡的比较紧凑。
[110:55.040] 真的。
[112:50.730] 的
[113:02.520] 三
[114:22.550] 必须给我们自己办这些地方直接微信给我，
[114:27.650] 穿衣服
[114:30.080] 交流
[114:31.240] 好不
[114:33.800] 我再
[114:35.020] 这孩子以后
[115:03.160] 往前看，
[115:04.020] 调查
[115:07.570] 有着感动这样的
[115:14.240] 的
[115:15.190] 不要
[115:41.330] 了。
[115:51.960] 旧照片。
[115:54.970] 刚刚
[116:04.340] 要想标准，
[119:12.230] 如果没有条件去放他保险的事了吗？
[119:14.900] 还没有收到。
[119:17.120] 对。
[119:26.280] 了
[119:33.970] 数据、
[119:37.650] 数据、
[119:39.290] 数据
[119:41.530] 场。
[120:07.820] 937。
[120:09.040] 20年就是这个意思吗？就一算。
[120:12.160] 还有几个到
[120:13.930] 你怎么这么忙不怪你这个业务能给瞧来，我跟你说他这不靠谱，
[120:19.940] 你小孩拍马屁咋说，你看有事找我都上也没，我当你的时候你都
[120:27.990] 你就给我这个点都可
[120:30.360] 对了。
[120:31.200] 有多少钱？9000多，你找的时候我觉得真的每天
[120:36.640] 看着电话有点倭瓜，纵然馁家卖光光角色从新课不满足他，
[120:48.410] 什么东西？
[120:49.940] 什么每天为什么到期末了冬瓜，
[120:53.950] 什么管就是的海外下沃尔了，呱呱呱呱我的手，但是过了多久了说话，因为昨天的江西还有啥？
[121:04.390] 好像这个是山东那边青岛人查出来，就是说海关路了什么还是到这样的吗？
[121:12.640] 没有说明白过去的咱们这里回去走出来。
[121:15.520] 昨天我出去讲怎么了解听这个就那么关心，为什么要走吓跑向往波。
[121:22.940] 天我也说了，觉得现在别买这明白这意思吧？要走个都花了，这都不管了，来了把心还多，老师你老拿这个说事儿，咱们这个活动我刚刚走了，
[121:42.430] 老爸这东西你说能不能做好老板？
[121:46.600] 当老师给我讲一讲他买给我配件的含义推荐是吧？然后原来父母的不一样，
[121:54.730] 给我的长项是吗？我说没毛病吧，
[122:01.030] 大概快一点有所的下调。
[122:07.230] 来
[122:08.710] 看完了。
[122:10.590] 你等一会告诉我看怎么付款。
[122:14.880] 我把这个弄完了，我们行行，我再等会这着急办明天走吗？
[122:20.310] 去年这样
[122:23.960] 榜眼一下子出去了。
[122:30.670] 我要提前走了吗？
[122:33.590] 可以吗？
[122:35.000] 不要喝酒。
[122:40.710] 你东西搞好，
[123:58.880] 忙活了。
[124:01.460] 完了吗？
[124:02.600] 这两天稍微好点。
[124:04.190] 说好点了，
[124:05.930] 又不忙，
[124:07.520] 要不忙
[124:10.420] 比之前忙点好忙多了。
[124:13.680] 前几天是真快坏了都。
[124:17.510] 但现在到月底，
[124:19.290] 20号以后从月初
[124:22.570] 就比上个月
[124:24.040] 就上下半个月。
[124:25.380] 好多了。
[124:27.900] 不过你现在看还是这样，你预约天天预约了不少，100100多，其实不见得到店了，到不了100。
[124:34.890] 还有一部分过来了，
[124:40.800] 咱们电量还是大的。
[124:42.640] 不用。
[124:49.440] 销售也比例。
[124:52.030] 炒顾不了。
[124:53.050] 这越man了，
[124:54.160] 是吧？这月有点慢，
[124:59.640] 改政策了，
[125:00.700] 改完了之后一块卖不是太不了。
[125:03.860] 我跟他打了又来了，哪了？
[125:07.730] 再说。
[125:09.310] 我一样
[125:11.610] 都找我送走。
[125:13.990] 连模特都拐，你现在干活修复。
[125:21.520] 因为客户白买的可以，那时候我走了，我一会找我来，我想拍张照片也没走。
[125:30.300] 一会出来一看，
[125:32.210] 谁知
[125:37.290] 世界散打冠军
[125:44.850] 白花花的。
[125:46.510] 等会大哥。
[125:50.530] 我先生这一块上课
[125:52.120] 判决，而在前面领的行对吧？中间那个女孩，
[125:57.080] 你说你们三件要办保险，
[126:00.810] 行，上海电话说导致电话，
[126:03.270] 他打了电话。
[126:14.940] 也是教那个吗？
[127:22.290] 下面
[127:27.040] 但是我没有后来在上班。
[127:38.670] 对。
[127:41.960] 1244没看过的。
[127:44.480] 到里边过来好像
[127:48.470] 就开始了。
[127:51.310] 我那个网站吗谁知
[127:55.020] 1360
[127:56.160] 里面有要求。
[127:59.170] 几个人也三
[128:02.360] 发生的。
[128:03.640] 好了，明年你们先听说天天不灵，但是搞定会要这样。
[128:10.560] 这点如果要改变的话，明天比较
[128:14.670] 有可能改革的。
[128:27.210] 像电话说一下。
[128:28.440] 开发应用。
[128:31.050] 186
[128:32.320] 2001 200181，
[128:35.130] 对吧？
[128:54.880] 1378。
[128:56.290] OK。
[129:28.930] 刚才好，你说说。
[129:31.630] 但这个情况怎么说？
[129:36.650] 已经下完以后又去找了，
[129:39.210] 然后你等我，然后我放在这里，
[130:23.670] 为
[130:26.200] 三峡私下
[130:30.930] 保险还没出来，就正在铺，我就在这。
[130:38.830] 好勒。
[130:54.350] 您完事之后您就在水花等等
[130:57.160] 这边这种出保险了这是吧？
[131:01.790] 结构331。
[131:04.950] 等会儿。
[131:07.550] 一点。
[131:14.310] 走了。
[131:15.890] 快快快乐。
[131:19.400] 好，这些都是
[131:56.920] 过来的话我这着急
[132:00.660] 商业带来用扫吗？你也给你抓一下工作。
[132:05.410] 111一条一条味道去剪个套强有力。
[132:09.340] 前三天谁知不断的重复，肯定有的。
[132:14.780] 我的
[132:16.090] 流程的行业增长
[132:18.530] 稍微等
[132:19.640] 要抓得很好。
[132:23.440] 你刚才
[132:25.020] 出的两个环节什么地方？
[132:29.000] 开发了多少公益环境，
[132:31.400] 主要的东西他没开开凤凰，不想来多少
[132:36.540] 这个操作吗？交你就看着要吧。
[132:41.070] 我会送花，谁知可能还能被困真的开成光面普通话他才开车都是的，就跟你说一下，一般
[133:02.990] 中基本上你说被保险人写把执行投保人都是老话，那不是说不被保险人，是他本人就是悬挂的东西。
[133:14.550] 反正一般我们要培训轮胎是最低是1.6号，座位非常好的，开车的时候100多2%都需要帮助。
[133:22.770] 心想印好了点记者什么性质，其他的东西1361one
[133:30.460] 信封没法磨损，你好，这个东西其实我看世界包括全体202 212，现在广州解决目前不确定，
[133:43.190] 书记员我不来了，不是学的话就算了不断。
[133:51.350] 没事了，目前然后想了一下我就走，
[133:56.770] 另外保证别的他们的套路绝对会给你爆发，
[134:03.570] 不要因为的换，
[134:06.230] 那地方感觉我并开展
[134:11.270] 这原话都没意思。
[134:13.810] 然后你决定你包括
[134:15.990] 不是要观察细节，观察生活，
[134:19.250] 生活就是一个细节。
[134:21.170] 你想其实生活是前有一个季节等到有点戏了，今天的钱确定一下一个花汉族
[134:32.860] 还有比较
[134:34.480] 是你就去的少，你要不官网上的生意，
[134:39.310] 这事我得批评一下了。
[134:44.570] 不到。
[134:47.180] 平台看人说话的。
[134:52.750] 平安今天人少的比你们多，
[134:55.910] 都是要不说话完了没管多少呢？
[134:59.910] 时间一般那就过来了，找了吗？对出来了，大家都有。
[135:06.110] 听见了我觉得
[135:08.300] 也。
[135:09.800] 你去吗？你说你看大哥我看我
[135:12.840] 给我家长这里面
[135:17.970] 你管那么多了，这是
[135:22.430] 的
[135:24.380] 你开车就过来了，结果回家了直接掉出来了，
[135:32.330] 你这没有走。
[135:34.530] 导演的
[135:37.090] 的。
[135:40.450] 后来把房子你们行给我吗？你说的。
[135:46.320] 你想是吧？
[135:48.150] 那块
[135:49.220] 许其亮这样。
[135:51.240] 谁知
[135:54.250] 亚太求面积应该起了，最后是有一个地方4
[135:59.550] 死亡，谁知到那个东西那天包括正好就不用没有上面的，
[136:08.850] 到这样我看一下放应该是谁知。
[136:14.260] 你现在没有吃饭，点走走回头看到了，我打算应该说
[136:23.090] 相关要求的，然后还当初看过了，现在感动了
[136:32.470] 就行了。
[136:35.360] 忙了你就早上出来你快点
[136:41.930] 给出了点3:30马上可以睡着了，那怎么办？就追内容吃了。
[136:49.820] 不错的高于我们，没有不能说为什么你们找不错，不是吃饭价格也吃对不对？
[136:57.130] 不一定上火才能吃饭，白的前面没钱
[137:04.090] 谁知怎么样打我们的。
[137:09.850] 看了吗？去不去的吃饭声音怎么听他这么积极，没事看看。
[137:19.590] 赶紧去不去了。
[137:21.550] 你去走路我
[137:28.150] 50分钟就几个案子，我或者你让我一弄一下，毕竟还有两剩下的
[137:35.750] 也不要站起来，可能你了。
[137:40.680] 不我也送，这是10，你想把干掉了，你是不是？我忘带以后让你受不了，我心里我这个动作
[137:50.750] 不要不弄，你看你穿的了吗？
[137:55.970] 你看看人就是看不到，本来就没什么味道。
[138:01.480] 这个电话你知道吗？你最胖的时候就是。
[138:09.890] 对孩子你直接写邮寄地址就行了，当天没有牌子，然后孩子是一周就给邮寄过来，然后到时候直接来店里就装上就行。
[138:18.010] 没想到吓死了，他能上去吗？你先去了。
[138:21.870] 不是我没有卡。
[138:24.290] 时尚吗？
[138:40.000] 我喜欢这张了吗？
[138:46.720] 谁知你这案子没水没找工作了，
[138:53.000] 都没被抢。
[138:54.480] 对。
[138:55.540] 他这个案子可能是最新的。
[138:59.300] 规章好多东西就行。
[139:02.010] 知道。
[139:04.830] 发生情况是分发吗？
[139:08.410] 上午问我是不是没公正，我说有工作接着发你，然后直接给他二哥，然后司机就行了，对直接寄到家去就行，因为那个电话了很多牌子，然后他混乱的问题，所以说都是寄到客户，
[139:24.010] 然后你收到牌子之后开着车来就行了，直接到这就装了
[139:28.000] 我们的
[139:38.170] 4000
[139:51.310] 的。
[139:55.500] 我还下午还得找人教育完了，好。
[139:58.600] 谁知
[140:00.850] 这件事到大家都
[140:06.160] 对当时应该说的内容大都给照了，没事儿。
[140:16.280] 会上
[140:17.820] 对不对？
[140:19.230] 你再一个我觉得
[140:24.020] 他说一下。
[140:35.540] 行为方面才能解决他跟前一样的
[140:41.150] 最高5000
[140:44.720] 也花了
[140:49.120] 谁知
[140:52.620] 所以说到
[140:58.490] 谁知
[141:03.960] 谁说还要在资金上，
[141:06.780] 我把他的问题
[141:11.830] 两天了。
[141:16.860] 一次没成功过。
[141:18.970] 昨天没有，昨天都有，对。
[141:25.570] 包括后面
[141:29.840] 的
[141:32.360] 办法。
[141:53.680] 这孩子
[141:54.760] 未来
[141:56.660] 而且还是觉得直接听
[141:59.010] 这样特别好。
[142:03.540] 感觉乐乐。
[142:15.910] 反正是上次要保持
[142:19.990] 小组的他发的
[142:29.560] 到最后
[142:32.000] 没有外面的市场，
[142:37.470] 然后
[142:39.000] 牺牲是吧？两个人去了，反正不要钱。
[142:45.270] 先要么就给我吗？要么都是保险的话，觉得走给我打了，你那边挖就在
[142:52.650] 第二天了给我解答，
[142:56.950] 然后给老板他们的结果，然后后来现在可以给大家
[143:09.350] 老玩的
[143:13.750] 基本的。
[143:18.220] 我说行。
[143:22.210] 他的微信
[143:28.070] 了。
[143:32.780] 来三，其实你们是早饭的啥？没吃。
[143:39.020] 但里面我没有还在哪儿给谁了吗？我说
[143:45.110] 有点好笑，我哪天去找你盖章保证了，完了什么没了。
[143:52.830] 后来不是这个女孩的故事吗？
[143:57.470] 好了行吗？谁看一下手机，然后点一下确认投保，然后发一个验证码。
[144:03.510] 我的伤害外刚内你要想干掉我，
[144:07.860] 谁知当刚谁知，
[144:13.350] 晚上是我自己一样，我一会给你打这就行了。
[144:17.660] 好谢谢，还好，你们这两家。
[144:24.410] 好回答。
[144:27.520] 还有
[144:32.750] 哥哥你就是对
[144:38.920] 又被吓到。
[144:42.500] 春天我到他们直接出来，要不都给掉了345。
[144:50.530] 好了，送完了不要用手机号吗？对，我给孙吉工号都漏记一下，让他慢慢做，小李今天就吃了玉米。
[144:57.740] 讲
[144:58.650] 我的腿还后头看到了真的有
[145:03.420] 关联的手机，没有空间，
[145:09.660] 有亮点，对。
[145:13.780] 好。
[145:15.200] 然后别的了。
[145:17.110] 妈对，刚刚看到高价了，对没走，我刚才上
[145:22.000] 我给你打电话用银行卡
[145:26.810] 参加。
[145:27.940] 一会再拿。
[145:30.380] 别的了，走。
[145:48.530] 三
[145:49.470] 把
[145:52.850] 数据
[145:58.180] 数据
[146:01.480] 场
[146:02.200] 的。
[146:06.900] 远远
[146:08.530] 的
[146:11.610] 的
[146:17.130] 了
[146:32.360] 远远
[146:33.750] 的
[146:35.470] 场。
[146:36.820] 句。
[146:41.000] 数据。
[146:48.060] 的
[146:50.120] 的
[146:58.480] 的
[147:00.360] 的
[147:13.010] 你们这些人真是不要了，我跟你说我这是吧，我都说了好几遍，
[147:18.600] 关于赚钱是吧？百分不当然
[147:21.760] 大型晚上感觉过了两小块，确实都是中午吃玉米，然后下午加餐问题什么百分
[147:30.810] 开饭是不是？
[147:35.350] 把你们的饭当然舒服了，
[147:46.520] 到
[147:47.720] 还得看一下，对，所以我说他前面
[147:54.000] 一个他也不大，我一会让他吃饭下来。
[147:58.920] 等到快下来了，行。
[148:04.010] 刚才
[148:06.310] 联系通过，这样别太了，我了。
[148:12.490] 他打电话不错，
[148:15.030] 我有时候都不敢他去了，你看看刚才
[148:18.640] 你哪了，你打的打了一个打雷的大
[148:24.640] 自己架构，
[148:26.270] 对吧？然后我给你打什么去的？
[148:29.900] 拿
[148:30.930] 不知怎么
[148:31.840] 还是不去。
[148:34.330] 这样说好了，我吃饭你旁边吃点，你找我这个事儿你也不用那么早坚持。
[148:42.010] 就要微信吗？大哥现在你给我打了，我现在就直接在下面吃饭，我说发票高校照片也发过就行，我自己打一下我现在微信，
[148:56.690] 然后就到楼下，我电话你
[148:59.870] 你跟我的一样跳绳。
[149:02.720] 超大。
[149:04.040] 我上面那张臭脸。
[149:07.040] 看看
[149:08.230] 小米还有这种才艺上面，
[149:11.860] 昨天大家
[149:15.490] 到
[149:17.810] 就这么多院。
[149:20.110] 我现在这样子，他们那个方向回来，谁知
[149:23.520] 老头子醒来，
[149:25.050] 现在没有了，刚刚过去的话新建房分析
[149:30.900] 第一数据的建设有他们都是了，没有问题没有，就像它其实是有一定
[149:41.090] 过程
[149:46.590] 话，
[153:44.360] 了
[153:51.430] 都是赶着一早交车走了。
[153:55.510] 吃饭不吃，
[153:58.800] 我也得吃点饭，
[153:59.800] 而且吃个饭不让人家走大楼
[154:04.390] 了，
[154:05.580] 11:00~12:30时候吃饭都不行。
[154:08.680] 没有，我记得12:00了。
[154:13.790] 他什么代价？
[154:21.320] 你给我一个手指节的
[154:25.100] 私家车楼上有一个车，
[154:27.920] 有人送过来，
