[00:00.000] 现在刘先生看amg
[44:16.490] 嗯
[44:21.390] 就是说
[44:58.510] 就是基站上面。
[44:59.490] 所以说我觉得什么呢
[45:06.840] 我就让那个刘教授。
[45:08.050] 那个
[45:08.640] 好，请坐。
[45:21.950] 这个应该是
[45:23.450] 也不是很多。
[45:24.590] 嗯
[45:26.390] 比较明显。
[47:27.200] 对。
[47:27.990] 这个项目就是我们的
[47:30.470] 嗯
[47:50.470] 现在
[47:53.570] 请坐请坐。
[48:20.240] 噢前两天
[48:21.840] 听过了。
[48:25.440] 这个
[48:26.930] 不是不是
[48:36.770] 客户呢之前给老婆买了个smart，
[48:39.950] 现在用smart置换，
[48:42.810] 嗯想要小车
[48:45.130]  a系
[48:46.450] 进口的a型。
[48:48.160] 很好啊很好。
[48:50.440] 嗯
[48:53.790] 嗯嗯嗯
[48:55.050] 进口的a系，
[48:59.060] 然后还有这个 c图配
[49:02.160] 都可以。
[49:03.850] 有很大的陶冶。
[49:34.910] 今天是真的吗？
[49:36.830] 车主没有。
[49:38.580] 那我在哪了？
[49:40.310] 对。
[49:41.420] 店店里还有一台现车的。
[49:44.750] 啊
[49:45.790]  I don't know。
[49:48.360] 嗯
[49:58.800] 直接就把这个
[50:00.870] 嗯
[50:04.730] 嗯
[50:06.120] 唉你妈那个单子这进口。
[50:09.680] C在哪呢？
[50:11.840] 啊你你你
[50:13.020] 嗯
[50:14.310] 好。
