[00:02.060] 接待了恢复介绍马女士。
[52:14.080] 评论说发不让写，宋大姐提供吗？
[52:19.520] 提供
[52:21.980] 提供了。
[52:23.430] 你就写包含发完了那没错。
[52:25.960] 包含能不能理解是什么意思吗？能高一点这就行了。
[52:29.820] 客户分析吗？还写的部分问题。
[52:33.070] 用户光芒分析，
[52:35.950] 你可以这么绝了，
[52:37.500] 因为客户分期可以送到了吗？
[52:40.750] 客户部分信息不送。
[52:43.420] 你看你就这么讲，你这后边写的后部风景什么问题，你就写银行明细结了吗？
[52:52.520] 620多万，
[52:54.960] 他到了看能评估多少钱，我靠你们说中华的音乐活动B
[52:59.020] 毛分析那么多万以上的
[53:01.350] 150多大院在人家七八十万，
[53:04.310] 然后就买了
[53:06.380] 就行了。
[53:07.730] 然后
[53:10.730] 没有
[53:12.280] 确实。
[53:16.910] 你在
[53:21.210] 检查。
[53:22.040] 对。
[53:25.850] 目标、
[53:27.450] 不是文本是。
[53:29.260] 这信号不是先减分值。
[53:32.280] 学分。
[53:33.930] 这就是寒邪地感觉三号。
[53:37.160] 这F450。
[53:40.440] 还有什么？好像分数。
[53:43.310] 我跟你说发展不行，
[53:46.410] 我把这圈给他放这吗？
[53:48.510] 你网络上还有车账号吗？
[53:51.070] 有车架号。
[53:52.540] 没有事儿。
[53:55.720] 包含了
[53:56.700] 这个部分0508650。
[54:00.280] 这种。
[54:01.530] 点放心。
[54:03.400] 超级。
[54:05.010] 然后再回收。
[54:11.390] 完了。
[54:14.980] 点刚才没选上。
[54:17.960] 行文本。
[54:19.360] 中职。
[54:22.220] 表1。
[54:25.030] 还行，我们也已经
[54:32.170] 是吧？
[54:33.810] 调节。
[54:35.010] 你什么都别动，你觉得
[54:47.000] 能过来。
[54:48.070] 这车不行。
[54:49.890] 不可能一样。
[55:16.830] 是这么情况。
[55:38.840] 给你。
[55:40.640] 这系统愿不
[56:24.550] 这还真得二分。
[56:29.860] 晚一点。
[56:32.210] 我正在打单子，马上。
[56:34.610] 稍等几分钟，好好拜拜。
[56:42.630] 是正常就到这里这界面是不是？
[56:46.700] 对。
[56:48.020] 你问问什么？
[56:51.310] 什么问题呢？
[56:52.510] 问杨明预备。
[56:53.890] 我不是问杨明的sp是吗？
[56:56.800] 没有S是不是模拟吗？
[56:58.750] 观摩的没有。
[57:08.100] 遇见过这种情况吗？没有。
[57:13.430] 什么车？
[57:14.670] 这车加钱的车只能用
[57:17.980] 价钱的，还有140万以上的是吧？不是。
[57:22.550] 箭楼。
[57:24.720] 就价钱了，对他还没有说完。
[57:29.230] 玻璃。
[57:30.120] 反我真的没理由。
[57:33.290] 拿的是可以，你帮我一下。
[57:36.120] 这样的事情
[57:37.620] 他的就行。
[57:39.520] 还知道。
[57:41.660] 二宝。
[57:42.840] 你
[57:59.240] 是什么？
[58:13.750] 不拿到了。
[58:14.560] 后来又攻占了，带着。
[58:19.880] 估计咱不能先出钱。
[58:22.270] 对。
[58:23.270] 这个是不是因为打车。
[58:24.400] 干部变成铅字。
[58:27.470] 对。
[58:30.150] 他带了
[58:36.250] 老板才转给里面。
[58:39.630] 对客户一点不要，那样，我也不想现在几点4.03。
[58:43.550] 我的感觉。
[58:44.880] 一个月跟他聊。
[58:46.140] 推荐要4个。
[58:47.400] 他也不小了，还没睡这做，那这样子
[58:52.750] 聊得没那么好，谁知
[58:56.670] 人力那边人问我，
[58:59.200] 在琢磨什么时候剪你的公积金，我说你怎么安排合适，他向我想这个月这个月简直合适还是不合适的。
[59:05.700] 哪边人纠纷那边的
[59:07.820] 不合适，这边比那边价格高点。
[59:10.750] 这实习咱们不适用现在的。
[59:13.340] 比内容。
[59:13.990] 高级。
[59:15.270] 我让他。
[59:16.070] 赶紧检查是吧？为什么是这样？
[59:22.550] 他做了吗？
[59:23.720] 无所谓了是吧？
[59:25.680] 能差多少钱？
[59:31.270] 我看龙山是简单是你看他这么演他这么合作，
[59:37.660] 包括面之后，
[59:39.200] 他点的对吧？
[59:40.420] 他点了一些项目。
[59:44.330] 是啥意思？
[59:49.960] 你没笑，
[59:51.100] 他就把鼠标移到了，她敲了回车了。
[59:54.760] 对。
[59:57.930] 对他那本身就在项目那拿。
[60:02.590] 我就想一个S的快点。
[60:06.350] 你先确定你的车型是对的，
[60:09.310] 然后于是
[60:16.930] 就一开始选择D项，最后确定的是倒数第二个。
[60:21.040] 那跟这有啥关系？
[60:39.330] 小王随便先画上一个说。
[60:41.720] 行了。
[60:44.950] 你们知道生产的吗？
[60:46.440] 那啥不是随便送的。
[60:48.010] 哪个？
[60:55.150] 是哪个按哪个出来。
[60:57.060] 车架号是。
[60:59.410] 238747。
[61:04.600] 邓超说顾不上，你自己想办法就是方便。
[61:07.520] 我是
[61:08.720] 你是不是哪个店的？我斗鸡眼。
[61:12.300] 同班的。
[61:17.470] 他原来是本群的吗？
[61:19.440] 都是研发的。
[61:24.000] 我怕以后
[61:25.310] 四五年了好吧？
[61:49.570] 她后来习惯了
[61:51.010] 外销售。
[61:52.130] 看看经历。
[61:54.610] 直播一边办成我
[61:56.840] 现在也控制了，对low逼到人大。
[62:03.570] 真想。
[62:05.940] 说你公积金在上个月你却说发工资了。
[62:09.540] 3了，
[62:10.380] 你们是怎么靠这东西真不知道。
[62:12.770] 公积金学校怎么扣的，他没让你签控制。
[62:15.820] 你肯定是按照。
[62:16.970] 最基础，后来因为你这么着。
[62:19.640] 那就无所谓了，他那边。
[62:21.310] 既给我交不交，愿意讲述难受，
[62:23.820] 他不那边没发工资。
[62:27.200] 是吧？对。
[62:28.090] 发公司配的。
[62:29.290] 你说这个事完了就给你上的，他给。
[62:32.120] 他得给我交，你工资还没发。
[62:34.760] 公司发给他的教授，
[62:37.380] 你让他交了。
[62:38.610] 对，我说那你。
[62:39.860] 我就给你上来。
[62:40.930] 你记着你几点到我吧。
[62:42.940] 对了。
[62:44.640] 您好，到时我打了电话。
[62:46.720] 走对。
[62:49.730] 找我的时候给谁干的吗？
[62:51.950] 没问题没感觉，大不了这打包一下。
[62:55.700] 老师想说
[62:57.320] 咱们都得把车型发给我发给他了，你可以一下。
[63:01.050] 我感觉有可能会在他们
[63:03.830] 其实我都听到这两个人掉，
[63:06.000] 我们iPad
[63:08.220] 因为我害怕
[63:09.760] 这
[63:11.140] 他太不利了。
[63:12.190] 一点一点都不想给他定。
[63:14.380] 真的后来他自己想，
[63:22.070] 那么咱们
[63:23.030] 要不然是又一个后面。
[63:31.200] 要是再不接过去了。
[63:32.720] 对，没事儿不解。
[63:35.310] 我媳妇我们见面。
[63:37.010] 父亲媳妇你们在哪有点甜。
[63:40.240] 是你们的平台是吧？
[63:44.110] 可是你们这平台你们这几个现在三
[63:48.060] 他算清台主管吗？
[63:52.520] 你见过媳妇这样大红旗，
[63:56.720] 他的成绩别人吗？
[64:00.520] 其实肯定。
[64:28.880] 他媳妇。
[64:29.920] 行。
[64:31.150] 性格。
[64:34.250] 他也还没回来。
[64:42.210] 结合经济学生干事吗？
[64:44.490] 在那个家就是过去干事不好，那就不
[64:48.390] 我还不想跟他还得非得定，
[64:50.810] 后来都想你走了，我说你去找了别人家也没有车，
[64:54.630] 还不知道现在不找我给，他找出来家有车，但是加了我加7万。
[65:00.140] 都热了怎么办？
[65:02.050] 丫7万现车人家是吧？
[65:09.070] 你家宝宝现在你怎么找的这么快？
[65:12.200] 这车
[65:13.720] 是在后边的地方了吗？
[65:16.890] 不是这点的就是了。
[65:21.140] 好吧，预计到商超。
[65:29.030] 我拿
[65:32.650] 不知道有人懂，
[65:36.910] 能找一个别的再感兴趣的。
[65:39.280] 怎么还喜欢？
[65:42.110] 这了吧？
[65:52.080] 这也输了。
[65:58.240] 给那个
[65:59.340] 把姚明蕴含着他也挺好的吗？
[66:02.600] 你可以给他
[66:04.690] 你不应该都在这。
[66:13.830] 问题。
[66:17.130] 你太扯了，沉淀就是因为这个不对，客户都得到。
[66:22.590] 没有这种的话。
[66:23.880] 对。
[66:24.820] 我太累了。
[66:26.520] 我妈怎么走的是这么
[66:29.250] 我说最简单的方法。
[66:31.840] 能够。
[66:32.800] 感觉就不是简单的，你刚刚抬头没有维护客户顾问，
[66:37.750] 你sp本身就
[66:39.820] 有点问题了。
[67:04.490] 你这行还是我ID的吗？
[67:12.530] 88年了。
[67:13.900] 你搬走了，我爸妈的我没说过。
[67:17.410] 你不是你90的吗？还是的可能我发给他，我爸爸因为老师回去了，你早点先别回去。
[67:34.200] 你要不给你心疼过了。
[67:36.640] 是吗？
[67:49.860] 没事儿，真是用庐山怎么做？
[67:53.370] 中山。
[67:56.030] 来我都。
[68:19.640] 别冲进了，要弄别人都可以的话就别
[68:22.490] 这太费劲了。
[68:34.940] 给我打电话。
[68:35.790] 他家孩子都去了，没催。
[68:43.330] 不过你们系统都没事，我几乎我都不行。
[68:54.060] 算了没事。
[69:03.760] 800349。
[69:06.050] 20345780
[69:08.340] 三。
[69:10.690] 祝你的类型吗？
[69:15.550] 我问一下谁都行，都可以问问。
[69:26.360] 你还有你的估计就没问题。
[69:29.070] 对。
[70:09.690] 地址什么还要想一会也行。
[70:12.670] 地址刚才没写完没写。
[70:15.060] 没维护了是吧？
[70:18.450] 维护的话都没有。
[70:48.080] 我们
[70:49.710] 你的后面吗？
[70:56.120] 维护一下。
[70:57.190] 我的手机。
[71:11.080] 北京石景山
[71:13.430] 石景山区，
[71:14.760] 然后金顶街，
[71:17.890] 金色金属
[71:19.550] 金点子最低贱B
[71:24.330] 地区
[71:26.130] 8号楼
[71:30.700] 2403
[71:33.630] 243。
[71:41.920] 还有。
[71:42.960] 二。
[71:47.720] 936。
[71:48.800] 68对这3。
[71:56.030] 邮箱是3056，
[71:58.990] 18624
[72:07.730] 身份证。
[72:08.940] 这没有。
[72:09.800] 身份证号130330198209280349。
[72:47.670] 就说他有号吗？
[72:58.770] 都不知道。
[73:05.430] 反正什么都不
[73:06.800] 没事，到时谁知
[73:09.120] 喊老公买3000多。
[73:10.960] 多少钱？
[73:12.290] 929,800。
[73:18.970] 这样又特别多，刚才给我打。
[73:21.550] 谁知
[73:23.190] 5:00。
[73:28.810] 1万1万是吧？
[73:31.970] 数量。
[73:32.820] 一部分
[73:35.550] 可以退的时候
[73:38.090] 又来了，
[73:39.000] 说给你拿活动。
[73:41.430] 马姐拿合同。
[73:43.740] 拿合同您在哪？我马上过去找您。
[73:47.800] 行勒好勒。
[73:49.430] 长分钟就。
[73:50.750] 我现在过去。
[73:52.500] 我们把合同给打出来。
[73:56.520] 第二。
[74:03.260] 管理机构、
[74:06.750] 你去看看书没说。
[74:19.720] 都发一下。
[74:20.880] 你过得怎么样？
[74:28.660] 不好使。
[74:32.380] 因为没打过。
[74:34.110] 打过吗？
[74:35.270] 你去拿去你没在班。
[75:27.160] 春晓舅妈一说我定个大期货，我系统sp真弄不了，刚才用你凭票证，
[75:32.800] 一他一直帮我弄，这是介绍的。
[75:37.000] 那也厉害。
[75:38.760] 它前期那些不好的，咱们好运都来了。
[75:43.570] 前期太白了我去了，
[75:47.200] 投降了去了。
[75:49.590] 我走了。
[76:48.410] 而且
[76:49.920] 你这么办什么，因为您这是什么的，在这条道路。
[76:54.400] 有问题吗？没问题，我刚才不跟你说一下。
[76:59.960] 我比你了解是系统弄了半天，
[77:02.230] 因为他这有车都已经车架号都已经有了，所以说就出去把这个合同打的比较慢，您看一下，主要你看着该车公司价格989,800，就是我们公司的价格，然后因客户上北京牌照按929,800销售没问题，
[77:15.970] 客户不是改变炭排方式，得按供水价格出售，如果说你不上北京牌了，你上外地牌，咱们就按照公示价格进行销售，包含5000保险就赠送你5000保险，然后工行分期没有了。
[77:26.510] 您在这上面就您信息了，刚才我跟您要的信息
[77:30.960] 1万1万，然后余款就是19,800，对，等于是929,800是吧？对，车辆售价929,800。
[77:39.230] 本来应该是
[77:41.330] 889,800，对差4万块钱，在这一天
[77:46.630] 外地搁外地牌还贵，外地跑外地外地汽车摆件不卖。
[77:51.640] 对，然后让会一共三份都是一样的，有时候会给您一份，然后对就行了，现在在这里。
[77:58.530] 外地区域保护。
[77:59.960] 你北京都卖外地北京处理外地车便宜，
[78:03.740] 然后北京的车的资源比外地还多，
[78:06.470] 只要是北京的你卖外地了，外地车就没法卖了，特别周边河北离海这么近，
[78:12.220] 好多人办事都给背景来了，你知道吧？倒是北京车主对不限制了，我再去找经理签个字赶紧来，你看你我知道。
[79:10.830] 阳哥我找您。
[79:13.830] 就有人真。
[79:15.810] 不过听说一个班
[79:17.970] 真不错，是哪个你看着付出就有回报吗？
[79:23.840] 我跟你说我是不是跟你说过，我说你坚持一天7个初次，你肯定得有办法的办法
[79:29.370] 的。
[79:29.970] 真的是介绍谁介绍这交易经过同事介绍吗？
[79:36.490] 不那也算。
[79:38.280] 那也算你前面的努力的结果。
[79:40.700] 跟那同事介绍。
[79:44.040] 火大起火就对。
[79:46.260] 也。
[79:48.030] 怎么谈？
[79:49.480] 按5800。
[79:50.720] 4万是吧？
[79:52.630] 对工行分期行没问题，因为一看
[79:55.680] 部分对。
[79:58.520] 没用
[80:06.330] 你还相当于创立完成5000，
[80:11.280] 车上就完成5000，但是回头
[80:14.340] 别的部门可能会给你核算一下。
[80:16.560] 是对吧？但是。
[80:18.820] 对车上的话肯定是有创立的，我们这边用力工程系统做的。
[80:22.660] 我那sd不行，
[80:25.560] 后来还应不应该在你身上名下。
[80:30.070] 的
[80:32.990] 明天。
[80:34.010] 能复印吗？能帮我着急复印两张吗？
[80:37.190] 不用，我还是下去。
[81:19.640] 走吧姐咱去交钱。
[81:21.600] 等等再下二楼在那边
[81:25.570] 去找问题，你们上课我怕你找不到我走。
[81:31.280] 一会能找着吗？能聊聊等。
[81:35.210] 谢谢您。
[81:38.400] 姐你是做什么生意的？
[81:40.310] 做介绍电商的是吗？
[81:43.100] 电商现在好多火爆，我录下你别说。
[81:48.820] 电商真的太火了。
[81:52.540] 你做哪方面的人来讲？
[81:56.650] 钱
[82:00.760] 的。
[82:10.490] 1982
[82:13.090] 19820928。
[82:15.670] 09280349. 
[82:28.840] 咱右转。
[82:32.360] 吗。
[82:33.540] 不是在往往那边走往前走。
[82:48.480] 他说话
[82:49.240] 开回家还有77岁下来这钱存在银行，谁知
[82:58.560] 如果说主要包括
[83:14.680] 这回你也踏实了，
[83:16.520] 就等着就行了。
[83:21.450] 回去的。
[83:23.520] 没多少钱首付才。
[83:25.760] 手术30多好像是待会给你算完，不到40万您这
[83:29.970] 你这钱包鼓鼓的
[83:33.510] 年
[83:35.650] 都感觉了12个人。
[83:39.070] 谁知
[83:41.430] 看了看了，
[83:44.520] 你为什么高烧
[83:48.710] 了？
[83:49.610] 马上跳下来。
[83:52.120] 微信可以哭。
[83:54.040] 不上号没有要开的票了。
[83:56.920] 没有完了没问，你还有要开的票吗？
[84:02.280] 没事了，拜拜。
[84:06.180] 微信可以支付吗？行。
[84:09.350] 招呼。
[84:11.550] 去。
[84:12.830] 送到谢谢。
[84:18.080] 安全吗？的密码不是您那个号码晚上就扣一下。
[84:23.890] 行，完了。
[84:26.110] 不开票可以吗？你叫别人妈妈给他取消了，
[84:31.850] 这条力量回来了。
[84:36.280] 可以了。
[84:50.610] 来香。
[85:12.530] 这个内容。
[85:15.090] 谢谢三为我们这里边。
[85:19.240] 有点。
[85:21.220] 数据这三个字会工作，
[85:34.340] 钱没有了。
[85:36.010] 你说这什么衣服吗？好。
[85:42.170] 好了。一会儿。
[85:45.040] 身份证号再帮我写户口，就是马行写什么，付款金额马上后发的微信是吗？
[85:54.060] 行，我现在去打单子，我姐姐在外面帮我签字好勒。
[86:06.030] 就它了。
[86:07.840] 没办法，这两个都这样，因为在
[86:13.430] 咱俩就
[86:15.110] boss它是。
[86:16.280] 210381点。
[86:17.710] 72。
[86:20.010] 对那行。
[86:22.240] 然后变咱就变厚了。
[86:24.960] 坏数据。
[86:26.600] 七七八。
[86:28.140] 的。
[86:30.200] 4
[86:45.630] 了
[86:59.520] 号码
[87:21.400] 6
[87:22.460] 坏
[87:25.390] 的。
[87:27.690] 没说除非说您是变更，足以说这车不要了，把指标腾出来了，
[87:33.950] 可能就成不了了。
[87:35.520] 您直接给他手机卡，然后您签字的时候还是轻指标人的名字，可能您身份证
[87:41.900] 7000。
[87:43.430] 号。
[87:44.350] 单个没拍出来。
[87:46.630] 对就开开发票，我现在给你做单子。
[87:55.220] 市场的数据
[88:04.090] 的。
[88:06.000] 的。
[88:09.040] 直接
[88:15.170] 了
[88:16.470] 数据。
[88:17.470] 请坐。
[88:18.660] 数据
[88:27.240] 万。
[88:30.590] 没写。
[88:34.040] 2000字也不说话。
[88:37.280] 空白的第二真是导演高清，大家他张照片。
[88:44.990] 然后系统直接就给他了。
[88:47.630] 他再三
[88:49.290] 4。
[88:50.070] 那就行。
[88:52.200] 小张直接给他开了。
[88:55.870] 天天我得写。
[88:59.730] 稍等一会儿咱们等着花钱。
[89:03.120] 一点。
[89:04.460] 等。
[89:05.360] 420. 
[89:10.650] 我想看一下路数。
[89:12.710] 你看一下。
[89:14.800] 然后下边是确认。
[89:19.150] 没问题他拿走好勒。
[89:23.840] 不要妈走路，
[89:28.430] 135
[89:30.330] 7000
[89:31.980] C260
[89:40.250] 记录了变成了
[89:44.240] 还有你的青春在哪？
[89:51.970] 没事表给他们。
[89:57.410] 号
[89:58.720] 了。
[89:59.720] 马姐收据您收好了。
[90:03.000] 定金收据您收好，到时候拿的时候拿男生他拿对有没有新花什么的？
[90:07.600] 有待没有信封给你找个代号。
[90:10.160] 分了你这是8月31号是吗？
[90:16.080] 明白。
[90:23.880] 别的就没有了是吧？没有了。
[90:25.670] 到时不给我是吗？没错，刚才他没给您没有给您看。
[90:32.880] 有漏洞。
[90:40.240] 因为他刚才都给您了，没有，因为我不知道哪了，我。
[90:43.350] 没有好了吧，好了行。
[90:48.070] 咱们到前面嫂子停车券兑上法条你一起放。
[90:51.560] 对，我放到一起。
[90:55.100] 然后这边车有什么信息了，我就告诉你。
[90:57.650] 行。
[91:00.600] 我也希望他早点到，这样的话您能解能早点什么？没事。
[91:05.880] 不好意思，姐来了还让您生气，我是觉得你生活跟前后矛盾你知道吗？你要念着车你注意看，他问我今天不来，我说来我了跟着这车我给你打电话，也是说你是奔着带头的车，不是在做的车，你不是三两天到我就背着，我就看到这个三天到车来的。
[91:27.330] 最后你说一没有大楼援助虽然不远，但是我还有工作要干是没错，然后你这还可以推掉工作过来，
[91:37.200] 你就别生气了，咱这就订完了，挺好的怎么就行了。
[91:52.960] 你们开车来的是吧？对，一会就能扫个停车叫。
[91:56.880] 要不他那边停车。
[92:00.030] 们是住19天吗？
[92:01.440] 对，就住石景山还行，不算是特别远，对，以后您来也方便。
[92:06.040] 保养什么都方便，是，所以就选择近点。
[92:09.030] 对，你这有点什么问题随时过来找我们。
[92:12.360] 你搁那干多久了？我在这没干多长时间，之前跟企业经理不是一起一个店，后来开了不大我也就不干了。
[92:21.980] 对，从那头这个
[92:26.400] 我的姐姐亲姐姐。
[92:30.430] 怪不得他家孩子给你打电话完事了，咱们先来找一个。
[92:36.930] 太多了，不高兴了，主要的所以了。
[92:42.280] 不要这么长。
[92:45.840] 您在这扫这个事是吧？你找来份刚回家是吗？
[92:59.390] 还有个信息。
[93:01.640] 输出牌号
[93:11.450] 吗
[93:24.340] 可以了是吗？行勒好勒。
[93:28.470] 慢点点，他给我打电话，待会给你打电话，咱家也有微信了，好来拜拜。
[93:50.450] 因为他
[94:25.350] 让我们人
[94:26.360] 地方
[94:35.720] 今天咋说？
[94:37.200] 我今天要回来，刚才我那个车定了，等到9月份再联系客户。
[94:42.550] 这边说是9月的跑回吗？找回来骗了。
[94:47.470] 行一会我说这么着，
[94:52.350] 你打了不行吗？干嘛不行，在那水土不服，到我吃什么都吐，喝点水还吐。
[94:59.750] 我回来了，别的很man，
[95:03.230] 他没有说不行咱不
[95:07.880] 妈妈这个你会不会觉得你孤单丢人，我就是没人尽了心了就行，我说你爷爷给你买本来就不同意你出去。
[95:16.770] 这就咱玩完一次我说你记得吧，苏州那边有名了，完了再回来别白去，
[95:24.450] 又吐又难受的了，没完，我没咋呢。
[95:29.590] 我记得玩玩两天。
[95:31.960] 然后就工作了是吗？出去工作。
[95:34.660] 不是他终于打暑假工了，水土不服，or就
[95:40.510] 喝口水都吐都没法，妈我说那就回。
[95:44.860] 对那就回来，有啥的他心里还挺。
[95:48.620] 对，我他说妈妈弄，我说你不上班，我说你要不上班他不让搬不动，我刚上班又苦，
[95:57.150] 我说那就不上，我说那就
[95:59.580] 我说你记得玩两天，他说昨天玩了一天，今天晚上那今天晚上车票我说退就回来了，对。
[96:05.400] 我说你记得一定要短，我说你去趟苏州吗？一定要完还白去。
[96:13.310] 他说我说哪你不知道我号吗？
[96:17.910] 一打电话说我姑娘在那挂了电话，我们家老是跟我说，
[96:22.090] 妈你知道吗？我姐在那边哭，我奶在这边哭，我的妈
[96:27.320] 真是这奶奶都出去做事吗？奶奶都受不了了，奶奶就说走的时候人家都不让去，
[96:35.050] 到那一说孩子不行不能确定就哭，
[96:39.120] 奶奶就给我打电话，你那怎么让他回来，几分钟也别停了，他跟我回来了，你家女儿多大？
[96:47.530] 89周岁了都20那也确实是
[96:53.130] 也该我想到那么大都工那不一样，现在的孩子对你那时候啥现在孩子娇气的不行，
[97:05.190] 不是说交际那些都不在，
[97:08.840] 我说那你回你赶紧。
