[00:00.000] 二
[54:42.820] 你要是花3万块钱买一家装潢就大了。
[54:48.960] 1000块钱。
[54:50.190] 我说的中国尽可能小店，
[54:51.990] 这些节点进了小店自己家的，
[54:56.290] 然后也没买，他就觉得可能
[54:59.310] 觉得
[55:00.360] 一下多伤害都知道不知道，但是等于也是不光是觉得自己家又要给他饮用，
[55:05.850] 他就觉得前帘好看，他才会去买的那号码。
[55:10.930] 陈良我们倒是觉得无所谓，
[55:14.040] 差不多一点，但是
[55:25.200] 单独玩不了，加热就伤人。
[55:28.410] 是万米了，这完之后就不行，没有吃饱了，不建议您吃饭，而且说实在的，尤其是座椅加热这个东西
[55:35.710] 完全特别不安全，电热土司质量
[55:39.740] 要求是极高的，原来我们店里还说你家装，后来我们店说不行，测试不合格，
[55:45.530] 这太危险
[55:47.270] 了，万一引起自燃了，店里还是负责任。
[55:50.750] 所以就把这个家装给取消。
[55:53.560] 像原来最早的时候，
[55:55.500] 飞机内饰没有电动尾门的，
[55:58.140] 电动后备箱的。
[55:59.620] 那时候我们还提供家装，
[56:02.310] 是因为没有那么危险，
[56:06.360] 没车我让他给您评估一下。
[56:09.950] 现在在评估也没多大意义，我们评完了。
[56:14.500] 超雅超声波
[56:16.640] 服务工程斯两厢的前两天全场
[56:21.970] 来行拜拜。
[56:24.520] 简单先看看，大概咱心里也有个点，
[56:28.510] 反正就做好准备就行了，没这次看一下，我在汽车加上自己停一下，那就2万多块钱。
[56:35.190] 肯定。
[56:36.800] 估计都没有，加上高我大众还算保值车型，其实只加上给我平48,000，我最后才卖了4万次，
[56:44.350] 而且我用的特别少，我一年的话我那车不到6年才开了不到5万。
[56:51.850] 您说多少钱了？一样，我这7年不到5万，您比我的还少。
[56:59.120] 开公里数少吃亏，其实要跑到一年开到12,000 15,000左右，这正合适。
[57:05.190] 因为最后评估主要是年头，他也不按你的公里数来算。
[57:09.080] 我上个星期置换那个车，您要80万的奔驰上了80万的跟车，
[57:14.660] 9000公里，
[57:15.780] 95年9000公里没动就纯扁，
[57:19.660] 纯贬值，最后就十几万没办法，他电池。
[57:24.010] 对。
[57:25.400] 他那个车型也偏，它不像奔驰什么黑一点，C点保持块钱。
[57:30.120] 他是个儿挺老的7过程。
[57:33.950] 还停产了。
[57:36.040] 对，所以他受影响特别大，但是它
[57:39.490] 说实在他不卖，他也是一样，就贬到最后没钱了，而且还得往里加钱。
[57:44.750] 所以他还是决定卖了。
[57:48.340] 我说那车不开的，我都跟家搁着，我这作废了，您还是有钱，你他说
[57:54.150] 我有公车我都没拍这个，我还能干嘛买这么好的车买
[57:59.600] 车搁着。
[58:00.880] 还有钱，我就说我们还是有车没车，
[58:04.550] 新车不错了。
[58:06.920] 清楚上了吗？行驶本带。
[58:11.120] 想着今天定，但是可能是8月份出生。
[58:14.280] 对，8月份理财到期。
[58:18.790] 教授又覆盖了。
[58:20.980] 不改完了。
[58:22.400] 前两天我昨天听谁当了句话，有什么需要？
[58:25.970] 改不了了，他俩愿意改改改你在哪受不了了，我近300万对刚改完。
[58:32.630] 你们没事了。
[58:35.020] 开车
[58:35.900] 都得护垫不是
[58:39.790] 特别挑，我那天就是一个交车客户跟一个订车客户碰到一块了，
[58:45.260] 所以客户回来建模，然后正好我那订车客户也来，我刚把我这客户送出去，这俩人一打招呼，
[58:52.110] 没找小黄，
[58:54.160] 我这刚停完车过来贴膜了，
[58:57.410] 我这订完车了就分手了，就这么巧俩认识，
[59:02.140] 而且关键还都找了我，因为这概率是说了什么，
[59:06.750] 还要
[59:08.240] 这边也方便维修保养，像比如说幸福的这样，谁知
[59:14.370] 都在一起，您这保险是找的哪家的？
[59:17.570] 平安人保太平洋都有，明白都行是吧？
[59:22.570] 反而做平安的多，
[59:24.220] 客户上平安的多，
[59:26.150] 人保也还行，反正上太平洋的最少，原来我这车边上是人保的，
[59:34.710] 他那个CS前面充电器
[59:38.660] 是USB接口还是什么借口？
[59:41.000] 但是他现在都是太子妃了，因为刚改的
[59:43.710] 这个杠杆原来是USB，刚改款，改完之后都变成S了，打印了您跟my小的转机，好谢谢。
[59:55.520] 他这也就是现在叫华为你就火了，后来就变成这样了。
[60:00.800] 我都别扭，我说你们改款车一来我没看，
[60:04.570] 这个口太小了，后来就说突然太子妃跑到用了，
[60:10.320] 其他在用华为也都
[60:12.260] 站着吃糖类。
[60:19.080] 我今天休息，我就过来下班了，
[60:21.710] 你小货车过来看看，
[60:26.340] 就送了一个
[60:29.790] 什么名字，这里面把我给他
[60:58.190] 看校园上了。
[61:00.740] 还有nothing
[61:02.640] 的。
[61:04.070] 的
[61:05.160] 这大重要，谁知
[61:10.960] 现在要求操心的拍我也没想到
[61:22.890] 有发展
[61:24.390] 的。
[61:26.100] 谁知，
[61:27.530] 谢谢。
[61:29.000] 好的。
[61:32.610] 现在这日子可能重视骗的，我再看看新人太长了，拱桥一个
[61:38.590] 从岁开始聊聊到不正常，不是
[61:43.960] 聊到七八年没摇下来，然后这不是就上外地牌了，办进行着结果
[61:49.540] 就行了，可是你说我这车怎么办？开不拿钱分期买的，
[61:56.620] 这说不让他这一个月都让开心，他多烦人。
[62:02.030] 没干。
[62:03.530] 然后他就打工。
[62:05.000] 换家店工作，看能不能在五六环外还能开，对，觉得六600只能610万。
[62:12.130] 真的吗？的成了
[62:15.680] 等等。
[62:19.890] 薄一波
[62:21.240] 说出来就说
[62:22.550] 我们最近为什么破卖的话，我跟一个人名下我多个指标也有关系，但不说一个IP下多个指标以后就收回，然后所以他就赶紧换，因为
[62:32.010] 如果这台车他已经开了10年了，他可能在开5年就报废了，
[62:35.970] 他不就行了，他现在对一般他就不让他再换新车。
[62:39.720] 所以好多客户都现在就开始他的开出不政策，一般也注定着消费了。
[62:45.460] 因为我跟客户说，我说你着什么急，说你这车开就去年婚礼顾客少的那种，
[62:51.530] 然后咱们别车回来，
[62:52.830] 这就不和实施，就不是他说我是从摇号那兄弟过来的，
[62:56.440] 说当时他们跟我说我没
[62:58.610] 然后说
[63:01.150] 马上立马就是要实行要他
[63:03.970] 后来好多人这么说都劝我，说你赶紧的说你要不是10年11年那时候，
[63:10.270] 就那会儿到S店好多都把车滑了，或者把玻璃打的说这车我要了，都给占着指标了。
[63:16.470] 他说我从那会经历过来，所以我跟你说这政策说实事就实事，你不能说说等着等着。
[63:21.780] 那会儿刚出老总风能抢房子的，
[63:25.510] 但有些人不信任，结果真摇上了自个就赶不上，
[63:28.850] 再去买一块也不行。
[63:31.590] 他就不用我从那经历过，所以我我现在一出
[63:36.020] 做口岸我就赶紧
[63:39.530] 另外家庭摇号政策是吧？反正还没正式出来，对没错问题。
[63:45.690] 他
[63:47.080] 长了。
[63:52.230] 博览他有电话，但是
[63:54.050] 那边不接电话，谁知
[63:56.390] 车身小，但是这车您要是坐前面拍的话，其实他并不急开心，两人做就可以了，没觉得多大，不过其实
[64:06.760] 从还是开始定位，他负责质量5就没有负责就行了，他现在确实换SUV的，
[64:14.720] 还是觉得出去玩方便。
[64:16.480] 他说我自己我愿意万一两万的，但是家里人还得人，要是就这一个指标，您别换两个了，就是咱们的
[64:23.920] 谁知谁能做这一点，
[64:28.960] 但是上下车太不聪明，
[64:32.740] 也不太清楚。
[64:33.760] 将
[64:34.920] 家里有两车都停，那车前卖车的时候不比这贬值率低。
[64:40.320] 两个人的
[64:41.520] 包括奔驰买两门的，因为我说话直买200，我就跟soso我
[64:47.880] 到5年拍还送我，我要开的时间少数开两三天晚，我在思考为吧？
[64:53.630] 都这样。
[64:59.630] 它不像ct加菲这种车型，
[65:02.510] 基本上一年年或贬值个10%挺好吃的。
[65:21.040] 经常保养。
[65:23.040] 领导而言，
[65:28.290] 还怎么？
[65:29.370] 购物者。
[65:30.400] 这车损耗也不用很大，像什么换刹车片刹车都那样等着三四万公里的换就行。
[65:36.820] 所以不用往上搭太多的钱。
[65:38.760] 而现在就在北京奔驰的国产的
[65:41.120] 店也好配，
[65:47.430] 同时让他就买了狗窝。
[65:49.750] 现在
[65:51.110] 车子挺好看。
[65:52.430] 好像我前一阵子
[65:53.700] 让儿子管了修一门课一个月
[65:55.890] 了，没有大夫说
[65:57.220] 今天打车上下班也没什么，我跟你说这么慢，
[66:00.290] 还是见报道，
[66:02.660] 这样欲求
[66:05.750] 我斗就说我们同时你让我看看买分钱不少，
[66:09.940] 关于温度大，想要让你差一点，你就来2S90
[66:16.250] 290。
[66:18.150] 有人上了，但其他都40了就合适了。
[66:21.620] 更加近了不便宜。
[66:23.670] 咱说针对这件事才做成，你现在给我们把这车卖还能给多少钱，他说叫结伴
[66:30.600] 卖的不
[66:36.480] 没有人看着我们的意义，我们的意思他们贵好几万。
[66:39.650] 一对我现在其实
[66:41.440] 一一根plc办下来差不多对价格跳的，但是我觉得您家里要一个指标，银行买脾胃
[66:48.830] 使用。
[66:53.390] 等由甲指标的时候，您可以买个小假，
[66:56.190] 买个
[67:10.490] 你直接
[67:12.670] 也
[67:23.200] 还真不错。
[67:24.990] 挺省得开的，现在
[67:27.320] 这个车卖了应该就差不多当3万多一点，完了还行可以就行了，要到8月份再说，让他先
[67:36.270] 再看看他的什么情况，没有，应该有的时候说市场它这个学生就是特别严重，
[67:42.440] 要不不出什么不好，怎么政策应该不影响故障，就怕到时出现什么政策什么。
[67:49.710] 反正这基本上您清楚，咱心里也有点。
[67:52.120] 然后我看信托咱们是要动员还要厨房，我们就问一下这样。
[67:57.040] 行。
[67:59.100] 您说您先回去说好了还记得看看。
[68:03.280] 谁知
[68:04.710] 这种麻烦事。
[68:14.610] 灯。
[68:15.760] 8月看看您和
[68:17.710] 这个颜色就是对。
[68:20.200] 对。
[68:34.310] 但这个车是顶配的车，
[68:37.110] 最不合适的车，这车办下来得6颗，
[68:39.970] 这边他是配了一人机抛掉给我了。
[69:15.970] 您看您就会发现那车
[69:18.840] 谁知
[69:20.640] 的然后那车了。
[69:23.610] 白的半词对我看得到删除没有，对吗？
[69:30.050] 我没看。
[69:31.280] 这么多年他这个材料是这样的，模范的，这边是这样的，然后什么然后260，
[69:42.360] 然后这里边内饰中控面板是
[69:45.290] 钢琴烤漆的，
[69:47.890] 260豪华是那种哑光木纹的，
[69:50.240] 我当然喜欢更喜欢钢铁，看着更时尚一些很多的老对
[69:56.970] 对这个很类似的感觉。
[70:00.350] 中类似的话，如果你要推出的话，我觉得社会好一点，它有一个层次感。
[70:06.390] 稍微有点黑。
[70:13.990] 远
[70:17.620] 的。
[70:21.370] 不敢花，
[70:23.230] 一样。
[70:29.760] 财权点拆加热都不要的，然后就环境氛围正法定范围生活就要结束了，
[70:37.030] 远远
[70:44.040] 坏。
[70:50.310] 新款。
[70:54.400] 有点像
[70:57.770] 的。
[71:01.360] 的。
[71:03.190] 导航的话更新的就他
[71:08.420] 自己系统的东西，你要想公司每年要保养的时候，
[71:14.040] 现在反弹原来好时间了，觉得原来是很多的积累，我觉得可能的大家终于用什么百度什么手机的的感觉，手机自带导航也可以，他在他
[71:25.880] 卖了这些
[71:28.700] 都可以。
[71:30.560] 不够的。
[71:33.020] 对吧？
[71:34.890] 反正就站在我的角度上，可能
[71:37.400] 花的朋友也喜欢痛。
[71:41.480] 对，钢琴烤漆的。
[71:44.420] 木制的我刚才看出来。
[71:47.360] 可能就觉得现在出差了中
[71:49.800] 但是这俩都各有各的，好就这个他很时尚。
[71:53.360] 什么有指纹有划痕，过年买这块我们必须得不得了。
[71:58.910] 因为要不然保安可能让
[72:04.900] 姑娘我能打扰一下，刚才我们来不及配销售我们的这款车，
[72:10.700] 跟宝马叉5还是同级别的吗？特别的这个车现在多少钱？456。
[72:16.700] 您是刚刚因为我们刚看完插入我们在茶楼上奔驰系列选一款，
[72:22.760] 我们现在没有销售量接待我们，他说排不过来，对周末都是这样牌子，对排查30个，为什么宝马在现在没种奔驰就这么多人，
[72:32.620] 我跟吃那个好吧，确定吗？真的？
[72:35.550] 肯定是跟亲爱的。
[72:37.830] 元清。
[72:40.310] 刚才我这个方案他不同意，其实现在困扰我的不是什么
[72:46.670] 几万块钱的，主要是面板的事了。
[72:50.000] 面板对我觉得这个方法
[72:53.660] 可能你们坏了换不了，当时豪华的必须得内幕。
[73:00.440] 不管我是跟现在的好坏，是因为我们没有准备，
[73:06.830] 这真的是后期却考虑进去一点，
[73:10.560] 咱换车也没必要高点的产品怎么叫35元开？
[73:15.630] 如果这还没出来，你要是贴膜太看出来，因为那摩你摔着，我发现可能从上面表现罢了，
[73:23.870] 我也能看见
[73:26.250] 他有的。
[73:28.750] 但是造价其实
[73:38.880] 的
[73:40.210] 谁知
[73:41.790] 应该帮我们给一个
[73:45.780] 动感的报价，这样我就回去再想一想NASA过去
[73:51.540] 这里头现在有像它可以直接
[73:53.920] 有，这就是现车，但是您要说看什么颜色，他不一定什么灰色的4的
[74:01.250] 速度的，一定有车350还有
[74:06.280] 和的外观一样，
[74:09.150] 我刚回来多少钱，我能办10~80。
[74:12.300] 这个也是吧？
[74:13.720] 这是指导价，80多再看其他的140万。
[74:17.460] 方法商务的规定
[74:19.240] 比它贵，同级别要比他做的，但左右分
[74:23.630] 相同，你觉得你宝马叉5是不是？
[74:26.510] 相对来说要是现在开350够了，没必要来做。
[74:30.440] 有点浪费35的。
[74:33.400] 根据才能算一算二的豪华的，对，好的，对，我当时在。
[74:39.710] 行，回去
[74:41.460] 考虑一下，没问题。
[74:46.140] 看也没看别的书。
[74:47.360] 就看这车您选择这个车型也不会后悔，反正您也不算也行，我估计也就是多个4万块钱都办齐了，对到不了4万，国内也都办齐了得很对。
[75:00.760] 你就没法您加我个微信小姐还是您介绍。
[75:06.290] 我之前都是比较明确，
[75:08.300] 宁夏又总丢人。
[75:11.640] 这年代我觉得
[75:18.300] 这表白也可以黑白，
[75:24.780] 主要课程还是比较多的。
[75:27.100] 然后给您发一个信息，您把备注给我加上就行了，地点。
[75:32.560] 没事，我给您发过去，您复制粘贴行。
[75:35.080] 那样方便。
[75:40.810] 刚才
[75:44.680] 在我这您拍个照片。
[75:51.420] 您发过来您复制一粘贴就行。
[75:55.740] 然后待会把这单子给您拍过去，你看看。
[76:07.820] 刚才说那个单子上您还有什么别的
[76:15.330] 能优惠或者。
[76:17.330] 我现在看车架，如果您要选豪华，可能比您还是着聊天的优惠，到时候因为我们的权限点我就直接报到里边，因为
[76:26.130] 如果带过来的，我一般不都是这么
[76:29.720] 然后到时候能看看我能不能再给您真正去。
[76:34.640] 行，您确定好配置。
[76:36.720] 然后外观内饰颜色，现在黑色的话类似就是黑色全黑或者黑色中东。
[76:43.050] 这还有其它颜色吗？
[76:45.030] 有白的。
[76:47.970] 白色内饰是什么？那是黑的棕的都有。
[76:52.640] 反正您先看看，到时候有什么问题您随时问我初中有微信吗？
[76:57.700] 然后待会您要是我觉得应该是进线，应该都住这附近的，都能放在同事，可能10分钟10分钟就过来了。
[77:05.610] 行，那也方便绕圈更好，直接给您申请过了也好，或者是有变化
[77:12.190] 都可以睡，想一下人家。
[77:15.500] 您就是了花了多长时间到了中午买
[77:20.360] 坏的东西？
[77:22.240] 越来越快了，没想到
[77:25.460] 肯定顺利，我好多客户都是直接来第一回就定了，因为它决定了一看这车就是我想要的车，一串价格还行，比我想象中好像还合适一点，
[77:35.870] 然后直接就定了，
[77:37.470] 我有一客户
[77:38.730] 离我们这并不近，他就顺道过来看，
[77:42.180] 之前从网上也了解过，然后就觉得这价格还行，然后正好也是赶上周末，
[77:48.650] 然后他说直接订，我说你离这远吗？
[77:51.760] 不信我主动点，我说那就再这接着。
[77:54.350] 我说你们这店环境更好，
[77:56.680] 我们感觉喂环境挺好，行，那就定了，因为它分期还得跑两趟，我说你干吗选这么远一点，他说你到小时
[78:06.530] 等等你到200人，
[78:09.820] 他说就冲你这近，我就觉得他之后车管了碰到也好的，到了他家门口附近有一个他
[78:16.450] 很小，然后就觉得
[78:19.180] 这也都知根知底的，他每次都有事，我说回来售后不行，给他一代价叫过来，要不方便了
[78:26.290] 先看，然后到时候咱随时联系，基本上车还是有的，不知道这个价格会不会有上浮，因为整个对于车行来说，
[78:37.150] 任何一种品牌
[78:38.760] 到年底越来越贵，
[78:40.720] 年底过年的。
[78:42.480] 对，但是你要说一个月我估计不会填，但是
[78:45.820] 的
[78:46.680] 要是出直接可能要吵架的，有工资电费，
[78:52.830] 然后咱门口有一个蓝色的二维码，您可以扫描一下整个停车段形成
[78:58.190] 别让他看出来给我花钱。
[79:00.260] 但是从设计在哪这个号了？走走。
[79:04.000] 行行好吧了，没事客气过去了。
[79:21.160] 但是从咱前台扫就行。
[79:23.100] 行没问题，要不然我现在带您走过来3000多了。
[79:29.520] 这人真多。
[79:31.400] 我们这要不我跟你说，我们一个月卖三四百人，这真不是吹的，您去别的店绝对没有，我们就客。
[79:44.430] 好勒。
[79:45.220] 我之前有个客户说，
[79:47.340] 我跟你说，
[79:48.710] 我去你们家店三三回都排队，我就买个车，有的路对您得登录一下。
[79:57.630] 今天
[80:02.600] 记住
[80:06.010] 坏。
[80:15.060] 没事不用倒车的。
[80:27.900] 三。
[80:29.180] 反正就从界面领取就行，行完，有事随时给我发微信，待会慢慢拜拜。
[80:39.350] 别客气。
[80:44.050] 怎么样？
[80:49.720] 两
[80:52.650] 主流认可的，我已经打过电话了。
[80:55.410] 了。
[80:56.590] 前方大概也没到后面来了，包括结果回来让我先下一点。
[81:01.890] 这里阳历对。
[81:04.650] 好的，这样我一会让他把这房边上您在网上给了，看完之后
[81:09.820] 好了，后来我没有你去销售行政中间工位，还有一人也靠咱们金融那边的公园，我也写收藏了。
[81:19.300] 我明白一直都这样。
[81:21.470] 就得先卖。
[81:22.850] 比如说您自己开一家公司，您先进了实行水平，今天上您到前台签个字。
[81:30.290] 好勒。
[81:34.360] 他刚才做过的
[81:37.310] 讲商业思维交易，现在没有开发商，我们在展厅里上海来宵夜，就觉得怎么样？
[81:43.900] 应该是没拍，我这等于他又换个人在试驾一下，我就直接贴个实价单去您好了，好像有人吗？
[81:51.440] 没有，你看看还有没有上卖了。
[81:56.460] 听众没打架，商场，然后楼上慢慢没事，我们这是完就
[82:02.070] 我们先说签订谁家的钱不够了，排了以后了他还是不好，你这有AA7的样子。
[82:08.890] H的A35
[82:10.470] 一样快点加油行走，咱们先去看看。
[82:16.630] 我找到了
[82:18.750] 上大批大批的车全部
[82:24.310] 是吧？
