[00:00.210] 2020年7月23号将下客户卢振教授录音，您贵姓？
[34:45.030] 对。
[34:46.380] 你不要了。
[34:48.140] 你要知道。
[34:51.720] 谁知你的微信没问题，我待会完事我给您通过一下。
[34:59.210] 为什么走？后期您用说哪有问题直接微信照片。
[35:04.250] 首先都行。
[35:05.620] 等等您要说不清楚咱就洗手勤您直接问。
[35:10.420] 我到时候这边如果能解决，我也是小视频回来您更清楚一点。
[35:15.720] 有的行没事儿。
[35:18.570] 我说
[35:19.960] 这谁发不出去？
[35:21.480] 太大了你发布出去，
[35:23.600] 我按多少度？
[35:26.280] 一段一段的，您那时候这边网不太好。
[35:29.240] 对，他发过去4个。
[35:31.650] 什么问题？
[35:33.280] 使用过程中要是碰到哪个功能，然后您随时再问，
[35:37.920] 你给你办把这视频发给你，觉得你特懂事。
[35:42.000] 因为没玩游戏，
[35:47.140] 小伙子一般相对来说都比较喜欢车，
[35:50.480] 他在车这儿他可能他就顾不上玩别的了。
[35:57.440] 钱得先
[35:58.730] 了。
[36:01.110] 还真是现在都是。
[36:03.030] 少火子。
[36:19.600] 我觉得我
[36:20.840] 我这个微信一直在响，
[36:23.470] 我就一直都没看。
[36:29.690] 对，那我把
[36:31.510] 了。
[36:32.520] 你去交费，我把你先去吃饭了，行。
[36:37.710] 那地方干活再去交吗？
[36:40.900] 我刚才。
[36:41.600] 宁波发上去了是吧？我发一下发给给他给了
[37:04.200] 陈女士身份证。
[37:05.290] 您需要接着来咱拍一个照片，签两个字就可以。
[37:09.470] 待会我给您实名，不知道您护照要摘下。
[37:14.780] 待会儿告诉您怎么登录。
[37:18.360] 不要动。
[37:21.860] 身份证您收好，我这儿用完了。
[37:37.930] 面房好了，
[37:43.000] 我这也叮嘱您几句，第一就是新车咱刚开始不要开太快，
[37:47.770] 车速别超120，转速别超3，
[37:51.410] 前1500公里您尽量平稳驾驶，少急加速急刹车，
[37:55.910] 出了1500公里咱们正常用就可以了。
[37:58.750] 北京用车油品的话，咱们95号油就可以了。
[38:02.300] 如果您去外地，有些地方。
[38:04.550] 油品不好，或者说。
[38:06.310] 就有以纯汽油加的稍微高一点就可以，798的。
[38:11.790] 奔驰的车辆保养，咱是一年或1万公里做一次，哪个先到算哪个。
[38:16.770] 保养的位置其实就在厅，
[38:19.710] 您后边走到头右转，
[38:22.440] 后期您保养的话提前一天。
[38:24.770] 预约就可以，这样的话节省一定的时间。
[38:33.990] 直接打。
[38:36.050] 客服马上会下来给您做个面访，然后您现在把软件打开登录一下。
[38:42.310] 过来。
[38:49.590] 罗点。
[38:52.320] 完了吗？
[39:01.440] 打开这软件了吗您？
[39:04.140] 第一行点写加号86，您的电话号码
[39:08.360] 怎么样？
[39:09.730] 露着，对，加号，数字里加减号，加号符号。
[39:14.160] 左下倒数第二个。
[39:18.730] 二
[39:20.580] 3号，然后数字86。
[39:23.280] 还有不对？前面有个叹号要单子，前面看看对重新点单号。
[39:28.420] 加号86的电话。
[39:37.560] 第二行的密码是大A小A123456
[39:42.280] 3。
[39:43.630] 没事儿不着急。
[39:53.800] 密码是什么？大？A小A立马。
[39:56.490] 123456. 
[39:58.120] 叫A。
[39:59.550] 123456. 
[40:02.950] 直接点东部对。
[40:04.990] 存储一下密码。
[40:11.470] 名词
[40:12.360] 确定
[40:21.240] 您看目前来说能看到您这台车只要是上海
[40:24.870] 十七动感型的是吧？但是其他的内容还都没有看到，因为现在行驶是属于为直播的吗？你看我就知道住在你们半个小时以上，这个事打不通。
[40:35.490] 以养护礼包的事吗？所以现在我又不确定这我不敢跟你们说，我也不甜。
[40:39.640] 比如说咱们车门的关闭状态，续航里程车在哪儿，包括您的车门，
[40:45.410] 解锁车门，这些功能都能实现，轮胎压力，蓄电瓶尽量唱片，明天这行情出现数据了，就是说我
[40:54.220] 我说今天先不提着，我星期六来跟他没关系，二号吗？小时候我以为是行驶，不是您随时在加班行驶半小时，
[41:03.530] 要不然你要没行驶话，24小时它也自动对接了，来，陈女士你是你好，您诉说。
[41:10.870] 好，给您做一个交割，买一栋面访送您的一把雨伞，
[41:15.410] 您看您是我们现在整体交通流通体谅满意程度15的话能听几100多少钱，1~5分。
[41:24.510] 挺好的，感谢您的认可，车辆功能讲解介绍的话可以解决，
[41:30.430] 也是5分2.5。
[41:33.160] 新车外观内饰的话您看了吗？65分能评几分？
[41:37.240] 然后再关键是5分，
[41:39.570] 各项实物或者服务承诺兑现情况能评几分？
[41:45.350] 你家干净了。
[41:47.590] 今后院长新妈好友推荐。
[41:50.580] 我见妈妈。
[41:51.860] 我爸爸妈妈感谢您的认可。
[41:54.660] 我马上完事，我得吃过饭就。
[41:56.440] 购车的话是重构朋友介绍置换还是首次进店呢？
[42:03.050] 手续是吧？您从事什么行业呢？
[42:06.530] 我不是这样。
[42:09.270] 比较平时有什么兴趣爱好吗？感兴趣的活动有吗？
[42:14.520] 例如看电影运动私下有什么有没有喜欢的？
[42:20.350] 给您写个广泛。
[42:22.150] 您电话当时留的是
[42:24.970] 1369129500519是您的是吧？对您爱人后续我们店里护士厂家可能会打一个回访电话，会打到您二，今天他没有来是吧？
[42:38.800] 那么也拜托您到时可以帮我们嘱咐一下，任可能电话打到他们能给我们打个满分什么的，整个一个体验也可以跟他说一下，
[42:47.910] 您帮我在这签个字。
[42:50.560] 这我还签他，谢谢。
[42:52.320] 千都是您是委托人。
[42:55.200] 行，我给您北京完全好签完了好吧？
[42:58.970] 然后这个是我们的一份服务公约，就是在整个购车过程中的话没有强制消费，没有捆绑销售，
[43:05.730] 您的所有价格都是按照您这合同编号是
[43:09.750] 921580来执行的，
[43:16.510] 您确认没有问题的话，也是您在这拥有着签字，然后写上今天日期的走廊是今天
[43:25.410] 写我们对您这上面签一个
[43:35.850] 完事几天签字。
[43:57.760] 女士您可以关注一下我们这里的公众号，后续我们店里经常会组织一些活动，如果有时间到时间
[44:03.760] 可以过来参加一下。
[44:05.240] 行，谢谢。
[44:11.470] 我说
[44:14.420] 这也可以关注一下这两个公众号都不一样。
[44:27.270] 好了，我这边就没事了，祝您用车愉快，好。
[44:33.130] 然后问您签几个字，
[44:36.170] 第一个就是三包，刚才原件在您车里着，复印件名字就报给厂家留底
[44:42.750] 了，空白这边都签，您收现金流为多出，所有的字都签名就可以。
[44:48.450] 她抽了号。
[44:51.280] 谁知。
[44:53.790] 提前过来装了。
[44:55.670] 张惠妹。
[44:56.720] 最快的。
[44:58.110] 这个是一个养护礼包，您车送走两个导演，演艺加ed，
[45:04.310] 然后这句话本人已充分打通牙，不用条款确认无误放在横线上。
[45:09.880] 这句话
[45:10.810] 放在红线，这天津严重晚上把这句话对本人到确认无误，超载红线，
[45:22.610] 能把今天
[45:27.320] 可以了。
[45:28.770] 你直接就没有了。
[45:32.190] 我说过直接
[45:33.960] 短时间内
[45:38.090] 您是这样。
[45:39.840] 我们周一到周五是交通的时间天，
[45:43.480] 现在的话我大概一天要交6~7个月，所以您中午来了，这时间我没法给您定，不能有通达。
[45:50.330] 是这个意思。
[45:51.820] 但周六了，
[45:53.160] 我都是上年销售，那时候开始水已经定一个中周日上午点半。
[46:02.510] 对天津名都行。
[46:07.110] 我刚刚
[46:08.440] 车辆及交接单外观内饰整洁，车辆的
[46:13.320] 发票合格证保险都不拿走，因为是中期车辆验完车骑原件时候都给你。
[46:19.270] 要是今天你也看到一把，我待会拿那条信息表去给你领第二把钥匙去，
[46:24.520] 取车的时候在一块
[46:25.880] 工作给你讲了，电话留了微信了，后期用到我们在及时沟通。
[46:30.280] 三包在车内防守，坐在车里互联，就刚才您的手机客户端。
[46:34.950] 养护礼包刚填的两次保养，
[46:39.090] 参随时工具，三脚架，元车载急救包待一会去车间有人已经装
[46:44.100] 了，注意事项告知您了，救援车上两个文件，MC面就是说
[46:50.370] 保养一年1万公里一次，
[46:52.870] 包括就在后边界面
[46:56.070] 这便宜的了。
[47:03.970] 这句话本人已充分了解以上所有条款确认无误，
[47:08.620] 一样放在文件后面签名的，关于用完了没有？
[47:20.010] 本人已充分了解。
[47:21.600] 以上所有条款确认无误。
[47:22.800] 务您再抄一遍，然后后面签名就行。
[47:36.940] 手续待会我都会转给张效，您不用管，车我就给您送车间坐庄了。
[47:42.880] 然后伞您是拿走还是给您搁车里？
[47:46.050] 你给我不处理行没问题，什么他说是还有一个什么？
[47:52.030] 这确认我签名是吧？
[47:55.720] 还有什么？
[47:57.250] 说怎么着还没验车，最后一个什么不能克膜贴膜。
[48:01.660] 能做，对这您不用说车间都吃了。
[48:03.840] 到时候膜回头您验完车回来。
[48:06.620] 挑的时候让你选深浅。
[48:08.470] 颜色的魔。
[48:09.870] 对玻璃膜。
[48:11.170] 现在都不用。
[48:12.210] 我感到海关行行我这就没事了，感谢陈女士。
[48:17.770] 我在等着您对象，他跟您说售后待会您就直接吃饭就行了。
[48:23.400] 就没事了吗？对就没事儿了，现在抽不起走是吧？开不走对好勒，行行，我就想跟您说关键
[48:32.460] 孩子饿了吗？要是咱们就先去吃饭，看您在这里面。
[48:37.770] 我在那吃饭。
