[00:00.000] 不是高峰。
[39:39.650] 上面修炼到那个站点解读，当时屋里有人钓鱼岛片看过瞬间就没了，一股烟又白，气着村等我媳妇葱我了，村就没了，
[39:54.150] 什么都没空，好几千多，
[39:57.220] 水是一一千几百多的铁水，
[40:01.540] 这么多1000 1700多毫升，
[40:04.140] 我说我那搁那我发小，他原先在我们炼钢厂，他去他在那边上班了，
[40:13.500] 我们那是分厂说好像是在邯郸还是雄泰那边，好像也是总厂怎么着，
[40:19.030] 他说那边
[40:20.800] 有一次有人掉下去了，就是说人看完一到这边一拉，
[40:25.060] 拽着腿了，结果一拽下来就剩两腿了，
[40:28.220] 下班时间就没了，就赚了。
[40:34.100] 就天
[40:36.510] 也有过她还是什么水出来那种，有一个沟
[40:42.490] 有往外流，外观干嘛用挽留，他不是下班吗？几个人逗着玩，那哥们一跟玩玩后一半依旧坐着守一处，
[40:50.770] 是反映挺快的，直接啪给震出来了，都有劲儿蹦出来了，豆豆屁股勺
[40:56.380] 就没了，这后来命保住了，
[40:58.960] 他屁股上都没
[41:02.240] 他说他挽留温度，后来大罐的温度还不一样，还生就像已经D起来不少了，
[41:08.890] 他们喜欢漂亮，就钢铁玩大官，我调人调一下不行，聪明
[41:16.050] 特别高，跟次冒白气，有时候白气什么都没有了，没有衣服。
[41:22.380] 什么
[41:23.540] 古城什么都没了，
[41:25.010] 我哪多少度这房子高好多了，
[41:27.870] 火葬场烧不干净，
[41:29.720] 受不了什么大骨折什么的都给你盛了，对这也错，人家可能也是为了生气了，
[41:36.840] 对吧？你烧碎它可能也被气是吧？费劲，他说费劲，谁知
[41:44.080] 我不知道这效果，以前你稍一遍之后把抽屉抻出来，拿钩子把这
[41:51.300] 勾开。
[41:52.060] 看到这里面有机器都沟通吗？现在还不是，现在好像就里边冒有东西钩还要卡稍微油，现在里边有我将第一排的
[42:02.560] 喷油的咔一敲，哗
[42:05.740] 在那游，稍后再跟你在场所。
[42:08.220] 你去黄茶你稍大刘超小刘，
[42:11.690] 说你说大龙可能你扫了一半，有一半是上一任，
[42:16.010] 要不你这一半可能留给下一任了，黄桃也那样，我是怎么知道的，我们那一同学不是出车祸死了，
[42:24.010] 我们跟他一块去的。
[42:25.450] 一块去的，然后去烧，人家问你你是烧大炉上烧小国，
[42:30.050] 说是大楼的话，
[42:32.860] 所有人都在那里。
[42:34.840] 你小楼的话可能就随你扫得干净，
[42:40.550] 他把里边的东西扫干净，
[43:03.350] 科技发达，
[43:04.220] 以前
[43:05.590] 可能就不行。
[43:07.100] 是以前买也挺合理的。
[43:10.720] 现在我们这边应该是现在也不那啥。
[43:15.220] 我们这边现在好多也都不烧了，
[43:17.970] 任务还是让买了就直接买了。
[43:21.360] 那就管过一段时间。
[43:24.850] 广播
[43:25.990] 最严的时候还是自我把握。
[43:29.270] 你看看他我爸说我姑父他就是我表弟他爷爷死的时候，
[43:35.080] 说是那会正眼，
[43:36.950] 说是不让不让买就得
[43:40.740] 结果他买了让我表弟他带他大娘们在我们村里输液还是
[43:47.510] 挺紧张的，
[43:48.940] 上面下了政策了必须得烧，买的都得刨出来，好好的成就，真是就跑回来去黄沙他又烧了，买
[43:57.330] 了没办法你去干过，你干过人家国家响应的号召来了，你怎么弄？
[44:02.660] 最好一招，
[44:03.780] 邮箱村里的干部你不值得了，什么都吃不了了，对。
[44:09.310] 没招他就自己跑出来，然后上来之后就给烧了。
[44:20.230] 没照。
[44:27.800] 挺。
[44:34.610] 句
[44:53.270] 数据
[45:03.030] 着
[45:12.180] 完了我家给我爸说爷爷什么，我小时候
[45:15.700] 他俩多少钱？
[45:17.860] 帅哥跟4个人去。
[45:19.710] 老家伙做了一些事，听歌拍照找找这些。
[45:24.440] 没了，弄个
[45:26.880] 输液瓶的都撤了，抱着不涨价。
[45:30.200] 昨天又去哪？
[45:32.290] 范总。
[45:33.990] 你觉得线去来霸州真的扶着父亲了，出生的时候也没看脸，没问。
[45:41.870] 后来我奶奶说
[45:43.590] 就
[45:44.420] 没喜欢哪天我哪让我上初中初三，
[45:47.720] 然后初三那会儿
[45:49.070] 那就不行了，你说你放下你给多少钱也没人干这事了，
[45:53.520] 说你干嘛出去？
[45:55.720] 你根本出不去城，
[45:59.650] 你是完了。
[46:05.270] 别买死的话都少。
[46:07.830] 不抄了。
[46:09.120] 爷爷那会儿其实我也死就可以不用手，你找我玩，后来一算去也
[46:14.690] 当人大不得的人都反正要是找多少少，
[46:19.220] 这成了以后就跟着别人有人来这边做文章，对，你要是到北京就无所谓了。
[46:26.330] 你还答应什么时候肯定
[46:28.260] 对吧？拿做文章你再说挺举办，这是
[46:31.510] 这还真跑了你再稍微吗？
[46:37.020] 医院太少了，
[46:40.120] 听不懂那啥。
[46:42.050] 对，你这刚买进去还好，
[46:45.440] 你干吗下楼完了你都不能说
[46:49.990] 伦理上也不那冷，
[46:55.280] 谁知
[46:56.790] 那也有别弄相关的那些不知道吧了，老班没时候都是吗？
[47:02.320] 我老婆没结婚，没了，就说是要跟我爷爷奶奶一块，
[47:08.490] 然后就没着急了，
[47:10.280] 就回到家家里都表大爷是给找去，旁边有的打起来了，没事。
[47:18.890] 明天回去。
[47:20.200] 然后后来没结婚没孩子。
[47:24.180] 是我告诉回来，
[47:26.350] 然后赶紧准备小棺材，没事想过去就这么正常了，那么长
[47:30.930] 棺材是让我们放下了，
[47:33.270] 也做个夏装，
[47:34.600] 说孩子
[47:37.380] 农村讲究
[47:41.790] OK，
[47:42.920] 人他不管你作风到最后都是这么一下，
[47:47.350] 对吗？
[47:48.380] 有钱的给你搁山顶上，以前哥哥教会那山里面
[47:53.320] 再怎么着票，你你给他也都扔了，不？
[47:56.820] 不也是这意思吗？
[47:58.300] 饲料饲养一次买两对吧？
[48:00.400] 你在那能怎么着？
[48:02.640] 因为邓小平也洒海里没了，
[48:05.840] 毛巾还没下单，你怎么着了，那也都是咳了，他们说那是假的是吗？
[48:12.300] 传说是假的，你进去看过吗？没去过，我有一次走到门口了，我没
[48:19.650] 我没看过一次看讲走门口还排好排好长时间，因为我刚来北京我以为要钱没钱，我也说要钱，
[48:28.760] 其实那会已经不要钱，刚开始要钱，
[48:31.350] 现在还不要钱，对，后来我后来好了，可是后来就不要钱了了，爱谁要钱，后来不要钱，
[48:37.850] 然后去那看看看，
[48:40.310] 结果还没进去我就走了，看好多人排队。
[48:43.280] 哪里？
[48:46.290] 后来年才能去过，也是我没进去没有吗？
[48:50.690] 还有冒牌对吧？还是自己。
[48:52.990] 那都没什么，完了。
[48:55.240] 我想
[48:58.270] 因为他把自己神化了，对吧？所以你后边人怎么着？
[49:02.960] 但是你要
[49:04.540] 中国自古也要祝福，连哪怕你烧了，
[49:07.690] 对吧？你要入股要脏着对吧？
[49:10.600] 好挂着。
[49:12.030] 天上挂着。
[49:13.240] 他们说的不好再说了，人他说包括上面挂着假了，
[49:20.500] 你过去皇上是吧？
[49:22.230] 人没也有，
[49:24.000] 对吧？友东陵、十三陵，
[49:25.880] 各种D里头都有是吧？
[49:27.770] 没有D瓴直接玩，
[49:30.210] 你丫牛逼你当不成D留你买满目标了，
[49:33.100] 了黑也买不了，那挂着。
[49:35.240] 你叫什么事？
[49:36.790] 不要你疼了，当然
[49:38.790] 对吧？所以我觉得很
[49:40.560] 很多说这是我觉得后来重新
[49:43.530] 太好吃，被他整个后者缺点恨东西，因为他后期的
[49:48.740] 行为举止完全跟前妻不是一个人了，而是太多。
[49:54.110] 后来阿里有点糊涂了，就不太一样，
[49:58.440] 这也没法也不说，过去上登网上登记之后不也一样，
[50:03.400] 对吧？
[50:03.950] 你这和声风波一个时代了，之后不也吃饭了吗？一样。
[50:09.470] 第二条陈给他登记之后，底下这帮人
[50:12.920] 在这块我们有洗澡一块吃一块住出来，
[50:17.460] 可是现在不一样了，地位不一样了，我什么地位了，你们这么厉害了，
[50:21.210] 对吧？我不能叫我，而我也就是皇帝位，
[50:25.780] 你还跟我前妻什么，咱在这一块吃过后一块打仗怎么着，我都听见了没用，
[50:32.040] 对吧？
[50:34.050] 在他们家地主出身，
[50:36.580] 它自古就有红色的思想，
[50:38.940] 他们前任主人他是地主，
[50:41.140] 他们家在
[50:45.800] 是湖南还是？
[50:48.000] 韶关是吧？地主。
[50:50.780] 他那不是地主，他哪来钱上学是哪那时候几个字我忘了，
[50:55.760] 没钱上他上私塾出身。
[50:58.090] 那是明天谁让你四叔？
[50:59.830] 他那时候地主后来上了私塾之后家里有钱，然后出去了就跑长沙去了。
[51:05.660] 在长在长沙吃饭当学习，在图书馆我过来读书，后来什么老师去，
[51:11.110] 那机会接触一些书，然后接受新思想，咱学习出来的
[51:16.460] 人肯定是你确实肯定有一代这种地方这种有命，
[51:21.940] 你在家的话人家肯定这种情况没
[51:24.560] 你跟老百姓说没念过书，
[51:26.890] 对吧？你打仗忽然打颤，你给他发了，你那不都是你可以出来吗？
[51:30.920] 你没文化肯定就能拿打死，不？
[51:36.260] 就你潇洒谁能拿，对这没有。
[51:41.650] 所以他能统治是因为
[51:43.980] 统治者不是靠头腔，是靠思想，
[51:46.560] 你要到相同人员组织盟军军队国家都一样统治补助，
[51:51.100] 这都是思想，在他妈打你人家有反抗立法的努力是的吗？
[51:56.870] 对临床主义压迫能力
[52:00.190] 一大类几个，
[52:01.720] 你多大概几十个几百或几万人民币，
[52:04.220] 你到一一一个小国家，这个地区还打肯定不行。
[52:08.750] 什么是思想？
[52:11.990] 因为我们这是的，我们单位工作你花钱花你发管蛋用，
[52:18.110] 哪里有压迫哪里有反抗对吧？就这样道理。
[52:22.570] 你要是把什么东西大家伙说清楚，
[52:25.910] 他说
[52:26.960] 他作为领导建议就跟统计局一样，
[52:30.120] 他要说清了
[52:31.350] 杂石总是谁？
[52:32.600] 对。
[52:33.560] 对吧？我玩笑你都明白了，咱俩谁玩谁，
[52:37.860] 对吧？你说我领导了对吧？钱都是交给我挣不着，
[52:42.210] 其实他完了你
[52:44.960] 一下子自古就分属控股，
[52:47.400] 文字狱，
[52:48.450] 对吧？
[52:48.840] 清查搞文字狱了，签完澡和蠕动了，他搞文革一趟吗？
[52:54.300] 刚刚
[52:55.900] 知识越多越反动，
[52:58.060] 就这样。
[52:59.940] 你过去投这女子最好的号码，你才给你别上去了，对。
[53:05.380] 就怕你反抗，所以搞你不能政绩。
[53:09.020] 对你将来总牌子，你没有文化，没有知识，你就不知道是不是反抗了。
[53:15.530] 所以你就说什么是什么了。
[53:18.030] 所以导游说似乎挺有意思的东西，
[53:23.590] 老百姓说什么？
[53:25.190] 第人家他说叫帝王之术，都是秘传的，都是祖辈弟弟王红家秘传这些东西高兴得知道不了。
[53:34.320] 因为八辈子也没到过那位置，到了位置三天没有东西，人都
[53:40.130] 西边出来了，帝王之说首先东西不一样，
[53:54.330] 车身
[53:56.850] 的。
[53:58.190] 的
[54:05.720] 来一块我去看一眼。
[54:20.870] 这个
[55:22.510] 他两
[55:24.090] 也
[55:58.270] 怎么分？
[55:59.180] 这个问题的时间，
[56:04.530] 老师
[56:07.820] 差不多给你弄。
