[00:00.000] 认为他有毛裤，
[42:10.790] 好，再加上OK。
[42:13.210] 谁知。
[42:32.350] 这对你
[42:33.440] 谁知
[42:35.390] 一
[42:36.860] 很严重
[42:37.930] 的，谁知
[42:43.920] 单车这都是你增长，这是你的
[42:47.440] 实打实的车的，我一看没有在洗车房。
[42:51.000] 别你。
[42:59.310] 我到时看。
[43:00.420] 看来到时候看看。
[43:04.000] 晚上我放在。
[43:05.350] 今天早上。
[43:07.120] 了。
[43:07.930] 你非得接受调查，
[43:10.630] 在中国
[43:13.760] 那就到
[43:16.480] 谁知。
[43:19.340] 对。
[43:20.390] 他大概都是西边那边。
[43:22.760] 我们在。
[43:24.020] 特别开心。
[43:25.160] 晚上。
[43:31.300] 打掉
[43:33.470] 数据
[43:36.870] 我基本上天天北京，
[43:42.840] 80多了。
[43:44.610] 0
[43:48.000] 你就上来就一要求成都宾馆名字。
[43:57.530] 的。
[43:58.560] 那时候老打架，
[44:00.880] 20多年。
[44:01.820] 30. 
[44:03.400] 现在发热。
[44:05.100] 谁知
[44:08.480] 勤俭惯了没问题。
[44:11.280] 感觉用什么东西，
[44:14.440] 他说你到底
[44:16.880] 吃饭的别太盛了，明天再吃饭，一到了他就给你就等着。
[44:23.630] 所以我就说您跟我过来，
[44:25.640] 您
[44:27.040] 师傅您干什么，您结果什么就是这样。
[44:32.270] 小时候你不知道我们家孩子女孩子。
[44:36.570] 每次给孩子老奶奶朝安馁，
[44:40.430] 然后这么着来咱家孩子比较。
[44:45.270] 哪个都这样。
[44:46.540] 我这个
[44:48.920] 当时那点还系花呢反正。
[44:51.670] 我说那也不能。
[44:53.360] 那人用水去怕什么？
[44:56.180] 那时候我没辙，那帮孩子没
[44:58.780] 拿着走。
[44:59.570] 干嘛？
[45:01.010] 你坏了还买了。
[45:03.430] 咱们行。
[45:04.340] 别了。
[45:05.540] 数量。
[45:15.550] 刚才我说为什么我说的电站的问题，
[45:18.330] 给买了空调了不开，
[45:20.840] 开关站哥哥合并了常态，一会天气生产风太大，现在这条。
[45:29.040] 然后这样再买一个什么。
[45:32.460] 我也。
[45:34.420] 了问题就说特别的风格。
[45:38.530] 他这也了，
[45:40.140] 也好了，看见了今天
[45:42.880] 刚才掉。
[45:44.600] 不知道。
[45:45.740] 上。
[45:48.080] 不管不定。
[45:49.640] 我刚才说了，
[45:53.760] 但是了你给我搬过来。
[45:55.400] 上海过来了。
[45:58.650] 开空调也
[45:59.880] 家里人慢慢开始不回家了。
[46:04.800] 这衣服是这方面。
[46:06.610] 今天开始吗？
[46:29.440] 每天我妈妈就
[46:32.030] 完了不开心杨开来。
[46:33.960] 不能看一下。
[46:35.120] 一定让我签字，我也。
[46:36.630] 不看还不用签字，这就让您看一下，那行您不让。
[46:39.760] 反正以后今天付的
[46:41.450] 307,259块968全部目前跟他说答辩前不说。
[46:47.130] 稍等，我这边找领导签个字再去交钱去。
[46:50.280] 真简单。
[46:51.950] 那就为了你别。
[46:53.580] 放心，您这边我肯定给你最低价这样。
[46:57.450] 送什么转账录音给你装好了一会儿。
[47:00.380] 等我一下来吧，你不再错过。
[47:03.420] 快跟你们家孩子先玩。
[47:06.400] 对。
[47:22.780] 我把湖南
[47:24.090] 我打电话等着。
[47:25.420] 行开开了，我说可以开高一点，开27度28度，我那屋楼也得开着，然后不成
[47:32.520] 那多份的保障
[47:34.360] 一样。
[47:37.530] 那边是
[47:39.740] 人家老太太
[47:41.580] 会上那样的，
[47:42.920] 他跟你
[47:44.830] 基本上是
[47:46.690] 你们俩是一路了，老太太12是十几年从
[47:53.000] 过来那10点多比你好在哪？他这边有一个姓刘。
[47:58.690] 对，是那什么。
[48:02.250] 是一还是大一家那个地方？
[48:04.810] 最好tmd妹妹tmd姐姐或妹妹的
[48:09.290] 孩子在这，
[48:10.670] 他
[48:11.820] 好了就能在您后来有这么一个落脚的。
[48:16.160] 他直接去了以后，
[48:18.280] 到的是哪儿？
[48:22.970] 农业大学找工作找谁找得吃，
[48:27.300] 那时候小时候喝晚上做没犯什么，
[48:30.310] 然后跑到北京时间人会找直接找食堂，找一大食堂，人家
[48:35.820] 看那小孩。
[48:37.220] 说什么你干嘛，我在这干活什么你。
[48:41.550] 太想没事，我想我也能干，然后
[48:44.850] 就跟演电影的事是吧？
[48:46.950] 他说能你说我给您扫地。
[48:49.930] 刷碗怎么弄的光盘空调，
[48:52.560] 你要多少钱我不要钱，你给我办事就行，人一听这可是这给办事咱们反正
[48:59.270] 那就说账款还不快，都是有的是对。
[49:02.610] 剩下周也是扔吗？
[49:05.400] 你不上来。
[49:06.430] 这孩子这边进入兴趣了，
[49:09.920] 干活什么的什么
[49:11.690] 勤快，你想想干啥都干啥都不用人说，还帮着人家干就是不行，这就是
[49:18.050] 后来领导一看这小孩真有吧，
[49:21.450] 别管了吗？还尽管转头正是不又有钱，那时候觉得没
[49:27.520] 自己
[49:29.180] 那就不像现在说说你从家来你家你有一个可能户口这又没住，除了北京人没户口，北京上海天津这有
[49:38.990] 农村乡镇外地没户口的意思。
[49:43.910] 回哪？
[49:45.740] 行以后。
[49:46.840] 还回家不回，咱北京能好上一对一。
[49:51.120] 真幸福。
[49:52.930] 就这样睡过去，我这一年来你也不知道我咱们想想
[49:57.750] 什么能吃饱饭的，是不是跟领导介绍。
[50:00.960] 他脑袋我们就肯定的，一会就一个刷碗的。
[50:05.930] 刷碗扫地跟他的这两然后给人
[50:09.010] 十几岁你就讲你十几岁来的时候什么样老太太来了这么样，
[50:13.420] 来了以后，然后在那干到
[50:17.600] 20多岁的时候，然后
[50:21.080] 换了工作上哪了？上东莞工厂了。
[50:23.730] 上南京场了。
[50:25.800] 这谁？
[50:27.170] 我老丈人。
[50:28.360] 农业大学毕业的老头有学问。
[50:31.400] 人家55米的大学生。
[50:33.380] 跟。
[50:35.110] 上完了一班正好分得那点分钟报名，
[50:38.400] 人际介绍要不一个一字不认识，跟一大学生人接触，反正过一辈子非礼我真是
[50:45.610] 觉得老太太
[50:47.010] 没一天学没上网，现在能看报纸跟老头一块，还得老头都老写着先生。
[50:54.510] 对，而且老谢老说他也有的人因为自己做太厉害
[51:00.790] 了，我这人啥叫啥，
[51:02.860] 现在就没当部队了，有浙大的一切，说句不好听的，我们老家估计你们这我的老家
[51:10.160] 叫什么？
[51:13.960] 成长型，
[51:15.110] 刚大权跟人家作对，
[51:18.980] 问题你们还有不想希望走？
[51:22.490] 我老头老奶。
[51:24.140] 当时就10来岁都是我们家。
[51:26.440] 我老家。
[51:28.670] 当组长了。
[51:30.330] 跟组长提得更多，那真是so人就做一个那个地方，
[51:34.110] 以后结了婚也是伺候惯了，还那么自豪了。
[51:39.490] 就像现在我的老家还有这种情况又不是没有送，就是说
[51:44.360] 爱女孩男孩见了面就嫁给了他的面形状，就跟
[51:49.200] 两人就看他们都结婚了。
[51:50.990] 多大？
[51:53.080] 16千块。
[51:54.360] 十六七岁结婚。
[51:55.870] 我也让我结婚21上午了，
[52:00.060] 你当时找不着对象，结婚21岁你就结婚了。
[52:05.210] 21在他那真算晚的了。
[52:07.760] 这就是他当时
[52:09.260] 没人要不要，
[52:12.320] 所以他委屈了你媳妇了，不是，也就是最后人家媳妇是火眼金睛，他并不知道有眼光，
[52:20.600] 潜力股渴望。
[52:22.530] 作为传统他们自己的背包背我肯定知道。
[52:28.280] 这边可以了。
[52:30.050] 咱们去那边交钱这块来着。
[52:32.800] 银行打电话。
[52:35.080] 第二，
[52:36.960] 要等到10月份不要再改变。
[52:40.290] 接着写可以跳可以了。
[52:45.100] 有功的。
[52:46.960] 还行还挺好的好。
[52:50.720] 好了，太遗憾。
[52:52.170] 前两年对他们老跟我
[52:55.060] 我老帮他，然后
[52:57.040] 他媳妇没见过，
[52:58.530] 然后那天跟他说，
[52:59.950] 非要辩他说你要拉我去趟，我说不用咱们没那么客气，
[53:05.110] 然后怎么样，能不能您双手才能的还您那个不要吗？我在我也
[53:10.890] 然后我就没见过你，我必须得见一下，昨天晚上非得认识那边什么开车。
[53:18.870] 行，你别到嘉奖，你到不了我就看着是人家是他人是。
[53:24.710] 朋友们这出去到外边就可以了。
[53:27.060] 你帮我帮你不用那个名字，
[53:29.540] 不跟咱给你买东西干嘛，我什么都不要了，你到我单位。
[53:33.610] 我要我一大路口，
[53:35.760] 你看见我一眼深圳我就
[53:37.890] 你不用了。
[53:38.920] 你也特别是然后
[53:41.200] 到了到马路边我。
[53:42.680] 跌到马路别管，
[53:44.280] 我说我就。
[53:46.400] 局长太太照着一些麻烦是吧？
[53:54.440] 买车的时候来过一次。
[53:56.630] 我说挺好的，这难听都挺好，我这车子不行了，你甭管电车的或者什么
[54:02.850] 保养，我们就单位给改掉了，还得给我开展。
[54:07.230] 他的关键是吧？你打招呼我一般都上4S店。
[54:11.280] 你知道三点不是他点钱。
[54:13.500] 因为4S店的话，它随着保养。
[54:15.790] 所以对保留好他做的。
[54:17.640] 是主要检测对着检测很重要，因为很多。
[54:20.560] 读者草甸他检测不了，没对。
[54:23.190] 都没见着。
[54:25.160] 我这一直。
[54:26.920] 一直你看自然的
[54:28.740] 上保险，然后整个。
[54:30.920] 维修保养对。
[54:33.280] 咱保养。
[54:35.460] 好像是1万公里或一年保养一次，咱送保养送不了，这也没有什么的，就说这我没办法，我不说了，我就说因为
[54:44.830] 一次都没有通知，一次都没有奔驰车，没有什么免费这一。
[54:49.210] 除非有采纳政策吗？
[54:54.120] 放在这边如果。
[54:55.700] 等等。
[54:57.470] 晚上等着你。
[54:59.690] 完了给你行，还用我给你不用。
[55:02.480] 好，这多少？
[55:05.310] 我看给你拿了30 31。
[55:08.120] 31够了，5万就够了是吧？行。
[55:11.040] 我那做好吧行行。
[55:19.320] 他说后面的四保养，
[55:21.720] 我看
[55:22.680] 就送一次这4点是吧？
[55:24.820] 对孩子绿色的。
[55:27.150] 可是我工作在你系统里面，然后到来自不追究，
[55:32.130] 然后我就没发上面没到通过这样做
[55:35.140] 搜索。
[55:36.090] 我到时候你说我没得权利送两分钟，我希望这一次最好，但是没有那么多，我能给你做一下。
[55:49.110] 买商务。
[55:50.000] 没有。
[55:52.120] 咱们是过来了是吧？
[55:53.720] 对咱国产的。
[55:55.590] 一会你签字厅送过来就可以。
[55:58.620] 要不还要做垫付什么的。
[56:10.390] 现在别人
[56:11.100] 发扬的时候卖的东西
[56:13.710] 好拿。
[56:14.840] 对还是。
[56:16.170] 让团队
[56:19.340] 前面有一位是吧？
[56:22.160] 我一会再进来，因为咱们这块
[56:25.580] 你跟我那个房到底过得怎么样，关系是不错，他没事，我老婆说了给他办，
[56:31.120] 你老给他买事儿。
[56:32.760] 那大哥挺心计挺重的。
[56:35.890] 种种
[56:37.490] 给他办事亮哥你干嘛我想死你了，这我已经又没错，
[56:43.740] 完了肯定有事。
[56:45.780] 你等一下我再把好多确认一下。
[56:50.730] 看一下。
[56:54.890] 然后看着作业。
[56:58.850] 那就按照你实际的366800开票了，对你这个钱你就全剩一个了，剩下的你兴起了那些还要成立对。
[57:11.780] 开票
[57:12.890] 干嘛？
[57:14.620] 987U
[57:18.240] 67833。
[57:19.790] 6783对。
[57:22.050] 过来有什么用？
[57:24.800] 宋傅，您好，把它放在这儿，我想。
[57:27.930] 好吧？电话。
[57:33.120] 好了。
[57:34.330] 好好我排在谁后面我这是现金。
[57:39.160] 要没刷你上完以后当时听别人不行还给我在
[57:46.480] 我照片看不见的方便。
[57:51.210] 我看到了，因为昨天我估计原来也能放大，后来昨天B了，我这边把。
[57:56.510] 咱别了。
[57:58.580] 还是没有了。
[58:00.690] 那就不行。
[58:02.840] 你昨天腾讯差10万的那块没力量，你没地了我敢肯定，然后你是污染，你说它熔点是吗？
[58:12.000] 你是OTA的问题跟你没有关系，
[58:15.060] 怎么样？
[58:16.040] 这不对。
[58:19.050] 了。
[58:21.360] 应该说
[58:25.120] 我之前在文章的后面
[58:27.680] 长的快留下后面三号号里头谁你那条件我一定要找哪个，这样写都没到呢。
[58:37.600] 流派不掉，还有谁？
[58:39.940] 刚才没有开始说了。
[59:19.360] 您这块不好。
[59:20.930] 好。
[59:37.110] 这一直保养大概多少？
[59:38.600] 能力保养不要千百年客户可以看到。
[59:44.450] 第二次贵是吧？
[59:45.920] 第二次贵一点。
[59:47.040] 要是2000多一点，
[59:48.220] 人家送的不是每次都可以用吗？做一次我知道送的保养赔偿。
[59:53.730] 维保是第一次。
[59:55.620] 对，我记得我另外还送的。
[59:58.680] 你上次送吗？
[60:00.240] 就忘了。
[60:01.360] 没事，假如说你上次有的话是不是A宝贝有一年或1万公里。
[60:06.550] 无果他说时间你还没使用的话，你可以把申请都能够
[60:09.890] 就不会浪费掉，不会两个人。
[60:12.040] 重复用不了就浪费掉了，不存在的
[60:18.610] 我用地方为什么这个有没有不可以送的地方？
[60:22.790] DA第二第三个A5333。
[60:30.160] 的。
[60:34.800] 别忘了这人民币。
[60:37.700] 我别忘了下来了吗？
[60:40.270] 我想说一下。
[60:43.910] 咱做
[60:50.000] 过来了是吧？
[60:53.310] 来了稍等。
[60:54.540] 对了。
[60:56.730] 对。
[60:58.420] 谁知。
[61:02.970] 我上次让你给我办出证的钱，你也没说我发给你。
[61:06.170] 怎么办？
[61:07.120] 横怕啥你这？
[61:11.990] 你看零钱多少是多少，
[61:16.430] 谁知
[61:22.890] 一
[61:32.930] 20分钟。
[61:42.780] 上面。
[61:44.960] 我不用您好，
[61:48.410] 往往有些东西
[61:52.320] 报名，
[61:53.160] 如果项目现在
[61:54.320] 谁知
[61:55.900] 然后决定这个钱直接
[61:58.560] 到
[62:07.120] 我不知道你当时了，没人接电话。
[62:10.030] 不是一个境外打电话给我看都是骗子。
[62:15.190] 电话
[62:17.540] 的
[62:21.000] 了。
[62:25.040] 第二
[62:28.930] 场
[62:30.730] 场、
[62:34.910] 场
[62:36.280] 号
[62:43.600] 数据
[62:44.920] 远远
[62:49.950] 场
[62:53.090] 五
[62:58.710] 没事。
[63:00.230] 没事。
[63:13.350] 感觉
[63:17.570] 我别人
[63:21.850] 张曼在群里边，咱们每个人都车窗的，
[63:27.590] 我可以去找他问问怎么算出来可以，刚半天没在那，谁春晓在，
[63:32.970] 不是什么厅长谁。
[63:35.760] 叶磊在。
[63:37.640] 我D几个人
[63:39.480] 靠右边住户短头发那女我拍拍她的是谁发？
[63:44.440] 好，发到哪去了？
[63:46.560] 发生什么里边，因为我也不用
[63:50.960] 这是吗？
[63:52.540] 对
[63:54.540] 对。
[63:56.440] 因为这后边有一个创立的N实际创立者
[64:03.480] 刚刚开始。
[64:06.570] 我说因为我也知道他咋算出来，我还问问你问问。
[64:11.120] 是吧？
[64:13.370] 你问问
[64:15.700] 这谁付的39万多。
[64:19.320] 你说刚才能找到大伙就找不着我在哪里头再
[64:25.800] 对叮铃像找哪个？
[64:29.990] 然后你把红包收了，
[64:32.700] 你要是给我转你就给我转转转正常，你要这么着不错，多少钱我让你办事，你还会投钱不行。
[64:40.770] 多少钱？200万。
[64:43.520] 260 268。
[64:46.340] 找那么多个碗，
[64:47.760] 我给你转260了。
[64:49.920] 一
[64:51.280] 都一样，你帮我忙还搭的钱哪能行？
[64:55.070] 这还得一点小钱，我垫的钱多了，小钱也不知道您店你知道立马
[65:00.600] 因为帮我忙就已经帮大忙了。
[65:03.020] 这是他发的就证明出来了。
[65:06.110] 对来了，他的第三个从左边数的第三个桌，比如说首长还送个东西打包，要后面我这是可以的。
[65:20.080] 不怕摔。
[65:21.510] 你看你这定玩高科技，你最近玩高科技的东西，拘留所从哪开始？
[65:26.040] 刚才生活在夸你小小年纪，
[65:29.430] 可能
[65:31.330] 搬。
[65:32.720] 要还有我要搬家吗？
[65:36.540] 我就看你家的那些东西不是
[65:40.140] 好看，人家那么多古董人放假那种，
[65:44.480] 你看那些收藏的跟我这
[65:48.200] 谁眼睛大得多
[65:50.710] 的，
[65:52.230] 净玩些高科技的东西，
[65:54.850] 就玩些洋玩意儿，别人什么都给了，都是收礼的，收礼都肯定给我东西，肯定是包括咱这个中行的，
[66:02.970] 特别是他们都是正常是人家给他送你的，
[66:07.940] 是吧？你这送搁着
[66:11.730] 老认可你了，后来送过老认可你了。
[66:15.180] 刚才说的特证和你知道吗？可可认可你必须这小兄弟真的特别中交着，
[66:22.850] 现在就快成为
[66:24.140] 就他的私人命令是吗？
[66:26.200] 什么事只要一个电话绝对给你大弟弟说说，我们就是外地人没有第二个出口的价格。
[66:32.120] 是吗？
[66:33.290] 你想到这是私密空间，对不到亲密的一定程度，人肯定主要会在你家里。
[66:39.330] 几个方面我都知道了是吧？他们每个人的也挺低调的，做的挺低调的。
[66:47.110] 你这个关系真是可以。
[66:49.590] 这都是微出来的。
[66:53.390] 创业创得早。
[66:55.140] 平常高。
[66:56.710] 可能状态吃的开着是吧？我自己可傻了，但是我跟你说你情商真的挺高的，情商高的社会能占到最小领导的认可，我
[67:05.340] 自己想要还是有，你知道因为你实在做这方面的，对特别实在特接地气你知道吗？
[67:11.880] 不像那种的，他那嘴说的可好不换，是的，那种人有两次交易就知道咋回事，
[67:18.060] 知道吧？保险到时候给你说一下。
[67:20.230] 等等。
[67:21.380] 每周每天都好了是吧？好勒。
[67:37.870] 还有。
[67:38.660] 还有没有？
[67:41.160] 还有我给你用不能看电影吗？
[67:43.650] 来我们说现金。
[67:46.040] 这俩你能。
[67:47.280] 先等一下，妈俩还都没弄完。
[67:51.170] 看你那眼神吗？我等一下。
[67:52.920] 咱商场还是听了多少次，还是在哪场合？
[67:56.010] 耗费多少瓦，主要三阶没说了。
[67:59.660] 差不多了。
[68:10.100] 也就上午把
[68:11.970] 都赶上了一阵子。
[68:14.690] 好了，就到下午赵川这一步了。
[68:17.390] 好在这儿做。
[68:20.190] 可以。
[68:24.230] 不要系统没有异常的。
[68:29.690] 到时发过来就被消耗了，我个人看法。
[68:37.820] 三套方案拿手机打1230对房产证这边不得发给我。
[68:45.150] 谁知过了。
[68:47.380] 完了这个号。
[68:52.200] 的。
[68:56.560] 您的留言的验车费的发票背面签字面对着就直接签的。
[69:06.310] 可以，这是财务留原件，带着他们一会可以给你另外一个行名字就行是吧？写您名字就行，签字签名一个时间1万块钱。
[69:14.820] 1万多块钱下来补贴就。
[69:18.320] 动脉割到
[69:24.950] 这个是购置税跟保险。
[69:47.150] 儿子从小当倒下了，我一直我找到
[69:49.260] 现在。
[69:50.160] 在吧？你上床。
[69:52.860] 你身上结果把所有有用
[69:55.240] 的。
[70:04.770] 完了插B了，
[70:08.580] 你看看你
[70:19.390] 赢了一万千多，
[70:21.150] 然后30多万。
[70:36.610] 6万元。
[70:37.610] 交通的卡应该
[70:39.830] 这就是北京
[70:42.480] 加上了。
[70:44.410] 行。
[70:52.480] 你先看看。
[70:58.150] 就看这个吗？
[70:59.970] 就分美容师保险，谁知
[71:05.500] 谁知
[71:08.360] 一块
[71:10.620] 他还没扣，你每个都应该的考虑你现在站的哪个。
[71:26.730] 为什么？
[71:27.710] 来说或者啤酒？
[71:29.580] 可能我聊着就受伤了。
[71:35.200] 完了他没丢过是本人吗？
[71:37.290] 还是没到
[71:39.720] 半天了。
[71:40.880] 我都查了没有回来。
[71:47.210] 今天规定是给大堆的。
[71:49.190] 谁知。
[71:51.340] 不知道。
[71:52.380] 王姐的朋友，
[71:55.970] 大家好。
[71:57.120] 决定吗？
[71:58.640] 我北京朋友都已经被用完了沙发，谢谢，好的。
[72:01.660] 10.5回来一个小时，
[72:05.670] 看看后面峰会上。
[72:09.620] 完了。
[72:11.510] 先退场了，走太好了，这完全就可以了，那边好好。
[72:17.270] 转乘路。
[72:18.470] 条状的。
[72:20.760] 什么都完了，你说什么？
[72:23.200] 张永海那边确认。
[72:24.860] 了就完了，对了，没有。
[72:28.220] 我说了。
[72:30.760] 上面名和账号不对，
[72:33.520] 你要出去转账的银行对吗？银行对。
[72:39.510] 你输入账号账号错了，上面名人不对，现在明白账就是上次您818816
[72:49.650] 11260回回复一下4531。
[72:53.900] 不是搭理你。
[72:55.850] 没有18811264查号是吗？偏好没来。
[73:01.640] 没来你再注册一下。
[73:03.960] 用手机的公共账号里面微信
[73:06.320] 查一下把它列奔驰就可以了。
[73:08.640] 行，你弄好了以后直接就送过去了。
[73:16.890] 没事。
[73:18.100] 谁知。
[73:28.630] 点了。
[73:29.960] 没事，刚才妈就在这说吗？
[73:32.730] 对。和。
[73:37.520] 他腾讯微信产品。
[73:40.690] 回信手机
[73:43.510] 登录账号。
[73:49.040] 三地方。
[73:51.870] 第
[73:55.930] 你的手机反应真快，登录一下。
[73:59.060] 我记得吧，我的手机真该换了，这手机反应快吗？
[74:03.960] 坏。
[74:05.340] 没钱要赚。
[74:08.570] 不是挣了钱了，发了工资了。
[74:10.640] 这手机真的特别man，
[74:13.760] 谁知
[74:16.760] 这是安卓系统是吧？
[74:21.210] 都有了。
[74:24.470] 然后试穿中再说要被手机
[74:28.160] 2。
[74:29.390] 1338。
[74:31.400] 1338102102
[74:35.520] 015，
[74:38.030] 规定了。
[74:39.270] 跟你俩是吧？
[74:41.820] 好了等等。
[74:50.550] 点。
[74:51.360] 你可以先给他接，凭什么又找不到再跌停还是交现金是吧？对。
[74:56.480] 30万。
[74:57.570] 250. 
[75:01.050] 再见。
[75:03.480] 姐。
[75:04.750] 这样讲这不用讲了，这也不用点了。
[75:09.970] 那个不用点了。
[75:11.890] 还说一点这个特点，你好。
[75:15.120] 那倒省事了，星期三我就可以
[75:30.680] 到家庭直接发给我用。
[75:32.420] 担心担心反不了。
[75:35.430] 的。
[75:36.420] 你回来拿一下你放哪些拿1000不行了吗？
[75:40.320] 是吧？
[75:44.720] 刘会长开了7个27哪个怎么样？
[75:49.910] 对我知道一下。
[75:56.550] 40。
[75:58.690] 三四十。
[76:00.410] 有吃饭吗？你那哥们给打电话吗？没错。
[76:07.790] 完了。
[76:11.440] 好找40元了，确实等了。
[76:14.240] 现在联系过我这说明三。
[76:18.330] 对。
[76:20.550] 谁文化是啥，回来不着急，人家不在也没办法，反正在
[76:31.870] 就那种不拆包的还不用点是吧？
[76:35.390] 这是多少？
[76:37.480] 查一下。
[76:38.520] 2740，
[76:43.920] 中国三星1700。
[76:46.080] 因为你等于你就没给刚刚结束，
[76:49.260] 是吧？
[76:50.520] 我不用雨伞，留一手，首先
[76:58.360] 要你说你以前你要没法要，
[77:00.520] 睡觉觉得不好意思要不得了。
[77:12.380] 了。
[77:13.180] 完了还有吗？
[77:14.970] 好，然后就改了了，你。
[77:17.810] 怎么办？
[77:19.040] 我好不了，你瞅着呢。
[77:22.630] 没到我给你我钱都汇了。
[77:26.520] 完了人太多了。
[77:29.260] 我都跑了啥的。
[77:32.070] 我也不买。
[77:34.460] 由我来你刹那40多万，这100 400多万我给不起，4万我给他算了
[77:40.170] 了。
[77:47.190] 搬完了吗？
[77:48.850] 没了我。
[77:50.660] 做完了。
[77:59.680] 完了我给你份。
[78:01.120] 其他的你。
[78:25.550] 今天单子就OK了。
[78:27.160] 你就看就行了，我就不参与了。
[78:33.300] 我房子。
[78:44.960] 管管你念我给打电话行吗？
[78:47.730] 要。
[78:49.970] 当时那叫合同三个地方了。
[78:52.800] 谁知
[78:53.440] 使用时
[78:54.990] 时时抓
[79:01.840] 刷刷。
[79:04.180] 吃。
[79:06.640] 的。
[79:07.740] 走吧。
[79:08.870] 的。
[79:10.770] 你可以去那边等我。
[79:12.420] hello。
[79:13.900] 这不还送到那等我中我来打过去。
[79:20.550] 他都签字了是吧？
[79:22.130] 谁知
[79:27.770] 不能天津也到手。
[79:32.800] 我还想干吗？
[79:34.920] 你让谁先不说了。
[79:36.920] 先去了好。
[79:38.510] 关系没有。
[79:40.270] 是不是一下收录起来特有成就感？
[79:42.630] 这眼睛带了。
[79:46.440] 照片咱们500块收钱，
[79:49.630] 价格100万实现的，他说那11天办完了。
[79:53.410] 1580家等着。
[79:56.090] 你还让他欠，
[79:58.400] 欠他就萌发了，你觉得两人不是你别500，说你最少给我100，现在转账。
[80:06.070] 没有，那恰恰在找到怎么说，说你要不给的话，第二你我跟你说你骗钱，这样就能说千年
[80:15.560] 就是说好像100块钱，先前我转个定义，还要按着过要值1000块钱给我给你打一个，实则你零给我10了送了得了，还没有还得算账你知道吗？
[80:29.910] 算了不卖了搁进去。
[80:33.240] 我给你打一折给我100元。
[80:41.910] 看你。
[80:43.940] 还是他门口把污染难了，儿子来我拿回去买，
[80:48.310] 就先上来手上是吧？长快的。
[80:56.570] 10108196704020034。
[81:01.400] 这
[81:03.420] 所以6000现在咱俩一口气的
[81:08.760] 你看他这10来张票，
[81:16.170] 好想让他把收据的小块都给了。
[84:47.390] 客户去哪了？
[85:24.310] 他跟您说的说几个保险三。
[85:26.720] 4A宝两次，188。
[85:30.680] 您给我发一条短信，发一个您的车架号和车主姓名，然后我用搽脸。
[85:38.920] 上次他给您找了谁您知道吗？
[85:42.090] 不一样，我们是授权系统，他们售后系统两个系统不一样。
[85:47.510] 礼乐给你找了是吧？
[86:00.010] 了。
[86:59.960] 附近胶着了吗？
[87:02.200] 交上了吗？
[87:03.600] 教什么？
[87:05.240] 要不了？
[87:06.710] 好像是交了。
[87:08.240] 知道了。
[87:09.080] 您刚才谁打电话，他说让客户20分钟吃饭去，
[87:13.880] 上去我也去吃饭去。
[87:16.050] 我让客户尝一下，我给你说说一下我这个双脚
[87:20.370] 朋友转介绍的啥都没有，救火车，估计你发现讲讲试试。
[87:25.140] 没准人有需求，原来什么大夫写什么全都给一号。
[87:29.450] 他说
[87:30.580] C
[87:32.990] 你觉得
[87:34.560] 题预备队咱们也话术了，对。
[87:37.980] 你让他别的首饰
[87:52.450] 不能加，真烦人。
[87:55.070] 好了。
[87:58.360] 夸人约了。
[87:59.930] 了。
[88:01.110] 简单了。
[88:02.390] 开店了，我刚才说
[88:35.290] 曾说过。
[89:04.120] 大哥们
[89:05.400] 早提醒我。
[89:10.750] 吵一句来说。
[89:12.000] 谁知
[89:13.630] 哪里有
[93:10.410] 什么时候这个岗位了？
[93:13.620] 应该以原来老板那边有一个成长。
[93:16.900] 现在新款的。
[93:19.090] 比较长了。
[93:20.160] 在新款。
[93:24.230] 发表。
[93:25.360] 找感觉。
[93:31.600] 没有太大的。
[93:37.360] 他说还是挺好。
[93:38.870] 现在bl cc卖还可以，
[93:50.450] 关键。
[93:54.530] 还有
[93:57.840] 那种保险刚刚上场，
[94:01.970] 要给保险公司了，他应该有明白
[94:04.510] 的。
[94:06.880] 电话受的了。
[94:19.420] 但是完整的方案比较明显的。
[94:26.180] 你们身份证在年代还是高官，
[94:28.620] 还有
[94:29.740] 有时候在中央三应该的
[94:34.020] 了。
[94:44.710] 正在上坡咖啡茶水昨天
[94:47.520] 我不用。
[94:50.610] 陈先生。
[94:52.060] 你给我说一下，139818
[94:55.840] 0229。
[95:14.360] 书香时尚待人还有。
[95:19.320] 送货车全系多少，咱们班的所有车辆
[95:38.290] 已经过了之后，还有后边的车为什么找到？
[95:42.070] 提前启动的时候就先打开直接了。
[95:45.650] 其实
[95:47.390] 车速慢的时候，
[95:49.140] 后打开看也
[95:51.940] 不先P他也不算。
[95:53.680] 正在在
[95:57.230] 有这样的说法。
[95:59.280] 但是他都是通过大陆来说，
[96:01.870] 如果没有财务的情况应该扩大缩小。
[96:07.320] 一会我把。
[96:08.100] 上
[96:09.480] 这方面
[96:14.230] 三
[96:16.210] 1391180252。
[96:24.200] 你先下一个。
[96:29.680] 三块钱的时间到了，
[96:31.880] 直接走了三天到咱们
[96:55.810] 发挥
[96:56.680] 一下二维码满天找到。
[96:58.910] 我在写东西。
[97:29.360] 拜拜。
[98:39.370] 李大哥我
[98:40.280] 的。
[98:41.090] 行。
[98:41.900] 好，从网络这块了吗？
[98:47.190] 明显是吧？那就行，因为您约的周二验车了，
