[00:01.110] 不是
[58:00.510] 没有。
[58:01.790] 现在能拿走的东西。
[58:04.710] 别到了什么？
[58:06.040] 别的就没有了，别的东西
[58:10.580] 或者是前懒，你要不要特征，要签到也可以，明显不用。
[58:15.080] 我想说切好。
[58:16.580] 这贴好了是吧？
[58:20.000] 看光泽。
[58:21.240] 是吧？
[58:22.910] 那就上别的地方都可以。
[58:25.530] 别的话你要能拿走的话就是后备箱掉了。
[58:31.210] 别的没有。
[58:32.320] 别的再没有的话，像这包为什么涨价的话，你肯定要自己去买，
[58:36.460] 因为这种买的好看一点，然的那种比较中意东西的样子，
[58:40.060] 所以就会被删掉，对你来说还是实用的，到处都能拉走。
[58:44.360] 没问题。
[58:47.780] 反正你要是成本来看的话，那摩的成本会更高一些。
[58:52.040] 这就是那么4个角色，你自己我们都在薪酬都送都带天天都带着，本来就会带着，对都。
[59:01.440] 我自己的
[59:03.840] 符合项目
[59:11.350] 目前已经
[59:12.830] 要前后。
[59:15.690] 前面你不签字你也贴不牢自己，
[59:19.090] 你又自己贴。
[59:31.150] 不就先贴贴。
[59:33.490] 近两天再说是吧？
[59:35.990] 您最重要的还是前导。
[59:39.050] 不能做到光泽上，我这个也是完全可以的，也不是说不能用，
[59:45.520] 两年以后再换，
[59:48.490] 对吧？你
[60:16.770] 就首保
[60:18.140] 帮不了。
[60:19.640] 忘不了，推广成本太高了，
[60:22.430] 现在成本多了，谁知
[60:25.500] 手背有那么贵吗？
[60:27.030] 对，成本文化一一三百亿，他在材料高一些。
[60:34.600] 因为您这车已经给您做了一次保养了。
[60:37.920] 其实我们都是
[60:41.420] 怎么说呢？
[60:43.580] 对。
[60:44.680] 不回答这个时候就敷衍你不存在的，他已经做了一次保养了说实话。
[60:57.580] 你是去上贴什么膜？
[60:59.580] 都是维护的。
[61:01.110] 威固膜其实并不容易，这样爱才能在吗？
[61:04.450] 我让我们同事我给你演示一下咱们安防膜它是防护性，好，比如说你长途高速行驶的时候，石子飞溅的玻璃上面玻璃碎了模式不会碎。
[61:16.190] 对王大姐给你讲一下这个不行，这样给你打个B折扣，你在那做的话也一样，
[61:23.180] 能把您刚才所有损失的成本都给你能减下来，我这边给您争取一下，共同合伙给你们介绍，我跟您说这东西您自己去衡量，我先让他过来跟你讲一下，你先
[61:34.150] 来检查这魔，刚才看到那个了有视频那个
[61:37.180] 那个是行，关键身份就贴膜成品的太多，
[61:42.470] 不可能。
[61:44.760] 你先了解一下这个模式，别的三店是没有的，只有高端的才有。
[61:54.250] 夏东夏东内膜多少钱？
[61:57.260] 内膜是有15,800的19,800的2万多3万吨都不一样分等级。
[62:03.350] 然后我们还有
[62:05.800] 体验，拿一个5斤重的铁球可以去
[62:09.360] 你在哪体验一下？
[62:12.860] 了。
[62:14.210] 好，你尽快。
[62:17.310] 他是这样的，他有一个五金症的钢铁球从高空坠下来以后，能完全让你感到这魔的承重，
[62:25.190] 它就好比咱们在高速旋转之后，一个石子飞溅是一样的，
[62:28.770] 所以说咱们这条像您玩赛车的吗？您可能知道贯穿
[62:32.820] 如果说这飞溅的玻璃上的话，玻璃碎了模式不会碎，
[62:36.530] 包括防盗系统也一样，比如说像水的你刚看着了吗？
[62:40.400] 他一般是
[62:42.680] 底下是咋咋不透的，
[62:45.280] 让我重新想一下，既然从这上面能打个折扣，
[62:48.950] 谁知
[62:50.770] 你外面没有这种品牌的模拟，没有这种形象，只做高端小的私营店不错，
[62:56.540] 这样谁知
[62:58.320] 我用贴膜都是从排名从美国进口，当时照片到手机我贴的
[63:03.060] 都这样，你是美国进口的，光对美国进口膜，然后他接着模式什么摩魔方有的不少，
[63:12.090] 也会选别的事。
[63:13.760] 没关系，反正你。
[63:14.990] 这个点三点过，客观上30大家。
[63:18.240] 上面就到7800的天空中加200 2300。
[63:21.920] 同样一模一样吗这种他面条是吧？模式针对三线周末了。
[63:26.450] 没有这三份方便，那型号的也是吧？对跟小手机是一样的，但是可能就已经满足了。
[63:33.150] 那就算了人工成本也就是说
[63:35.040] 是2.7800，我们标价是4800的话，我们打完折以后应该是4000多块钱，对千吨，对最多5000，因为还有人工成本在里边，说实话，因为好多东西
[63:45.520] 质量是一方面，品牌是一方面，你在高端的品牌如果它质地都会达到不了标准，它是一样，
[63:50.910] 他贴不出效果来，它是属于相提并论的。
[63:53.680] 还有一个质量保障的，比如说万一要出现问题的话，咱们店做的膜我们一个全面的保障，
[63:59.810] 包括理赔什么动画都是一样的。
[64:07.840] 你了解一下，我是希望你们这边能打印能便宜，
[64:11.480] 宜反正在哪咱们都在做，你这个一个是负责哪个百没有关系，你可以了解后续你可以在网上做。
[64:18.310] 安发膜的话只有高端品牌采用上传新变动去做的，
[64:22.200] 不跟他合作。
[64:23.330] 这个是有个小小的矛盾性，包括他以前注意不了解一下。
[64:29.090] 你是打算吧？
[64:31.210] 你说。
[64:32.380] 你这个星期一定要清楚一点，
[64:34.420] 因为这个是黑色的，
[64:36.870] 那种英勇的小太阳管理的
[64:40.080] 三种树了，学生的你基本资料本书你要感受的话，你可以天天太阳，你可以这样，
[64:48.720] 他的
[64:51.030] 今天花了多少钱，如果不考虑
[64:55.230] 只要卖方改造都不理备案的。
[64:57.260] 备案的话茶道的话都不会给他钱，他们说是完了做一次，只要你备案的
[65:04.630] 你看看，
[65:10.200] 这种笑的
[65:13.910] 真的是我最近
[65:17.390] 夏东夏东来了不下。
[65:52.080] 我这是拍的
[65:53.740] 开炮。
[65:57.490] 中介
[66:06.610] 二
[66:10.550] 远。
[66:16.360] 水。
[66:19.440] 数据。
[66:22.520] 数据
[66:27.250] 3号。
[66:31.600] 最后一天。
[66:57.630] 数据
[67:00.950] 数据
[67:10.670] 了
[67:15.690] 的
[67:17.240] 的
[67:19.550] 反应
[67:21.170] 的
[67:23.600] 等
[67:48.150] 不要我们开会有领导这块。
[67:50.810] 昨天开会参与率高，
[68:13.640] 确实这样，你带过去你不用你管不用你说就能给你备点成本来吗？
[68:19.610] 一个人比你还一个人。
[68:25.870] 确实很厉害。
[68:38.730] 我真的不知道这个是哪个车主让我给他开的发票怎么办？
[68:44.360] 是昨天。
[68:45.640] 昨天
[68:46.790] 30号是星期二，
[68:49.120] 三号的前天，
[68:51.410] 会不会是
[68:55.840] 上面周围的
[68:59.550] 我在想是不是
[69:01.680] 4000块钱，我当时他的一个
[69:04.680] 不是是7000块钱是吧？但是我拍的开票
[69:09.370] 是安全。
[69:10.880] 开
[69:12.420] 看得了，小朋友
[69:16.790] 那边我还有别的吗？没有了，进去没有。
[69:24.840] 就这一台手机。
[69:26.770] 然后当天交通
[69:34.370] 就是
[69:53.310] 反正我
[69:56.430] 一
[69:57.430] 发展的有点晚了，可以下次看到你的老公
[70:04.630] 拿
[70:17.640] 办不到干嘛？
[70:18.920] 如果要是看不到的话，这三块钱的赞助。
[70:23.550] 这样您先别上场，先由领导先拍着，
[70:29.830] 那时不了就先别动，先拿着临床先别动，他只要进来以后是临牌就行。
[70:35.610] 然后在出去的时候就不花钱了。
[70:38.460] 场
[70:48.040] 号
[71:09.230] 打。
[71:51.060] 说。
[71:53.580] 谁知
[71:57.890] 没问题。
[72:05.080] 怎么样了解一下？
[72:07.740] 可以是吧？
[72:09.430] 考虑在执行前不考虑是吧？可以你都不考虑好好没问题，好我们就在下一步。
[72:17.180] 好您就这么着，我现在先
[72:21.570] 第一个问一下分期，第二个是把您这个是给您确定了，然后给您报一个价。
[72:28.130] 好吧？
[72:29.250] 这个没有问题就可以。
[72:30.960] 就清单没有吗？
[72:32.190] 我明白，就给您说一个最低成交价。
[72:35.670] 合同第一医院是一样的。
[72:38.890] 对。
[72:40.070] 对，不一样。
[72:42.310] 的一样，只是在他的修改吗？
[72:44.870] 在2号，然后是13款的3也
[72:53.250] 是首付是178,800，贷款69万是吧？
[72:56.610] 然后2500练车，73,000块钱车费，
[73:00.520] 还有一个是上面行明白，我这名那么后面写什么就是出去换的。
[73:08.600] 好合同体现不出来，你放心定价都是自然过来就行了，我们既然情况以后可能不承认明白，
[73:15.750] 后续我会让他定价。
[73:17.740] 所以没有证据，然后还有这样。
[73:20.310] 委托书相当于今天委托你来办理，所有的时间车子都没来，没问题。
[73:26.870] 你就告诉我，
[73:27.640] 包括你三五千审核，
[73:29.950] 一个上面一个引子把它进行垫付证明，因为交的所有的钱一共是
[73:35.340] 24万多，行好明白。
[73:38.180] 好吧，咱一步一步来，我这给你弄好。
[73:41.680] 行好勒，明天给您了，成立的背景放心好了，好你等我消息
[73:47.640] 了，您看能不能把松花江您要置换那台车的行驶本给我发一个，
[73:55.740] 你给我发一个大概多少公里数，我们大概看一下年份。
[74:00.080] 你们等着好好了好吧？
[74:04.450] 对，好比1块2。
[74:09.080] 这不是的。
[74:11.120] 没事
[74:11.980] 的。
[74:13.240] 三号知道点8万元5万只有用的，因为应该说
[74:22.930] 给
[74:24.340] 你都不知道他有什么想法再说。
[74:29.720] 好好，我等你消息。
[74:32.440] 开始烧饭了。
[74:37.560] 您可以从前台这个称号都是你们缘分刚才了解的标准。
[74:42.930] 车架号是024526，你这车什么时候能到
[74:48.720] 的？
[74:53.470] 024526，
[74:56.760] C5块，
[75:08.390] 这月下旬是吧？
[75:11.600] 好勒。
[75:21.600] 这不要钱。
[75:22.670] 这就相当于是一个也就是延伸的服务协议，就是您交到2500，我们交给验收组，现在购置税我们会交给国家的，
[75:30.320] 就相当于我们给代收，
[75:33.570] 这有结果的，另外签字听你的名字都是你的名。
[75:38.230] 就是说买房子发给他，对买方当时没关系，骑车的时候因为咱们有很多支付的，应该汽车出去使用市民个人，所以还有一个面房，包括后期的一个三天，每个你都是有的。
[75:53.760] 这个流程发的手机号谁露营？
[75:56.520] 013颜色银的是。
[75:59.640] 你这周末那个号码吗？
[76:01.380] 这个数字说明不要跟他的。
[76:04.720] 这也不忙。
[76:07.880] 这是演出服的第二页。
[76:09.800] 第二页1~3个在这里面。
[76:12.630] 第二页
[76:13.620] 不能正常进行，这是第一页，第二页不是要证据工程师等到夜照片，比如这个原因协议换了以后在这签字了，
[76:22.090] 这个没关系的，他打不出来。
[76:26.320] 就打断你可以看到内容，没有什么利害关系，就签字这张我签字，这签字签字这个提供千可以。
[76:34.900] 这样的话可能意义也没有，因为这样有的对，按理说按法律来的时候是这样吗？
[76:41.460] 对，反正你应该怎么写。
[76:43.160] 对，咱们事业打不开了。
[76:45.350] 其实这个就是一个
[76:48.440] 告知，
[76:49.330] 告知您这笔钱我们代收，我们交给哪个部门，其实就这意思，没有什么太多的法律效力。
[76:56.090] 但是就说是比较严谨一些。
[77:07.750] 然后这也是一样的，
[77:09.880] 可以得到的。
[77:12.510] 但是可以
[77:13.590] 也是三分。
[77:24.910] 对
[77:27.200] 来了。
[78:06.280] 这是要开发票的，发票需要我现在我先拍不到你，我都会很一流一套的，我包括。
[78:12.900] 对，我看到我们不用上保险。
[78:15.150] 你先开场又山上玩。
[78:17.560] 发票以后然后再去告知的内容。
[78:20.320] 他这种有原件吗？
[78:22.040] 有原件。
[78:23.120] 把原件我们看看以后凭发票去财务。
[79:24.430] 烧烤没问题。
[79:26.200] 好的，稍等我一下。
[79:30.710] 胡经理。
[79:38.840] 胡经理在什么位置？胡经理。
[79:53.950] 你们看见胡经理了吗？
[79:58.190] 胡经理。
[80:07.600] 谁知
[80:13.310] 银行要
[80:15.860] 中心在微信，
[80:20.850] 特种车。
[80:22.220] 对，发现。
[80:26.950] 看到Y在哪个地方查车，
[80:31.760] 我让徒弟去找您可以，咱们的不能私下协议休息，先横后竖架，我在园区猜一下讲解一下，
[80:41.110] 然后暑假的话进行来翻，然后
[80:44.060] 自驾路线上出现出发，到红绿灯掉头往条宽，
[80:48.670] 再掉头回来，可能总共下来厨房知道吗？然后暑假一定安全，如果
[80:55.360] 一个交互营造安全，让对方造成我们否则
[81:00.280] 咱们私下里稍微等一会，因为前面有人在市里，
[81:03.140] 谁知
[81:05.040] 账号
[81:09.250] 您先看会书或者口水看点车，他拉我跳好吧？
[81:15.180] 你先接。
[81:20.510] 这8个要还有蓝色，
[81:22.310] 一查了这么一种是吧？
[81:24.800] 要是大部分的
[81:26.870] 都是一样的。
[81:30.350] 大概
[81:31.850] 知道了。
[81:35.290] 一样
[81:42.560] 无效的
[81:43.800] 用。
[81:44.840] 看清楚。
[81:51.890] 点。
[81:53.530] 有没有道理？
[81:55.940] 那时候他袁珂有还是没有？
[81:58.520] 没有。
[82:00.580] 好。
[82:19.960] 要
[82:33.280] 场
[82:35.400] 数据
[82:37.430] 数据、
[82:39.160] 数据、
[83:24.360] 马
[84:48.070] 有在农村的家A
[84:52.090] 还有了没来，
[84:54.610] 明白了吗？在他那的
[84:57.540] 没超过了，有一个梁女士，然后说你之前接待过他，但是我这边没查着，然后再说要看知道S
[85:05.370] 然后说你休息吗？他让我跟你联系一下，看谁能接待。
[85:11.720] 你们就写好，好了你先过来。
[85:25.030] 的
[85:26.400] 一下。
[86:47.070] 所以
[86:48.350] 到
[86:50.520] 的
[87:00.150] 场
[87:01.130] 花、
[87:04.150] 场、
[87:06.560] 场
[87:10.040] 的。
[90:47.810] 数据。
[90:49.880] 的
[92:06.310] 场。
[92:10.280] 场
[92:11.800] 场
[92:15.920] 场
[92:43.790] 的
[93:29.440] 场。
[93:33.750] 的
[93:40.480] 场
[93:41.670] 的
[93:46.050] 数据
[93:48.010] 的
[93:50.950] 的
[94:44.090] 的
[94:45.110] 的
[95:46.480] 的
[95:47.810] 的
[96:31.340] 的
[98:34.080] 来
[98:35.840] 过来。
[98:37.770] 后来
[98:39.270] 知道了
[98:51.240] 这车有清仓了，
[98:53.010] 把这三方都给它画上了。
[98:55.290] 然后也跟他说了。
[98:58.370] 行。
[98:59.080] 好像说我听那意思是
[99:00.850] 车上别人管的，他们把客户处理完了就没修不那么高，就这样还没回来。
[99:06.990] 我跟您说一下，你跟他说一下两我都给换了的。
[99:12.610] 好的。
[99:14.590] 对。
[99:19.300] 姓庵先生
[99:22.480] 的。
[99:37.580] 车主身份证回来
[99:40.170] 给
[99:50.330] 数据、
[99:51.180] 数据、
[99:54.190] 场
[99:57.170] 的。
[100:09.930] 的
[100:12.070] 的
[100:21.070] 说话。
[100:32.300] 讲
[100:33.400] 说
[100:34.200] 远。
[100:37.000] 五
[100:37.710] 远场
[100:42.400] 数据
[100:45.120] 花、
[100:46.990] 花
[100:53.040] 数据
[100:55.130] 场、
[100:57.210] 场、
[100:58.760] 花
[101:01.230] 场。
[101:27.380] 花
[101:46.300] 数据。
[101:50.280] 的。
[102:08.270] 大
[102:14.290] 查。
[102:17.470] 你看看你得大成哥打电话，你看看市长们都站着吗？他现在正在这边打车。
[102:23.040] 咋整你把达成了行没事，我找他就是给
[102:31.030] bye bye，街车协议在哪怎么弄教教我。
[102:35.520] 这个问题。
[102:45.560] 我都在晚上。
[102:49.110] 你11点多了，快早知道我下来休会，我就开着会要不是资料
[102:56.070] 进入
[102:57.840] 玩笑，然后接电话这些都填了以后，然后让主任查车，
[103:03.550] 然后让接车人签字，然后
[103:06.640] 对。
[103:08.430] 然后把最后接单接车，把他身份证或者驾驶证印证。
[103:16.300] 好辛苦要不过来。
[103:18.360] 这拘留三借给他。
[103:20.300] 血症写得什么似的？
[103:22.720] 徐总签字是这意思吗？借车的人。
[103:26.960] 没有徐总裁。
[103:27.920] 喝。
[103:28.880] 徐总要接这个车。
[103:30.640] 不是徐总借给别人，那就别人签谁拿车掉，那承办人呢？
[103:36.000] 承办人就签你。
[103:37.780] 就天打分是吧？
[103:39.630] 那案子让出院查车。
[103:43.530] 徐总谢的其实还是因为我记得昨天我看都是徐总签完字的。
[103:49.560] 徐总前年这种
[103:53.210] 希望
[103:56.180] 别文章
[103:57.450] 知道的。
[103:58.290] 因为有有时候比如说施工就说副总过来直接拿走钥匙，然后说一天就介绍了。
[104:04.890] 没事，我这边的千承办人我签完之后再让熊签一下，然后要查有量，然后借口多少油回来就用手机之前要做就不用了，行明白了。
[104:17.350] 行好，我看到他图片查出来的话是
[104:20.740] 139
[104:22.430] 所以没事我开车我给大成打电话
[104:26.240] 的。
[105:08.400] 是那件C63吗？
[105:10.880] 但盛大
[105:14.060] 了。
[105:15.250] 单价。
[105:19.170] 是吧？拜拜三
[105:26.280] 消耗了
[105:54.410] 我只比小吗？
[106:12.200] 他们就了我过来
[106:14.390] 了。
[106:15.440] 在我写的先写上你去
[106:18.670] 这边。
[106:19.990] 我不认识，徐总说徐总认识。
[106:22.570] 徐总刚才给我打电话，
[106:24.270] 我哥们儿。
[106:26.970] 让他看是吧？
[106:28.450] 然后得让他看在一起什么我对。
[106:31.520] 你不得
[106:33.020] 哪有客户你不让人家确认一下，你到时候回来的茶友商了算了了。
[106:37.800] 了，其实我跟你说其实
[106:41.080] 也没法说，最早这是你能叫我来一点意思
[106:44.860] 等等。
[106:49.720] 对。
[107:10.790] 您好，您现在在百得利是吧？我是
[107:14.800] 徐总让我就是说
[107:16.460] 告诉我说您这边要坐一辆车，C63
[107:27.290] 我这边还得给您确认一下车况，然后我现在您不是在售后保养，
[107:33.150] 然后我在售前刚进门的这块，然后我也是在售后听您往前前台来销售前台来就行，我在这等您。
[107:44.300] 您现在吃饭是吗？大概多长时间？我等您。
[107:52.280] 行，那麻烦您。
[107:56.490] 对我的销售平台等您。
[107:59.450] 好了，这么着，拜拜。
[108:06.190] 出来了。
[108:07.270] 他回来
[108:09.760] 是为了国家。
[108:11.070] 我不认识。
[108:13.030] 他是老板。
[108:15.680] 老板说
[108:17.690] 咱们老百姓
[108:19.720] 那些不靠谱，
[108:21.410] 都自家人。
[108:29.050] 不是，是徐总的朋友。
[108:31.500] 是个老板。
[108:32.630] 然后这个老板的司机今天上店里来保养来了。
[108:35.750] 明白。
[108:36.560] 修车。
[108:37.640] 明白。
[108:38.440] 这种原因，我也不知道为什么介入原因，技术人员用起了吗？
[108:42.690] 应该不用的是吧？我也不知道这个原因是不是这些都是把公里数还是留给了类型就是事件。
[108:50.030] 所以我现在有。
[108:51.440] 对。
[108:52.600] 接触时间今天是6月7月2号是吗？我开的价格到底
[108:58.790] 就到你怎么开开价格上面看品牌。
[109:02.460] 你要是确认一下举牌的时候刚回来，他说
[109:05.520] 行，
[109:07.520] 我带着他一会去加上家里有点冷。
[109:10.880] 首先现在下班了，我先占个位置，
[109:46.950] 您好，感谢您之前给你打的，当时
[109:51.800] 我是销售平台银行
[110:12.230] 购买
[110:13.960] 银行新账号763的钥匙是吧？咱们这办一个接车的协议，
[110:20.240] 需要我这边提供一下使用人是谁，您帮我填一下，或者说您给我身份证我来填也行。
[110:27.370] 我给你们身份。
[110:28.180] 当天我两个来天。
[110:30.520] 他的身份证号是吧？对，借用人和联系电话写您的可以吗？
[110:36.430] 用我的行吗？可以。
[110:38.770] 我就写您的。
[110:40.700] 132是吧？
[110:42.580] 对13261017860。
[110:46.600] 信用人您麻烦能你看一下吗？就行。
[111:10.970] 您在这块介绍人这块您给我签个字，
[111:14.830] 签这个人的名字。
[111:21.780] 好的，谢谢，然后我带您去看一下，出来加上您稍等一下。
[111:29.900] 小王你会驾照印的背面吗？
[111:33.040] 您帮我弄一下好吧？
[111:42.810] 咱们稍等一下，用完之后稍后我带您过去。
[111:46.400] 他们查看。
[111:49.930] 车号是今天不认识了。
[111:52.030] 6
[111:53.110] 今天喝酒跟我们那车一样，
[111:57.630] 也是4个小时，他让我下礼拜一来，礼拜一不是1和6不能去，
[112:02.500] 应该是二。
[112:04.180] 您什么时候来取？
[112:06.500] 下周一说下周我下周一去下一车限行，我那车50 21。
[112:11.860] 这是6163，对这是。
[112:21.990] 行，您会给您做个登记。
[112:23.760] 不行。
[112:27.770] 没问题，那位怎么办？
[113:10.310] 电话了。
[113:11.970] 您稍等，刚才您打这电话错了是吧？简单稍等我说。
[113:18.870] 你看这样没问题，
[114:58.270] 你没看到那个人在去哪儿了吗？
[115:00.470] 等
[115:02.450] 过来。
[115:03.570] 没留电话，你说什么人吗？
[115:12.450] 谁知
[115:16.880] 10次。
[115:24.720] 问你你
[115:28.560] 坏。
[115:35.550] 的
[115:38.840] 中国
[115:41.160] 的。
[115:48.050] 不是你在哪
[115:52.220] 选？
[116:02.560] 暑假
[116:11.880] 的
[116:12.850] 去
[116:14.720] 过来。
[116:18.290] 网上
[116:35.210] 玩
[116:47.360] 了
[116:55.490] 跟你走。
[116:58.180] 来
[117:03.390] 可能没再见面儿，
[117:05.810] 没的见那两个人，我刚才不在，我刚回来我刚吃饭。
[117:11.130] 应该是没有登记，要是有东西应该放在这或者那写着你名字应该是委托。
[117:17.270] 我就找您。
[117:19.090] 我找不到您了，你这边照照你不走我等你了。
[117:23.650] 你给我留个电话，你快把那电话给我，
[117:26.400] 我都给你开个卡去，我就找你半天找不到，你说13816
[117:31.590] 106095075马上来。
[117:40.970] 帮我看看卡里。
[117:42.950] 说
[117:43.820] 不要放桌子了。
[117:45.080] 十佳风景11年什么开场了？
[117:48.750] 开场。
[117:50.630] 每天想打架我在开盘。
[117:52.730] 我那赶紧给我拨一下，因为我回去就没有了。
[117:55.690] 对。
[117:57.150] 我就了登录了都有了，原来这个医院没有了还得找。
[118:04.430] 我真找客户找不到，他看到我了的话，好说我找
[118:20.250] 我找着我。
