[00:00.460] 资金链。
[40:55.540] 我就恶心头疼，什么时候新买的车不应该他买了有三年了，您看咱们试驾车里刚才文没办法没什么事。
[41:04.130] 那个车跑了2000多公里是吧？
[41:06.920] 他车里的味道，谢谢。
[41:10.210] 他车里面的味道都特训恼了，和老师跟他说我他的车不能国产，你国产就完了，他那块完了，然后国产他就减配了
[41:19.010] 了，而且他后边小备胎。
[41:21.750] 他买的是哪个型号的SUV吗？
[41:25.800] 对应该是6060。
[41:29.840] 然后
[41:31.100] 他小备胎居然比他正常的要
[41:35.950] 很多小可怜一般不准，现在都是小就跟那小面
[41:41.440] 上面配的那小壶就是基本上能跑到80公里，
[41:46.760] 反正不好，后来我说我怎么一国产感觉就减配简单，因为一到国产的话本身优惠优惠的就是价格定得也很低了，
[41:55.970] 可能全班齐有30多万。
[41:58.130] 不到40，对。
[41:59.560] 因为这车这屋如果一国产让你生活给招感了，被是他的备胎也是小子，也是小广场也小，
[42:08.230] 晓不得这个是20寸的龙骨，小的也是18岁。
[42:12.640] 18对。
[42:13.810] 您可能像您同事买。
[42:15.850] 车他救援车就19寸。
[42:18.010] 反正他
[42:19.370] 小小拍我一看特别小，应该他还比较薄。
[42:23.740] 不是你要轮毂大小的20寸的，他要19寸的，你要换备胎，这车不是不能呆吗？
[42:29.770] 不是他车不就斜了。
[42:31.440] 一边高一边低了。
[42:33.600] 临时用了他只能用备胎。
[42:36.710] 对，人家我觉得他应该宽窄，他应该比以前窄。
[42:40.620] 这是275的宽度，他可能要窄一点，
[42:44.170] 但是你要说圈的数据二，
[42:48.600] 人权这是20的，我他要是19的要一话他不在了板子。
[42:53.560] 你是不是
[42:55.080] 在备胎您咱也呆着。
[42:58.030] 你那天给我好像在那个本子上写的
[43:02.000] 价格我给您重新写一张给我看一下。
[43:06.690] 马上
[43:10.320] 我这出门
[43:12.200] 谁知
[43:14.010] 这个是运动款的也行，这不是应付款，这不是
[43:18.430] 包括完了。
[43:22.760] 没必要这么用力。
[43:24.090] 我错了。
[43:35.590] 不抽烟。
[43:38.470] 你是不抽烟？
[43:39.850] 我也抽烟窗花。
[43:42.610] 我觉得现在年轻的小孩好像抽烟的少了，行。
[43:47.970] 不像以前似的都抽烟。
[43:56.960] 你给我报的话，
[43:58.720] 我给您算一个底下给我报个实价没问题。
[44:15.630] 因为咱不是置换14,000就是置换补贴，
[44:24.270] 但是这个车不管我跟谁，
[44:26.940] 他都会正常的话是给我这个补贴的吗？
[44:31.370] 店里置换，但是我们会先给您评估，因为肯定不会说直接就收您车。
[44:38.100] 这价格您满意对吧？可是问题是这个车我们是有亲戚想要的，
[44:43.590] 如果想要的话，补贴我可以给您问问，但可能不会全额给，比如说14,000的话，他会给您1万或者11,000 12,000这样。
[44:51.400] 对，因为正常严格来说的话，这个车只有店里置换才会有享受到的补贴，
[44:58.150] 因为这个是厂家给他们店里的一项，
[45:00.820] 比如说笔
[45:01.830] 一个优惠鼓励，因为北京目前都是没有指标，只能说拿旧车置换。
[45:12.920] 53,000。
[45:14.560] 这个是购置税。
[45:16.080] 然后这个车保险的话给您估一个在14,000左右，
[45:20.310] 但是实际险种的话可以就是说少上点也好，多上点也好，
[45:24.820] 但不会差的很多。
[45:28.970] 6049072563。
[45:32.470] 353。
[45:34.060] 170，
[45:35.640] 这个车全办齐16 175,000。
[45:44.230] 目前分期的话是有没有利息？
[45:47.400] 但会有一个手续费我都给您算一下，他是首付60%，
[45:52.240] 首付60%，两年。
[45:55.000] 07，
[45:57.980] 也相当于是他按车款带是604,900。
[46:04.060] 60。
[46:32.300] 上面是全款，这个车全部办齐，总价是67万，对。
[46:37.520] 分期362,000是车架贷款，但是如果总计首付的话是需要加上购置税保险以及上牌的。
[46:45.190] 然后40五336
[46:49.490] 5946533。
[46:54.690] 对。
[46:59.220] 对不到将近44万。
[47:03.980] 这个车价还能再给优惠点吗？我目前给您是最低的，如果你要说今天能定车，我可以给您争取几次保养，大概可以给您问问。
[47:13.850] 因为您也是第二次过来了，
[47:16.600] 这个的话我可以给您看一下，
[47:21.640] 这个就是平常我们的一个价格优惠，
[47:24.790] 这是所有车型的
[47:27.080] 是6月份的价格。
[47:32.000] 就是说你要说可能去别的店里看这个车这些价格是一样的，无非就是说可能有的店送您两次保养又变成三次保养，
[47:43.470] 我们刚才是叉C90哪款之一的，但是叉C90的话，它两个车价格优惠都一样，
[47:49.470] 除了基本性质的优惠的少，
[47:52.670] T6的两款之一和之雅，咱们看的是致雅，
[47:56.990] 实数R6其实也是属的。
[48:02.880] 然后像您本身迈腾那车没开过来是吧？
[48:06.440] 没开。
[48:07.630] 平常都不开车，平常开就我上班开，因为我休息的时候不休息的时候，是因为我们俩特意想走一走，因为平时我工作几乎没有走路，
[48:18.020] 在办公室然后再休息出来，所以我就想平时在办公室你说一天都走不了，一两千不太少
[48:26.720] 了，所以就特意他陪着我走一走，
[48:29.450] 坐地铁走一走也挺有意思，
[48:33.170] 所以就没开，但是我那个车其实是亲戚想看看上想要就是说到时给亲戚，因为我们那个车其实他很喜欢车，所以他每次保养
[48:45.060] 包括任何时候都做的特好，
[48:47.810] 这也而且任何事故没出，
[48:49.930] 所以那个车都不大。
[48:51.670] 你看现在才跑了6万多公里，
[48:54.600] 一年8
[48:55.810] 三三年
[48:58.360] 还买了600 77年的车，
[49:00.930] 算是比较新的。
[49:02.880] 然后人家说说就别
[49:05.010] 别给别人了，我们都要了这样。
[49:09.840] 你看他
[49:11.660] 你看你拿着，但是分期它会有一个手续费，
[49:15.500] 分期手续费是6000是一次性吗？一次性就是说您可以首付再多点，或者带的再多点和水费都一样的，正常我们也严格来说手续费是贷款金额4个点，但是我们现在有个最低标准就6000块钱，
[49:30.140] 我都没跟您说，因为我们门口有一个公示牌，
[49:33.850] 就是说如果要是说
[49:36.590] 主车架，
[49:37.720] 这是总车价，然后这税这是保险，
[49:43.330] 这是对购置税。
[49:45.640] 这个世上所有的都算在一起是67万多，
[49:50.030] 67万多，如果要是说按分期的话，对他60% 60%这样算下来，你应该支付3600，
[49:59.420] 然后但是这个是不包含这费用，这几项费用你要站在44，
[50:04.870] 然后再加一个6000的，就说你在分析的时候加一个千块钱一个，我就交在首付里，你也可以理解成这个车因为是首付362,000吗，
[50:14.650] 但是裸车价是60万，相当于车贷了24万对吧？
[50:18.800] 带了24万，两年的利息是6000，
[50:21.920] 那就很低了，他说你的
[50:25.180] 有的客户早上没啥，你聊客户吧，
[50:34.060] 要不带
[50:35.380] 不贷款也可以，我们就全部贷款全款的话就相当于是675,000这个车全办齐。
[50:42.120] 他说这个已经是最低价了。
[50:45.680] 如果不是我可以给您争取，就是说比如保养和装饰这方面的，
[50:49.810] 只能说是比如说给你仅增肌保养，
[50:54.240] 谁装修好像也没有的方式的，因为配置比较高，无非就是说贴膜脚垫这些。
[51:01.430] 那也是我觉得这67万多还是
[51:06.080] 充满这些天对这款车的了解，
[51:10.180] 觉得还是有点高，
[51:12.500] 这个价格我也不贷款了，
[51:15.870] 我又不贷款。
[51:17.860] 要是
[51:19.130] 我的趸交，
[51:20.800] 从我对那车最近这期间我也了解一下这事，
[51:26.200] 我觉得还是高的。
[51:27.930] 价格高是
[51:30.360] 总价，另外还有一个总价都是一样的，现在的话都是就是说从侧面的一些其他的就是说
[51:37.170] 保有显得
[51:38.450] 保养方式这些，因为这个车价1万15,060 156,000是厂家那边管控我们的价格，他是有限价的。
[51:47.720] 就是说只要是北京地区，因为其他地方可能说不好，就北京地区
[51:52.420] 开票现价就是156,000，然后如果有置换是可以捡到这14,000的补贴。
[51:57.440] 但是因为像您说的本身车可能是给朋友，正常来说这14,000的补贴都没有，
[52:04.530] 我那车钥匙给你们的，你们给估价低，不要对，我知道要对的太了，对，所以说如果你要是觉得合适，我可以跟我们领导说一下，就说这1块4看能不能全给咱们，行行。
[52:18.290] 我只能说我给您尽力，但是你要说在这个基础再优惠一些的话，确实可能就是说已经价格很低了。
[52:25.280] 大多大您是在网上看的价格吗？因为6月份和7月份
[52:33.330] 6月份合起，你要说对比其他的。
[52:36.210] 也是这个月吗？
[52:38.020] 就这个月。
[52:39.440] 价格，因为购置税保险这些不用说，基本上保险我给你算了14,000，可能有算12,000 13,000，但实际来说，
[52:48.510] 根据咱们个人情况前
[52:50.100] 前排一样的，
[52:51.830] 购置税不用说了给国家了，但是车架他们那边先给你优惠多少钱？
[52:57.320] 是这款质押豪华，对，他给您算的是致雅。
[53:04.100] 如果办起60多万的话肯定是质押。
[53:06.890] 这是裸车价，60再604900的车价，对。
[53:11.750] 税是给国家，保险是必须上第一年算是全险不用减肥，销售商也可以调的时候，我们可以操之过急。
[53:19.510] 但是你说我现在
[53:20.960] 9今年9我现在咱在里头我已经上了保险，
[53:24.880] 您外头基本提前上卖成没事儿迈腾车，
[53:29.640] 把21年的保险上了，对可以退全额。
[53:33.670] 我都跟他上。
[53:36.880] 我要是在你们这可是
[53:38.850] 就得在你们这，在因为新旧车的保险转不到薪酬上面，像您比如说朋友买这车保险您上了，因为我已经帮您上好保险了，你这个钱他们也不是对，那时候他既要是给气给了，那保险也就随他走了。
[53:53.690] 大宝，但是保险是我这边那车钥匙给我用，没事没关系，保险注意影响，因为最后你要给他的话，你要是
[54:03.390] 要做过户的，对。
[54:04.950] 包括这个车，比如说车主收入是您的保险人，您上我的都可以，这都不影响理赔的。
[54:11.160] 我明白了，这是裸车价是8，这税是给国家的纳税，不是减税了，我现在怎么也没研究专家还在上收这么着我们国家给开的发票，税务局开的发票，
[54:22.730] 我要是比如说提车的当天购车发票能同时一块，可是我们这边提车当天就能提走车合格证，关单都可以当天拿走合格证，对合格证和丹丹
[54:34.480] 不单因为这是进口车，就河南这些手续贯穿发票，这是我们店的优势，就是我们不会这些合格证的手续，因为可能您看到有的店您交完钱这车确实看不懂，
[54:46.590] 但是我们是不会涉及到这个问题，因为他
[54:49.990] 有时候牵扯问题，比如说车提走的发票不他提不走，
[54:54.820] 他不给你喝这车您开步走，对。
[54:57.680] 对吧？其实说有的人
[54:59.600] 他也就是发票合格证和提车的时候随时一块，但是我建议您就是说
[55:05.010] 因为我当天让您开走车，肯定是伴奏临牌才能开走对吧？但是因为我收了您一个上牌费吗？
[55:12.350] 这个指标如果腾出来之后，我需要给您交税，给您做工商验证以及上牌，
[55:18.280] 我建议这个手续可以放在我手里，如果您要是不放心的话，手续您拿着指标下来，我跟您说您拿着手机过来，咱们把购置税交了，
[55:26.160] 上牌的时候一起咱们开着车就可以了。
[55:29.000] 这个肯定都没问题。
[55:30.560] 如果要是我们给朋的话，它这手续怎么办？他怎么来办过户？
[55:36.310] 不是衔接，
[55:39.110] 就这个衔接我会有几天就没有车开了，不会您就车没过户，今天把这车开走，我也能让您开走，只要他对能临时牌照的话，不是原来是疫情期间最长的话，之前我们班是一个月，但是可能现在是半个月，
[55:58.470] 但是是不限次数可以一直续，因为E行期间正常
[56:03.380] 能衔接你不会没有车开，不会你比如他把车给压完了，
[56:07.600] 摇摇他把速腾迈，
[56:09.920] 他也得我这车得给他过户卖，
[56:13.040] 拜堂给他过户，他速腾它数据库层你先过户，指标腾下来，他才能把您的迈腾过到他的身上，对，然后您的指标腾下来才能把车上了排队。
[56:26.100] 然后他现在等于意味着它会有几天没车，对他就不管他先把他书上卖
[56:32.310] 了，给人过户，
[56:33.500] 我这几万肩膀受伤卖给人过户，完了他有购车指标，
[56:37.800] 完了把我的车
[56:39.730] 加点水没事，完了把这迈腾给他过，
[56:43.810] 迈腾给他过户完了咱们就有指标，
[56:46.660] 有指标完了就可以上台。
[56:49.170] 但是咱们有临时牌照，你也不是没车，他是分管他几天，只要临时牌照就是在北京市内都可以，只要不出北京，对，而且现在出北京也不方便，对，现在是不能出去。
[57:02.610] 现在出自哪的核酸检测证明你得上牌他给上牌省事，
[57:08.330] 就是说如果是我在提车，
[57:11.220] 就像我刚才说连发票合格证您一块一块
[57:14.580] 不会有之后，对我们这边就是说不会说，因为我们这都是现金车，不会涉及到合格证抵押这方面的。
[57:21.740] 另外14,000的购置减免病人是23,000，他有的地方是23,000，
[57:27.520] 23,000那是针对国家国三，
[57:30.830] 国三的车我不知道不，这个车14,000不是我们店里给的。
[57:36.770] 这不是也是，不过这是厂家给的，都是沃尔沃的厂家给的。
[57:41.280] 而且每个地区北京地区是14,000，可能去外地就不14,000，因为北京指标难了，
[57:47.430] 他都是通过置换的形式，所以它给您的14,000的补贴就是鼓励咱们来去换车。
[57:52.880] 我明白了。
[57:54.520] 156,000减1万剩那就是17万。
[57:57.790] 17万裸车价60这个车价就这块
[58:01.830] 嘶哑豪华被控侵权放320马力的，现在在这个税太高，他这个盘里边是现在目前配置最高的，咱们再受车险，您看这款就是最高配了，对，因为其实实际上面还有一款，但是意义不是很大，就是豪华车也少，就有个座椅通风座椅按摩，其他的基本性质这也在做。
[58:24.170] 里面这不在按摩，不大对着旨在加热是吗？我怎么不看看自己，您这开着车按摩的舒服睡着了，
[58:32.110] 说那是开始了自尊最好的，
[58:36.200] 不在乎，
[58:37.720] 但是配置除了这些，其实该有的都有了。
[58:41.320] 他做引等于前牌后牌都不带按摩是吧？对，他只有加热。
[58:48.170] 这话模式包装不是水桶，前边后排都在下热吗？他后台不大。
[58:53.820] 就前排两个坐前排的在家是吧？因为这个车本身他还有一项功能，就是手机远程启动，
[59:00.160] 就是说咱们在家里尤其是冬天用APP，你比如天凉或者天热，提前把这空调就可以打开，温度风量都可以设定，
[59:08.490] 包括车辆的车以后不用上盗抢险，
[59:11.440] 这个车您用手机就知道这个车在哪了，
[59:14.180] 我把车借给朋友没问题，这车他开哪了，我手机都随时都能对，因为他有车辆定位。
[59:19.360] 他有销量下APP的，对。
[59:22.160] 下来咱们沃尔沃厂家APP对Volvo on call叫做对，包括这个车有一个紧急求救，发生危险情况的话，气囊会弹开，只要气囊弹开的瞬间，我们这个车会自动的帮帮您
[59:37.910] 把这个电话给拨打出去，叫SOS紧急求救，打到我们厂家，厂家会跟您沟通，问您这车发生什么情况了，讯飞还要给您报警了。
[59:45.560] 而且您这车发生危险的地点，因为我们后台导航都会有显示。
[59:51.270] 对，他会帮您把帮您就是报警这些一系列操作都会这以后不懂，就可以说照理属于
[59:57.900] 对旧车辆的功能都可以找我们。
[60:00.990] 我觉得他这个字眼好好。
[60:04.400] 还可以。
[60:05.440] 车这是裸车价，因为我给您算的是包含购置税了和就是说也就相当于您交675,000这个价格，肯定就这个车已经上完上好牌了，
[60:17.250] 后期就是说只要去加油和保养就可以了，就没有别的费用了。
[60:21.000] 一般保养费用我保养应该在1130，还是有几率
[60:26.770] 1万公里普通的那种对全合成机油，1万公里全合成机油。
[60:33.390] 邮寄地址。
[60:34.640] 正常市区的话，像我平时我不说一会要是合适，我再给你问问送两三年。
[60:40.510] 几次保养这都没问题，你这车售后，然后咱们售后的质保是三年不限公里数。
[60:51.160] 对，然后咱们平常售后和装饰的话都在咱们前面，你看前面这展厅像续保，保险的理赔以及后期维修保养，
[61:00.430] 都是在咱们这个车间。
[61:04.910] 你们像保险他上的是哪个公司都可以，人保、平安、太平洋，对我们这都有，对。
[61:14.330] 但是我们只有大保险公司，像一些小的话我们是没有的。
[61:18.400] 咱们之前上去是吧？谁知
[61:21.990] 如果您上哪家保险都是直赔，直接来我们这就可以了，这就是比如说我在别的地方上也能在这里陪妈可以也可以。
[61:33.760] 主要他这块离我们住的地方比较近，三大殿。
[61:38.210] 是深圳，对，而且这个园区整体做这种高端汽车的整体下，无论说售后这些服务，包括我们及时的
[61:46.550] 就是说其实整体还算挺不错的，手艺也好，
[61:54.200] 搞音乐那个时候是吧？
[61:57.280] 不是，如果您要是考虑这个的话，你就相当于
[62:03.060] 月供它是全跟您绑定一张，只要这卡里有钱它会自动对，比如说今天是12号，每个月的12号，
[62:12.200] 它会自动的从您卡里划走1万块钱10,081，但是相当于您首付的话就是说可以少交一个24万，
[62:19.910] 但是24万会产生6000的利息，等于6000块钱的手续费，但是这24万您放银行里，我觉得都比这6000要高一年，
[62:27.880] 对吧？
[62:29.110] 而且我们为什么希望您分期，因为其实我们说白了就是挣您这周选手续费，因为分期和全款没有其他的费用，
[62:36.030] 而且不需要抵押，也不需要装什么GPS，其实就是和全款一样，无非就是说咱现在
[62:42.910] 很不喜欢贷款。
[62:44.400] 真的
[62:45.460] 不喜欢。
[62:47.210] 我好像无所谓。
[62:49.630] 有点。
[62:52.280] 我们招商我们确定，但是我们全款的话就是实验。
[62:55.800] 因为我们现在费用可以考虑考虑分期，如果正常来说我们都希望你生气，
[63:02.540] 但是我不喜欢招这块只是分析麻烦是吗？
[63:06.220] 可是现在不能想，因为是这样姐，我跟您说一下咱们具体分期流程的话，因为我们平常都有银行人员驻店，
[63:14.090] 需要您的身份证和行驶证，半天其实就能提，批过之后的话您正常和全款一样买车，就是说无非少交一个24万块钱，
[63:23.150] 后期的话您也什么都不用管，因为没什么合同。
[63:26.600] 主要就是贷款时候当时签了一份就是贷款协议之后的话，就说今天买的车下个月的今天开始就还款，
[63:34.120] 只要您绑定卡里向您全款都有，
[63:36.450] 都能一起拿，那无非就是把这二次放卡里，您还能迟D7，然后后期它自动就放款了。
[63:42.910] 其实都是一样的。
[63:44.220] 没有说特别晚钱不唱越好，这一下弄利索得了。
[63:48.530] 但是就得
[63:50.850] 9月九十月九十九十月份，
[63:54.480] 10月份因为我们做理财的，要记得全国基金就回去出来的钱钱就回来，因为这几年
[64:03.070] 银行利息不是D吗？这点事我一直做理财，
[64:06.670] 我也就半年才的产品高吗？
[64:08.830] 高点。
[64:09.840] 高4.04.03点您还不做，拿着钱做理财，
[64:14.550] 你做个分期多好，您要合适我也合适，那点钱不是
[64:20.120] 3.85~4.0。
[64:21.920] 我全是这几年我的权重，我一直认为我这全是半年的，全市半年。
[64:26.360] 就上个月我刚做一个
[64:28.480] 我也是银行的理财产品，银行里面还有保障吗？对她P to P事
[64:33.940] 的确是原来利息很高，我们家一亲戚直接就被套了一声，就等于一辈子攒的钱一分钱没有，那也不能做到招P找找不回来吗？
[64:43.690] 左拐跑了，你上涨他不算犯法了，这是了国家已经明令禁止了，可是
[64:50.560] 你前期的这些钱就没人给你堆了，
[64:53.430] 上追去人跑得最之前，我也给别人抓起来了，
[64:57.440] 抓都不抓不
[64:58.880] 不是他哪抓去抓不着这个人，就说前期的时候做着P two P很多人都已经把资产全都
[65:05.380] 倒腾着到国外去了，就没有那么多人就不太高，那时候跟我说你干嘛不做，
[65:11.420] 你看我一米我一个月比如说我多少钱我就能拿多少利息，你们那跟没存一样。
[65:17.640] 后来我当时就说他我说你不能这么说，太高肯定有风险，对，他那时候你想他11年下来，可能我们一年下来才
[65:27.050] 一两万块钱的利息，他就能拿到12万到20万，
[65:31.960] 就那么高。
[65:33.120] 所以他不在咱们普通银行来存钱，就因为她已经对她没有任何诱惑了，
[65:38.640] 他觉得我那能拿10万，我凭什么在这拿1万，这肯定的对。
[65:43.460] 北京人好，就老头老太太好多都被骗了，这真的就是一生的钱，就是PRPRP理财的。
[65:50.500] 网上理财
[65:51.540] 在国外是没有不批准网上理财的不批准，
[65:56.020] 哪有网上互联网理财不可靠，是这样，这就是国家的政策，他最开始他是支持的，
[66:02.940] 他来支持，然后把老百姓全套走了，他突然一下它就一刀切不许做了，其实最后这就不是碰到老百姓对最终获利的其实是国家然后最终损失的老百姓。
[66:17.090] 这些东西根本不能国家信信访大楼，能够每天地方到他们排排队，
[66:23.210] 那一教师哭的一个北京老婆上山了，我觉得都最好一辈子的钱都没了，那都绝望了。
[66:30.450] 我们家那亲戚就是200万，
[66:33.300] 一分钱没有了，你说这心小点的可能他能活到两个孩子，是我是银行，不是我就是光大银行交通银行靠谱，
[66:43.750] 我也不贪你和为什么你给你那么高的利息，你还想不承担风险，那可什么可能？
[66:50.950] 所以我说你这弄点利息得了，你比银行存一年期存款强，我就准备摊，那我一做就半年，这半年我上个月刚刚又做一个
[67:00.720] 刚又做一个半年和一年，
[67:03.470] 一年左右半年，因为他理财没有太长的，
[67:07.490] 没有三个月半年周日。
[67:12.510] 因为我
[67:13.720] 我最晚的我这12月还有一笔钱，谁知10月99月9月底
[67:21.030] 这也很快了都7月boy越来越
[67:24.280] 也就2月，
[67:26.360] 对不对？我这一次
[67:29.770] 给他来感觉
[67:34.210] 极速快递。
[67:36.420] 你们提醒行，我知道那剩的啤酒，谢谢好好别收到了吧？
[67:43.350] 喝两口晚上我也吃，我晚上也得喝两个人，尤其夏天我觉得东北人
[67:50.590] 山东人好像不喝酒的时候，
[67:52.800] 我就特别远，就晚上不喝凉了，睡不着了有点。
[67:57.970] 但白酒我不喝白酒。
[68:01.020] 其实少喝啤酒长逗的，对，我是毕业这几年
[68:06.720] 喝不了多少，但是愿意喝。
[68:08.820] 真是愿意喝。
[68:10.320] 跟他们出去吃饭一喝就多，但是每次还想喝，
[68:15.410] 现在好多了，现在不往多喝，就感觉差不多晕了就不喝了，要喝多太难受了。
[68:21.530] 对，结婚了吗？丫没刚毕业三年27。
[68:27.060] 27号。
[68:28.350] 3月8号。
[68:31.110] 在其实
[68:33.060] 应该
[68:34.330] 在北京结婚，
[68:36.040] 最好找北京的。
[68:37.640] 那么好找了，好找，你只是说
[68:40.730] 只是说你们的
[68:43.650] 一个是自己的眼光，一个是说自己的认知，还有三观的问题。
[68:51.890] 因为我年年招学生，
[68:53.740] 这些学生我一直在跟他们说，我们也会招外地的，但是现在进京不是本科进不来了吗？
[69:00.360] 然后除非你考研究生，但是很多人家不愿意跑到，我就跟他们说，我说你们唯一的途径
[69:06.340] 找一北京姑娘结婚，
[69:08.530] 那样你们的负担也轻，然后生活也很稳定。
[69:12.410] 如果说回去的话，
[69:14.680] 会对你们就说你在北京，比如说你已经我搞人力资源的，会给所有的这些人员制定职业生涯，
[69:23.060] 对吧？
[69:24.430] 职业生涯实际来说你自己也来定义，但是订一个不要太远期的可以有，但是先比如说3年5年，
[69:34.460] 把你的
[69:35.480] 各个方面来制定好了以后，就用就以这个方式去努力，
[69:39.720] 一定会成功。
[69:40.930] 其实北京虽然压力大，
[69:42.920] 但是一旦你能坚持10年以上，你一定会成功，可是短期不行。
[69:48.650] 短期是需要一个是坚持，一个是得有点吃苦的精神，就是太熬人，
[69:54.850] 是很熬，但是在这期间你一个是自己的人脉上，你会有一定的
[70:00.750] 发展。
[70:01.620] 还有一个你在这种大城市这种工作节奏，你适应了以后，
[70:07.270] 慢慢的你就会给自己一个
[70:10.240] 就是一个定位了，然后这时候你发现你在回去的时候，
[70:15.010] 你跟留在当地的人你会有很大的差距，
[70:19.630] 但这个是挺难的确很的慢慢熬出来的，我刚才跟说着东北是不能回应这一点发展都
[70:28.900] 没有发展前景，
[70:30.790] 人的观念各方面，
[70:32.980] 现在就是说投资不够，
[70:35.090] 不过山海关，
[70:36.650] 投资不过山海关那就要
[70:39.120] 咱人的观念也不行，这种等级制度是全国这种
[70:43.630] 官本位之小，这全国最严重的一个地方，
[70:47.410] 就着东山省，
[70:48.730] 这个官本位干什么，你说当然没关系，你什么事你都办不了，干什么都得凭关系。
[70:55.360] 北京的好多了，
[70:57.120] 肯定也凭关系，但有的是不凭关系。
[71:00.740] 你这出来几年你眼界开阔，你回家回老家，你跟他们你让我回去跟他们一交谈，
[71:06.820] 他们不出来的人，你出来眼界开阔地在大城市好几年了，你再跟他们一交谈，你跟他们无话不谈，
[71:14.010] 有意思，
[71:15.240] 你知道吗？
[71:16.350] 你跟他们真是无话可谈，不信你春节你再回去跟他们聊天。
[71:20.760] 就那种
[71:21.710] 他们局限性的思维，关外那种就说这种局限性的真实。
[71:28.790] 他聊天讲
[71:30.460] 这事就关键问题，你回去你都不适应在这，尤其黑龙江就是人口外流，东北是最严重
[71:37.970] 的，这是简要现在一个月能挣多少钱？
[71:40.980] 我当去年的话，之前卖车一个月平均1万多块钱，
[71:45.960] 现在说不好，
[71:49.580] 今年的上的时候正最惨的时候，比如说二三月份那时候根本就没卖车，是我们底薪就1200 1200，
[72:01.040] 所以
[72:02.610] 各种其实你在干这个行当当中，
[72:06.320] 然后慢慢提升自己的眼睛，
[72:10.140] 定位的时候也慢慢给自己提升，
[72:13.010] 千万不能眼睛太窄，比如说我只盯着眼前这一点，那是不对的，
[72:17.860] 一定要拓宽自己的眼睛，然后来干来
[72:21.460] 看自己更适合定位在
[72:24.480] 你只有这样你才有发展，不能看眼前看眼前那一点点东西。
[72:31.050] 有的时候
[72:33.390] 影响不单影响你的发展，还会
[72:36.500] 造成你一些认知的误区。
[72:39.800] 现在有时候特别迷茫，
[72:42.610] 没事，你就应该给自己
[72:44.860] 来鼓励自己坚持真的坚持下去，因为我干了这么多年人力资源
[72:51.490] 接触的学生各种层次的人太多了，
[72:55.080] 所以在这个当中我就发现真的能坚持，他一定会成功。
[72:59.640] 这种坚持但是的确是
[73:03.310] 而且在
[73:06.400] 适应的环境当中，然后多跟朋友聚会，多认识点朋友，
[73:11.500] 所以一定想到我找一个北京的，
[73:15.110] 你如果找到当地人，你今后的路就很
[73:18.390] 很顺畅了。
[73:19.670] 因为你不会再有担心说我要回去，或者你们两个都是外地的话，在这就生存特别的难，而且结了婚以后会牵扯到孩子上学，
[73:28.950] 对吧？
[73:29.600] 住房
[73:30.670] 这些东西有的时候他很难解决，尤其还是上学，
[73:35.720] 其他地方
[73:37.000] 东西还好办，你说你在北京交5年社保，你就有买房的资格，他有一个
[73:42.650] 可以申办一个长期的居住证，
[73:44.870] 但是你孩子上学怎么办？他待遇是不一样的。
[73:48.110] 所以说尽量就是说能够
[73:50.720] 来让自己有这种趋势，有这种想法。
[73:55.090] 我们这些年轻的小孩其实都挺不容易的，
[73:58.400] 都得出来闯，我出来才19岁，跟你那时候不一样，
[74:02.330] 要是他是不对，他是军人，所以他的三年所以就不一样
[74:08.240] 了。
[74:09.730] 我们这不是打听干吗，裸车价还可以，
[74:15.530] 但是我说你等我俩月行没事，你等我了解这个期间，我还得跟摇号的时候，叫他提前把他的车的处理得有个缓冲期，
[74:25.820] 但是您别先处理了之前您别把车开过来。
[74:29.590] 我这个要不不是，
[74:32.330] 要不我需要留一些手续，要不这置换补贴我们从厂家拿不到，不是我得把哪个车开，咱们那车。
[74:39.180] 咱们那车得开过来，他得先做一下相关的单子，对说到这了，还有一点
[74:45.570] 那个车还不能先处理，你比如说咱们说十一来提车，
[74:49.750] 您就得11处理，
[74:52.170] 我知道也不能太早对你得同时进行，要不这置换补贴就拿不到了。
[74:57.790] 对，我看着那
[75:00.440] 比如说这边衔接，比如说他树藤的比如说9月底，
[75:05.710] 十一前9月让他把速腾给算在这，直接先让他把树藤卖把指标拿着，
[75:11.200] 拿着指标完了，然后到时候上你这来，然后把车先开过来，我给您把所有手续我留下，弄好了之后把我再给他对衔接，就说这个日期衔接你先告诉他，然后先让他有意向，他说多方了来联系，看谁要他车，然后给估价。
[75:27.360] 这些事儿你说你落实在你说你在99月底左右，你把你这车处理完了，你就有指标了，那时候
[75:37.430] 我们把手续完你这个车就可以了，明天拿不
[75:41.880] 过户可以找人代理帮他办，对。
[75:45.560] 还可以什么瓜子二手车什么这些都可以办的，所以我提前告诉就9月底
[75:52.700] 9月底十一前9月底我们就可以过了。
[75:55.900] 你这也就这两个月时间，
[75:58.140] 我也就看着别的车我也不考虑，
[76:00.690] 而且性价比各方面，你把这个方法信件里方面我们经常跑长途，我在威海还有房，你要都这样嗨。
[76:09.560] 黑色
[76:12.480] 我跑着车，我上北海后边还能装东西，楼来回，平常没事休息就去威海那边。
[76:19.530] 现在老人都在，
[76:21.280] 我们俩住的时间短，
[76:23.270] 等老人不在了，我也退休了，然后就一下能住半年左右。
[76:28.030] 非常好，环境
[76:29.880] 非常的干净，非常漂亮。
[76:32.240] 威海是城市不是特别大，很反正就是临海很好的地方。
[76:37.260] 特别舒服的，对，而且他
