[00:00.550] 您现在初次426。
[45:27.190] 您有那个线可以的，
[45:29.840] 有的数据线可以用，比如苹果卡普兰也可以用。
[45:35.030] 你刹车吃刹车就一条就有是吧？轻轻一踩，咱那个车不
[45:42.360] 像我们开的都是你要开日系车是不一样，日系车他描绘的什么软一点，
[45:50.890] 日记都没说，他俩都是这样，
[45:54.070] 其中茶不死，
[45:55.800] 没到矿量在里面，
[45:58.480] 感觉都特别
[46:00.360] 加油点，这个就对了。
[46:02.870] 这就是缩短了一个制动的时间来
[46:05.970] 一点。
[46:10.470] 手机投屏的话要有个对接着的。
[46:14.920] 对，让一接，然后接手机上苹果的科普类都有在上面。
[46:20.780] 有。
[46:28.160] 然后包括蓝牙都可以。
[46:30.050] 行。
[46:31.400] 就行了。
[46:34.670] 咱还知道，
[46:36.210] 你看苹果的咖啡类的商品都会有，
[46:39.180] 谁知不现在没有连接的装置，
[46:42.490] 怎么样？
[46:52.130] 奔驰内饰做的会非常的细，就不管是上面那种包裹还是双黄线的效果，
[46:57.360] 还有模式，这都会皮革的
[47:01.130] 非常
[47:06.530] 不是用工用料在上面确实做的
[47:08.840] 非常高的。
[47:13.420] 而且如果希望离标签的这种经典的设计非常好的效果，
[47:30.780] 就是临平。
[47:32.020] 对。
[47:33.910] 新的这种实际效果全都是大的连
[47:43.530] 而且空间大了，坐后排这种输入性非常高，
[47:47.320] 可能一下子出去真的后来会做得很舒服的。
[47:51.250] 对。
[47:55.230] 后边的。
[47:57.320] 怎么打就怎么吧。
[48:15.840] 目前从下面这个环节
[48:23.430] 我觉得一双
[48:24.600] 他后边内饰除了一个墩子以外，真的比我的大好多，有两三个月。
[48:32.730] 他这东西
[48:34.060] 当时买完这车不就是为了标准，
[48:36.150] 因为这个是后续的就有。
[48:38.730] 好像也可以自己的，对，因为奔驰宝马其实都用的一个就是贵一点的后续平台，
[48:46.580] 后续的这些转向会更好更舒服。
[48:50.170] 目前这个地方可能知道，我觉得基本上
[48:53.240] 就电话调到那传买你去查咱们就来。
[48:58.650] 下面咱们就了，对正好有本事的。
[49:04.390] 但是A股什么有旺旺也什么都正常。
[49:07.500] 黄子杰娘是吗？好多鞋，
[49:09.840] 可老板要下去纤纤素，
[49:13.140] 因为购胸前这里面还有丰富的下游家政，
[49:16.660] 邮箱中深处下潜是一道绝味下。
[49:22.730] 李刚为什么？
[49:24.810] 搬家，谁知
[49:27.070] 然后回到右侧的车位可以实现自动泊车。
[49:31.580] 谁知
[49:33.600] 你要知道上这样你要知道还要扫的车位，到时候可以试试这个车辆。
[49:41.730] 行，然后确认
[49:44.320] 让您挂倒档往上谁是到达。
[49:47.510] 我刚才在加码送下车对照就行了。
[49:50.640] 有点不太赶了，别符号，您听婷婷，因为您符合盘就把它取消了，对就不能扶着慢慢。
[49:57.890] 你在网上一下，我们直接帮您手动马上到了。
[50:01.360] 你别守着你也感受一下，
[50:04.930] 你跟老师感受了一下抄的。
[50:09.190] 好，
[50:10.350] 它不涨。
[50:13.680] 对，其实它扫描出来之后还是比较准确的。
[50:18.580] 对您可以往后走这种反应。
[50:23.240] 好像上去
[50:25.070] 开始不习惯，其实用习惯特别方便。
[50:29.920] 刚刚
[50:32.790] 不算文化。
[50:35.550] 很好刮痧的这已经像这种大轮其实很轻的，很不觉得沉得
[50:43.080] 的。
[50:48.430] 我这都会了。
[50:52.120] 我看到了。
[50:54.600] 您知道
[50:56.900] 好像你那个左边
[51:00.210] 你左边不好看吗？
[51:02.860] 没有在这边吗？可以吗？
[51:04.980] 我就往后倒先找好上尽量去，然后侧面直接能回P档了。
[51:09.650] 虽然侧面就直接回P档非常方便，就不用来回推了，
[51:13.570] 这就是很省事的就的刷妈妈手刹电子手现在就行了，如果你洗过之后手刹它会自动拉，
[51:21.680] 他自己拉手对人是电子的反制的的，开了之后手上自己开之后，刚才先生在看并没有什么松手刹，他直接就可以走，因为会惯着说自动会结出，
[51:33.110] 就不用管，对您下车就锁车就行了。
[51:38.240] 对，别省那什么了，省得有那种没有松手刹就往前一直开了。
[51:45.510] 特别适合新手，
[51:47.580] 其实就给咱们下主要这么大的人拿好东西。
[51:52.620] 习惯对，他们用遥控器切换其实。
[51:57.410] 不是咱自己的。
[51:59.800] 下次把肉烧了，
[52:02.480] 那个东西我们
[52:05.230] 很好。
[52:08.480] 其实刚才咱们您在回来的时候，用驮车之后，您刚才没有握着放慢，因为它系统会感觉到您如果还在卧翻盘，他会觉得可能有那种紧急的事务，
[52:17.550] 他就会取消里面叫
[52:19.070] 这种智能，就是你设置完了你不能碰吗？一碰它就恢复到我得主动了，
[52:26.480] 因为它是全自动的。
[52:29.680] 面对跟挂档的效果是的，你
[52:35.310] 你本来
[52:36.550] 出来的。
[52:40.120] 谁知好像晚了，
[52:51.370] 咱们的产品上这边了解一下产品的介绍，这边要了解一下的，刚刚
[52:56.920] 什么这样，咱们这边有一个1260可以看一下，因为它的规格都是相同的。
[53:04.800] 对您要的配置没有放没有，现在已经但是其实整个造型都是一样的，
[53:11.020] 比如像大灯都是LED的，它更好的这种照射效果安全性会非常的。
[53:16.580] 然后后边刚才咱们是自动泊车，他就垂直跟侧方的两个车位它都可以扫描出来，然后他自己
[53:23.460] 打方向刹车换挡全都是她来自己做，就非常的方便。
[53:27.590] 上面那款有像钻石的没有异议的话，做的比较偏大一点，就没有做那种隔山了。
[53:35.870] 因为那样会显得像C那种轿跑会做那种风格不一样那种。
[53:41.160] 对，然后全景天窗也是现在的标配。
[53:44.790] 坐后排要开天窗治疗之后，它整个的视野会非常的好，
[53:49.450] 聊聊也都有，然后自动刹车，电动电压对电动的。
[53:54.960] 对300都是电动车辆，然后自动刹车也都是标配。
[53:59.820] 探测危险之后给您做提醒，报警做自动开展安全，看着还像个豪华。
[54:05.310] 您配置确实太多了。
[54:07.080] 除了ACC没有，我现在
[54:10.180] 就是纠结在颜色上了，其他的基本都差不多，其实颜色不是纠结的跃动，因为颜色都买黑的，
[54:17.040] 颜色都买黑的，其实都是因为一个
[54:20.880] 一个家来说，他就不光是
[54:23.480] 什么，因为大家还是觉得黑色的跟奔驰还是比较大，家里用平时
[54:29.920] 他就开几公里，
[54:31.630] 从家到单位就787公里都没有。
[54:35.410] 但是这个确实是我们
[54:38.700] 买这个车本身开感觉还行，
[54:42.790] 因为家用一点就是用大标了，感觉家里的大标的其实多，你要想因为立标的设计风格其实就是往这种
[54:52.030] 比较中规中距这种效果设计的，
[54:55.860] 然后像
[54:57.880] 可以扫描二维码下车辆信息在微信上能看到，然后咱们有700千克P的样本，可以看外观内饰的颜色搭配。
[55:04.800] 如果说您非常的话就
[55:07.370] 还有什么优惠什么的，起码现在你要今天能订车，因为周末的活动还能给您在申请申请优惠，就看您的购车时间，而且现在赶上
[55:16.060] 月底的一个供销2月就最后这5天的时间了，
[55:20.580] 能再多优惠，但是肯定前提就是您
[55:23.270] 选择的也是现车。
[55:25.360] 然后其实现在您从这里面选的力镖只有黑的，然后大标的是有黑的白的，
[55:33.020] 黑的跟白的现在反正
[55:34.500] 确立表的事那就是的在车辆上看有什么疑问，没有疑问可以虽然价格算算车的报价，
[55:41.670] 大概算一下，行咱做账上
[55:45.840] 作战。
[55:50.070] 坐着，然后
[55:51.390] 我给您送保单都是全国统一格式的马灯，所有报价内容跟车架都咱们都有价格的公式可以查询，然后都是应对的服务公约，绝不捆绑销售，相对消费结构使用加价一次充好，
[56:02.410] 都是公开透明，明码标价，都是41881188的经验。
[56:06.390] 我拿着单子说，
[56:12.510] 谁知
[56:14.210] 谁知
[56:15.890] 形成谁知，
[56:18.800] 你抱怨什么？
[56:20.760] 不能。
[57:37.610] 你要我就买。
[57:40.150] 那边
[57:41.150] 治疗K是什么？治疗怎么样那种SUV？对。
[57:47.010] 他们
[57:51.600] 买
[58:10.870] 压抑
[58:12.160] 出来了可以。
[58:30.770] 师傅
[58:32.560] 大概都是多少钱，因为高压别
[58:39.080] 来吧。
[58:41.890] 他说的东西跟三号
[58:47.800] 第一第一个谁知
[58:50.300] 3点，
[58:52.800] 好，外交这块。
[58:55.130] 营养的其实
[58:56.800] 的
[59:01.700] 谁知
[59:06.190] 基本的。
[59:07.880] 对。
[59:30.620] 这个价格您看一下，咱们这车是499,800，
[59:34.830] 现在用了7万是429,800，
[59:37.600] 38,000多的一个注册，
[59:40.560] 13,800有一个装饰套餐和企业合作起来，一共是
[59:44.580] 13,800里边贴膜脚垫，后备箱两侧全是车，还有行车记录仪，
[59:49.800] 然后2500验车上牌保险会在13,000左右，这边人最后上险种的多少？浮动，
[59:56.690] 全下来以后4.76元置换有一个5000的保险补贴，额外的补贴把监控了。
[60:04.520] 完了，
[60:05.680] 然后分期的话属于18期，每个月这是一个2.49，
[60:10.910] 然后每个月您还一个445环，就是另一天您在十八七一年半之后一个月对一年半之后您在一个系统还尾款，
[60:20.610] 每月就还445。
[60:22.200] 这利息相当于这就是利息。
[60:25.200] 每个月就还400多的利息，就是利息相当于百分
[60:30.000] 这是2.49。
[60:31.720] 82不是一点几，这个是一个每个月我们这一队两年50%的首付，然后每个月您还一个9200，
[60:41.110] 总共您多了7800，两年总共多少？7800的利息？
[60:45.470] 一年合3000多，待了21万多3000多一点多。
[60:49.380] 所以这两种方案选哪个这两种都是选择比较多的，然后或者有二维码的一个服务人员很快，你看
[60:57.170] 下面叫什么一个
[60:59.970] 二维码是什么？
[61:01.420] 就是一个服务工业的反馈，就是咱们没有给您这种收什么服务费手续费收费保养什么的都了。
[61:07.980] 完了每次人花钱1万公里保养一次优惠就没有床板，这个时候没有保养赠送，
[61:13.790] 保养送有点少，看人都有，有的时候想去送就很少，有时候就会送的。
[61:20.110] 但这个意思行行也不错，那是不错，这个是可信可不选内饰。
[61:25.200] 您可以选，咱们也没有啥优惠简单，不希望你放下，可能重点那些
[61:32.640] 没有，因为这个是一个可挣钱的利润在里面不会送，这已经
[61:39.690] 可以不做，所以快快的都有钱，全车贴膜，然后脚垫、后备箱架还有一个行车记录仪，
[61:46.330] 就全车的这一套东西都配了两张卡。
[61:51.680] 现在车没有地点。
[61:54.850] 对，车没有这个店的这边会配那种大包围的脚垫，就把下班扑上来都补齐了，这是常规的时候全车都订不上，太优惠了，这个是可选的，然后车子很多就完了。
[62:08.350] 不是有保养的人买车都得送几年保养，没有像奔驰宝马基本上都没有什么保养得赠送多少。
[62:16.930] 我觉得来看看网上写的送这个季节你们能不能送，保养是固定的，是固定的，就是不同的车型厂家有固定的政策，小宝是多少钱，大概多少钱？1000 1200 1500。
[62:29.520] AB对A座一个B这么循环，
[62:33.480] 奔驰很少有车送保养，
[62:35.740] 为啥有味？
[62:37.340] 用的都是车架，
[62:38.760] 49都答减了78,000，对外都是也
[62:43.280] 71,000不是说大家都是什么一个工程价格都是
[62:49.720] 其实现在也有合适的现车，你要觉得合适，到周末
[62:56.050] 不是可以定下来这个车子。
[62:59.760] 人家还送保养。
[63:03.740] 外包装是肯定没有人送的，这些都是，因为装饰是您可以
[63:09.900] 就不做这个钱可以不挣，但不会说亏钱给他送什么
[63:13.950] 贴膜这些东西。
[63:20.240] 对，是国税统一征收的一个构筑睡着。
[63:24.290] 咱们
[63:25.970] 保险
[63:27.920] 在别的上也可以是吗？保险可以。
[63:32.260] 院申请高兴，填海还没有食欲估的，您
[63:36.780] 如果上全险可能得一万四五全险。
[63:39.680] 敏好的。
[63:45.940] 在不在你这上保险无所谓是吧？对，但是您如果要在咱们店里置换的话，你要不上就有点亏了，因为这个补贴的保险就享受不到了。
[63:55.050] 因为知道补贴是一个5000的保险，
[63:57.450] 所以享受不到了，
[63:59.500] 就办了。
[64:06.120] 而且黑都是黑的，现在你要立标的，
[64:13.230] 贷款的话每个月
[64:14.850] 7000多，
[64:17.630] 首付20万，
[64:20.230] 待20。
[64:21.560] 大夫
[64:22.400] 最大百分十二四，
[64:25.470] 然后月份
[64:27.130] 利率两年是这些，然后每年还是每月交对棉花9000多。
[64:35.080] 对，您看这上有没有什么顾虑吗在这上面？
[64:42.530] 基本上没有送保养，卖车，不同的养鸭，
[64:46.400] 都没有什么赠送保养的，都是
[64:48.880] 因为这个是同一个东西送。
[64:50.500] 我两年保养还有一堆矛盾，转眼圈什么的是吧？
[64:57.340] 因为简洁是检测车价都是
[65:00.550] 单价都是
[65:01.400] 这样一个指导价。
[65:03.210] 一个销售保障后面都是
[65:05.920] 这种关系。
[65:07.320] 分车型的，您要现在买GLC那个车就会送两次保养，分的车型不同，
[65:13.900] 大部分的超标那种C1都没有保养的这种模式。
[65:20.910] 基本上就是这样的是吧？
[65:24.030] 那就是这个情况。
[65:28.270] 你自己再考虑一下。
[65:30.140] 一下，你再想想，然后
[65:33.230] 主要还是纠结颜色。
[65:35.890] 之前哪一块颜色，完了还有
[65:38.900] 贷款觉得贷款是吧？是不是咱结算？
[65:42.640] 颜色您最近可能这几个月都没有其他颜色，如果要是我们定力标的蓝色就可能到年底了是吗？可能没对。
[65:54.110] 完了价格还不保证了，对价格肯定是不能定的，可能就是新款，如果要那样的话，肯定是现在定的话不是现在生产的，是这意思吗？
[66:03.480] 对您现在定现在不会因为生产的计划已经都排好了，
[66:06.640] 不会突然说有个订单就加一个订单就在单独去生产，都是已经按计划段
[66:12.330] 安排好颜色了
[66:14.130] 了。
[66:15.020] 其实现在基本上10月份之前的生产计划基本上都定好了，
[66:20.820] 所以您最快可能10月份会拿到就是您想要颜色的车，但是价格肯定会有变化。
[66:26.850] 价格
[66:29.440] 你今天最辛苦，新版价格现在票价现在没有出来了，包括优惠肯定要比现在要少，
[66:36.960] 因为现在的优惠是算最多的一个阶段，因为这周再卖一个月就没有了，概念里面时
[66:42.670] 月份最便宜的有没有？
[66:44.860] 可能您是选了其他品牌，有可能会是因为分成的话，是因为奔走每年这会儿要改款，
[66:52.130] 下了，所以他就会有新款推出，也不是因为奔驰基本上大家都完成得很好，像每个月我们都是完成120的业绩，
[67:01.910] 所以说像年底也不会出现什么冲业绩什么的，因为那时候大家基本上
[67:08.330] 完成120，基本上
[67:10.190] 最后一两个月就适度地完成了去年的业务了
[67:14.870] 了。
[67:16.070] 而且其实根据时间来算，您要选9月份再来买的话，肯定那会来说，
[67:22.530] 我就该往后的程序现在又贵，
[67:25.560] 因为有一个变化肯定就不会白辩，他肯定得有点区别在里面。
[67:31.080] 但是怎么连朋友都没说。
[67:34.420] 保养保险是小钱，保养
[67:37.840] 送个保养，送了一个包养，你感觉这车也没什么。
[67:42.210] 他们还有
[67:45.480] 347年的那部还我不会说说10万，然后是
[67:50.670] 昨天晚上特地谁知哪个地方的店它的
[67:54.960] 目的不一样吗？力度应该有区别。
[67:57.520] 比如送会有区别的，好像区别差一两千很正常。
[68:01.560] 差一两千块钱也就是
[68:03.320] 有可能我比他们便宜2000，有可能他比较贵一两千都有可能。
[68:08.510] 我们再想想，然后一个是颜色的合同，
[68:13.520] 这是贷款，
[68:15.200] 古代
[68:16.940] 颜色发黑
[68:18.660] 的，我们也不用着急，什么凡是有现车吗？对，开车有现车就看别人享受什么时候提着车，对。
[68:27.180] 能不能决定要这个黑色还是蓝色的？
[68:32.960] 蓝色我还是坚持要的孩子。
[68:35.680] 蓝色像我们店一是在北京最深你要说住附近的话，然后也很方便办手续什么都方便，而且我们没有说北京应该都找不到你，
[68:45.940] 因为大家不敢他好多小店都不敢进
[68:49.500] 非黑色的车，因为没有人买它，
[68:51.690] 他本来卖的就少，
[68:53.880] 所以
[68:55.310] 不敢进别的电灯，见状就砸手里了。
[69:00.520] 我们现在来说还是多点，但是也没有生产非黑色的，因为不好卖。
[69:07.650] 颜色。
[69:09.230] 我们楼下还停了一个那样的车，也是立标也是颜色，可能就碰上了，赶上生产这么一个
[69:15.970] 有可能就一直卖不出去的邻居也买去了，这有可能这样。
[69:21.240] 就是飞得太朦胧的颜色。
[69:25.940] 灰色的考虑吗？灰色的
[69:28.590] 也不好，就觉得颜色还行。
[69:32.520] 只能订229,800行。
[69:35.950] 走廊再订再等那什么样。
[69:44.320] 置换的话你
[69:45.840] 然后是也行，手机是怎么的，手机您把直播开过来，我们给您评估，然后直接就给您处理旧车了，就不用您那什么了。
[69:55.430] 那部手机什么的我们给你买的，你如果在我们这置换就我们给您办这些手续，那受
[70:01.570] 收费吗？
[70:02.660] 咱不收费，客户的服务费不用您。
[70:05.970] 不费您都不用负责。
[70:07.940] 这些都不用了，对。
[70:11.030] 我把车开过来。
[70:12.720] 就OK了，剩下的甩开了干啥什么卵过户什么那些跑那些什么户口，就新车就弄个临牌前开走了。
[70:20.390] 把这个牌子换回来之后，
[70:23.480] 然后就在建新做的。
[70:29.870] 你要是买的话一个多星期
[70:33.400] 基本上都了，
[70:36.490] 就这么快乐，自己孩子都
[70:41.830] 不就一个星期，基本上过两三天就可以提车了，把淋巴先开走了。
[70:47.040] 过户的话，一个世界的客户的客户应该可能一两周会跟您约这个，她会过着户，过完户之后还得再找差不多一周，那指标在网上就会更新出来，
[70:57.800] 出了这个指标之后去验新车，
[71:01.270] 它整体下来可能得半个月差不多。
[71:04.190] 就到验车这不有可能得半个月时间。
[71:07.520] 怎么着？
[71:09.320] 反正黑色你要觉得合适也就只能选黑色。
[71:12.990] 12点，因为现在月底的话也是走过完成任务，也可以多申请一点，就看您的时间减少，下月还是想飞越很快就几天。
[71:22.850] 下个月的话就是下月咱们再
[71:26.280] 您的购车时间了。
[71:29.010] 这主要看您的购车时间。
[71:31.300] 因为9月份基本上就都是改善后了，
[71:35.400] 因为8月份的产品没了。
[71:37.560] 再申请还能申请点优惠吗？
[71:40.950] 你要能定出能申请申请，主要是看您的购车时间，首先就肯定您的颜色的时候
[71:47.020] 的话，你们会保险还是价格上优惠，可以申请多少还送，
[71:53.020] 完了这些都可以给他申请，首先您车去那
[71:56.430] 挺不挺好的。
[71:58.350] 明白了，您那边看您要不要黑色的，月薪也只有黑色的。
[72:02.720] 全部交这车也就只有黑的里面。
[72:06.730] 您看黑色满不满意颜色？
[72:10.140] 因为您还选的是利标，基本上什么都是要黑的了。
[72:16.230] 肯定要立表示。
[72:17.790] 为啥不叫运动？
[72:20.290] 错过。
[72:21.960] 运动款现在有白的有黑的现车，然后后边8月份会来一个蓝宝石蓝，
[72:28.520] 8月份回到一个宝石蓝运动版，
[72:30.860] 馒头
[72:33.680] 未来的报告，
[72:34.780] 我们就选择
[72:40.200] 没有诚意，咱们
[72:43.870] 你说还都是黑的。
[72:48.150] 没有任何
[72:49.600] 这不是看力量参与，我就看看就为了等你这么长时间，然后你来了你也不花点。
[73:01.240] 反正您选肯定想选立标吗？
[73:04.380] 地标的和这款不就行吗？
[73:11.710] 那算了我
[73:13.570] 你俩都是
[73:15.520] 你俩都没有都是一样。
[73:18.090] 反正我这车跟我也没法说，你哪没有了。
[73:23.880] 绿标不是没有蓝色颜色选的能多一点，这边只有黑色的应该一些。
[73:33.890] 往里面都一样，飞镖
[73:36.790] 里面都一样，外观不一样，里面也不一样，这款豪华的事，
[73:42.670] 这是皮座椅不是皮座椅这个是吧？
[73:46.370] 这不做已经不错了。
[73:50.050] 年
[73:51.310] 反正差的谁知
[73:57.130] 立标的事多了，抬头显示跟AMD龙骨，
[74:01.350] 然后不是比例标多点，
[74:04.010] 因为他这是黑的AMD，中国，
[74:06.820] 然后立标多的是最通风跟真皮座椅，
[74:14.050] 说到这点了，
[74:15.600] 上面写着高，你别那种苍苍，最后
[74:21.580] 也不是我拍的，不是
[74:24.380] 肯定要。
[74:27.480] 太
[74:29.440] 为了让你更像专职司机，
[74:32.660] 然后看
[74:34.960] 行咱就行，只能让那边这过程只能还有，我觉得短期都没有吗？
[74:44.580] 这谈的那些差不多，然后才能给申请点优惠，对，就多少优惠几千块钱。
[74:51.700] 几千块钱。
[74:55.690] 如果因为您选妃黑色您选，
[75:04.370] 您在路上很少能
[75:06.540] 几率特别低。
[75:09.080] 要拍的这座连着
[75:12.450] 的。
[75:14.000] 那行咱就定，那就办完了吃饭我们商量一下，要是硬的话下午再来找，行，我们这有客户三教咱们，这我给您发三箭可以的，咱们这儿63谁知
[75:28.650] 27正好小孩也方便，现在
[75:32.490] 我站着。
[75:34.470] 是心理服务，因为这些方面您可以吃饭考虑一下，因为
[75:39.960] 也反正是临近这边上课，三我给你
[75:43.690] 这里发个圈就
[75:47.060] 其实我们不在这吃了，然后他商量一下，行，您上周末有个活动可以多吃一点优惠在里边，而且
[75:55.510] 您是住附近的元还不一样，平常跟经过了，因为一般我们的进度上都是周末订车，然后周一到周五来也不是坐交车，因为周一到周五的客户就很少都是
[76:07.310] 都是赶着周末，然后
[76:09.080] 像现在您这也是周末定完之后，您也是下周工作日来做教科的手机，就是交车还得
[76:14.750] 得差不多三个小时时间。
[76:16.840] 所以平常的客户很少。
[76:18.960] 明白了。
[76:19.840] 行，我们吃个饭商量一下。
[76:23.100] 需要颜色还是怎么着？
[76:28.290] 颜色等等，然后明天会给您打回访电话，您看上午下午方便时间，
[76:33.890] 都方便好好后续联系电话短信微信也都放在那里。
[76:43.790] 在里面。
[76:46.930] 行，您车型院里了是吧？
[76:50.400] 然后您车停院里了，赶紧点击停车架扫一停车。
[76:55.470] 手机能扫到车站，
[76:59.610] 一会咱在咱们
[77:01.930] 电话随时联系来了，您上面要有什么问题，就是咱们电话
[77:07.120] 沟通，然后你要说觉得黑色立标这个可以的话，有人会吃饭他过来
[77:12.110] 直接就黑色绿标的了，越紧的研究人类的基本都是黑色的。
[77:20.510] 谁知
[77:22.760] 微信扫一下。
[77:27.170] 这个词。
[77:28.320] 你微信扫的过来，什么叫为什么你为啥有名呢？
[77:35.510] 下山，然后登录，
[77:39.010] 直接等等。
[77:41.940] 本来就等着搬走了，连得新款做完了之后，你都全程你在干什么你尽了，
[77:48.670] 回头我再跟你解释。
[77:50.540] 听说您可以选择黑色的外观，选择棕色内饰这么搭配起来，
[77:55.980] 然后上那款吗？黑色的那种，黑色只能是棕色的那种。
[78:02.710] 然后什么叫
[78:04.500] 18号。
[78:06.610] 这么大。
[78:11.790] 都辛苦了。
[78:12.880] 没有超过会怎么样，要用了几个辛苦，决定现在很多半天，而且着灯可能实际上效果没准要是不喜欢，
[78:24.410] 没有办法。
[78:25.840] 反正快又快没有太大区别，只是外观谁知
[78:32.650] 这就可以了，因为您吃饭您可以在网上搜一下就新的效果，因为就跟刚才我给您搜的是一样，因为在看那个效果，因为
[78:41.090] 因为现在的实车就能看到实际效果到那回来了，那种效果实际的效果也许就不喜欢那个了，但是那会要再买返回来买买不着了一个想法
[78:50.320] 了，对，因为区别并不是特别的都卖了，没有什么，因为8月份就铲一脚就不产了，
[78:55.790] 他就怕大家会这个车，所以产能就会少投下个月。
[79:00.280] 行没关系，没事打电话一会再给我你给我打电话，好了改革就慢点快点。
[79:33.440] 走了。
[79:37.840] 那什么好吧？
[79:40.040] 好好拜拜。
[79:53.360] 的
[80:21.470] 我忘了。
[80:23.190] 然后走了，他不想要黑的，没有黑的。
[80:27.700] 第三版，
[80:29.930] 他只有黑的给他
[80:33.460] 去吃饭的，随着
[80:35.320] 你别吃了，待会都没人接客户了。
[80:39.790] 你丫玩一下，
[80:42.200] 准备呼号。
[80:44.760] 商业银行
[80:51.840] 你说二
[80:53.060] 3
[80:55.400] 等。
[81:01.720] 话
[81:04.480] 的
[81:14.710] 他们家开的几点，
[81:25.450] 黄子平。
[81:28.730] 黄子洁红子杰。
[81:32.120] 专业。
[81:34.750] 是毛主席能收到吗？皇子协调。
[81:43.820] 的
[81:56.020] 你那是假开的，几点怎么从11:00~12:00全都被占上了？
[82:10.600] 你是53结束还是53开始？
[82:26.060] 不是我吃完了。
[82:27.650] 我不是说
[82:30.760] 黄紫棋。
[82:35.550] 你这开始跟结束时间是几点，现在我都没做OT你都把时间全占上了，
[82:53.110] 前面打不开，前面从10点多开始就打不开了。
[83:05.150] 张局长能查吗？时间。
[83:07.660] 嫁谁几点？
[83:10.080] 你现在开吗？我现在没开了，干什么的？
[83:14.400] 1960
[83:16.430] 这点都开不开是假
[83:20.900] 问题。
[83:22.290] 我前面就黄芪，我说我后边黄色旗，但现在开不开了，后边要回到前面，你在前面放后面对。
[83:29.740] 弄咋弄？
[83:32.800] 妈逼我操开不开这个睡觉了，结果
[83:39.680] 教授
[83:43.440] 这边
[83:45.880] 销售的时候了，你说这你客户
[83:48.960] 现在药房销售的时候，
[83:51.510] 我前面了，
[83:53.920] 前天的客户就不找你了，
[83:56.790] 怎么对张军洛带的
[84:02.520] 等会我还没结这个就那女的，我以为这女人定。
[84:07.750] 是那女的女士的。
[84:13.890] 我就以为这女的了
[84:17.120] 的。
[84:18.510] 这里
[84:23.190] 干嘛
[84:28.350] 好
[84:40.840] 动
[84:44.600] 没有一丁点。
[85:03.030] 不让吃饭，
[85:04.440] 完了去走走
[85:10.050] 了。
[85:13.770] 要还有4个大够不够？
[85:23.070] 都没了，先送货再说行不行？到时我再给你改评价。
[85:33.010] 商业带傻逼的女的有多少钱
[85:41.180] 就给他抵价了是吧？
[85:44.200] 这边来了。
[85:48.840] 他说要找你吗？
[85:50.860] 谁知
[85:53.080] 你别的吗？要不要？
[85:57.280] 我看他来了，因为我在前台，然后这边招一女这沟客户，我一看就是他们那怎么
[86:03.750] 你知道
[86:04.830] 我发一个给你，我还在这了，放回来。
[86:09.170] 把电视给你，完了我注册一下。
[86:13.280] 明天没了我能发，但是我发给谁？
[86:16.730] 你有没有发给
[86:22.550] 数据
[86:27.010] 去。
[86:30.120] 我发给你。
[86:31.520] 15815810301039095700。
[86:37.450] 其实你不用你直接去了以后给那谁，
[86:41.470] 给那大姐出他的电话号码就行
[86:44.480] 了，我还得截屏给你发过去，你别说他交了，他直接就拿走了，你死亡
[86:49.950] 还得让你截屏为我着急，我拍的不是截屏不管用，
[86:54.510] 你截屏完了以后你还得让截屏，还得让他拍相片，你直接发给他就行了，A组这个没事能直接发出来了，现在你有没有拍到你那个不能用吗？
[87:04.430] 你扫描不了，你必须去客舱那边才能找到那个
[87:08.040] 二维码，对我拍下来拿早发的照片不行，咱们员工区扫描不了。
[87:14.430] 是我去那边开口了。
[87:16.470] 吃那个餐是吗？
[87:20.190] 我明白你的意思。
[87:21.740] 我这是正经的，你们说一下，你看看前面。
[87:26.870] 这根本没关系了已经。
[87:29.000] 当经过了一下，
[87:38.790] 谁知
[87:40.750] 三
[87:41.610] 20号了。
[87:42.930] 新加坡。
[87:43.790] 10月10月18。
[87:46.510] 84928。
[87:49.610] 早晚会把这卡捷。
[87:52.000] 对，当天一会来了别装进来。
[87:55.190] 明天说了。
[87:56.690] 没事，张军。
[88:01.800] 给你开吗？着急问你。
[88:08.400] 能把你自己安排你说好，
[88:17.290] 我没在食堂，我在前厅及客户
[88:22.120] 安排
[88:24.250] 说我说给你你没给我。
[88:30.290] 你不是让我上班这不张军那个吗？
[88:33.260] 不是吧，那张了有些他是我和然后我就放心了，不行。
[88:40.970] 说是吧？你查查是不是我说我告诉你是吧？张俊杰。
[88:50.030] 女人刚小不点。
[88:52.380] 多。
[88:55.040] 人生真的从来没感觉，上初中都不觉我小孩。
[89:00.670] 谢谢麻烦你。
[89:03.010] 为什么不让吃饭了？不想了。
[89:07.180] 宝贝一样，
[89:09.690] 早上吃了一条，
[89:23.840] 我发现徐总一给发红包咱就定，
[89:28.160] 总结跟没发红包，
[89:30.430] 昨天没发红包你看见不少了10个订单，
[89:35.720] 竹山那个地方并不似
[89:38.260] 一人中4个，
[89:39.980] 昨天两前天240。
[89:46.450] 电话
[89:48.710] 那边
[89:52.860] 的。
[89:54.160] 反正打了
[89:59.070] 了。
[90:00.120] 大学还有两
[90:15.320] 没有机巧，
[90:16.880] 没有动，
[90:21.240] 街道等会儿。
[90:23.650] 那个姑娘等着。
[91:05.320] 一
[91:06.380] 总是一样，
[91:14.310] 我就不打电话了。
