[00:03.430] 行。
[56:38.910] 我有多少钱我就全花，因为钱这个东西
[56:42.080] 是不可你要分开是可再生的，
[56:45.970] 你一笔刷它就不可能再生了。
[56:48.760] 对，钱这东西就是你越去
[56:51.420] 操作它，越去操作它越灵活。
[56:54.310] 你说我一下这车是50多万，我就刷50多万，
[56:57.920] 它就会变成一张发票。
[56:59.740] 如果你不把他说说我去拿去抵押也好，是干嘛也好，它就没有价值，
[57:05.230] 对吧？
[57:06.140] 它不能伴随您以后的
[57:08.510] 需要的话再去产生更多的价值，你分期就不一样了，你只交了车的一部分。
[57:14.120] 另外那一部分的话你手里边比较灵活，你可以操作它。
[57:18.000] 比如说碰见好的产品，
[57:19.990] 我就拿出这钱我就钱生钱对。
[57:23.490] 然后好在就是说现在目前的话，它贴息也好，免手续费也好，
[57:29.000] 很低，是比较考虑入手的最佳时间。
[57:33.210] 好多客户以前买这车贷款，
[57:36.150] 奔驰收4个点手续费，
[57:38.040] 利率基本上都在3.94.99，
[57:40.770] 他也做了这说明，这种它是有需求的，现在碰见更低的这种，我觉得您可以考虑这事。
[57:47.140] 怎么最近的活动还是持续多长时间呢？
[57:50.400] 哪个你说现在利率吗？
[57:54.340] 包括利率手续费什么？
[57:57.430] 减免是从去年的
[58:01.830] 去年的6月份，
[58:05.470] 你知道有一个奔驰女在闹事的，对，从以后的话它是开始肃清市场。
[58:13.300] 他就是贷款买的吗？他的手续费是单独交给店里边的销售的，是不是销售员二维码？
[58:21.680] 马说您这手续费交给我，没有给他开发票，
[58:24.850] 对吧？然后大家就开始注意
[58:27.660] 手续费到底是一笔什么费用，这个费用的话呢
[58:30.900] 是你给我做了什么还是什么，这一笔说不清的费用，
[58:35.170] 不安全感也来自于这个的。
[58:37.140] 这是吧？
[58:38.200] 不太清楚对不对？
[58:40.320] 因为
[58:41.130] 因为其实除了奔驰以外的所有品牌，这园区里边还有其他的都收手续费。
[58:46.030] 对，从我开始卖车就收车费，这笔钱也
[58:49.010] 就是说不说不清，反正就是说你到哪问都是收，所以说成了一个不成文的规定了。
[58:54.890] 你做分期就有手续费，
[58:56.360] 但是奔驰比较注意这个事儿和后续影响，
[58:59.670] 想做品牌公关要树立好的形象，
[59:03.020] 这笔钱就不收了，你知道这一年店里边光收手续费一年收好几千万，
[59:08.950] 现在这钱也就真是不收了，
[59:12.700] 而且她是能做到所有品牌，所有奔驰品牌都不收了。
[59:19.200] 现在确实合适。
[59:22.310] 他4995当时是说400多，每个月还是怎么算出来的？
[59:27.140] 它是一个公式，
[59:28.680] 它这个是一个计算器，
[59:30.840] 他把利息平均在24个月了是吗？他把都平均在月宫里了，也就是你本金是两头互骂，
[59:37.160] 然后中间只还利息，
[59:40.560] 比如说像您这款车，
[59:43.100] 一三百的书想4998，
[59:46.750] 优惠77,000的话是422,800，
[59:55.090] 这是你的开票价。
[59:57.400] 就用它这种尾款的方案，
[59:59.650] 50%首付一半一半也就422,800，你交一份叫211,400，
[60:05.440] 待211,400，
[60:07.270] 两年以后把211,400一块一次性还掉，
[60:10.920] 每个月的月供是438，
[60:16.270] 438×24，
[60:19.080] 也就是你中间这个过程中还的利息是10,512 1万块钱，
[60:25.150] 1万块钱除以您的贷款额211,400再除以二就是您的年化利率
[60:31.830] 0.0248，
[60:33.680] 非常低。
[60:41.030] 现在不是都有那种什么民间放贷什么的。
[60:45.320] 说实话说实在比如说我是本身就坐着明年房贷，我要买这个车的话，
[60:49.810] 我拿着20万，
[60:51.440] 我放出去我能拿回多少钱了，太多了。
[60:55.380] 这点利息那本金得收回来，你才能拿到这利息。
[60:59.240] 现在放贷的意思，您说的风给你，我以后不用还本金，我放出去我钱都收不回来了。
[61:07.060] 肯定对可能太夸张了。
[61:10.630] 就有一些这种
[61:12.280] 这种保本理财的产品，
[61:15.350] 都可以控制五
[61:17.000] 三左右三3都是高的，
[61:19.120] 三都是高的了，三的话211,400×
[61:23.540] 0.03，
[61:25.170] 一年的话您能拿6300
[61:27.790] ×2的话，
[61:29.740] 12,000。
[61:31.320] 不亏，但是不亏的中间的话，您又对抗了人民币贬值，
[61:36.920] 对吧？因为这个东西货币通货膨胀事就发生在咱们身边的，
[61:43.040] 这个东西察觉不到。
[61:44.640] 对，但是你不知不觉间你今年的20多万
[61:48.220] 和你两年以后的20多万他是不成正比的。
[61:51.320] 对这个东西大家
[61:52.870] 其实通货膨胀都不止这点钱。
[61:55.270] 对。
[61:56.190] 只是咱们要不要算这么细？
[61:59.200] 对，像您说的是的，我这钱我
[62:01.540] 我不想太麻烦了，算那么细。
[62:03.860] 但钱这东西他不就这样，
[62:06.300] 你做成这种形式它才变得有意思，要不然他就是
[62:10.320] 它这里面应该前面不会。
[62:13.740] 他的背景就是奔驰，
[62:17.160] 奔驰的做的金融。
[62:19.670] 所以就看你的报价了，我们再决定东西传播，我现在报高了，对你一定够早点，要不然夏艳调查完了，查完系统与报价现在是2万。
[62:30.730] 2万。
[62:32.410] 你网上多点。
[62:34.200] 你多我就得单申请去了，我出新车谈不下来了，你那我得想办法我得申请，因为我们是按系统的报完，
[62:42.520] 目的为了卖新车，如果实在不行我这边给他补贴，咱就内部商量了，但是谁对申请
[62:48.740] 刚才不是说往3万场凑，加上那个行业，现在您的市场拿不行，知名的市场目前
[62:56.170] 什么情况你
[62:57.740] 照弄，只要按这个行为我的东西拿不回来了，告诉
[63:02.280] 您这明显就是要替我们申请的意思吗？
[63:05.440] 可以，您我们为了卖新车，
[63:07.460] 但凡您提出数据我都可以，我们两是两个部门，他有他自己的那本账，
[63:13.360] 我这儿是新车的话，也得符合这新车的销售，
[63:16.910] 但是都是为了最终能达成这一单，对吧？两头模式。
[63:22.200] 你给问问，
[63:24.640] 我不知道现在我得让市场去和去市场和这两件市场最高到底这车能到什么价位，因为我们系统也跟市场去核，
[63:32.490] 喝完以后它是因为它有一个市场交易了，
[63:35.400] 有的车好卖就是容易交易，说他价格分数越往高点，有车不好卖，交易不好的话价格可能
[63:42.560] 又不会很大不动了。
[63:44.200] 因为我们的原则是不就车不能不挣钱无所谓，但是别赔钱就行，所以说能申请我们尽可能
[63:51.350] 或者说
[63:52.530] 内部王河政策底跳一年，内部我们的三倍路障的没事，后面那车着车了，
[64:00.400] 你就申请一下行。
[64:02.480] 怎么跟淘宝你给问问谁，问问胡东有对。
[64:07.070] 我去吗？
[64:08.100] 走吧，你跟我一块去力度大，谁知待会我看我的时候再说，我先把这正事弄完好。
[64:23.950] 刚才它发生
[64:28.210] 放多少钱？
[64:29.970] 做环保。
[65:47.190] 就是说的72,000加上3
[65:49.670] 3000是优惠的，然后
[65:51.760] 8万。
[65:52.420] 验不验车就单车咱再说，
[65:55.760] 那就变成七八77,000。
[65:58.120] 他包括770是因为在没谈之前因为
[66:03.030] 什么颜色的？
[66:04.630] 将的钱。
[66:07.440] 我一打电话过来是
[66:09.720] 给降了点。
[66:10.600] 对。
[66:11.510] 就这样，谁知
[66:14.320] 对出啥关系？
[66:16.730] 我没提到过眼。
[66:18.610] 对我来说实际上车是这样，
[66:21.230] 当时不是说起了，
[66:22.780] 当时没说要黑色，
[66:24.930] 是第二次。
[66:26.920] 当时是说要通过那一次，
[66:30.170] 然后跟他打
[66:31.350] 过来说可以给计算机
[66:33.590] 还差2000。
[66:34.810] 然后你说在你家里去，我
[66:36.720] 的不行，我电视上来了，他说那2000块
[66:40.360] 联系你车，
[66:44.130] 现在就相当于
[66:46.060] 我看看现在相当于
[66:48.790] 相互和一样，其中
[66:50.550] 这个man是综合类，剩下的
[66:56.010] 再加一个S
[66:57.560] 还得价格。
[67:12.790] 刚才咱们要的
[67:13.620] 棕色内饰没便宜，然后不给咱们生产5000块钱到8万。
[67:18.880] 75,000是他
[67:20.740] 他一开始说的，然后咱们就坐车。
[67:24.160] 她在车
[67:25.620] 坐车的时候打。
[67:28.550] 因为没谈。
[67:29.610] 黑色没事。
[67:31.890] 车上然后再打电话说
[67:33.880] 再给你讲3000。
[67:35.220] 你看还比如说或者是方案，然后再给你讲3800到不了跟前。
[67:39.540] 对，还差2000，这是100万还是？
[67:42.340] 然后我要黑色那是这两天就很多。
[67:46.010] 然后第二天我来的时候，
[67:47.810] 他跟我说
[67:48.800] 还没说没事。
[67:50.270] 我来的时候跟你说，
[67:51.520] 虽然还差2000，
[67:52.780] 但是
[67:58.550] 现在我在选公司。
[68:00.290] 在家没事。
[68:13.320] 要吗？
[68:14.850] 可能
[68:17.390] 是不想要，但是
[68:23.050] 核心
[68:26.950] 其实主要是
[68:27.810] 第三在这里
[68:39.790] 这比较难，
[68:42.080] 最多也就是他
[68:44.170] 9车道2码事。
[68:48.100] 既然能够
[68:49.210] 把他脚下不佳做出来两个
[68:51.790] 不下来的，
[68:57.270] 也不说就了。
[68:58.770] 中风了，这边可能不一样。
[69:02.010] 听说
[69:03.800] 后付费的
[69:05.270] 形成标准一点，
[69:08.280] 要把注册工作经常坐在一块，你觉得你给我一个总价高，然后
[69:28.330] 要不然再去
[69:48.350] 色。
[70:12.040] 的
[70:21.970] 小。
[70:26.130] 25,000。
[70:30.140] 我问了一下他们那儿和经理这车的话，他再给2000块钱的支持，
[70:34.980] 也就是22,000，
[70:41.090] 也就是22,000，
[70:42.400] 然后这边补贴是5000，
[70:52.480] 没达到。
[70:54.510] 我说明我们把我们能做的，或者说我们应该做的负起这个责任来，我们就确实能给您争取到。
[71:03.380] 再多就真的没有了，因为他后面还有客户相应的费用什么的，因为都不需要您承担，
[71:09.520] 都是这边自己承担的。
[71:12.340] 服务费还得有个千八百块钱。
[71:17.670] 三
[71:21.190] 如果刚才咱们谈新车价换成棕色，
[71:25.090] 换成棕色，那是因为
[71:27.670] 整个车日期也都一样，
[71:29.720] 也都是
[71:30.920] 办成综合类是他没有多的那2000，
[71:34.680] 可以把验车送给您没问题，也就是说75,000送电车2000不是因为有像4月的
[71:40.560] 将的。
[71:42.320] 他是因为你看我们价格政策卖不，
[71:46.630] 你看我们价格政策它是怎么写的？
[72:20.270] 所有的关于E的政策里边都没有提到多优惠这个事儿，
[72:25.990] 只有您看到这款4998的
[72:28.680] 立标的这款
[72:30.880] 立标的书想499,800，
[72:34.110] 他写着黑色内饰多优惠2000块钱，
[72:37.800] 我们销售顾问的权限是73,000，
[72:41.130] 对销售顾问的权限73,000，经理的权限是75,000，
[72:45.620] 比如说75,000的基础上，再加上这20,177,000，但是他前提的话是
[72:50.620] 黑色内饰做优惠，
[72:52.530] 因为从黑色内饰本身来讲，就比棕色内饰
[72:55.980] 要不好卖，一开始我就跟您说过，
[72:58.570] 选棕色内饰的客户还是占大多数的，
[73:02.650] 对于店里边考虑的来讲，你卖黑色内饰是有销售难度的。
[73:08.510] 咱们之前录，因为我这人说话也实在，
[73:12.520] 店里边是什么情况，就是把这个情况
[73:14.970] 咱们也都那么多次，然后我们最后的底线其实就是这样，你8万块钱给我们增色就完了。
[73:21.870] 不可能真的不可能。
[73:27.070] 他没有这个行情，
[73:31.300] 包括给您送的验车，
[73:33.890] 都是基于您选了黑，那是我就真的这么
[73:38.000] 你选了一个我们相对来说不太好销售的内饰，
[73:42.170] 所以才有了一些后备一些便利的条件，比如说多优惠2000，比如说经理算了把验车给您，
[73:50.150] 都是因为您这块的话一个选择才有了后边的这些变化。
[73:57.460] 帮你申请。
[73:59.970] 不是我不给您申请。
[74:01.840] 您可以看到这个车的棕色内饰的价格，
[74:09.770] 红色那是那边那样子似的。
[74:12.960] 咖啡棕。
[74:16.040] 那个就不是初晓得，那是300的最低配，事实上的
[74:24.080] 我觉得
[74:25.410] 二手车也好，新车这边也好，我觉得都挺给力的。
[74:28.530] 真的。
[74:29.350] 他们二手车向来都不怎么让这样价格，他们都是对于我们来讲，因为
[74:36.020] 他们是二手车吗，他们都是
[74:38.690] 合适了才收，他很少说这车我评价收，或者说我亏钱时候不会那样，对。
[74:44.430] 他一定老是都是他们都赚够了才收了，
[74:47.440] 我觉得他们这块也给了一定的支持。
[74:51.680] 促进新车的一个
[74:54.450] 跨部门合作相当于是。
[74:59.150] 我一直也没看着那个
[75:01.490] 就舒享版的黑色，那是真车是什么样的？
[75:05.600] 咱们那天试驾车你不是看见了吗？
[75:08.240] 从外面看，因为没有开门，
[75:10.580] 可以打开。
[75:11.770] 我可以给您拿钥匙打开，咱们确认一下。
[75:14.940] 到时不行。
[75:25.040] 等会儿我怕那台车自己教室就是4月份那天不是卖了，
[75:29.970] 卖了的话那车应该是调过来了。
[75:34.790] 我可以直接带您看看4月份车人家定完的车。
[76:19.600] 哥你帮我查一个车架号，523656，
[76:24.960] 你帮我看着车在哪？
[76:27.590] 你上午开幕这俩车
[76:30.470] 去送准备车间去了，
[76:33.270] 跟她说三年以后回复。
[76:37.110] 到现在没回来了。
[76:38.860] 好了，一会我从那路过的时候我跟他们说一声，
[76:43.050] 523656是不是在
[76:45.960] 下了订单好勒，我过去看一下拜拜
[76:49.320] 了。
[77:05.750] 带您看一下这边。
[77:07.420] 一下实车。
[77:08.840] 因为那个是26秒。
[77:11.400] 带您看一下配置的车不？
[78:10.030] 收到。
[78:15.350] 客户怎么称呼？
[78:23.270] 我现在在新
[78:25.290] 在储运这边让客户在水坐一会儿，喝点水，我们自己转一下，然后过去找客户。
[79:10.510] 这平板是吧？
[80:20.440] 太好了，我在后边带客户看车，在车库防着。
[80:27.760] 好了，我看后边库房客户看车，
[80:31.060] 你说我先自己转一下，
[80:32.790] 然后拿不了水货。
[80:35.880] 稍等我拿钥匙。
[80:42.330] 来吧哥。
[80:47.900] 有进京的A是你的事，
[80:52.820] 仅听为不说让你整吗？
[80:57.240] 紧盯的。
[80:58.190] A1没用没什么别的。
[80:59.800] 不说。
[81:00.910] 没跟你说。
[81:02.710] 对我这只有一个说让我整个前天。
[81:06.150] 千先用前面。
[81:07.500] 说。
[81:08.400] 坏。
[81:14.880] 2000。
[81:15.990] 13 5 08年的。
[81:22.480] 这是谁？
[81:25.070] 0。
[81:27.930] 等会儿。
[81:38.770] 我们这是一哭，
[81:43.290] 这应该是让你弄，
[81:46.050] 让客户等
[81:49.030] 我跟你说一声。
[81:51.950] 了。
[81:53.710] 说。
[81:54.740] 给。
[82:02.010] 场。
[82:21.580] 180是通知你是吧？听听。
[82:26.300] 来吧。
[82:27.930] 拜拜。
[83:53.030] 来不给。
[83:55.760] 一会儿您说一声，我早上过去。
[83:59.460] 这没有你知道这两个。
[84:01.470] 我你把车告诉你，回来说告诉你开过你都没告诉我吗？
[84:07.400] 是我的问题。
[84:09.000] 你告诉你。
[84:12.870] 可以方便拿笔记一下。
[84:14.740] 你说了。
[84:20.790] 着。
[84:21.910] 不是你们这都吃什么了，你身上这味怎么都
[84:29.700] 锚了似的。
[84:31.740] 6556709。
[84:35.210] 这是一个。
[84:37.460] 掉只要C
[84:40.170] 两
[84:42.330] 还有一个是
[84:48.310] 548642，
[84:50.430] 548642。
[85:15.790] 它这是交了定金，然后你就从库里给他调到这段。
[85:19.440] 然后他
[85:21.920] 我今天交订金，明天调到这，明天可以开走。
[85:25.640] 您是分期还是全款还款？
[85:29.040] 还是砖块？
[85:31.290] 存款明天
[85:34.430] 我看这车的意思你还得整理一阵子，
[85:37.040] 在这整理一下
[85:38.790] 咱们的时间，
[85:42.280] 如果是您交了定金，我今天把它调回来。
[85:45.760] 我那天晚上
[85:47.520] 天中午明天。
[85:50.130] 什么号那天？
[85:53.080] 天下午。
[85:55.560] 明天上午。
[85:57.590] 如果不敢的话，后天上午是最完美的，就周二的上午
[86:02.050] 是最完美。
[86:03.230] 下午明天要是
[86:05.170] 最后的话那就明天下午了。
[86:10.910] 那么这个是
[86:35.320] 这又是一个违约的，
[86:37.880] 当然得给我发微信，所以说
[86:40.830] 我得看看你
[86:42.420] 弄完了他那个月号改到
[86:46.100] 改到3:30了，现在是2:30。
[86:52.220] 前两天他姐姐在那买台车，然后
[86:54.640] 有他卖给我的电话。
[87:13.850] 明显。
[87:15.350] 然后我想您自己
[87:19.770] 平安人保，
[87:21.640] 他非常
[87:23.570] 我把给她送回去，然后咱们过去还得上二楼，因为这一楼老是工位老人，
[87:29.340] 明天
[87:40.170] 给
[87:49.650] 数据
[87:51.510] 场
[87:52.640] 了。
[87:54.900] 差不多了。
[87:57.690] 改为
[88:02.860] 远，
[88:09.220] 这句话说都一样，说着你妈来了，
[88:13.730] 负责来看。
[88:16.880] 手超哥帮我带妈妈了。
[88:23.810] 超高超哥在吗？王超没。啥？
[88:30.730] 数据。
[89:00.200] 号
[89:03.330] 活动。
[89:06.100] 我这来以后你能帮我带一下吗？
[89:12.070] 咱们在哪碰一下，我在和平生产着
[89:17.190] 好了。
[89:42.330] 市场销售。
[89:43.380] 您等会您登记好吧？
[89:45.280] 没有现在火爆吗？不。
[89:50.730] 是吧？
[89:53.560] 10点多少您在哪呢？
[89:59.790] 应该长。
[90:02.270] 一楼还是二楼？
[90:07.290] 您是不是在我们林嗣环展厅？
[90:12.200] 行，我过去找您。
[90:26.100] 办完了吗李登辉？
[90:27.540] 23往下说刘先生。
[90:32.000] 在这儿分享零。
[90:38.790] 看看什么情况。
[90:43.190] 收到后人之前占据了没事，
[90:46.990] 两分钟喝口水，我跟你一块过去。
[90:50.280] 没事。
[90:55.910] 这个客户是
[90:57.320] 之前有一个承包的时候，然后介绍的这些
[91:02.080] 他们整改了
[91:03.360] 13码，
[91:04.500] 我给他发了知道吧，放假的时候按照75,000
[91:10.090] 这个标准，然后用5200分析上市，
[91:16.210] 二刺激的反应，
[91:18.490] 这讲的
[91:20.190] 这两头资本金应该还是有的。
[91:23.170] 还有一个S没方案。
[91:25.890] 我没看过我也
[91:31.290] 然后就别开车了，看这聊聊。
[91:45.460] 张叶兆业，
[91:50.400] 留门。
[91:54.070] 什么是你的朋友？
[92:01.710] 我看见的的。
[92:04.490] 谢谢。
[92:11.670] 您好。
[92:13.490] 您好，谢女士不对，你好。
[92:16.430] 来我自我介绍一下，我是小马，你好，然后给您简单解释一下，我那客户他要订车，我得给他打个订单去让我们同事王超然后简单跟您说一下好吧？然后因为之前的价格我都发给过您，然后他也这个价格都是一样的，所以说让他也跟您说一下就行了，好吧？坐上车那我先去了，我给他打个订单，有什么问题咱们随时沟通好了。
[92:42.220] 来我看这个
[92:54.800] 这样的了。
[92:56.460] 后来
[93:46.370] 电车、
[93:53.160] 130知道了我找着了。
[93:56.120] 了，说话干啥？
[94:00.510] 谁拿了我根本就不知道那件事。
[94:07.050] 我没说过我都不能动了，我说现在网上下来的，
[94:11.240] 写的我。
[94:15.500] 谁说的？
[94:18.440] 之前拿的话你们有记录吗？谁拿走了？
[94:29.570] 慢慢的。
[94:30.450] 谁拿都拿。
[94:35.090] 知道
