[00:00.450] 2020年7月2827 29号张良客户
[00:04.340] 侨福将交出录音，
[41:09.640] 公司从事什么行业的？叫那行教育行业吗？
[41:14.900] 那个爱好有什么爱好吗？
[41:17.920] 形式没有是吧？行签个您的名字就行了。
[41:22.000] 写一个广泛。
[41:24.110] 稍等一下，我给你拿一个，因为他老组织活动，也不知道您什么时候都得写上一个通知，您何时都去，不是就不去
[41:32.440] 了。
[41:33.690] 行，看一下先生，这是咱们服务公约，针对咱们此次购车没有捆绑销售行为，在这签上您的名字，
[41:41.770] 确认对签您名字。
[41:45.470] 明天一定
[41:47.700] 在这签上您的名字。
[41:51.380] 的。
[41:54.880] 好的，可以了先生，今后会接到我们电脑厂家的回访，如果各方面都挺满意的话，希望您每项评个满分。
[42:02.650] 咱们还有两个二维码扫一下，一个是我们店里的电话，还有一个是咱们店的公众号关注一下就行。
[42:08.750] 我可以。
[42:12.620] 可以的。
[42:13.570] 明天再打开就有数据了，您这车跑多公里，这上都跟那车里是一模一样。
[42:22.070] 这怎么还有
[42:24.560] 着了就行。
[42:26.100] 那边退就行了，对微信网页版。
[42:30.160] 这对电话您存一下就行，创建联系人就行。
[42:35.490] 这是一个。
[42:37.030] 来
[42:38.560] 闯进来，如果后面联系人家了，
[42:42.900] 后面连连
[42:44.280] 新联。
[42:46.030] 行。
[42:48.480] 找一下，这个是咱们店的公众号。
[42:55.520] 他这里分两个电话，还有这两个应该您当时打的时候就不得了了，沟通肯定
[43:02.970] 有咱们的
[43:11.910] 乔先生刚才您留的电话是多少？13652
[43:17.420] 71279688，哪个？
[43:21.170] 关注一下。
[43:23.500] 之前应该是销售给发的，没有的关注公众号。
[43:29.110] 对您关注一下就行。
[43:31.220] 行，我这边就没有其他问题了，就算其他业务就行，好吧？
[43:35.740] 等一下。
[43:44.400] 我这儿劝您几个签字。
[43:49.390] 这个是车辆的一个交接流程反馈表，
[43:53.120] 包括今天看到车辆的外观内饰整洁，
[43:56.490] 您车辆的发票
[43:58.320] 合格证和保险这都不用管权，都会在国良那里验完车当天回来这些原件或一次性做交接。
[44:05.020] 要是取第二版去了，一会聊马会都给您。
[44:08.810] 功能跟您讲了，
[44:10.670] 替我一电话，后期用车不明白了，打给我就行。
[44:21.440] 139
[44:23.040] 三
[44:26.000] 1098
[44:29.800] 6961。
[44:31.590] 对。
[44:34.170] 郭晋
[44:39.680] 晋山西简称晋字。
[44:45.790] 来了。
[44:46.760] 好。
[44:49.420] 然后
[44:51.230] 保养手册在车内互联，就是刚才给您下的手机软件，
[44:57.320] 车是没有备胎垂直工具的，三脚架西柚报原车都是自带的。
[45:03.430] 新车注意事项告知您了，救援车抛锚了，道路救援车点MEN键就行。
[45:12.330] 保养一年1万公里，售后就是厅南侧，然后三包上刚才给您盖的宏章5873 4个9直接打电话就可以。
[45:22.090] 买方证上签一个谁知
[45:25.340] 关键两个要是您收好，
[45:29.450] 5458没问题。
[45:33.300] 这句话小字儿特别小，我给您念一下，本人已充分了解以上所有条款，确认无误抄在横线上。
[45:42.770] 对，就是这样首页的充分了解，传统意念本文充分。
[45:50.370] 对我讲没事。
[45:53.700] 经常老板偷偷送不算对。
[45:58.080] 了解。
[45:59.940] 以上所有条款，
[46:03.380] 这样你还给你销售的
[46:07.390] 确认无误。
[46:09.570] 怎么说，没事你不做我帮你激活的，
[46:14.710] 我这干什么事他都能发现。
[46:18.790] 怎么
[46:25.110] 确认无误。
[46:25.920] 对，后边千金名就行了。
[46:30.990] 为。
[46:32.280] 好得我这就没事了，后期用车过程中您有问题随时打给我，有一个问题。
[46:38.350] 问题就是说假如这要是要没待着，说怎么用手机操作，您你
[46:44.850] 明天正常以后才能看见，
[46:47.080] 你用手机操作，他也不能把车开走，就是指
[46:51.030] 能把车门打开，
[46:52.890] 启动了行，但是你不拿钥匙一开门就灭车了，
[46:56.480] 他不能开走，不这么走，只能开始要必须得在身边。
[47:02.690] 还行10手机就。
