[00:00.000] 2020年7月21号。
[34:25.440] 在这里吃完饭回来再回来那一趟，然后我这边呢会有一些驾驶需要注意的几点事项，以及另外一边停新车，厂家会给到一个补贴，您跟我核对一下用还是不用？
[34:36.330] 行行行，唉你先去吃饭，一会这个让他给您报一下，这个给您发错号了，后天后天我发给你了吗？我给您开个门。
[34:46.200] 那你是不是还没去呢？
[34:48.520] 没事甭管了没事那么着。
[34:50.880] 数据。
[35:02.960] 像那个
[35:03.720] 第三排
[35:04.620] 正常来说
[35:05.560] 数据
[35:10.270] 对
[35:14.480] 所以说呢不好意思。啊
[35:16.350] 数据数据
[35:23.180] 他说是什么是在。
