[00:00.120] 欢迎。
[43:52.540] 确定是用这个线圈。
[43:55.840] 垂直的车位两种选项，倒退只倒进去，车头冲外，
[44:00.740] 前进式车头进车尾冲Y
[44:03.130] 好处是不是都倒退？
[44:05.060] 按确定提示高速到达，
[44:08.480] 现在开始自动泊车完全启动，
[44:11.190] 需要做的是坐在车内脚带刹车控制车速，其它的条款咱们看一下状态。
[44:18.200] 定位烧烤合适，
[44:19.960] 一定带刹车，不允许撒开刹车。
[44:24.590] 对。
[44:26.720] 绿色大宽限是轮胎的行走位置，
[44:29.940] 远端
[44:31.080] 短的小红线是它的刹车点，
[44:34.070] 进不去了，到这它会自动刹停反向自己挂档上，再到直至停进车位。
[44:41.560] 车位相对来说
[44:43.720] 大大一点，你看他进不去了，他就刹停了。
[44:48.040] 换挡反向打牌，
[44:50.500] 都是他操作的，您只要在刹车就行了。
[44:53.840] 然后他又会画前到达
[44:57.700] 只是停入车位。
[45:00.890] 现在都是他自己操作的。
[45:02.730] 对。
[45:07.400] 只要在刹车，其他都不管。
[45:20.100] 停进来以后，
[45:21.770] 到了预定车位，
[45:24.780] 它会切换为驻车需要做的，现在按一下几个店所说离开就解除，
[45:31.210] 其他都不会出现。
[45:33.060] 这是垂直，他刚才让您选了倒退前进，
[45:36.950] 侧方顺着只能倒不能前进选项就没有选项，只能倒进了，其他的都是一样的。
[45:45.560] 回去适应这车怎么面对开个10天半个月，
[45:49.730] 能完全适应不过来，但是已经很智能了。
[45:53.580] 对。
[46:26.040] 那些车
[46:27.240] 结束，
[46:29.020] 来下车后备箱有点东西做个清点。
[46:37.000] 转化一下。
[46:45.080] 您把您的发票拿上，
[46:47.960] 因为一会我要给您填个三包。
[46:50.570] 对。
[47:07.760] 三脚架最下边要说自在的。
[47:11.200] 您随身的东西，荧光救生衣，有一个类似交警的反光背心，有事故反而起到警示作用。
[47:17.920] 这里是急救包、绷带、纱布、剪刀小意外临近即到
[47:22.090] 保养，想着在这边保险信息，
[47:25.630] 车的说明书，到了救援指南，秘书连介绍都在这，差您一个三包，进屋填完了给您发动机和车架的
[47:36.250] 破条有吗？
[47:37.720] 绰号没有。
[47:40.510] 户号您看您副驾驶扣有没有？
[47:43.000] 副驾前面的酒店有着，你有拓号现在验车也需要。
[47:48.420] 的
[47:53.550] 对。
[48:02.600] 下边按
[48:05.540] 使劲问题对这边没有底下基本上就是有一点空间你就搁点杂物就行了。
[48:13.750] 这两跟接案右侧的是连关后备箱带锁车，
[48:18.240] 左侧的话4个门是开锁的前提下，按左边只关并不错。
[48:23.240] 4门说都是落锁，恩他也是灵光带锁注点意就行了。
[48:30.410] 油箱盖是在右侧，
[48:32.760] 一定记住4门是开锁的前提下，摁一下才能打开。
[48:39.520] 直接拧开95号油有标识锁车的状态，
[48:43.920] 这就锁了吗？是动不了的。
[48:46.790] 离近了，刚才跟先生说了，要让一进了手往中间一个锁头咱就开了，
[48:53.330] 以后装着就行，不用拿出来来。
[48:56.520] 后备箱好像就是说底下有个地方感应是吗？对。
[49:02.600] 要是前提必须在这，B才有反应位置这个位置
[49:10.060] 就可以了，他P一下也能关，抱东西的时候放是吧？
[49:15.950] 一样的。
[49:18.730] 一般来说可能你比较会用
[49:20.340] 我不太可能用。
[49:22.130] 因为搬那么多东西肯定不是我干嘛。
[49:25.020] 梅很清楚你说。
[49:27.660] 然后先生搬着您过去踢一下。
[49:33.310] 因为明天是带张说，我得给您看一下您发票的日期，我看一下需要。
[49:39.210] 对。
[49:41.600] 因为不是我们给您开的票，是我得看一下时间。
[49:47.630] 这个比较放那什么摄像对。
[49:50.360] 但是记住
[49:51.480] 还有他自己您说开票70 7月22号。
[49:57.060] 稍懂。
[50:00.330] 应该说是
[50:03.520] 没有了，告诉我。
[50:05.850] 咱们那个小姑娘
[50:08.310] 不是平分吗？
[50:09.810] so一个活就归我了，
[50:14.820] 他就一次的
[50:16.480] 啥事没干。
[50:18.390] 去年那个活就是我干的，所以今年我估计
[50:21.410] 没得跑是吧？
[50:26.000] 是因为地位并
[50:28.800] 这个可能面积你在干嘛？
[50:32.500] 没事他。
[50:35.200] 这是什么华为什么？
[50:38.370] 谢谢给你明白吗？
[50:40.500] 你直接让他把看哪些程序在运行的。
[50:44.470] 好了，下面
[50:47.160] 5月28号推出的。
[50:50.120] 等
[50:51.630] 找找你什么？
[51:10.440] 这个是这个车的三包，说一下内容，首先这台车549。
[51:15.240] 200
[51:16.050] 5月28号生产。
[51:17.520] 开票是7月22号，所以这个车的质保期
[51:21.530] 是三年不计里程数，从开票日期开始算，三年内这车不管你开多少公里，这些大件如果出现了质量问题全管，这些里面包含的都管，后边
[51:34.580] 每一个易损件都有对应天数公里处的条件限制出了这个条件，
[51:40.240] 前面对应14年在换的就是自费项目，我印一下原件您带走就行。
[51:47.760] 要是您收到后一分钟后面那个是且货还是货的关系，30天1000公里之前，
[51:55.680] 2000，比如说我已经放1500了，当时还不到30天。
[52:00.250] 那能算吗？
[52:02.360] 两个20万满足一个就
[52:04.770] 你一天开了1000公里，
[52:06.720] 就不能算30天3万公里数，你要说我是30天，
[52:11.510] 一公里没开，出了30天不是不对。
[52:14.750] 霍二二选一
[52:21.680] 对。
[52:22.380] 三次。
[52:23.270] 咱俩一人一个好吗？
[52:26.100] 因为一个有他一块的好吧，先给我。
[52:30.710] 你说是我的，其实银色也一样。
[52:34.890] 你后悔了没有？
[52:37.080] 你喜欢颜色必须买，没有这个也行，这个也挺好看的，但这个没有压得住颜色。
[52:45.350] 是不是这个颜色稍微一点点浅？
[52:48.180] 这颜色稍显颜色。
[52:51.800] 我已经不年轻的颜色有点深层次，
[52:55.200] 跟着我也
[52:58.240] 好不好？
[52:59.690] 儿子喜欢选。
[53:01.950] 也选的是吧？
[53:05.040] 少年老成，
[53:06.480] 然后一次把我的
[53:08.150] 你那个颜色
[53:09.960] 太稀了，
[53:12.510] 你就没看上你们的东西，
[53:16.480] 有点让不了什么。
[53:19.380] 感觉稍微有点。
[53:23.000] 非常
[53:24.820] 没刚好一个清远，
[53:26.480] 只要买保险就买了1万多，
[53:29.390] 然后明天去
[53:33.420] 还是买了太平洋的。
[53:35.480] 他那个店里是太平洋想我说他说你有事就找我的，
[53:40.560] 你想不行，
[53:42.960] 你相当于百分之
[53:44.810] 不减肥。
[53:46.360] 完了之后
[53:47.960] 全都把他关把我给卖了。
[53:50.230] 我还不
[53:51.530] 真的你帮我算了，你说了好多
[53:55.310] 了，想这么是我吃掉了，
[53:57.870] 然后再回去
[53:59.980] 极大的兴趣，今天一定问他怎么样，
[54:02.800] 一定要做好心理准备，
[54:05.890] 所有的原件4张发票您自己都完全收好，千万别丢，今天您来国良让您签字，应该有一个委托书的是吧？所有这都是您签的，这是千金名字。
[54:17.750] 原件您带走了，这复印件就报给厂家留底用，
[54:22.570] 其他的就没什么事儿了。
[54:26.350] 验车之前一定小心行，说得有剐蹭，否则的话您是验不了车，只能
[54:32.840] 先修后验，
[54:34.560] 临牌一会出去粘上才可以，平常您拿出来我告诉一下怎么粘。
[54:41.250] 这在副驾前面右下角仙山一个后边无所谓，粘的时候不用把小条全都裂掉，
[54:49.560] 憋小编能粘上不掉就行了，后期您要是贴膜天热不至于，
[54:54.850] 但特别惨，你触礁比较麻烦，其他的都可以。
[54:59.830] 我这就没什么事了。
[55:01.530] 我们来你就能接车呢。
[55:04.450] 因为我有授权委托书啥时候我授权委托你的？
[55:11.690] 我有一个疑问没有的，什么证都没有，你说我没有身份证对。
[55:18.880] 我找到那个地方把身份证给拿出来，拿不拿的他是办不到手。
[55:23.740] 要不然你以为
[55:25.950] 然后他给您输过码了，把临牌沾上，一会从我赶紧出就行了，这个产品我觉得灰色是吗？我觉得比颜色好看。
[55:34.950] 对，金色特别少。
[55:37.700] 是吧？对，我觉得今天有点压迫。
[55:40.140] 这点别的行那就没事了，没事慢走，谢谢别客气。
[55:52.740] 坏数据。
