[00:00.040] 是吧？
[35:54.800] 停好了以后就直接向启动
[35:57.850] 就可以了，对，这时候的话，如果咱们这个灯什么都不用管，就一按键就都关了。
[36:04.810] 不是您取决于您刚才这咱就没开的状态，您要开着他肯定不灭。
[36:10.390] 对。
[36:11.250] 这种情况车内等人是不断电了，比如说你想听歌咱们正常听，但是如果开门逐渐
[36:18.350] 它会断电。
[36:19.500] 是这样的，以前你可能需要通电的状态才能听这东西，现在就不需要了，你找着门不开就能。
[36:26.330] 单车可以关了，对刚才是先进的车吗？对车并没有着，但是电是通的。
[36:32.190] 以前你担任一下唤醒一下钥匙门才能充电是吧？
[36:36.320] 对，下车我跟你说说外边要是使用中医师像我得先给您约个面访，因为5:30就下班了这边。
[36:57.040] 楼板吗？
[36:58.570] 如果家里有特别小孩单独乘坐的时候，门侧面一看，
[37:05.400] 这是儿童锁，
[37:07.110] 这个小黑哥的冲下这个车礼拜都能开门，但如果咱们冲上只能发生开里边开不了，单独拉小孩承诺一定涨这事儿。
[37:16.170] 只有后排两侧有。
[37:19.490] 要是咱有两把我们都给您试一下，首先上面一件是火车一下，
[37:25.400] 有声音转灯亮，三下代表完全锁好，车门，如果某一个门有需求状态，这种情况火车
[37:33.480] 能锁上，但是它没有声音转动不会亮，这是哪一点？
[37:38.230] 这是一把。
[37:39.960] 第二版
[37:41.000] 说是开始我试一下，
[37:44.590] 这个问题由乡干部
[37:47.100] 车里没有单独开关，记住了4门是开锁的前提下，按一下
[37:51.760] 就弹开了，
[37:52.830] 直接扭开手术，耗油锁车的状态，
[37:58.680] 这是连动锁死您动不了了都。
[38:02.020] 后备箱
[38:03.230] 最下面人家场外独立开，
[38:06.430] 随车
[38:08.130] 三脚架，原车自带。
[38:09.940] 车是
[38:11.520] 没有备胎的，下面有特殊沟通。
[38:13.820] 设计空间宠物用这里都是您随车的东西，我跟您说一下。
[38:18.200] 保养在这边保险信息导航卡那壳这没用，
[38:22.290] 然后随车苹果安卓各有一个数据线，
[38:26.680] 这里是咱们车辆的说明书。
[38:28.880] 道路全是难觅会员的介绍。
[38:30.930] 荧光救生衣跟交警台北光卫星有时顾及到90左右验收，必须带急救包、绷带、纱布、剪刀小院里拥挤的，
[38:40.550] 这世界什么充电的苹果限安卓线。
[38:46.040] 这里还有两个东西我给您说一下，
[38:50.480] 我刚才印完了。
[38:51.920] 第一个就是这个车的三包，550405这台车，6月24号生产的开票，今年10号
[38:59.180] 三年不计里程的质保金天开票开始算，质保期内这个车不管您开多少公里，这些大件出现了质量问题存款
[39:07.990] 每个易损件都有天数，公证处条件限制，
[39:11.040] 除了定条件一层胶布在厨房别丢您带走。
[39:15.160] 还有一个。
[39:16.130] 讹。
[39:18.400] 每台车在咱们进店以后会有新的特别检查证书，
[39:23.320] 每个车进来都会做整车质检，才会通知销售，这个车可以销售，不是说从厂家拉过来就卖了。
[39:29.550] 对您这台车
[39:32.290] 7号做的整个质检，每一个车。
[39:35.450] 在我们这超过。
[39:36.570] 7天在销售的话都需要重新
[39:38.790] 对，这是一个交互标准。
[39:41.090] 这个是原件要您拿走就行了。
[39:46.060] 他指标还在，
[39:48.000] 咱们去屋里攻能守，
[39:56.500] 来给我来。
[39:58.090] 走走不了。
[40:19.880] 巨大
[40:22.000] 了。
[40:22.930] 我记得你
[40:25.940] 高技
[40:28.300] 不用操心。
[40:30.860] 我待会给你留电话，后期用车有什么的随时问。
[40:34.430] 刚才咱下载的东西，
[40:37.440] 50405。
[40:40.120] 拜拜感谢不用报警，他们说789的手机上有
[40:45.030] 使用说明这种
[40:46.960] 下载如果
[40:48.060] 手机上。
[40:49.270] 没有，因为你跟您说，您说本你那指标这有它打出来了吗？
[40:56.200] 不用管了，他也我不要复印，这边有一个对给了。
[41:02.530] 你给我一个说你还干嘛，不是咱得留一个这个事留在你们这，真是流他们的，您好，这也没用。
[41:10.670] 原件给我想留着了吗？
[41:12.660] 这没用，他上完牌的用废了是没事吧？还没上市这不是，他是要复印件，他不要原件不是。
[41:19.970] 这都一样，您打印的是彩色的。
[41:22.520] 一样复印件原件都能写的能给我，你留一个，万一要丢了。
[41:27.970] 应该没事，你看还有没有还有刚装的，那就是他们去上牌的。
[41:35.710] 复印件。
[41:36.610] 对这怎么解决，前后都得贴。
[41:43.740] 您坐这儿我跟您说一下，给点信心，先几个字就完事。
[41:50.200] 这要记不住咋办？你说这么快。
[41:54.770] 我们脑子记不了，不是，那个是所有
[41:59.120] 客户基本来了，您没开过新的东西，您需要视野怎么也得10天半，功能太多，呵呵。
[42:05.790] 怎么样？
[42:06.520] 您对后期第一我先会给您留电话，第二他最大的变化车里的功能大同小异，但是为什么电话
[42:13.420] 对，所以您就不太容易去开起来，这个档位在哪都变了，您这开就慢慢。
[42:21.950] 对，只能是您慢慢适应。
[42:29.510] 您先把我电话记，后期用车有问题打电话号码。
[42:36.070] 三。
[42:40.070] 139您怎么称呼进过进对山西简称尽。
[42:46.460] 10981
[42:49.190] 69616。
[42:52.110] 13931098
[42:55.960] 510986961。
[43:00.310] 113910986961，没错。
[43:07.120] 您是军人是吗？
[43:09.860] 那就用女士的
[43:12.270] 激活这个功能了，没事，我退休了也可以。
[43:16.580] 信用卡你是车主。
[43:20.940] 你好。
[43:22.580] 何女士本人好了，我先简单信息，
[43:27.800] 如果你是留谁的电话注册？
[43:30.790] 张伟销售哥留他电话，您说电话156您说。
[43:36.200] 990185185。
[43:42.500] 刚才说你
[43:47.440] 五
[43:51.660] 今天。
[43:54.050] 就是7月10号是吧？
[43:56.220] 给这手机马上会发一个短信，里边有一个刘维数字收到您告诉我。
[44:02.610] 里面高速句
[44:04.700] 过去了，如果这不是点击图片，
[44:08.690] 就没法了，打开首页。
[44:11.490] 行女士，我这边跟您说一下，我是咱们客服部的，先给您做个变法，然后您先看一下，这个是咱们服务公约，
[44:19.650] 针对咱们此次购车没有捆绑销售行为，然后您可以看一下，详细看一下，看完了这块签上您的名字，
[44:28.390] 谁知
[44:29.900] 前面还有一页您可以看一下。
[44:34.790] 应该金店销售应该也跟您说过是吧？应该有印象，看一下没问题的话最终确认签个字就可以了。
[44:49.260] 然后在上面签上面对。
[44:53.030] 好了可以了，行，您看一下这个是咱们满意度的一个调查，这些
[44:59.110] 购车有几个小问题，根据此次购车满意度勾选一下就行，然后这种勾选一下就行了，像您的名字，
[45:06.410] 她开始然后现在就头痛。
[45:10.630] 您此次购车是置换了还是朋友介绍，还是首次到店？
[45:15.110] 资料的手换车了，换车之前也是在咱们店置换的是不是？是吧？写手册就行后旋转。
[45:22.710] 基本上在好的可以了，您行业爱好写一下，因为咱们今后会组织一些活动，如果你要感兴趣的话就可以到店参与。
[45:33.050] 什么平时有什么爱好吗？咱们可以留一下，到时咱们组织活动可能最近没有，
[45:38.610] 因为最近一层活动比较少，等之后过去肯定会组织一些活动，可以看到一些参与。
[45:45.520] 行可以了，然后今后如果接到咱们电话厂家回访各方面满意的话，希望您评估的，然后咱们有两个二个因素，我们等一下，一个是咱们店的电话您存一下，如果后续
[45:56.870] 保养或者是怎么样的，在这对或者约什么的都可以打这个电话，然后包括目前当然效果有朋友，不是我可以结论谁知您看一下，
[46:14.450] 他就资料谁知桌面的我看的话
[46:20.740] 谁知
[46:27.320] 他们都可以通过微信报名，这个人。
[46:32.970] 可以了，行，我这边就没有其他问题了，你先办其他业务了，在店保养都在哪，被到时告诉你。
[46:41.240] 到那境界进车间
[46:44.260] 后面
[46:49.260] 完了。
[46:57.370] 没事。
[46:58.140] 行了。
[46:59.920] 好了，看一下面吗？
[47:01.840] 我叮嘱您几句，第一就是新车刚开始一定不能开快，车速不能超120公里，发动机的转速不能要超三，
[47:11.930] 前1500公里，咱们尽量做到一个平稳驾驶，
[47:15.780] 少急加速急刹车，
[47:17.490] 出了1500公里您正常用就行了。
[47:20.110] 北京用车油油的话标号95就可以了，如果您去外地，有的时候可能会遇到小的油站或者油品不好，由于纯汽油这种情况下加的高一点，97和98的，
[47:33.520] 如果
[47:35.200] 又得加油，又没有95的，也没有97 98的，只有92了，那就适当的加点燃油添加剂，
[47:43.010] 针对快乐跑，
[47:45.540] 加油之前先把联合添加剂加进去再加油，一箱油对那一小罐就可以。
[47:51.640] 人人油添加剂。
[47:54.840] 对，或者叫快乐跑，它叫法不一样。
[47:58.470] 一样，因为我现在不算，现在您打开您刚才那个软件，
[48:04.520] 然后点一个登录，
[48:06.440] 你要根本
[48:08.470] 家长谁知
[48:11.320] 越是高峰以后收到王女士希望您配合一下，真正这样拿着拍一个照片，因为是实名制的，
[48:20.600] 的话
[48:23.540] 可以了，谁知
[48:29.310] 分分钟差不多。
[48:31.760] 咱们到8%，我看看名牌咱们都同意接收是吧？
[48:37.210] 真是丢了内容非常重要，对民众中午中国
[48:43.430] 中国简体中文，
[48:45.380] 谁知
[48:55.530] 您把您了，您不用管，一会会有人说。
[49:01.360] 第一行填加号，86您的手机号码，
[49:05.280] 通知他过户，你最后东航来的时候给我来一个大笑照片，
[49:13.450] 号码。
[49:15.270] 218对，这是中国区的缩写，将您电话
[49:22.240] 然后要空格不要
[49:24.360] 直接加就行了。
[49:30.010] 你说什么？有点乱。
[49:31.970] 好的，第二行字母大A小A
[49:36.320] 等我给您拉着了灯，大A小A
[49:41.200] 123456，
[49:43.140] 123456。
[49:47.040] 对，登录就行了。
[49:49.150] 这个密码是固定还是保存就行了。
[49:53.690] 但是送走了，
[49:59.760] 等着就行了，点保存就行了。
[50:02.980] 对，确定。
[50:04.460] 同意允许。
[50:08.200] 这个是干嘛？
[50:09.300] 刚才说了激活实名制以后，待会手机会首先受到实名制认证通过的短信，他会提示这台车
[50:16.580] 550405班车视频认证，
[50:19.100] 数这个车刚才所有的数据信息在这上全能看到，
[50:23.660] 您用同样下软件也可以，比如说那车跑多少公里，剩多少油，玻璃水是否缺失，轮胎压力什么时候保养，
[50:31.430] 包括车辆的定位都是有的。
[50:35.860] 定位在哪？这个东西叫移动。
[50:38.500] 是
[50:40.060] 使用期间
[50:41.640] 确定
[50:43.160] 明天就准了。
[50:46.680] 因为后台需要实名，正常他是给您规定24小时内同步到手机，
[50:53.130] 明天咱们再看主业这一行，这车所有的数据都能看到，
[50:58.250] 关注一下就可以成功。
[51:01.440] 他登录也用。
[51:03.140] 对，同时可以登录。
[51:06.260] 同时登陆账号密码只有一个。
[51:09.010] 您的账号密码密码我记不住，大A小A123456，后期您也可以自己变更，
[51:16.720] 但是见346，
[51:19.120] 你现在要扫一下才能
[51:22.050] 扫一下。
[51:25.650] 对。微信扫一扫您稍等。
[51:32.570] 这里边有没有教怎么开怎么？
[51:34.850] 没有。
[51:36.310] 这里没有。
[51:38.260] 所有的签字是您签的是吗？
[51:40.600] 对我是车主OK，这里的字都是您签，这个是三包的复印件。
[51:46.570] 原件给您搁车里了，您刚才问电话打哪个？第一页这儿盖了红章，5873 4个9，打这电话就是保养预约的电话。
[51:55.230] 第一页就是
[51:56.700] 您签个名字。
[51:59.820] 三包的对第一页。
[52:02.000] 保养现金礼。
[52:03.790] 这签一个事就说
[52:09.280] 车辆的一个交接明细单，我跟您说一下内容，首先车辆的外观内饰整洁，
[52:16.120] 4张发票都在这儿，您不用管，包括合格证以及保险这些原件会在验车以后一次性交给。
[52:23.950] 要是两马一会说好，
[52:25.960] 然后功能讲解上完了，
[52:29.060] 电话留了用车哪有问题打电话三包，车内房者造车内互联视频的客户端，
[52:35.320] 位置的话交客厅，这车是没有被他随时攻击的，
[52:39.610] 三脚架和急救包的原车是自在的，
[52:42.560] 灭火器这个东西是后期做装饰，
[52:46.000] 在您交车服务里面，因为下班了就做不了活动，您下次来这些东西会一次性装机平台，
[52:52.990] 其他收费不收费了？
[52:56.900] 没有费用，新车注意事项告知您了，救援车顶上右边MC单键就可以，
[53:04.710] 保养一年或1万公里，哪个先到算哪个，
[53:08.410] 由不低于95号售后就打刚才5873的电话，这您签一个名字，my峰。
[53:15.320] 验车多少钱？
[53:17.670] 验车您听张伟安排，今天周五下周
[53:22.920] 二三下周三四差不多。
[53:25.200] 这句话本人已充分了解，以上所有条款确认无误，您超载红线后面下面烧坏
[53:32.390] 零食
[53:34.660] 使用到什么时候到25号是吧？
[53:37.360] 半个月的。
[53:40.920] 用不了，您下周不就验了吗？对验完了就能上去。
[53:45.670] OK您短信提示了，实名认证已通过，没有问题。
[53:53.120] 对短信我这开走了一定会有
[53:58.450] 明天关注一下您手机数据就行了，他信息就同步到手机里了，那个软件里都能看到。
[54:04.520] 后期您用车过程中有问题不明白，随时打我电话好吧？好。
[54:12.310] 他没有那种不能开。
[54:14.830] 你打电话都满足他，
[54:17.580] 确实没有动态显示。
[54:19.590] 好多人好多客户都说你们给我们弄个光盘，对弄个光盘咱们我跟您都见不着了关键是。
[54:27.600] 就没有我们了估计。
[54:29.050] 不是这有些还没问题。
