[00:04.070] 美味打上上回
[45:24.610] 对，这就是一球闹的，你穿真是的时间也不好使，现在是不要放开，
[45:30.570] 指标没有放开。
[45:32.240] 有事吗？它是什么？
[45:34.160] 中签率高一点。
[45:35.810] 对。
[45:37.920] 促进车辆的市场，因为困束很低，对不烂。
[45:44.220] 盈利赚钱的话指标特别现在应该空白。
[45:50.170] 还有一部分电动车对电动车的这种车人来的多，
[45:56.520] 你充充电桩多的话，他们之间没电动车太多了是好的。
[46:03.750] 咱们下面也有一个咱们服务公约的二维码，然后对你要是方便的话可以扫一下，就不公约，刚才我跟先生也说了，
[46:12.190] 谁知到回事，
[46:17.520] 反正现在还了，
[46:19.790] 开始是可以的，因为这个车的话整体的舒适感还是蛮不错。
[46:25.320] S真的我觉得挺舒服的，而且比较适合您我觉得。
[46:29.680] SUV，因为你开这么多年的轿车，
[46:32.290] 刚开始一看SUV有可能也不太喜欢，就想换个三五车耽误事儿，还是说从那这些大概价位在50万左右的
[46:43.130] 358
[46:44.420] 肌肉他们也不推荐，这样也不会推荐您，对，然后阿尔法也还行，安排那车
[46:51.970] 18得88加day加30多，现在好像加不了，那么现在没钱那么多，现在数量也多。
[46:59.190] 桂花然后28万他连个房子，
[47:02.720] 还有一个就是日本的话山
[47:06.020] 还真不太了解，在那还出来早一点全球化是吧？好像不多。
[47:11.570] 然后原来奔驰的话还起来不是不正常，30035对现在就变成福建奔驰了那种微疼了。
[47:18.960] 奔驰的话大概就在4010多万左右，对出一个缺点就是出头太笨重，
[47:26.400] 那个车不好开，有一种在公交车上的感觉，对那边
[47:32.410] 这么做感觉，但是他们中间的座位坐的还是挺好的事，是反正
[47:38.750] 你要是说这家里边人多或者公司
[47:42.260] 能用的话，我觉得双子座有可能做人就是说的话，
[47:46.200] 开出去挺不方便，对它的整个车的话，就像你说跟公交车跟金杯车就那种感觉，因为我曾经卖过媒体，真的我伤了我都不敢开，我觉得大哥要是的
[48:00.590] 他来的话他是
[48:02.530] 比如说运动版大概是50多万，有夹层要不加长的，对还有V型，还有V260，对。
[48:09.720] 合议庭就更大一些，比VR就连的长，他们的话建立中心目的性原件，
[48:16.200] 落地轩辕剑七八十万，
[48:18.440] 日本车还得了。
[48:20.860] 但是你在城市开的话有点
[48:23.590] 不是说经常跑到外地山路上，对山路开车去，那没问题，那时候好看就是要说疱山什么的吗？搓颈都不出来，对，你在北京市区还是不太合适，对。
[48:36.260] 而且那种说的他耗量也是很大的。
[48:38.860] 对涵洞完了吗？他这就说出来人多少，可以，我就问问他好行谢谢，或者是他打个电话也行，我问问他谁知了你。
[48:49.120] 今天就刚刚给我们这个可以给您，您说您今天考虑定吗？今天还真没有，今天因为路过
[48:55.310] 主要我再了解一下，看着出车多少钱，二手车都打出来，然后比如说我有宣传，
[49:02.430] 能不能在折扣店还是做分析不了，我给您这边可以放弃，也需要哪些条件分析的话，指标就是您本人对。
[49:09.710] 那没问题，您这种的话您首是自己做生意还是上班？
[49:14.350] 再去做交易自己做生意是吧？对很简单了，手机现在非常省事，不像以前了，打算有谁流水不能睡，连流水都不用，也就是有可能连流水都不要，就需要您的工作单位的名称，就这些简单对证明收入证明我上回用收入的明白了，现在也都不用说证明了，让实在不行提供一份流水就可以了，现在这个很简单，我给你写下我的电话。
[49:44.110] 你看车什么介绍什么的，还有需要了解的吗？不是有时候能了解一下懂车帝释行。
[49:50.290] 现在他们上面的了解讲解比你们想一想，
[49:53.020] 好，什么功能什么东西对，这就看对，好你玩一下看一下，我先问他一下，拿到
[50:00.560] 大家刚才给先生了好了。
[50:17.060] 对了吗？莲花吧。
[50:22.040] 趟，但是他还要你送一下也行，他那车在望京买了。
[50:27.800] 因为特别是了是
[50:31.950] 是正常来说我估计
[50:33.930] 都20多块钱。
[50:37.550] 他这赔得也挺多，肯定
[50:39.790] 还是7年才
[50:41.620] 70万。
[50:42.920] 7年咱们剩下这两天培训，
[50:55.950] 的
[51:02.340] 话，
[51:05.800] 他肯定
[51:17.280] 巴勒斯坦
[51:18.480] 除了这些车了，
[51:20.380] 你这样这种车型属于您沟通，就是老车子的倒车。
[51:25.510] 然后现在是这样，如果您
[51:27.620] 感觉好，我想咱们作为置换，我们需要自己成为一个特别详细评估，尤其您后面还被传过梳理，
[51:36.030] 所以我们在很多把调整后边要做作为相继的一个评估。
[51:40.160] 现在来
[51:41.400] 看那个车这个情况来说，在那里我们预估情况下基本上应该是
[51:45.820] 20这块。
[51:47.480] 20对，你看5左右从高层一个比赛15中间可能没15块20多一些。
[51:53.680] 我这样
[51:55.190] 我com没有人自尊后又不撞的情况下，
[52:01.110] 没有说大的磕碰看到不能碰撞，按您这车里程来算，太多是10万公里的，
[52:07.470] 基本上应该是正常的，应该是19 12头12万多。
[52:11.620] 20。
[52:13.050] 正常是20万多一些，
[52:15.210] 现在咱们卫生应该在20左右，
[52:17.760] 不会太多，我这是3万33公里，看全文管理6年，我感觉这个车来说应该是20万是一大关了，
[52:26.670] 有可能620是这样子，你这些公平介绍不因为他们后排才有单吗？后面的时候。
[52:34.490] 是这样的，
[52:35.580] 我需要要想确定补贴价格，就需要下一步我们进行一个详细的给您科学评估了。
[52:40.790] 这个车我要给我进车间升起来，要看后续去过什么情况，
[52:45.300] 如果有可能的情况下，我还需要可能把衬板要签文章，
[52:49.660] 那里边到底是什么情况？
[52:51.460] 是这样。
[52:52.990] 咱们看了你需要详细咱们再做。
[52:56.800] 前期的再过来查，对。
[52:59.050] ed的就20万更多左右。
[53:02.640] 高也高不到哪去，高的太多，因为现在我们存款的CS这仨人才多少钱？
[53:08.390] 70多一点20了，对，可能心态也现在除了薪酬也加，但是牢房你心烦的话还是
[53:17.170] 那种厚重，对，但是它整体技术
[53:20.480] 科技感的可能性会越来越好，对，其实心的话就是电子化，对，你看他虽然是电车后期再出的最新款的情况下，上市那款
[53:29.670] 车内几乎案件没有了，全部是众多
[53:32.340] 于家于空着，就又四五千斤活动下一场好好。
[53:37.060] 我看了别照了，主要是我接受不了是吧？我觉得好多人是看那种的有点接受不了了，反正你看看，然后这边的话我明天给你们打个分打电话给应该留的是周先生的电话，对，然后到时候给你打电话看。
[53:55.250] 上午或者下午，到时候您
[53:57.080] 给你打电话大概耽误您几分钟时间。
[54:02.840] 对，这是和您看。
[54:05.680] 你开车来的是吧？扫个二维码这边等一下停车券。
[54:09.810] 怎么
[54:10.720] 扫这个二维码微信。
[54:17.000] 结合了是不是？然后你得领取，
[54:22.570] 然后点用手机登录，
[54:27.040] 本手机号。
[54:32.610] 后期验证码。
[54:33.900] 好吧？
[54:39.120] 了
[54:41.540] 然后听条件一般输入车牌号
[54:46.080] 就可以了是吧？
[54:47.320] 可以，行，去让他看一看行。
[54:49.910] 0点。
[54:51.670] 不好意思没事，您给我就开始了，有没有觉得打电话？
[54:57.750] 慢走再见。
[55:36.800] 再次
[55:37.580] 过去
[55:41.820] 已经。
