[00:01.190] 7月19号接待客户。
[48:45.930] 现在是这些博主都在黑这个车，但是我看其他买车子评论还都挺
[48:51.530] 是吧？这里边水银特别多，
[48:54.400] 但是买车我有客户人拍的感觉真的挺好的，没有说想象中的
[48:59.190] 那么肉什么的。
[49:03.300] 180的东西
[49:05.050] 已经开过吗？开过，但是没上路开，我用了没有私家车，我不可能开新车上路，在院里边挪车的时候开
[49:12.290] 比较差，其实我没有谁知到，因为我没有那么
[49:19.460] 上堵路什么这种开过，所以还真跟你说，没法给您做一个特别客观的
[49:24.490] 一个评价。
[49:49.450] 昨天我同事
[49:51.570] 第三款的车他厂两点上面去，
[49:55.620] 厂家一个在亦庄，一个在顺义。
[50:01.530] 这车生产再睡一下，原来跟
[50:04.040] 北京现代加强。
[50:06.280] 对，一家都是北汽的。
[50:11.480] 一瞌睡很少。
[50:12.790] 看穿过了三次。
[50:15.620] 但是那会儿应该还没有跟群，对，那会应该没有开始，但是一旦
[50:20.340] 奔驰的工厂，顺义的钢铁没有多久，
[50:24.400] 基本就是4S和也扣的这俩纯进口的CK，衣服配CS，
[50:33.360] 就是轿车里边还有SSUV里边S不
[50:38.700] 只要一针S
[50:58.930] 这车比开始
[50:59.800] 比K达克数太多了。
[51:02.760] 咱们在后一种驾驭的感觉。
[51:05.120] 但是凯迪拉克我跟你讲，
[51:07.080] 我开了每天都有一个感觉，怕别人听过，对，我一会儿
[51:12.660] 就不再生产上课，像开坦克一样撞了。
[51:16.810] 他在调
[51:18.040] 他干什么？
[51:20.840] 要不要他接走就行了，把前面都散了。
[51:25.680] 他起步比贝拉克强太多，
[51:29.910] 但是我不知道这个车技不好，
[51:32.260] 估计不行，别人腰带
[51:35.230] 可能这么进来了。
[51:36.520] 再折，你刚才登进来了，
[51:39.050] 你不是为了做那次别激动，
[51:44.650] 不惹事也不能pass，我得起码我得装不过去。
[51:49.320] 现在这不接受了，不是这个课程有没有出来，刚才咱们可能
[51:53.590] 就在这。
[52:17.680] 还有她的手刹，手刹电子的现在都是
[52:20.860] 希霍芬一下就可以了，上面对，然后手刹自动就上。
[52:25.120] 拖的话就是脚刹车他自己基本都定了，他有厚的功能，也有注册功能。
[52:33.660] 小周边，
[52:53.890] 慢。
[52:56.400] 你别告诉他爸爸不要超100人。
[53:02.010] 太大了。
[53:07.320] 过来。
[53:09.470] 我先去华药了，因为他进来
[53:39.600] 快。
[53:40.880] 的
[53:47.960] 的。
[53:49.890] 你知道吗？
[53:55.370] 好。
[53:57.220] 这边老师了一点。
[53:58.920] 我那也是A借用，没有到这边买的不是应该有的，版的空军后边这块一边是不可能，但是我想买，然后。
[54:10.210] 不也说光看这怎么弄的，
[54:12.970] 然后放手外面的时候我买了，完了我找了说这耐克谁的盒子羊水退的，我一打开你这不看到我跟我看这鞋一样。
[54:24.310] 有很多事，但是这张画的。
[54:26.820] 然后先谢谢。
[54:29.110] 你叫什么茶艺的谁？
[54:31.620] 有茶水还有饮料你。
[54:46.470] 聊的时候。
[54:52.650] 坏
[54:58.240] 坏
[54:59.880] 了。
[55:08.970] 涵盖了、
[55:14.940] 混
[55:17.410] 的。
[55:20.640] 的
[55:25.590] 的。
[55:30.450] 的。
[55:38.080] 我给您算一下。
[55:40.200] 我先讲一下。
[55:49.850] 您这稍等我一下。
[55:52.760] 你坐那您不想让你在那边喝点水，稍等我一下，用水我睡觉。
[56:33.630] 坏数据，
[56:38.860] 的
[56:41.230] 的
[56:43.880] 的
[56:48.380] 的
[56:54.260] 五
[56:57.480] 的
[57:00.570] 了。
[57:04.270] 元
[57:08.690] 的。
[57:09.910] 的
[57:14.950] 的。
[57:23.160] 我找了一下没找到。
[57:27.800] 我看见了妈还在这。
[57:31.340] 等着开了。
[57:34.200] 了。行了，不收了。
[57:38.400] 结果稍等一下，他在外面看车。
[57:44.960] 新城这边给您算一下吗？
[57:48.160] 价格没出来的吗？
[57:50.300] 可能加强出来，就算一起出来，行您做。
[57:54.320] 行，你们坐着喝点水，我去看看多长时间一块去行走。
[57:59.530] 做了。
[58:02.290] 你还能保持快乐，
[58:11.400] 岳父那边觉得还可以，我岳母车型很小是吗？
[58:16.300] 其实显得不值钱，说白了。
[58:19.970] 但是还好，其实这车挺大的，利益也确实是对，你要是说您跟咱们现在看您一笔。
[58:27.060] 确实他没有亿的级别高，咱有什么说什么，您现在E级车您全班级还得进是吧？因为我最早出现这车他们要开到。
[58:35.250] 外地去可能安全系数不高，也就是马上6年了，
[58:39.850] 这6年每年验车了，我也不会让他们跑，对。
[58:43.760] 他们是多长时间回来一次？
[58:46.790] 半年北京半年外地。
[58:52.240] 吴哥你看见卢胳膊吗？
[58:54.700] 陆王
[58:56.070] 实行。
[58:57.670] 咱们刚才还在
[59:01.560] 他们都属于自己。
[59:02.560] 在外边有个二手书店。
[59:05.300] 不是，这都是店里的心愿。
[59:07.480] 门街这边。
[59:09.690] 店家对。
[59:18.890] 一样。
[59:25.850] 到哪去了大哥我刚才看赛事，
[59:30.400] 飞羽的高兴。
[59:32.220] 凉水。
[59:33.870] 陆哥您在哪里呢？
[59:39.290] 我在门口是没有看到你，我说我那客户。
[59:42.710] 问一下咱这车货什么？
[59:44.690] 一个价格。
[59:49.930] 行好勒好麻烦了好勒。
[59:53.870] 稍等一下，他给餐车里面。
[59:56.080] 丢了看开了。
[59:57.710] 他直接说个价，我就能大概推算他看完车他进去看他拍的价格，
[60:03.410] 他直接给您上了出了一个最准确的价格。
[60:06.440] 他那边也能聊是吧？
[60:08.460] 他给你出一个主机的价格，然后你看差多少，咱们聊聊得一起聊，都是我们店里都是一样的，他们不会他说。
[60:15.390] 价格合适的话，岳母那边应该能接受。
[60:18.000] 反正我也不是说就是说怎么着，我主要是想想他们其实舒服点得踏实点，不用专家对坏了空调不凉了。
[60:26.550] 对我接个电话。
[60:28.880] 为的。
[60:32.520] 我没上班，我现在不在那了。
[60:36.120] 你是去保养了吗？
[60:41.710] 对。
[60:44.330] 没事，你是已经在那了是吗？
[60:47.910] 行，您找茅建新我都跟他说过了，然后我一会再跟他说一声，我跟他说过这事儿。
[60:53.930] 放心找毛建信，对，我现在跟他说一声。
[60:58.500] 好勒拜拜。
[61:03.690] 出来了吗？价格了不？
[61:05.280] 没了我得进去找一下自己去问一下。
[61:10.960] 新车看怎么样您这边觉得？
[61:13.570] 新车的时候，
[61:15.110] 觉着
[61:16.450] 开着还行，岳父无所谓用。
[61:19.720] 关心价格不合适，真合适的话就算然后开始时太多，
[61:26.070] 现在廉价一些，然后您能接受
[61:29.820] 您这边关于这个车有没有自己心理价位吗？压力就是连置换，包括咱们这边能给到的优惠。
[61:38.720] 我觉着
[61:40.370] 4万多块钱的话我还是
[61:43.010] 比较好接受也好，跟我对了。
[61:45.520] 就是说我在需要的时候。
[61:47.760] 就补贴到。
[61:49.110] 费用是我自己补贴的费用，不是我说您的旧车，您打算这个旧车就是您的心理价位大概是多少钱？一二11万。
[61:57.350] 多点得加上每天
[61:59.890] 还是1万左右。
[62:00.900] 因为毕竟去年买的24万元，
[62:04.670] 什么市场内生大概也知道确实下了一些，对，这边我就问一下您领导行好。
[62:13.010] 我们进去等您。
[62:14.950] 行吗？
[62:15.850] 可以走路站住。
[62:20.770] 接着编。
[62:22.400] 咱们的价格不到20万。
[62:24.870] 都上去了，明天补贴三
[62:27.740] 30003320张左右，然后说
[62:33.410] 加个模块我们也不是管快乐，
[62:37.910] 要达成的超过了。
[62:40.190] 车的话现在一会给您算一下，我得看一下他这边的价格，一会给你算一下。
[62:45.550] 可以直接按照价格给您算算，完之后话您中间补多少钱？
[62:51.210] 二
[62:58.540] 等一下。
[63:05.890] 等一下。
[63:09.250] 的
[63:21.470] 坏数据，
[63:50.420] 的
[63:56.190] 号
[64:07.460] 的
[64:09.680] 数据
[64:11.210] 永远
[64:35.620] 刚刚你做。
[64:36.960] 了
[64:40.840] 谁知
[64:45.930] 我觉得他不太怎么为了这没有拿过这个东西，我就跟我找了2000块钱，
[64:52.030] 他想签四五万，新车买走了签4万块钱，结果不给你万块钱就
[64:58.890] 他不叫
[65:02.120] 加油大越大越8 29号还有
[65:06.400] 这得跟着是收了，要不说了，不知道，我超级着往上加了。
[65:12.050] 在家待了。
[65:14.440] 你知道我最牛逼什么时候把我手机拿走了？
[65:17.400] 我再给他打电话，不成我要去河北，我说你什么时候回来，两天以后稍等。
[65:22.230] 你两天了这。
[65:23.420] 等个两天以后，
[65:24.670] 我去不了你们电话，然后。
[65:27.080] 你上我家拿来，我说曹军家在哪？公益西桥一声，我说我认识好好，
[65:32.370] 跑他们家拉他妈司机。
[65:34.000] 那时候都吃俩手机吗？
[65:37.010] 这个是吧？对。
[65:39.670] 你知道怎么这么贵，下一步看看
[65:44.200] 你这里写出一宝贝写了一本，
[65:49.290] 哥聪明出来的。
[65:51.600] 准确，价格没出来，你得稍微等我去问一下领导行。
[65:56.640] 这就需要对还得多久我都不想，我都时间太长了今天。
[66:02.170] 你先
[66:03.800] 确定关键他们。
[66:06.200] 警告他们。
[66:08.780] 你把谁分享了购买，我跟他说
[66:14.120] 问题。
[66:17.550] 没了这一下。
[66:20.680] 了
[66:41.930] 胡经理。
[66:43.200] 应该是在那你稍等一下。
[66:47.570] 好吧，我不知道是谁在里面。
[66:51.530] 没有。
[67:04.560] 他要做空动的，他想要数厚点，然后中间没月还的，我看没有中间什么中间不用月还，就是全尾款的这样，所以我记得有这上面
[67:17.520] 那就是没有。
[67:22.760] 每月。
[67:24.000] 梅花500多，这个是对形式这样对。
[67:28.480] 三十六72473。
[67:30.320] 每个月还几百？
[67:32.710] 就36个月，每月还几百，只有36个月，就只有3个月就只能按然后他这首付是固定的，还首付是固定的，改不了。
[67:45.630] 中式
[67:51.660] 验车的有一个奔驰店能直接在他们那验车的住在清河那边是电商吗？
[67:58.550] 包括清河是啥秋和
[68:02.870] 介绍上看地图有个地图，
[68:08.060] 地图上面你看它切合方形，包括那边的方式便宜，我给他报17,800送4000块钱保险，
[68:15.590] 然后他说那边是一个7800是不一样的，然后他说那边1万送6000，他说我就想
[68:20.900] 你给你多加点5000块钱，你看把那些超市给我说肯定是什么方式，贴膜、记录仪、脚垫。
[68:27.000] 而它不香调。
[68:28.500] 还不行，要不他说然后就说说你这5000，我觉得他可能。
[68:33.780] 这篇是什么意思？就是说想花5000块钱买这4样东西，
[68:37.300] 把他送到保险。
[68:39.520] 他就说那就不用送保险了，意思。
[68:42.480] 35点什么成SUC260就是展厅这个了。
[68:48.000] 觉得是
[68:50.940] 他性无能。
[68:52.530] 张总。
[68:55.200] 现在太急了，因为没有觉得特别准一个价格，就像刚才我说的基本就是20万上下，
[69:03.130] 多的应该也多不了太多，我记得出头比较多的话，
[69:07.390] 然后具体就看您这边，比如说新车这边确定价格的问题的话，
[69:12.680] 我们这边到时候还会如果仍觉20万上下差不多的话，还得
[69:16.940] 试一下车，看一下您最终手术做得很尊重。
[69:22.110] 这就是是一个从我们买的是第二，在那个文件应该是咖喱粉其中最终一个看到，然后试驾车开品牌，
[69:31.670] 大树基本上20万上下，
[69:34.770] 比方说跟二手车这车别一会，这边还好了，我的预算不是任何事，
[69:40.300] 咱们这边车主。
[69:41.840] 好的是我就是这样，如果说特别好的情况下，如果说特别这个称号没问题的话，应该不会
[69:49.850] 说205,000应该是有这么一个范围，如果说咱比如说试驾车确实
[69:55.210] 咱就比如说他们有可能调调是什么，
[69:58.360] 就另当另当别论了这个东西。
[70:01.300] 这个东西就算您面上如果没有问题的话，
[70:04.430] 基本上就20或20万多，一期207,000的价格，
[70:08.560] 再加上3~5天，
[70:10.930] 3.21.4，然后在这就是
[70:15.190] 号
[70:16.220] 电话预算。
[70:17.620] 不是您他这个价格就跟新车了吗？有一个空间的有
[70:22.160] 的给你视频。
[70:24.140] 开一圈是发动机变速箱这些稍不稍等，咱们这边有好好的车，
[70:29.590] 车费优惠5万5万，最低对我给您算20 292,800-55,000，
[70:37.700] 30万23、7800、37,800。
[70:41.520] 火车就是加上7，谁知水缸
[70:45.750] 要是12,000都不够，
[70:47.520] 这车不可能过去这2万亿这就是
[70:53.230] 4万多，
[70:54.850] 保险5万块钱，
[70:58.920] 是不是咱们有现车？
[71:00.830] 我不知道西安这边要什么颜色，也没说他一直等着您，就车我准备。
[71:06.170] 应该不一定能确定有。
[71:08.480] 那边给您查一下。
[71:11.020] 你今天考虑定吗？
[71:13.920] 我用的意思可能就是抱歉，我自己买车我都当场去了。
[71:18.440] 自己弄的给我用了。
[71:22.250] 因为是这样，咱这边
[71:24.010] 比如说今天打算跟您确定就出来之后，
[71:26.860] 价格就基本上在三个工作日三个工作日才有效。
[71:30.680] 假如说您心里边本身
[71:32.840] 我超过这个周期，明天后天我都休息了，我们今天的好了，后天咱们再
[71:38.090] 然后这个价格当时是55,000，能给他们多少？
[71:41.760] 我不能了，我给您报个进一个底价了。
[71:44.600] 比如找人的话，您要认识我们领导的话，您找找问问他能不能再给您优惠点，我也更高兴您这边不用您说您来过还您，对您说我接待过您就行了吗？让我拆求咱能别了。
[71:57.630] 你要说明天他过来，你把争取走，大概给我带过来一本，对，然后我这边安排我这个是车什么，最终给定个总价，然后您这边如果说这个就要旧车没问题了，你得跟这边
[72:07.810] 新车头我都没问题，您该下车走咱们两把钥匙都在那，您忙着着，您来我还找他。
[72:13.990] 行，这么算下来的话，我估计我给他给我5000~1万的。
[72:19.510] 反正你问问我也不知道，因为我刚找人都跟我其他的哥们合作，其他哥们也是刚动车去了，
[72:26.580] 咱们给他弄车，
[72:27.900] 他们买的什么车，买了一个一汽。
[72:31.150] 您问问问题，第9款三人系公寓，所以满北京找着合适的新款没有？
[72:37.590] 我应该是我记得
[72:40.140] 我给他推荐第一排就是sl S
[72:42.490]  CS
[72:45.510] 他们要
[72:47.150] 觉得一期好一点，就开始先看看ss，后来他突然发现 A内饰
[72:53.300] 动力还不知道，
[72:54.460] 也还可以。
[72:55.560] 他这不是加上四氢氟村口纯钛量。
[72:59.690] 明白。
[73:01.360] 您打电话您行行对可以没问题，反正您看看你要是能有认识的关系，你就问一下，万一能多优惠对不对？
[73:10.920] 我也希望你能多优惠点，
[73:12.640] 你这样多优惠点，起码的你能买了对吧？好行不破就不客气，然后我这边倒是明天就给咱们打电话，
[73:20.900] 到明天再电话沟通好。
[73:23.610] 介绍一下。
[73:28.440] 这叫老爷。
[73:32.090] 你看看。
[73:36.090] 谢谢不客气，您说明。
[73:40.360] 没问题，咱们开车来的扫一张二维码停车，要不停车收费，在这边扫一张着。
[73:47.000] 你等等一下。
[73:54.340] 谁知
[73:57.100] 就送您一个小礼物是吧？我去
[74:00.480] 用微信正在上面也可以对人家扫一扫。
[74:05.980] 不行了吧？
[74:07.030] 不你得允许一下。
[74:09.340] 然后这块需要输入您一下您的手机号，给我几个验证码。
[74:21.040] 商业银行
[74:22.560] 红什么手机？
[74:25.050] 胡杨，好。
[74:30.510] 等等我打电话要看，行您登记上行，您说您电话我帮您系统看看。
[74:37.060] 1300.937618。
[74:39.710] 车牌号您说一下，车牌号是多少？13017806。
[74:45.760] Nasa
[74:49.220] 是FUF又是吗？FUC2
[74:55.110] 9三个2。
[74:57.710] 这号真好。
[74:58.900] 我跟过来。
[75:01.440] 29真，好，您这是自己倒买的早，那会说这送给您给小李给我说说，那行您慢走，感谢光临，再见。
[75:26.030] 谁交通费？
[75:48.410] 店
[75:55.470] 的。
[76:00.350] 了。
[76:01.240] 人家没有了。
[76:04.000] 说你
[76:05.030] 拓展游戏了。
[76:06.510] 我这边稍微
[76:10.890] 要包括了连接的。
