[00:00.000] 4:51，
[35:17.200] OK以后周三您回来了，咱们就过去办理手续就提车了，你要是周三再过来再定，您这还得再往后退。
[35:25.810] 而且今天正好我们赶上天这种活动，我们也不白来。
[35:29.720] 店里有活动，这不可能这价格给您了，对吧？
[35:32.810] 说如果你选模。
[35:37.100] 我们可以找领导去给您再问问，这能不能适当的给他再优惠一点，模式稍微再便宜点，你活动就是观摩不便宜的野花。
[35:47.220] 你这样怎么样？
[35:48.470] 我也很想抓紧就对，但是我得考虑到什么呢？
[35:54.800] 还有其他的因素我还没告诉你，
[35:57.280] 你就不要着急，
[36:00.570] 肯定我下个礼拜要把车定，您有什么顾虑吗？这没什么跟我的没关系。
[36:09.030] 好吧，有需要我这边办什么的，您跟我们小杨我。
[36:12.790] 就能帮您的，比如说找领导再给您问来问去。
[36:15.420] 对，我肯定到我今天没下这个下决心，我肯定让你去找领导去。
[36:20.640] 我看你也没说，你要说我就问问领导去，你那车卖多少钱跟小孩没关系，小良这个月。
[36:27.580] 派的任务数我心你要能赶上就帮你帮我帮您争取做优惠，您帮我们反正
[36:34.200] 没感觉这个月肯定给你赶上。
[36:38.300] 你们一个月销量我是这个月14，我们是用15台，我卖了14排了一个，
[36:44.270] 现在已经交完11台车，马上大家能在教我还能教三台车，然后您
[36:50.400] 最后一个任务完成了，已经玩了三天12，前天是6个了，我还得交3000车。
[36:55.480] 较周一台段来周三一台。
[36:58.190] 那车卖得挺好的，也不是说光着车他所有的车型的社交，
[37:04.910] 但是怎么样，其实就这么几个是吧？总量的其实就那么几个车，
[37:09.420] 好像说你要今天过来，你订下来以后咱们已经提出。
[37:14.050] 车他正好下周正常停车就方便了。
[37:16.720] 你要当天过来那一点点这边。
[37:20.070] 对你感觉方便我这琢磨。
[37:22.350] 您觉得优惠政策怎么样？我们家里。
[37:25.030] 实际上他们还有降的空间变化是吧？
[37:28.730] 要找领导来跟其他的病人差不多，
[37:32.670] 有的并
[37:35.050] 不断
[37:37.750] 我主要是比较还有一个户口的事。
[37:42.090] 后面两
[37:43.040] 还有维修老远幻想不还没哪个没感觉。
[37:50.080] 你就莫比了。
[37:53.620] 确定了。
[37:54.550] 联系你跟他商量一下。
[37:56.930] 什么还是封面都在家里看。
[38:01.830] 不想必须得知道，要不你原来到半天找了半天口上在后背贴着，
[38:08.550] 今天万能的双方非常然后这么麻烦。
[38:13.640] 行下午时间。
[38:30.710] 完了
[38:32.450] 你看看在这里。
[38:35.920] 260就是动感地带。
[38:40.190] 不一定有8个
[38:59.610] 了。
[39:00.440] 我就是活生生。
[39:03.330] 好，你问我就行，不要没事。
[39:09.340] 你觉得怎么样？
[39:10.890] 还行。
[39:13.670] 反正这座基本上就这个颜色。
[39:16.140] 我也是定下来，基本上就是外观的颜色了是吧？
[39:19.110] 您就看其实就是价格也可以，我们家价格应该也可以的，有点啰嗦。
[39:28.070] 而哪觉得不合适吗？
[39:32.400] 谢谢没事好吧，原谅我当天就跟您直接电话联系。
[39:38.680] 行，反正您到时候过来找我，就尽我能力就帮您去能有礼品有礼品，然后又有优惠。
[39:48.730] 还有。
[39:52.550] 等我回来。
[39:55.310] 下雨。
[39:56.400] 刚才下的是刮风，咱们
[40:01.590] 到时候开过来
[40:03.080] 再评一下
[40:04.240] 了。
[40:06.060] 没错。
[40:06.800] 你看出来我在上面。
[40:08.800] 我觉得那边也能上，穿着行上面服务公约是我们的可以扫描二维码在线反馈，然后
[40:16.970] 也车辆跟衍生业务都是有公式的，可以带您看看，跟我给您吃这电话您用的是吧？
[40:22.950] 什么电话？8484。
[40:25.340] 我看到就您的
[40:27.240] 怎么有一个。
[40:31.920] 你再收起来这边13901123933，我平时老开会你可能打不通，打不通，您您明天出差我也不打扰您了，对，我们会正常第二天做个回访，就明天
[40:45.630] 短信电话上午下午那这样我给您发一个
[40:49.470] 短信让你开会，明天上午10:00给您发一个短信，OK。
[40:55.490] 四周三你再回来是吧？那周二我再联系，您看周三你几点过来不要联系，我到时间我会主动跟你联系。
[41:02.620] 好吧，那也行好吧？好好。
[41:07.420] 今天有考虑把人定下来吗在这车？
[41:10.920] 晓得，我刚才跟你说了，后边的车他急着走，
[41:14.130] 我这样我完了以后再给你电话再说，好的好慢点，好。
[41:20.280] 小雨光临，谢谢。
[41:31.310] 了。
[41:33.160] 我觉得
[41:34.960] 悬着的，
[41:36.530] 后来没什么价格，不行没错，让你再找领导觉得开车弄的完了就可以看出的新的规定，
[41:44.910] 看关键问题，
[41:46.340] 肯定价格务求不买的。
[41:50.530] 中间的
[41:52.070] 用了
[41:54.700] 我想寄过去，
[42:08.320] 等我现在不理的。
[42:09.960] 我说你要带着问题咱们聊聊价格，你要今儿定下来对吧？我告诉你提出期怎么弄，
[42:15.510] 证明什么？
[42:18.160] 原因是因为
[42:19.530] 我中心进不去了，只能说不能定
[42:24.590] 等等。
[42:53.040] 对。
[42:53.800] 在不在？
[43:02.120] 行。问题。
[43:07.830] 了
[43:09.800] 大
[43:15.340] 优惠6万。
[43:21.370] 拿
[43:22.600] 还是3万保险3万装饰。
[43:26.560] 谢谢。
[43:30.240] 云里雾里。
