[00:00.350] 但是交通
[72:12.450] 比咱们要便宜一半。
[72:14.170] 应该给他们张扬气疯了的话，
[72:17.840] 然后。
[72:19.090] 他们说必须得拿商贸活动，咱们的
[72:24.500] 来个。
[72:26.320] 好勒。
[72:27.450] 拜拜。
[73:18.870] 我在讲说
[73:20.260] 我昨天说几分钟可以在这里还有看看
[73:26.340] 的客户手机客户是组成的，里边的马，你说你这拿走很多，
[73:33.570] 首先的话你得必须得把这个面好做了，明天房里面有一个首句，这是非常需要的。
[73:39.520] 比如说我这儿就特别着急的，
[73:41.800] 你这块的话会少一个归档的手机，
[73:44.890] 客户的电话，
[73:47.050] 到最后张给你，
[73:49.070] 你还有或者煤矿在约的过程在做，
[73:53.830] 比如说桌面了，刚才
[73:57.230] 上面的做到本身电厂了，想车无所谓，就是说
[74:01.650] 想这么干开心互联
[74:04.960] APP开通服务员。
[74:07.320] 那个也是您当天开通就章程开工。
[74:11.000] 你要不开通的话，
[74:12.740] 白老师
[74:13.990] 他管的开通吗？
[74:15.960] 他是开通也是要求当天开工的。
[74:19.280] 你后边再补的话都是
[74:22.030] 所以说
[74:23.820] 别都
[74:25.140] 客户说
[74:32.000] 都好几
[74:33.730] 完了以后，
[74:36.040] 谁知
[74:37.500] 他是分期的都签完字，
[74:39.630] 留一个签字的给您一个
[74:44.300] 送礼方式。
[74:46.560] 我今天已经把这个东西聊聊。
[74:50.840] 别放，反正这边然后他就不报。
[74:57.450] 谁知
[74:58.820] 然后后期的前面
[75:04.250] 蒋乐乐、
[75:15.320] 你什么事吗？
[75:26.200] 你没什么不用说了。
[75:30.190] 我跟他说还是乱七八糟一套东西都是都用带着行。
[75:48.060] 有时候又过来拿来了吗？还没饭。
[75:50.540] 我想你这身份证先用完了我就办理了。
[76:04.850] 当时我看
[76:06.980] 没有，您需要举着身份证拍张照片。
[76:10.910] 我看一眼生活。
[76:12.310] 房子。
[76:59.480] 一会你送给方式单的时候，
[77:01.280] 到
[77:03.320] 但是B了，
[77:05.680] 我动了应该就是好的。
[77:09.880] 没事。
[77:11.160] 不过我还得再从太古的
[77:23.640] 我去给你办临牌去了。
[77:31.230] 在灵牌。
[77:49.320] 等会儿。
[77:55.800] 来
[77:57.870] 了
[78:05.710] 装备不需要他们
[78:08.640] 他今天能把
[78:11.670] 一些工厂的工作，
[78:14.290] 他这一共4项，
[78:17.690] 摩羯
[78:23.240] 其中记录仪和电子狗，
[78:26.770] 谁知
[78:28.630] 比如说今天咱们感觉专项工作，
[78:32.710] 然后之后的和
[78:34.110] 咱们
[78:34.980] 有什么方式约的？
[78:37.570] 一般都会把这个月在电车的下午
[78:42.410] 上午去验车去，
[78:44.310] 下午样样车就往回走。
[78:47.230] 然后这边
[78:49.280] 约着铁马。
[78:59.840] 沃尔沃，
[79:01.040] 你这卖几年沃挖掘机？
[79:03.010] 一年半。
[79:04.740] 在之前
[79:06.610] 现在大众
[79:13.470] 大众、
[79:14.520] 上海大众、
[79:15.540] 一汽一起
[79:23.850] 不要忘了看。
[79:25.040] 看那算了几年我是
[79:28.550] 6
[79:31.800] 去年了。
[79:40.190] 突然电制度挺严的，
[79:42.030] 来电个方面流程都挺严谨的，
[79:46.450] 那就不能说是减了，那是相当严谨。
[79:51.350] 我那个岗位
[79:52.990] 后面还有更多
[79:56.650] 大力的要我们
[79:57.760] 建设
[79:59.140] 应该客户加强。
[80:02.890] 你这个要不你先说这个
[80:51.610] 数据、
[80:56.810] 数据。
[81:06.570] 数据。
[81:14.890] 了
[81:17.440] 的。
[81:23.890] 园区
[81:33.530] 以后要是卖车的话，可能有部分车型
[81:36.720] 就算上不了的，
[81:39.370] 尤其有些赶上刚上的车型新车型，
[81:42.670] 他还这边都没有备案信息，
[81:45.250] 不胖不可能出去。
[82:12.750] 这么脏。
[82:13.640] 因为
[82:15.690] 天亮的时候
[82:17.440] 不觉得好像真够黑的。
[82:21.590] 主要要没太小。
[82:29.010] 咱们
[82:31.940] 一般你交完税的手续
[82:34.430] 可能不着急验车的，
[82:36.500] 比如说你睡提前都交完了，
[82:38.740] 这个税都会在抽屉里开启的，奔驰来抽对吗？
[82:43.120] 你那个手续都在这里，
[82:45.710] 刚才你不知道交税那了，
[82:48.000] 比如说你这个车你交完税了，不是第二天都艳，
[82:51.840] 你交完税了以后他那交完了，
[82:54.150] 晚上或者说第二天上午手续会从那跑到这了，
[82:59.150] 就这大车距里。
[83:01.810] 那
[83:02.760] 有的时候你可能会需要用到其中的原件什么的，
[83:06.340] 就得来这儿找了。
[83:08.750] 如果去验车了，
[83:11.070] 验车你只要约好的验车，在验收群里面约好了，这手续是由这儿的夜景师傅直接带到电脑上去，
[83:17.490] 客户直接拿身份证直接分解到哪都行，
[83:20.680] 他几乎不是在这集合。
[83:22.510] 你们机会在哪地方？
[83:24.100] 我们店里检测少不了电容。
[83:26.400] 你们店里能验是吧？不是就是电视先集合再出发在树上。
[83:31.070] 等等人有的时候
[83:33.660] 退休好多约好6:00早上6点多，然后6点之前大家都到6:00吃饭，
[83:39.150] 曾经也是在这儿集合，
[83:41.530] 但是后来
[83:42.880] 麻烦在那挤不动，
[83:45.240] 除了裤子放屁还不如直接就点赞，今天是发展。
[84:04.690] 是。
[84:14.350] 牌照登记的对。
[84:17.020] 宋明理。
[84:17.960] 谁来办的？
[84:20.010] 手机号时要申请
[84:25.530] 看看比较放心，电灯太对店面
[84:33.400] 客户有的是在店里面，
[84:35.380] 有的住在电子，
[84:36.880] 改变里面的话，价格银牌是等于免费给他干，如果是不在电子件的那种是需要10块钱工本费的。
[84:46.300] 只能车票买一块在店里面，
[84:49.040] 你卖的说你不知道这车在不在店里面，
[84:51.840] 是什么？
[84:53.850] 上就自觉点，他不是在这验的，你就带着你交10块钱，你不光是跟客户要也好，还是你得到创业好，
[85:13.750] 你想在店里面这都有底儿，
[85:20.360] 能买这几
[85:22.670] 你说走外地是吗？
[85:25.480] 走lady走不了。
[85:28.790] 龙在北京。
[85:31.650] 偶尔你知道什么车能走，就是这种
[85:34.890] 恨不得到店里边，
[85:36.810] 那是最近的
[85:38.840] 走了点。
[85:40.040] 这车
[85:42.440] 就在这过生日了都。
[85:44.360] 大库存车，
[85:46.480] 或者说是现在店里面就着急卖的车，
[85:49.410] 或者说颜色特别葛的车，
[85:51.860] 你能问问吗这个？
[85:53.970] 对。
[85:54.950] 你自己不能做主，说这车能卖外地我不能卖，外地这能不能卖，都以这个
[86:00.950] 经理为准。
[86:08.430] 和
[86:09.660] 要
[86:12.210] 他标售全国，有时候客户也会问你这不写着可以售全国的吗？
[86:16.480] 我们可以卖。
[86:17.880] 原价
[86:21.600] 要是这一优惠7万，
[86:25.610] 评价可以，
[86:27.050] 也不是说不能
[86:28.640] 评价就没有。
[86:30.450] 你能接受评价。
[86:32.320] 可以这么理解。
[86:34.650] 店里边的话它是考虑到
[86:36.980] 可能上班律师厂家的考核里边有一个本地上牌业务，
[86:40.390] 他为了一两单去影响商品摊牌率，不知当年
[86:43.920] 除非这个车创立特别大，
[86:46.870] 除非这车创立特别大。
[86:50.190] 说
[86:50.980] 稍微影响一点上盘中。
[86:53.260] 差不多。
[86:54.710] 高利润还是可以的。
[86:58.570] 这事儿不能放二级，
[87:11.990] 不能说二级。
[87:13.600] 如何扩充？
[87:15.450] 真的。
[87:16.690] 对不对？还是相当可以，谁知
[87:21.500] 20元最高卖400块，
[87:27.050] 但是好时候那时候好像
[87:29.680] 不知道什么时候还能再有了，
[87:32.070] 因为现在厂家都别救了。
[87:34.360] 是厂家的任务量不高，
[87:37.530] 也就是说你想撒开了卖，但是好像
[87:40.920] 不想远道回见，
[87:42.750] 原则回去不用上那边上多少贴一个月
[87:46.750] 重建200来台贴吧，
[87:49.270] 厂家考核你就跑个200来台，
[87:51.680] 你也没有票，
[87:53.510] 你到月底的票要签的话，只能往下越走。
[87:57.500] 就开。
[88:00.640] 你们那拍上吗？
[88:02.400] 你们都还不够，老开不到。
[88:04.840] 不做了，每个月都得开票。
[88:11.440] 召开了加热带配了分开就是吗？
[88:15.440] 为什么还要开展？
[88:17.680] 你销售你要想算数的话，你要想算业绩的话，你能收上钱来他就能给你，
[88:23.850] 但是分期开不了税票，
[88:26.910] 分期你只能把全款的钱交了，
[88:29.360] 后头再给客户办长城宽带可以。
[88:35.610] 时间
[88:36.910] 常常把钱交了，要给钱了，
[88:40.220] 不行吧？
[88:41.750] 我不解，我想这有效，
[88:43.630] 可以拒收，你可以创一个预收款。
[88:47.640] 来你给我夏季
[88:52.590] 比如说定10个人，我卖了9个就差1个了，我要开个票，店里的任务够了，不让开了，
[88:59.890] 就不了，可以算缩量可以算算，但有的客户是着急开的那种，他要办临牌开走也是
[89:07.250] 就得把这配票开出来。
[89:08.660] 正常观临牌什么正常出保险可以了，有时候大约在卖发票，废话，
[89:15.410] 咱们别的很少有窗户，钱交哪了看一下。
[89:18.750] 开票。
[89:20.920] 明白客户的习惯就是不知道产品的彩票，
[89:54.690] 又是做面包的。
[89:55.760] 方便面。
[89:57.810] 然后谁知
[90:05.520] 三天之内谁知
[90:12.620] 说好了就行。
[90:14.270] 我这边就完事了，后期有什么不明白的随时沟通。
[90:19.390] 那车是向酒店那些先给您做上吗？
[90:23.130] 还是您就直接开走？
[90:27.430] 反正也不慢，二分钟二分钟20公里左右，您的记录仪脚垫和后备箱垫
[90:33.690] 是可以先做的。
[90:37.670] 看您
[90:39.150] 你要想下次跟贴膜一块做也行，因为铁门里约完车以后，
[90:43.350] 他不能先贴对开头一块做是吧？行就放我这吧，行，那就要对单子你给他送了
[90:52.450] 什么，他说算了的。
[90:55.710] 到那你就留着你干的，什么时候做不到，他一般都是登台帐了，就应该送一下登台帐，我该做你送过去。
[91:04.650] 不着急的，然后送过来，对，这是咱们
[91:07.460] 他有效期是15天的。
[91:09.240] 10~28号，如果过去
[91:12.840] 在外面他要把车开过来，他们班第二次在于它二手车过户时间，比如说他约登，比如说
[91:22.450] 超过这个时间了可以再续办，他每次是办15天可以办三次，你拿着身份证来找我。
[91:28.690] 对，周日办不了，就周一到周五怎么办？
[91:32.800] 好不好？
[91:34.550] 我带您去那儿喝下面。
[91:37.550] 这个伞您是对的。
[92:08.990] 了。
[92:09.800] 不可以我看。
[92:11.970] 恰到好处，千万不错，你看
[92:17.530] 谁知，
[92:19.940] 对，
[92:24.180] 谁知
[92:35.070] 您可以走长安街那边吗？我建议您贴上。
[92:40.960] 都得还是坏事，贴哪有我帮您贴包装，对这也不用反思一下了，有的交警就行了。
[92:58.490] 尤其是感觉那种价值直播的，
[93:01.430] 带着电视台的那种他要碰的话，他跟
[93:05.060] 12分不是接着上班，这个等于是然后
[93:10.750] 200块钱12分，你这300万上周四三
[93:18.030] 快乐我都盯一块了，这是您这套跟您说一下，您看
[93:25.080] 咱收款人是联名招商银行的银行验证码报价格上5万，
[93:31.770] 然后把这地方签字，
[93:33.810] 来了以后第一时间先去密码，然后再把这个日期不用写了，还有关键，然后基本上都
[93:40.410] 看好了，这边所有手续都给我了，商业保险自己睡着，
[93:45.120] 证件先不留，我约好以后通知您送一趟，随车工具齐全，车里没有任何个人规定处罚。
[93:51.290] 时间是我预计的是3:00，刚好整3:00，您看现在是2020年7月13号3:00，
[93:57.590] 这个点以后再有违章事故，您甭管了都归我处理了，你先要有的话给你打电话都得签字。
[94:03.310] 有没有别人典型这号没留的，是因为那块地方你来过签字，我们要怎么样？
[94:11.330] 他们查看了这样就是的签字，
[94:16.330] 谁知还得看看。
[94:22.380] 马上行，没问题了可以了好了指标都行，我就把钥匙在我这，对。
[94:29.880] 没东西做完了吗？没我马上我有个叔赶紧把钥匙给操作就行，我就跟您这样说，完了这东西也不多，对就一个。
[94:37.840] 您等等还有指标的对吧？
[94:41.780] 往往
[94:45.170] 您平时更重小时自动网站，你三天打指标是用哪个卡手机？
[94:52.800] 不太登录1370的密码记得吗？
[94:57.030] 不记得，我从来没登陆过。
[95:00.770] 登录摇号是给我媳妇要的，我自己没争取，没事能找回吗？
[95:08.160] 不对，意思就是您说
[95:10.920] 是不是您试试，要不就是
[95:15.270] 医药
[95:16.420] 要做大，
[95:24.710] 咱们
[95:26.030] 晚上他有要求必须得三没有什么都没有，他一定要有自己的打造协调要求公司。
[95:33.420] 对，他们平时就在刚才我去那儿，我当时
[95:37.620] 一直在
[95:38.990] 这边这两个市场。
[95:41.080] 这边他们
[95:43.220] 然后反正谁在你找谁评估中心，但是你优先找章士钊这个人
[95:51.230] 比较可爱一点，
[95:53.710] 然后你跟他沟通起来，或者说
[95:55.770] 他跟客户沟通起来都比较顺畅，
[95:59.300] 当时不在你再找其他人也行。
[96:01.520] 每个平时都
[96:03.280] 沟通方式聊的方式都不太一样，
[96:05.710] 性格特点太一样，你可以慢慢接触。
[96:09.850] 对，你好的。
[96:12.570] 二
[96:15.600] 110
[96:16.580] 1021970这是041208。
[96:20.890] 082车平时是张秀玲、1376刚才那条这是1584763
[96:29.590] 013701358484720710808337。
[96:37.680] 不知道不是吗？
[96:45.270] 谁知
[96:49.630] 三
[96:51.490] 上
[96:52.660] 0
[97:01.120] 我这么做。
[97:02.720] 你们的
[97:09.720] 能不能想到相反不会吧。
[97:16.710] 也没问题。
[97:22.220] 账号是用。
[97:29.000] 还有手机号知道吗？二
[97:32.270] 我自己您要您这个号其他的账号不存在手机号还是？
[97:41.620] 我没弄过。
[97:45.330] 它现在显示账号手机号不存在。
[97:50.870] 公司政策。
[97:52.520] 你没注册过吗？我应该没注册过，因为我没有号。
[97:57.670] 不行我要注册，你会去看吗？
[98:01.260] 对，你注册一下，我刚好有个票说一下行不行？谁知号
[98:09.880] 了。
[98:26.490] 110
[98:27.340] 102。
[98:28.750] 1970
[98:30.520] 1208
[98:32.110] 0833。
[98:41.890] 1370。
[98:43.330] 117
[98:44.680] 8457。
[98:48.890] 6份。
[98:50.040] 收到验证码。
[98:53.390] 98805。
[98:57.290] 密码我们这儿默认的就是小写的型加您的手机号。
[99:05.560] 数据。
[99:16.840] 坏数据。
[99:24.210] 坏
[99:25.340] 花
[99:27.630] 数据
[99:29.670] 数据
[99:33.600] 数据、
[99:39.240] 数据、
[99:40.840] 数据。
[99:43.190] 然后我特别保守，没有他等到时候给您做完户以后，
[99:48.780] 这二手车师傅每天都会上这上面看指标都没更新出来。
[99:53.450] 13701178457。
[100:05.020] 三
[100:33.250] 他说你
[100:34.810] 的
[100:44.400] 长按那个钥匙可以开。
[100:48.560] 说。
[100:49.660] 对。
[100:51.880] 但是关就得手动关了。
[100:59.390] 我帮你吗？东西多吗？
[101:03.410] 能拿下给他说一下。
[101:07.400] 把零头给你贴上了，还是您帮我先生？
[101:47.630] 看什么并。
[101:48.790] 对。
[101:51.560] 怎么看出来的？
[101:52.830] 怎么看出来的？
[101:55.120] 没有反映我们主要进入
[101:58.730] 有无奈这种，
[102:00.320] 有300是五院。
[102:06.160] 有感应的。
[102:07.450] 对，没有感觉没有电尾。
[102:09.570] 他做的。
[102:12.330] 还有它不是柏林之声音响，
[102:17.870] 还有一个就是他没有后排座椅调节，
[102:20.880] 高配的有后面还有调节。
[102:24.330] 还有张连一下走是吗？
[102:27.200] 来一会儿一会儿。
[102:35.390] 但配置性价比最高。
[102:45.130] 一现在只卖20块，
[102:47.480] 一现在只卖203。
[102:49.770] 什么叫不对？要是这么着了呢？
[102:52.410] 谁要那个车得要那个车钥匙是不是在张师傅那他给您了吗？刚才？
[102:58.630] 拆了。
[102:59.870] 给了您一把拍了。
[103:03.070] 反正我都看见了。
[103:04.770] 掉了。
[103:07.060] 对太忙。
[103:13.410] 1819块
[103:15.860] 全
[103:17.020] 听说了。
[103:21.910] 奔驰的车
[103:24.390] 换的特别快，
[103:25.660] 版本也快，
[103:28.410] 隔两三个月就出一个版本，隔两三个月出一个版本，有可能价格会调，有可能配置会调。
[103:35.120] 但是
[103:36.980] 他没有这个习惯，就是说同时兼卖
[103:40.610] 很多版本，
[103:41.860] 基本上都是上一个版本都清的差不多了。
[103:45.010] 对，偶尔会出现这种版本交替的时候，但是存在的时间很小，好了。
[103:50.400] 这什么行驶本就没有了是吧？行驶本咱要玩车才有，对，就是说等于这临牌都应该没问题了。
[103:55.860] 保险生效的也有灵牌，您这车正常合法上诉，因为保险我是
[104:00.520] 是你告诉什么时候拿？
[104:02.130] 保险在我这到时候保单统一给您交接，要是有的事我再找您联系，给我打电话就行。
[104:09.210] 对，咱们现在是正常合法上路的，要保险就生效了，临牌也都生效了。
[104:14.960] 我出去行吗？我给您说一下行车马。
[104:54.570] 着急超越帮我录一个全民马冒出一个什么码？
[105:44.070] 走往前走。
[106:07.730] 他这套手续
[106:09.320] 是可以交的，因为是全的，然后哪是缺点？
[106:14.270] 一会儿
[106:15.300] 咱俩捋一下手。
[106:36.950] 功能特别好。
[106:40.330] 走。
[106:46.070] 还有吗？
[106:47.810] 是哪一个？
[106:50.830] 你的胸是怎么看那么棒？超市买。
[106:56.490] 我就是想表达一下，
[107:01.080] 的
[107:02.550] 谁知
[107:05.850] 的
[107:06.740] 的。
[107:19.040] 就早班我快上玻璃了，我发现。
[107:21.660] 你怎么着你能我怎么着我也不行，不对千错，万错都是我的错。
[107:27.820] 你妈后就折起来擦，谁会注意这个。
[107:38.350] 不然。
[107:39.990] 说
[107:43.160] 你要是直接到哪你在哪？
[107:50.750] 在路上。
[107:53.130] 上。
[107:54.200] 好聊了。
[107:59.840] 了。
[108:19.100] 柯总辛苦调过来了。
[108:21.640] 进场
[108:28.710] 刚刚发布了。
[108:30.900] 弄完了之后。
[108:32.240] 是吗？
[108:37.580] 也
[108:52.360] 完了
[108:54.220] 马上
[108:57.410] 已经接触，
[109:18.010] 他那个车平时都是死我反正不看行了。
[109:22.920] 到我
[109:24.770] 有一个除了这两个的时候走向你把那个房子谁知
[109:30.060] 谁知
[109:31.060] 然后完了
[109:32.780] 在上面又给他讲解了，
[109:42.490] 可以吧？
[109:46.210] 加上了为国家让。
[109:48.920] 你说。
[109:52.550] 左右耳朵怎么调，他在。
[109:55.640] 我下去了我找。
[109:58.550] 开了可以了。
[110:17.750] 他每天的录音的数量，
[110:19.760] 跟你接待开卡的数量
[110:21.830] 必须得一致的，也就是说你前天OK拍了几
[110:25.280] 拍了几个信号，
[110:27.040] 你就应该有几段录音。
[110:29.230] 我刚才白老师说我昨天差两个录音，
[110:32.790] 一个
[110:34.550] 这客户卡开了，Q已经走，
[110:37.240] 等于说是一个位接待。
[110:38.800] 还有一个是因为网络的原因，
[110:41.020] 没有及时上传，我说找他说一下，
[110:43.850] 要不然一段1000块钱，
[110:47.540] 你钱赔
[110:48.690] 哪些客户支付就5000卡，然后今天1%。
[110:53.050] 对差不多平板都是自己的手里拿着，或者说你跟前台也行。
[111:00.090] 但是它平板的话平时得
[111:05.020] 自己擦这脸丢了。
[111:14.480] 这个看到了吗？
[111:15.810] 左那个是整个手段
[111:19.770] 画的。
[111:20.600] 对，然后再上下水一条。
[111:24.300] 右边对应的是右边那个，
[111:26.100] 然后挑好了就不用管了。
[111:28.130] 手动的别人用手机拍就行，好勒谢谢没事有效您说一下。
[111:33.570] 然后关于车辆使用什么的，有的不明白的，刚才那都是挣钱不给你游戏。
[111:37.950] 对，他是负责讲解的，给他打电话给。
[111:40.890] 好好勒。
[111:55.530] 咱们
[111:57.640] 唱歌
[111:58.890] 有88千米、
[112:01.430] 8000米。
[112:02.580] 不对。
[112:03.490] 公司要公布
[112:05.130] 公司了，
[112:06.440] 不够了，
[112:10.340] 但是你跟分期了，你要得到下午
[112:18.030] 那是反正反弹快乐。
[112:21.770] 190。
[112:26.450] 还要按彩铃，消化道他也不是
[112:30.480] 这样两年严格按照流程去，那都是
[112:37.420] 以前这我讲的现在也
[112:39.360] 不说也不提讲这些，
[112:41.090] 高兴了就给你发个讲也不高兴，
[112:43.920] 就得满分你就应该到了，
[112:47.690] 但是得低分
[112:50.040] 就又复杂，只有处罚你们那里拍吗？
[112:53.240] 那也有啥项目？
[112:55.750] 一次花8000万你们罚的更多。
[112:59.450] 看看那个地方，然后我看到了我们那很简单，还是
[113:05.260] 你看流程支撑的标准，
[113:08.170] 肯定他招的。
[113:12.750] 的。
[113:15.170] 深圳的差不多。
[113:23.050] 为
[113:25.010] 为。
[113:28.170] 我说
[113:34.680] 你好。
[113:41.640] 哪个配置？
[113:44.370] 你长了一不一样。
[113:46.160] 不知道吗？
[113:47.760] 是时尚版是吗？
[113:51.250] 上班。
[113:52.720] 一三百的时尚版，
[113:54.880] 谁知
[113:56.750] 叔想他不叫资金响，叔想
[113:59.470] 一样对舒享的指导价是40，
[114:02.840] 那是40，
[114:04.770] 指导价是499,800，那车现在优惠75,000。
[114:10.000] 424,800，
[114:16.040] 话
[114:17.560] 很难差的还挺多的。
[114:20.340] 他差一个玻璃之声音响，
[114:24.960] 差一个。
[114:26.500] 差一个，你要选立标的话差一个座椅通风，
[114:29.920] 然后差一个
[114:32.080] 后排的座椅调节，
[114:35.960] 还差一个电尾门，
[114:38.270] 就带感应式的电影，就带脚踢的感应式电尾门，
[114:42.410] 时尚的实际上是没有电尾门的，还差一个后排遮阳帘。
[114:48.230] 对。
[114:50.790] 对，如果性价比来讲的话，其实时尚的性价比还挺高的，
[114:54.100] 但是确实配置差的挺多的。
[114:58.440] 差的了4万块钱，我差不了优惠完了应该是
[115:06.880] 3差3万块钱。
[115:09.840] 对差不多反正。
[115:12.370] 好好勒好勒得了拜拜。
[115:16.020] 好来有需要联系可悲。
[115:19.510] 录音是这样，他昨天赵烨。
[115:22.420] 他直接报。
[115:23.070] 一个不是，他是直接开了卡了，我知道是哪个美女。
[115:28.120] 我去看不是李女士，
[115:30.540] 你少的时候李女士，
[115:32.350] 其实像这是老款了，早就有了2000。
[115:38.100] 是这样。
[115:39.740] 19年就是22年。
[115:45.120] 没错，我照去年。
[115:47.560] 多少号电话咨询还是着急走吗？
[115:50.630] 有位20接手吗？
[115:52.120] 应该是客户这边，他当时情况的话是今天就进来了，
[115:56.900] 进来以后的话他就给我开了一张卡，赵烨开完卡以后的话，
[116:01.940] 马上就说不需要了，转身就走了，但是我那时候录音已经打开了，这是
[116:09.860] 金钱的时候，
[116:10.900] 我这一条也没有今天，
[116:12.600] 不是今天上吗？反正是有这么个先生，等会我找一下李女士。
[116:18.230] 你少的是这个录音。
[116:20.450] 你听我说完吗？
[116:47.590] 没说，说一会给我发一条短信，
[116:59.630] 让存一七百六十块钱。
[117:01.300] 说
[117:02.510] 他都打
[117:04.570] 回报电话以后同意吧？
[117:08.650] 我备注了一个为接待客户，当时进来以后，
[117:12.190] 有些人进来以后他说不需要了，但是那时候我的录音已经打开了，
[117:15.850] 等于说我得那里边的刘先生李女士我就没再关这个录音，因为已经开了录音了，随之刘先生就是李女对着李女士的话是我约来的二次，等于说他跟金先生正好占两边一边一个，我说我确实客户正好要刘先生后面还有一个马女士，
[117:36.220] 马女士是位上传今天上海的
[117:42.550] 有，我看那差俩，一个就是多开了一张卡，一个就是未上传的，但是你16:10
[117:48.370] 3你就4分钟。
[117:51.140] 哪个4分钟？
[117:55.150] 你等于平米的接待时间是能对上的。
[117:58.180] 刘先生。
[118:00.270] 但是录音室他是没有录音的，
[118:02.790] 他的录音是没有的，他的录音是后面李女士上来，我就直接去他你李女士你就录了4分钟是吧？
[118:11.510] 你律师怎么弄个4分钟？
[118:13.340] 因为这就是你如果说这段录音是李女士，你就相当于只有4分钟的录音，
[118:19.560] 我有一个超长时间的是黎律师，
[118:22.900] 你对不起，没有超长时间。
[118:29.750] 我想捋一下，
[118:31.750] 你李女士现在显示的到店时间是4.5，
[118:40.080] 4:50才开的卡。
[118:43.540] 4:50什么时候结的？
[118:46.260] 你这是为解卡。
[118:50.000] 你就没有结。
[118:51.260] 这早上照例跟我说的没有截的。
[118:55.110] 可是李女士就是跟先生是同时到的，
[118:59.460] 我的录音要录的话就应该路，但是你那个录音你给结了，
[119:04.680] 你不是没接上，没接上你就直接把录音机给关了。
[119:10.240] 我就没再开女士，对没有路。
[119:13.750] 李女士是一个二次，因为那个时候特别混乱，仗义都开了卡了，但是现在马上就要走，
[119:22.450] 我这录音可能就混乱了，
[119:26.730] 但是我数量是对的。
[119:29.170] 你数量少一个，
[119:31.600] 这里边你是8个客流，
[119:34.950] 但是你只有7段5年。
[119:47.120] 你看是不是？
