[00:01.990] 沈阳接待首次现在开始。
[43:25.010] 办还能选择这有时间，
[43:30.150] 但您要这台车不定，再等下一个，你就可能等的时间会更好了。
[43:34.720] 弄多长有多等10多天没事。
[43:38.460] 合适，但不是您这个的别可丁可卯了几天了，完了办手续您开票，
[43:44.690] 抽保险还得然后办临牌，办完临牌您在交费，验证您这车您这指标得等到验完车以后才行。
[43:52.750] 是。
[43:59.950] 刚刚
[44:00.760] 那个东西
[44:03.110] 不会的。
[44:06.010] 如果偿还你有奖励吗？
[44:08.860] 阿姨都一样的阿姨，咱们的全款分期不一样，不影响整车价格，您要是分期我们能给您申请点多有点优惠。
[44:16.190] 分期还有优惠，对，可以多给您优惠点，可以看的金融产品
[44:22.280] 金融部门会有点支持。
[44:25.650] 全款都一样。
[44:27.530] 现在贷款反而有可能会
[44:31.050] 的。
[44:32.490] 他有的那是零零利率，它是收水费也是一样的，对就看他的。
[44:39.440] 但是宝马应该是右手对他有利，没有我们
[44:43.610] 我们也不应该也总包括经营，
[44:47.530] 但是没有他是有手续费，没有利率。
[44:52.810] 对。
[44:54.440] 行业
[44:55.670] 50%。
[44:57.530] 行吗？
[44:58.770] 50%可以吗？可以。
[45:01.320] 5万在三年刑
[45:07.280] 三年两年，现在到了你要是贷三年的话，你
[45:10.860] 它这个是2.9，你就不如走银行了。
[45:13.550] 是吧？
[45:13.910] 您要两年两年的
[45:17.660] 2.9。
[45:18.840] 真是那就不准，对两年2.37还合适点或者。
[45:23.560] 分期吗？首付20袋20，
[45:25.920] 加上税保险上牌给交到25，利息一共是9600。
[45:30.230] 哪一种方案的话你可以走工商银行没有手续费。
[45:33.440] 3年5年一共15.5，相当于一年3.1个点，
[45:38.020] 然后您还可以没有违约金可以随时还款，提前款都行。
[45:42.200] 个工行也行可以吗？这样来说你更合适，将近三个点左右我推荐也走赢了，我是全款合适是贷款。
[45:48.830] 看您这个钱
[45:50.280] 不想都用在车上，您就分期就可以了。
[45:52.860] 对吧？你要说您不是对于你的政策，你觉得哪个我们希望您分期。
[45:59.050] 完成任务大家都一样的，有能说什么，对，如果我全款不是我要分期，你可能还能送我点什么，如果全款那就这样你就什么都不做，对，但是我们也本着您并不是说我们任务就非得施加到您这，
[46:13.550] 您觉得合适已经说不可能可以不做，这都没关系，三走工行不是走走招行的，
[46:20.550] 没有手续费。
[46:26.520] 消防没有手续费吗？
[46:28.590] 不是，您刚才说招行账号是工商银行没有手续费，然后有利息是工行，不是招行、工行、工行，然后5年一共是15.5个点。
[46:38.220] 相当于
[46:39.200] 一共相当于一年差不多313一年差不多三年多。
[46:43.560] 三然后您可以提前还款，没有任何违约金说这车我还一年我不想用了，你直接都给他还了，
[46:49.330] 然后您要花一年的利息，那圈贷款的话你都送什么？送保险，我争取点东西送点保险，保险这都但不会特别多，一两千块钱也就这样，我还以为你保险全送哪能
[47:01.150] 传送员要诚信三一年三个点，我相当于三个点不少也不多，但也不多算了，你这个带算下来不应该二点三几的，我是2.37，这是奔驰金融，但是您得待两年，然后一个月还大概是8898，
[47:18.210] 然后利息一共是96379673，
[47:21.720] 三公开费你就送了一部分保险，
[47:26.700] 送您一点
[47:27.930] 一点，因为说实话这个车本来就没这么大的利润就能给您的，也就是稍微金融这方面支持一下，因为可能您毕竟是
[47:36.240] 你自己再没了。
[47:38.450] 没有了，其他不对。
[47:40.640] 年多配一点也好，而且那车下班还能有优惠吗？没关系，阿姨会先给您算完了您先看看，觉得合适您要想定我再给您申请，毕竟我的权限在这。
[47:51.740] 还是一样，刚才跟您提到的服务公约所有报价内容都是明白没加？
[47:56.540] 您带着眼镜，
[47:57.920] 所有报价内容都是明码标价，公开透明，绝不可能有销售强制消费，全部产品在这里，坐等号400818188你可以监督我们。
[48:05.940] 然后刚才跟您提到了没有任何服务费，没有任何捆绑要求好吗？
[48:10.380] 你上班必须得，这没有阿姨都可以自己办。
[48:16.790] 这块可能打电话说的必须得跟着上牌，必须还得原来都是好多自然店不是直接就能带牌了吗？
[48:23.580] 等待凡咱现在咱们4S店里没有办个临牌来说还可以是吧？对。
[48:29.310] 没有，因为我跟您读完了，就是那些
[48:32.340] 我们的一个服务接待的
[48:35.740] 这个是全国统一模板，有报价单给您做一个报价。
[48:39.160] 冀fc然后
[48:41.040] 二六三百二八动感行，然后厂商指导价是三四149,800，
[48:48.090] 你给我做一个全款的过渡，一两年的，因为三年我觉得利息有点高，我们阿姨我都给你做完了，您看我一会您听我给你解释，加上C320动感型黑外棕内，
[48:58.410] 颜色不一样，种的价格都是一样。
[49:00.200] 449,800，优惠42,000，优惠完了应该是407,800，购置税国家统一征收的3万块钱的税，
[49:08.060] 验车你要考虑在这里验车，我们收集2500的费用，是如果我们验收也是这个价钱吗？
[49:13.840] 您自己去验几百块钱，有什么说什么，但是我们为什么要收2500第一呢？
[49:19.320] 包括提前的消费验证，包括验收的过程中，您只需要负责开着车，所有的手续都是我们办，所以我们有一个服务费用在里面，对。
[49:27.320] 你要说这少我们一点都少不了，你要说要不然您就自己去验去，这都可以。
[49:32.510] 然后装饰这一块给您做一个可选13,800装饰，但这个没有任何强制要求。
[49:37.730] 可不做您觉得合适就行了，叫什么？
[49:40.990] 全车的威固贴膜，狡诈和微信上记录仪都有。
[49:44.400] 什么技术隐藏式记录仪行车的，
[49:48.920] 然后狡诈后备箱盖就是常用的一些东西，还有个3M镀膜再没了。
[49:53.360] 贴玻璃黑膜，对全捉焓前途，还有一个胶质瘤暗藏的，对然后狡诈后面下面记录仪狡诈和不相见，然后加个塞什么脚踏板它是自带就有了，300动感踏板本身就有了。
[50:09.060] 然后保险公司我们下面有人保、平安、太平洋
[50:13.080] 这几个是合作的。
[50:14.460] 如果说下面险种您都差不多上，选用上基本上是在12,000左右，
[50:19.290] 但您可以自由选择，比如说我就上个车损上三者上个不计免赔OK没问题，下面你都不要都可以好吧？
[50:25.650] 这样办齐了是458,000，
[50:28.010] 然后如果您做13,800，中市办齐了差不多47。
[50:32.070] 然后下边是给您列举了一个金融方案，是按照这个价格407806首付20袋，20 24期，
[50:38.930] 利率2.37，一个月还8000多，
[50:41.840] 利息一共9000多，
[50:43.400] 就是这样。
[50:44.410] 然后所有方向内容门口都有公，是您这有需要可以看看，然后您看整体价格上有没有什么其他问题不清楚的，我再给您解答一下。
[50:53.700] 我就是买了车，我自己上孩子我自己上班都可以，没问题，您没有任何想了解，我们现在还可以。
[51:03.420] 现在
[51:04.750] 验车可能
[51:06.880] 这个可能费用高一点，对是吧？
[51:10.290] 廉验车上牌这都是你们
[51:13.840] 验车上牌的过程中只需要您负责开车上班，是不是也都含在里边了，所有的服务费都含在那边。
[51:21.060] 如果我要上牌的收费可能基本就上来
[51:24.430] 了，我自己应该是五六百块钱，您自己办完了，但是您得提前去交个税，去税务局交个税，
[51:31.860] 然后再约个验车地址，推荐过车就OK了，我对可以考虑，我可以这些都不需要
[51:39.910] 本人去。
[51:40.910] 本人去，他说可是还是得本人去，不需要个人去，这不是车主是谁，我到他是他我的号不像你们都这样，然后您带着您的身份证就行就OK了，现在都能我们就去一个人跟着就行了，
[51:55.550] 但却有人跟着就了，那就完了，谁知儿然后拿着车主的证明我们周六周日行吗？
[52:04.160] 不那不成，只能周一到周五，因为这是国家部门去外面走走。
[52:08.740] 没办法了。
[52:11.280] 我不给你这座位上别人给你做去是吗？对，而且您再跟你做的话，我可以给您相应的再多点优惠，这个没关系的。
[52:19.090] 反正这病确实不低，但是这个没关系，你要有疑虑，我可以给您再给您申请，争取把这个利润给您磨平就行了。
[52:26.070] 然后这样营业额是我们也稍微走个量，卖个车就完事了，这样您也方便，其实说实话你从外边做你也不知道这东西真和假，你会收到电话，您说出嫁还那么多的优惠，
[52:37.300] 您看您阿姨你全家这全价是吗？
[52:40.360] 449800优惠42,000，我觉得差不多了，您要是说您还有疑虑，谁知
[52:45.630] 我已经从去年等到现在了，去年从年初就是42,000到现在还是42,000，现在买这车好，现在你要买加C260，我们家有的车优惠来说还是比较多的，我就看中这款车了。
[52:57.350] 而且我现在关注的已经是一年了，我走春节他就给我打电话，你们你刚才查的
[53:06.240] 一直专卖打电话，一直打电话沟通，我就等着价格，现在我没想到到现在的价格没动，
[53:11.920] 收回来了也不算收了，因为销售其实说实话他很平稳，
[53:16.000] 您之前买的时候33万多，我们也卖过，2万多也卖过，现在4万多基本上就均衡一直都是4万多了是吧？因为我跟他说我他说你还有什么的，反正就是价格问题，您这样
[53:27.080] 综合比对一下，你看他成交条件有没有什么变化，比如说验车你这关系这个代表，如果你要考虑在店里做个装饰，我都一定对，你要考虑再做了，我也可以
[53:36.520] 考虑，我说我可以你给我时间考虑这俩。
[53:39.180] 您就是想定下来吗？还是说回头您再商量商量，再看看宝马去
[53:43.730] 有没有什么其他顾虑，我先看看马，再一个这价格我还是有点顾虑。
[53:49.560] 我明白您今天还是有一些其他方面因素在里面，所以说我建议您
[53:55.240] 因为要关注的，你看看第一直接就来这了，关注已经给您了，您这有什么吗？
[54:00.400] 还有当然就是价格还是价格，这价格就可以了，市场价这就是市场价，因为现在价格也非常透明，你从网上了，
[54:09.570] 您再看两家店，您就知道现在车灯优惠了，而且包括我们给您的资源情况征求到综合考虑，我想次
[54:16.760] 的
[54:17.600] 头春节你们原来打电话，我们刚才你查叫什么凯，我们俩一直在沟通，现在我还有他微信呢，
[54:26.750] 我就觉得这个价钱他说送完了，我觉得能不能再低一点，完了以后我一直
[54:33.060] 一直撑到现在了。
[54:36.530] 行，也差不多，您都关注这么长时间怎么说您也都满意，你要是确实说今天因为你赶上周六周日现在有点活动，包括资源情况也给他给您看了，
[54:46.550] 你要考虑定下来。
[54:47.960] 我就现在给您问价格，如果您还没有考虑好，说我还要再比对一下宝马。
[54:53.700] 没关系，您现在就去闵庄或者离近，您先去看一眼宝马去。
[54:57.960] 如果说看完了以后说您还想去奔驰，
[55:00.510] 咱们再联系说价格我再给您申请您的照片，我再给您问，觉得合适您就交个定金，然后把他留下来，后期等到了半小时，
[55:10.590] 如果说那边更好，你更加倾向于特性，您就选择宝马就可以了，好吧？现在我那时候也是比价格，因为你现在老百姓不咱们关系不就是价格，一个是我选择我喜欢这车型我就订这车行，
[55:24.430] 最关心的不就是价格吗？
[55:26.280] 是吗？我又不是大款，多少钱我哪提车就走了是吧？
[55:30.250] 所以这个
[55:32.410] 既然我喜欢这车型，我关心的最关心就是价格，那问题您这儿的心里有一个数着这棵到底能优惠多少钱您能接受？
[55:41.210] 可以，因为我现在关注了您在现在让我半年，我等了8个月了，你还是我心里惊
[55:47.380] 说明一点，也不是说您白等，说明这个数还是非常保值的。
[55:52.440] 您去年今年买的价格是很平稳的，比如说您去年你看其他的品牌说您看完以后说去年优惠5万，今年一开优惠10万，说明什么他买不好。
[56:03.390] 好的，这就是这样，而且现在我也比较了，以前我一在其实家里头车管说实在的车哪个车都减肥，
[56:12.750] 配置都剪了，你为什么价钱下来了，你给我看的课型经济型了，
[56:18.930] 他还低了，因为它配置减了，配置捡了一大部分，对你为什么下价格，他不可能你配置你都剪下来了，你一开始就得起来好几天，
[56:32.000] 但是同时也是一样，您说的
[56:35.120] 我都赞同您的观点，
[56:36.720] 其实每个厂家也好，包括您自己做生意也好，其实很多东西大家说是什么？
[56:42.380] 第一我能保证我所有东西
[56:44.740] 能承诺的东西全都给您的同时，它每个中期都要做一些贷款，他改改完以后他肯定要
[56:51.650] 增加一点东西，同时有些不需要的东西他会做一个简化，因为它也是顺应大众的一个整体需求。
[56:58.250] 所以说
[56:59.400] 他随时都在更新都在变化，像您说减肥也好，增肥也好，只不过是什么样，它增加的东西第一能让您觉得
[57:06.410] OK配置有这个东西对于我来说是好的，这是大众需求的，所以他才会这样去改变，但这是厂家的关系，我们只是经销商，我们也不管这些东西。
[57:15.270] 你比如说
[57:17.280] 以前他是配置的东西，虽然他选配了
[57:20.340] 却非得加钱，因为我彩页上你看我去年是前年的，因为我关注这车，原来我没想，因为我想去换没想着好了，我想吃饭的时候我就关注车，就不是这个车是K假如看放到
[57:38.430] 对我这丑舅舅看看去，那不好看我那个好看。
[57:42.720] 其实这个小选配这边有些是标配的，它必须选配你这下钱肯定就下来了。
[57:49.880] 对而且原来我拿的彩印也是C300彩页比这价钱还要高。
[57:57.210] 对他肯定配置还下来减去减配了，所以它价格你看着
[58:02.120] 原车的比原来那报价D他肯定是配置，他不可能给你
[58:08.730] 这车子降价，我觉得他还是配置减下来了，因为现在我没看见现在的卡片，
[58:14.040] 一项一项比，因为了我经常爱看汽车之家，那里边的一项一项对比，哪个点的哪个。
[58:20.920] 行，您刚才看看再考虑对比一下，然后回头到时候您这确认好了，说你想用车
[58:26.460] 都满意了，然后没什么其他的顾虑了，到了咱我再给您问问能不能再给你优惠多少钱好吧？
[58:33.130] 行，您放心都没问题，然后下方有一个二维码服务公约，在线调研，到时候回头您用微信，不用您先忙您的，回头您用微信把我们扫描反馈一下就行，好吧，谢谢您，不是吗？
[58:45.190] 现在您要是方便，您现在帮我们扫一下也行，后期让您做现场一个问卷就行了。
[58:56.470] 还有手机。
[58:58.080] 没在昌平。
[59:02.110] 然后因为阿姨留了电话应该是您的。
[59:05.570] 对，然后明天得给您做个回访，您一般接听上午方便，下午方便。
[59:12.320] 我也不好说没问题。
[59:15.350] 后期的话短信微信电话到时有效性。
[59:18.320] 牛微信扫一下。
[59:20.650] 我说你们干什么？来，要不您试试。
[59:27.190] 开始
[59:28.760] 就证明咱们店里没有任何捆绑强制要求，然后咱们先不用留就行了，
[59:35.400] 然后选择
[59:38.250] 应该是选择北京。
[59:41.530] 对，选择北京。
[59:43.570] 还是北京？
[59:46.940] 然后选择咱们百得利之星，
[59:49.410] 应该是这个对观众。
[59:51.910] 然后下一题一开始答题就行了。
[59:54.530] 简单看看。
[59:55.920] 就证明咱们这所有的像那种有没有捆绑，有没有研究一下？
[60:01.630] 妈妈对，您看一下OK了，别都付，有的还不一样，
[60:06.730] 这时间长不长，我们要把时间放在这儿来，你看一看基本上
[60:12.650] 对你挺满意的，因为你说干嘛，其实因为晚点其他没有单独的压力越大，
[60:17.200] 我分期是不是有国外优秀优惠，或者说周六有周日没有，经常可能出来有点费劲，咱们以后咱电话都看好没问题，105,000万，
[60:28.590] 因为我们有390,800，这是75,000的现金，
[60:32.590] 然后购置税大概是34,500，
[60:35.160] 然后验车2500，好了，谢谢。
[60:39.320] 可以了。
[60:40.250] 行，您先忙您的留个电话，我稍后给您发一个短信在手机上，到时有问题那也行。
[60:48.180] 这样有问题您再随时沟通，360要是我以后讲的话，你们家刚才那电话吗？
[60:54.230] 435,000，这就是全款。
[60:56.600] 下面的价格
[60:57.920] 优惠相当于7500，一个1.75,000加上5000点。
[61:03.990] 中国13601219063，
[61:09.730] 90632。
[61:11.460] 从这两天接电话没事就了。
[61:14.310] 但是这个方案是于行期间按15号才刚开始一个方案，
[61:19.680] 这个方案是我就打139的电话没在家，就是说
[61:25.510] 说取消就取消，
[61:26.840] 所以说取消就没有这个方案，好了，通过了到时候您通过一下就OK了。
[61:32.510] 行了，那走吧，您找页码，您来看看宝马，我有现成已经申请了，一旦批准了，
[61:38.610] 不管是18天还是29天，就一个月内然后就正常了。
[61:44.610] 通过这个方案的优势在哪？我给你一说就了，总共50%，
[61:49.340] 带50。
[61:50.280] 它俩加起来是
[61:51.800] 30 908，然后二十四七固定的就2478140你能给我就是一个单子吗？单子可以给您您带走，但是价格都是当天有效，过几天价格就发过邮件了。
[62:06.830] 当时您还看看一直在
[62:12.670] 24您的赐稿。
[62:16.190] 妈的站在这儿好吗？一会好好。
[62:27.450] 少买了车
[62:32.390] 场、
[62:33.940] 花
[62:37.710] 五
[62:44.450] 远。
[62:47.350] 给你打电话
[62:53.010] 了。
[62:58.630] 对
[63:04.510] 两
[63:09.530] 下面
[63:12.510] 把车子
[63:22.800] 微信
[63:29.890] 对
[63:34.330] 要。
[63:35.840] 是吧？
[63:45.840] 没事慢点。
[63:50.880] 好久不联系了？
[63:53.780] 花
[63:59.170] 坏。
[64:13.310] 行
[64:14.170] 的。
[64:16.150] 数据。
[67:15.910] 好好没问题。
[67:17.500] 好好。
[67:42.640] 咱们一下好吧？
[67:46.640] 明白。
[67:47.830] 你怎么办？
[68:04.870] 期货、
[68:07.580] 对，然后还有配置，比如说柏林，
[68:10.940] 然后再买明朝做一些手机的，还有
[68:14.090] 还有连
[68:16.960] 交配的在里面。
[68:18.950] 还有jj。
[68:24.510] 沪指涨吗？7。
[68:25.420] 388还有其他吃法。
[68:27.310] 差不多完了。
[68:30.430] 对了。
[68:31.680] 了。
[68:50.210] 考虑定下来了吗？
[68:56.000] 行好没问题。
[69:06.590] 好勒好，没事，你坐下去，马上一会去。
[69:10.460] 好。
[69:45.670] 这礼拜二就去。
[69:46.780] 我下午我心中在
[69:48.330] 一会给你。
[69:49.320] 你加入一边分。
[69:54.310] 了
[70:07.080] 应该
[70:07.920] 也不是。
[70:09.230] 我不敢。
[70:14.650] 了。
[70:17.680] 等等
[70:19.270] 客户
[70:24.180] 到了
[70:24.930] 时间能没有他银行即可以给他去的收费标准。
[70:29.940] 好
[70:31.150] 了。
[70:37.590] 他服务了。
[70:42.760] 你要看过吗那样？
[70:44.210] 安排稍微介绍一下吗？
[70:46.520] 那天所有的东西怎么称呼之前没见过吗？
[70:51.590] 刘嘉玲1391第
[70:54.340] 1127227627。
[70:58.820] 你看着办。
[71:00.260] 有时间看要有商量徐先生
[71:04.600] 的
[71:07.160] 交给了。
