[00:01.040] 说说哪天几天了？
[71:00.090] 我们在早都不要知道家，后来领导不让那么标，反正也造成好多误会。
[71:06.100] 包括你爸爸，
[71:08.410] 但指导价是永远变不了。
[71:11.040] 您到哪全国统一的都是指导价。
[71:27.790] 对，还有功课。
[71:29.740] 你说这是你的吗？总和？
[71:31.740] 是的。我的。
[71:33.870] 了
[71:36.120] 稍等。
[71:37.190] 超市里边。
[71:43.000] 小孩贴了吗？
[71:54.070] 完了写完自己对一下就
[71:56.210] 三点。
[72:06.260] 你别让他说
[72:15.840] 首先把手机拿走了，让他写完了再。
[72:18.450] 对一下。
[72:19.480] 然后自己先写。
[72:23.740] 有没有合适？
[72:25.160] 好的。
[72:29.230] 那个人干吗？
[72:31.140] 领导教我写的
[72:33.110] 的不对。
[72:36.470] 明白完了吗？你手里拿了看到这边对。
[72:42.830] 不知道是对袜了。
[72:46.650] 现在是23号9.2。
[72:49.520] 这算长吗？
[72:51.310] 好了，到了。
[72:53.520] 等等下这是这。
[72:55.940] 应该多少了？
[72:56.900] 23 92823. 
[73:02.470] 你花6。
[73:14.150] 给大家上
[73:16.000] 1200。
[73:17.490] 这边马上好的吗？后面吗？
[73:36.200] 好了是吧？
[73:37.520] 好，来看。
[73:40.750] 分公司。
[73:45.230] 二。
[73:46.340] 对。
[73:47.160] 然后各位面试。
[73:48.640] 吃什么？
[74:07.260] 什么？
[74:08.320] 还有小的女儿之类的，
[74:13.020] 特别专业要抓关掉的，
[74:19.470] 干什么？看看哪个公司的目标。
[74:24.370] 你要开专票是吧？
[74:25.910] 张妈不可能。
[74:29.240] 对。
[74:30.800] 我看了看。
[74:32.520] 您要开专票是吗？
[74:34.530] 不是专票，只能装饰和2500开。
[74:37.990] 别的人看不了了，别的都。
[74:39.830] 统一发票。
[74:40.920] 没了。
[74:42.210] 就那13,800。
[74:43.840] 这车车肯定是汽车大票，R车没法车。车是。
[74:48.450] 专用发票，但是他名字是不能变的，
[74:50.590] 谁的指标就是谁的名。
[74:53.240] 您的旧车不就是您的来装修的，就是超级是不是您名下了？
[74:57.800] 是对那是没用的事。
[75:00.580] 专票只装饰，对装饰，还有验车可以开票，电视播下张军，保险不行，保险等于咱们赠送的开我们的事。
[75:10.190] 其中的就是商业保险，然后这里的是厂家和终端两个，对。
[75:17.230] 这样就对了，对。
[75:19.180] 是吧？
[75:20.210] 他这个网站上面。
[75:23.400] 他要做两，所以您能开票吗？你医院你买不就开专票吗？还是开普通票？
[75:29.950] 谁知
[75:30.910] 要公章拿过来没有？
[75:33.680] 过来我们公章找。
[75:35.360] 了之后再让他给你换掉。
[75:38.540] 今天先给您。
[75:39.510] 开个人，然后等您公章的手机盖好了再给您换票。
[75:44.110] 开个人开的，说句不用猜也猜他笑着道您的发票回来您都不行能换。
[75:51.870] 行。
[75:52.610] 或者说哪天拿着公章来也行，下午拿着公章来蓝光来也行是吧？
[75:58.570] 看来千我们看到。
[76:00.740] 今天。
[76:01.230] 了是。
[76:03.580] 对您的箱子说三斤的。
[76:10.500] 号。
[76:12.180] 然后什么您上门口来，我给你送发票，然后您看门口那走过去，
[76:19.000] 我把他们带来
[76:21.320] 行拿好东西。
[76:29.040] 晚上我这有客户吗？不用。
[76:32.200] 今天
[76:33.490] 说
[76:35.790] 我的疏忽我知道，
[76:37.820] 对吧？
[76:39.490] 开始。
[76:42.550] 咱们过来了效果咱们这发票你说放在我等到这我一会能拿出来。
[77:03.910] 作为动画。
[77:04.720] 没办法，我晚上
[77:20.400] 你的意思。
[77:21.290] 开水您等5分钟咱下来的时候，人道上面没有，
[77:52.960] 屏幕上没有，
[77:54.690] 只有晚上那都弄完了。
[77:57.220] 稍微等等让孩子到还没看清楚，没上班。
[78:03.230] 那不完了吗？
[78:04.940] 等会排队要说。
[78:07.940] 像一把手机直接把这放不问人家，因为他姐姐还有几
[78:13.730] 不能开车了，不是说可能大家。
[78:18.410] 又到了找。
[78:21.050] 对，那是穿也翻番了。
[78:24.610] 在这儿。
[78:25.330] 又说找事是吧？下一步重
[78:37.330] 谁知
[78:40.190] 我回来睡觉，
[78:44.560] 放在这儿了怎么样？你看着手把手的带着在，我没法你看看我印象不好。
[78:51.970] 应该
[79:05.730] 不一样吗？啥的点了？
[79:08.890] 我说
[79:10.980] 没有别人说了，
[79:14.870] 回来了。
[79:35.310] 再说微信群里有一个合同，您确认一下就是贷款
[79:58.200] 含金量。
[82:09.030] 保险那电话我留您二位谁了？
[82:12.440] 上保险的电话。
[82:15.870] 是。
[82:17.080] 您说一下。
[82:18.800] 13136
[82:20.520] 2081301. 
[82:21.810] 11208. 
[82:22.670] 930是吧？
[82:25.630] 包括他电话点出来是哪一点？
[82:28.320] 对。
[82:29.650] 没看过。
[82:30.960] 您给我过来，他们开展合作。
[82:37.240] 他您具体太大了。
[82:40.460] 等等。
[82:44.870] 让你输入验证码，
[82:50.970] 重新。
[82:54.050] 行完了。
[82:55.420] 基本在。
[82:56.820] 好的。
[83:00.730] 别我我记得上半年
[83:03.410] 具体的东西是咱们毕业，咱俩的事儿用。
[83:09.360] 之前怎么弄的？用您手机这是谁手机？就是那手机不您的手机吗？
[83:15.680] 我的手机把这个链接
[83:20.920] 把这个链接发到您手机上，您那不是大幅激发吗？
[83:25.170] 我。
[83:26.730] 也不小是吧？
[83:28.530] 我那个没
[84:04.560] 他这不一定。
[84:06.250] 您这没事吧？
[84:08.170] 下面那时候字体太大了。
[84:48.400] 怎么样了？
[84:49.470] 他那什么还得录形式。
[84:52.910] 不相爱怎么了，对。
[84:55.080] 都得有录像那拿。
[84:57.320] 那时候都得是本人操作的地方。
[85:01.500] 紧张就是颜色不一样，字都一样，后面都不一样。
[85:05.950] 得关掉是吧？
[85:07.320] 嘌颜色的假的也不错，这没用。
[85:13.270] 用通过这河水了，他只为啥？
[85:22.440] 没拿到将来
[85:27.920] 应该
[85:29.160] 杨滔电子天下活动就牵着标准，
[85:34.290] 开玩笑，
[85:35.220] 屋里有人吗？行吗？
[85:37.390] 然后特别上来
[85:38.100] 扫描怎么办？
[85:39.560] 这样有效的，然后就等着我就一会和沪深一块发。
[85:46.660] 应该来得及
[85:48.360] 聊着。
[85:50.220] 虽然测任着
[85:53.550] 这块吗？没用完你能玩上了我做，行您稍等，录了大概多久？
[86:01.810] 春节后有两份
[86:04.920] 一份抵押贷款合同，刚才我给您反映，咱点一下阅读，并确定您核对一下这块。
[86:11.910] 合起来他们说下，然后跟您核对完了。
[86:15.910] 这也不了。
[86:19.190] 慢了慢点点。
[86:21.350] 您的月供408。
[86:25.530] 尾款对，另外一半扒开标价393,800。
[86:30.690] 跟那边直板药我都给您打印文件，然后你印度公司就行。
[86:37.480] 然后下边有一份划款授权书，
[86:40.290] 这个就是说咱们只金融从您卡里扣款的，您稍等就好了，他现在开始涉及到一个什么样的。
[86:52.590] 行，你看姓名、卡号、姓名、身份证号、卡号我都给您签好了，
[86:56.700] 然后以后每月保证还有一个含义有在和导致就自己走，你那号花钱吗？
[87:02.130] 然后今天办手续是正常是下月7号和8号，
[87:06.780] 到会通过这微信就提醒您了。
[87:10.610] 对，那也是阅读并确认就行，纸质版的都有是吗？失败都有，首先打印出来确认签收，然后就这合同到您自己通过微信公众号也可以申请纸质版。
[87:21.000] 你叫赵苗就行，行，我再写一下，您选一下。
[87:25.240] 15天。
[87:26.640] 衣服15天，
[87:35.470] 辛苦用没事合同。
[87:41.590] 没事儿是吧？
[87:46.390] 好，咱们讲客观。
[87:50.700] 来咱们这边说。
[87:52.800] 然后关注微信公众号，手机号所有的任何信息进入，他都知道微信
[87:57.970] 号，
[87:59.200] 谁知
[88:00.570] 谁知
[88:12.920] 能交吗？
[88:15.150] 行。
[88:18.250] 凌亢东周028
[88:21.240] 这个店新建验证码好088600
[88:27.730] 625769是吗？
[88:33.000] 对，什么4658。
[88:37.660] 我看我看看。
[88:41.150] 65
[88:42.280] 625
[88:45.470] 625。
[88:49.870] 我过来弄点。
[89:09.070] 喝多。
[89:11.050] 迈巴赫145。
[89:16.270] 他那个车不对，三排不了多少，2000差不多。
[89:21.420] 反正还是350 035，
[89:25.050] 迈巴赫是5米4。
[89:27.600] 014051。
[89:29.460] 不到1米1，对5035。
[89:33.250] 我给250。
[89:36.530] 咱这边
[90:00.240] 明天做这他一会就过来。
[90:03.200] 我给您出保险您就拿着合同就行，一会正在上班，根据。
[90:08.540] 一个说没
[90:09.850] 上，怎么换牌照号什么。
[90:12.160] 对行没事儿，到时您换就行了，等会儿号50选1，您想要什么号？
[90:19.170] 我就点14，对，或者您网上边也行。
[90:23.140] 往这边口对。
[90:25.380] 他咋能编一块边不了就行，对，然后我告诉您怎么编在哪边。
[90:31.670] 都需要什么，我告诉你你给我小郑也发一手机，对，那得等指标下来，咱们那边您着急还不行，他就3天7天有效好像是假如说。
[90:42.840] 车辆少分，别开车累是吗？
[90:45.630] 对您放心上班。
[90:47.600] 手机是可以取代你。
[90:49.110] 我们在我也没
[90:50.970] 专门的也没有
[90:52.610] 找的人去帮我们。
[90:54.080] 请医生干嘛？
[90:54.870] 您这身份证先搁这里放着先拿出来。
[90:57.820] 元月过劲来了，你说一下你感觉吗？对，在里边都在那。
[91:03.870] 您就在这坐着，等一会他会帮你引荐的那交出来。
[91:08.560] 都在这是吧？
[91:10.790] 您别往外拿东西。
[92:23.390] 你有诚信吗？
[92:24.390] 这我没有拿到没错了吧？
[92:26.840] 不让你
[92:28.020] 改不行？
[92:41.710] 咱不做了。
[92:43.650] 感觉。
[92:50.280] 我先带您看一下车新车。
[92:55.240] 您那个朋友吗张总？
[92:57.240] 等会了吗？
[93:00.110] 您等等会拿钥匙去。
[93:06.670] 看。
[93:11.570] 远远。
[93:21.520] 谁知
[93:37.450] 聪明。
[93:38.540] 远远对，真的。
[93:48.850] 亲兄弟吗？不是。
[93:53.840] 我看看。
[93:56.620] 刚刚
[93:59.910] 把地址发来我就罢了。
[94:03.120] 好。
[94:04.400] 我可以。
[94:09.970] 里外的您都看看。
[94:11.930] 其实简单看就行，因为我们都检查过了。
[94:15.250] 然后提得清。
[94:38.680] 乍一瞅以为是华的呢，
[94:42.480] 不是一般干。
[95:23.460] 配。
[95:24.630] 咱们车牌号不是看到合同上这是不对的。
[95:28.540] 539769。
[95:44.090] 不是3。
[95:45.900] 怎么瞅出毛病了就不会放那了。
[95:52.120] 肯定是投入少了，对。
[96:00.390] 咱们配合调研吗？
[96:01.830] 基本上没有不配，现在就没了。
[96:05.580] 对，现在没摸。
[96:08.080] 现在也没用。
[96:10.010] 因为他人很多车的玻璃都是隐私玻璃，
[96:14.300] 还是贴一下子天门市验完车贴，然后其他的装饰都是今天做。
[96:21.150] 当然就会有人给你讲。
[96:24.440] 对行吗？
[96:25.800] 要不用？还有一个
[96:27.540] 灭火器这是什么？
[96:29.450] 摒弃现在
[96:32.160] 有的时候他
[96:34.680] 那种高就跟你讲那种膜比较贵的膜它会带一些，但是没用，因为现在验车也
[96:41.540] 也不用。
[96:42.330] 平常也不用查，说也不用。
[96:45.330] 小米手机就是糊弄人。
[96:52.880] 多少什么？
[96:55.430] 一
[96:56.420] 七十七十几，70 1280，
[97:00.260] C46600。
[97:23.080] 行吗？
[97:24.070] 待会玩近点，好。
[97:36.640] 小娇不够孩子就
[97:42.330] 完了。
[97:48.190] 厉害的。
[98:43.660] 我们录下那个合同。
[98:47.310] 数据
[98:48.350] 数据远场
[98:52.410] 场
[98:57.100] 场
[100:02.680] 一下。
[100:07.030] 数据。
[100:53.900] 一下，
[102:09.120] 电话
[102:13.640] 已经度过了
[102:19.620] 100 16,000。
[102:23.430] 216,000。
[102:25.200] 0186。
[102:26.880] 下来可能248,000。
[102:35.610] 就算了。
[102:38.920] 后来说了报那么高价看，
[102:51.230] 到时候
[102:52.880] 优化应该考虑看看，不能看。
[102:57.130] 不要卖好吗？
[103:12.230] 我也快乐。
[103:15.290] 写出来的
[103:16.690] 电影。
[103:19.920] 1536
[103:22.950] 说
[103:25.200] 的
[103:30.000] 还有的。
[103:33.930] 25
[103:36.810] 12212342，因为财产吗？
[103:41.400] 你先签个字，
[103:43.210] 因为他得把保险路上的空间
[103:46.940] 三cd跟你一样，
[103:50.820] 没事。
[103:59.730] 二
[104:04.820] 手机有一个页码。
[104:08.530] 场
[104:10.400] 句。
[104:12.320] 00401
[104:20.570] 51
[104:25.680] 数据
[104:28.480] 场
[104:29.550] 数据
[104:30.710] 花。
[104:35.370] 不错吧？
[104:39.560] 对村里乡下很少进城。
[104:45.630] 就没事。
[104:46.620] 我投投入不收费，咱们这块
[104:49.630] 全国土地报价单，
[104:51.610] 咱们的车辆包括公司价格，每个产品都会有明码标价公示牌。
[104:56.850] 咱们这儿晚上5半看见了吗？369您说一下。
[105:03.150] 这款地方发动车给3601，工程价格22,800万的
[105:08.690] 206,000吨
[105:10.600] 除以13，购置税多退少补，以国家实际销售为准，差不多18,000多，白天上班
[105:17.650] 是2500毫米，要是有什么快递生产的话，电子交过税已经交到我们这儿，咱们先交到当地，
[105:24.820] 我只是帮您做一个
[105:26.240] 预算，大概要花多少钱？
[105:28.270] 保险的用的话选超过1万吨左右，用管理百分已经
[105:33.920] 算一下您合计下来差不多237,000。
[105:40.400] 咱们
[105:42.050] 来
[105:59.280] 的
[106:02.770] 数据
[106:03.790] 数据
[106:14.390] 了。
[106:16.750] 一会就完了。
[106:30.160] 数据
[106:31.810] 百
[106:35.370] 的
[106:38.130] 的
[106:41.580] 的。
[106:46.720] 的
[106:53.590] 场
[106:55.440] 场
[106:58.670] 场
[107:00.150] 场
[107:04.540] 的
[107:10.270] 数据。
[107:14.570] 的
[107:16.770] 数据。
[107:20.410] 的
[107:21.360] 花
[107:25.610] 数据、
[107:26.790] 远场
[107:33.070] 系列，
[107:39.200] 谁知
[107:46.090] 场。
[107:49.510] 场
[107:50.890] 数据
[107:54.680] 数据、
[108:03.960] 坏。
[108:04.950] 数据
[108:10.290] 小心那时候晚上包销了，哪个有可能主板还贵呢？
[108:16.640] 我还给你看病贵，你今天晚上报销，
[108:24.550] 花。
[108:35.600] 一个新的外汇，
[108:37.640] 这牌子在。
[108:39.720] 行。
[108:46.720] 我把这首。
[108:50.250] 不敢说跟
[108:51.870] 拍一张。
[108:52.910] 拿。
[108:54.240] 对。
[108:58.370] 我说有三拿货比太对了吗？我们那可能不行。
[109:02.880] 看你那边一会
[109:05.050] 拿过去协会我给您算一下。
[109:08.040] 行，
[109:09.540] 后天
[109:10.470] 报。
[109:12.220] 不用记，咱们这车是4998。
[109:17.500] 什么，然后一会完了75,000。
[109:20.040] 等于是4248。
[109:23.880] 下面是吧？
[109:24.660] 然后交了1万定金，咱们就把定金减去1万定金，
[109:30.000] 那就是4148。
[109:32.350] 三。
[109:33.180] 148，然后咱们贷款贷了一半对吧？那就减去了一半2124。
[109:37.280] 4
[109:38.680] 2024。
[109:40.780] 您是2124减1万就2024。
[109:46.630] 然后咱们加上一个验车2500，
[109:49.560] 加上一个购置税37592。
[109:55.040] 592点
[109:57.320] 92
[109:59.120] 加上
[110:00.610] 咱们保险一共是除了道歉以外，原来不是17,000多权利，然后减去盗抢还剩14,00014,000多，然后你减去一个5000，也就是说密码要交的话就交9000，
[110:15.450] 加上一个9759点。
[110:17.850] 73。
[110:18.890] 现在你
[110:19.690] 新的是73，相当于你们行了。
[110:23.810] 在家装饰。
[110:25.600] 二三天，然后都包含什么？
[110:27.670] 威固的装饰太小了，维护的空调全科的，然后形成就是一个隐藏
[110:37.310] 配置第
[110:38.960] 大后备箱垫大包围脚垫，然后以cm水晶规模。
[110:44.730] 加上一个13,800，
[110:47.650] 等于266052，
[110:50.310] 266052.65.65。
[110:53.870] 好，还有一个什么电视保险吗？对，是一本单。
[111:00.090] 你这签单算了，现在没啥优惠呢。
[111:04.390] 咱们当时谈的都一样，那个是单交，
[111:08.180] 然后比如也就跟着一会唰唰的是2月6052，然后加上交现金了4万。
[111:14.630] 不是交现金，您要您带现金来的是吗？
[111:18.500] 不是交现金不睡觉，现金。
[111:21.780] 说交现金可以。
[111:23.970] 可以。
[111:25.700] 对。
[111:26.920] 待26万都是现金是吗？
[111:29.830] 有卡是吧？行行肯定没事，就咱们上去行。
[111:39.780] 对。司机。
[112:00.080] 还没上二楼了。
[112:04.470] 去那什么了是吗？
[112:06.750] 选定了。
[112:08.040] 等等。
[112:11.430] 应该这么着，我上楼找领导签字去，然后您拿好钱以后你就上楼，再就是办一上楼梯口有4个沙发在沙发上坐着等我就行。
[112:51.160] 我现在叫。
[113:31.210] 电话
[113:36.080] 9号。
[113:38.610] 4
[113:43.950] 数据。
[113:52.110] 危险
[113:53.080] 产品
[114:02.350] 的
[114:08.270] 数据
[114:13.280] 数据
[114:16.750] 的
[114:21.340] 七
[114:23.570] 一
[114:27.350] 的。
[114:32.280] 的
[114:35.160] 的
[114:37.860] 的。
[114:46.110] 太厉害了。
[114:48.400] 难道万别引起众怒了？
[114:51.490] 了。
[114:54.330] 白茶你先打个。
[114:59.830] 你这么走吧。
[115:02.550] 咱们得算算。
[115:04.320] 你给我的吗？大哥你签完了然后出来。
[115:07.800] 这个少一个。
[115:11.200] 那时候咱们打了。
[115:15.420] 好。
[115:18.460] 怎么样？
[115:21.120] 从最早到现在不是吗？
[115:27.610] 伴着8月我就行了，
[115:32.060] 比他们卖牛挣的多多了。
[115:35.670] 他那边回来不得，他满脑子。
[115:40.450] 规模多。
[115:42.800] 这么晚，
[115:43.440] 还是4。
[115:44.590] 都过48贷款商量。
[115:47.700] 二
[115:49.210] 二
[115:50.170] 02我记得那时候还经常上半年增长，现在3.3。
[115:57.760] 年薪多少钱？三点
[115:59.660] 38，你忘了，那时候还表扬30万都没人看见了。点周家。
[116:06.320] 所以就得4点。
[116:08.260] 感觉。
[116:09.640] 加上过程类奖金一共才这点钱。
[116:14.800] 配置亮点，收费的话还有。
[116:16.840] 勺要饭的，不对。
[116:20.160] 这些
[116:24.130] 能敲出来不对，我从来没瞧出来过就
[116:27.680] 差不多了，你自己都没算过，你当然想不出来。
[116:30.460] 了。
[116:31.100] 精品佣金是0。
[116:33.540] 这怎么可能对呢？
[116:35.920] 一点。
[116:41.970] 刚刚做了一个保险佣金130。
[116:48.070] 133。
[116:51.260] 他不美丽的，这没有生产利润吗？
[116:54.760] 他是不是公式您能对。
[116:56.820] 他肯定会破的时候。
[117:00.220] 对是吧？加上昨天马不是你看一眼别签，你有的东西好多错的，
[117:08.210] 保险你这个是对的，我觉得到预期。
[117:13.720] 所以。
[117:15.010] 好看。
[117:16.360] 你性格不下去了，我说了。
[117:18.640] 对我真不容易都不要了。
[117:22.130] 我给你们干部对我说我们不太好，天天过清楚了的这边
[117:29.020] 要不您转下来，
[117:30.960] 我转下来第二天我就得走。
[117:35.240] 我生气。
[117:36.560] 怎么能你这肯定不对。
[117:41.720] 你这送电是得写那本上了吗？写了。
[117:45.120] 最后的
[117:49.390] 大片的比较踏实的应该
[117:51.600] 金融三
[117:53.210] 稳定冠军肯定
[117:56.630] 这钱吗？
[117:57.910] 没穿上有权有势有的祖先是吗？
[118:03.700] 章程里签过两个就没钱，
[118:06.060] 就只能放在中间这一块，但是说没有身份，第二都说明了本身还有个垫底的。
[118:11.710] 为中没有高，对都礼拜三创立12分挑应该是
[118:17.650] 不行就送保险的。
[118:21.000] 送保险的我总利润低，你该给我12分给我12分，招标完成不了，你拿那KPI得我
[118:27.680] 不行，根本说了不行，为什么这样？你算了还是单个的雷我两回。
[118:33.800] 是的，就到这里聊聊。
[118:37.150] 可能是因为你的肯定谁知
[118:41.700] 138的不是给
[118:44.130] 怎么
[118:48.190] 送保险都不给，对，我那车有一架也不行。
[118:52.580] 所有低价行了，
[118:54.440] 就是说白了你13,800的这1万利润你就能保住了，就给你上了。
[118:59.870] 你因为巢湖什么要保护13,800的利润，
[119:05.630] 那1月份按我的统计是你检查我肯定不够，你蜕变就得给我，对等于就是那两次。
[119:11.760] 就相当于把因为它原来应该给10 20多，
[119:17.280] 在灵感可能给多少5度。
[119:34.480] 咱们说
[119:36.230] 银行
[119:37.940] 大概这有多少钱多少？
[119:45.240] 就两个是吗？
[119:46.930] 咱这边不够。
[119:51.360] 刚才分期签完了，有一个合同签署，您点了吗？
[119:56.200] 点了是吧？完了对。
[120:51.410] 真安静。
[120:53.800] 他说
[121:01.160] 满的第一条。
[121:03.910] 然后您身份证号是吧？
[121:13.470] 您等一下。
[121:27.310] 您这交
[121:28.830] 口交现金。
[121:30.510] 现金
[121:31.540] 266,052万助力现金这点应该是20。
[121:36.010] 刚才三
[121:37.760] 这里边还有一本，
[121:39.280] 拿这张我忘了10。
[121:41.040] 行。
[121:50.620] 然后剩下的刷卡。
[121:53.290] 好，先给你点钱。
[122:10.750] 您说的是少几张100的？
[122:12.980] 这个就不少。
[122:17.020] 货品牌布局什么样的？
[122:21.070] 应该不买。
[122:23.050] 还有不用点了？
[123:05.790] 我一下是吧？
[123:18.670] 卡给我了。
[123:23.000] 这正是
[123:25.600] 七
[123:27.680] 电商谁知
[123:35.190] 沃尔沃那个门是吧？
[123:39.940] 行，您在那稍等我。
[123:45.130] 我现在给您送来点好的。
[123:48.840] 好。
[123:50.270] 您先把这交着，我一本
[124:17.670] 66,052块6毛5。
[124:22.310] 您是吧80
[125:41.660] 为。
[126:14.550] 你们都修改完了家。
[126:16.480] 又快一点。
[126:21.050] 是不是姓马的夹子就得了。
[126:29.290] 行，那就这么就
[126:30.600] 了。
[127:39.950] 这两个字在背面的G
[128:49.010] 这都没
[128:50.280] 业务应该还一年什么。
[128:55.450] 二。
[128:56.380] 22。
[129:54.480] 咱们这边又齐了，你可以稍微在外边坐一会。
[129:57.750] 行。
[129:58.680] 这号码就没了。
[130:15.430] 他说
[130:16.470] 说了吗？
[130:19.570] 头上说了吗？
[133:50.360] 需要跟客户拿走吗？
[133:53.440] 都给你看完了。
[133:55.360] 是吗？都不见了。
[133:59.210] 我
[134:00.600] 这票能给拿走了是吗？行，没动。
[134:06.280] 好勒。
[134:07.280] 对过吗那票？
[134:10.080] 一下这名了。
[134:12.070] 对了是吧？
[134:16.640] 一边装系统就100，
[134:18.540] 但是那个的话然后再把标号输上去了，yy。
[134:22.930] 系里聊起不得不书中的。
[134:26.350] 说。
[134:27.360] 谁知
[134:30.430] 网络玩有几百的有1000多的，
[134:34.050] 他还没给我回话，刚才给我打电话就开销没那啥主要。
[134:38.680] 在干嘛？
[134:42.200] 基本上都在室内。
[134:43.530] 内你那边完事了吗？没有。
[134:45.760] 行，我发完票了，我一会找你。
[134:52.230] 您看这儿有一个是吧？行，后边先吃饭说好了。
[134:56.710] 拜拜。
[134:58.630] 稍等一下。
[135:00.280] 一会儿有一个讲车的环节。
[135:02.590] 你的操作系统不出来。
[135:04.800] 一会有一个讲课的环节，然后。
[135:06.770] 咱们先别看。
[135:09.250] 川汉来可以讲好吧？
[135:11.520] 没烧过。
[135:13.240] 谁知。
[135:17.640] 它就是一套系统，就跟xp系统今天称
[135:23.170] 小型人药妆不给刘四孩子，有人专门记32操作系统，
[135:29.890] 行没问题。
[135:34.310] 反正没有10台机器要重点
[135:37.140] 分期表现好。
[135:39.060] 我们说有基本的1000多，
[135:47.920] 他也是给单位一个
[135:57.790] 6月就卖，我跟
[135:59.870] 可能还达这个应该没有。
[136:07.400] 还有几百，谁知。
[136:10.130] 的
[136:11.120] 的
[136:32.090] 发行的
[136:33.200] PC版，
[136:37.470] 微软的功能
[136:38.930] 1000多人家不给你招牌，
[136:43.270] 过去
[136:45.130] 现在公司这样公司
[136:52.810] 一般
[137:05.730] 咋不拍呢？
[137:08.070] 发生之前，
[137:11.370] 高天。
[137:19.080] 谢谢您。
[137:36.430] 保险留的电话您跟我说一声。
[137:40.840] 我手机号就行。
[137:42.290] 你们说一下1391139113313319951折到5号，
[137:59.730] 他第一个常见诱发了
[138:32.720] 三个部分。
[138:34.330] 你来一个4350。
[138:38.260] 不便宜点吗？4000多万。
[138:42.790] 要
[138:47.870] 比便宜。
[138:50.300] 报数这里边含比如说保险不。
[138:55.910] 差一个前辈，剩下多少？
[138:58.550] 送一趟了。
[138:59.720] 那个是鸟叫一会咱们头走的时候，
[139:11.030] 看
[139:12.080] 了。
[139:17.650] 收了吧？
[139:25.880] 人
[139:26.680] 泡沫。
[140:20.360] 咱上班了过一会儿。
[140:21.950] 看看说完了就是说
[140:23.740] 现在的
[140:25.340] 看一下。
[140:44.150] 就是通州的。
[140:46.680] 都开车是吧？
[140:54.580] 好事。
[140:56.360] 我操忘拿您缴八。
[140:59.950] 你主要必须得签字。
[141:03.410] 是吧？对在必须俩字里面。
[141:06.710] 什么时候吃饭的呢？
[141:09.620] 什么时候下楼吃饭强我等一下。
[141:13.090] 我还得跑上来。
[141:16.350] 应该
[141:19.400] 包括盖章去。
[141:29.210] 然后我不想吃。
[141:33.640] 我这难受的，不用活动。
[141:37.850] 这俩车
[141:39.250] 老有的腿都
[141:41.650] 你给我。
[142:52.240] 希望
[144:03.680] 咱们看看树上。
[144:05.840] 没有是吧？南京微信注册一个
[144:09.910] 文化。
[144:31.520] 的
[144:33.190] 百得利。
[144:35.680] 数据
[144:37.920] 来
[144:40.800] 场
[144:45.100] 数据
[144:53.170] 成功
[144:57.810] 把
[145:01.140] 了。
[145:06.240] 的
[145:07.370] 的
[145:24.780] 了是吧？
[145:29.620] 严重了，这已经相当大了。
[145:37.720] 做一下手机号，1391
[145:40.440] 1331965。
[145:47.110] 你点一下3月。
[145:49.640] 在这样的7不要那边
[145:55.370] 三的多少钱？
[145:57.640] 脸上的白点，这就是。
[146:02.750] 现在就能看到
[146:04.960] 对，只有两张，没有很好的，对，后面一下。
[146:09.700] 帮你带来。
[147:08.190] 您就去二楼那就行，就像咖啡只要客户餐厅先吃，吃完了以后回去水喝水，然后估计那边就能排上去。
[147:16.870] 今天开走已经有点有的有能够跑几十公里都没问题。
[147:22.040] 这附近哪有加油站？
[147:23.690] 您慢慢找就行，你要是说专门往家撂，弄到我家一般
[147:29.090] 排队，因为我们都给您加了大概100块钱的。
[147:33.310] 开始拜拜。
[147:36.910] 回家的。
[147:37.920] 百万160里地，您别着回答叫我就那意思。
[147:42.100] 您这个路上您不用刻意的去找您，就顺比如说沿途有中石油的那些家伙就行。
[147:50.170] 他们说。
[147:51.600] 回家。
[147:54.020] 行，下楼就行了。
[147:57.120] 刚才。
[148:12.390] 资金的话。
[148:14.680] 能。
[148:16.210] 对没事，你刚存款说就行了。
[149:05.440] 维护
[149:06.190] 分比较高。
[149:07.670] 首先就是一三百车主比较关注的就是全部梳理一下，我现在多关注一下，因为位置相对来说比较特殊，正好连接着发动机合并将在他俩中间，前期费用这个价您维修起来并不贵，
[149:21.630] 您这一个箭头下来其实也有几个。
[149:27.210] 如果说习近平电量低了，回去一方面
[149:32.000] 发消息他会告诉你挺好用的，然后我这边跟您说，首先从今天开票日起，2020年的7月7号，这个车想说的是一个三年的质保期，
[149:43.260] 也就是说在三年内咱们这台车出现的所有质量问题都是由我们公司来赔付的，
[149:48.950] 不想你自己来承担任何的维修成本，
[149:51.490] 你只需要做什么？当车辆在出现异常的情况下，开到接近的奔驰4S店许可。
[149:57.730] 享受全国联保，切记不要去外边的维修费，去工程用出厂价。
[150:03.500] 如果说您要更换的涨价，咱们单独的配件不再接受你的报修，咱都能理解吧？
[150:10.640] 你就有问题回来找我们就可以了，如果说离的我们那比较近，你就直接开到后面，
[150:33.890] 有些出去
[150:34.820] 也没问题。
[150:38.550] 数据。
[150:39.940] 数据
[150:43.440] 看
[150:46.730] 的。
[150:51.870] 走。
[150:59.690] 的
[151:00.670] 第
[151:04.360] 的
[151:07.770] 一点都不好看
[151:10.840] 的。
[151:14.600] 的
[152:54.440] 这时候就I ct做刚才那就是做了是吧？
[152:57.680] 带头
