[00:00.430] 是吗？
[45:24.430] 对你像A级车，你一个1.3T咱动力没问题，但是剩下就都是优势了，
[45:30.730] 什么油？
[45:31.770] 对吧？内饰的感觉品牌都是它的优势了。
[45:37.440] 光适合在城市用户了，对，他回来就让我开这么一会。
[45:43.330] 要不你把我送回家，然后和你不要回来赶紧去。
[45:54.610] 你可以再去编上号几天再看一下好吧？
[45:57.770] 但是他要是跟我说，我觉得要是说十几万块钱，
[46:03.500] 这个车也就这样了是吧哥们？
[46:06.200] 我说10多万了，6万20来万的车，你还记得是N多年前榆荚他们买的什么
[46:14.450] 长什么版本，联系是不是宝来1.3，
[46:18.850] 也是一点，刚才宝华的买的我完了，我不知道榆荚当时还有点4万
[46:25.650] 1.4应该是1.4，应该当时开到咱们楼下我还试了一圈，那时候刚开始出这种小排量草比这车都贵，
[46:36.550] 日本那个时候可不能什么，我记得好像他们还20来万，我怎么记得您关心什么，像里都能知晓。
[46:45.570] 是这样的，因为我刚才就说
[46:48.370] 你看我把那个车我刚卖完，然后回过头，
[46:51.710] 咱现在需要周转一下，而且座椅通风是吧？
[46:55.540] 不是，他是加热，但是正常200是没有加热的。
[47:00.000] 因为这是小苗就是想装选重点。
[47:04.300] 他该贷的不都在吗？
[47:06.190] 对，基本上
[47:08.660] 旁边又了。
[47:11.490] 对吧？就是该你刚才说二版没有加热吗？
[47:15.530] 对，在那选装选装饰加钱是吗？对。
[47:19.630] 加多少了，它2600就不能在这家了。
[47:24.250] 让他们过一次了。
[47:28.630] 来，咱们请一个车位就行，随便一点。
[47:33.220] 这就是轴距短，你这看一下后边
[47:35.980] 够吃不够，使轴距都干。
[47:38.750] 现在就坐在后边，我觉得应该没问题，你想
[47:42.710] 对吧？前面做的都比较好，过程你不管怎么着，你看看大的了开晓得了，你
[47:48.700] 都有个新过程，对。
[47:51.300] 所以我就知道吗？
[47:58.240] 先让他给我算算。
[48:00.110] 可以，然后比如说我交完钱，什么时候能提走车？
[48:05.430] 好了，
[48:07.650] 应该是有个限制，一会能回去看一下，
[48:13.760] 然后给我看一下日子，然后我手机和包都在拿着他的。
[48:20.400] 8月8号我全部呆几号我儿子生日，
[48:23.160] 所以我就问你，我要买车让我能拿走能开张路是吗？
[48:28.330] 您想哪天买就是底盘低？
[48:31.590] 你这已经那啥了轿车呢？
[48:33.800] 或者我要买龙骨是不是改装的？
[48:39.660] 真正的故事，
[48:41.520] 真正的轮毂，
[48:43.390] 深圳龙骨咱里边的180的
[48:46.020] 200的龙骨就是那种10伏的，
[48:48.730] 这种事首先颜色就是那种颜色。
[48:51.700] 20鼓楼看看。
[48:55.710] 跟差不多比这轮不要系，比如说是吧红色比如说
[49:01.680] 我就要这个是驾车的这种感觉，他不可能交钱了。
[49:07.370] 对您就得选，还能够像您说了，简单这个东西你不用这边下过，你都没钓到店里就花费了，
[49:15.960] 你着想着就不管了。
[49:17.600] 你给我算算。
[49:20.780] 我就问你，我提前几天来，
[49:24.010] 我能到拍8号的9号就开始，他关键是你贷款了行了。
[49:28.650] 您比如有现车您定下来就行，定下来以后然后咱们审批贷款这个月基本上就能开票了。
[49:36.570] 这个月能开票，您下个月什么时候提走了都可以。
[49:40.870] 一般
[49:44.330] 他这走的是金融的，对营销守护的，您让我都要提供什么东西，
[49:51.670] 那就提供您身份证，还有一个银行流水，那到时候咱们就说明中心专员
[49:56.790] 您都不用说，到时候都会有人联系他，没有什么优势，我没有。
[50:01.790] 我没有这。
[50:03.730] 这样没有，完了，对。
[50:06.370] 是夫妻吗？你说一下。
[50:10.800] 不是，我跟你说的是我辛苦往往说检查是吧？可以了。
[50:16.830] 可以。
[50:18.870] 行。
[50:24.990] 咱这边坐着，我们算一下。
[50:37.560] 您坐里边了，你要喝水的话，您可以要开始咱们做里边有电脑咱们才能看见。
[50:43.500] 你说电脑，然后我过去找您稍等。
[50:52.280] 了
[50:56.230] 了。
[51:16.750] 陈先生。
[51:17.790] 您
[51:20.130] 田说明天10:00 10:00左右您到花香，然后给他打电话，然后您用您直接拿走。
[51:33.610] 号
[51:36.240] 号。
[51:43.010] 没反应。
[51:44.670] 反应。
[51:53.750] 打了从。
[53:00.770] 买的话也是要包配备
[53:05.270] 你所谓的消费不就是快百，交费180较低，对。
[53:10.200] 他俩差几千块钱。
[53:12.560] 不是他3万多了是吗？对，但是你要是说。
[53:17.720] 零首付这种确实就感觉不是。
[53:20.550] 么大了一个月可能就多几百少几百。
[53:23.810] 一个月还贷是多少呢？
[53:27.350] 3000多，然后以后给您算一下。
[53:35.730] 一。
[53:38.640] 的。
[53:40.090] 找人他们学习对到了。
[53:45.590] 现在咱们的200的现车。
[53:48.900] 现车只有一个，当然后边路上还有白色的，
[53:52.900] 县城只有一红的，然后路上还有白色的。
[53:56.760] 对，白色还是鸡多一些？
[54:00.120] 白色您考虑吗？
[54:03.000] 还有生产。
[54:04.490] 这车都这么样，一共多了什么蓝的绿的都有，但是
[54:11.100] 一般这个车卖是红。
[54:12.890] 白的银的。
[54:15.780] 偶尔会有个蓝。
[54:16.860] 咱们刚才的叫水洗。
[54:22.680] 现在没有。
[54:25.370] 但是白色的是吧？
[54:27.760] 白色。
[54:29.520] 不喜欢白色。
[54:33.000] 因为他们都传闻奔驰白色的白奋斗。
[54:37.990] 白分。
[54:39.830] 红色的呢？
[54:41.930] 红色还有健哥。
[54:43.470] 还有网站。
[54:45.020] 红的A级车好卖。
[54:47.160] 您说红色等。
[54:48.870] 您看一眼，因为说实话拿着一个过渡，并不是为了要
[54:55.030] 身上去流这个车。
[54:56.850] 对，所以说红首先红的就是车型哪个颜色好不好卖，您要看他心诚好不好卖，或者市场保有率好不好？
[55:05.250] 在咱卖二手车的时候，
[55:06.940] 红色在A级车里保有率还算比较高的，它是除了白色白色最多。
[55:12.330] 第二个应该就是第二个就是红色了，
[55:15.030] 然后再往后就是什么栏的银的灰的这些就比较少了，没什么意思。
[55:22.590] 云就是公还不是。
[55:25.260] 那壁纸的认识。
[55:27.780] 不是吗？
[55:29.280] 比较规范。
[55:30.160] 然后好大雨有点发金那块三块色板。
[55:34.340] 色板联盟看了不太。
[55:37.290] 不太准好多。
[55:39.030] 颜色好像。
[55:41.060] 银色也一般，反正您从销量上来说，他不如红色卖的好，不是，我看一眼红色，如果说红色颜色我能接受。
[55:50.130] 10 20万的车他
[55:53.080] 比be
[55:55.020] 拿红色B转一转我没有关系，但是这兰姐挺好看。
[55:59.950] 刚才咱开我觉得他没有不能定了，过两天不得了。
[56:05.590] 要是说路上没有的话，您定可能过来挂月。
[56:10.500] 不对。
[56:11.780] 你让我看一下你是哪个红？
[56:13.800] 您稍早。
[56:17.500] 红了你。
[56:20.190] 我看看不成能看着这车最低能到多少钱？
[56:24.350] 220. 
[56:25.220] 的。
[56:28.300] 等我B那完了，然后争取开一辆这车回去。
[56:34.800] 了。
[56:51.600] 这红
[56:52.890] 就比还分类横，还不是完全觉得他每个区版不一样，对。
[56:58.420] 可是那个车看不见的护理，
[57:02.370] 但是说比如要订咱们可以开车过去看一下也没问题。
[57:08.070] 比咱们时间无限，稍微近点833458。
[57:12.080] 对4对。
[57:15.010] 三。
[57:17.280] 二楼也没有。
[57:18.740] 原来20
[57:21.240] 圆形的车展一般看我觉得你说同比这很好，还是从
[57:27.300] 两都挺重的，都属于这种深红色。
[57:33.960] 都属于消防。
[57:35.110] 你觉得？
[57:36.220] 我觉得因为AD它只有。
[57:39.180] 这叫熔岩红，他卖的也是非常好的。
[57:44.010] 照片红颜红。
[57:47.680] 好羞对你肯定有。
[57:49.970] 东西我不就能看出来吗？
[57:52.540] 我搜一下。
[57:55.240] 它没有色彩。
[57:57.910] 有没有那种彩页上面的有吗？它的颜色。
[58:03.370] 不到，您只能说
[58:05.960] 咱们要是真是说在考虑买这台车，咱们直接看这台车去。
[58:10.770] 不这波这车架号也挺好，怎么办？
[58:15.120] 刚号。
[58:16.480] 不要车架号，对。
[58:18.780] 然后看色板姐您看一下，咱们就是这样，
[58:33.110] 这是红的卖的挺好了，
[58:35.540] 能买得非常好，
[58:36.900] 说明你的产品隆隆岩红，
[58:41.640] 不能算小姑娘买，因为这个红得最早，我的一个哥们帮着卖车，
[58:49.570] 他买他也是零售过，买的是红的。
[58:54.110] 蓝的
[58:55.560] 小夫妻两个人用。
[58:58.880] 谁知。
[59:01.100] 您看一红的绝对没问题，我们家里
[59:04.840] 怎么说没卖掉可能就不会，那就是为了当时的名字，他不让开。
[59:11.110] 也是
[59:11.840] 也就顺了。
[59:15.780] 你这样你先给我算了。
[59:17.670] 玩不就是白的路上不是在走吗？
[59:19.770] 了白头在。
[59:20.640] 是吧？
[59:21.370] 对。
[59:22.480] 纯色颜色不一样。
[59:25.300] 价钱是一样的，金属漆。
[59:27.890] 白色不是房子，
[59:30.460] 白色有金属漆，也有普通机。
[59:33.330] 但是价钱是一样的，你可以
[59:35.980] 因为金属气得白，说实话他没有那么白，这些东西每个客户都喜欢不一样，有的客户就喜欢普通，
[59:43.150] 你那阴天对阴天，
[59:45.420] 不是有的喜欢那种金属漆，金属漆是在实际上阴天时候不是很白的，有点发黄队只有阳光。
[59:52.990] 都睡着的。
[59:54.240] 东西是吧？
[59:58.830] 晒太阳、
[60:00.990] 完了吧？
[60:02.950] 你补东西你要干啥咱也看不到那种。
[60:05.670] 您别拿原来老捷达来说也跟现在企业不一样了。
[60:11.580] 因为以前
[60:20.150] 我进来第一眼就是看看在家里激动了，中国后面
[60:25.750] 他请了他做他就开的挺好。
[60:34.280] 我拍那个车号，他那手机就扔过去了。
[60:39.120] 没有公理了。
[60:44.560] 您等于在买车时是有置换吗？
[60:47.600] 是拿车置换还是现在卖的？已经卖了是吧？
[60:51.220] 也
[60:54.200] 都不能止住了。
[60:56.090] 咱也没多少钱，2000块钱。
[61:03.470] 不过
[61:04.340] 房卖根本就
[61:06.450] 男人这一辈子。
[61:10.520] 男人这一辈子一定是吧，跟女人想法都不一样。
[61:14.730] 女人有钱肯定买房，男人是绝对的，人不能拍的，特别钟爱的时候，不是你说爱情你要有，但是他们这车这叫价确实让男人还寒心了。
[61:26.270] 了真赔本来就是你要有个时差倒反映的情况下，买一个中外的车算了，
[61:34.070] 是吧？明明解决车队对吧？
[61:36.800] 10套20套房子。
[61:38.320] 个人要确实是还差
[61:40.120] 一辆车钱，
[61:42.720] 真有吃饭的时候不得不找8个媳妇了，B。
[61:46.400] 是的。
[61:47.040] 前世的泪。
[61:52.480] 其实我觉得
[61:54.040] 要真是开一个大地，作为一个男人来说也可以。
[61:58.970] 送他一句话，大南开大G呵呵。
[62:02.070] 刚刚非常。
[62:04.130] 听了张家人操我永远当当的。
[62:08.220] 在的不要花时间的之后，你
[62:14.030] 了？
[62:15.390] 怎么样了？
[62:17.520] 现在
[62:18.900] 展厅迈巴赫现在能卖多少钱？
[62:21.930] 哪个刚才咱们把书面里面只有几千万。
[62:26.640] 迈巴赫145。
[62:29.360] 没条件的对。
[62:34.560] 我们算一下人口多。
[62:38.230] 如果说都是最低价。
[62:40.680] 您放心。
[62:44.560] 优惠您放心，谁知。
[62:49.720] 所以
[62:51.760] 你说yy的也。
[62:54.400] 对，真正优惠完了没什么太大优惠，优惠返五六万块钱。
[63:01.330] 而且还是综合优惠，不适合现金优惠。
[63:22.750] 行吧，我问你一下A咱们A2版0首付我是选哪个来着？
[63:34.630] 行，我看看直接点就行，好了。
[63:39.350] 拜拜。
[63:43.840] 儿子
[63:46.690] 你吃点东西，要不那品牌方面
[63:54.110] 我们现在不回来，现在看好一款车，
[63:57.790] 不给钱就能开走。
[64:04.690] 多一点。
[64:11.870] 你感觉怎么？
[64:12.760] 不错，我也感觉没有可能性，现在一直把这些老板给整的都已经
[64:17.700] 都快球迷给你送车了，
[64:26.310] 但是也
[64:27.080] 得办手续，所以不用。
[64:29.790] 咱俩换一块，咱们看什么方式这样。
[64:34.350] 咱们
[64:35.620] 行走到服务公约没有任何捆绑销售形式消费没有任何
[64:40.320] 改变，雨水冲垮了，
[64:42.320] 然后是咱们全国统一版的一个报价单，所有本事都一样，价位都公主苏菲咱们看一下，先别跟他聊。
[64:48.930] 264,800，然后等于咱们现在现金直降5万，
[64:53.030] 优惠完了214,800，
[64:55.390] 然后购置税是19,000，这是正常算法。
[64:59.500] 电车2500，保险8000左右，都给您算的是比较合适的了。
[65:06.770] 这样也比较全了。
[65:09.050] 我必须得在上面，这没有必须您可以不在这上，对，但是第一年建议，而且有的时候他一些比如说在申请的一些
[65:18.850] 一些东西，它会以保险形式会返给比如送您2000块钱保险钱，
[65:24.420] 对吧？
[65:25.460] 全款24244,000，
[65:29.040] 然后零首付是怎么来的？
[65:31.850] 做零售复制咱们的一个方案，零首付贷214,800，也就带他的配合。
[65:37.260] 对48期每个月3062 3000块钱。
[65:41.400] 二
[65:42.500] 然后到还完48期以后，最后还一个105920还10万块钱，
[65:50.830] 这样的话您首付就是购置税，家电车加保险2万92万多块钱29,000。
[65:56.630] 我要还48期是吗？4年。
[66:01.800] 然后回过头
[66:03.410] 到最后的时候我再还一个10万。
[66:05.990] 对
[66:07.520] 我还了多少钱应该是您算算我给您算一下。
[66:11.740] 三千零六三。
[66:13.200] 3062对吧？
[66:14.400] 我给您算算行了，成月48，对。
[66:17.720] 这是1414万加上一个105
[66:22.840] 7920
[66:26.250] 25。
[66:27.900] 您贷了21，
[66:29.580] 多还了3万多块钱。
[66:34.160] 但是您用了多少钱？用了21万三年3万多块钱，我觉得还好。
[66:40.570] 不是4年3万多块钱。
[66:42.460] 还好。
[66:44.160] 我觉得很难。
[66:45.320] 那肯定了。
[66:47.430] 您到时候再把比如刚才说的，比如说您那车21万的车开4年说我不要了。
[66:53.610] 卖了。
[66:54.390] 我也是大于它保直额了，说白了那可不
[66:59.280] 的租车吗？一年三年还不是一个月这么。
[67:03.010] 一个月3000多块钱租车。
[67:05.990] 你看3000多块钱，万一人家不租给你3000块。
[67:09.980] 你注意备注不了的，您现在一天我记得我稍微看过一个一天300多块钱的车是
[67:17.310] 1300多块钱坐车才是凯越什么的，就是什么园内翻译之外卡车钱我记得。
[67:25.410] 1600那边，你说我把闹了章拿过来，我一下买两条你不说，我自己来一下，我出场看一下房间，他不往外租车，比如说我就把这辆车就飞回来了，人家含着
[67:38.870] 他们现在就是出租公司就往外租车，小学开始10多辆车咱可不打都知道，可是你敢一二鼻子给你压出去了，告诉。
[67:47.690] 咱们他们倒那边。
[67:48.960] 所以理论上它很合适，您可以这么想，您不能说这么做，我就是这个意思。
[67:55.250] 然后我现在都需要你给，我的价钱不是还能低吗？
[68:01.130] 对，就是说您今天如果说咱们要进车，因为我们现在等于是着急放订单，昨天我们老领导王总说了，客户给钱那车就卖，
[68:11.240] 这是什么意思？现在我要是给钱就卖，你给多少钱卖，就他说的意思是什么意思？大环境就是现在他着急收订单，因为月末冲量对吧？
[68:23.480] 着急收名单，
[68:24.520] 您相对来说价格就好聊一些，好聊一些怎么个好僚，你比如现在我已经给您底价无关了，
[68:30.550] 没关系，在您要说我订着在树上把钱这儿给抹了就完了。
[68:35.500] 您这边跟他聊一下，对，就是说上下小几千块钱这点浮动，
[68:42.800] 您如果要订就给您去申请了，比如说这老姐说了，我就。
[68:47.520] 拉个整数，14,800没了，老板肯定是满意的。
[68:51.210] 猫就是不满意，没有那么大互动，不是你他现在我们赔本赚吆喝，不是他我们也都很普通的，能不能咱们去我就他不了。
[69:01.740] 然后如果不是像您说的，您不用怕我们，您说不存在，您别说我148了，你就抹一次都得去给您申请，
[69:12.330] 咱们再有活动，它的价格就在这服务，这是。
[69:16.140] 您说我不给您优惠是5万，您抹多少零都行，对吧？你前期已经优惠5万了，
[69:21.590] 咱也差不多的不为难你的情况下，你能给我做多少组就是几千块钱。
[69:26.800] 几百很少对少几小几千块钱还得多，我就说如果说什么的话，4800肯定是没有问题的，就咱俩对这个就是说他靠谱，至少我能得名次问他，对。
[69:37.690] 他应该是贪玩4年，因为上完小哥都给我算完了，上班4年应该是不到3，
[69:43.980] 他在北边看的，
[69:47.160] 他开票价低未开票，第一他们4年每个月应该不到三，也是2900多，对02 2000举个点卖了2900多，咱们就10，当时保苗他们还得问老婆问你王哥，
[69:59.470] 说这边都是朋友，说你给4S店打电话，看能不能整个便宜，
[70:04.290] 还能再便宜。
[70:05.930] 不建议你这样，你这么着你不拿着名片吗？没有。
[70:10.560] 给我对了，咱们拿你看一眼。
[70:14.800] 你给我把你电话写上了。
[70:19.640] 行行没事写上面我的名片。
[70:23.750] 500205。
[70:26.080] 对我送礼，
[70:27.640] 李鹏有个浜，
[70:30.640] 四川的川横穿，对他弟弟叫张施工。
[70:36.330] 他叫你有所以说记行没关系，反正咱们店的话现在等于是干嘛还比较到底，如果说你要考虑调，我建议您今天白车的话几天
[70:47.580] 来说显示应该是一这个月能到。
[70:52.140] 月底下面对好，我问你现在比如说我拿我的驾驶证。
[70:58.580] 你那什么的话，你金融审核的话大概三天之内应该出结果出，
[71:04.840] 没问题吧？然后回过头用我先生的什么，然后是不是还要提供结婚证这些东西，然后。
[71:12.070] 还有什么要房本吗？
[71:15.000] 这些都不要是吧？我就没有我也真的没睡吗？对。
[71:19.720] 基本上有个流水就行
[71:22.410] 了，很简单就说。
[71:24.500] 然后这样的情况下，
[71:26.110] 三天之内就能下来。
[71:28.620] 然后下来的情况下包括验车，
[71:32.280] 开发票开完发票以后，那车基本上你讲出来就什么B对你提前跟说，你说你8号七九号D不好贴，
[71:40.140] 而且咱们又不存在拍牌子，咱们是保留原号。
[71:43.460] 然后我那个号码我怎么调出来？
[71:46.790] 好的话掉出来很多，对，我们到时候灯你手机号登网站就行，能调出没问题。
[71:53.170] 是吧？我提前3天4天，这种车子是免检的。
[71:58.610] 对。
[72:00.990] 办完了一个礼拜肯定是富裕了，好我知道了，然后我来之前给您打电话了，两两天办就完事
[72:10.410] 了是吗？
[72:12.350] 今天报您第二天给你结果就出来了，基本就是这样。
[72:17.500] 好，爸爸。
[72:22.230] 我真不错，然后等我再来带我儿子来，然后回过头连婚姻相当于付了，
[72:31.410] 他亲手不等于现在溪河道河道，反正您带了21万多块钱，4年3万多块钱的利息，
[72:40.690] 您和到多少？
[72:43.920] 天。
[72:44.820] 20多万如果要正常按
[72:47.930] 按44个点左右。
[72:52.280] 百万。
[72:54.180] 您4个点一年8000多8000，那4年了四八三十二三万多块钱。
[73:01.340] 4.3。
[73:10.960] 二。
[73:11.990] 过。
[73:13.240] 我给你打电话的时候就是要抗洪车，我儿子让我给他拍张照片，
[73:21.700] 手机都有，我妈都给你拍过吗？
[73:27.510] 现在你考虑好了，你用不用让这哥们的帮你算一个，谁知
[73:35.580] 拍完了动力感都不行，不如开这个车就是太好玩了，哪个？
[73:41.720] 我要是在两边选择的情况下，我已经开完那么动力感比他强那么多的，我在看到肯定觉得不舒服。
[73:49.040] 我不如等这个车就跟投靠，不是我说的不是ps，我那叫B什么玩意儿，我交B的话感受肯定是不如A因为它都是1.33D弹，一个是大
[73:59.560] 的，一个说是它比A大na她动力肯定要比一个
[74:04.280] 同样的发动机，
[74:05.880] 他无非就是车其实风各方面大，所以就感觉对噪音会大一些。
[74:10.900] 没有的话。
[74:13.520] 没有了。
[74:17.090] 这个就是你考虑的东西。
[74:19.290] 看到底是这种所谓的商务用房，还是所谓的sp货也好，但是都是所谓的都来。
[74:27.850] 有什么概念？
[74:29.720] 如果开SUV你。
[74:32.190] 真没有这个车。
[74:34.030] 看着那啥了。
[74:35.700] 我先撤他SUV，哪个没挣什么乱八糟的这些东西也一样在里边。
[74:42.310] 200的话都有，
[74:43.870] 也都在对标边的。
[74:47.650] 那也就跟他们谈的情况一样的。
[74:58.140] 流水要亏空都是比较优势。
[75:03.460] 那些都
[75:05.550] 都简单倒上那贷款肯定没问题，户口本都不用对。
[75:12.590] 身份证驾驶证完事了。
[75:15.270] 对。
[75:17.190] 车牌号他说他能给我。
[75:20.880] 它有一个月说保你有个五六千块流水才能批你，
[75:26.460] 这是好地方，缩小就好一点。
[75:29.820] 然后做你这个就行了，然后不问了。
[75:33.810] 然后到时候
[75:36.390] 一个小时内他给打
[75:43.920] 别的没有什么问题。
[75:45.620] 要说别的也没用。
[75:47.640] 就是这么一玩意。
[75:49.480] 那要半年都是你们流水打了。
[75:52.800] 差不多定了。
[75:55.240] 我们就撤，然后回过头不成的情况下，明天
[76:00.240] 车不登号。
[76:03.120] 可以。
[76:05.930] 先这么着，我先看一眼咱们这几点下班。
[76:10.410] 咱们这儿正常是5:30，然后但是销售的话无所谓，你要是说这早点晚点，六六点来钟早上9点上班。
[76:20.350] 开始了。
[76:21.920] 大酒店对高级酒店您看一下，如果觉得没问题，我建议您今天订，假如说相对好申请东西，
[76:29.760] 他定位就交个定金，
[76:31.680] 交1万块钱定金。
[76:33.270] 要是我看看一会要是能那什么，不让我带我儿子过来看一眼，行，因为说实话我这几年
[76:39.760] 别看我儿子小，所有事都是她挑的，然后让他早早培养的这种
[76:45.720] 有的得到能力方面。
[76:52.160] 车钥匙在你那。
[76:53.380] 妈我刚才说送车他跟我说。
[76:57.030] 你还要穿上袈裟准的是你蒙谁？
[77:06.110] 这个上车吗？
[77:07.660] 这个也是新车，但是它是
[77:11.720] 厂家的库存车，然后放到磁带店来卖就比较便宜。
[77:16.810] 原价120多万，现在99
[77:20.550] 都是新闻。
[77:22.550] 那里120~120的话，你要是真正打折的话，你也差不多
[77:28.080] 买到这就约会4万块钱5万块钱。
[77:32.210] 3323450不是有点过。
[77:36.280] 我建议有人把这标掰了，就洗车行了怎么办？好好耗费是吧？多少钱他可能。
[77:43.210] 有点
[77:44.070] 也不用做多少钱，我还真不知道，但是不它给掰下来
[77:51.160] 了，他开那个时候还没有那个的不开。
[77:55.670] 因为不管去哪了，
[77:58.340] 是吧？如果说这个车的话也就是颜色问题，就只是这。
[78:02.380] 这一弹，但这已经被定了。
[78:06.050] 谢谢没事。
[78:09.340] 您看看明天下午您打一个回访，上午方便下午方便。
[78:13.840] 明天需要给您打一电话，上午方便下午方便。
[78:17.950] 打听明天礼拜九1月一不成的情况下，我现在回去可能会大孩子也我不瞒您说，我说好一点我再看一下，行对比一下，因为这几年也没有去看过是吧？我在经常看一下，
[78:34.410] 孩子在家写作业，我不能我再带他过来，要不你几点就下班了了，好没事，你要过来你们直接来就行，谢谢。
[78:42.150] 好吧，这时候优惠房多少呢？
[78:45.200] 这个车有娃4 48 47。
[78:49.210] 对行行，二漫步。
[78:54.760] 把车开下面条。
[78:57.370] 谁知
[78:59.410] 开车
[79:00.590] 谁知
[79:02.600] 对后期的电话谁知。
[79:04.900] 现在有电吗？
[79:07.350] 后续电话或微信哪个您方便吗？
[79:11.520] 行好了。
[79:13.920] 咱过去咱下边二维码，
[79:15.730] 职业扫描评价一下。
[79:18.260] 好了，等一会回家。
[80:04.910] 数据、
[80:06.170] 数据。
[80:47.890] 坏
[80:50.900] 一。
[80:57.910] 你好
[81:02.520] 对。
[81:06.320] 的
[81:10.880] 产品。
[81:20.550] 对，
[81:32.890] 怎么
[81:37.740] 远
[81:39.510] 数据。
[81:43.720] 对。
[81:47.320] 一直到。
[81:50.040] 对
[81:55.870] 这辆车现在看不见
[81:58.120] 了，
[82:01.720] 什么时候能有辆车？
[82:05.250] 什么时候
[82:09.940] 预订的话现在就会一定了。
[82:14.510] 我看人烧了。
[82:24.440] 想买红色的是吗？
[82:29.420] 但是
[82:31.390] 那会儿但是车型不一样，您到时候
[82:34.640] 我看一下。
[82:38.000] 场
[82:40.240] 远、
[82:48.060] CLA
[82:53.330] 对那是小SUVGI
[82:57.570] pla是小SUV，
[83:01.370] 白色银色的
[83:04.170] 是胸怀。
[83:07.240] 对。
[83:12.530] 对。
[83:13.650] 应该是我觉得
[83:21.440] 现车没在店里现在。
[83:29.300] 不是银灰它是
[83:32.140] 那种比较浅银色，然后还有一些发金的颜色。
[83:38.440] 白色的。
[83:41.750] 红色的话也有，你要订的话应该9月份之前也能到，8月份也能到。
[83:48.570] 对。
[83:52.930] 又是8月份，9月份之前不就是8月份吗？
[83:59.690] 为啥你指标要到期。
[84:05.770] 好，老师。
[84:07.890] 二
[84:12.620] 它显示8月12号
[84:16.890] 我觉得差不多，一般8月12号增长，8月20号之前怎么也到了。
[84:21.880] 了。
[84:22.640] 对，但是你要是不定还更到不了吗？
[84:31.670] 您是说新客户的价值吗？
[84:37.770] 他知道他指导价是三三十万。
[84:42.410] 对，303,000多，但是现在优惠确实还没定。
[84:49.710] 对，您可以这么弄。
[84:54.070] 对我是在对您可以这么弄。
[84:56.990] 您这个过来订完了之后，您先那什么，
[85:01.340] 等车到了以后咱们再谈价格就不行。
[85:05.630] 谁知
[85:15.240] 他写的您进了别的电影不一定百%的安全，它要倒都倒，因为他8月12号生产的生产日期已经出来了，肯定是没问题。
[85:25.230] 对。
[85:28.770] 我向里
[85:32.420] 木子李在小李的。
[85:34.340] 对。
[85:37.470] 对，记得您
[85:47.910] 反正后边如果目前看的话，红色就一台，我建议您还是抓紧8月12号生产的事。
[85:59.820] 你财富很多，8月份的话我们就将近10台了，但是红色就一拍。
[86:07.770] 对。
[86:10.730] 银色。
[86:12.460] 白色几乎以白色居多。
[86:19.670] 对。
[86:24.090] 但是大便没有。
[86:26.400] 内侧不一定是迈对。
[86:33.480] 行您商量一下，您尽快到时候给我打电话。
[86:37.940] 明天也在。
[86:40.160] 在的，你不是来的时候能给我打一电话。
[86:45.520] 对，那肯定得交定金。
[86:48.020] 1万。
[86:52.040] 恩好吧，姨好勒。
[86:55.690] 没事应该的明白了。
[86:59.870] 行。
[87:21.290] 送到。
[87:25.720] 数据、
[87:29.610] 场
[87:30.580] 场。
[87:34.920] 数据、
[88:05.950] 场。
[88:07.000] 数据。
